Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,wholesale,LinkedIn,2300365461,Customer Servicemedewerker optiek,nsxydQuNSNKOtWR9xQCt1A==,Olympia,"Amsterdam, North Holland, Netherlands","['Food & Beverages', 'Staffing and Recruiting', 'Retail']","Terug naar zoekresultaten, Solliciteer direct, , Wat ga je doen, In deze functie handel je zelfstandig vragen van klanten af en je verwerkt orders en retourzendingen zodat een optimale ondersteuning van de verkoopactiviteiten wordt gerealiseerd, , Jouw Taken, , , , Groothandel en distributeur in de optiekbranche Gevestigd in Diemen, Amsterdam, , , , Een tijdelijk dienstverband op uitzendbasis en bij goed functioneren uitzicht op een vaste aanstelling voor onbepaalde tijd bij de opdrachtgever, , , Solliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300365461?url=https%3A%2F%2Fwww%2Eolympia%2Enl%2FVacatures%2F2106940%2Fcustomer-servicemedewerker-optiek%2F&urlHash=biMc&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-servicemedewerker-optiek-at-olympia-2300365461?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
2,wholesale,LinkedIn,2288399466,Junior Accountmanager Horeca regio West,qfuEhGhURrSl9CvSr5QGrg==,Makro Nederland,"Amsterdam, North Holland, Netherlands",['Wholesale'],De nummer n groothandel van Nederland worden dat is ons doel Als Accountmanager Horeca draag jij hier direct aan bij Ben jij commercieel sterk en een echte relatiebouwer En zie jij het als uitdaging om te zorgen voor meer duurzame en winstgevende samenwerkingen Dan bouwen wij graag samen met jou aan een groots Makro,Full-time,,https://nl.linkedin.com/jobs/view/junior-accountmanager-horeca-regio-west-at-makro-nederland-2288399466?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
3,wholesale,LinkedIn,2317628765,Commercieel medewerker sanitair/ verwarming,xfF4xTQES/yIp0kdmjT3NQ==,Technische Unie,"Amsterdam, North Holland, Netherlands",['Food & Beverages'],"Icoon vakgebied, , Wij bieden, , Naast een prima salaris bieden wij uitstekende , zoalsverlofdagen, winstdeling, obligatieregeling, fietsplan, bedrijfsfitness regeling en korting op al onze producten Ook kun je rekenen op veel vrijheid en zelfstandigheid, een stimulerende werkomgeving en volop  en , , Je profiel, , , , Werken bij Technische Unie is werken bij  Wil jij dat ook maar is deze vacature net niet wat je zoekt Meld je dan aan voor de  Je ontvangt de laatste vacatures per mail Klik op de vrachtwagens hieronder voor alle stappen van ons sollicitatieproces",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317628765?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb5f22e3e-92ce-4620-b89e-469304563643%3Fjid%3Da4e0fbbe1c6063b5c6944143bd053afe7ab2b0056aa01fcbd26e421b5f72fcd0%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Nae9&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/commercieel-medewerker-sanitair-verwarming-at-technische-unie-2317628765?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
4,wholesale,LinkedIn,2321585680,Medewerker Groothandel,nmo5fAaySXuV7S2cHbGMaQ==,Werk Talent,"Gouda, South Holland, Netherlands","['Transportation/', 'Trucking/', 'Railroad']","Over de functie Bij deze enorme groothandel die handel voert in wijnen ga je aan de slag als logistiek medewerker Binnen dit gezellige en grote team van orderpickers is het jullie taak om ervoor te zorgen dat klanten de volgende dag hun goederen binnen kunnen krijgen Elke ochtend starten jullie met elkaar op en krijgen jij en je team het overzicht van die dag en zien jullie wat er die dag verzameld moet worden, zo weet je iedere dag wat er moet gebeuren en wat er van jullie verwacht word Binnen deze functie begin je op de EPT waar je door middel van een handscanner opzoek gaat naar je orders Hier begin je als orderpicker zodat je alle kneepjes van het bedrijf en vak te pakken krijgt en zijn er mogelijkheid om door te groeien tot heftruckchauffeur en zelfs reachtruck chauffeur Jou taken zien er als volgt verzamelen van ordersLaden en lossen indien je in het bezit bent van een heftruckcertificaatOnderhoud aan het magazijnVoorraad beheer, Wat wij bieden Startsalaris van  1900 uiteraard kan je hierin groeienEen gezellig bedrijf, ambitieus en sterk groeiend bedrijfMogelijkheid om door te groeien tot hef of reachtruck chauffeurEnthousiaste en fijne collegas die de tijd willen nemen om jou goed in te werkenDagdiensten van ma tm vrijdagEen fulltime baan en vast werk met uitzicht op een contract voor onbepaalde tijdVrijheid om binnen de aangegeven kaders op jouw eigen manier te werkenVrijdagmiddag borrelReiskostenvergoeding, Wat wij vragen Wat wij vragenErvaring in een soortgelijke functie is een prErvaring met het werken op een EPT en handscannerAmbitie om door te groeienHeftruckcertificaat is een pr, Over het bedrijf Het bedrijf waarin je komt te werken is gevestigd in de omgeving van GoudaMoordrechtRotterdam Binnen dit bedrijf is de werksfeer voor iedereen erg belangrijk Zo werk je echt als team en word er veel waardering uitgesproken naar het team in het magazijn Het bedrijf is gespecialiseerd in wijnen en daarin ook n van de grootste wijnimporteurs uit Nederland Zij verwachten als groothandel dan ook het komende jaar nog verder door te groeien Groei jij met hen mee",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321585680?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F03590c92-930b-4de9-9e4c-c7bf86a2ab7a%3Fjid%3Da0c070f1dbe095bac2f768b08587f783dbfa82ea97002f60ae40da25e254a835%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=D7I_&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-groothandel-at-werk-talent-2321585680?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
5,wholesale,LinkedIn,2317629605,Commercieel medewerker elektrotechniek,qHFXBLmYSH+moR/thuu5FQ==,Technische Unie,"Amsterdam, North Holland, Netherlands",['Food & Beverages'],"Icoon vakgebied, , Commercieel medewerker elektrotechniek, , Nieuwsgierig geworden Lees hier de van een commercieel medewerker of bekijk de week van een collegas op , , Wij bieden, , Naast een prima salaris bieden wij uitstekende , zoalsverlofdagen, winstdeling, obligatieregeling, fietsplan, bedrijfsfitness regeling en korting op al onze producten Ook kun je rekenen op veel vrijheid en zelfstandigheid, een stimulerende werkomgeving en volop  en , , Je profiel, , , , Werken bij Technische Unie is werken bij  Wil jij dat ook maar is deze vacature net niet wat je zoekt Meld je dan aan voor de  Je ontvangt de laatste vacatures per mail Klik op de vrachtwagens hieronder voor alle stappen van ons sollicitatieproces",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317629605?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fac111995-a49b-45f8-b143-d0b33902ce64%3Fjid%3Dab8f9aa2cd5b5b0a7cf70f3311ee63cd5ff4e07360205482142eafac765764ca%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=acts&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/commercieel-medewerker-elektrotechniek-at-technische-unie-2317629605?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
6,wholesale,LinkedIn,2301948330,Junior accountmanager Horeca Regio Noord,fqcxfN7SS0mGv51KjRpCBQ==,Makro Nederland,"Leeuwarden, Friesland, Netherlands",['Wholesale'],De nummer n groothandel van Nederland worden dat is ons doel Als Accountmanager Horeca Bezorgservice draag jij hier direct aan bij Ben jij commercieel sterk en een echte relatiebouwer En zie jij het als uitdaging om te zorgen voor meer duurzame en winstgevende samenwerkingen Dan bouwen wij graag samen met jou aan een groots Makro,Full-time,,https://nl.linkedin.com/jobs/view/junior-accountmanager-horeca-regio-noord-at-makro-nederland-2301948330?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
7,wholesale,LinkedIn,2278431845,Verkoper kerstbomen met avond- en zondagtoeslag,i0ubCHSfSxqRp8fbaFvOVA==,PDZ Uitzendbureau,"Amsterdam, North Holland, Netherlands",['Telecommunications'],"Over de functie, , Je vindt het leuk om met klanten in gesprek te gaan en de juiste kerstboom voor de klant uit te zoeken Samen met jouw collegas creer je een leuke werksfeer, waarbij de klant zich welkom voelt Je helpt de klanten buiten bij de kerstkraam Wanneer jij de kerstboom hebt verkocht, zorg je dat deze ingepakt wordt zodat de klant deze meteen mee kan nemen, , Over het bedrijf, , Wanneer jij bij de opdrachtgever gaat werken, kom je in een leuk en gezellig team te werken Je werkt samen in een groep van 10 collegas, , De opdrachtgever heeft in Nederland zon 3600 medewerkers en 17 vestigingen met een food en nonfoodassortiment van meer dan 50000 artikelen onder n dak Zij willen het hun klanten zo gemakkelijk mogelijk maken door het aanbieden van een uitgebreid pakket van producten en diensten Zelfs voor kerstbomen kunnen ze bij de groothandel terecht, , Wat wij vragen, , , , Wat wij bieden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278431845?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Faf0d9699-f72b-4171-9284-6a314773e4be%3Fjid%3D5be53b54ee3b44192137fb29f472a348978d33b84957cdbe3e01192324031d8c%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=BprL&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/verkoper-kerstbomen-met-avond-en-zondagtoeslag-at-pdz-uitzendbureau-2278431845?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
8,wholesale,LinkedIn,2290568567,Commercieel binnendienst medewerker,JSQyuhFTQfSOhG/X3ZV61A==,Regiodienst,"Amsterdam, North Holland, Netherlands","['Automotive', 'Mechanical or Industrial Engineering', 'Staffing and Recruiting']","Introduction, , Ben jij een commercile, servicegerichte, enthousiaste verkoopmedewerker met de juiste energieke mentaliteit Heb je passie voor verkopen en techniek Reageer dan snel, , Organization, , De organisatie is sinds 1985 actief als groothandel en vooral een partner voor nationale klanten in de bouw en industrie Veel bedrijven in de bouwnijverheid, machinale houtbewerking, interieurbouw en industrie kiezen voor het bedrijf in verband met zijn specialisme Middels de webshop en 50 vestigingen staat het bedrijf met een assortiment van meer dan 150000 artikelen garant voor one stop shopping, kwaliteit, vakkundig merkonafhankelijk advies en een hoge leverbetrouwbaarheid Vandaag besteld, is morgen geleverd, door heel Nederland Het motto van het bedrijf is winnen doen we samen Dit geldt voor de samenwerking met de klanten en leveranciers, maar ook met het personeel Er wordt gewerkt, met circa 500 medewerkers, als n team om de beste technische groothandel binnen de branche te zijn en te blijven, , Function, , ls allround vestigingsmedewerker run je samen met je directe collegas de vestiging Je rapporteert aan de vestigingsmanager en bij zijn afwezigheid vervang je hem Je bent aanspreekpunt voor prospects en klanten Met je brede kennis van het assortiment informeer en adviseer je zowel telefonisch als aan de balie over de producten, technische specificaties, prijzen en levertijden Je werkt offertes uit naar aanleiding van schriftelijke of mondelinge aanvragen en voert verkooporders in Van artikelen die niet in het standaardassortiment zijn opgenomen de specials verwerk je zelfstandig de inkoop, verkoop en de levering De inslag van goederen wordt door jou gecontroleerd, juist opgeslagen en administratief verwerkt Je zorgt voor het behoud van een juiste presentatie en uitstraling van het assortiment als ook de vestiging en denkt mee over het presenteren van de acties Daarnaast houd je de contactgegevens van de klanten uptodate in het verkoopsysteem, , , , Als allround commercieel binnendienst, , Offer, , Information, , Ben jij genteresseerd of ben je nog op zoek naar een soortgelijke vacature, , Neem dan contact op via de onderstaande gegevens, , Application, , Regiodienst Delft, , Tav Recruitment, , Tel 0152061180, , Email vacaturedelftregiodienstnl",Full-time,https://www.linkedin.com/jobs/view/externalApply/2290568567?url=http%3A%2F%2Fregiodienst%2Ecarerix%2Ecom%2Fcxportal%2Fjobdetails%2F7736%2FAmsterdam%2FCommercieel-binnendienst-medewerker%2Ehtml&urlHash=wncJ&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/commercieel-binnendienst-medewerker-at-regiodienst-2290568567?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
9,wholesale,LinkedIn,2323877676,Baliemedewerker Verkoopadviseur groothandel,M+5sKskrT5OhQSpnrlipuA==,Eminent Groep,"Purmerend, North Holland, Netherlands",None,Ben jij een representatieve en klantgerichte Installatiemonteur of Loodgieter die de stap wil maken naar een functie als Baliemedewerker Verkoopadviseur in een winkel voor de professionele installateurVrijwel dagelijks halen klanten uit de installatiebranche hun materialen voor die dag op Ruim 4500 producten zijn direct uit voorraad leverbaar of via Ecommerce bestelling binnen 24 uur beschikbaar Jij bent binnen deze functie verantwoordelijk voor het adviseren van de klant over de verschillende producten Met jouw technische en materiaalkennis ben je een gesprekspartner op niveau en kan jij de klant optimaal van dienst zijnOok ben je verantwoordelijk voor het gehele voorraadbeheer en de voorraadadministratie Je houdt nauwlettend bij welke bestellingen gedaan moeten worden zodat producten en materialen altijd voldoende aanwezig zijn Daarbij zorg je voor een opgeruimd en overzichtelijk magazijnJe werkt in een informele en collegiale omgeving waar je veel verantwoordelijkheid en vrijheid krijgt Als echte aanpakker zorg je samen met je collegarsquos dat alles op de vestiging op rolletjes loopt Samen ben je verantwoordelijk voor het reilen en zeilen van jullie lsquoeigen winkel,Full-time,https://www.linkedin.com/jobs/view/externalApply/2323877676?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fbaliemedewerker-verkoopadviseur-groothandel%3A43429898%2F&urlHash=Fo0y&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/baliemedewerker-verkoopadviseur-groothandel-at-eminent-groep-2323877676?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
10,wholesale,LinkedIn,2324719921,Junior Business Controller,EiZOYaQ5QyyWWZALbWcI/g==,Page Personnel,"Leiden, South Holland, Netherlands","['Staffing and Recruiting', 'Retail', 'Financial Services']","Junior Business Controller, Junior Business Controller, Intrernationale Groothandel, About Our Client, Onze opdrachtgever is een internationale organisatie in Leiden die actief is al groothandel De organisatie is door de jonge gemiddelde leeftijd en hectische branche altijd in beweging Dit zorgt er voor dat er intern altijd mogelijkheden liggen om door te groeien",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324719921?url=https%3A%2F%2Fwww%2Epagepersonnel%2Enl%2Fen%2Fjob-apply%2Fjunior-business-controller%2Fref%2F183136%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobad&urlHash=P1S1&refId=9267fd7d-dc7e-425d-bf99-399595ce8894&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-business-controller-at-page-personnel-2324719921?refId=9267fd7d-dc7e-425d-bf99-399595ce8894&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28
