,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,ict manager,LinkedIn,2318044469,ICT Operations Manager - Amsterdam Metropolitan Area,kT2pJPE8QsmkQB4/yvPviA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Management,"Job Context  DutiesManage changes in ICT systemAttend to ICT systems qualityImprove business processesDesign processManage staffOpenness and interest in learning and further developmentExperience of having worked in a similar roleGood communication, cooperation and team working skillsAn awareness of the need to handle confidential issues sensitivelyAbility to adapt and cope with working in different teams",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318044469?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D94da671a7524%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddceadcaadfbddagdd9addfgadfadd9fddb3deecdccfec3ddcg3e&urlHash=1o06&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-operations-manager-amsterdam-metropolitan-area-at-talent-2318044469?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,8,ict manager,LinkedIn,2317933913,ICT Resilience Manager - Amsterdam Metropolitan Area,svWKtkqQQCqT6RYjVa5uiw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Engineering,"Job Context  DutiesManage disaster recovery plansLead disaster recovery exercisesAnalyse the context of an organisationIdentify ICT security risksImplement ICT recovery systemExperience of having worked in a similar roleAccuracy and attention to detailsStrong motivation and open and positive attitudeGood communication, cooperation and team working skillsOpenness and interest in learning and developing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317933913?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1b1e79dbb950%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcadeeddfaadbbdd9gdd7aadcgadeaadefdd73debcdcgfec3ddcg3e&urlHash=h3-5&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-resilience-manager-amsterdam-metropolitan-area-at-talent-2317933913?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,10,ict manager,LinkedIn,2318020815,ICT Project Manager,1t85bHgPR8iWqPfN2rYa8Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Project Management,"Job Context  DutiesManage project informationCreate project specificationsTrain employeesBuild business relationshipsEstimate duration of workThe ability to carry out work efficiently and accurately, even under pressureAbility to work autonomouslyExperience of having worked in a similar roleAn awareness of the need to handle confidential issues sensitivelySense of proactive initiative and team spirit",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318020815?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D77bea8b022db%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cdd9eadeaadbbadfgdd8aadegddgaddefdde3aeccacefec3ddcg3e&urlHash=aOnE&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-project-manager-at-talent-2318020815?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,15,ict manager,LinkedIn,2227351021,Functional Application Manager,NamnpgoKReeJrL+FdtB4Xg==,Bluewater Energy Services,"Hoofddorp, North Holland, Netherlands",['Oil & Energy'],Information Technology,"For our ICT Department in Hoofddorp, we are looking for a Functional Application Manager with proven experience in business applicationsOur ICT Department is responsible for the delivery, availability and maintenance of high quality ICT services for our employees in Hoofddorp, Aberdeen and offshore assets",Full-time,,https://nl.linkedin.com/jobs/view/functional-application-manager-at-bluewater-energy-services-2227351021?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,22,ict manager,LinkedIn,2317987955,ICT Information and Knowledge Manager,x6p9qbQUQm6ankTCCdEYnw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Consulting,Job Context  DutiesAnalyse the context of an organisationManage ICT data architectureStructure informationAssess informational needsManage business knowledgeGood communication skills and well developed interpersonal skillsSense of confidentiality and high level of discretionAccuracy and attention to detailsStrong motivation and open and positive attitudeExcellent analytical capabilities and problemsolving skills,Full-time,https://www.linkedin.com/jobs/view/externalApply/2317987955?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4fae5042c60d%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadaeadfaadbbddbgddgaddcgddeaaddfdda3degcaccfec3ddcg3e&urlHash=jQtT&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-information-and-knowledge-manager-at-talent-2317987955?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,28,ict manager,LinkedIn,2312872246,Manager Engineering wanted with technical and people skills - Amsterdam,gOg482+2REi2nFgJzuCqUg==,CareerValue BV,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']",Engineering,"Id1231754174OrganizationOur client is a global platform that enables distributed teams to collaborate effectively, from brainstorming sessions and workshops to project planning, from designing new products and services to facilitating flexible ceremoniesWith millions of users and tens of thousands of paying customers, the company is trusted by very large international players from around the worldAt our client you belong to a team of dreamer For that reason, she is also looking for people who dream big, work hard, but still remain sober for the time being Collaboration is at the heart of what it does Through her partnerships she hopes to create a supportive, hospitable and innovative environment Thus, every man and woman out there strives to play as a team to conquer the world and create a better version of themselves every day If this sounds like something that turns you on, wed love to hear from youAs Manager Operations and Engineering, your goal is to let the organization grow and lead them, both on a strategic level and tactically You develop, communicate and execute technical strategies and roadmaps for experience across devices You contribute to the overall technical product strategy of the company and align it with the roadmap Furthermore, you build and scale the operational processes in the organization across different devices and contribute to general technical practicesThe intention is that you not only develop the teams, but also their talents and leadership within the organization Communicating the strategy, as well as tactics and progress to the team and stakeholders, takes the level to the next platformWho are looking for someone with over 10 years of experience in software engineering or overall engineering over 10 years of experience in managing people experience in a SaaS B2B environment demonstrable experience with engineering on different devices Mobile, tablet for iOS, Android, WinRT Proven experience in managing distributed teams Extensive experience in prioritizing and projectbased way of working Resultsoriented skills and who knows how to use data to formulate strategies Good understanding of product requirements and ability to align with technical strategy Strong execution skills in a multifunctional environment with multiple stakeholders Insight into technical architecture and considerationsOf course you also get a lot in return, especially A more than competitive salary Shares of an emerging and already very successful company Fully covered medical insurance Travel allowance Lunch, snacks, drinks and other type of meals are provided Fee to set up a home workplace to facilitate remote work during a period Weekly team activities even virtual to keep the mood high Ability to work for a truly global team Inspiring workplace in the heart of AmsterdamIf you are interested, please feel free to send your most recent CV to sherviniocareervaluenlPermanentUitzonderlijk goedICT cordinatorTeamleadVacature ICT coordinator, teamleadAmsterdam Ultieme Manager engineering voor miljoenenorganisatieAmsterdam Cloud Architecten nodig met spoedHeerhugowaard Senior IT Architect voor een duurzame organisatie gezochtAlkmaar Voor 100 Azure tevredenheid, klik hierAmsterdam Linux Consultants in Amsterdam en omgeving gezochtRespond to this job Please contactShervinio Harris via phone number or mobile phone Applying can also be done by sending an email to or via WhatsAppTagged as english",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312872246?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1e187aa8b6bd%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcadbaddfedd8cdd9fadfaadfgdd8aadefdda3aeecaccfec3ddcg3e&urlHash=9Ccw&refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-engineering-wanted-with-technical-and-people-skills-amsterdam-at-careervalue-b-v-2312872246?refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,30,ict manager,LinkedIn,2305977555,Manager Engineering & Projects - The Hague,K2Cxs5ydRIS+9QDlmGo9XA==,Airborne,"The Hague, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Aviation & Aerospace', 'Mechanical or Industrial Engineering']",Engineering,"Be part of an unique growth storyJoin us to help build the leading advanced composites automation and digital manufacturing company Airborne is a technology leader in advanced composites, specialised in the industrialisation of engineering and manufacturing of durable fibre reinforced composites for Space, Aeronautics, Transport and Marine industries Via Airbornes unique combination of skills our deep and wide composites, software engineering and mechatronics knowhow  we enable our customers to unlock their full potential in digital manufacturing growth and create a competitive advantage We are agile, flexible and think like a startup This nimble approach is challenging for many incumbent companiesbut its at the heart of how we think to build winning positions by developing integrated, automated and connected manufacturing solutions for the composite industry Together we are a dynamic group of 135 highly educated and passionate employees, split between our headquarter in The Hague Ypenburg NL and our site in Lambourn UKAs Manager Engineering  Projects you are responsible for the total engineering group as well as the Project Managers Managing employees by motivating, stimulating and development of skills and competences is part of the daily routine Your goal is to get the best performance from your teamYou will take care of an efficient planning of the resources in order to deliver the projects on time and within the budget of the project From the start until the delivery of the projects This will be achieved via continuous improvement of the processes and working methods in order to safeguard the quality, trustworthiness and efficiency of the department The output of your department is your focus You always strive for the best result with energy, motivation and tenacityFurthermore, you will work together with the commercial department of the business unit and appoint engineering resources for sales supportFunctionally reports to Managing Director Airborne Aerospace As part of the Management Team you work closely together with the Production Manager, QESH Manager, HR Manager, ICT Manager, Financial Controller and the Purchasing ManagerDirectly supervises Structural, CAD, Design, Process Engineers, Work Preparation and Project ManagersIt is important that you are able to display the following competencies TOP principlesTeamwork, Ownership and Precision, as well as taking responsibility, taking initiative and persuasivenessWorking at Airborne International will give you the opportunity to develop your career by working on highly innovative projectsWe offer you a well rewarding job in an inspiring environment with likeminded and talented colleagues You will become part of our inspiring company where innovation, quality and creativity are key to meet our company goals We will give you the opportunity for personal and professional growth, by training, learning on the job and coachingA great opportunity to be part of an unique growth storyIn case you would like to apply, please send in your application motivation and resume via the Apply here button",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305977555?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4518999c510f%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccddbeddfadd8bdd7gdd7add7gaddaddbfddf3degcacafec3ddcg3e&urlHash=9btf&refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-engineering-projects-the-hague-at-airborne-2305977555?refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,35,ict manager,LinkedIn,2272756064,IT Manager @ start-up L - founders | Den Bosch,mUPo4yhwTu+w53XgyGH6Ww==,ICTerGezochtnl,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']",Information Technology,"Vacature van L  founders, locatie Den BoschInformation technology, software applications and cloud services will form the crucial infrastructure to the L  founders business The operational efficiency will highly depend on having the right technology and toolingAs the you will be responsible forL  founders is an early stage startup Therefore the IT landscape is a landscape where many strategic choices will have to be made as well as challenging IT projects will have to be managed and executed by the IT Manager In the position of IT Manager you will not manage a direct IT team You will manage a group a highend IT suppliers instead The expectation is that you will manage a small team in the futureThe ideal IT Manager recognizes him  herself inSalesforce ServiceCloudEducationPersonalityICT Career is responsible for the initial recruitment procedure for the IT Manager at L  founders The complete recruitment procedure consists of one video call with ICT Career and two interviews with L  founders In case it will come to an agreement and contract, you will be employedby L  founders directly5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2272756064?url=https%3A%2F%2Fwww%2Eictergezocht%2Enl%2F3040_ict-career%2Fict-vacatures%2F67354_it-manager-start-up-l-founders%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dmanager%2Bden%2Bbosch&urlHash=v-aj&refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-manager-%40-start-up-l-founders-den-bosch-at-ictergezocht-nl-2272756064?refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,36,ict manager,LinkedIn,2272776642,IT Manager @ start-up L - founders | Den Bosch,vTTIpiMoSIakyoX78r5uXA==,Werkzoekennl,"sHertogenbosch, North Brabant, Netherlands",['Management Consulting'],Management,"Vacature van L  founders, locatie Den BoschInformation technology, software applications and cloud services will form the crucial infrastructure to the L  founders business The operational efficiency will highly depend on having the right technology and toolingAs the you will be responsible forL  founders is an early stage startup Therefore the IT landscape is a landscape where many strategic choices will have to be made as well as challenging IT projects will have to be managed and executed by the IT Manager In the position of IT Manager you will not manage a direct IT team You will manage a group a highend IT suppliers instead The expectation is that you will manage a small team in the futureThe ideal IT Manager recognizes him  herself inSalesforce ServiceCloudEducationPersonalityICT Career is responsible for the initial recruitment procedure for the IT Manager at L  founders The complete recruitment procedure consists of one video call with ICT Career and two interviews with L  founders In case it will come to an agreement and contract, you will be employedby L  founders directly5cd8a0b9cc68f9ffa4c9253553278a55",Internship,https://www.linkedin.com/jobs/view/externalApply/2272776642?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F10340_ictergezochtnl%2Fvacatures%2F4881700_it-manager-start-up-l-founders-den-bosch%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dict%252bcat_management%2Bden%2Bbo&urlHash=xUKp&refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-manager-%40-start-up-l-founders-den-bosch-at-werkzoeken-nl-2272776642?refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&position=11&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,39,ict manager,LinkedIn,2276509472,IT Manager @ start-up L - founders | Den Bosch,c6IQ9ZIvSZu8G7XZ83PNgg==,Technicusnl,"sHertogenbosch, North Brabant, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']",Engineering,"Vacature van L  founders, locatie Den BoschInformation technology, software applications and cloud services will form the crucial infrastructure to the L  founders business The operational efficiency will highly depend on having the right technology and toolingAs the you will be responsible forL  founders is an early stage startup Therefore the IT landscape is a landscape where many strategic choices will have to be made as well as challenging IT projects will have to be managed and executed by the IT Manager In the position of IT Manager you will not manage a direct IT team You will manage a group a highend IT suppliers instead The expectation is that you will manage a small team in the futureThe ideal IT Manager recognizes him  herself inSalesforce ServiceCloudEducationPersonalityICT Career is responsible for the initial recruitment procedure for the IT Manager at L  founders The complete recruitment procedure consists of one video call with ICT Career and two interviews with L  founders In case it will come to an agreement and contract, you will be employedby L  founders directly5cd8a0b9cc68f9ffa4c9253553278a55",Internship,https://www.linkedin.com/jobs/view/externalApply/2276509472?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F90_305674_it-manager-start-up-l-founders-den-bosch%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Daccount%2Bden%2Bbosch&urlHash=pKpt&refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-manager-%40-start-up-l-founders-den-bosch-at-technicus-nl-2276509472?refId=3c0e2e01-f953-486f-8b9a-175c07fe7616&position=14&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
