Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,information,LinkedIn,2282645451,informatie analist,QKpAj7t7Rcu1gYjZCJ9pKg==,Politie Nederland,"Utrecht, Utrecht, Netherlands","['Law Enforcement', 'Public Safety', 'Security and Investigations']","Ben je innovatief en kun jij diverse vraagstukken op het gebied van informatievoorziening IV goed op waarde schatten, analyseren en verwoorden En wil jij er mede voor zorgen dat onze IVketen zo optimaal mogelijk werkt De Dienst Informatiemanagement zoekt versterking Om specifieke IVproblemen waarmee jouw blauwe collegas te maken hebben op te lossen, verdiep jij je in het operationele politiewerk, , Je adviseert en regisseert bij de intake, vormgeving en uitvoering van implementatieprojecten die meerdere, met elkaar samenhangende, portefeuilles kunnen raken Ook draag je in het team van senior productowners bij aan het Scaling Agile voortbrengingsproces van de politie informatievoorziening Hierbij denk je mee over een nog effectievere werkwijze Je zorgt voor een goede vraagarticulatie aan de hand van IVverzoeken vanuit de business en verricht de benodigde informatie en procesanalyses Hierbij houd je rekening met de IVstrategie en de ontwikkelingen binnen het IVlandschap, zoals gebruik van RDF en het Operationeel Politie Platform Ook stuur je actief aan op synergieeffecten tussen wat goed is voor het politiewerk en wat noodzakelijk is om de informatievoorziening van de politie te verstevigen, , Namens de IVketen ben jij de sparringpartner voor IVgerelateerde vraagstukken en lever je gevraagd en ongevraagd advies, zowel op tactisch als operationeel niveau Jouw inzet in de keten bestrijkt zowel SPOondersteuning als Feature Team ondersteuning en is niet beperkt tot alleen het Handhavingsdomein Je bouwt en onderhoudt in en externe netwerken van specialisten en werkt mee met de belangrijkste stakeholders aan roadmaps, impactanalyses en IVepics Samenwerken staat bij dit alles hoog in het vaandel, want je bent altijd als team gezamenlijk verantwoordelijk voor het resultaat, , Je gaat je expertise inzetten bij de Dienst Informatiemanagement, waar landelijk ruim zeshonderd collegas werken De informatiemanagementorganisatie van de politie voert verschillende taken uit Denk aan het beheren van gegevens, advisering, relatie en servicelevelmanagement en functioneel beheer Ook bewaken we de kwaliteit en integriteit van vastgelegde gegevens Om snel en wendbaar de gewenste informatievoorziening te realiseren, werken we volgens het Scaling Agile Model Politie Je werkplek is bij de Afdeling Advies, daar versterk je het Ondersteuningsteam dat zich richt op de portefeuille Handhaving Binnen deze portefeuille ga je werken voor het Programma Vernieuwend Registreren PVR Als IVexpert draag je bij aan de vernieuwing van de registratieve voorzieningen binnen de handhavings en opsporingsprocessen van de politie Hierbij breng je balans aan tussen de gewenste businessvernieuwing en verbetering vanuit de landelijke portefeuilleteams en de IVroadmap voor de registratieve functies Zo ben jij medeverantwoordelijk voor het adequaat laten werken van de informatievoorzieningsketen van beleidsthemas tot informatiesystemen en applicaties, , Jij bent een innovatieve, teamwerk gerichte collega, die vakkundig goed is onderlegd en denkt in waardeoplevering Diverse IVvraagstukken kun jij op waarde schatten, analyseren en verwoorden Je zorgt dat de IVketen zo optimaal mogelijk werkt Dat kan alleen als je het operationele politiewerk en zijn specifieke problemen goed begrijpt Doordat je in staat bent om snel een goed netwerk op te bouwen, ontvang je makkelijk informatie, steun en medewerking van je collegas en relaties Jij kunt dan ook op verschillende niveaus operationeel en tactisch klantgericht met je stakeholders communiceren Daarbij ben je overtuigend, zie je verbanden en kun je langetermijndoelstellingen formuleren met de bijbehorende planning Ook ben je analytisch sterk, maatschappelijk georinteerd en organisatiesensitief Wat je niet hebt een 9tot5mentaliteit Jij handelt creatief en oplossingsgericht Dankzij jouw communicatieve en coachingsvaardigheden ben je voor je collegas de perfecte sparringpartner op themas binnen de portefeuille en productielijn Je hebt interesse om je buiten je vakgebied te ontwikkelen om een Tshaped bijdrage te kunnen leveren in de teams waarbinnen en waarmee je werkt, , Verder heb je, , , De standplaats is Utrecht , maar in overleg kun je ook in Rotterdam, Zwolle of Eindhoven aan de slag Er is ruimte voor 1 fte Het betreft een functie voor 36 uur per week Er is ruimte voor 1 fte Het betreft een functie voor 36 uur per week Omdat goede mensen belangrijk zijn binnen de politie investeren we in jouw toekomst We bieden uitgebreide ontwikkelingsmogelijkheden en een vaste aanstelling, waarbij een proeftijd van n jaar van toepassing is, , Verder kun je het volgende van ons verwachten, , , De formele functie binnen het functiegebouw van de politie is bedrijfsvoeringspecialist C , werkterrein informatie en communicatietechnologie, , Bel met Leopold Loop, teamchef 06  18 64 41 18 als je meer informatie over de functie wilt hebben, Voor vragen over de sollicitatieprocedure bel je met het Frontoffice Recruitment  Selectie op 088  66 22 300, , Solliciteer uiterlijk 7 december 2020 via de sollicitatiebutton Geef in het sollicitatieformulier aan welke standplaats je voorkeur heeft",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282645451?url=https%3A%2F%2Fkombijde%2Epolitie%2Enl%2Fvacatures%2Finformatie-analist_2601593%2Ehtml&urlHash=iNrt&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/informatie-analist-at-politie-nederland-2282645451?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
2,information,LinkedIn,2317471001,informatie analist,bdTJV/YNTHy8cHwI6VmHPw==,Politie,"Utrecht, Utrecht, Netherlands",['Computer Software'],"Ben je innovatief en kun jij diverse vraagstukken op het gebied van informatievoorziening IV goed op waarde schatten, analyseren en verwoorden En wil jij er mede voor zorgen dat onze IVketen zo optimaal mogelijk werkt De Dienst Informatiemanagement zoekt versterking Om specifieke IVproblemen waarmee jouw blauwe collegas te maken hebben op te lossen, verdiep jij je in het operationele politiewerk, , Locaties Utrecht Organisatieonderdeel Politiedienstencentrum Vakgebieden Advies en beleid Niveau HBO, , Wat ga je doen, , Je adviseert en regisseert bij de intake, vormgeving en uitvoering van implementatieprojecten die meerdere, met elkaar samenhangende, portefeuilles kunnen raken Ook draag je in het team van senior productowners bij aan het Scaling Agile voortbrengingsproces van de politie informatievoorziening Hierbij denk je mee over een nog effectievere werkwijze Je zorgt voor een goede vraagarticulatie aan de hand van IVverzoeken vanuit de business en verricht de benodigde informatie en procesanalyses Hierbij houd je rekening met de IVstrategie en de ontwikkelingen binnen het IVlandschap, zoals gebruik van RDF en het Operationeel Politie Platform Ook stuur je actief aan op synergieeffecten tussen wat goed is voor het politiewerk en wat noodzakelijk is om de informatievoorziening van de politie te verstevigen, , Namens de IVketen ben jij de sparringpartner voor IVgerelateerde vraagstukken en lever je gevraagd en ongevraagd advies, zowel op tactisch als operationeel niveau Jouw inzet in de keten bestrijkt zowel SPOondersteuning als Feature Team ondersteuning en is niet beperkt tot alleen het Handhavingsdomein Je bouwt en onderhoudt in en externe netwerken van specialisten en werkt mee met de belangrijkste stakeholders aan roadmaps, impactanalyses en IVepics Samenwerken staat bij dit alles hoog in het vaandel, want je bent altijd als team gezamenlijk verantwoordelijk voor het resultaat, , Waar ga je werken, , Je gaat je expertise inzetten bij de Dienst Informatiemanagement, waar landelijk ruim zeshonderd collegas werken De informatiemanagementorganisatie van de politie voert verschillende taken uit Denk aan het beheren van gegevens, advisering, relatie en servicelevelmanagement en functioneel beheer Ook bewaken we de kwaliteit en integriteit van vastgelegde gegevens Om snel en wendbaar de gewenste informatievoorziening te realiseren, werken we volgens het Scaling Agile Model Politie Je werkplek is bij de Afdeling Advies, daar versterk je het Ondersteuningsteam dat zich richt op de portefeuille Handhaving Binnen deze portefeuille ga je werken voor het Programma Vernieuwend Registreren PVR Als IVexpert draag je bij aan de vernieuwing van de registratieve voorzieningen binnen de handhavings en opsporingsprocessen van de politie Hierbij breng je balans aan tussen de gewenste businessvernieuwing en verbetering vanuit de landelijke portefeuilleteams en de IVroadmap voor de registratieve functies Zo ben jij medeverantwoordelijk voor het adequaat laten werken van de informatievoorzieningsketen van beleidsthemas tot informatiesystemen en applicaties, , Wie ben jij, , Jij bent een innovatieve, teamwerk gerichte collega, die vakkundig goed is onderlegd en denkt in waardeoplevering Diverse IVvraagstukken kun jij op waarde schatten, analyseren en verwoorden Je zorgt dat de IVketen zo optimaal mogelijk werkt Dat kan alleen als je het operationele politiewerk en zijn specifieke problemen goed begrijpt Doordat je in staat bent om snel een goed netwerk op te bouwen, ontvang je makkelijk informatie, steun en medewerking van je collegas en relaties Jij kunt dan ook op verschillende niveaus operationeel en tactisch klantgericht met je stakeholders communiceren Daarbij ben je overtuigend, zie je verbanden en kun je langetermijndoelstellingen formuleren met de bijbehorende planning Ook ben je analytisch sterk, maatschappelijk georinteerd en organisatiesensitief Wat je niet hebt een 9tot5mentaliteit Jij handelt creatief en oplossingsgericht Dankzij jouw communicatieve en coachingsvaardigheden ben je voor je collegas de perfecte sparringpartner op themas binnen de portefeuille en productielijn Je hebt interesse om je buiten je vakgebied te ontwikkelen om een Tshaped bijdrage te kunnen leveren in de teams waarbinnen en waarmee je werkt, , Verder heb je, , , , Wat wij bieden, , De standplaats is Utrecht , maar in overleg kun je ook in Rotterdam, Zwolle of Eindhoven aan de slag Er is ruimte voor 1 fte Het betreft een functie voor 36 uur per week Er is ruimte voor 1 fte Het betreft een functie voor 36 uur per week Omdat goede mensen belangrijk zijn binnen de politie investeren we in jouw toekomst We bieden uitgebreide ontwikkelingsmogelijkheden en een vaste aanstelling, waarbij een proeftijd van n jaar van toepassing is, , Verder kun je het volgende van ons verwachten",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317471001?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F90fd9606-6f2c-4d45-be42-9856c8e97261%3Fjid%3D18690e9210f6d3c4ae45a25d4024e0719bf6f26d165a4e887dc2b4e7c6a19e0f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=iZBP&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/informatie-analist-at-politie-2317471001?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
3,information,LinkedIn,2301938582,Informatie Analist,jjBtIz3VR3uZpfAV3930ng==,Huxley,"AmsterdamNoord, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","Freelanceinterim InformatieBusiness Analist gezocht, Wij zoeken een freelanceinterim InformatieBusiness Analist, Startdatum zsm, Projectduur 3 maanden met verlenging, , , We zijn op zoek naar een senior informatie analist die gewend is in een technische omgeving te werken, , In eerste instantie moet deze analist acceptatiecriteria gaan opstellen voor een proof of concept, , We zoeken een stevige persoonlijkheid die kan aanpakken en doorpakken, , , , Requirements opstellen,, , business analist,, , solution architectuur,, , datamanagement,, , kennis van het vertalen naar technische ontwerpen, , Solliciteer nu online, of bel 0205221311 of mail  Joop Canes direct voor meer informatie over deze opdracht of een vergelijkbare uitdaging in de ITsector, , De geavanceerde STEM professional van vandaag kan morgen voorgoed de wereld veranderen Dat begrijpen wij Huxley is al ruim 20 jaar actief in het verbinden van STEM specialisten Ons klantportfolio varieert van de grootste multinationals tot startups De belangrijkste factor is dat wij een interessant project vinden dat aansluit op jouw wensen Leer ons kennen en ervaar hoe wij het verschil maken We luisteren naar jou, wie je bent en wat jouw ambities zijn Lets make impact Wij verwelkomen je graag bij Huxley",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301938582?url=https%3A%2F%2Fwww%2Ehuxley%2Ecom%2Fnl-be%2Fjob%2Finformatie-analist%2FHA-33580026%3Futm_source%3Dlinkedin%26utm_medium%3Dwrapped_jobs&urlHash=dnn2&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/informatie-analist-at-huxley-2301938582?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
4,information,LinkedIn,2286381684,Informatie Analist,45KHWytKTIemmXWNe0ZfpA==,LeasePlan Nederland,"Almere, Flevoland, Netherlands",['Automotive'],"Maak jij de vertaalslag van de behoeftes van de business naar bruikbare ICT oplossingen Dan zijn wij op zoek naar jou, , Gezocht Informatie Analist",Full-time,https://www.linkedin.com/jobs/view/externalApply/2286381684?url=https%3A%2F%2Fwerkenbijleaseplan%2Enl%2Fo%2Finformatie-analist-i&urlHash=Oq76&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/informatie-analist-at-leaseplan-nederland-2286381684?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
5,information,LinkedIn,2276846813,Business Informatie Analist,NY+THI0TSzqcxGnM0Ex8tQ==,Ventus,"The Randstad, Netherlands","['Information Technology and Services', 'Management Consulting']","Als Business Informatie Analist binnen Ventus word je bij onze klanten verantwoordelijk voor het in kaart brengen van de wensen en eisen vanuit de klant en weet jij deze vervolgens te vertalen naar bruikbare oplossingen met een belangrijke ICTcomponent Je beschrijft en analyseert bedrijfsprocessen en ontwikkelt voorstellen voor het verbeteren van bedrijfsprocessen In deze analyse worden alle COPAFIJTH aspecten betrokken Je maakt informatieanalyses en stelt functionele ontwerpen op en houdt rekening met de randvoorwaarden en technische specificaties Je hebt grondige kennis van informatieanalysetrajecten, van het opstellen van IArapporten tot het uitwerken van requirements",Full-time,,https://nl.linkedin.com/jobs/view/business-informatie-analist-at-ventus-2276846813?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
6,information,LinkedIn,2316642644,Product Owner / Informatie Analist KYC,dVKvJCqrT+S8FhYL4up97w==,Triodos Bank,"Zeist, Utrecht, Netherlands","['Nonprofit Organization Management', 'Banking', 'Financial Services']","Omdat de organisatie groeit en de complexiteit van het werk toeneemt zijn we op zoek naar een, , Informatie Analist en Product Owner",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316642644?url=https%3A%2F%2Fwww%2Etriodos%2Enl%2Fvacatures%2F51965%2Fproduct-owner-informatie-analist-kyc&urlHash=wj2z&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/product-owner-informatie-analist-kyc-at-triodos-bank-2316642644?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
7,information,LinkedIn,2311306357,Business Informatie Analist Finance,ipiZ8n+zTpiD9+pbZ0m0Mw==,KWF Kankerbestrijding,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Hospital & Health Care']","Je bent een ervaren analist die energie krijgt van het vertalen van business wensen in werkbare oplossingen Je gaat je verdiepen in complexe onderwerpen, bedenkt optimale oplossingen, specificeert deze en werkt ze uit Wil jij je ervaring en overtuigingskracht inzetten in een scrumteam bij eenu202fmaatschappelijk relevanteu202forganisatieu202fin Amsterdamu202fen zoek je een bijna fulltime functieu202fvoor 32 tot 38 uuru202fper weeku202fSolliciteer dan nu bij KWF alsu202fBusiness Informatie Analist Finance ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311306357?url=https%3A%2F%2Fkwf%2Eonlinevacatures%2Enl%2Fapp%2Fnl%2FVacature%2FDetails%2F170104%2Fbusiness-informatie-analist-finance%2Ehtml&urlHash=Df_Y&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-informatie-analist-finance-at-kwf-kankerbestrijding-2311306357?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
8,information,LinkedIn,2291641557,Data informatie analist,YjOH3A2XSkOC/DRgYqhCFQ==,De Beste Recruiters DBR,"Den Haag, South Holland, Netherlands","['Computer Software', 'Computer & Network Security', 'Information Technology and Services']","Data informatie analist in Den Haag, Wil jij werken in een gedreven organisatie waar data en marketing een belangrijke rol speelt in het succes van de organisatie Ben jij data driven en wil je helpen meewerken om de datakwaliteit naar een zeer hoog niveau te brengen Kan jij goed de business uitvragen en met creatieve oplossingen komen Lees dan nu verder",Full-time,,https://nl.linkedin.com/jobs/view/data-informatie-analist-at-de-beste-recruiters-dbr-2291641557?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
9,information,LinkedIn,2291614826,Informatie adviseur dienstregeling,OKJXZbiCRSmTO6Vm6AZKEQ==,Nederlandse Spoorwegen,"Utrecht, Netherlands","['Transportation/', 'Trucking/', 'Railroad', 'Logistics and Supply Chain', 'Information Technology and Services']","Daarom wil je als Informatie adviseur dienstregeling bij NS werken, Je zorgt ervoor dat de operatie kan sturen op het verbeteren van de uitvoering van de dienstregeling en het reduceren van klanthinder bij verstoringen, Je bent in staat staat om business rules te vertalen naar een logisch datamodel, waarmee je de ontwikkelaars van informatieproducten kunt aansturen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2291614826?url=https%3A%2F%2Fwerkenbijnhttps%3A%2F%2Fwerkenbijns%2Enl%2Fvacatures%2Finformatie-adviseur-dienstregeling-utrecht-866513%2F%3Futm_source%3Dlinkedin%26utm_medium%3Djobslot%26utm_campaign%3Dlinkedin_jobslot&urlHash=x4kd&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/informatie-adviseur-dienstregeling-at-ns-2291614826?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
10,information,LinkedIn,2303908813,Informatie Analist - Aviation,0sgBE+IGRRy+vGstuXy7qg==,CGI,"Amsterdam, North Holland, Netherlands","['Construction', 'Information Technology and Services', 'Computer Software']","Job Description, , Job Description Informatie Analist  Aviation, , Functiebeschrijving, Wil jij graag werken aan complexe en prominente opdrachten voor onze klanten binnen het luchtvaart domein Ben jij altijd als eerste op de hoogte van de nieuwste ontwikkelingen, , , Als Informatie Analist ben je verantwoordelijk voor het uitvoeren van informatie en impact analyses Jij bepaalt de meest geschikte oplossingsrichtingen en implementatiescenarios die nodig zijn om de gewenste veranderingen door te voeren binnen de door architectuur gestelde kaders Kortom, jij vervult een adviserende rol over de mogelijkheden en toepassingen van ICT Deze adviezen stel jij op in de vorm van een Solution Advice en stem jij af met relevante stakeholders De opdrachten vinden vaak plaats op locatie, , , , , , Je houdt van complexe uitdagingen in een dynamische omgeving en durft beslissingen te nemen Je hebt een echte can do mentaliteit en bent niet bang om buiten je comfort zone te treden Ook ben jij goed op de hoogte van relevante ontwikkelingen binnen Aviation en heb jij de kennis van specifieke applicaties, , , Je gaat als Informatie Analist werken binnen de sector TL Transport  Logistics voor de Aviation unit De digitalisering van onze klanten in het luchtvaart domein is ons werk CGI helpt luchtvaartmaatschappijen, luchthavens en luchtverkeersleiding succesvol te zijn, in team verband en zelfstandig CGI bedenkt en realiseert slimme oplossingen voor bijvoorbeeld de digitale luchthaven, de reis van de passagier en het optimaliseren van het onderhoud van de vloot Beveiligingsvraagstukken met Smart Cameras en state of the art Security Operating Centers voor de Cybercrime zijn oplossingen waardoor de reizen van de klant van onze klanten veilig en comfortabel verlopen, , , Wanneer je bij CGI gaat werken, kom je terecht op een uitdagende werkvloer met professionele collegas en ben je de bouwsteen binnen een hechte community We stimuleren je in jouw ontwikkeling en bieden je hiervoor alle ruimte Doorgroeien is vanzelfsprekend, , , Meer informatie over de inhoud van de vacature Neem contact op met Rik Glansbeek Director Consulting Services via 06 1535 60 06 of via rikglansbeekcgicom, Vragen over de sollicitatieprocedure Neem contact op met recruiter Saira Khan via 088 564 00 00 of via recruitmentnlcgicom , , Benieuwd naar onze Transport en Logistiek expertise Kijk dan snel op httpswwwcginederlandnlnlverkeerenvervoer , , Voor meer informatie over CGI, bezoek onze website wwwcginederlandnl , , , , Taken en verantwoordelijkheden, , Criteria, , , , Het is een bijzondere tijd binnen de wereld van IT, de digitale transformatie zit in een versnelling CGI heeft een schat aan kennis en praktische ervaring op het gebied van digitale transformatie Zo helpen wij onze klanten belangrijke stappen te zetten op de weg naar hun digitale transformatie en bieden we onze professionals uitdagende carriremogelijkheden, , Ons succes is gebaseerd op het talent en de betrokkenheid van onze professionals Samen, als n team, staan we voor de uitdagingen en delen we de beloningen die gepaard gaan met de groei van CGI Dit versterkt het gevoel van eigenaarschap, want al onze professionals delen mee in de waarde die wij gezamenlijk creren, , Kom werken bij CGI n bouw samen met ons aan een van de grootste, onafhankelijke, IT en zakelijke dienstverleners ter wereld, , Bezoek voor meer informatie over CGI wwwcginederlandnl, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld, , Wij bieden onze professionals een gelijkwaardige behandeling en gelijke carrirekansen, , Meer informatie of vragen over de sollicitatieprocedure Neem hiervoor contact op met de afdeling Recruitment via 088 564 00 00",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303908813?url=https%3A%2F%2Fcgi%2Enjoyn%2Ecom%2Fcgi%2Fxweb%2Fxweb%2Easp%3Fclid%3D21001%26page%3Djobdetails%26jobid%3DJ1020-1165%26BRID%3D768412%26SBDID%3D20561%26SBDID%3D20561&urlHash=tZjk&refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/informatie-analist-aviation-at-cgi-2303908813?refId=92f27af8-8b1f-41de-b5de-c495ef1caacc&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-11-29
