,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,English Requirement,Dutch Requirement,Sector,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,information,Indeed,p_022946ddcf4beb0f,Sales Assistant PRADA (m/f/x),Prada Netherlands BV, Amsterdam,"The PRADA Group is one of the world’s leaders in the design, production and distribution of luxury handbags, leather goods, footwear, ready-to-wear apparel, accessories, eyewear and fragrances. The Group owns some of the most prestigious international brands: PRADA, MIU MIU, Car Shoe and Church’s. Our traditional family business combines fashion and craftsmanship with art and architecture and thus sets trends.For our PRADA Store in Amsterdam we seek as soon as possible a reliable and motivatedSales Assistant (m/f/x)Tasks:Sales of our high-quality collectionsQualified customer service and customer loyaltyGoods storage and careCash deskProfile:Training in retail or equivalent trainingRelevant working experience, ideally in the luxury or premium sectorHigh affinity for luxury productsPositive charisma and hands-on mentalityFun in dealing with ambitious and international customersHigh sense of responsibility and teamplayingFluent language skills in Dutch and English expectedWe offer an interesting job in an international and dynamic environment. Please send your complete application including your salary expectations, the store you are applying for and your earliest possible starting date to:PRADA Netherlands B.V.Mr Bastian KruesmannFor more information about PRADA Group, please visit www.pradagroup.comWe ask for your understanding that we only consider online applications. Applications by post mail cannot be processed. Original documents will not be returned.Job Types: Full-time, PermanentEducation:PreferredLocation:Amsterdam (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Prada-Germany-GmbH/jobs/Sales-Assistant-Prada-022946ddcf4beb0f?fccid=11d9ebe36347b8da&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,education,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
1,information,Indeed,p_0c0554798bcea2b4,Website Coordinator Romanian market (part-time 16h/week),Oberst, Amsterdam,"Oberst BV develops online portals that help people save money. We aggregate tens of thousands of coupons and offers to make it easy for our visitors to get a better deal while shopping online. With portals like GuteGutscheine.de in Germany, LaReduction.fr in France and SökRabatt.se in Sweden, we are present in 23 countries and growing fast.
We are currently looking for a committed and motivated Website Coordinator for our Romanian website, yet to be launched. You will work in a small team and be responsible for all aspects of the content on the website. You will add to and update our coupons savings database, communicate with our partner agencies / merchants and take product ownership.
Your Responsibilities
Maintaining of our coupons and savings database
Processing of incoming emails and data
Achieving high quality and accuracy of the information in the database
Communicating with merchants and agencies, coordinating exclusive coupons and promotions
Reviewing of quality and revenue metrics and implementation of strategies for improving them
Contributing to improving internal processes to gather data and improving database quality
Your qualifications
You are fluent in Romanian and have impeccable writing skills
You have knowledge about the e-commerce market in Romania
You are flexible, resilient and very reliable
You are great at working in a team
You are accurate and enjoy working with databases
You have experience in managing an online property or affiliate marketing
You are analytical and focused on achieving (business) results

You are based in the Netherlands
What we offer
An exciting work environment in a fast-growing startup with an international and friendly team
Flat hierarchies and quick decision-making
A beautiful office near the UvA in the heart of Amsterdam accessible by public transport
Flexible working days and hours
Option to work remotely (you must reside in the Netherlands)
Flexible holidays
A salary fitting for the position and according to Dutch standards
Personal responsibility for tasks
The opportunity to contribute your own ideas
Our hiring process
We believe the right people are the most important factor for the success of the company. Thus, we do a very thorough process, which includes:
Screening email
Video and in-person interviews
Reference check
We look forward to receiving your application!",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=0c0554798bcea2b4&fccid=e85b4a467f5aed6e&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
2,information,Indeed,p_44a8d397ff3395f8,BARISTA,Starbucks, Amsterdam,"By bringing people together over coffee, Starbucks has become one of the world’s best-known and best loved companies. Working at Starbucks is a lot like working with your friends! When you work here, you’re not an “employee” – we call ourselves “partners” because we believe in shared common goals and mutual success. Our partners are our most valuable resource.
Did you always want to work as a Barista in Starbucks and are you interested to learn all about the different beverages that we make? Do you have an outgoing, positive “can do” attitude and you love face to face interactions? Than you are the perfect candidate!

Your job
A Starbucks Barista delivers legendary customer service to all customers by acting with the ‘customer comes first’ attitude and connecting with the customer. Discovers and responds to customer needs, provides quality beverages, whole bean, and food products consistently for all customers according to Starbucks’ recipe and presentation standards. Acts with integrity, honesty and knowledge that promotes the culture, values and mission of Starbucks.

Your responsibilities:
Communicating information to the store manager so that the team can respond as necessary to create the Third Place environment during each shift;
Maintaining a calm demeanour during periods of high volume or unusual events to keep the store operating standard and to set a positive example for the shift team;
Maintaining a clean and organized workspace so that partners can locate resources and product as needed;
Contributing to a positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.
Recognizing and reinforcing individual and team accomplishments by using existing organizational methods;
Following Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift;
Assisting with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed;
Maintaining regular and consistent attendance and punctuality;
Following health, safety and sanitation guidelines for all products.
Your profile
Qualified candidates for a Barista position don’t need any previous experience. It is an asset if you do possess related experience.
Must haves:
You can speak conversational English and basic Dutch;
You are flexible (no “9-5”, weekends off mentality)
Strong work ethic and results driven;
Ability to learn quickly;
Strong interpersonal skills;
Ability to work as part of a team and to build relationships;
Ability to understand and carry out oral and written instructions and request clarification when needed;
A Dutch work permit.
Core Competencies
Puts the customer first and has a relentless focus on the customer.
Understands what the customer wants and how to best deliver the experience.
Works well with others, listens and communicates well with people within and outside of Starbucks.
Creates a team environment that is positive and productive and leads courageously.
Takes personal responsibility to do the right thing, and persists in times of challenge or uncertainty.
Adapts quickly to change and makes timely, thoughtful decisions
Develops continuously and achieves results.
Continuously seek opportunities to improve self and others. Leads with trust, honesty and commitment to hire, coach and develop partners to achieve their potential.
Understands what drives overall business success and is accountable to prioritize and deliver quality results.
Demonstrates knowledge of core products and processes to get results. Anticipates obstacles and takes action to prevent or minimize their impact.
What we offer you
€ 9,96- per hour (excluding 8% holiday pay)
Health insurance discount
Pension
A free bag of coffee per week
Discounts on all of our products
Free beverages while working
Additional 8% holiday pay
Commuter allowance (if you live more than 7.5KM from your store)
25 paid holiday days per calendar year (Full time)
150% pay when you work on a public holiday
You have the possibility to work part time.",-1,-1,https://indeed.nl/rc/clk?jk=44a8d397ff3395f8&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=bb3b31b86d86b948&assa=1156,https://nl.indeed.com/vacature-bekijken?jk=44a8d397ff3395f8&fccid=a88e611ddef97571&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,agriculture and industry,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,A,0.2215868477483917,0.7784131522516083,0.49320943531093636,0.5060757684060043,Male,Mixed Age
3,information,Indeed,pj_56d91ec45dc8dbcc,Managing Director,Crosswise Works, Amsterdam,"Crosswise Works is a social enterprise that has existed for 5 years. We support entrepreneurs and build enterprises in emerging economies in Africa. Important themes in our work are entrepreneurship development, partnership building and access to finance. We manage large development programs but also deliver consultancy services. We are fast, flexible and lean. We cherish proven methods but also like to try out new tools. And we never work alone. Partnerships are very important to us.In our programs, projects and consultancy assignments we build and implement ideation and incubation pathways for startups, offer crowdfunding and design innovative funds, build partnerships across sectors and strengthen entrepreneurial ecosystems. Check out The Next Economy, in which we collaborate with multiple parties such as SOS Children’s Villages, crowdfunding technology GoodUp, and local ESO’s in Nigeria, Mali and Somalia/Somaliland. For more info: https://next-economy.com/en and another of our multi-year programs is Boost Your Business focusing on the circular economy of Mombasa, Kenya.From being a small startup up until 2019 we have grown to nine staff members in 2020 at HQ and 15 partnerships across the African continent. We are recognized by partners and clients as a social enterprise able to run large scale programs and offering valued consultancy services. Within this framework we aim to scale our consultancy work, seek more partnerships and sustain our current team in the Netherlands. The past year we have worked hard to strike a balance between structure, procedures and systems and our wish to be flexible, experimental and offer quality services by highly skilled professionals who excel at what they do. We have not achieved that balance yet! We are therefore looking for a Managing Director that is able to:Strengthen the internal organization so it can sustain its effortsEnsure that foundation is flexible enough to move with the tides of the development sector and strengthens the consultancy workDevelop a strong trust in the expertise and skills of our professionalsBuild a management framework within which our staff can thrive andStimulate quality and results.The Managing Director will be requested to strike a balance between participatory involvement and decisive action. The DNA of Crosswise Works is determined by the collective. We find spirit and joy in learning and collaboration and our international staff ideally spends most of their time making an impact. As our Managing Director you will first support building the foundation for a solid, financially sustainable and balanced professional organization. From there you will be able to maintain it with optimal processes, human resource management and decision-making based on relevant data and insights from the staff. Furthermore, you will represent our organization towards donors and clients. Both internal and external you are visible, open and accessible and someone who builds reliable and sustainable relationships. All of this requires a strong feel for sustainable entrepreneurship in Africa we aim to achieve.What you are bringingProven experience with end responsibility in a management positionProven experience with management and implementation of large donor funded development programsPreferably worked in a social enterprise that combines donor funded programs with consultancy assignmentsPreferably know-how and experience on themes such as sustainable economic development and entrepreneurship developmentSuccessful in representing an organization in the field of development interventionsAffinity with working on the African continent and across cultures(Applied) academic level thinkingExcellent communication skills;Professional working proficiency (writing and speaking) in English, preferably also Dutch;You can easily switch between different cultures, quickly understanding and operating in a new context;You reside in the Netherlands (preferably the ‘Randstad’) and are allowed to work here;What can we offer you?Crosswise Works offers a challenging job, contributing to sustainable development with a committed team. We can offer a gross fulltime salary in the range of €4.200 and €5.500 per month with a minimum of 32-hours per week. In addition, we provide travel allowance, 28 vacation days per year and additional employment conditions such as a working from home scheme and study budget. At the moment we do not offer a pension scheme. In addition to the content of the position, you will be in the position to support the team and yourself in creating sufficient opportunities for personal growth and development.Send a motivation letter with your CV before Monday March 8th, 12:00h. We encourage your motivation letter to include contact information of references. Make sure to include references that represent the entire social enterprise, business or organization you have managed. Only candidates who meet the requirements of the position will be shortlisted and notified before March 10th. Based on online coffee meetings we will come to a compact shortlist. Those candidates we will assess in two rounds: 1) a minimum of two conversations with key staff in the organization, 2) an assessment based on a relevant case study with staff and board members[1]. We expect to have the first coffee conversations on Friday March 12th. If you have any questions feel free to ask via email.We are committed to creating an equitable, diverse and inclusive work space. Candidates from diverse backgrounds are strongly encouraged to apply.Acquisition based on this vacancy is not appreciated.[1] Crosswise Works legal structure is a Foundation (Stichting). KVK: Stichting Crosswise Works: 62050834Parttime uren: 32-40 per weekDeadline sollicitaties: 8-3-2021Job Types: Full-time, Part-time, TemporarySalary: €4,200.00 - €5,500.00 per monthWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Social distancing guidelines in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0AFjPDRhoG0MUWbl8hv-H7MOIbYKzskQzyO2mWQLsWoDZJyfIPuRdyZkYE_Nn1tdVP_RIlIERLRMr6AlM0rhTgFGvvhQdm9JPr5B7bb_KUl2B_MNNbbI0Gq4cyZ3EJYA0YmuZw1Z3zm_ccJ600QPiheqbkVjmmPueZgkd4yX-o7vLFrBQfUwrL2MERhILy3MUbm-BAf7-nDRmQu31D820Q6bz-nVCDjoSJ4wZQcfgvOWd9uzgtSLas0bJyQAP7uTJ3KX6iG4TWpEzTk7OPK3MPMY2rKtrkYhbTP7eFRBuk_aue-B-ms3sfv-_YJzRoZGqvupuJMscIMVcJculNMBO1q-3PiRBhxY-nzgzLC85Ts4-3dTejuOi8TQTc4_bH2ci0-6ukE0tBVWqb7XiIMN25EkFQ6Mc-YzXSNYkDPXtlZ8H1UwwED0RPpeMEuISs8FRc=&p=4&fvj=1&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,agriculture and industry,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,A,0.2215868477483917,0.7784131522516083,0.49320943531093636,0.5060757684060043,Male,Mixed Age
4,information,Indeed,p_24b2ac3f4d4cbb7f,Personal Assistant,Roland Berger, Amsterdam,"Data protection
Protecting your personal data and complying with relevant data protection legislation is something we take very seriously. Before applying, please consult our Privacy Policy for detailed information on how we process your application and personal data as well as your rights under the relevant data protection legislation.
Technical support
In case of any technical issues or problems submitting your application please contact: Dennis Reck (+49 89 9230-9127) or Isabell Schönemann (+49 89 9230-9583).",-1,-1,https://indeed.nl/rc/clk?jk=24b2ac3f4d4cbb7f&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=29e6a7eff27833ec&assa=3620,https://nl.indeed.com/vacature-bekijken?jk=24b2ac3f4d4cbb7f&fccid=5c4fa5e6e5eedb21&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
5,information,Indeed,p_dddbd45d2376f132,Bike Crew Member - Amsterdam,Gorillas, Amsterdam Zuid,"About Gorillas:

We are Gorillas and on a mission to redefine convenience retail. With our ten minute grocery deliveries we are disrupting the supermarket space, one of the biggest markets still in the hands of traditional players. We are a rapidly growing startup and are currently building an outstanding team with skilled members across all domains and backgrounds. We focus on building a diverse and inclusive company culture and aim to become a global leader in on-demand retail. Come join us on this journey.

This is a unique opportunity to be part of a Start-Up in Amsterdam from day one and to have a real impact on the company’s success. We have a ""Rider First""-Approach so we will invest a lot so that you feel welcome at Gorillas.

Your Responsibilities:

You will deliver groceries on a bike from our warehouse to a customer in our delivery radius
You will be the most important point of contact to our customers
You will represent Gorillas on the streets

Your Profile:

You love riding your bike
You are friendly, open-minded, enjoy talking to people and you have a positive can-do attitude
You know your way around Amsterdam
Ideally, you have worked in a delivery job before (not mandatory)

What we offer:


Steep learning curve from day one
Great opportunity to build something you are proud of: we are growing fast, which means that the opportunities at Gorillas are virtually limitless.
An awesome team spirit and an exciting workplace with a dynamic and international environment.
Transparent company culture with flat hierarchies and a high career growth trajectory at Gorillas

Disclaimer:

Gorillas is an equal opportunity employer, which means we do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression. We celebrate diversity and are committed to creating an inclusive environment for all employees.",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=dddbd45d2376f132&fccid=f228cb45b8753637&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,agriculture and industry,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,A,0.2215868477483917,0.7784131522516083,0.49320943531093636,0.5060757684060043,Male,Mixed Age
6,information,Indeed,p_3f0a992094a6d24d,Facebook and SoundCloud Coordinator,FUGA, Amsterdam Centrum,"FUGA is looking for a Facebook and SoundCloud Coordinator to help support our clients in leveraging these specific platforms (as well as other UGC DSPs) to maximise their catalogue to its full potential. As part of the wider UGC Services team you will be responsible for helping FUGA generate revenue on UGC services. Ensuring all elements of a clients digital catalogue are managed to an exceptional level. This means ensuring releases meet the style guide standards of the DSP, managing any conflict resolution issues that may arise and working with clients to ensure releases are set up and go live on time. You will also work closely with the FUGA Ops team and will be efficient in understanding how ingestion and delivery of content into UGC services is managed.

As part of the UGC team you will:
Be responsible for coordinating our day to day Facebook and SoundCloud operations
Manage communications with clients who use FUGA to deliver into UGC services
Help support, troubleshoot and coordinate any day to day client issues that may arise
Actively work with the relevant teams at FB and SC to resolve issues
Be fully proficient in understanding how FB and SC backend and user facing systems work
Understand and learn to use FB Rights Manager and become proficient in ensuring FUGA internal workflows align with it
Develop and maintain a good working relationship with the relevant teams at Facebook and SoundCloud
Work with FUGA Marketing team to track priority release schedule and ensure releases are monitored at all times
Be a positive, supportive and active member of the FUGA UGC services team
Learn and understand additional elements of your teams responsibilities
YouTube monetisation and channel optimisation
YouTube claims and conflict resolution
To become a successful FB and SC Coordinator you’ll need to have a passion for music, client support and an interest in learning the technical elements of the modern music industry. The job requires you to work collaboratively with internal FUGA teams as well with clients. The ability to learn and digest technical and operational information is a must. You’ll need to be able to effectively use your newly acquired knowledge to provide a best in class level of client care for the labels we work with.

Specific experience, skill sets and attributes we are looking for:

At least 2 years working in an office environment, ideally in a client/user facing role
Focused and competent with the ability to absorb technical detail
Eager to develop ones skills and knowledge in a fast paced music and tech focused environment
Comfortable working with changing requirements
Able to confidentiality troubleshoot/problem solve, as an individual as well as collaboratively within a team",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=3f0a992094a6d24d&fccid=92b2393ce4a0bfb3&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
7,information,Indeed,p_f2c0d5347ff14555,Operations and Customer Happiness Internship,Cortazu BV, Amsterdam,"Are you looking for a challenging internship that will teach you everything about generating organic growth and stellar customer communication for an outdoor clothing brand?*Are you interested in the E-commerce industry and logistics?**Are you passionate about communication, like to think strategically, and are creative?**Tasks and ResponsibilitiesAs of March 2021 (or earlier), Cortazu is looking for an Intern to support with general operations and customer happiness. The goal of the position is to be multi-functional; to help with operational tasks, to be a clear communicator and aid our customer's queries and concerns, to assist in other e-commerce related projects.Daily Tasks will include: Respond to customer questions on a multitude of platforms including social media and emailHandle returns and exchanges or customers ordersHelp increase sales through various outlets including live chat on our webshop and communications with potential customersAssist with E-commerce administration tasks using platforms such as Shopfiy, MailChimp and Typeform.Assist with social media and online marketing campaignsRequirementsAvailable for ~ 4 days a weekExcellent English in written and spoken language (C1 and above)Preferably located in Amsterdam or the surrounding areaCreative, passionate, and hardworkingA true coordinator: structured, solution-oriented and practicalCustomer oriented to be able to assure an excellent user experienceHas a sense of humor and is a real team playerNot afraid of working independentlymin. HBO level education in Economics, Business, Marketing related studiesBenefitsNext to great responsibilities and great experience in the field we offer:EUR 450 per monthLearn everything about entrepreneurship in fashion tech and the creative aspect of operations for an online businessWork in a young and enthusiastic teamAn opportunity to join an innovative start-up with lots of possibilitiesAbility to work in the beautiful, exciting center of Amsterdam (HQ next to the Vondelpark)Lunch and after-work drinksCulture fit / COVID SituationWe believe that the culture fit and employee relations aspect is imperative to having a happy and healthy working experience. We therefore may ask to meet for a chat and a coffee in person before offering the position.We are careful and compliant with the current COVID pandemic and are staying up to date with the latest regulations and restrictions. We would ideally start with a combination of working from the office and working from home, but we can be flexible with this as much as possible whilst remaining within the government guidelines.Want to apply? Send your CV and cover letter via the ""apply now"" button. Talk soon and feel free to spread the word!About CortazuCortazu is a direct-to-consumer brand on a mission to re-green 5 million m2 of land by 2025. We're focused on designing and delivering premium technical clothing for skiing, hiking, but also for daily use. Cortazu is at the intersection between outdoor sports and lifestyle. Our products are used in over 60 countries and as a result, our technical clothing has been worn in environments such as the Himalayas and the Rocky Mountains. But also in cities such as New York and Tokyo. In 2019 Cortazu won an ISPO award for their sustainable hard shell jacket and they're-green 62m2 of land for every product sold. Find more information at: cortazu.com*Contractduur 6 maandenParttime uren: 24-40 per weekVerwachte startdatum: 15-3-2021Job Types: Full-time, Part-time, Temporary, InternshipSalary: €450.00 per monthWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Social distancing guidelines in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Cortazu-B.V./jobs/Operations-Customer-Happiness-Internship-f2c0d5347ff14555?fccid=d4d64026980a4540&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,agriculture and industry,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,A,0.2215868477483917,0.7784131522516083,0.49320943531093636,0.5060757684060043,Male,Mixed Age
8,information,Indeed,p_81a55a8986dc54f4,"Executive Assistant, Amsterdam ( Part Time)",Apple, Amsterdam,"Summary
Posted: Feb 9, 2021
Weekly Hours: 29
Role Number:200219258
The people here at Apple don’t just build products — they craft the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it.
Apple’s Sales organization generates the revenue needed to fuel our ongoing development of products and services. This in turn, enriches the lives of hundreds of millions of people around the world. Our sales team, is in many ways, the face of Apple to our largest customers.
The scope of the position will focus on providing support to the Director of Apple Netherlands including the wider sales team + the Enterprise Lead. You will contribute to ensuring a high level of collaboration within the NL Sales Leadership team.
Key Qualifications
Relevant experience of high-level, complex administration work at a senior level.
Flexible approach to work.
Excellent networking skills with key business partners in central teams.
Global awareness, time zones, culture, logistics.
Excellent communication skills - verbal and written involving high-level communications with internal and external contacts.
Effective time management, uses initiative to prioritise workload and execute against multiple projects and deadlines and meet these.
Ability to work in a fast-paced environment, anticipate issues, stay calm under pressure and work within ambiguity.
nterpersonal/relationship building skills/proactive collaboration with the team.
Experience making complex domestic and international travel itineraries.
Exceptional assessment and organisational skills; attention to detail and excellent follow-through.
Demonstrates ability to take initiative, anticipate needs and exercise independent/sound judgment.
Demonstrates passion for learning new things, continuous improvement, sharing best practice.
Proven experience creating spreadsheets and composing/creating content, texts and special reports.
Keynote, Pages and Numbers skills required.
Determined, self-motivated and eager to take on new challenges.
Ability to anticipate change and react efficiently & expeditiously.
Experience as an EA to a leader is preferred.
Experience of working with remote teams.Patience and a great sense of humour!
Description
Provide first class administrative support to the Director of Apple Netherlands and broader sales organisation
Schedule and manage demanding calendars interacting daily with other EAs across Apple both locally and internationally.
Arrange and coordinate complicated international and domestic travel, accommodations and all trip logistics.
Accounting support including raising purchase requisitions, Apple Own Use orders, Goods Receipts, creating new vendors, expense reports, etc.
Arrange and event-manage business meetings, offsite conferences, all hands events, etc
Coordinate timing and logistics of staff meetings.
Prepare meeting materials ahead of time.
Organise meetings via VC and conference calls.
Handle and maintain highly confidential and sensitive information.
Results-oriented, diligent and works with a sense of urgency.
Proven ability to effectively organize, prioritize and handle multiple assignments simultaneously and meet deliverables under tight deadlines
Critical thinking; understands business and industry and sees the “big picture”.Thinks of innovative ways to get things done
Self-starter attitude with the ability to learn and bring themselves up to speed very quickly
Education & Experience
Bachelor's degree
Fluent English is required.",-1,-1,https://indeed.nl/rc/clk?jk=81a55a8986dc54f4&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=611fd43ec7075c99&assa=8393,https://nl.indeed.com/vacature-bekijken?jk=81a55a8986dc54f4&fccid=c1099851e9794854&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,other service activities,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,S,0.6590909090909091,0.3409090909090909,0.4166666666666667,0.5681818181818182,Mixed Gender,Mixed Age
9,information,Indeed,p_2d160651a6e4d231,Pizzabakker/Pizzaiolo,Italian District, Amsterdam,"Hello future colleague!!Who are we?We make delicious pizza's in Amsterdam West and Oost. We are looking for Pizzaiolo/Pizzabakker with a passion for working with fresh ingredients to produce our delicious pizza's!Who are we looking for?A team player, someone who can communicate well and is willing to learn new things in an new environment. For our Italian restaurant, we are looking for people who have at least a good conversational level of English and who are proactive and customer friendly.At Italian District we reward good working ethics and enthusiastic people. If you want to join us on our adventure, then apply now sending us your CV with a brief explanation of what you can bring to Italian District. Please specify the position you want to apply to in the email subject line.Flexibility in your working hoursFriendly to customersFluent Dutch or English- Hours per week: 28-38If you respond to this job offer provide us also with the following information: - Which days you can work.- How many hours you can work on these days.We look forward to work with you!Parttime uren: 28-38 per weekSoort dienstverband: Fulltime, Parttime, Bepaalde tijd, Onbepaalde tijdSalaris: €13,50 per uurWerkschema:Avondwerkma-vrWeekendWerken op feestdagenTaal:English (Aanbevolen)Dutch (Aanbevolen)Thuiswerken:Nee",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Italian-District/jobs/Pizzabakker-Pizzaiolo-2d160651a6e4d231?fccid=ec8f5aefed400f08&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-23,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
