Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,engineer,LinkedIn,2166096844,Project Engineer Buitenruimte,dW3qWCxgR9CbE48EGmptJQ==,Schaal Ingenieurs,"The Randstad, Netherlands","['Civil Engineering', 'Renewables & Environment', 'Construction']","Schaal Ingenieurs is een onafhankelijk adviesbureau op het gebied van de civiele techniek Door groei en overname van RIBW Projecten leveren wij hier door onder anderen kwalitatief hoogwaardig advies en onderscheidende innovatieve oplossingen op het gebied van inrichting in de Buitenruimte Wij zijn een toegankelijke, transparante en betrouwbare partner voor onze opdrachtgevers",Full-time,,https://nl.linkedin.com/jobs/view/project-engineer-buitenruimte-at-schaal-ingenieurs-2166096844?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
2,engineer,LinkedIn,2167609163,Projectmanager,LtM7aK+dQqywYPt58tejfg==,Schaal Ingenieurs,"The Randstad, Netherlands","['Civil Engineering', 'Renewables & Environment', 'Construction']","Schaal Ingenieurs is een onafhankelijk adviesbureau op het gebied van de civiele techniek Door groei en overname van RIBW Projecten leveren wij hier door onder anderen kwalitatief hoogwaardig advies en onderscheidende innovatieve oplossingen op het gebied van inrichting in de Buitenruimte Wij zijn een toegankelijke, transparante en betrouwbare partner voor onze opdrachtgevers",Full-time,,https://nl.linkedin.com/jobs/view/projectmanager-at-schaal-ingenieurs-2167609163?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
3,engineer,LinkedIn,2267305003,Ingenieur,UkkpGPwSRkKj5SEf7JvBBA==,Xelvin,"Alkmaar, North Holland, Netherlands","['Civil Engineering', 'Oil & Energy', 'Mechanical or Industrial Engineering']","Complexe infraprojecten, samenwerken in een team en iedere dag de zaken rondom het project van A tot Z managen, , Voor een aannemer in Alkmaar zoekt Xelvin een ingenieur E Jij wordt de specialist voor alle elektrotechnische ontwerpen en plannen Waar moet je dan aan denken Projecten met betrekking tot ondergrondse infrastructuren zoals leidingen en kabels voor bijvoorbeeld electriciteit, gas en water",Full-time,,https://nl.linkedin.com/jobs/view/ingenieur-at-xelvin-2267305003?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
4,engineer,LinkedIn,2321450787,Engineer (Rotterdam),K2nIYycaQbSMckqP1ZiIow==,bilfinger,"Amsterdam, North Holland, Netherlands",['Food & Beverages'],"EngineerLocatie RotterdamWil jij verantwoordelijk zijn voor het leveren van technische ondersteuning aan onze opdrachtgevers in de industrie Ben jij goed in het ontwerpen, tekenen en berekenen van constructies Lees dan snel verderHet engineering team dat bestaat uit 8 gedreven en hulpvaardige constructeurs, is op zoek naar versterking Als team werk je nauw samen met onze projectleiders op de bouwplaatsen die de steigermontagewerkzaamheden uitvoeren Je bent betrokken vanaf de voorbereiding tm de oplevering Het leuke hieraan is dat je duidelijk resultaat ziet van je werkWat houdt deze functie inDe werkzaamheden zijn oaJe ontwerpt, tekent en berekent aan de hand van de door de opdrachtgever of aanvrager verstrekte gegevens, met behulp van de meest recente software, complexe steigerconfiguraties binnen de wettelijke en door de organisatie gestelde eisenJe geeft technische ondersteuning tijdens de voorbereiding en uitvoering van complexe steigerconstructiesJe voert werkopnames en kwaliteitsinspecties uit op de diverse projecten die jij onder je hoede hebtJe keurt complex steigerwerk van de hoogste moeilijkheidsgraadJe onderhoudt in overleg met je leidinggevende contacten, na het verzorgen van de tekeningen en berekeningen, met opdrachtgevers en projectleidingJe ontwikkelt instructies en uitvoeringsstandaardenJe kent en werkt conform de veiligheids, gezondheids, welzijn en milieuvoorschriften en meldt de vastgestelde tekortkomingen en mogelijke verbeterpuntenWat heb jij te biedenMinimaal HBO BBE of B Eng  HTS diploma in constructieve richting werktuigbouwkunde, bouwkunde of civiele techniekVeiligheid voor Operationeel Leidinggevenden binnen 3 maanden na aanvang dienstverbandErvaring met MS Office, AutoCAD 2D3D, Navisworks en het modelleren in 3D eindige elementen softwareKennis van Eurodode normen voor staalconstructiesTen minste 5 jaar ervaringGoede communicatieve vaardigheden, technisch inzicht, beheersing van de Nederlandse en Engelse taal in woord en geschriftWat bieden wij jouEen marktconform salaris, goede secundaire arbeidsvoorwaardenUitstekende begeleiding tijdens het inwerktrajectOpleidings, en doorgroeimogelijkhedenLeaseautoEen bonusregeling, afhankelijk van bedrijfsresultaat35 vakantiedagenEen goede pensioenregelingEen tijdelijk contract met uitzicht op een vast contractContactVoor vragen kan je contact opnemen met Jannie van der Heide, Senior HR Business Partner op telefoonnummerWij zijn BilfingerBilfinger Industrial Services is d multidisciplinaire partner voor projecten en onderhoudswerkzaamheden aan industrile assets Onze toegevoegde waarde ligt in onze jarenlange kennis en ervaring, onze brede dienstverlening en een optimale focus op een veilig en efficint verloop van werkzaamheden De waarden HSEQ, integriteit, vertrouwen en respect, veerkracht en verantwoordelijkheid staan bij ons hoog in het vaandelOns brede servicepakket bestaat oa uit isolatie, steigerbouw, painting, tracing, asbestverwijdering, vuurbescherming, lawaaibeheersing en rope accessWij zijn actief in de marktsectoren petrochemie, chemie, olie en gas, farma, food, energie, staal en maritiem Wereldwijd telt Bilfinger zon 36000 medewerkers In Nederland en Belgi werken dagelijks meer dan 1300 medewerkers vanuit onze acht vestigingen Daarnaast werken er voor Bilfinger nog eens 1200 medewerkers via VCUgecertificeerde bedrijven Ons hoofdkantoor in Nederland bevindt zich in Rotterdamse havenAcquisitie wordt niet op prijs gesteld Aan het zonder opdracht voorstellen van kandidaten kunnen geen rechten cq verplichtingen worden ontleend",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321450787?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F116db301-82ed-4a4d-b69c-a0b72bae0013%3Fjid%3D1151497490852589521cb6d3ddbff847693de114a5f8c36afd6d3f3f18538d04%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=PeR8&refId=0ad6873a-2341-4144-8b70-00b73e6e179a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-rotterdam-at-bilfinger-2321450787?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
5,engineer,LinkedIn,2325598011,Engineer,ILr+xlWdSbCLflZLqfzsxw==,koen,"Schiphol, North Holland, Netherlands",['Staffing and Recruiting'],"Installaties zijn gedoemd te mislukken zonder goede Engineer Gelukkig ben jij die Engineer, Stel je eens voor dat je vast in dienst bent en aan afwisselende opdrachten werkt Opdrachten waar jij echt je tanden in kunt zetten Die jouw groei versnellen En stel je eens voor dat je wordt opgeleid en begeleid om jouw ambities waar te maken Klinkt dat gaaf Ja toch Dan hoor jij thuis bij koen en is deze Engineer vacature jou op het lijf geschreven, , Als slimmerik bij koen krijg je de ideale combinatie van zekerheid en variatie Natuurlijk zorgen we dat de opdrachten passen bij jouw wensen Jij als specialist deelt jouw kennis met opdrachtgevers en helpt ze verder Zo gaan we samen voorop Ook kun je altijd sparren met je consultant en collegaspecialisten, want er is veel persoonlijk contact Verveling is gewoon geen optie En stilstaan al helemaal niet, , Dit houdt de vacature Engineer in, Als Engineer zijn technische utilitaire installaties jouw tweede thuis Je adviseert, ontwerpt, ontwikkelt en monitort deze installaties En daar stopt het niet Je bent ook verantwoordelijk voor specificaties, werkomschrijvingen, bestekken en begrotingen Een veelzijdige baan dus, , Natuurlijk houd je jouw kennis niet voor jezelf Je draagt je plannen over aan de projectleider en de rest van het team Ook werk je mee aan de aanbestedingsstukken en zorg je dat de wensen van de klant op de juiste manier worden vertaald naar een installatie Wijzigingen in het ontwerp beoordeel jij eerst Elke opdracht is weer anders, dus alle aspecten van jouw specialisme komen van pas, , , Voor deze vacature Engineer zoeken wij slimmeriken met kennis, kunde en karakter, , , , Leren, ontwikkelen en verbeteren Als Engineer wil jij vooruit Bij koen begrijpen wij dat Daarom investeren wij in jouw loopbaanontwikkeling Dit doen we door intensieve begeleiding en op maat gemaakte opleidingen Bij koen ben je in vaste dienst en werk je aan diverse toffe opdrachten Jij bent de specialist binnen koen en helpt onze klanten verder bij technische vraagstukken Op onze beurt brengen wij jou verder in jouw carrire Samen kijken we vooruit en lopen we voorop Je hebt dan ook veel contact met je collegas bij koen Niet alleen om kennis en ervaringen uit te wisselen, maar ook om geregeld iets leuks met elkaar te ondernemen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325598011?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dc893e6e8d1f4%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfaddcdd8cdd7bddd8adbbddaaadbgdd8aadcfddf3aeacdccfec3ddcg3e&urlHash=eQht&refId=0ad6873a-2341-4144-8b70-00b73e6e179a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-koen-2325598011?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
6,engineer,LinkedIn,2324393145,Engineer,AWIy8TyfQt2YbK+KRz2VcA==,koen,"Utrecht, Utrecht, Netherlands",['Staffing and Recruiting'],"Installaties zijn gedoemd te mislukken zonder goede Engineer Gelukkig ben jij die Engineer, Stel je eens voor dat je vast in dienst bent en aan afwisselende opdrachten werkt Opdrachten waar jij echt je tanden in kunt zetten Die jouw groei versnellen En stel je eens voor dat je wordt opgeleid en begeleid om jouw ambities waar te maken Klinkt dat gaaf Ja toch Dan hoor jij thuis bij koen en is deze Engineer vacature jou op het lijf geschreven, , Als slimmerik bij koen krijg je de ideale combinatie van zekerheid en variatie Natuurlijk zorgen we dat de opdrachten passen bij jouw wensen Jij als specialist deelt jouw kennis met opdrachtgevers en helpt ze verder Zo gaan we samen voorop Ook kun je altijd sparren met je consultant en collegaspecialisten, want er is veel persoonlijk contact Verveling is gewoon geen optie En stilstaan al helemaal niet, , Dit houdt de vacature Engineer in, Als Engineer zijn technische utilitaire installaties jouw tweede thuis Je adviseert, ontwerpt, ontwikkelt en monitort deze installaties En daar stopt het niet Je bent ook verantwoordelijk voor specificaties, werkomschrijvingen, bestekken en begrotingen Een veelzijdige baan dus, , Natuurlijk houd je jouw kennis niet voor jezelf Je draagt je plannen over aan de projectleider en de rest van het team Ook werk je mee aan de aanbestedingsstukken en zorg je dat de wensen van de klant op de juiste manier worden vertaald naar een installatie Wijzigingen in het ontwerp beoordeel jij eerst Elke opdracht is weer anders, dus alle aspecten van jouw specialisme komen van pas, , , Voor deze vacature Engineer zoeken wij slimmeriken met kennis, kunde en karakter, , , , Leren, ontwikkelen en verbeteren Als Engineer wil jij vooruit Bij koen begrijpen wij dat Daarom investeren wij in jouw loopbaanontwikkeling Dit doen we door intensieve begeleiding en op maat gemaakte opleidingen Bij koen ben je in vaste dienst en werk je aan diverse toffe opdrachten Jij bent de specialist binnen koen en helpt onze klanten verder bij technische vraagstukken Op onze beurt brengen wij jou verder in jouw carrire Samen kijken we vooruit en lopen we voorop Je hebt dan ook veel contact met je collegas bij koen Niet alleen om kennis en ervaringen uit te wisselen, maar ook om geregeld iets leuks met elkaar te ondernemen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324393145?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D8657614159ba%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cdda8ddbfdd99ddaaddfaddcgddfaddbfdd73aeecacffec3ddcg3e&urlHash=N9uX&refId=0ad6873a-2341-4144-8b70-00b73e6e179a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-koen-2324393145?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
7,engineer,LinkedIn,2324368953,Engineer,bq5pQd3bS9aPzwNnGKZ9eA==,koen,"Almere, Flevoland, Netherlands",['Staffing and Recruiting'],"Installaties zijn gedoemd te mislukken zonder goede Engineer Gelukkig ben jij die Engineer, Stel je eens voor dat je vast in dienst bent en aan afwisselende opdrachten werkt Opdrachten waar jij echt je tanden in kunt zetten Die jouw groei versnellen En stel je eens voor dat je wordt opgeleid en begeleid om jouw ambities waar te maken Klinkt dat gaaf Ja toch Dan hoor jij thuis bij koen en is deze Engineer vacature jou op het lijf geschreven, , Als slimmerik bij koen krijg je de ideale combinatie van zekerheid en variatie Natuurlijk zorgen we dat de opdrachten passen bij jouw wensen Jij als specialist deelt jouw kennis met opdrachtgevers en helpt ze verder Zo gaan we samen voorop Ook kun je altijd sparren met je consultant en collegaspecialisten, want er is veel persoonlijk contact Verveling is gewoon geen optie En stilstaan al helemaal niet, , Dit houdt de vacature Engineer in, Als Engineer zijn technische utilitaire installaties jouw tweede thuis Je adviseert, ontwerpt, ontwikkelt en monitort deze installaties En daar stopt het niet Je bent ook verantwoordelijk voor specificaties, werkomschrijvingen, bestekken en begrotingen Een veelzijdige baan dus, , Natuurlijk houd je jouw kennis niet voor jezelf Je draagt je plannen over aan de projectleider en de rest van het team Ook werk je mee aan de aanbestedingsstukken en zorg je dat de wensen van de klant op de juiste manier worden vertaald naar een installatie Wijzigingen in het ontwerp beoordeel jij eerst Elke opdracht is weer anders, dus alle aspecten van jouw specialisme komen van pas, , , Voor deze vacature Engineer zoeken wij slimmeriken met kennis, kunde en karakter, , , , Leren, ontwikkelen en verbeteren Als Engineer wil jij vooruit Bij koen begrijpen wij dat Daarom investeren wij in jouw loopbaanontwikkeling Dit doen we door intensieve begeleiding en op maat gemaakte opleidingen Bij koen ben je in vaste dienst en werk je aan diverse toffe opdrachten Jij bent de specialist binnen koen en helpt onze klanten verder bij technische vraagstukken Op onze beurt brengen wij jou verder in jouw carrire Samen kijken we vooruit en lopen we voorop Je hebt dan ook veel contact met je collegas bij koen Niet alleen om kennis en ervaringen uit te wisselen, maar ook om geregeld iets leuks met elkaar te ondernemen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324368953?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D5dd712badbc1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcadc8adcfdd99ddfaddeaadegadfaadcfade3aedcdcffec3ddcg3e&urlHash=gyF7&refId=0ad6873a-2341-4144-8b70-00b73e6e179a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-koen-2324368953?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
8,engineer,LinkedIn,2326337834,Engineer,1kUNruVUQKyw9w+yxOJC2w==,Talect,"Bunschoten, Utrecht, Netherlands",None,"Dit bedrijf is op zoek naar naar een Ontwerpleider Engineer Ben jij een motiverende leidinggevende terwijl je creatieve ontwerpen ontwikkelt van technische installaties Lees dan snel verder Als OntwerpleiderEngineer binnen de installatietechniek loodgieterswerk en klimaatinstallaties ben jij verantwoordelijk voor het ontwerpen en ontwikkelen van technische installaties in de woningbouw Jij bent de drijvende kracht achter het ontwerpproces en zorgt dat mensen en middelen op een efficinte manier worden ingezet Door jouw kennis en kunde voorzie jij ook in gevraagde technische ondersteuning aan jouw team In jouw rol als Ontwerpleider  Engineer geef je directe leiding aan het ontwerpteam, bestaande uit werkvoorbereiders en tekenaars Daarbij zorg je voor een goede werkvoorbereiding en afstemming met de projectleiding Jij zorgt ervoor dat alle ontwerpgegevens tijdig bij de calculator en projectleiding zijn, waarbij je de calculator waar nodig verder ondersteund bij het maken van keuzes met betrekking tot de componenten Elk project, vergt andere werkzaamheden Als ontwerpleider maak je een eigen planning en werkindeling aan de hand van de gestelde deadlines Je schakelt hierbij regelmatig binnen en tussen de opdrachten Jij houdt het overzicht en werkt veel samen met de Directeur en Manager Ontwikkeling Jouw verdere rol",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326337834?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fengineer%3A44423664%2F&urlHash=i5HF&refId=0ad6873a-2341-4144-8b70-00b73e6e179a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-talect-2326337834?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
9,engineer,LinkedIn,2320601132,Engineer,4yAnMvL1TAOXZ9U1I+yPkw==,Bosman Bedrijven,"Amersfoort, Utrecht, Netherlands",None,"Amersfoort, Fulltime, 40u pw Als engineer elektronische  werktuigbouwkundige installaties werk je mee aan prestigieuze utiliteitsprojecten, onder meer op de Amsterdamse Zuidas Neem bijvoorbeeld The Valley een knap en duurzaam staaltje kantoor en luxe woningbouw in de hoogte met complex installatiewerk Dit ga je doen Je ontwerpt uitdagende installaties Denk hierbij aan lichtsystemen, kabelgoten of onder en hoofdverdelers  complete klimaatsystemen, ventilatiesystemen en een warmte en koudeopslagsysteem Nadat de BIMmodelleur van jouw werk een tekening heeft gemaakt, controleer jij die Klopt alles Dan zet je de tekening door naar de projectcordinator en wordt jouw ontwerp uitgevoerd De planning van het project houd je scherp in de gaten Je maakt tekeningen, stuurt modelleurs aan en verricht ook financieel werk Zo maak je onder meer calculaties voor meer en minderwerken en vergelijk je offertes van leveranciers en onderaannemers Jouw werk staat bol van de innovatie zo realiseerden we al veel projecten met duurzame labels, zoals BREAAM en WELL Als engineer werk je aan langlopende projecten Miljoenenprojecten die soms wel vijf jaar in beslag nemen Dit betekent dat je goed plant en deadlines bewaakt En je krijgt de ruimte om goed over installaties na te denken en de diepte in te duiken In je projectteam werk je samen met sociale en behulpzame collegas die je alle vrijheid geven om jouw functie naar eigen deskundig inzicht in te vullen Met hen deel je overigens ook een kantoor En heb je een vraag aan je leidinggevende Stap er gerust op af De deur staat altijd open Dit neem je mee",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320601132?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fengineer%3A44352269%2F&urlHash=THxL&refId=0ad6873a-2341-4144-8b70-00b73e6e179a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-bosman-bedrijven-2320601132?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
10,engineer,LinkedIn,2304925550,Werktuigbouwkundig ingenieur,gwJBMSeOSL2ArGcJJagu2w==,Orion Engineering  Careers in Technology,"Utrecht, Netherlands","['Machinery', 'Mechanical or Industrial Engineering', 'Automotive']","Wil jij aan de slag als Werktuigbouwkundig ingenieur op het gebied van HighTech Engineering, Systems and Control, Vehicle Engineering, Machine Engineering, dan spreken wij graag met jou over de mogelijkheden die passen bij jouw ambitie",Full-time,,https://nl.linkedin.com/jobs/view/werktuigbouwkundig-ingenieur-at-orion-engineering-careers-in-technology-2304925550?refId=0ad6873a-2341-4144-8b70-00b73e6e179a&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
