Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,buying,LinkedIn,2322463175,Sustainability Coordinator (Tijdelijk),FneEWoWs7mrVeEebFn2qjA==,Bloom BV,"Aalsmeer, North Holland, Netherlands",['Import and Export'],"Even voorstellen, , Bloom  Green Partners  Greenex zijn begin 2020 samengegaan Drie bedrijven binnen de Dutch Flower Group die hun krachten hebben gebundeld en daarmee de grootste retail speler voor bloemen en planten is geworden op de Internationale markt Wij zijn naast de specialist ook een betrouwbare en professionele partner voor de ontwikkeling, productie, export van Private Label boeketten en planten Onze klanten portfolio gaat van discount supermarkten tot full service supermarkten in heel Europa Koop jij weleens een bloemetje bij de supermarkt voor familie, vrienden of jezelf Dan is de kans groot dat deze bij ons mooie bedrijf vandaag komt De passie voor bloemen en tevreden klanten is sterk aanwezig bij ons team van ruim 260 gemotiveerde vaste medewerkers Samen werken aan samenwerken, staat hierbij centraal, , Ben je nieuwsgierig geworden Maak dan kennis met onze organisatie, , De functie, , Heb jij passie voor duurzaamheid, ben jij organisatiebewust en gaat jouw hart sneller kloppen bij het ontwikkelen en implementeren van de duurzaamheidstrategie CSR beleid in onze organisatie Dan zoeken wij jou Meer weten Lees snel verder, , , , In de rol van Sustainability Cordinator vertegenwoordig jij de duurzaamheid binnen en buiten onze organisatie met betrekking tot kwaliteit, CSR en overige certificeringen zoals FSI Je ondersteunt de accountmanagers in het contact met de klant over het duurzaamheidsonderwerp en de inkopers in hun contact met de kwekers en andere leveranciers op het gebied van duurzaamheid Daarnaast leidcordineer je duurzaamheidsprojecten bijvoorbeeld de FSI doelstelling van 20202021 behalen, , Wij vragen, , Vanwege de verse producten die wij verkopen bloemen en planten en de markt waarin wij ons bevinden, vinden wij het belangrijk dat je ervaring hebt in de BtoB markt, bij voorkeur in FMCG Je bent communicatief vaardig, flexibel, zelfstandig, besluitvaardig en denkt procesmatig, , , Wij bieden, , Naast een jong en enthousiast team ben jij natuurlijk genteresseerd in de arbeidsvoorwaarden Deze bestaan onder andere uit, , , Interesse, , Ben jij onze nieuwe Sustainability Cordinator en heb je zin om de uitdaging aan te gaan Laat het ons weten en stuur direct je CV en motivatie in via de sollicitatiebutton Heb je meer vragen over de vacature Dan kun je terecht bij Cindy van den Bos  Hoogerbrugge, HRadvisor, via T 0174645580, , Acquisitie naar aanleiding van deze advertentie wordt niet gewaardeerd, , Wil je nog meer weten over onze organisatie Kijk dan op wwwbloomflowerscom  wwwgreenpartnersnl  wwwgreenexnl",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322463175?url=https%3A%2F%2Fdfg%2Enl%2Fnl%2Fwerken-bij%2Fvacatures%2Fbloom-sustainability-coordinator-tijdelijk%2F&urlHash=QbJu&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sustainability-coordinator-tijdelijk-at-bloom-b-v-2322463175?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=FneEWoWs7mrVeEebFn2qjA%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
2,buying,LinkedIn,2323249667,Sustainability Coordinator (Tijdelijk),1AsiHlInYmTfnyAcEfx84Q==,BloomGreen PartnersGreenex  De Kwakel,"De Kwakel, North Holland, Netherlands",None,"BloomGreen PartnersGreenex  De Kwakel zoekt een Sustainability Coordinator Tijdelijk te HBO geplaatst op 26112020, BLOOM, GREEN PARTNERS  GREENEX  Sustainability Coordinator Tijdelijk, , Even Voorstellen, , Bloom  Green Partners  Greenex zijn begin 2020 samengegaan Drie bedrijven binnen de Dutch Flower Group die hun krachten hebben gebundeld en daarmee de grootste retail speler voor bloemen en planten is geworden op de Internationale markt Wij zijn naast de specialist ook een betrouwbare en professionele partner voor de ontwikkeling, productie, export van Private Label boeketten en planten Onze klanten portfolio gaat van discount supermarkten tot full service supermarkten in heel Europa Koop jij weleens een bloemetje bij de supermarkt voor familie, vrienden of jezelf Dan is de kans groot dat deze bij ons mooie bedrijf vandaag komt De passie voor bloemen en tevreden klanten is sterk aanwezig bij ons team van ruim 260 gemotiveerde vaste medewerkers Samen werken aan samenwerken, staat hierbij centraal, Ben je nieuwsgierig geworden Maak dan kennis met onze organisatie, , Wie zoeken wij, , Heb jij passie voor duurzaamheid, ben jij organisatiebewust en gaat jouw hart sneller kloppen bij het ontwikkelen en implementeren van de duurzaamheidstrategie CSR beleid in onze organisatie Dan zoeken wij jou Meer weten Lees snel verder, , Functie Sustainability Coordinator Tijdelijk, , In de rol van Sustainability Cordinator vertegenwoordig jij de duurzaamheid binnen en buiten onze organisatie met betrekking tot kwaliteit, CSR en overige certificeringen zoals FSI Je ondersteunt de accountmanagers in het contact met de klant over het duurzaamheidsonderwerp en de inkopers in hun contact met de kwekers en andere leveranciers op het gebied van duurzaamheid Daarnaast leidcordineer je duurzaamheidsprojecten bijvoorbeeld de FSI doelstelling van 20202021 behalen, , , , Vanwege de verse producten die wij verkopen bloemen en planten en de markt waarin wij ons bevinden, vinden wij het belangrijk dat je ervaring hebt in de BtoB markt, bij voorkeur in FMCG Je bent communicatief vaardig, flexibel, zelfstandig, besluitvaardig en denkt procesmatig, , , , , Naast een jong en enthousiast team ben jij natuurlijk genteresseerd in de arbeidsvoorwaarden Deze bestaan onder andere uit, , Heb je meer vragen over de vacature Dan kun je terecht bij Cindy van den Bos  Hoogerbrugge, HRadvisor, via T 0174645580, , Interesse in de functie van Sustainability Coordinator Tijdelijk bij BloomGreen PartnersGreenex  De Kwakel regio , , Reageer nu met je CV en motivatie via de solliciteer button, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323249667?url=https%3A%2F%2Fwww%2Edebanensite%2Enl%2Fvacature%2Fsustainability-coordinator-tijdelijk-de-kwakel%2F239851%2F&urlHash=jHH3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sustainability-coordinator-tijdelijk-at-bloom-green-partners-greenex-de-kwakel-2323249667?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=1AsiHlInYmTfnyAcEfx84Q%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
3,buying,LinkedIn,2327829103,Projectmanager,5+3HvLdnnUnaTK+JGRgXCA==,Wibaut Projectontwikkeling,"Amsterdam, North Holland, Netherlands","['Real Estate', 'Construction']","Voor Wibaut, een zelfstandig ontwikkelaar van kwalitatief hoogwaardige woningbouwprojecten, zoekt Vambersk  Company een ervaren, , Projectmanager regio Amsterdam",Full-time,,https://nl.linkedin.com/jobs/view/projectmanager-at-wibaut-projectontwikkeling-2327829103?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=5%2B3HvLdnnUnaTK%2BJGRgXCA%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
4,buying,LinkedIn,2328188973,Quality Assurance Coordinator,79G58ajJofQsptOOPNr71g==,Bloom BV,"Aalsmeer, North Holland, Netherlands",['Import and Export'],"Even voorstellen, , Bloom  Green Partners  Greenex zijn begin 2020 samengegaan Drie bedrijven binnen de Dutch Flower Group die hun krachten hebben gebundeld en daarmee de grootste retail speler voor bloemen en planten is geworden op de Internationale markt Wij zijn naast de specialist ook een betrouwbare en professionele partner voor de ontwikkeling, productie, export van Private Label boeketten en planten Onze klanten portfolio gaat van discount supermarkten tot full service supermarkten in heel Europa Koop jij weleens een bloemetje bij de supermarkt voor familie, vrienden of jezelf Dan is de kans groot dat deze bij ons mooie bedrijf vandaag komt De passie voor bloemen en tevreden klanten is sterk aanwezig bij ons team van ruim 260 gemotiveerde vaste medewerkers Samen werken aan samenwerken, staat hierbij centraal, , Ben je nieuwsgierig geworden Maak dan kennis met onze organisatie, , De functie, , Weet jij alle ins en outs op het gebied van kwaliteit Krijg jij energie van het in de praktijk brengen van de laatste kwaliteitstrendseisen en bied je graag ondersteuning aan het MT en je collegas op het gebied van kwaliteitsbeleid Dan zoeken wij jou Meer weten Lees snel verder, , , , In de rol van Quality Assurance Cordinator beheer je het kwaliteitssysteem zodanig dat de kwaliteit van de organisatie gewaarborgd wordt Je zorgt ervoor dat de kwaliteitssystemen gevolgd en verbeterd worden en wij de bijbehorende kwaliteitscertificaten behouden Daarnaast signaleer je proactief wat de nieuwe eisen op het gebied van kwaliteit zijn en implementeer je deze in de organisatie dmv de daarbij behorende procedures en systemen Ook begeleid je de zowel in als externe audits, , Wij vragen, , Vanwege de verse producten die wij verkopen bloemen en planten en de markt waarin wij ons bevinden, vinden wij het belangrijk dat je ervaring hebt in de BtoB markt, bij voorkeur in FMCG Je bent communicatief vaardig, zelfstandig, besluitvaardig en flexibel, , , Wij bieden, , Naast een jong en enthousiast team ben jij natuurlijk genteresseerd in de arbeidsvoorwaarden Deze bestaan onder andere uit, , , Interesse, , Ben jij onze nieuwe Quality Assurance Cordinator en heb je zin om de uitdaging aan te gaan Laat het ons weten en stuur direct je CV en motivatie in via de sollicitatiebutton Heb je meer vragen over de vacature Dan kun je terecht bij Cindy van den BosHoogerbrugge, HRadvisor, via T 0174645580, , Acquisitie naar aanleiding van deze advertentie wordt niet gewaardeerd, , Wil je nog meer weten over onze organisatie Kijk dan op wwwbloomflowerscom  wwwgreenpartnersnl  wwwgreenexnl",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328188973?url=https%3A%2F%2Fdfg%2Enl%2Fnl%2Fwerken-bij%2Fvacatures%2Fbloom-quality-assurance-coordinator%2F&urlHash=0UYg&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/quality-assurance-coordinator-at-bloom-b-v-2328188973?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=79G58ajJofQsptOOPNr71g%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
5,buying,LinkedIn,2311431232,Contractmanager,6ze/74XnB7Th4vx7oXKTBA==,Zienn,"Leeuwarden, Friesland, Netherlands",['Hospital & Health Care'],"Ben jij iemand die initiatief neemt, gemakkelijk netwerkt in een complex speelveld en een duurzame relatie weet op te bouwen met diverse partijen Een ondernemend en cijfermatig sterk persoon die van de lange adem is En vind je het leuk om op een proactieve manier in contact te staan met klanten en collegae, en denk jij in het belang van onze clint Dan zijn Zienn en Het Kopland op zoek naar jou Lees snel verder voor meer informatie   ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311431232?url=https%3A%2F%2Fbit%2Ely%2F2VjF7CU&urlHash=Gtcy&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/contractmanager-at-zienn-2311431232?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=6ze%2F74XnB7Th4vx7oXKTBA%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
6,buying,LinkedIn,2323251597,Sustainability Coordinator (Tijdelijk),oTzYif9KOnjOVoydQrdC/g==,BloomGreen PartnersGreenex  Honselersdijk,"Honselersdijk, South Holland, Netherlands",None,"BloomGreen PartnersGreenex  Honselersdijk zoekt een Sustainability Coordinator Tijdelijk te Honselersdijk HBO geplaatst op 26112020, BLOOM, GREEN PARTNERS  GREENEX  Sustainability Coordinator Tijdelijk, , Even Voorstellen, , Bloom  Green Partners  Greenex zijn begin 2020 samengegaan Drie bedrijven binnen de Dutch Flower Group die hun krachten hebben gebundeld en daarmee de grootste retail speler voor bloemen en planten is geworden op de Internationale markt Wij zijn naast de specialist ook een betrouwbare en professionele partner voor de ontwikkeling, productie, export van Private Label boeketten en planten Onze klanten portfolio gaat van discount supermarkten tot full service supermarkten in heel Europa Koop jij weleens een bloemetje bij de supermarkt voor familie, vrienden of jezelf Dan is de kans groot dat deze bij ons mooie bedrijf vandaag komt De passie voor bloemen en tevreden klanten is sterk aanwezig bij ons team van ruim 260 gemotiveerde vaste medewerkers Samen werken aan samenwerken, staat hierbij centraal, Ben je nieuwsgierig geworden Maak dan kennis met onze organisatie, , Wie zoeken wij, , Heb jij passie voor duurzaamheid, ben jij organisatiebewust en gaat jouw hart sneller kloppen bij het ontwikkelen en implementeren van de duurzaamheidstrategie CSR beleid in onze organisatie Dan zoeken wij jou Meer weten Lees snel verder, , Functie Sustainability Coordinator Tijdelijk, , In de rol van Sustainability Cordinator vertegenwoordig jij de duurzaamheid binnen en buiten onze organisatie met betrekking tot kwaliteit, CSR en overige certificeringen zoals FSI Je ondersteunt de accountmanagers in het contact met de klant over het duurzaamheidsonderwerp en de inkopers in hun contact met de kwekers en andere leveranciers op het gebied van duurzaamheid Daarnaast leidcordineer je duurzaamheidsprojecten bijvoorbeeld de FSI doelstelling van 20202021 behalen, , , , Vanwege de verse producten die wij verkopen bloemen en planten en de markt waarin wij ons bevinden, vinden wij het belangrijk dat je ervaring hebt in de BtoB markt, bij voorkeur in FMCG Je bent communicatief vaardig, flexibel, zelfstandig, besluitvaardig en denkt procesmatig, , , , , Naast een jong en enthousiast team ben jij natuurlijk genteresseerd in de arbeidsvoorwaarden Deze bestaan onder andere uit, , Heb je meer vragen over de vacature Dan kun je terecht bij Cindy van den Bos  Hoogerbrugge, HRadvisor, via T 0174645580, , Interesse in de functie van Sustainability Coordinator Tijdelijk bij BloomGreen PartnersGreenex  Honselersdijk regio Honselersdijk, , Reageer nu met je CV en motivatie via de solliciteer button, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323251597?url=https%3A%2F%2Fwww%2Edebanensite%2Enl%2Fvacature%2Fsustainability-coordinator-tijdelijk-honselersdijk%2F239853%2F&urlHash=F4j-&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sustainability-coordinator-tijdelijk-at-bloom-green-partners-greenex-%E2%80%93-honselersdijk-2323251597?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=oTzYif9KOnjOVoydQrdC%2Fg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
7,buying,LinkedIn,2320556859,Manager Mergers & Acquistions – Strategy and Transactions,u8aISS+lscnDUBvlRLTXsA==,EY,"Amsterdam, North Holland, Netherlands",['Financial Services'],"EY is een wereldwijde speler actief op het gebied van Tech Consulting, Assurance, Tax en Strategy and Transactions Met onze expertise, systemen en financile diensten dragen we bij aan een betere werkomgeving Dat begint met een cultuur waarin je training, kansen en creatieve vrijheid krijgt om jezelf en EY continu te verbeteren, , Strategy and Transactions SaT speelt een cruciale rol bij het ondersteunen van haar klanten bij het kopen, verkopen en fuseren van ondernemingen Strategievorming, herstructureringen, operationele verbeteringen en IPOs horen daar ook bij Je werkt nauw samen in teamverband zodat je klanten in staat zijn om goed onderbouwde beslissingen te nemen Hierdoor kunnen zij hun kapitaal en transacties managen in een snel veranderende wereld Als Strategy and Transactionsspecialist werk je binnen diverse functionele gebieden, sectoren en regios, , , , Het verkopen of aankopen van een onderneming of bedrijfsonderdeel is een belangrijke strategische afweging van de directie en aandeelhouders Een transactie kan voor de onderneming op termijn het verschil betekenen tussen winnen en verliezen in de markt Ons Mergers  Acquisitions MA team levert gentegreerde fusie en overnamedienstverlening en begeleidt management buyouts en joint ventures We richten ons op financiering en investeringstrajecten voor multinationals, familiebedrijven, private equityfondsen en financile instellingen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320556859?url=https%3A%2F%2Fars2%2Eequest%2Ecom%2F%3Fresponse_id%3D8769eca037669b6db09342dc7bbbedc0&urlHash=4bHY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-mergers-acquistions-%E2%80%93-strategy-and-transactions-at-ey-2320556859?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=u8aISS%2BlscnDUBvlRLTXsA%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
8,buying,LinkedIn,2312899659,Data Analist,n4dj9zGGgq4bAhnOSbCoeA==,Brunel,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","Meer en meer grote bedrijven merken het op in data ligt het succes We ontkomen bijna niet meer aan denken n handelen nar en anticiperen p data Is datadriven zakendoen de toekomst Zeker weten, en de toekomst is hier Jouw ITskills inzetten voor het definiren van data Als Data Analist bij een grote Nederlandse bank ben jij straks de expert Solliciteer nu, , , Voor we bij jouw rol aankomen, even n stap terug Want hoe gaat het eraan toe bij deze bank De afdeling waar jij aan de slag gaat verleent dagelijks tientallen verschillende leningen en kredieten Ze gaan als warme broodjes over de virtuele toonbank, al is het proces dat eraan voorafgaat allesbehalve simpel Kredietbeoordelaars zijn namelijk strenger dan ooit tevoren voor een klant zijn broodjes krijgt moet hij eerst voldoende scoren Scoren Jazeker, want ltterlijk met scorekaarten wordt de financile achtergrond van klanten gecheckt En je raadt het al die scorekaarten zijn gebaseerd op data, data en nog eens data, , Als Data Analist is het jouw taak om alle data te beheren die aan kredieten te pas komt Samen met diverse stakeholders ga jij data definiren classificeren en monitoren Ook stel je diverse datavereisten en distributieovereenkomsten op Die datavereisten, en de afspraken daaromtrent, die monitor jij natuurlijk gedurende de complete levenscyclus van de data En wat jou opvalt, registreer je ook  eenmaal online, altijd online strookt natuurlijk niet met de GDPR En last, but definitely not least denk je na over allerlei structurele oplossingen voor de kwaliteit van en processen rondom data, , , , Standvastig doorvragen bij twijfels en diep in dossiers duiken jij deinst er niet voor terug Als datadriven ITer begrijp jij het belang van kloppende feiten als geen ander Je legt verbanden in notime, maar voert gerust een grondig onderzoek uit wanneer een case daarom vraagt Verder heb je als Data Analist, , , , Het is een pre als je daarnaast ook bekend bent met SAS en SQL, tools voor data management Alex, IDQ en DIAL, goed bent met statistiek en ervaring hebt met Agile werken Niet het geval Lees dan snel verder, , , , De datadriven toekomst is hier, maar er ligt alsnog hl veel in het verschiet Het verdere verloop van jouw ITcarrire bijvoorbeeld Wat voor skills heb jij al in huis en welke wil jij nog opdoen Bij Brunel nemen wij het met je door Zodat jij vervolgens, , , , , , Dat data eindeloos kan worden ingezet, is jou niet onbekend En onze opdrachtgever evenmin Deze Nederlandse bank heeft een duidelijk doel voor ogen inzetten op maatschappelijke verbetering En hoe kun je daar beter mee beginnen dan met het verzamelen van data Door eerst duidelijk in kaart te brengen van het hoe, wat en waarom, kun je namelijk pas cht werken aan passende oplossingen Onze opdrachtgever bekommert zich om klimaatverandering, grondstoffenschaarste en sociale ongelijkheid, en komt daarom in actie De strategie is aangepast, de focus al verlegd en de relatie met de klant verbeterd Want uiteindelijk moeten wij het samen met elkaar gaan doen En dankzij data liggen ook customer journeys tegenwoordig binnen handbereik Volop mogelijkheden, dus het is tijd voor actie Jouw skills inzetten bij deze bank Solliciteer gelijk",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312899659?url=https%3A%2F%2Fwww%2Ebrunel%2Enl%2Fnl-nl%2Fvacatures%2Fit-telecom%2Fdata-analist-pub280700%3Futm_source%3Dlinkedin%26utm_medium%3DLinkedIn_job_slots%26utm_campaign%3DIT%2B%2526%2BTelecom%26utm_term%3DData%2BAnalist&urlHash=sUsr&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/data-analist-at-brunel-2312899659?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=n4dj9zGGgq4bAhnOSbCoeA%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
9,buying,LinkedIn,2246347351,Consultant,24PjookuqxIogIrMCwp1Ug==,Luke Recruitment,"Rotterdam, South Holland, Netherlands","['Banking', 'Insurance']","Doel van de functie, , Als consultant ben je betrokken bij het team dat corporate finance opdrachten uitvoert, waaronder koop en verkoop opdrachten, waarderingen en financieringsopdrachten Je ondersteunt senior consultants, associate directors en partners bij het doorlopen van het gehele traject Daarnaast werk je mee aan het commercieel uitbouwen van de organisatie door het voorbereiden van pitches voor nieuwe klanten en het uitwerken van commercile ideen Tot slot werk je in sector teams aan marktbenadering en je wordt ingezet bij het benaderen van targets, , , , IMAP Netherlands is een MA adviesbureau met ruime ervaring in aan en verkoop van bedrijven Ze hebben het beste van twee werelden, namelijk de nuchtere Nederlandse mentaliteit en ze zijn onderdeel van een sterk internationaal netwerk Collegas op vijf verschillende continenten zorgen ervoor dat potientile kopers van China tot Chili weten dat een bedrijf te koop staat Ze zijn vooral sterk in het midddensegment, met ruwweg transacties van 5 tot 250 miljoen euro in alle sectoren, , IMAP Netherlands behoort tot de top van adviesbureaus op het gebied van fusies en overnames in Nederland IMAP Netherlands is opgericht in 2005 en heeft meer dan 250 internationale transacties afgerond Ze hebben twee kantoren in Nederland, in Amsterdam en Rotterdam, , , , httpswwwimapnlnl, , , , Financieel en operationeel, , Commercieel, , , Procesmatig, , , Je komt terecht in een energiek en ondernemend team van consultants, , , , Voor de functie van consultant zijn ze op zoek naar iemand met WO werk en denkniveau Een zelfstartende teamplayer met een winnaarsmentaliteit en een gezonde dosis humor Verder beschik je over, , , IMAP biedt een zelfstandige, verantwoordelijke functie, waarbij je onderdeel wordt van een gemotiveerd en gezellig team, , , , , , , Paulien Knuppel, , paulienknuppellukenl, , 31 6 20 40 50 99",Full-time,https://www.linkedin.com/jobs/view/externalApply/2246347351?url=https%3A%2F%2Fwww%2Eluke%2Enl%2Fvacatures%2Fconsultant-netherlands%2F&urlHash=INt8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/consultant-at-luke-recruitment-2246347351?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=24PjookuqxIogIrMCwp1Ug%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
10,buying,LinkedIn,2324793798,Strategisch I-adviseur,yLt0Tv9aZfOfHrlEDyeP+w==,Gemeente Westland,"Naaldwijk, South Holland, Netherlands","['Government Administration', 'Financial Services', 'Investment Banking']","Functiexadomschrijving, , Als strategisch Iadviseur lever je een essentile bijdrage aan de vernieuwing van de informatievoorziening van de gemeente Westland De komende jaren vinden we onze ICT opnieuw uit Van statische rekencentra naar hybride, flexibele cloudplatforms, een onpremise dataomgeving en adequate werkplekken waarmee onze publieksprofessionals zaakgericht kunnen werken Anticiperend op de ontwikkelingen van morgen zonder de betrouwbaarheid van vandaag te verliezen, , , , Je adviseert over en geeft richting aan de strategische koers van een informatievoorziening die onze organisatie helpt bij het realiseren van haar ambities, Door je inzicht in het functioneren van het openbaar bestuur en je actuele kennis van landelijke en technologische ontwikkelingen, sla je een brug tussen business en IVdoelstellingen Vanwege je sterke analytische vermogen levert dat ons een realistische visie op Als echte netwerker sta je voortdurend in contact met belanghebbenden Je bent een teamspeler die er zin in heeft om samen met je collegas onze informatievoorziening naar een hoog niveau te brengen, , Functieeisen, , , Arbeidsxadvoorwaarden, , , Overige arbeidsxadvoorwaarden, Het betreft een functie voor 36 uur per week voor de periode van 1 jaar Bij goed functioneren is er na 1 jaar uitzicht op een arbeidsovereenkomst voor onbepaalde tijd, , Bijzonderheden, , Wil je meer informatie, neem dan contact op met Sjoerd Bruinsma, teammanager bedrijfsvoering, via telefoonnummer click apply, Een datum voor de eerste gesprekken wordt nader bepaald, Interesse in deze functie, solliciteer dan voor 11 december 2020, Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324793798?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F8934109172474609784%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=SSAZ&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/strategisch-i-adviseur-at-gemeente-westland-2324793798?refId=59a9a624-b03e-4304-85f1-909210c80820&trackingId=yLt0Tv9aZfOfHrlEDyeP%2Bw%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-25,2020-12-02
