Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date
logistics manager,Indeed,p_f64d308f1d6858b6,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=f64d308f1d6858b6&fccid=0fcdec9647fe762c&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_29f04a82be5a670b,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=29f04a82be5a670b&fccid=30fff2c1c8a5da24&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_70edd501ef1efc84,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=70edd501ef1efc84&fccid=e4af9ca5b6d3a604&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_6617a8d8f9bf5661,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=6617a8d8f9bf5661&fccid=680fd8e1baf6b570&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_7f2b98517bdbf4d3,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=7f2b98517bdbf4d3&fccid=a5b4499d9e91a5c6&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,pj_693b95352f45b5e6,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BQx9zSiyEqaPFd55WgSbrogcybLLMOvaJifgHohN9UOrFhrmu1Mhjl-gqqBQpN-iTzWqkidbP0Qm_4PH8e5EFdyhLliYavDZkJk1H3LYLTf8iQG1dFjvbQ3PWwON88uXwIOH9tdzbhRrIk25IY9yOVcKuiJ065qb6-G9ofqJsLIUz3q5ETo_eV04SHQdViol3F5E-5IVsNxAlt09ESwGxMe58qtvEv-UsPMuXVXbmQwZKO5EZwXQy-XovLdq46_1nwVSSBJqlhjL_H_Bz758cIYGFpO8MmsXy8LF_W4FSzKt_tBIKify0bTwAZrpijIDiUnE_1Anxl3fAi8rbgEHoU8lq-B3cbs9zwlykpWZuEJnDXCV81-FX0TPtZunxC-w-vvO19142FsHRm85_f0hMztK5WXpAQtCoNKkTTGVoF4Ph0Ng7jA609eu3Y--5akXU5SKCE0g__qslto5FCU3L-V4XfvLwyq5hph5tm4jwntm6xdwdMhBtQ6ogAZ3Frpmasqd6GpcaLoFeZ71xM5H_f3WYfDFoKLBAdjMQO1lKZvoe5umf-_tivgvyXDdC7g0yFkMRPcQKpl4PTDCrv-81GTeRwKfRe6iCMnUF3Q1-5Qkmokgjh7l116YDSN9MlQiBAC5wnbSINHg==&p=5&fvj=1&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_ea2a52998faef546,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=ea2a52998faef546&fccid=8686937f641f561b&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,pj_86f8796d3e024277,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BQx9zSiyEqaPFd55WgSbrogcybLLMOvaJifgHohN9UOrFhrmu1Mhjl-gqqBQpN-iTzWqkidbP0QgArlbDo5AAh7sanBMCxnSWG3sVAHVvbfabOvzIMUWgAxO7TPAdhTqf-3Gh7A9235YrJv9Un7zIiHBtEwH2vVIyPDe2O-ewJ-oPPjpincevsK-SsvPvOraJXM-4GUcl6xaRbsP3V8PXg_W5vIl8zDFlMpnZmyBKFhXzqogEc7kIHQNlS0o8RSlQ--7Jmjak2Yj_lzdxVT3s-g_F4c9mghrpqtg_fqRrAGdbwt4wxJ5CGWJASvy7MdoBlJr3VVX9USAAxX9pH7Y7mx68doBJz4OteNG_t5xiTRHoIlxxU9gdYYLrHnG9InAJK3Cs_e6cOFqBtP_Hm4vHf9Simv4e4aQrrbN_f9nYARtq7O_NIMfvVAHBAwSJ9LmUISXd0iJ7XCu5h3nAQsDtfvi6n4H0ebbIAJ30uh2A-j1xG2Zn0cqxiymwZuZ3xNlb79l3cbDayRF8VS2LHHCdDMKUxyEMOMvXpz8VqSk2__DAnxYNTU_dEllS9pdsf6Ny30VO3i_p8jXVDxCFLqflGe_fnCz0-s-dEJAJMJdB2TK_gnw2TDVE_RqWFAXUZUvG9kdfW6TUg3Q==&p=7&fvj=1&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_dd031369471ba386,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken?jk=dd031369471ba386&fccid=6b65a2e46bb1a86b&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
logistics manager,Indeed,p_ef82e2ef67835d8a,Logistics Associate,TMC, Amsterdam,"The Logistics Associate is responsible for supporting their assigned team with operational tasks within the TMC Transportation Management System, general account maintenance and any additional structured work assignments required. This person is accountable for completing all assigned tasks with accuracy and timeliness. The Logistics Associate is expected to handle any internal or external communication with professionalism and courtesy.
Responsibilities:
Ensures Transportation arrangements are made for shipments by the following:
Provide timely and professional written and verbal responses to customer requests
Book transportation loads in the Transportation Management System
Monitor team mailboxes
Resolve simple exceptions to any pre-defined processes
Schedule delivery appointments with receivers
Make any necessary changes as requested by the customer within the Transportation Management System
Manual build and create new Transportation loads within the Transportation Management System
Run, format, or distribute any reports to the appropriate internal or external parties
Contribute to projects that utilize the TMC project-based delivery model
Required Qualifications:
Experience
A minimum of 1 year of experience in a customer service environment preferred
Knowledge, Skills, and Abilities
Must exemplify TMC’s core values
Detail oriented
Demonstrated experience in Microsoft Office Suite, Excel experience preferred
Able to work in a fast-paced and dynamic environment
Friendly and articulate phone demeanor
Strong verbal and written communication skills
Ability to problem solve quickly and accurately
Ability to prioritize and handle a variety of tasks
Ability to work flexible schedule on occasion, including overtime hours when requested
A minimum of up to 15% travel may be required (domestic and/or international)
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1,-1,https://indeed.nl/rc/clk?jk=f64d308f1d6858b6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=717b7b981fe3872c&assa=286,https://nl.indeed.com/vacature-bekijken/company/Royal-Capi--Lux/jobs/Category-Manager-ef82e2ef67835d8a?fccid=84633a1ed6261ed4&vjs=3,2 dagen geleden,2 dagen geleden,2021-04-01
