Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,logistics manager,LinkedIn,2322938688,Logistiek Manager,EdhCRrKHQDWS1xDeaO43ZA==,ARTO Recruitment,"Amsterdam, North Holland, Netherlands","['Banking', 'Insurance', 'Financial Services']","Algemene omschrijving, , Voor onze opdrachtgever, die gespecialiseerd is in duurzame energie, zijn wij op zoek naar een Logistiek Manager Jouw nieuwe werkgever financiert, installeert en exploiteert zon en ledsystemen voor woningcorporaties Onze opdrachtgever is in 2017 begonnen en is nog steeds hard aan het groeien Om de groei in goede banen te kunnen leiden en klaar te stomen voor een grote opschaling zijn zij op zoek naar een logistiek manager, , Samen met jouw collegas uit het magazijn sta jij in het centrum van de organisatie en ben jij een belangrijke schakel tussen de projectleiders, voormannen, onderaannemers en leveranciers Jij zorgt ervoor dat alle materialen worden klaargezet en correct worden verzonden, Daarnaast zorg je ook op administratief vlak alles goed wordt afgehandeld Je boekt alle materialen in en verzorgt de magazijn tellingen, waarbij jij zorgt dat alle voorraden kloppen Jij zorgt ervoor dat het magazijn in orde is en hebt dus een grote rol in de dagelijkse operatie, , Gestelde eisen, , , , Bedrijfsprofiel, , Als er n vakgebied in een stroomversnelling zit, is het wel die van hernieuwbare duurzame energie Wind, water zon Ze helpen om de fossiele brandstoffen binnen afzienbare tijd overbodig te maken Onze opdrachtgever is dagelijks bezig met vernieuwingen op het gebied van zogenaamde solaire systemen Een snelle manier voor bedrijven, overheidsinstellingen en particulieren om bij te dragen aan die nieuwe wereld Met 50 collegas werkt onze opdrachtgever aan het verduurzamen van Nederland Aandacht en focus ligt met name op de woningcorporaties Voor de woningcorporaties in een straal van 5075 kilometer rondom Amsterdam worden veel zonnepanelen geplaatst",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322938688?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-3307946715057624280%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=tUSl&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistiek-manager-at-arto-recruitment-2322938688?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
2,logistics manager,LinkedIn,2322035483,Junior Logistiek Manager SCM,1VkkiKXpRNSiRbPIFEmSeg==,Aldi Nederland,"Culemborg, Gelderland, Netherlands","['Consumer Goods', 'Retail', 'Supermarkets']","Geweldige baan voor initiatiefrijke Supply Chain Professional die durft door te pakken, , Mark Spanjer  Manager Inbound en Reverse Logistics SCM, , ALDI is de uitvinder van discount en staat voor eenvoud wij houden het simpel Dat is makkelijker gezegd dan gedaan Toch is dit precies waar het ons om gaat Het is onze missie om boodschappen doen zo simpel mogelijk te maken voor onze klanten Hier zetten wij ons elke dag samen voor in ALDI vernieuwt momenteel op allerlei vlakken en heeft grote ambities om verder te groeien, , , , De Junior Manager Logistiek is verantwoordelijk voor het ondersteunen van het logistiek management in onze 9 regios, vanuit een centrale rol binnen de holding Je neemt deel aan projecten en draagt zorg voor de implementatie hiervan binnen het domein Logistiek Binnen deze rol ligt de focus op inbound  return Samen met de Manager Logistiek definieer je projecten omtrent afval, retour en aanleverstromen Vervolgens zorg je voor het verzamelen, analyseren en bijhouden van data en het opvolgen van deelprojecten met jouw stakeholders Je rapporteert aan de Manager Logistiek, , , , Een logistiek professional met enige ervaring in projectmatig werken en expertise uit het werkveld Dit laatste gaat je helpen om binnen de projecten de vertaalslag te maken naar de praktijk Vanuit jouw ervaring in logistieke processen ben je in staat een helicopterview in te nemen en de bevindingen uit jouw analyses weet je helder te vertalen naar kansen en uitdagingen voor de organisatie, , Van nature ben je initiatiefrijk en in staat je eigen planning op te zetten en te volgen Je werkt graag aan complexe vraagstukken waarbij je goed weet te overleggen met je collegas Je bent in staat om een doel via meerdere wegen te bereiken, maar je wilt wel graag vooraf weten wat het doel precies is Met een open karakter en interesse voor je omgeving werk je aan jouw persoonlijke ontwikkeling Elke dag een beetje beter is wat jij wilt, , Verder vragen wij het volgende, , , , De waarden van ALDI zijn eenvoud, verantwoord en betrouwbaar Hier handelen we dagelijks naar Werken bij ALDI betekent uitgedaagd worden om het maximale uit ALDI, je team en jezelf te halen Bij onze organisatie past een enthousiaste persoonlijkheid Mensen die initiatief tonen, assertief en ondernemend zijn  dat zijn onze talenten van de toekomst En dit alles in een dynamische en internationale werkomgeving met veel doorgroeimogelijkheden, , Wij bieden jou een goed salaris, 30 vakantiedagen, 8 vakantietoeslag, een pensioenregeling en een collectieve zorgverzekering, , , , Herken jij jezelf in het profiel Solliciteer direct, , Wil je eerst nog meer informatie Of ben je nieuwsgierig naar andere functies bij ALDI Bekijk dan onze werkenbij pagina , , ALDI heeft de laatste jaren veel stappen gezet op het gebied van duurzaamheid, gezondheid en maatschappelijke betrokkenheid Kijk hiervoor op httpwwwaldinlverantwoord , , Een assessment maakt deel uit van de sollicitatieprocedure, evenals een integriteitscontrole via het Waarschuwingsregister van de stichting Fraude Aanpak Detailhandel, , , , Geweldige baan voor initiatiefrijke Supply Chain Professional die durft door te pakken, , Mark Spanjer  Manager Inbound en Reverse Logistics SCM, , ALDI is de uitvinder van discount en staat voor eenvoud wij houden het simpel Dat is makkelijker gezegd dan gedaan Toch is dit precies waar het ons om gaat Het is onze missie om boodschappen doen zo simpel mogelijk te maken voor onze klanten Hier zetten wij ons elke dag samen voor in ALDI vernieuwt momenteel op allerlei vlakken en heeft grote ambities om verder te groeien, , , , De Junior Manager Logistiek is verantwoordelijk voor het ondersteunen van het logistiek management in onze 9 regios, vanuit een centrale rol binnen de holding Je neemt deel aan projecten en draagt zorg voor de implementatie hiervan binnen het domein Logistiek Binnen deze rol ligt de focus op inbound  return Samen met de Manager Logistiek definieer je projecten omtrent afval, retour en aanleverstromen Vervolgens zorg je voor het verzamelen, analyseren en bijhouden van data en het opvolgen van deelprojecten met jouw stakeholders Je rapporteert aan de Manager Logistiek, , , , Een logistiek professional met enige ervaring in projectmatig werken en expertise uit het werkveld Dit laatste gaat je helpen om binnen de projecten de vertaalslag te maken naar de praktijk Vanuit jouw ervaring in logistieke processen ben je in staat een helicopterview in te nemen en de bevindingen uit jouw analyses weet je helder te vertalen naar kansen en uitdagingen voor de organisatie, , Van nature ben je initiatiefrijk en in staat je eigen planning op te zetten en te volgen Je werkt graag aan complexe vraagstukken waarbij je goed weet te overleggen met je collegas Je bent in staat om een doel via meerdere wegen te bereiken, maar je wilt wel graag vooraf weten wat het doel precies is Met een open karakter en interesse voor je omgeving werk je aan jouw persoonlijke ontwikkeling Elke dag een beetje beter is wat jij wilt, , Verder vragen wij het volgende, , , , De waarden van ALDI zijn eenvoud, verantwoord en betrouwbaar Hier handelen we dagelijks naar Werken bij ALDI betekent uitgedaagd worden om het maximale uit ALDI, je team en jezelf te halen Bij onze organisatie past een enthousiaste persoonlijkheid Mensen die initiatief tonen, assertief en ondernemend zijn  dat zijn onze talenten van de toekomst En dit alles in een dynamische en internationale werkomgeving met veel doorgroeimogelijkheden, , Wij bieden jou een goed salaris, 30 vakantiedagen, 8 vakantietoeslag, een pensioenregeling en een collectieve zorgverzekering, , , , Herken jij jezelf in het profiel Solliciteer direct, , Wil je eerst nog meer informatie Of ben je nieuwsgierig naar andere functies bij ALDI Bekijk dan onze werkenbij pagina , , ALDI heeft de laatste jaren veel stappen gezet op het gebied van duurzaamheid, gezondheid en maatschappelijke betrokkenheid Kijk hiervoor op httpwwwaldinlverantwoord , , Een assessment maakt deel uit van de sollicitatieprocedure, evenals een integriteitscontrole via het Waarschuwingsregister van de stichting Fraude Aanpak Detailhandel",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322035483?url=https%3A%2F%2Fwww%2Ewerkenbijaldi%2Enl%2Fvacatures%2Fjunior-logistiek-manager-supply-chain-management%2F10670%2F&urlHash=ehWY&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-logistiek-manager-scm-at-aldi-nederland-2322035483?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
3,logistics manager,LinkedIn,2327211332,Logistiek manager | Hillegom | Luba,h5MV4J/VQOGigPsyMk9d7A==,Werkzoekennl,"Hillegom, South Holland, Netherlands","['Logistics and Supply Chain', 'Transportation/', 'Trucking/', 'Railroad', 'Warehousing']","Vacature van Luba, locatie Hillegom, , Over de functie, , Voor dit productiebedrijf in Hillegom zoeken we een logistiek manager Je gaat een magazijnchef en 4 logistiek medewerkers aansturen Omdat het bedrijf snel groeit hebben ze dit jaar een tweede locatie om de hoek in gebruik genomen voor nog meer logistieke capaciteit, , Jij bent verantwoordelijk voor het logistieke proces waarbij je zorgt dat de productie 247 kan doordraaien, , , Jouw toekomstige werkgever is een belangrijke producent van een breed scala aan producten, dit wordt geproduceerd in hun moderne fabriek Zij maken oplossingen voor internationale klanten uit verschillende sectoren als automotive, luchtvaart, food en industrie De verkoop vindt plaats vanuit de hoofdvestiging in Hillegom, , Binnen dit bedrijf heerst een antirookbeleid in en rondom het gebouw Houd hier rekening mee, , , , , , , Snel Al binnen een paar minuten is het eenvoudige sollicitatieformulier ingevuld en ontvang je een automatische ontvangstbevestiging Zo weet je zeker dat je sollicitatie aan ons is verstuurd Binnen 1 werkdag krijg je een reactie van de intercedent bij jou in de buurt, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327211332?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1372_recruitnow%2Fvacatures%2F4731991_logistiek-manager%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dlogistics%252bcat_management%2B&urlHash=c25Y&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistiek-manager-hillegom-luba-at-werkzoeken-nl-2327211332?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
4,logistics manager,LinkedIn,2319513785,Logistiek Manager,mt7AtCxISIGYy2Ys6kV6vQ==,Smartphonehoesjesnl,"Utrecht, Netherlands",['Telecommunications'],"Logistiek Manager, Heb jij meerdere jaren werkervaring als Logistiek Manager en ben je gewend om bouwstenen te leggen binnen een snelgroeiende ecommerce speler Heb je een sterke visie en weet je deze in lijn te brengen met de logistieke processen zodat we onze internationale groei schaalbaar kunnen bijbenen Ben jij daarnaast een echte people manager die jouw mensen constant weet te enthousiasmeren en te motiveren Join us",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319513785?url=https%3A%2F%2Fwww%2Ewerkenbijsmartphonehoesjes%2Enl%2Fvacature%2Flogistiek-manager%2F&urlHash=Vg-T&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistiek-manager-at-smartphonehoesjes-nl-2319513785?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
5,logistics manager,LinkedIn,2326000195,Logistiek manager,ZvQreecVSYecSPuk8fD83A==,auto aoreana,"Hillegom, South Holland, Netherlands","['Construction', 'Information Technology and Services', 'Oil & Energy']","Info over het bedrijf, , Jouw toekomstige werkgever is een belangrijke producent van een breed scala aan producten, dit wordt geproduceerd in hun moderne fabriek Zij maken oplossingen voor internationale klanten uit verschillende sectoren als automotive, luchtvaart, food en industrie De verkoop vindt plaats vanuit de hoofdvestiging in Hillegom, , Binnen dit bedrijf heerst een antirookbeleid in en rondom het gebouw Houd hier rekening mee, , Functieomschrijving, , Voor dit productiebedrijf in Hillegom zoeken we een logistiek manager Je gaat een magazijnchef en 4 logistiek medewerkers aansturen Omdat het bedrijf snel groeit hebben ze dit jaar een tweede locatie om de hoek in gebruik genomen voor nog meer logistieke capaciteit, , Jij bent verantwoordelijk voor het logistieke proces waarbij je zorgt dat de productie 247 kan doordraaien, , , Functieeisen, , , Aanbod",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326000195?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F7691990581835268205%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=MbLB&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistiek-manager-at-auto-a%C3%A7oreana-2326000195?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
6,logistics manager,LinkedIn,2260584456,Teamleider Logistiek,Bpv6Yl11RJGlA94W1J9E2g==,Page Personnel,"Utrecht, Utrecht, Netherlands","['Staffing and Recruiting', 'Retail', 'Financial Services']","Teamleider Logistiek, Je leiderschapskwaliteiten door ontwikkelen, Een diverse en cordinerende functie, About Our Client, Onze klant is een groot internationaal bedrijf in het goederenvervoer Zij zijn op zoek naar een teamleider logistiek Samen met andere teamleiders werk je samen met de assistentmanager en begeleid je jouw team op een natuurlijk manier Iedere dag is anders en in jouw functie is het belangrijk dat jij overzicht kan houden in drukke tijden Aan het einde van jouw dienst laat jij alles netjes achter en is het productieproces in orde, , , , , , , , , Bij deze opdrachtgever is er ruimte voor persoonlijke inbreng en creatieve ideen Initiatieven worden gesteund en aangemoedigd Het is een uitdagende functie waar je een grote verantwoordelijkheid hebt Een salaris tussen de 2800, en 3300, Het bedrijf heeft daarnaast uitstekende secundaire arbeidsvoorwaarden Je komt te werken via Page Personnel en na verloop van tijd is de intentie dat het bedrijf je overneemt en je direct bij hen in dienst komt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2260584456?url=https%3A%2F%2Fwww%2Epagepersonnel%2Enl%2Fjob-apply%2Fteamleider-logistiek%2Fref%2F182447%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator%26utm_campaign%3Dlimitedlisting&urlHash=HjOn&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-logistiek-at-page-personnel-2260584456?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
7,logistics manager,LinkedIn,2315134126,International Supply Chain Manager,95MVv9AaSzucmM/9y8P0SQ==,LeasePlan,"Amsterdam, North Holland, Netherlands",['Automotive'],"You are responsible for, , For our International Supply Chain Manager vacancy we are looking for a new colleague at our Amsterdam based office In this role you will be dedicatedly responsible for the supply chain management of a large international client with whom we have launched a business critical fleet program You will create and implement a structured supplier selection, measurement and management process, that is standard across all markets deployed",Full-time,,https://nl.linkedin.com/jobs/view/international-supply-chain-manager-at-leaseplan-2315134126?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
8,logistics manager,LinkedIn,2323775633,Assistent Logistiek Manager,nhW+gld3TvemCcm/LvfZaw==,Uitzendbureaunl,"Almere, Flevoland, Netherlands","['Internet', 'Machinery', 'Staffing and Recruiting']","De opdrachtgever is op zoek naar een Assistent Manager Logistiek MV fulltime, dagdienstJe kan motiveren maar werkt zelf ook mee in de logistiek Je stuurt mensen aan en je vervangt de Manager als hij er niet is Je maakt planningen in overleg met de Logistiek manager en werkt de administratie bij Je houdt de orders in de gaten en stuurt bij Arbeidsvoorwaarden, Baan met uitzicht op contract vaste baan bij de opdrachtgever Salaris na gelang ervaring en capaciteit  2500   3000 bruto per maand, , Vaardigheden, , je hebt ervaring in de Logistiek een aantal jaar, je hebt ervaring met leiding geven, kan goed met mensen omgaan maar verliest het eindresultaat niet uit het oog, je kan motiveren door mee te werken en aan te sturen, , Opleiding, , HBO, , Over de werkgever, , Onze opdrachtgever is een van de grootste stoffengrossiers van Europa",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323775633?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F5431767577930763854%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=E_Gp&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/assistent-logistiek-manager-at-uitzendbureau-nl-2323775633?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
9,logistics manager,LinkedIn,2254059131,Junior Logistiek Manager,8U75IwCdTW2n9qGoTuXzjA==,Westland Werving  Selectie,"Westland, South Holland, Netherlands",['Staffing and Recruiting'],"Vindt jij het een uitdaging om logistieke processen in de kassenbouwinstallaties in juiste banen te leiden, en zoek jij het richting de Supply Chain Dan zijn wij op zoek naar jou, , Wat ga je doen als Kwaliteitsmanager In Naaldwijk, , , Wat krijg je ervoor terug, , , Wat breng je mee",Full-time,https://www.linkedin.com/jobs/view/externalApply/2254059131?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-8278900851242344356%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=6SPa&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-logistiek-manager-at-westland-werving-selectie-2254059131?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
10,logistics manager,LinkedIn,2313632322,Logistiek planner,oloRYCXSQfCowMBmQqQVrg==,Teamflex Personeelsdiensten,"Amsterdam, North Holland, Netherlands","['Transportation/', 'Trucking/', 'Railroad', 'Leisure, Travel & Tourism', 'Hospitality']","Functieomschrijving, , Als planner ben je een spin in het web van de logistieke organisatie Zo heb je contact met collega planners, administratief personeel, chauffeurs, orderverzamelaars en klanten Je bepaalt onder andere welk vervoersmiddel er wordt ingezet op basis van vervoersdocumenten, afhaalplaats, soort goederen, gewicht en het aantal stuks te vervoeren goederen Ook het bewaken van de HACCP wetgeving is een belangrijk onderdeel van je takenpakket, , Het is voor jou elke dag weer een uitdaging om de logistieke processen en routes op een zo efficint en effectief mogelijke wijze te laten verlopen Om dit te realiseren zorg je voor een optimale afstemming tussen vervoersaanbod en in te zetten materieel, chauffeurs en bijrijders en het op een correcte wijze van het afleveren van goederen Je verwerkt en controleert daarnaast de administratie van de transportopdrachten Verder instrueer je chauffeurs, signaleer je knelpunten en draag je bij aan vernieuwingen met betrekking tot de planning Je rapporteert tot slot aan de logistiek manager Je werktijden voor deze functie variren tussen tussen 400 tot 1700 uur, , Arbeidsvoorwaarden, , Teamflex is d opleider en detacheerder in transport, logistiek, bouw en techniek Teamflex is een moderne werkgever Dit houdt in dat je bij Teamflex een volwaardige arbeidsovereenkomst ontvangt met garantieuren Hiernaast kun je via Teamflex volop werken aan jouw ambities dmv aanvullende opleidingen, cursussen en nascholing Ook bieden wij een zeer compleet pakket aan secundaire arbeidsvoorwaarden zoals oa een passend kledingpakket Werken bij Teamflex is in de regel kiezen voor een loopbaan in plaats van een tijdelijke baan Uiteraard kun je via Teamflex ook tijdelijk aan de gang enof bij de juiste klik in dienst treden bij een van onze opdrachtgevers",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313632322?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-2020792875246160277%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=dsi-&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistiek-planner-at-teamflex-personeelsdiensten-2313632322?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30
