Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,career development specialist,LinkedIn,2195098552,IKV-specialist,FHL5lWapSDyIo2KnyySiBw==,BP Professionals,"Amsterdam, North Holland, Netherlands","['Banking', 'Financial Services', 'Investment Banking']",Locatie LandelijkSalaris  3000 tot  4000Aantal uur 36 uurStartdatum In overleg,Full-time,,https://nl.linkedin.com/jobs/view/ikv-specialist-at-b-p-professionals-2195098552?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
2,career development specialist,LinkedIn,2204959595,Loonbelasting Specialist,PlD2uJG6Su6iVwj8+I1KIg==,Teuben Tax Recruitment,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Loonbelasting Specialist  Belastingadvieskantoor  Amsterdam  Full time of Part timeVoor onze opdrachtgever, een sterk groeiend belastingadvieskantoor niet Big4 in Amsterdam, zoeken we een Loonbelasting Specialist met circa 2 5 jaren relevante loonbelasting werkervaring, opgedaan bij een advocatenkantoor, belastingadvieskantoor of tax boutique Je hebt met name ervaring met de nationale loonbelasting praktijk, maar enige ervaring binnen de internationale praktijk is een voordeel, geen must",Full-time,https://www.linkedin.com/jobs/view/externalApply/2204959595?url=https%3A%2F%2Fwww%2Eteubenrecruitment%2Enl%2Fvacatures%2Fvacature-loonbelasting-specialist-532984-11%2Ehtml&urlHash=60k7&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/loonbelasting-specialist-at-teuben-tax-recruitment-2204959595?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
3,career development specialist,LinkedIn,2277169319,specialist overheidsdetacheringen,3c+VniJEQIC8jpzbfJWGog==,Politie Nederland,"Rotterdam, South Holland, Netherlands","['Law Enforcement', 'Public Safety', 'Security and Investigations']","Vind jij het een uitdaging om met detacheringen binnen de overheid aan de slag te gaan Zowel administratief ondersteunend als adviserend Dan is deze functie bij de Inhuurdesk op jouw lijf geschrevenWat ga je doenJe adviseert over overheidsdetacheringen, zowel de inkomende als de uitgaande Het betreft detacheringen van andere overheden naar de politie, maar ook van de politie en andere overheden Je stelt maatwerkovereenkomsten op en verwerkt deze Bij uitgaande detacheringen hoort hier ook de loonkostenberekening en de daaruit voortkomende facturatie bij Je past daarvoor complexe rekentechnieken toe om de looncomponenten te berekenen Je ziet erop toe dat de randvoorwaarden en kaders voor iedereen duidelijk zijn Ook adviseer je deskundig richting de stakeholders over het toepassen van de spelregels, de arbeidsvoorwaarden en de CAO en hebt daarbij ook een toetsende rol Elke detachering is maatwerk, dat vraagt van jou naast eigenaarschap een nodige dosis creativiteit, initiatief en doorzettingsvermogenMomenteel is het team bezig met een professionaliseringsslag van ondersteuning naar advisering op meerdere themas Ook ligt de nadruk op het efficinter inrichten van processen op het gebied van contractbeheer en interne controle Jij levert een stevige bijdrage aan deze ontwikkelopgave Bij voorkeur heb je ervaring met het opstellen van loonkostenberekeningen of in ieder geval affiniteit met financin en wet en regelgeving In je functie heb je intern veel contact met de diverse HRafdelingen en extern met leveranciers, rijksoverheden en gemeentenJe helpt mee met het verder inrichten en uitbreiden van de ambassadeursrol binnen de politie om onze afdeling nog beter op de kaart te zetten Daarnaast lever je een grote bijdrage om de basis verder op orde te brengen Als ambassadeur voor het team ga je op verzoek of vanuit eigen initiatief op bezoek naar regios waar relatief veel detacheringen voorkomen De politie werkt landelijk, reizen vind je dan ook geen probleemDe Inhuurdesk van de politie bestaat uit vijf clusters, waaronder het Cluster Detacheren, en valt onder de Afdeling In, Door en Uitstroom IDU van de Dienst HRM van het Politiedienstencentrum PDC De Inhuurdesk houdt zich primair bezig met de inhuur van extern personeel van A tot en met Z Het werken op de Inhuurdesk is erg veelzijdig maar kan soms ook behoorlijk druk zijn Er is sprake van korte deadlines maar ook veel verschillende taken die in een relatief korte periode moeten worden opgepakt De Inhuurdesk bestaat in totaal uit 30 medewerkers waaronder recruiters, backofficemedewerkers, projectmedewerkers, twee cordinatoren het Cluster Detacheren bestaat momenteel uit twee specialisten en twee administratief uitvoerende medewerkers Jouw standplaats wordt RotterdamJij bent een proactieve netwerker pur sang en maakt gemakkelijk contact Je weet feiten, meningen en ideen op een heldere wijze te presenteren en kunt anderen daarbij overtuigen Analytisch ben jij sterk, hoofd en bijzaken weet je te onderscheiden en je hebt zicht op de bigger picture Je vindt het geen probleem om de informatie die je nodig hebt na te jagen Kwaliteit staat bij jou hoog in het vaandel, je zoekt continu naar mogelijkheden voor verbeteringen Ook denk je oplossings en klantgericht Met jouw flexibele houding en gedrag heb je zeker geen 9tot5 mentaliteit en je toont veel initiatiefVerder heb jeDe standplaats is Rotterdam Er is ruimte voor 1 fte Het betreft een tijdelijke functievervulling voor maximaal twee jaar voor 36 uur per weekVerder kun je het volgende van ons verwachtenDe formele functie binnen het functiegebouw van de politie is bedrijfsvoeringspecialist A Bel of mail met Jeffrey Birfelder, coordinator Inhuurdesk 06  83 63 22 68, Jeffreybirfelderpolitienl  als je meer informatie over de functie wilt hebbenVoor vragen over de sollicitatieprocedure bel je met het Frontoffice Recruitment  Selectie op 088  66 22 300Solliciteer uiterlijk 27 november 2020 via de sollicitatiebutton",Contract,https://www.linkedin.com/jobs/view/externalApply/2277169319?url=https%3A%2F%2Fkombijde%2Epolitie%2Enl%2Fvacatures%2Fspecialist-overheidsdetacheringen_2559111%2Ehtml&urlHash=4E0m&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/specialist-overheidsdetacheringen-at-politie-nederland-2277169319?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
4,career development specialist,LinkedIn,2295763258,IKV Specialist,LiRgdjTFSK+FKq44R9BDmw==,Page Personnel,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Retail', 'Financial Services']","IKV SpecialistVerantwoordelijk voor het opstellen van InkomensverklaringenPer direct startenAbout Our ClientOnze klant is een internationale bankverzekeraar financile instelling van Nederlandse oorsprongDe IKVspecialist heeft een specialistische rol binnen het cluster Financieren van het KSS In de rol ben je verantwoordelijk voor het opstellen van Inkomensverklaringen, specifiek binnen IB als de VPB ondernemingen Je beoordeelt, analyseert en stelt een bestendig inkomen vast van de Ondernemer in Priv Hierbij beoordeel je vanuit vakmanschap de specifieke omstandigheden en risicos die van invloed zijn op het inkomen vanuit de onderneming Je stemt met alle betrokkenen af en legt de afweging helder vast in de inkomensverklaring Vanuit zijn specialisme werkt de IKVspecialist nauw samen met de collegas binnen de Lokale Bank en het Intermediair",Full-time,https://www.linkedin.com/jobs/view/externalApply/2295763258?url=https%3A%2F%2Fwww%2Epagepersonnel%2Enl%2Fjob-apply%2Fikv-specialist%2Fref%2F182288%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator%26utm_campaign%3Dlimitedlisting&urlHash=LCNT&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ikv-specialist-at-page-personnel-2295763258?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
5,career development specialist,LinkedIn,2275055753,Specialist Huurprijs,St6+sErkT2K66/lTRzjitw==,Ymere,"Zaandam, North Holland, Netherlands","['Commercial Real Estate', 'Real Estate']",36 uur per weekAmsterdamOostIn het kortWil jij je kennis van het Woningwaarderingstelsel en wet en regelgeving omtrent de Huurprijs vergroten En werk je graag actief mee aan het verhogen van de klanttevredenheid van onze huurders Dan maken wij graag kennis met je,Full-time,https://www.linkedin.com/jobs/view/externalApply/2275055753?url=https%3A%2F%2Fwww%2Eymere%2Enl%2Fwerken-bij%2Fvacatures%2F2020-11-04-specialist-huurprijs%2F&urlHash=2WH5&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/specialist-huurprijs-at-ymere-2275055753?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
6,career development specialist,LinkedIn,2284835308,Specialist Veiligheidszaken,EKD+2l53T62lFE0kBzwFZQ==,asr,"Utrecht, Utrecht, Netherlands","['Financial Services', 'Insurance']","Wil jij asr en onze klanten beschermen Ben je integer, ambitieus en toe aan een nieuwe stap binnen het fraude en CDDvak Lees dan snel verder, want deze baan als Specialist Veiligheidszaken is echt iets voor jouAls specialist bij de afdeling Veiligheidszaken maak jij integer zakendoen mogelijk Samen met je collegas herken en voorkom je nietinteger gedrag en fraude, bevorder je het melden van vermoedens hiervan en onderzoek je of meldingen goed afgehandeld worden En je bent op de hoogte van de laatste trends en vakontwikkelingen op het gebied van fraudebeheersing en CDD Daarmee speel je een belangrijke rol in de beheersing van nietinteger gedrag binnen asr en voorkom je dat we zakendoen met personen en bedrijven die een potentieel risico vormen Dat is belangrijk, want asr werkt samen met veel verschillende mensen en partners We zijn het onszelf, onze klanten en de samenleving verplicht om integer zaken te doen asr hecht dan ook grote waarde aan maatschappelijk verantwoord ondernemen en wil dit ook uitstralenVeiligheidszaken en Compliance vormen samen de afdeling Integriteit Je versterkt het team Veiligheidszaken, dat bestaat uit 8 gedreven en betrokken medewerkers Het doel van de afdeling Veiligheidszaken is het bevorderen en handhaven van de integriteit van personeel, contractspartijen en intermediair en het creren van een integriteitsbewuste cultuur binnen asrEnthousiast geworden Reageer via de button solliciteer Bij asr geloven we dat verschillen ons samen sterker en beter maken We staan voor gelijke carrirekansen voor iedereen Waar je ook vandaan komt, wat je gender, leeftijd of geaardheid is en of je wel of geen arbeidsbeperking hebt Voor ons tellen alleen je kwaliteiten Daarom vinden we het prima als jij in jouw cv geen geboortedatum en geboorteplaats opneemtNeem bij inhoudelijke vragen contact op met Hans van Duijvenvoorde Specialist Veiligheidszaken 0630480029  hansduijvenvoordeasrnl Vragen over het proces kun je stellen aan Marguerite Barsingerhorn recruiter 0651287929  margueritebarsingerhornasrnlAls je bij ons in dienst komt, vragen wij je om de eed of belofte af te leggen Hiermee committeer je je aan onze gedragsregels Medewerkers in de financile sector zijn verplicht om een eed of belofte af te leggenGraag ontvangen we jouw sollicitatie vr 30 novemberAls onderdeel van onze sollicitatieprocedure vragen wij je een online assessment te doen Alle informatie hierover ontvang je van Marguerite",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284835308?url=https%3A%2F%2Fwww%2Ewerkenbijasr%2Enl%2Fvacatures%2F200000A2%2FSpecialist-Veiligheidszaken%2F%3Futm_source%3Dlinkedin%26utm_medium%3Dcareersite%26utm_campaign%3Djobwrapping&urlHash=2LTC&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/specialist-veiligheidszaken-at-a-s-r-verzekeringen-2284835308?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
7,career development specialist,LinkedIn,2288387132,CRO Specialist,8oAkBzs7ToG001D2Ikt7OA==,Rivira Maison,"Amsterdam, North Holland, Netherlands",['Retail'],"About Rivira MaisonRivira Maison is a leading interior brand to which atmosphere and experience are key The wide range of furniture and accessories is developed entirely inhouse, and each product is unique as it is manufactured by hand in authentic workshops all over the world Rivira Maison has developed from a supplier and seller of home decoration to a strong international brand with points of sale worldwide Our collections are contemporary and create a feeling of being at home wherever you are Rivira Maison, Home is where you can be you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288387132?url=https%3A%2F%2Fwww%2Ewerkenbijrivieramaison%2Enl%2FVacature%2FIndex%2F12609&urlHash=rXVt&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/cro-specialist-at-rivi%C3%A8ra-maison-2288387132?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
8,career development specialist,LinkedIn,2315604460,CIAM Specialist,68nE3XWDT7+AeG3ocKUEfw==,NationaleNederlanden,"The Hague, South Holland, Netherlands",['Financial Services'],"CIAM SpecialistBouw jij mee aan het nieuwe selfservice Digital Fundament van NationaleNederlandenJouw toegevoegde waarde als CIAM SpecialistNationaleNederlanden maakt momenteel de transitie door van een traditioneel bank en verzekeringsbedrijf naar een IT gedreven bedrijf Dit vraagt om vernieuwing op alle fronten, en zeker ook van ons IT landschap Het doel van jouw team is om deze vernieuwing te versnellen Dit doen we door het bouwen van een volledig nieuw selfservice IT Digital Foundation, gebruik makend van de laatste technieken in de public CloudZoals jij voor onze klanten zorgt, zo zorgen wij voor jou We bieden je mooie ontwikkelmogelijkheden en een fijne werkomgeving Voor de ontwikkeling van je carrire bieden we jeAls CIAM Specialist zit je binnen onze afdeling Customer  Commerce op een bijzondere plek Dit is namelijk de plek waar we alle business units van NN met elkaar verbinden op alles wat met de klant te maken heeft Heel NN n alle klanten maken gebruik van onze data, de platformen, de app, de systemen, enz Onze hele afdeling bestaat uit 6 domeinen met daaronder 26 endtoendteams en 6 competence teams Als CIAM Specialist heb je een verantwoordelijkheid die betrekking heeft op geheel Customer  Commerce en daarmee zul je dus samenwerken en interacteren met een groot aantal DevOps en competence teams Dit is d omgeving om jezelf uit te dagen, initiatieven te nemen, je steeds verder te ontwikkelen en zo de beste resultaten te bereikenDankzij jouw inzet maken we onze financile dienstverlening persoonlijker en relevanter Je helpt ons de best mogelijke klantenservice te bieden We geloven in optimale klanttevredenheid en bedienen onze klanten dan ook op de best mogelijke manier Zij zijn de kern van onze bedrijfswaarden en onze belangrijkste motivatie om het goed te doen Zo zetten we als organisatie iets bijzonders neer vanuit al onze labels NN, NN Investment Partners, NationaleNederlanden, OHRA, ABN AMRO Verzekeringen, BeFrank, Zicht, AZL en MovirWe bieden je moderne arbeidsvoorwaarden met veel eigen keuzes Denk bijvoorbeeld aan vakantiedagen bijkopen of 4x9 uur werken Je vakantiegeld en 13de maand ontvang je al maandelijks bij je salaris, daar hoef je niet op te wachten Als CIAM Specialist werk je vanuit ons mooie kantoor in Den Haag, direct aan de A12, waar je ook met OV zo bent Je krijgt een NS Business Card zo wordt OV wel heel aantrekkelijk Hiermee reis je namelijk onbeperkt door heel Nederland, zeven dagen per week Op kantoor is een Fit20 studio ingericht, waar je als medewerker kan trainen Even uitwaaien In een kort half uurtje ben je met je de tram of de OVfiets op het strandVanwege het corona virus werken alle NN collegas op dit moment volledig digitaal en vanuit huis Voor jou goed om te weten dat de officile standplaats voor deze functie Den Haag isWe maken graag kennis met je Upload je cv via de solliciteerbutton Heb je vragen over het sollicitatieproces Bel dan met Recruiter Marije Ledeboer 31 622908463",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315604460?url=https%3A%2F%2Fnn-careers%2Ecom%2Fnl%2Fnl%2Fjob%2F24346%2FCIAM-Specialist%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=Hilk&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ciam-specialist-at-nationale-nederlanden-2315604460?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
9,career development specialist,LinkedIn,2269414089,Hydrologisch Specialist,SBcmxB50QlOH7Gp7FjxcRA==,Oasen,"Gouda, South Holland, Netherlands",['Utilities'],Heb jij minimaal 5 jaar ervaring als grondwaterhydroloog in de drinkwater sector dan vragen we je te solliciteren op deze boeiende en interessante functie bij Oasen Wat ga je doen,Full-time,https://www.linkedin.com/jobs/view/externalApply/2269414089?url=https%3A%2F%2Fwww%2Ewerkenbijoasen%2Enl%2Fitems%2Fnl-nl%2Fvacatures%2Fvacatures%2Fhydrologish-specialist%23vacature-kenmerken&urlHash=umbW&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/hydrologisch-specialist-at-oasen-2269414089?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
10,career development specialist,LinkedIn,2307186004,Relining Specialist,o1wYJ5Z8TE2I6Y8S1oJmIg==,Multicraft Uitzendbureau,"Zaanstad, North Holland, Netherlands",None,"Multicraft is voor een opdrachtgever op zoek naar een fulltime Relining Specialist in regio Beverwijk Deze organisatie heeft de ambitie om uit te blinken op gebied van riooltechnieken Dit doen zij onder andere door te investeren in moderne apparatuur, ieder project te analyseren en door een extra stap te zetten voor hun klanten In deze functie ga je in een klein team twee personen aan de slag De nadruk komt te liggen op reliningwerkzaamheden Relining op spraybasis is een nieuwe methode binnen de riooltechniek, die maakt dat je veel schoner kan werken Wat je feitelijk doet, is elke keer een nieuwe laag coating aanbrengen aan de binnenkant van de kapotte buis Je werkt met hoogstaande apparatuur en met een camera kan je het proces in de buis monitoren Je gaat je hier verder in ontwikkelen en je wordt er tijdens het werk voor opgeleid Ervaring is dus geen vereiste Wat je oa concreet gaat doen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307186004?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Frelining-specialist%3A44212859%2F&urlHash=-JQQ&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/relining-specialist-at-multicraft-uitzendbureau-2307186004?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020
