Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,social worker,LinkedIn,2309460237,"Maatschappelijk Werker Ambulant, Amsterdam",kamj+PPvS0qN62ZA1kaklQ==,Blijf Groep,"Amsterdam, North Holland, Netherlands","['Civic & Social Organization', 'Mental Health Care', 'Alternative Dispute Resolution']","Ben je Maatschappelijk Werker en wil je als hulpverlener bijdragen aan het stoppen van Huiselijk geweld Wil je werken in een leuk team met gedreven en betrokken collegas in regio Amsterdam Lees dan snel verder, , Het doel van Blijf Groep is het stoppen van huiselijk geweld en uitbuiting in relaties Wij bieden, cordineren en organiseren directe hulp op maat, thuis of in de opvang, aan iedereen die met dit soort geweld te maken heeft Onze medewerkers gaan onveilige situaties niet uit de weg Wij staan voor de clint en voor elkaar professioneel, krachtig en met lef",Contract,https://www.linkedin.com/jobs/view/externalApply/2309460237?url=https%3A%2F%2Fblijfgroep%2Eemply%2Enet%2Frecruitment%2FvacancyAd%2Easpx%3FpublishingId%3D12375101-c68a-4db8-92c6-f6b76f0c31c8&urlHash=tP5W&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werker-ambulant-amsterdam-at-blijf-groep-2309460237?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
2,social worker,LinkedIn,2315331858,Maatschappelijk Werker Kliniek 24-uurs acuut Almere (32 uur) - GGz Centraal,dVfVpV4fRmm63VXPgiQzcw==,GGz Centraal,"Almere, Flevoland, Netherlands",['Mental Health Care'],"Het begeleiden en ondersteunen van mensen met psychiatrische problemen Jij zorgt ervoor, , Informatie, Voor wie jij er bent Voor patinten die tijdelijk verblijven op onze afdeling High  Intensive Care HIC onderdeel van cluster 24 uurs acuut in Almere Je begeleidt patinten op maatschappelijk gebied, bijvoorbeeld op het gebied van financin, sociale contacten of huisvesting Je inventariseert de hulpbehoefte en gaat actief aan de slag met de hulpvraag van patinten, , , , Met jou als maatschappelijk werker zijn we ng sterker in wat we doen Namelijk, specialistische zorg bieden aan patinten die opgenomen zijn na een acute psychiatrische crisis De afdeling High  Intensive Care HIC is ongewoon en bovenal dynamisch Je treft hier een hoog complexe en onvoorspelbare doelgroep, waarbij meestal sprake is van dubbel of triple diagnose Jouw specialistische kennis en kunde komt in deze setting uitermate goed tot zijn recht en tot ontwikkeling Jij bent de spin in het web die de patint ondersteunt op maatschappelijk gebied tijdens de opname, Je werkt naast het behandelteam van de afdeling nauw samen met je collega social worker van de klinische open afdeling en gebiedsteams er is regelmatige afstemming Je bent vanuit jouw rol namelijk kortdurend betrokken bij een patint Een goede zelfreflectie en lef zijn hierbij onontbeerlijk Juist die complexiteit maakt het werken in de acute psychiatrie zo boeiend en impactvol, Hoe je ons team het beste kunt omschrijven Enthousiast en betrokken En het belangrijkste we hebben plezier in wat we doen We werken hard, mt ons hart, , , , , , Jij bent flexibel het werken op een High  Intensive Care afdeling als een uitdaging Daarbij sta je ook stevig in je schoenen, immers de doelgroep waarmee je werkt is dynamisch Je past binnen GGz Centraal als je net als wij vanuit jouw expertise wilt bijdragen aan de allerbeste zorg",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315331858?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2512005d0273%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecddbcddfbdde8ddgbddgaddbgadcaddgfdde3de9cdcdfec3ddcg3e&urlHash=tg0t&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werker-kliniek-24-uurs-acuut-almere-32-uur-ggz-centraal-at-ggz-centraal-2315331858?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
3,social worker,LinkedIn,2317658960,social worker - 16 tot 36 uur,PMivmOa6QAizSso8l4xQhw==,XL Studenten Uitzendbureau,"AmsterdamWest, North Holland, Netherlands",['Legal Services'],"In de functie van maatschappelijk werker werk je in de maatschappelijke opvang in Den Haag Je komt in onze vaste pool terecht wat inhoudt dat jij elke week benaderd wordt voor diensten, , Als medewerker kan je verschillende werkzaamheden krijgen denk aan ontvangst en opvang van de dak en thuislozen, helpen bij dagactiviteiten, opruimwerkzaamheden, klaarmaken van maaltijdenkoffie Afhankelijk van de locaties heb je te maken met verschillende doelgroepen, denk aan jongeren, clinten met een verslaving enof een psychiatrische achtergrond, clinten die langdurig onder toezicht wonen op locatie etc Hierdoor is het een ideale studie gerelateerde bijbaan omdat je met diverse doelgroepen en locaties in aanraking komt, , , , Deze doelgroep is pittig en je kan eventueel te maken krijgen met lichte agressie Het is daarom essentieel dat jij sterk in je schoenen staat en dat jij ervaring hebt met een soortgelijke volwassen doelgroep vanuit jouw opleiding enof stages, , Naast het volgen van de juiste opleiding zie hierboven ben jij parttime op doordeweekse dagen en weekenden beschikbaar, , Voldoe jij aan bovenstaande eisen ben jij woonachtig in regio Den Haag Reageer dan snel en wij nemen contact met je op",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317658960?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F53fc7ffb-c3f7-46d4-83cf-757c7b6e7cee%3Fjid%3D6ad47207d95dccbd81671e8982afb1f7216d26fc974f8c6d75599121555dcdb0%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D567&urlHash=NSgG&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werkers-16-tot-36-uur-at-xl-studenten-uitzendbureau-2317658960?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
4,social worker,LinkedIn,2312439415,Opleiding tot dialyseverpleegkundige,vZGyKi3kRom7icDpKVYomQ==,OLVG,"Amsterdam, North Holland, Netherlands",None,"Dit Past Helemaal Bij Jou, , Over de functie Jij beschikt over doorzettingsvermogen Je bent bereid om nt dat extra stapje te zetten om zo je specialisatie te voltooien Je ziet uit naar de mogelijkheid om als dialyse verpleegkundige hoog complexe technische zorg te verlenen aan patinten Patinten die voor langere tijd aan ons verbonden zijn en allemaal hun eigen verhaal hebben De opleiding tot dialyseverpleegkundige duurt 15 maanden bij een volledig dienstverband en start in november 2020 en april 2021 Drie maanden vr het starten van de opleiding begin je met voorwerken op de afdeling Een parttime opleidingsverband is tevens mogelijk, tot minimaal 32 uur per week Tijdens je opleiding word je praktisch geschoold op de Dialyseafdeling De theoretische scholing wordt in 6 lesblokken van 4 dagen verzorgd door de Amstel Academy van het VUmc De opleiding is modulair en competentiegericht van opzet Twee vaste werkbegeleiders van onze afdeling begeleiden je gedurende de gehele opleiding, , Werkomgeving Binnen het Dialysecentrum, locatie Oost en West, van OLVG versterk je een professioneel en ervaren team bestaande uit internistennefrologen, dialyseverpleegkundigen, ditisten, technici en social worker Er is ruimte voor zelfontplooiing en verpleegkundig leiderschap wordt bij OLVG aangemoedigd Je collegas zijn vakspecialisten die zeer betrokken zijn bij de patinten maar ook bij jou als collega Het Dialysecentrum beschikt over moderne afdelingen met bijbehorende faciliteiten Wij vinden het belangrijk dat jij je snel thuis voelt We zijn er voor elkaar Zo vertelt Sylvia, dialyseverpleegkundige en teamleider het dialysecentrum van OLVG is als een dorp in een stad Functieeisen We verleggen de bekende weg als het bijdraagt aan het resultaat En bedenken het liefst hoe het ng beter kan Op eigen wijze en met elkaar Daarom rekenen we op jouw gedrevenheid Je bent een sociale teamspeler die op een positieve manier feedback kan geven en ontvangen en je hebt natuurlijk hart voor onze patinten Dit neem je ook mee, , , , Wij bieden Werken bij OLVG betekent werken in ht stadsziekenhuis van Amsterdam Een werkomgeving waar jij je optimaal kunt ontwikkelen Want jouw wensen en ideen doen ertoe Zo doen we dat bij OLVG",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312439415?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fopleiding-tot-dialyseverpleegkundige%3A44260242%2F&urlHash=xSj4&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/opleiding-tot-dialyseverpleegkundige-at-olvg-2312439415?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
5,social worker,LinkedIn,2322044057,GZ psycholoog,WpvwZ6iSRZizXHOvVOcJGw==,Nederland Vacature Groep,"Amsterdam, North Holland, Netherlands",['Human Resources'],"GZpsycholoog, bij een organisatie die een expert is binnen een nichemarkt voor doven en slechthorenden, is de baan die jij ambieert Wij bieden een mooie kans voor GZpsychologen die zich graag breed ontwikkelen en actief mee wil bouwen aan de innovaties en verbeteringen van GGMD en de zorg Hier hou je je niet alleen bezig met ziektebeelden, maar vooral met vragen zoals hoe lever ik individueel maatwerk vanuit behandelprotocollen of zorgprogrammas en Hoe kan ik systeemgericht werken en het netwerk rondom de clint inzetten om goede kwaliteit van zorg te leveren Hou jij je bezig met deze vragen, heb jij affiniteit met de doelgroep Doven en Slechthorenden en heb je een onderzoekende en nieuwsgierige houding Dan moet je vooral verder lezen, , , Je komt te werken in regio Noordwest Deze regio omvat de locaties Amsterdam, Alkmaar, Almere en Utrecht Je standplaats is locatie Amsterdam Wij vragen je echter ook om flexibel te zijn Binnen deze regio werk je in een hecht team samen met de psychiater, GZ psycholoog, gespecialiseerde woonbegeleiding, SPV en social worker Samen leveren we uitmuntende zorg volledig afgestemd op het individu en de behoefte vanuit het systeem, , , , , , max  5439,00 bruto per maand op fulltime basis,, , Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature of laat jouw gegevens achter, we bellen je graag om vragen te beantwoorden, , , Solliciteer direct, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322044057?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fgz-psycholoog-in-amsterdam%2F253285%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D42639&urlHash=X0C7&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-at-nederland-vacature-groep-2322044057?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
6,social worker,LinkedIn,2298703103,Revalidatieverpleegkundige,lRjmsnetTwK/U6+hLROgRQ==,Randstad Nederland,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Functieomschrijving, , Ben jij een MBO of HBO verpleegkundige en op zoek naar een mooie uitdaging in de revalidatiezorg Check dan vooral de onderstaande informatie om te zien of deze vacature bij je past, , Waar ga je werken, In dit centrum voor zowel revalidatie als reumatologie in Amsterdam kom je te werken met specialismen als reumatologen, ergotherapeuten maar ook social worker Het is een divers maar gespecialiseerd team waar de revalidant centraal staat Wat tevens voor dit centrum zo belangrijk is, is om de revalidant vergelijkbaar mogelijk met thuis te kunnen revalideren Hierbij is samenspraak met naasten een goed voorbeeld maar ook het opnieuw zelfstandig leren van alle dagelijkse handelingen in een proefwoning Er zijn clinten van jong tot oud die allemaal een ander behandelplan nodig hebben Maar samen ben je in staat het beste uit de behandeling te halen, , Wat ga je doen, Als verpleegkundige binnen deze organisatie kom je te werken met clinten waarbij dagelijkse handelingen allemaal niet meer vanzelfsprekend zijn Je zal dan ook veel moeten schakelen met verschillende disciplines om het revalidatieproces zo goed mogelijk te laten verlopen In dit proces ben je veel in overleg met andere disciplines en zal je verpleegtechnische handelingen moeten kunnen uitvoeren zoals wondverzorging, medicatie uitdelen en wondzorg De vooruitgang van de revalidanten houd jij, samen met je collegas, goed bij Daarnaast zal je regelmatig samen met verschillende disciplines overleggen over de behandelstrategie van de revalidantenmultidisciplinaire overleggen bevinden, , Wie ben jij, Iedereen heeft andere zorg nodig maar daar kan jij goed op inspelen en vind het belangrijk dat er goed geluisterd wordt naar wat de clint nodig heeft Je bent dan ook communicatief vaardig en weet je goed staande te houden tussen alle specialismen Met jouw inzet, enthousiasme en professionaliteit weet je de Revalidanten te motiveren Je kunt zelfstandig inschattingen maken in onverwachte situaties en bent in staat om zorg op maat te bieden Je pakt het werk snel op door je ervaring en bent in staat op je aan te passen als dit nodig is, , , , , Wat bieden wij, , , Enthousiast, Ben je enthousiast geworden van deze vacature en kun jij niet wachten om klaar te staan voor je medemens Klik dan op de sollicitatiebutton Wil jij meer weten over deze vacature Bel dan naar 0205042035, Het inwinnen van een VOG en referentie is noodzakelijk voor deze functie, Uiteraard staat deze vacature open voor iedereen die zich hierin herkent, , , Je maakt een mijn Randstad account aan om te kunnen reageren op onze vacatures Dit doe je automatisch wanneer je voor het eerst een sollicitatie afrond bij Randstad, heel eenvoudig dus Via je mijn Randstad account beheer je gemakkelijk je gegevens en gaan je volgende sollicitaties nog sneller",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298703103?url=https%3A%2F%2Feasyapply%2Ejobs%2Fr%2F47FDWA41TPmfK45SDdp6&urlHash=s_P1&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revalidatieverpleegkundige-at-randstad-nederland-2298703103?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
7,social worker,LinkedIn,2322609959,Revalidatieverpleegkundige | Amsterdam | Randstad,JcpD9q0MSF+pU+lDuT+uyg==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Randstad, locatie Amsterdam, , Ben jij een MBO of HBO verpleegkundige en op zoek naar een mooie uitdaging in de revalidatiezorg Check dan vooral de onderstaande informatie om te zien of deze vacature bij je past, , Waar ga je werken, In dit centrum voor zowel revalidatie als reumatologie in Amsterdam kom je te werken met specialismen als reumatologen, ergotherapeuten maar ook social worker Het is een divers maar gespecialiseerd team waar de revalidant centraal staat Wat tevens voor dit centrum zo belangrijk is, is om de revalidant vergelijkbaar mogelijk met thuis te kunnen revalideren Hierbij is samenspraak met naasten een goed voorbeeld maar ook het opnieuw zelfstandig leren van alle dagelijkse handelingen in een proefwoning Er zijn clinten van jong tot oud die allemaal een ander behandelplan nodig hebben Maar samen ben je in staat het beste uit de behandeling te halen, , Wat ga je doen, Als verpleegkundige binnen deze organisatie kom je te werken met clinten waarbij dagelijkse handelingen allemaal niet meer vanzelfsprekend zijn Je zal dan ook veel moeten schakelen met verschillende disciplines om het revalidatieproces zo goed mogelijk te laten verlopen In dit proces ben je veel in overleg met andere disciplines en zal je verpleegtechnische handelingen moeten kunnen uitvoeren zoals wondverzorging, medicatie uitdelen en wondzorg De vooruitgang van de revalidanten houd jij, samen met je collegas, goed bij Daarnaast zal je regelmatig samen met verschillende disciplines overleggen over de behandelstrategie van de revalidantenmultidisciplinaire overleggen bevinden, , Wie ben jij, Iedereen heeft andere zorg nodig maar daar kan jij goed op inspelen en vind het belangrijk dat er goed geluisterd wordt naar wat de clint nodig heeft Je bent dan ook communicatief vaardig en weet je goed staande te houden tussen alle specialismen Met jouw inzet, enthousiasme en professionaliteit weet je de Revalidanten te motiveren Je kunt zelfstandig inschattingen maken in onverwachte situaties en bent in staat om zorg op maat te bieden Je pakt het werk snel op door je ervaring en bent in staat op je aan te passen als dit nodig is, , , , Wat bieden wij, , Enthousiast, Ben je enthousiast geworden van deze vacature en kun jij niet wachten om klaar te staan voor je medemens Klik dan op de sollicitatiebutton Wil jij meer weten over deze vacature Bel dan naar 0205042035, Het inwinnen van een VOG en referentie is noodzakelijk voor deze functie, Uiteraard staat deze vacature open voor iedereen die zich hierin herkent, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322609959?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1238_randstad%2Fvacatures%2F4533826_revalidatieverpleegkundige%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%2Bamsterdam&urlHash=63xV&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revalidatieverpleegkundige-amsterdam-randstad-at-werkzoeken-nl-2322609959?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
8,social worker,LinkedIn,2305660069,Basisarts Ouderengeneeskunde,8h1Ey4yASWu9pHjPrKRfmw==,Corparis,"Amsterdam, North Holland, Netherlands",['Medical Practice'],"Voor een opdrachtgever in het centrale deel van NoordHolland zoeken we een ANIOS Ouderengeneeskunde Wil je over een paar maanden weer een opleiding volgen of denk jij erover om ervaring op te doen buiten het ziekenhuis, dan hebben wiju202feen leuke en leerzame baanu202fvoor jou , Wij hebben een werkplek voor eenu202fbasisartsu202fdie graag aan de slag wil op de afdelingen PG, somatiek enof GRZ ",Full-time,,https://nl.linkedin.com/jobs/view/basisarts-ouderengeneeskunde-at-corparis-2305660069?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
9,social worker,LinkedIn,2304638722,Medisch-maatschappelijk werker,6q3QWHtcSuSCloOFUxfVVg==,ElisabethTweeSteden Ziekenhuis ETZ,"Tilburg, North Brabant, Netherlands",['Hospital & Health Care'],"De afdeling Medisch Maatschappelijk Werk heeft per 8 februari 2021 een vacature voor een, , Medisch maatschappelijk werker , voor 20 uur per week  vervanging zwangerschapsverlof, 8 februari  11 Juni",Part-time,https://www.linkedin.com/jobs/view/externalApply/2304638722?url=https%3A%2F%2Fwww%2Eetz%2Enl%2FWerken-bij%2FVacatures%2FMedisch-maatschappelijk-werker&urlHash=cbVb&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medisch-maatschappelijk-werker-at-elisabeth-tweesteden-ziekenhuis-etz-2304638722?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
10,social worker,LinkedIn,2299817197,Forensisch milieuonderzoeker,VamMQFGpRRyJ1VdEtiBtCg==,Ministerie van Justitie en Veiligheid,"Almere, Flevoland, Netherlands",['Government Administration'],"Functiexadomschrijving, , Het Pieter Baan Centrum is een huis van bewaring en heeft als bijzondere opdracht het onderzoeken van personen die worden verdacht van een ernstig strafbaar feit Het is een onafhankelijk onderzoek dat zes weken in beslag neemt Bij ons in Almere speel jij als forensisch milieuonderzoeker een belangrijke rol in deze onderzoeken, , Als forensisch milieuonderzoeker FMO onderzoek en rapporteer je over de ontwikkeling van een verdachte of tbsgestelde binnen de milieus waarin hij verkeerde Dat doe je met het oog op de algemene beantwoording van de vraag naar een eventuele stoornis, de mate van toerekeningsvatbaarheid ten tijde van het delict, of de nog aanwezige gevaarlijkheid op grond van de stoornis en daaraan gerelateerde behandel en toekomstmogelijkheden, , Daarnaast begeleid je als FMOer individuele reclasserings social worker inhoudelijk bij hun praktijkopleiding tot forensisch milieuonderzoeker Je bemiddelt, geeft feedback en begeleidt verschillende projecten, , Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2299817197?url=https%3A%2F%2Fwww%2Ewerkenvoornederland%2Enl%2Fvacatures%2Fforensisch-milieuonderzoeker-DJI-2020-0728%3Futm_source%3DLinkedIn%26utm_medium%3Djobboard%26utm_campaign%3Djobslots%26utm_term%3DDJI-2020-0728&urlHash=1l48&refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/forensisch-milieuonderzoeker-at-ministerie-van-justitie-en-veiligheid-2299817197?refId=e56c5117-c295-4c02-9ec7-e76520abd6e9&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,27/11/2020,29/11/2020
