Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,transportation,LinkedIn,2282401019,Chauffeur – autolaadkraan – Manusje van alles,zE7/WkilRWysQP/vtFFS2w==,Inclusivity,"Den Haag, South Holland, Netherlands",['Staffing and Recruiting'],"De Voornamelijke Werkzaamhedenverantwoordelijkheden Bestaan Uit, , Voor onze opdrachtgever zijn wij per direct op zoek naar een autolaadkraan chauffeur, manusjevanalles Onze opdrachtgever is al een aantal decennia een specialist op het gebied van renovatie, restauratie en onderhoud van bouwkundige en weg en waterbouwkundige werken Daarnaast beschikt onze opdrachtgever over een omvangrijk eigen materieel en wagenpark Dit alles wordt flexibel en klantvriendelijk gerealiseerd met een hoge mate van kwaliteits en milieubesef",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282401019?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fchauffeur-autolaadkraan-manusje-van-alles%3A43449598%2F&urlHash=u8z2&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-%E2%80%93-autolaadkraan-%E2%80%93-manusje-van-alles-at-inclusivity-2282401019?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
2,transportation,LinkedIn,2317478183,Chauffeur C(E) Reinigingswagen,EtIfgqAzQjuSwzdORz0q+Q==,RIX Rewards,"Gouda, South Holland, Netherlands",['Marketing and Advertising'],"Chauffeur Ben jij op zoek naar een nieuwe, vaste werkgever en ga ij het liefst aan de slag in de afvalinzamelingreiniging Dan is de vacature bij onze opdrachtgever uit Gouda wellicht iets voor jou, , Dagelijks vertrek je met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden en inzamelen van afval van ondergrondse en bovengrondse containers Het is belangrijk dat je zowel zelfstandig als in teamverband je werk kan doen en initiatief toont Daarnaast is het ook belangrijk dat je de administratie op de juiste manier bijhoudt, , Onze opdrachtgever gevestigd in Leiden is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen, , Gevraagd wordt, , , , Geboden wordt, , , , Snel meer informatie, , Stuur dan een WhatsApp bericht naar Yannick Klik hier om hem direct een bericht te sturen, Heb je liever telefonisch contact Bel dan tussen 730 en 1730 naar, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317478183?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F79c731a5-b7be-4d86-bb01-2d4862c909e9%3Fjid%3D703ad572f061bef8b39ae168eebaf39e329243533f2e6c9a1dc47f351e96ccf1%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Er9b&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-c-e-reinigingswagen-at-rix-rewards-2317478183?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
3,transportation,LinkedIn,2306123398,Combitruck chauffeur smalle gangen,3gbOfhdtRtGpaiFir3On9w==,JAM,"Uden, North Brabant, Netherlands",['Marketing and Advertising'],"Wat ga je doen, , Voor een opdrachtgever in Uden zijn we op zoek naar een enthousiaste combitruck chauffeur  Je gaat fulltime aan de slag om grote orders in de stellingen te zetten en uit de stellingen te halen Dit doe je met behulp van de combitruck, waarmee je tot wel 9 meter de hoogte in gaat Jij houdt dus wel van een kleine uitdaging Omdat de gangen smal zijn, is het soms goed passen en meten Maar dat kunnen ze aan jou wel overlaten Af en toe werk je ook met de heftruck, EPT of handscanner Dat houdt het werk lekker afwisselend, , Je werkt van maandag tm vrijdag van 0800 tot 1700 Overwerken gebeurt af en toe, maar zeker niet standaard In drukkere periodes kan er gevraagd worden om af en toe ook op de zaterdag bij te springen, , het is ook mogelijk om 25 uur per week aan de slag te gaan als je dit graag wilt, , , , , , , , Je gaat aan de slag bij een bedrijf in Uden met een flinke groeiambitie Het bedrijf helpt opdrachtgevers bij de uitvoering van grote campagnes van marketing tot sales en van het dienen als externe klantenservice tot het beheren van de webshop En precies bij dat laatste ga jij de organisatie als combitruckchauffeur helpen Er zijn namelijk tientallen webshops die hun webshoplogistiek hebben uitbesteed aan de opdrachtgever, , Jij zorgt ervoor dat alles wat binnenkomt netjes in de stellingen wordt gezet En dat orders uit de hoge stellingen worden gehaald Dit doe je in het magazijn, waar je als combitruck chauffeur veel zelfstandig bezig bent, , , , , , Heb je interesse in deze vacature van combitruck chauffeur",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306123398?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D7a79bcb341f3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cadfcdd9bdd78adebaddaadegdddaddcfddf3aeacdcdfec3ddcg3e&urlHash=iA0M&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/combitruck-chauffeur-smalle-gangen-at-jam-2306123398?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
4,transportation,LinkedIn,2320230991,Chauffeur C Reinigingswagen | Gouda | RIX Buro,ajmC3qkmS+acyiUjnFXlFw==,Werkzoekennl,"Gouda, South Holland, Netherlands","['Facilities Services', 'Recreational Facilities and Services']","Vacature van RIX Buro, locatie Gouda, ,  40 uur per week, van maandag tot vrijdag incidenteel een overuur,  Prima salaris tussen de 2366,00  2662,40 bruto per maand,  Dagelijks op pad met een vaste collega, , Ben jij op zoek naar een betrouwbare werkgever waar jij voor 40 uur per week aan de slag kan als vrachtwagenchauffeur Werk jij daarnaast graag buiten en in teamverband Zoek dan niet verder, dit is de vacature die je zoekt, , Dagelijks vertrek je rond 0730 met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden aan ondergrondse en bovengrondse afvalcontainers Eenmaal aangekomen op locatie haal je met behulp van een moderne autolaadkraan de afvalcontainers uit de betonput Deze container maak je vervolgens met hoge druk schoon Indien nodig zuig je restwater uit de betonput, dit doe je met behulp van vacumslang Rond 1600 kom je terug op de standplaats om de watertank te legen en zit je werkdag erop, , Onze opdrachtgever gevestigd in Gouda is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen, , , , Contract Uitzendcontract met zicht op vast dienstverband bij opdrachtgever, Uren 40 uur per week, CAO Eigen bedrijfsregelement, Salaris 2366,00  2662,40 bruto per maand, , Snel meer informatie, Stuur dan een WhatsApp bericht naar Yannick om hem direct een bericht te sturen, Heb je liever telefonisch contact Bel dan tussen 730 en 1730 naar 0787200900, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320230991?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F656_rix-buro-bv%2Fvacatures%2F4982502_chauffeur-c-reinigingswagen%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dcleaning%252bcat_transport%2Bgo&urlHash=qN6V&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-c-reinigingswagen-gouda-rix-buro-at-werkzoeken-nl-2320230991?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
5,transportation,LinkedIn,2317473839,Chauffeur C Reinigingswagen,4NPamxivROGNwLKYBrIdiA==,RIX Rewards,"Gouda, South Holland, Netherlands",['Marketing and Advertising']," 40 uur per week, van maandag tot vrijdag incidenteel een overuur,  Prima salaris tussen de 2366,00  2662,40 bruto per maand,  Dagelijks op pad met een vaste collega, , Ben jij op zoek naar een betrouwbare werkgever waar jij voor 40 uur per week aan de slag kan als vrachtwagenchauffeur Werk jij daarnaast graag buiten en in teamverband Zoek dan niet verder, dit is de vacature die je zoekt, , Dagelijks vertrek je rond 0730 met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden aan ondergrondse en bovengrondse afvalcontainers Eenmaal aangekomen op locatie haal je met behulp van een moderne autolaadkraan de afvalcontainers uit de betonput Deze container maak je vervolgens met hoge druk schoon Indien nodig zuig je restwater uit de betonput, dit doe je met behulp van vacumslang Rond 1600 kom je terug op de standplaats om de watertank te legen en zit je werkdag erop, , Onze opdrachtgever gevestigd in Gouda is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen, , Gevraagd wordt, , , , Geboden wordt, , , , Snel meer informatie, , Stuur dan een WhatsApp bericht naar Yannick Klik hier om hem direct een bericht te sturen, Heb je liever telefonisch contact Bel dan tussen 730 en 1730 naar, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317473839?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F5180f894-5776-4727-a711-4b0605e28c74%3Fjid%3Da6322fa6b963de0d30edb967715a066348af5541f79b017664eba1b78c85389c%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=8ofU&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-c-reinigingswagen-at-rix-rewards-2317473839?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
6,transportation,LinkedIn,2317602990,Chauffeur C(E) Reinigingswagen,xR+KvwcnRXOxJKec4klALQ==,Rix Buro,"Moordrecht, South Holland, Netherlands",None,"Chauffeur Ben jij op zoek naar een nieuwe, vaste werkgever en ga ij het liefst aan de slag in de afvalinzamelingreiniging Dan is de vacature bij onze opdrachtgever uit Gouda wellicht iets voor jou Dagelijks vertrek je met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden en inzamelen van afval van ondergrondse en bovengrondse containers Het is belangrijk dat je zowel zelfstandig als in teamverband je werk kan doen en initiatief toont Daarnaast is het ook belangrijk dat je de administratie op de juiste manier bijhoudt Onze opdrachtgever gevestigd in Leiden is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317602990?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fchauffeur-c-e-reinigingswagen%3A44314306%2F&urlHash=LarT&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-c-e-reinigingswagen-at-rix-buro-2317602990?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
7,transportation,LinkedIn,2318045348,Chauffeur C(E) Reinigingswagen - Gouda,RbxEFozbQo6sUqfigjy/Dg==,RIX Buro,"Gouda, South Holland, Netherlands",None,"Chauffeur Ben jij op zoek naar een nieuwe, vaste werkgever en ga ij het liefst aan de slag in de afvalinzamelingreiniging Dan is de vacature bij onze opdrachtgever uit Gouda wellicht iets voor jou, , Dagelijks vertrek je met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden en inzamelen van afval van ondergrondse en bovengrondse containers Het is belangrijk dat je zowel zelfstandig als in teamverband je werk kan doen en initiatief toont Daarnaast is het ook belangrijk dat je de administratie op de juiste manier bijhoudt, , Onze opdrachtgever gevestigd in Leiden is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen, , , , , , , , Contract Uitzendcontract met zicht op vast dienstverband bij opdrachtgever, Uren 40  45 uur per week, Salaris  2400 bruto per maand obv 40 uur, , Snel meer informatie, Stuur dan een WhatsApp bericht naar Yannick Klik hier om hem direct een bericht te sturen, Heb je liever telefonisch contact Bel dan tussen 730 en 1730 naar 0787200900, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318045348?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D99ec4509287d%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cdd7cadbbadd8ddcbddbaddggdd7addefdd83de9caccfec3ddcg3e&urlHash=LIMQ&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-c-e-reinigingswagen-gouda-at-rix-buro-2318045348?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
8,transportation,LinkedIn,2307096329,Combitruck chauffeur smalle gangen,WhQBHdawRo6QamPh+zVZbA==,JAM,"Uden, North Brabant, Netherlands",None,"Wat ga je doen, , Voor een opdrachtgever in Uden zijn we op zoek naar een enthousiaste combitruck chauffeur  Je gaat fulltime aan de slag om grote orders in de stellingen te zetten en uit de stellingen te halen Dit doe je met behulp van de combitruck, waarmee je tot wel 9 meter de hoogte in gaat Jij houdt dus wel van een kleine uitdaging Omdat de gangen smal zijn, is het soms goed passen en meten Maar dat kunnen ze aan jou wel overlaten Af en toe werk je ook met de heftruck, EPT of handscanner Dat houdt het werk lekker afwisselend, , Je werkt van maandag tm vrijdag van 0800 tot 1700 Overwerken gebeurt af en toe, maar zeker niet standaard In drukkere periodes kan er gevraagd worden om af en toe ook op de zaterdag bij te springen, , Goed om te weten het is ook mogelijk om 25 uur per week aan de slag te gaan als je dit graag wilt, , Werkzaamheden, , , , Wat verwachten we van je, , , , Waar ga je werken, , Je gaat aan de slag bij een bedrijf in Uden met een flinke groeiambitie Het bedrijf helpt opdrachtgevers bij de uitvoering van grote campagnes van marketing tot sales en van het dienen als externe klantenservice tot het beheren van de webshop En precies bij dat laatste ga jij de organisatie als combitruckchauffeur helpen Er zijn namelijk tientallen webshops die hun webshoplogistiek hebben uitbesteed aan de opdrachtgever, , Jij zorgt ervoor dat alles wat binnenkomt netjes in de stellingen wordt gezet En dat orders uit de hoge stellingen worden gehaald Dit doe je in het magazijn, waar je als combitruck chauffeur veel zelfstandig bezig bent, , Als combitruck chauffeur geniet je van",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307096329?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ffe3ebf20-cbef-4937-b43c-0dbf33ee81e1%3Fjid%3D4e44068de1f8d38bad52e0afe288e21224d729eed46bbb6c5d9abb4f54c18e40%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=YUlI&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/combitruck-chauffeur-smalle-gangen-at-jam-2307096329?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
9,transportation,LinkedIn,2317799364,Vacature Chauffeur C(E) Reinigingswagen | Gouda | RIX Buro,cZB/5vAETyOslzE1DdIYnw==,Werkzoekennl,"Gouda, South Holland, Netherlands","['Facilities Services', 'Recreational Facilities and Services']","Vacature van RIX Buro, locatie Gouda, , Chauffeur Ben jij op zoek naar een nieuwe, vaste werkgever en ga ij het liefst aan de slag in de afvalinzamelingreiniging Dan is de vacature bij onze opdrachtgever uit Gouda wellicht iets voor jou, , Dagelijks vertrek je met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden en inzamelen van afval van ondergrondse en bovengrondse containers Het is belangrijk dat je zowel zelfstandig als in teamverband je werk kan doen en initiatief toont Daarnaast is het ook belangrijk dat je de administratie op de juiste manier bijhoudt, , Onze opdrachtgever gevestigd in Leiden is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen, , , , Contract Uitzendcontract met zicht op vast dienstverband bij opdrachtgever, Uren 40  45 uur per week, Salaris  2400 bruto per maand obv 40 uur, , Snel meer informatie, Stuur dan een WhatsApp bericht naar Yannick om hem direct een bericht te sturen, Heb je liever telefonisch contact Bel dan tussen 730 en 1730 naar 0787200900, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317799364?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F656_rix-buro-bv%2Fvacatures%2F4976525_vacature-chauffeur-ce-reinigingswagen%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dcleaning%252bcat_transport%2Bgo&urlHash=zbd-&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacature-chauffeur-c-e-reinigingswagen-gouda-rix-buro-at-werkzoeken-nl-2317799364?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
10,transportation,LinkedIn,2317602945,Chauffeur C Reinigingswagen,YMNEy5XAQ5CItW+dH/1StA==,Rix Buro,"Gouda, South Holland, Netherlands",None," 40 uur per week, van maandag tot vrijdag incidenteel een overuur  Prima salaris tussen de 2366,00  2662,40 bruto per maand  Dagelijks op pad met een vaste collega Ben jij op zoek naar een betrouwbare werkgever waar jij voor 40 uur per week aan de slag kan als vrachtwagenchauffeur Werk jij daarnaast graag buiten en in teamverband Zoek dan niet verder, dit is de vacature die je zoekt Dagelijks vertrek je rond 0730 met een vaste bijrijder vanuit jouw standplaats in Gouda naar diverse locaties in de regio Jullie zijn samen verantwoordelijk voor het uitvoeren van reinigingswerkzaamheden aan ondergrondse en bovengrondse afvalcontainers Eenmaal aangekomen op locatie haal je met behulp van een moderne autolaadkraan de afvalcontainers uit de betonput Deze container maak je vervolgens met hoge druk schoon Indien nodig zuig je restwater uit de betonput, dit doe je met behulp van vacumslang Rond 1600 kom je terug op de standplaats om de watertank te legen en zit je werkdag erop Onze opdrachtgever gevestigd in Gouda is gespecialiseerd in het beheren en onderhouden van alle soorten typen boven en ondergrondse afvalcontainers Dagelijks zijn er tientallen voertuigen onderweg om deze containers te onderhouden en reinigen Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317602945?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fchauffeur-c-reinigingswagen%3A44314582%2F&urlHash=vA5F&refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-c-reinigingswagen-at-rix-buro-2317602945?refId=1ed9a648-eb04-4f77-9ba4-e4fdd0ef4d00&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,12/10/2020,29/11/2020
