,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Data Row,Tracking ID,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age,Gender_Num,Age_Num
0,manager of healthcare institution,LinkedIn,2317620632,Clinical supervisor,Syria Justice and Accountability Centre,"Rotterdam, South Holland, Netherlands",['Religious Institutions'],Health Care Provider,"The Justice for Missing Persons project provides psychological and social support for a team of workers in NE Syria who are exhuming mass graves SJACs psychosocial consultant provides the team with PSS group sessions to raise consciousness about selfcare skills, secondary trauma and occupational burnout and individual support sessions to support individual adaption skills, by utilizing cognitive behavioral therapyTo ensure that the support cycle between beneficiaries and the PSS counselor is complete, SJAC is seeking a clinical supervisorTasks and responsibilitiesConducting periodic sessions with the psychosocial specialist, aiming toDiscuss individual and group work plansDiscuss work evaluation methods and determine points of strength and weaknessDiscuss pre and post tests to measure the level of achievementDiscuss intractable individual casesProvide metrics of disorder as neededHours will vary, but SJAC anticipates 12 hours of support will be needed every month1 Degree in psychology or similar speciality2 At least three years experience in providing intensive clinical supervision3 Indepth understanding of the Syrian conflict4 Ability to manage clinical therapy sessions remotely5  Fluent spoken and written Arabic",Part-time,https://www.linkedin.com/jobs/view/externalApply/2317620632?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc484481c-634f-4c46-ae2f-ba736c1ede7d%3Fjid%3D085cb85cbb7ed3636cc5392ea17f2fe58ea11176dc46461ac2921fc4db55cd59%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=bIsP&refId=c5689eb4-b578-4336-a6fb-968c53c2c18c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/clinical-supervisor-at-syria-justice-and-accountability-centre-2317620632?refId=c5689eb4-b578-4336-a6fb-968c53c2c18c&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,3.0,0vcI0f2oQGS6KEz9BYEseg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,manager of healthcare institution,LinkedIn,2271192303,Revenue Care Manager,Michael Page,"SchipholRijk, North Holland, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Pharmaceuticals']",Health Care Provider,"Revenue Care ManagerOppportunity to manage a team and directly contribute to impact revenue growthDynamic, fast paced environment for an international company with 80k employeesA competitive salary package and priceless exposure to senior management There is room to grow and develop in your career at this company",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271192303?url=https%3A%2F%2Fwww%2Emichaelpage%2Enl%2Fen%2Fjob-apply%2Frevenue-care-manager%2Fref%2F196077%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobad&urlHash=dxzP&refId=c5689eb4-b578-4336-a6fb-968c53c2c18c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revenue-care-manager-at-michael-page-nederland-2271192303?refId=c5689eb4-b578-4336-a6fb-968c53c2c18c&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,5.0,1RJYpH2pRBaJBfHCL9drgA==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,manager of healthcare institution,LinkedIn,2291614569,Senior E-Commerce Manager - Laundry & Home Care (m/f),Henkel,"Nieuwegein, Utrecht, Netherlands","['Chemicals', 'Consumer Goods']",Marketing,"At Henkel, you can make a difference and craft your career Thats why you own your projects and take full responsibility from an early stage Our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths If you have an entrepreneurial mindset that allows you to always think out of the box  take the chance and shape the digital future together with us",Full-time,https://www.linkedin.com/jobs/view/externalApply/2291614569?url=https%3A%2F%2Fhenkel%2Ecsod%2Ecom%2Fux%2Fats%2Fcareersite%2F1%2Frequisition%2F10450%2Fapplication%3Fc%3Dhenkel%26jobboardid%3D0%26source%3DLinkedIn%231&urlHash=sQSb&refId=2cbff2bf-66e7-4cd8-8c2f-334d4cbef4ba&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-e-commerce-manager-laundry-home-care-m-f-at-henkel-2291614569?refId=2cbff2bf-66e7-4cd8-8c2f-334d4cbef4ba&position=13&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,88.0,E7+1inULTSiPu6eddRxetg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,manager of healthcare institution,LinkedIn,2286326243,Junior E-Commerce Manager - Laundry & Home Care (m/f),Henkel,"Nieuwegein, Utrecht, Netherlands","['Chemicals', 'Consumer Goods']",Marketing,"At Henkel, you can make a difference and craft your career Thats why you own your projects and take full responsibility from an early stage Our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths If you have an entrepreneurial mindset that allows you to always think out of the box  take the chance and shape the digital future together with us",Full-time,https://www.linkedin.com/jobs/view/externalApply/2286326243?url=https%3A%2F%2Fhenkel%2Ecsod%2Ecom%2Fux%2Fats%2Fcareersite%2F1%2Frequisition%2F10449%2Fapplication%3Fc%3Dhenkel%26jobboardid%3D0%26source%3DLinkedIn%231&urlHash=1ObB&refId=2cbff2bf-66e7-4cd8-8c2f-334d4cbef4ba&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-e-commerce-manager-laundry-home-care-m-f-at-henkel-2286326243?refId=2cbff2bf-66e7-4cd8-8c2f-334d4cbef4ba&position=15&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,90.0,A9gScrgwSqWEGp8ByUk7yg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,manager of healthcare institution,LinkedIn,2317384498,EUR Regional Portfolio Manager Kitchen Care,Diversey,"Utrecht, Utrecht, Netherlands",['Mining & Metals'],Finance,"Key responsibilities Responsible for product portfolio and marketing leadership and execution of strategic goals for the assigned part of the Kitchen Care portfolio Partner with key sector and portfolio teams to develop a successful value proposition and product line marketing strategy for Diversey products Maintain all online resources for internal and external stakeholders and markets, to ensure product messaging is clear and concise Manage the portfolio by developing worldclass innovation launches that drive significant growth and profitability Contribute to Platform and Portfolio Product Strategies and Roadmaps Analyze portfolio performance along key metrics, draw implications and develop recommendations based on key market trends Develop an indepth understanding of Food Service, Hospitality and Kitchen Care market  competitive position, and report back on competitive moves and unmet customer needs Build product strategy that moves Diverseys European Kitchen Care portfolio forward by expanding current product mix and growing into adjacent product portfolios Work effectively in crossfunctional teams RD, engineers, value chain, finance and regulatory to manage projects and provide support to product line activities Manage product line maintenance and simplification initiatives Work with Platform and RD teams to vet, prioritize and execute regional range maintenance needs Able to manage multiple, complex development projects while supporting the needs of existing product portfolio Support sales and sector marketing in the development of portfoliospecific customer proposals, sales presentations and key customer program implementations Key deliverables Achievement of Portfolio Growth Objectives Market needs analysis for Kitchen Care across various key sectors Regulatory analysis on products, packaging and offering Value proposition development by key sector and subsector Tools and reasons to believe Go to market planning and execution Portfolio alignment and offering Online commerce planning and execution Outreach and building of targets with communication strategy Qualifications Bachelors Degree in Business or related field, or sufficient related work experience 5 years experience in professional marketing, and preferably BtoB experience in Food Service, Hospitality or related sectors Strong communication and presentation skills, financial acumen, project management and clear leadership skills Additional Job Description and qualifications Integral to the success of this role is the ability to build and maintain relationships across functions, teams and seniority levels  both with internal and external stakeholders  and to balance solutions in accordance with budget, schedule and tools in a fast paced multitasking environment The Portfolio Manager will partner with internal stakeholders like RD, Supply Chain and Finance to optimize the product portfolio Additionally, this position will interface with the Business Units Sales and Marketing professionals to drive product sales and determine strategic direction of the portfolio Externally, this position will partner with professional organizations, engage contract manufacturers, product development and market research agencies to build an innovative portfolio for todays and tomorrows business",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317384498?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F6cde4b22-c242-477a-b4f6-8e80462c2d50%3Fjid%3D5b12772772fb7569eec7aaad8008eee7670cfc7e8a76656361ac5f20dc5f8f84%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=z_6p&refId=2cbff2bf-66e7-4cd8-8c2f-334d4cbef4ba&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/eur-regional-portfolio-manager-kitchen-care-at-diversey-2317384498?refId=2cbff2bf-66e7-4cd8-8c2f-334d4cbef4ba&position=16&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,91.0,S7pskQBFSbWpii1k4BGXrw==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,manager of healthcare institution,LinkedIn,2317620632,Clinical supervisor,Syria Justice and Accountability Centre,"Rotterdam, South Holland, Netherlands",['Religious Institutions'],Health Care Provider,"The Justice for Missing Persons project provides psychological and social support for a team of workers in NE Syria who are exhuming mass graves SJACs psychosocial consultant provides the team with PSS group sessions to raise consciousness about selfcare skills, secondary trauma and occupational burnout and individual support sessions to support individual adaption skills, by utilizing cognitive behavioral therapy, , To ensure that the support cycle between beneficiaries and the PSS counselor is complete, SJAC is seeking a clinical supervisor, , Tasks and responsibilities, , Conducting periodic sessions with the psychosocial specialist, aiming to, , Discuss individual and group work plans, , Discuss work evaluation methods and determine points of strength and weakness, , Discuss pre and post tests to measure the level of achievement, , Discuss intractable individual cases, , Provide metrics of disorder as needed, , Hours will vary, but SJAC anticipates 12 hours of support will be needed every month, , , , 1 Degree in psychology or similar speciality, , 2 At least three years experience in providing intensive clinical supervision, , 3 Indepth understanding of the Syrian conflict, , 4 Ability to manage clinical therapy sessions remotely, , 5  Fluent spoken and written Arabic",Part-time,https://www.linkedin.com/jobs/view/externalApply/2317620632?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc484481c-634f-4c46-ae2f-ba736c1ede7d%3Fjid%3D085cb85cbb7ed3636cc5392ea17f2fe58ea11176dc46461ac2921fc4db55cd59%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=bIsP&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/clinical-supervisor-at-syria-justice-and-accountability-centre-2317620632?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29,en,1.0,uwsEjqo+Qe2qPL4hsj9VWg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,manager of healthcare institution,LinkedIn,2271192303,Revenue Care Manager,Michael Page,"SchipholRijk, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Health Care Provider,"Revenue Care Manager, Oppportunity to manage a team and directly contribute to impact revenue growth, Dynamic, fast paced environment for an international company with 80k employees, , , , , , , , , , , A competitive salary package and priceless exposure to senior management There is room to grow and develop in your career at this company",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271192303?url=https%3A%2F%2Fwww%2Emichaelpage%2Enl%2Fen%2Fjob-apply%2Frevenue-care-manager%2Fref%2F196077%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobad&urlHash=dxzP&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revenue-care-manager-at-michael-page-nederland-2271192303?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29,en,6.0,1Z1blrUsTc+bGA+35fTNow==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,manager of healthcare institution,LinkedIn,2277259890,EUR Regional Portfolio Manager Kitchen Care,Diversey,"Utrecht, Utrecht, Netherlands",['Chemicals'],Marketing,"Reporting to the Executive Marketing Director, Kitchen Care  Fabric Care  Food Service  Hospitality, this role is to manage and lead part of the Kitchen Care platform across various BtoB market sectors and segments in Europe, , The Portfolio Manager is responsible for all product marketing needs of the assigned part of the Kitchen Care portfolio, creating a value proposition for each sector This includes portfolio rationalization and optimization product improvement and development PL of assigned portfolio and downstream marketing to support sales efforts, , Integral to the success of this role is the ability to build and maintain relationships across functions, teams and seniority levels  both with internal and external stakeholders The Portfolio Manager will partner with internal stakeholders like RD, Supply Chain and Finance to optimize the product portfolio Additionally, this position will interface with the Business Units Sales and Marketing professionals to drive product sales and determine strategic direction of the portfolio Externally, this position will partner with professional organizations, engage contract manufacturers, product development and market research agencies to build an innovative portfolio for todays and tomorrows business, , , , The Portfolio Manager is responsible for all product marketing needs of the assigned part of the Kitchen Care portfolio in Europe This includes portfolio rationalization and optimization product improvement and development PL of assigned portfolio and downstream marketing and creation of value propositions in support of sales efforts in various European BtoB markets, sectors and segments, in particular Food Service and Hospitality",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277259890?url=https%3A%2F%2Fdiversey%2Ewd5%2Emyworkdayjobs%2Ecom%2FDiversey%2Fjob%2FNetherlands---Utrecht-Head-Office%2FEUR-Regional-Portfolio-Manager-Kitchen-Care_R0005191%2Fapply%3Fsource%3DLinkedin&urlHash=gOSY&refId=d222d121-06b9-4bb3-bcd0-730941debbc7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/eur-regional-portfolio-manager-kitchen-care-at-diversey-2277259890?refId=d222d121-06b9-4bb3-bcd0-730941debbc7&position=3&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29,en,78.0,q1e4zpH5QPmow9VshVRMVg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,manager of healthcare institution,LinkedIn,2301982585,Acuvue Account Manager Vision Care NL,Johnson  Johnson,"Amersfoort, Utrecht, Netherlands","['Hospital & Health Care', 'Medical Devices', 'Pharmaceuticals']",Sales,"Job Description, , The ACUVUE account manager has to build up and nurture a good relationship to key accounts, optical chains and key opinion leaders in the respected area, , As an ACUVUE Account Manager you are responsible for managing a number of clients in the optic market with consistent, balanced and profitable growth in sales revenues through positive planning, deployment and management of sales personnel You interact and collaborate with all meaningful partners to pro actively build an environment where sales results will be achieved You identify objectives, strategies and action plans to improve short and longterm sales and earnings, , Meet or exceed financial goals for dedicated territory, , , , , NetherlandsUtrechtAmersfoort, , Johnson  Johnson is an Affirmative Action and Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301982585?url=https%3A%2F%2Fjobs%2Ejnj%2Ecom%2Fjobs%2F2005846333W%3Flang%3Den%26src%3DJB-10280&urlHash=jTy6&refId=d222d121-06b9-4bb3-bcd0-730941debbc7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/acuvue-account-manager-vision-care-nl-at-johnson-johnson-2301982585?refId=d222d121-06b9-4bb3-bcd0-730941debbc7&position=6&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29,en,81.0,HSSAkptbT/SDXTZuxgMfbw==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,manager of healthcare institution,LinkedIn,2303393031,Acuvue Account Manager Vision Care NL,Johnson  Johnson,"Amersfoort, Utrecht, Netherlands","['Medical Devices', 'Hospital & Health Care', 'Pharmaceuticals']",Sales,"The ACUVUE account manager has to build up and nurture a good relationship to key accounts, optical chains and key opinion leaders in the respected area, As an ACUVUE Account Manager you are responsible for managing a number of clients in the optic market with consistent, balanced and profitable growth in sales revenues through positive planning, deployment and management of sales personnel You interact and collaborate with all meaningful partners to pro actively build an environment where sales results will be achieved You identify objectives, strategies and action plans to improve short and longterm sales and earnings, Meet or exceed financial goals for dedicated territory,  Finding opportunities and achieve the established sales objectives, including market penetration and development objectives in the prescribed territory,  Achievement of the objectives of signed agreements and strategic plans with your clients within the assigned territory following the Commercial Policy,  Prepare and develop account strategic plan based on potential value of account, analyses of the current portfolio of products sold and agreed objectives Look for new opportunities,  Periodically analyze sales results, identification and conversion of opportunities, market size and competitors, to achieve an efficient commercial management that allows the achievement of sales goals,  Administrative Management daily reporting to monitor business activity eg Reporting and daily use of reporting systems,  Effective execution of Marketing campaigns in order to build conviction which shall change Belief  Behavior of HCP Ability to share feedback with Marketing team about Competition, Strategy execution of team as a part of feedback,  Communication and coordination of plans with each point of sale of customers with agreement,  Schedules the frequency of their calls on the clients regarding company products Adheres to coverage plan and frequency,  Aftersales followup and incident management with each client in the client portfolio,  Develop understanding of customer needs to identify sales opportunities See opportunities and work with colleagues to deliver With mentorship, develop an effective and efficient territory plan Work with retailers and ensure that they are brand ambassadors for our products Identify and train clients on new technologies and solutions through consultinstore, oneonone sales calls, onetomany training sessions,  Play an active role in sales meetings and identify team opportunities and share standard methodologies,  Partnerup with key customers to consult, advise and influence in business development,  Regularly track the implementation, execution and impact of activities and performance of accounts ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303393031?url=https%3A%2F%2Fjnjc%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3D2005846333W&urlHash=Nu3F&refId=d222d121-06b9-4bb3-bcd0-730941debbc7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/acuvue-account-manager-vision-care-nl-at-johnson-johnson-2303393031?refId=d222d121-06b9-4bb3-bcd0-730941debbc7&position=8&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29,en,83.0,oNsThSfjSiO78lpVDloHXg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
