Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,education,LinkedIn,2326339295,Working Student / Bijbaan,dVES7/TZSRKmdYu6JDow3g==,Picnic,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","At Picnic, we offer quality parttime jobs throughout the organisation This is the chance to earn extra cash while applying everything youve learnt From supporting a groundbreaking distribution system, forecasting the growth of our company, to joining the determined operations team  theres plenty of opportunity to dive into interesting topics, develop abilities, and learn new skills We expect everyone at Picnic to fit into a demanding atmosphere Youll be treated as a fulltime employee, receive invaluable experience in a challenging environment, and grab a drink with the whole team on a Friday With a foot in the door and an expanding professional network, youll create a solid platform from which to embark on a career This page will constantly be updated with the newest available projects for working students If you cant find a suitable project but you still match the requirements, please send us an email and tell us where you can fit in What you need, , , , , , , , , Wat heb je nodig",Part-time,https://www.linkedin.com/jobs/view/externalApply/2326339295?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fworking-student-bijbaan%3A44429005%2F&urlHash=awIC&refId=24b103de-c85c-4b85-8939-068f4ac7de64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/working-student-bijbaan-at-picnic-2326339295?refId=24b103de-c85c-4b85-8939-068f4ac7de64&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-15,2020-11-29
2,education,LinkedIn,2326403581,INTERN BEGELEIDER,h7kV6XOtQhuZndheFoz75g==,The School Factory,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education']","INTERN BEGELEIDER, , Een intern begeleider als een verbindende teamplayer die naast de leerkrachten staat om hen te begeleiden en te ondersteunen, maar ook als sparringpartner voor de locatiecordinator kan optreden, , , , Functieeisen, , Taken en verantwoordelijkheden, , , , De kandidaten moeten over de volgende kennis en vaardigheden beschikken, , , , een leuk, fijn en zeer gedreven team, , , , inspirerende studie en teamdagen, , Heb jij hart voor leerlingen bij wie het leren niet vanzelf gaat en wil jij deze leerlingen optimaal begeleiden in hun ontwikkeling Dan zijn wij op zoek naar jou, , De intern begeleider werkt als teamplayer die naast de leerkrachten staat om hen te begeleiden en te ondersteunen, maar ook als sparringpartner kan optreden, , Je hebt coachende ervaring en staat stevig in je schoenen Je staat open voor feedback en hebt een signalerende functie en adviseert de locatiecordinator, , Functieeisen, ,  Je hebt bij voorkeur een afgeronde IBopleiding of andere relevante studie, ,  Je hebt recente werkervaring, ,  Je bent per direct beschikbaar voor 0,8 tot 1,0 fte tot het einde van het schooljaar met uitzicht op een, , vaste baan, , leerlingen, zowel, , , ,  Je bent communicatief vaardig en hebt plezier in het onderhouden van contacten, , Bedrijfsomschrijving, , , , Arbeidsvoorwaarden, , Onze leerlingen en medewerkers zijn SPECIAAL, , Het betreft een structurele vacature, ingaande per direct voor de duur met uitzicht op vast, , , , Onze leerlingen presteren beter als ze les krijgen van goede leraren Daarom investeren onze scholen blijvend in de professionalisering van individuele medewerkers en teams Elke nieuwe medewerker krijgt persoonlijke begeleiding en desgewenst een opleidingstraject, , Bij interesse ontvangen wij graag een korte motivatiebrief met CV per email tav Monique Huizinga,, , Een meeloopdag en het aanvragen van een Verklaring omtrent Gedrag VOG is onderdeel van de sollicitatieprocedure",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326403581?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F14d55ccf-f376-43ce-bff9-f0ec76b37ce4%3Fjid%3Db8d783848ad2560ea719c12d2cad9dfb79c2e0091d2c7b8661b3b2dbc094464a%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=DZyp&refId=24b103de-c85c-4b85-8939-068f4ac7de64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/intern-begeleider-at-the-school-factory-2326403581?refId=24b103de-c85c-4b85-8939-068f4ac7de64&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-15,2020-11-29
3,education,LinkedIn,2319200612,zij-instroom – verzorgende ig – verkorte opleiding,Y3fgloeYTsOIE21oTe88Jw==,Cordaan,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Omschrijving, , Heb jij altijd al in de zorg willen werken Cordaan biedt de mogelijkheid om als Verzorgende IG in de zorg te werken Wil je overstappen naar de zorg en ben jij op zoek naar een baan met toekomstperspectief waarin je echt iets kunt betekenen voor anderen Wij maken jouw carrireswitch naar de zorg mogelijk, , Cordaan biedt zijinstromers een unieke kans Bij ons kun je aan de slag met een mooi salaris en haal je binnen 18 maanden je diploma als verzorgende IG Als zijinstromer combineer je leren en werken op een vaste locatie Dit noemen we een Leerhuis, een nieuwe en andere manier van opleiden Deze methode is speciaal ontwikkeld voor mensen die toe zijn aan een nieuwe manier van leren Je leert op een levensechte manier op de werkplek, de dagelijkse praktijk staat hierin centraal Het onderwijsprogramma wordt afgestemd op wat er op de locatie speelt en de docent is betrokken bij de zorg Leren en tegelijk doen blijkt voor zijinstromers een ideale combinatie Ook clinten en collegas reageren positief op deze vorm van leren Je krijgt n dag in de week les en de andere dagen werk je op locatie Tijdens jouw leertraject krijg je een vaste werkbegeleider toegewezen die jou deze periode gaat begeleiden Voorafgaand aan de opleiding vindt een selectieprocedure plaats, met een videogesprek, een taalen rekenen toets en een sollicitatiegesprek op locatie, We bieden je een uitdagende positie binnen een organisatie die de ambitie heeft de beste zorgverlener en zorgwerkgever van Amsterdam te zijn Daarnaast, , , , , , We zijn op zoek naar enthousiaste en ondernemende collegas die de best mogelijke zorg willen leveren aan clinten, , , Op dit moment zijn alle zijinstroom plaatsen voor 2020 vervuld In december starten we weer met werven voor het volgend traject dat februarimaart 2021 begint We hebben een beperkt aantal plaatsen dus overtuig ons waarom jij ons nieuwe zijinstromer wordt Graag ontvangen wij alvast je cv en motivatiebrief In december nemen wij contact met je op om je te informeren over het traject Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319200612?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D3554d157faf7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcddb8ddbfddc9adcaddfaddbgdd9aadafadf3aeacdc9fec3ddcg3e&urlHash=79A1&refId=24b103de-c85c-4b85-8939-068f4ac7de64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zij-instroom-%E2%80%93-verzorgende-ig-%E2%80%93-verkorte-opleiding-at-cordaan-2319200612?refId=24b103de-c85c-4b85-8939-068f4ac7de64&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-15,2020-11-29
4,education,LinkedIn,2269380086,Regio Helmond / Deurne. Supermarktmanager in opleiding,kWfhqaqGTRe83yHcjCY9Fg==,Jumbo Supermarkten,"Noord, North Brabant, Netherlands","['Supermarkets', 'Retail', 'Food & Beverages']","Ben je ondernemend en ambitieus n lijkt het je gaaf om een bedrijf van A tot Z te runnen en naar een hoger plan te tillen Dan is dit jouw kans, , Stel je krijgt de ruimte om cht te ondernemen In een miljoenenbedrijf Waar je tussen de 75 en 200 medewerkers aanstuurt Volledig verantwoordelijk bent voor omzet en kosten En tussen de 5 en 15 miljoen omzet op jaarbasis draait Horen wij je denken Hallo nieuwe uitdaging Wij leiden je in een jaar op tot Filiaalmanager voor een van onze winkels in de regio van Helmond  Deurne Dit wordt een jaar waarin je niet alleen Jumbo maar ook jezelf beter leert kennen, , Als Filiaalmanager in opleiding binnen Jumbo groei je in de rol die jou eindverantwoordelijk maakt voor de exploitatie van onze supermarkt We bieden je een intensief opleidingstraject inclusief goede begeleiding en coaching Je draait meteen al volwaardig mee in de winkel en leert de kneepjes van het vak van je buddy Na dit traject ben jij samen met een team van afdelingschefs en gemotiveerde medewerkers verantwoordelijk voor alle commercile en financile aspecten van je eigen filiaal, , Bij ons krijg je volop de ruimte om eigen keuzes te maken en te ondernemen Je richt je op het lokale ondernemerschap en samen met het management bepaal je de visie en creer je het topteam van je winkel, , , , , , , , , , Dus ben jij een ondernemer die denkt in mogelijkheden om de resultaten te verbeteren En een leidinggevende die zijn medewerkers inspireert Dan zoeken we jou, , , , , En verder is Jumbo gewoon een gaaf bedrijf om voor te werken Met een fijne sfeer n gemotiveerde mensen Immers, Jumbo staat voor Samen Ondernemen om te Winnen een ambitieuze omgeving waarin we elke dag streven naar beter met elkaar voor onze klant, , De uitdagingen bij Jumbo zijn enorm Net als de kansen Omdat het elke dag beter moet voor onze klanten Daarom zoeken we mensen die samen met meer dan 80000 collegas Jumbo elke dag beter helpen maken, , , , , , , Andere Supermarktmanagers waarderen de opleiding met gemiddeld een 8,5, , Hard werken en veel leren, dat is het motto waarmee je deze functie in gaat In korte tijd leer je veel over de winkel, leiderschap en over jezelf Dit allemaal terwijl je ondertussen je eigen winkel runt en door jou opgedane kennis in de praktijk mag brengen Iedere collega is stuk voor stuk bereid je te adviseren en helpen in jouw opleidingstraject, samen zijn we succesvol Rick Collaris, Jumbo Urmond, , Samen met collegas ontwikkelen elkaar steunen en helpen tijdens de opleiding Jump FM is enorm motiverend samen de eindstreep behalen door elkaar te spiegelen op houding en gedrag zodat jou ontwikkeling nooit stil staat Een eigen supermarkt runnen met de juiste begeleiding hoe tof is dat Anouk Bezemer, Jumbo Maasbree",Full-time,https://www.linkedin.com/jobs/view/externalApply/2269380086?url=https%3A%2F%2Fjumbowerkt%2Enl%2Fvacatures%2Fregio-helmond-deurne-supermarktmanager-in-opleiding%2F%3Fid%3D30987&urlHash=DPto&refId=24b103de-c85c-4b85-8939-068f4ac7de64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/regio-helmond-deurne-supermarktmanager-in-opleiding-at-jumbo-supermarkten-2269380086?refId=24b103de-c85c-4b85-8939-068f4ac7de64&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-15,2020-11-29
1,education,LinkedIn,2328670654,Vacature Management assistent/Office manager,rQk0y5lDU+3Yjeo6MaVwcQ==,SVP Architectuur en Stedenbouw bv,"Amsterdam, North Holland, Netherlands",None,"Voel jij je thuis in een creatieve en dynamische bureauomgeving Vind je het fijn om een superdruk directieteam te ondersteunen en ervoor te zorgen dat alles op rolletjes loopt Dan zijn we op zoek naar jou, , Als Management assistentOffice manager bij SVP liggen jouw prioriteiten bij de ondersteuning van de driehoofdige directie Je moet dan denken aan het agendabeheer, de afsprakenportefeuille en de correspondentie Je notuleert het overleg van de staf en andere belangrijke bijeenkomsten en je bent een vraagbaak voor alle 45 medewerkers van ons bureau Je werkt nauw samen met de receptioniste en de communicatieadviseur, , Tevens ben je verantwoordelijk voor de uitvoering van algemene secretarile werkzaamheden In de organisatie van het bureau, maar ook bij evenementen en excursies speel je samen met collegas een belangrijke rol, , Je hebt een relevante afgeronde HBOopleiding en aantoonbare werkervaring als management assistent, directiesecretaresse of secretaris We zoeken een professionele doorpakker, iemand die structuur brengt en terugduwt indien nodig Zodra je jouw toegevoegde waarde hebt bewezen zullen we heel graag veel aan je overlaten, , , , , , Een leuke en dynamische baan in een fijne werkomgeving met een mooie mix aan goed gehumeurde en talentvolle collegas Ons voormalig patronaatsgebouw ligt in het historisch centrum van Amersfoort De arbeidsvoorwaarden en beloning zijn conform de cao voor architectenbureaus Wij respecteren regelgeving rondom het Covid19 virus, dat betekent dat we je graag live willen leren kennen, maar dat we ook alle faciliteiten bieden om je werkzaamheden deels vanuit huis te kunnen doen, , , Wij zijn een groep van ruim veertig architecten, stedenbouwkundigen en bouwkundigen, waar integraal ontwerpen tussen de schaalniveaus van architectuur en stedenbouw centraal staat Wij hechten waarde aan een prettige werksfeer en samenwerken vinden wij vanzelfsprekend Dit doen wij met collegas, opdrachtgevers en toekomstige gebruikers van onze ontwerpen Connecting at every scale is niet voor niets onze slogan Wij houden van complexiteit Het biedt kansen om verder te kijken dan het geijkte en oplossingen aan te bieden waar dat anderen niet lukt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328670654?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Ddeefdae9aeab%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadccadbaadbcadacadc8adfaadbgdd7aadffadb3aefcacefec3ddcg3e&urlHash=MH09&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacature-management-assistent-office-manager-at-svp-architectuur-en-stedenbouw-b-v-2328670654?refId=3442c8f5-737b-4f13-bcec-6457725809fe&trackingId=rQk0y5lDU%2B3Yjeo6MaVwcQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-24,2020-12-01
2,education,LinkedIn,2327815955,Projectmanager,IAon6JuXEJCmfaRc1dfZAw==,DAS,"Amsterdam, North Holland, Netherlands",['Legal Services'],"Bij DAS zijn we op zoek naar een doortastende Strategisch Projectmanager In deze rol begeleid je de strategische projecten, in opdracht van de directie Ben jij een verbinder en heb je de afgelopen 3 tot 5 jaar een trackrecord opgebouwd in het managen van strategische projecten Krijg je energie van het oppakken van grote projecten, waar veel verandering en ontwikkeling bij komt kijken En wil je werken in een ambitieus en collegiaal team Dan zijn wij op zoek naar jou, , Dit ga je doen als projectmanager, , Als projectmanager sta je in het hart van de organisatie Je weet wat er speelt en met jouw bedrijfskundige expertise informeer n adviseer jij de organisatie welke kant op te gaan Jij bent een ster in het uitzetten van verschillende projectmethodes en technieken en weet precies hoe je dit inzet om je gewenste doel te bereiken Daarnaast ben je communicatief vaardig en ben je sterk in het houden van overzicht en in het samenwerken met anderen Je staat dagelijks in contact met collegas van de vloer tot aan het bestuur van DAS en dat is wat jij leuk vindt, , Je maakt rapportages, planningen en cordineert en begeleidt het gehele proces van A tot Z om het gewenste resultaat te behalen, , Waar kom je terecht, , Alhoewel we ivm COVID19 met alle medewerkers van DAS op dit moment zoveel mogelijk vanuit huis werken is de standplaats van de functie officieel Amsterdam, Het programmamanagement team bestaat uit 7 collegas die er iedere dag weer voor zorgen dat de strategie zich door vertaalt binnen de organisatie Binnen het team heerst een ontspannen en sociale sfeer Er is voldoende ruimte om met elkaar kennis te delen en te sparren over de projecten Ook in deze tijd proberen we middels digitale middelen zo veel mogelijk contact met elkaar te onderhouden Jouw leergierigheid, interesse en stressbestendigheid voegen veel toe aan dit team, Onze organisatie wordt gekenmerkt door het mensgerichte karakter en collegialiteit Onze cultuur is uit te drukken in menselijk, slim, open, betrokken en optimistisch DAS is onderweg naar een meer Agile aanpak en cultuur Ook hierin verwachten we dat je een sturende rol kunt pakken, , Must Have, , Minimaal HBO werk en denkniveau met voldoende ervaring in het doorgronden van bedrijfskundige vraagstukken, , Ervaring met Prince 2, , Minimaal 5 jaar werkervaring waarvan 3 jaar als trekker van strategische projecten, , Je bent organisatiesensitief en jouw stakeholdermanagement is goed ontwikkeld, , Je bent flexibel ingesteld en weet door te pakken waar nodig, , Lef en ondernemerschap, , Nice to Have, , Ervaring met Lean, Scrum enof Agile werken, , Ervaring met ITomgevingen en projecten, , Ons aanbod, , , Direct solliciteren",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327815955?url=https%3A%2F%2Fwww%2Ewerkenbijdas%2Enl%2Fvacature%2Fprojectmanager-2020-12-01-09-20-03&urlHash=YUVO&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/projectmanager-at-das-2327815955?refId=3442c8f5-737b-4f13-bcec-6457725809fe&trackingId=IAon6JuXEJCmfaRc1dfZAw%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-24,2020-12-01
3,education,LinkedIn,2320868201,Team manager Sales in opleiding,7wDpPVuVctZwDFBz7cyWqg==,IKEA,"Utrecht, Utrecht, Netherlands",['Retail'],"WIE JE BENT, Wil jij een kijkje nemen in de keuken van IKEA Utrecht Als Teammanager Sales in opleiding wordt je klaargestoomd tot Teammanager Sales en zorg je samen met jouw Teammanager ervoor dat het team als een huis staat, Samen met dit team speel je in op de wensen van onze klanten en zorg je voor een competitieve positie in de markt Voel je de energie al",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320868201?url=https%3A%2F%2Fikea%2Eavature%2Enet%2Fnl_NL%2FExternal%2FJobDetail%3FjobId%3D67148%26source%3DTalent%2BBrew%2BCareer%2BPage&urlHash=JgMg&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/team-manager-sales-in-opleiding-at-ikea-2320868201?refId=3442c8f5-737b-4f13-bcec-6457725809fe&trackingId=7wDpPVuVctZwDFBz7cyWqg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-24,2020-12-01
4,education,LinkedIn,2328507061,Business process- en projectmanager Lidl Nederland Huizen (32-40 uur).,3md21Tge+hhMqs7IfJc+Dg==,Lidl Nederland,"Huizen, North Holland, Netherlands","['Consumer Goods', 'Retail', 'Supermarkets']","Ben jij sterk en ervaren in projectmanagement, nieuwsgierig van aard en pragmatisch ingesteld Wil jij je als business process manager binnen Lidl Nederland verder ontwikkelen en aan de slag met het vastleggen, optimaliseren en ontwikkelen van onze bedrijfsprocessen Lees dan snel verder, , De afdeling Corporate Governance is een business consulting afdeling binnen Lidl die zich bezig houdt met organisatiemanagement, projectmanagement en riskmanagement De afdeling ondersteunt de organisatie bij het maken van beslissingen en keuzes Onder andere door gezamenlijk met procesverantwoordelijken risicos in kaart te brengen en bijbehorende maatregelen vast te stellen, processen te optimaliseren en projecten op een juiste manier uit te laten voeren, Wij geven advies, ondersteuning, begeleiding en scholing aan de organisatie en zijn een betrouwbare partner voor de business, , In de rol van business process en projectmanager ga je deel uit maken van een klein, gedreven en hecht team Je ondersteunt en assisteert je ervaren collegas als het gaat om operationele business process management zaken Daarnaast ben je verantwoordelijk voor je eigen projecten en werkzaamheden waarin je zelfstandig kunt handelen op PMO vlak, , Kortom, voel jij je thuis in onze nononsense en aanpakkerscultuur en spreekt een rol waarbij je zowel operationeel ondersteunend als zelfstandig te werk gaat jou aan Lijkt het jou fantastisch om je verder te ontwikkelen binnen onze dynamische organisatie met volop doorgroei mogelijkheden Dan maken wij graag kennis met jou, , In deze functie adviseer en ondersteun je de vakafdelingen bij de ontwikkeling, optimalisatie en vastlegging van processen en bijbehorende regelingen van Lidl Nederland Jij werkt samen met de verschillende afdelingen om kwalitatief hoogstaande processen te borgen Samen afstemmen, meedenken met en begeleiden in vragen uit de business omtrent het borgen van processen is een van jouw belangrijkste taken Ook train, ondersteun en coach je de afdelingen op het gebied van business process en projectmanagement, , Daarnaast zet je de internationale projectmanagement methodiek om naar een nationale oplossing jij bent de contactpersoon voor het internationale hoofdkantoor in Duitsland op het gebied van projectmanagement, scholingen en overige kwesties die hiermee te maken hebben en draagt zorg voor de implementatie en bewaking van de internationale proces, en projectmanagementmethodiek voor Lidl Nederland Binnen Lidl Nederland adviseer en ondersteun je proactief de projectmanagers bij het opzetten en uitvoeren van projecten Tevens zorg je ervoor dat iedere maand de statussen over alle strategische projecten aanwezig zijn en zul je deze samen met je collegas verder analyseren voor een goede besluitvorming, , Wij bieden een interessante, brede functie waarin je de organisatie optimaal leert kennen Je kunt je volop ontwikkelen en krijgt de kans om mee te bouwen aan de opbouw en verdere ontwikkeling van proces, en projectmanagement binnen Lidl Nederland, , Jij werkt van nature nauwkeurig en gestructureerd, hebt je zaken graag goed georganiseerd en stelt hoge eisen aan je werk Je bent een echte doorzetter, kunt goed zelfstandig werken en wilt mensen graag ondersteunen in het optimaliseren van hun werk Jij krijgt energie van een dynamische werkomgeving waarin resultaatgerichtheid de gemene deler is van onze gedreven medewerkers Verder vind jij het prettig om een spin in het web te zijn en je weet als geen ander om de meerwaarde van proces en organisatiemanagement over te brengen op andere collegas Als persoon ben je ondernemend en probleemoplossend ingesteld Jij bent in staat snel te schakelen, maakt jezelf snel nieuwe onderwerpen eigen en het gaat je makkelijk af om complexe themas te analyseren en op een duidelijke manier over te brengen op andere afdelingen, , , , , , Als grootste supermarktketen in Europa zijn we actief in meer dan 30 landen In Nederland hebben we meer dan 19000 medewerkers in ruim 430 filialen De klant staat bij ons centraal en we hebben oog voor duurzaamheid, bijvoorbeeld door steeds meer biologische, diervriendelijke en duurzame producten in ons assortiment op te nemen n door de bouw van de meest duurzame distributiecentra van Nederland Die betrokkenheid strekt zich ook uit tot onze medewerkers Lidl zorgt voor een gezonde werkpriv balans, voldoende groei en ontwikkelingsmogelijkheden en uiteraard de juiste beloning Daarnaast staat diversiteit bij Lidl hoog op de agenda Samen maken we Lidl, , , We zien jouw sollicitatie graag tegemoet Vragen Neem contact op met onze recruiter, Yvonne Holthuis, via 035528 7466",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328507061?url=https%3A%2F%2Fwww%2Ewerkenbijlidl%2Enl%2Fjobs%2Fbusiness-process-en-projectmanager-lidl-nederland-huizen-32-40-uur-nl-038081&urlHash=Fic6&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-process-en-projectmanager-lidl-nederland-huizen-32-40-uur-at-lidl-nederland-2328507061?refId=3442c8f5-737b-4f13-bcec-6457725809fe&trackingId=3md21Tge%2BhhMqs7IfJc%2BDg%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-24,2020-12-01
5,education,LinkedIn,2297590960,Medewerker Support Opleiding en Training,iS7hKMwIrbOWAQElrRPFig==,NEVI,"Zeist, Utrecht, Netherlands",['Education Management'],"Nevi wil inkoop in Nederland op een hoger niveau brengen en richt zich daarbij zowel op Procurement professionals als op organisaties Niet alleen in Nederland, maar ook in het buitenland, waarbij wij onder meer trainingen en opleidingen met diploma aanbieden om dat te realiseren Nevi is in Nederland met meer dan 6500 leden ht kennisnetwerk voor inkoop en supply management Wij nemen wereldwijd de derde positie in op de lijst van inkoopverenigingen en ontvingen als eerste organisatie ter wereld de Global Standard voor het kwaliteitsniveau van onze opleidingen en trainingen",Part-time,,https://nl.linkedin.com/jobs/view/medewerker-support-opleiding-en-training-at-nevi-2297590960?refId=3442c8f5-737b-4f13-bcec-6457725809fe&trackingId=iS7hKMwIrbOWAQElrRPFig%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-24,2020-12-01
6,education,LinkedIn,2327745010,Project Manager,obnpcLWGblJbkWENPSVP+Q==,Sourcewell BV,"The Randstad, Netherlands",['Staffing and Recruiting'],"Als Project Manager houd je je bezig met de complete projectorganisatie en uitvoering rond de door dit bedrijf ontwikkelde machines, , Werkzaamheden, Vanaf het moment van order intake tot aan de inbedrijfstelling ben je verantwoordelijk en aanspreekpunt voor de organisatie, realisatie en oplevering van meerdere gelijktijdig lopende projecten",Full-time,,https://nl.linkedin.com/jobs/view/project-manager-at-sourcewell-bv-2327745010?refId=3442c8f5-737b-4f13-bcec-6457725809fe&trackingId=obnpcLWGblJbkWENPSVP%2BQ%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-24,2020-12-01
