Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,staff,LinkedIn,2323852528,People Administrative Support,bTay0SRgTmKOa9dEmU+kew==,Picnic,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Do you want to be part of the supermarket revolution Picnic offers you the opportunity to work in an innovative startup culture where everything you do matters With a datadriven approach and an incredible service, Picnic strives to make grocery shopping simple, fun, and affordable for everyone Known for our justintime supplychain and a unique lastmile delivery strategy, we have become one of the fastestgrowing companies in Europe Who are you You are an organizational talent, a master at keeping a clear overview and you get excited about helping coworkers In the role of People Administrative Support, you are a first point of contact for all People Operations related topics and employees within our Amsterdam office You are a true team player constantly working with the rest of the People Operations team and other colleagues within the whole of Picnic You would join the People Operations team, working from the headquarters in Amsterdam Here you can enjoy a delicious lunch every day and fun Friday drinks  as soon as a COVID19 vaccine has been found  every week, , Whats your challenge",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323852528?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fpeople-administrative-support%3A44405598%2F&urlHash=Gd75&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/people-administrative-support-at-picnic-2323852528?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
2,staff,LinkedIn,2323327083,People Administrative Support,uOMLHiewQQeAKYKIyAtKoQ==,Picnic Technologies,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Retail']","Do you want to be part of the supermarket revolution Picnic offers you the opportunity to work in an innovative startup culture where everything you do matters With a datadriven approach and an incredible service, Picnic strives to make grocery shopping simple, fun, and affordable for everyone Known for our justintime supplychain and a unique lastmile delivery strategy, we have become one of the fastestgrowing companies in Europe, , You are an organizational talent, a master at keeping a clear overview and you get excited about helping coworkers In the role of People Administrative Support, you are a first point of contact for all People Operations related topics and employees within our Amsterdam office You are a true team player constantly working with the rest of the People Operations team and other colleagues within the whole of Picnic, , You would join the People Operations team, working from the headquarters in Amsterdam Here you can enjoy a delicious lunch every day and fun Friday drinks  as soon as a COVID19 vaccine has been found  every week, , , , Picnic offers unique opportunities we give you incredible responsibilities in a flat organization We work in small, professional teams, and are focused on innovation, , Furthermore, we are super curious, extremely competitive, and value transparency We work hard, play hard, operate as one team and leave our egos at the door We care about people, growth, excellence and results Bottom line, we are looking for people who make the impossible happen every day, , Keywords administratief medewerker, human resources, administratie, staff  organisatie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323327083?url=https%3A%2F%2Fjoin%2Epicnic%2Eapp%2Fjobs%2F2448369%3Fgh_jid%3D2448369&urlHash=O4p8&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/people-administrative-support-at-picnic-technologies-2323327083?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
3,staff,LinkedIn,2324361348,Bemonsteraars om coronatesten af te nemen bij bewoners en staff - Amstelveen,gkARrc2ySMinWxslyxEy7A==,Zonnehuisgroep Amstelland,"Amstelveen, North Holland, Netherlands",['Hospital & Health Care'],"Volg jij de opleiding MBO verpleegkunde, HBO verpleegkunde of WO geneeskunde en zit jij in het 2de jaar of verder of ben jij al in het bezit van zorgdiploma op minimaal niveau 4 Dan kunnen wij jouw hulp in deze drukke Covid19 tijden goed gebruiken voor het afnemen van corona testen bij bewoners en staff Zonnehuis Behandelcentrum in Amstelveen is op zoek naar meerdere, , , , , Ben jij per direct beschikbaar voor minimaal 1  2 dagdelen per week en wil jij een belangrijke bijdrage leveren aan de ouderenzorg en vind jij het een uitdaging om op vriendelijke en geduldige wijze de coronatesten af te nemen bij onze bewoners op onze locaties in Amstelveen en omgeving Neem dan zo snel mogelijk contact op met onze recruiters, , , Als bemonsteraar ben je verantwoordelijk voor het bemonsteren afnemen van corona testen van onze clinten Dit doe je door een keel en neuskweek af te nemen, zodat dit getest kan worden door het laboratorium Op het moment dat de specialist ouderengeneeskunde bepaalt dat er bewoners getest moeten worden, haal jij de testmiddelen op bij ons secretariaat en ga je naar de betreffende locatie om de testen af te nemen, Het afnemen van de testen gebeurd uiteraard alleen indien nodig Om jou toch voldoende uren te kunnen bieden, zal jij op de afgesproken tijden ondersteunen in de zorg Zodra ergens coronatesten afgenomen moeten worden, word jij uit de zorg gehaald en ga jij op pad",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324361348?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D3730304e669c%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcdd9gddd7ddg7dddcddgaddcgadbaddafdda3de7cacdfec3ddcg3e&urlHash=W2_F&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/bemonsteraars-om-coronatesten-af-te-nemen-bij-bewoners-en-staff-amstelveen-at-zonnehuisgroep-amstelland-2324361348?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
4,staff,LinkedIn,2323263650,Houtrot specialist omgeving Amsterdam | DIT staff,cGGFKGnvR0+dfFtxVnWORw==,Technicusnl,"Amsterdam, North Holland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']","Vacature van DIT staff, locatie Amsterdam, , Diverse vastgoed en onderhoudsbedrijven in NoordHolland en omgeving Almere hebben weer plek voor een zelfstandige houtrot specialist Het werk vind voornamelijk in het gebied tussen Amsterdam, Almaar, Almere, Huizen en Hilversum plaats Uiteraard wordt er rekening gehouden met jouw reistijd, , In deze functie herstel jij houtrot of plaats jij nieuw hout ter vervanging van oude constructies Deze functie vraagt om een representatief persoon die weet hoe je met de particuliere klant dient om te gaan en hierin ervaring heeft, , Kijk eens onder het kopje wat wij bieden voor meer info over deze baan Voel je vrij om contact op te nemen als je vragen hebt over deze vacature, , , , , Om voor deze functie in aanmerking te komen, vragen wij DIT van je, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323263650?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F2828_321854_houtrot-specialist-omgeving-amsterdam%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Damsterdam&urlHash=xaeZ&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/houtrot-specialist-omgeving-amsterdam-dit-staff-at-technicus-nl-2323263650?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
5,staff,LinkedIn,2322569028,Houtrot specialist omgeving Amsterdam | DIT staff,iWnJR2ODQpW8R6Wz8KrtDQ==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Consumer Services', 'Environmental Services', 'Consumer Services']","Vacature van DIT staff, locatie Amsterdam, , Diverse vastgoed en onderhoudsbedrijven in NoordHolland en omgeving Almere hebben weer plek voor een zelfstandige houtrot specialist Het werk vind voornamelijk in het gebied tussen Amsterdam, Almaar, Almere, Huizen en Hilversum plaats Uiteraard wordt er rekening gehouden met jouw reistijd, , In deze functie herstel jij houtrot of plaats jij nieuw hout ter vervanging van oude constructies Deze functie vraagt om een representatief persoon die weet hoe je met de particuliere klant dient om te gaan en hierin ervaring heeft, , Kijk eens onder het kopje wat wij bieden voor meer info over deze baan Voel je vrij om contact op te nemen als je vragen hebt over deze vacature, , , , , Om voor deze functie in aanmerking te komen, vragen wij DIT van je, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322569028?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F5860_dit-staff%2Fvacatures%2F4990223_houtrot-specialist-omgeving-amsterdam%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Damsterdam&urlHash=8CvH&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/houtrot-specialist-omgeving-amsterdam-dit-staff-at-werkzoeken-nl-2322569028?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
6,staff,LinkedIn,2324290419,HR Officer,y4/NqVSkR3u6qUJ/jeox0Q==,Inspire Group,"Almere, Flevoland, Netherlands",['Oil & Energy'],"Bedrijfsomschrijving, , Wie zijn wij, Inspire is een uitzendbureau dat is gespecialiseerd in klantcontact en aanverwante officefuncties Wij richten ons op leuke en veelzijdige banen die bijdragen aan het persoonlijk geluk en carrire ontwikkeling van onze medewerkers De dienstverlening loopt uiteen van recruitment, uitzenden of detacheren van klantcontact en office staff tot aan vakopleidingen en Interim Management, , , , , , , Voor een farmaceutische organisatie zijn wij op zoek naar een HR Officer In deze veelzijdige rol ben jij het eerste aanspreekpunt op het gebied van HR gerelateerde zaken voor de werknemers Daarnaast ben je administratief bezig Je werkzaamheden bestaan oa uit Het opstellen van arbeidsovereenkomsten, voorbereiden salarisadministratie, het maken van rapportages op het gebied van in, uit en doorstroom, Het betreft een veelzijdige functie waarbij geen enkele dag hetzelfde is, , Het betreft een internationale organisatie De voertaal is dan ook Engels, , , Het betreft een functie voor 40 uur per week Je zal voornamelijk werken binnen kantoortijden, echter wordt er wel een flexibiliteit verwacht bij drukte, , , , , , , , , , , , , , , Wil jij deze baan als HR Officer Solliciteer dan direct online via de sollicitatiebutton",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324290419?url=https%3A%2F%2Feasyapply%2Ejobs%2Fr%2FV7bIJeV1T1CXbV4fwnMW&urlHash=djtL&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/hr-officer-at-inspire-group-2324290419?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
7,staff,LinkedIn,2184030429,Herintreden: Kapitein staff & Organisatie,KBbgMMH0QK2IJVb/pgR7kg==,Ministerie van Defensie,"The Hague, South Holland, Netherlands",['Military'],"Heb je recent tussen nu en 6 jaar geleden ontslag genomen als beroepsmilitair en was je destijds kapitein bij de functionalisatie Peroneel  Organisatie Of was je kapitein bij een wapen of dienstvak en heb je je inmiddels gekwalificeerd voor het werkveld POHRM En wil je weer terug Het Bureau Bijzondere Instroom Koninklijke Landmacht kijkt graag of er mogelijkheden voor je zijn om terug te keren als beroepsmilitair, , Dit ga je doen, , Je hebt naast een afgeronde opleiding HBO staff  Arbeid  MER of SJD of Toegepaste Psychologie met hoofdfase gericht op PA en organisatie of WO Beleids en organisatiewetenschappen  Bestuurskunde of Bedrijfskunde of wetenschappen met specialisatie HRM ook eerder al je officiersopleiding bij de Koninklijke Landmacht afgerond MWOKOO incl VTO Je kunt dus na gebleken geschiktheid direct weer aan de slag als beroepsmilitair bij de Koninklijke Landmacht, , Hier ga je werken, , We hebben op dit moment meerdere plaatsingsmogelijkheden Wanneer je een voorkeur hebt voor een bepaalde plaatsing dan kun je dit aangeven zodat we hier rekening mee kunnen houden, , Om te kunnen solliciteren is het niet nodig om een voorlichting of een informatiedag bij te wonen Je kunt direct solliciteren via onderstaande button Na ontvangst van je gegevens en je CV na sollicitatie ontvang je een mail met de vraag je CV te mailen gaan wij aan de slag met je dossier In de beoordeling wordt oa gekeken naar je militaire historie, referenties en functioneren, of je nog current genoeg bent om direct weer op functie te kunnen starten, de mogelijkheden om je in te passen in het Flexibel staffssysteem FPS fase 2 of 3 gezien je eerdere looptijd in rang en proberen we een match te vinden met een passende arbeidsplaats, , Wanneer er een match is, nemen we natuurlijk zo snel mogelijk contact met je op om je te informeren over de arbeidsvoorwaarden, het te doorlopen selectie en keuringsproces en het opstarten van een veiligheidsonderzoek, , Je salarisnummer is afhankelijk van het salarisnummer dat je had ten tijde van ontslag, hoe lang geleden je met ontslag bent gegaan en wat je sinds die tijd aan werkervaring hebt opgedaan Na heraanstelling zijn verder de vigerende regels en arbeidsvoorwaarden van toepassing Vragen over herintreden bij de Koninklijke Landmacht kun je stellen viabijzondereinstroomklmindefnl",Full-time,https://www.linkedin.com/jobs/view/externalApply/2184030429?url=https%3A%2F%2Fwerkenbijdefensie%2Enl%2Fvacatures%2Fmilitaire-vacatures%2Fherintreden-kapitein-staff-organisatie-e6336%3Futm_source%3Dlinkedin%26utm_medium%3Dpagina%26utm_campaign%3Djobwrapping&urlHash=-QbH&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/herintreden-kapitein-staff-organisatie-at-ministerie-van-defensie-2184030429?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
8,staff,LinkedIn,2287020133,Financieel administratief medewerker,To4m1Z3jR1uVUbPh6GS8IA==,WERF Financieel staff,"Utrecht, Netherlands",['Banking'],"Voor een bedrijf met een internationale context voertaal Engels in Utrecht zijn wij momenteel op zoek naar een, , Financieel administratief medewerker 40 uur",Full-time,,https://nl.linkedin.com/jobs/view/financieel-administratief-medewerker-at-werf-financieel-staff-2287020133?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
9,staff,LinkedIn,2321446733,Betontimmerman,6R61PoACQpaWPy7a6vnybA==,Adequaat staff BV,"Amsterdam, North Holland, Netherlands",['Construction'],"Onze opdrachtgever is een beton aannemer die voornamelijk werkt op civiele projecten in de hoogbouw Uitdagend en afwisselendwerk binnen het vakgebied, , Wat bieden wij je, , , , Wat ga je doen, , , , Functieeisen, , , , Bijzonderheden, , , , Op een diversiteit aan projecten voornamelijk in Rotterdam en ZuidHollandJe moet bereid zijn in een straal van 50km te reizen, , Solliciteren, , Ben je genteresseerd in de vacature van Betontimmerman bij een van onze klanten Reageer dan vandaag nog op deze vacature",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321446733?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F91cfb7fd-f7af-4828-9212-f650979d2db7%3Fjid%3D56511a97a94a957cb70885a0bd8b962318d491c0fb427e56c33d9bbd3b799df8%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=YQXd&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/betontimmerman-at-adequaat-staff-b-v-2321446733?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
10,staff,LinkedIn,2323860434,een veelzijdige functie binnen de GWW,SWVPbZXuQ9C5xfeAAtaPYQ==,Regiodienst,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Introductie Wij op zoek naar gedreven, leergierige en gedreven leerling monteurs binnen de Grond, Weg  Waterbouw Ben jij genteresseerd in de techniek en met name in de GWW Lees dan snel verder en reageer vandaag nog Organisatie Het bedrijf houdt zich voornamelijk bezig met de gecombineerde aanleg en montage van kabels en leidingen in de kop van NoordHolland Het is een organisatie met een platte structuur en een informele werksfeer Het werk wordt gedaan door ervaren en geschoold staff Daarnaast hebben zij de volgende specialiteiten in huis spiegellassen, elektrotechnische werkzaamheden, staallassen, openbare verlichting, digitaal inmeten Functie Wij zijn is op zoek naar gemotiveerde en leergierige monteur die gepassioneerd is met het grondwerk In zes maanden tijd krijg jij de tijd om te kiezen wil jij een opleiding volgen richting de aanleg van gas  water leidingen Of wil jij toch liever de kant op van de elektra Jij krijgt alle facetten van de werkzaamheden mee en jij gaat je echt ontplooien binnen het bedrijf Functie eisen Als leergierige monteur in de GWW ben jij in bezit van",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323860434?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Feen-veelzijdige-functie-binnen-de-gww%3A44388980%2F&urlHash=PXpT&refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/een-veelzijdige-functie-binnen-de-gww-at-regiodienst-2323860434?refId=98a266e1-efd3-40f3-bf8a-6688bc5907ed&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,27/11/2020,28/11/2020
