Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,production,LinkedIn,2322999012,Productie Planner,m8PRI6EoQpO9oPturwUsIw==,BaanBereik,"Zwaag, North Holland, Netherlands",None,"Vacaturenummer 1834690 Is het organiseren van planningen jouw sterke punt Als Productie Planner zorg jij ervoor de mensen en middelen zo efficint mogelijk worden ingezet in het productieproces Je komt te werken in de foodindustrie en zorgt ervoor dat de producten een hoge leveringsbetrouwbaarheid krijgen, zonder de maximale houdbaarheid van de producten uit het oog te verliezen Je cordineert tussen de productie en de rest van de organisatie Daarnaast vertaal je de klantorders naar dagelijkse productieplanning en communiceer je eventuele afwijkingen duidelijk naar belanghebbenden Ook denk je mee over de optimalisatie van de afdeling Ben jij op zoek naar een nieuwe uitdaging, bij een professionele organisatie Solliciteer direct of bel direct naar 0229 745 010 Wij maken graag kennis met jou Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322999012?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fproductie-planner%3A44383862%2F&urlHash=Zqcm&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-planner-at-baanbereik-2322999012?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
2,production,LinkedIn,2304697903,Productie Planner,zedkltB8TLSt84vWmKsntQ==,Yacht,"Eindhoven, North Brabant, Netherlands","['Transportation/', 'Trucking/', 'Railroad']",Als Productie Planner draag je zorg voor een efficinte en doelmatige productieplanning en komt met voorstellen bij knelpunten Bewaakt productie capaciteit en neemt correctieve acties indien noodzakelijk Denkt continue mee en maakt deel uit van projectteams ten aanzien van verbeteren van productieprocessen,Full-time,https://www.linkedin.com/jobs/view/externalApply/2304697903?url=https%3A%2F%2Feasyapply%2Ejobs%2Fr%2FU76WgrU1T1015U3FvLD6&urlHash=zRLp&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-planner-at-yacht-2304697903?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
3,production,LinkedIn,2324357274,Planner Supply Chain - Amsterdam,fIFdsEsoRu6C1h1QZxkXRg==,young  ambitious,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Zoek jij een Planner Supply Chain functie bij een grote internationale organisatie Regel jij graag de gehele vakantie waardoor alles tot in de puntjes is geregeld Sta jij daarnaast sterk in je schoenen en is communiceren jouw sterkste eigenschap Dan zoeken wij jouVoor een internationale marktleider in de Automotive branche, gelegen in Amsterdam, zijn we op zoek naar een Planner Supply Chain De organisatie is eigenaar van vier grote automerken die wereldwijd op de wegen te vinden zijn Als Planner Supply Chain ben je verantwoordelijk voor het managen van bestellingen en voorraad van vier grote automerken Het doel is om de juiste autos, in de juiste hoeveelheid bij de juiste klanten te krijgen In nauw overleg met andere afdelingen zorg je voor een strakke planning en een optimaal beheer van de voorraad Deze dient te voldoen aan de gestelde normen met betrekking tot levertijden en andere wensen van de klanten Problemen en afwijkingen in voorraad en levertijden signaleer je tijdig zodat je direct kan inspringen waar nodigWat ga je doen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324357274?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2231daff3235%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecdde8dddfddf9adcaadfaadagadaadddfdde3dedcdcbfec3ddcg3e&urlHash=mZkM&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/planner-supply-chain-amsterdam-at-young-ambitious-2324357274?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
4,production,LinkedIn,2323769342,Productie Planner,fxpjznI5QkixDb6OyNIkQw==,BaanBereik,"Heerhugowaard, North Holland, Netherlands",['Human Resources'],"Functieomschrijving, , Vacatu CDATA4813985606961574479, , Functieomschrijving, , Vacaturenummer 1838220, , Beheers jij de Duitse taal uitstekend en ben je commercieel ingesteld Je bent in deze functie het aanspreekpunt van de relaties Jij begeleid het proces van de bestellingen en beantwoord hun vragen, klachten en opmerkingen Dit verwerk je allemaal in het systeem en je houdt daarnaast de correspondentie bij, , Jouw opdrachtgever is een groot internationaal bedrijf dat zich bezighoudt met technische oplossingen Je hebt in deze functie veel contact met collegas van andere afdelingen Daarnaast denk je mee over verbeterprocessen binnen de organisatie om klanten een optimale service aan te bieden, , Beschik jij over goede communicatieve vaardigheden en ben je klantgericht Solliciteer dan direct of bel naar click apply Wij maken graag kennis met jou, , Arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323769342?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F4813985606961574479%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=XsvM&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-planner-at-baanbereik-2323769342?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
5,production,LinkedIn,2293477558,Productie Manager,EzB8UKUJRkeyKqIvfTULwA==,Siebert  Wassink,"NederBetuwe, Gelderland, Netherlands",['Mechanical or Industrial Engineering'],"De Productie Manager binnen deze internationale producent van woonartikelen en consumentengoederen in de Betuwe gaat verantwoordelijk worden voor het aansturen en optimaliseren van het productieproces Deze vacature komt voort uit een aanstaande organisatieverandering,  ",Full-time,,https://nl.linkedin.com/jobs/view/productie-manager-at-siebert-wassink-2293477558?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
6,production,LinkedIn,2307068303,Productie Manager,26ZGGD00RgWtbcq8qsebVQ==,FYGI  Happy Recruiters,"Harderwijk, Gelderland, Netherlands",['Mining & Metals'],"Als Productie Manager houdt je je bezig met het realiseren van de productie binnen de gestelde planning, kwaliteitsnormen en budgetten Je draagt bij aan de voortvarende verbetering van de productieprocessen, zodat kwaliteit, output, efficiency en leverbetrouwbaarheid worden verhoogd, en kosten worden bespaard Er wordt met succes voldaan aan de klantbehoefte door een gedoseerde flexibiliteit resulterend in tijdige en complete leveringen, , Jouw doel is om de structuur n organisatie op de werkvloer voortdurend te optimaliseren Dit om de organisatie te verbeteren en processen te laten verlopen gericht op de hedendaagse dynamiek in de markt Je geeft richting door jouw team 56 fte te coachen, motiveren en faciliteren op de werkvloer Technische problemen worden adequaat opgevolgd, communicatie lijnen goed onderhouden en verbeteringen proactief doorgevoerd Je hebt meerdere contacten binnen de organisatie die tot doel hebben de afdelingsdoelstellingen te waarborgen voor de lange en korte termijn, , Functieeisen, , Je bent een peoplemanager die daadkrachtig leider is en een helikopterview heeft Daarnaast ben je pragmatisch en heb je ruime ervaring in verandermanagement, waarbij je zowel de theoretische modellen als de praktische uitvoering beheerst Als Productie Manager heb je goede communicatieve vaardigheden in zowel de Nederlandse als de Engelse taal en kan schakelen op verschillende niveaus Verder ben je stressbestendig en sterk in het maken van beslissingen Ook ben je resultaatgericht en stel je de juiste prioriteiten, , Verder beschik je over, , , , Arbeidsvoorwaarden, , In een informele omgeving werk je samen met een jong en dynamisch team in een bedrijf met een internationaal karakter Daarbij is aandacht voor persoonlijke ontwikkeling en een circulaire economie, , Naast een salaris tussen de  3350 en 4250 bruto per maand hoort bij deze functie een bonus welke afhankelijk is van persoonlijke doelstellingen en het resultaat van Reukema, , Verder",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307068303?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F38bf76fb-3ba2-4e72-ad7d-982054ba9469%3Fjid%3D45b78e5de44278dcacfdc16fbc96dda589926521ba1f3922763e043391bfb353%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=vUZk&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-manager-at-fygi-happy-recruiters-2307068303?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
7,production,LinkedIn,2284840631,Teamleider Productie,iIzLc1lhRKGQbX2wNWcmVw==,Fokker Recruitment,"Roosendaal, North Brabant, Netherlands","['Plastics', 'Mechanical or Industrial Engineering', 'Packaging and Containers']","Teamleider Productie  Regio Roosendaal, Voor een innovatief en internationaal productiebedrijf in de BtoB markt zijn we op zoek naar Teamleider Productie Ben jij die teamleider die het productieproces en het team steeds beter kan maken",Full-time,,https://nl.linkedin.com/jobs/view/teamleider-productie-at-fokker-recruitment-2284840631?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
8,production,LinkedIn,2316633210,Teamleider productie,+LWssLDORbW7u6K9Fyt0bg==,Charlie works,"Bleiswijk, South Holland, Netherlands","['Staffing and Recruiting', 'Logistics and Supply Chain']",Als Teamleider in ons distributiecentrum in Bleiswijk geef jij leiding aan een gedreven team Dankzij jouw inbreng verloopt het productieproces efficint en tijdig Je zorgt ervoor dat jouw team het allerbeste werk levert Dit betekent dat alle binnengekomen producten tijdig en op de juiste wijze worden ingepakt in de maaltijdboxen en het productieproces tijdig start en afgerond wordt,Full-time,,https://nl.linkedin.com/jobs/view/teamleider-productie-at-charlie-works-2316633210?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
9,production,LinkedIn,2317388894,Productie Planner,uBoRsFg9Qdecw0473nY1vQ==,Dujob  Talent voor werk,"Lelystad, Flevoland, Netherlands","['Construction', 'Staffing and Recruiting', 'Transportation/', 'Trucking/', 'Railroad']","Functieomschrijving, , De productieplannen is jouw verantwoordelijkheid Dagelijks vind jij de balans tussen productieoptimalisatie en klantvraag, , , , Arbeidsvoorwaarden, , Ben jij de Planner die het team gaat versterken Dan bieden wij jou het volgende",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317388894?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4508825005090155007%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Zrme&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-planner-at-dujob-talent-voor-werk-2317388894?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
10,production,LinkedIn,2326447399,Teamleider productie (M/V),P/Rjb560RIyjTf52qwgqYA==,Werkis,"Amsterdam, North Holland, Netherlands","['Packaging and Containers', 'Staffing and Recruiting', 'Consumer Goods']","Heb jij ervaring als leidinggevende en ben jij letterlijk opzoek naar een coole baanAls teamleider in deze functie stuur jij je team aan en zorg je samen voor de beste resultaten Dit doet je niet vanachter een bureau Jij staat veel op de werkvloer het is hier 2 graden Celsius, want daar gebeurt het Je bent continue in contact met jouw medewerkers zodat de processen optimaal verlopen Mochten problemen vaker voorkomen dan maak je daar een analyse van Omdat je hebt onderzocht wat de oorzaak is, kun je het ook passend oplossen Een greep ui, Voor de volledige vacature klik op de sollicitatiebutton Je wordt doorgestuurd naar een externe website",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326447399?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ff000f2b2-d7d1-4e44-b574-8a162f36b68f%3Fjid%3D1eddd51ccf753a3da3924c529cf25538f1f70464507fbd1ae778728cfd3e56f5%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=at6g&refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-productie-m-v-at-werkis-verder-met-werk-2326447399?refId=32087ba0-8d11-4fc2-a8b9-27b6db7ca205&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
