Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,production manager,LinkedIn,2329414288,Administratief Medewerker,XYfuQDSxEbGjB2LLWEcHwg==,Multicraft uitzendbureau,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Banking', 'Financial Services']","Functieomschrijving, , Multicraft is op zoek naar een parttime Administratief Medewerker voor een opdrachtgever in regio Amsterdam Het gaat om een glaszettersbedrijf dat gespecialiseerd is in 24uurs spoedservice De sfeer is er gezellig en de mensen zeggen waar het op staat, , In deze functie werk je voornamelijk aan de balie Je zorgt samen met je team dat alle administratie van het bedrijf soepel verloopt Je werkt met een speciaal ontwikkeld digitaal systeem Bijvoorbeeld een glaszetter meet de maten van een ruit op en stuurt die gegevens in het systeem door Nu kan jij vanuit datzelfde systeem gelijk de juiste ruit bestellen en de inkoop doen Vervolgens kunnen klanten dan ook inzien wat de status van de aanvraag is, , , , Je start om 800 uur s ochtends en werkt elke woensdag en vrijdag Eventueel kan daar in de toekomst nog een derde dag bijkomen De functie staat open ter versterking uitbreiding van het team, , Arbeidsvoorwaarden, Heb jij interesse in deze vacature Solliciteer dan direct, Wil je meer informatie of heb je nog vragen Neem dan contact op met sector Administratief Personeel via click apply, click apply of click apply, elke werkdag te bereiken tussen 900 uur en 1730 uur, , Multicraft is gespecialiseerd in het uitzenden en direct bemiddelen van technisch, industrieel, logistiek en administratief personeel in NoordHolland en omstreken Volg ons op social media zodat onze vacatures op jouw tijdlijn verschijnen Je vindt ons op Facebook, LinkedIn, Instagram en Twitter Of kijk op voor een totaaloverzicht",Full-time,https://www.linkedin.com/jobs/view/externalApply/2329414288?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F4832628920431857686%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=D67W&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-multicraft-uitzendbureau-2329414288?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=XYfuQDSxEbGjB2LLWEcHwg%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
2,production manager,LinkedIn,2300981158,Administratief medewerker weegbrug - 40 uur p/w,0/w4F2Tevi/xVk4o/1d1nQ==,Slagkracht Personeel,"Amsterdam, North Holland, Netherlands",None,"Functie omschrijving De administratief medewerker weegbrug draagt hoofdzakelijk zorg voor het wegen van inkomende en uitgaand vrachtverkeer en het correct invullen en opstellen van de daarbij behorende transportdocumenten en begeleidende milieudocumenten Je vraagt leveringstermijnen aan en maakt inkoopcontracten Daarnaast ben je verantwoordelijk voor de verwerking van in en verkoopcontracten, kostennotas en facturen, evenals het uitzoeken en analyseren van resultaat, kosten en cijfermatig onderzoek business controlling Tevens verricht je alle voorkomende backoffice  administratieve werkzaamheden Al met al een zeer diverse functie met uitdaging op zowel sociaal als administratief gebied We zijn op zoek naar iemand met de volgende competenties flexibel, zelfstandig, stressbestendig, accuraat, communicatief vaardig, cijfermatig inzicht, een klantvriendelijke instelling, je staat klaar voor collegas en je beschikt over een handson mentaliteit, , Functie eisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300981158?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fadministratief-medewerker-weegbrug-40-uur-p-w%3A44176059%2F&urlHash=TVPz&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-medewerker-weegbrug-40-uur-p-w-at-slagkracht-personeel-2300981158?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=0%2Fw4F2Tevi%2FxVk4o%2F1d1nQ%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
3,production manager,LinkedIn,2317457637,Administratief Medewerker,7ZZNh1zW5jBHf+IDnY+p9Q==,Multicraft Uitzendbureau,"Amsterdam, North Holland, Netherlands",['Accounting'],"Multicraft is op zoek naar een parttime Administratief Medewerker voor een opdrachtgever in regio Amsterdam Het gaat om een glaszettersbedrijf dat gespecialiseerd is in 24uurs spoedservice De sfeer is er gezellig en de mensen zeggen waar het op staat, , In deze functie werk je voornamelijk aan de balie Je zorgt samen met je team dat alle administratie van het bedrijf soepel verloopt Je werkt met een speciaal ontwikkeld digitaal systeem Bijvoorbeeld een glaszetter meet de maten van een ruit op en stuurt die gegevens in het systeem door Nu kan jij vanuit datzelfde systeem gelijk de juiste ruit bestellen en de inkoop doen Vervolgens kunnen klanten dan ook inzien wat de status van de aanvraag is, , Taken die je verder uitvoert, zijn, , , , Functieeisen, , , , Arbeidsvoorwaarden, , , , Multicraft is gespecialiseerd in het uitzenden en direct bemiddelen van technisch, industrieel, logistiek en administratief personeel in NoordHolland en omstreken Volg ons op social media zodat onze vacatures op jouw tijdlijn verschijnen Je vindt ons op Facebook, LinkedIn, Instagram en Twitter Of kijk op voor een totaaloverzicht",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317457637?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fdf75949f-117b-403a-9d25-2be9c95720c1%3Fjid%3D934e3b77ed146f541dbbed5f7120cd5112981ba89a6f20bff452b8270ddb3c98%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=JpYE&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-multicraft-uitzendbureau-2317457637?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=7ZZNh1zW5jBHf%2BIDnY%2Bp9Q%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
4,production manager,LinkedIn,2271163430,"Administrative Assistant G-5 (IOR), 26 November 2020",96dYVRBVgris5NzXxsYiHQ==,Special Tribunal for Lebanon,"The Hague, South Holland, Netherlands","['Judiciary', 'Nonprofit Organization Management']","Since 13 March 2020 to 31 December 2020, with possible extensions, the Tribunal has implemented measures for containing COVID19s spread that may cause some delays in recruitment and onboarding activities, , Depending on professional background, experience and family situation, a competitive compensation and benefits package will be offered The successful applicant will be offered a fixedterm or temporary appointment in line with the Tribunals policies and practices on duration of appointment Such appointment and any subsequent extensions are subject to the terms of the STLs mandate andor the availability of funds The Special Tribunal for Lebanon is an international intergovernmental organization with its own independent legal identity and not a UN organization However, STL follows the UN common system for salaries, benefits and entitlements to its staff members UN staff members may also serve on loan from their parent departmentoffice, if selected Appointment against this post is on a local basis",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271163430?url=https%3A%2F%2Fapps%2Estl-tsl%2Eorg%2FPHFOnline%2FviewVacancy%2Easpx%3FQry%3Drxzh0Saxgqomqqcs%40o0SNQ%3D%3D&urlHash=avFS&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administrative-assistant-g-5-ior-26-november-2020-at-special-tribunal-for-lebanon-2271163430?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=96dYVRBVgris5NzXxsYiHQ%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
5,production manager,LinkedIn,2314318880,Administratief medewerker,5yKUNz0aLD4XbIZi5kRcOw==,Goudvisie,"Amsterdam, North Holland, Netherlands",['Human Resources'],"Word jij blij van structuur en heb je oog voor detail, Dat zouden wij fantastisch vinden Want dat betekent namelijk dat een administratief proces voor jou geen geheimen heeft Je vindt dit leuk en doet eigenlijk het liefst niets anders Je werkt snel en secuur, duikt graag in de cijfers, hebt oog voor detail en bent oplossingsgericht",Part-time,https://www.linkedin.com/jobs/view/externalApply/2314318880?url=https%3A%2F%2Fgoudvisie%2Enl%2Foffer%2Fadministratief-medewerker%2F&urlHash=PYvm&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-goudvisie-2314318880?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=5yKUNz0aLD4XbIZi5kRcOw%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
6,production manager,LinkedIn,2284886904,"Administrative Assistant G-5 (DAS), 02 December 202C0",e0mzPKTCs21dj1nCZ7Pfkg==,Special Tribunal for Lebanon,"The Hague, South Holland, Netherlands","['Judiciary', 'Nonprofit Organization Management']","Since 13 March 2020 to 31 December 2020, with possible extensions, the Tribunal has implemented measures for containing COVID19s spread that may cause some delays in recruitment and onboarding activities, , Depending on professional background, experience and family situation, a competitive compensation and benefits package will be offered The successful applicant will be offered a fixedterm or temporary appointment in line with the Tribunals policies and practices on duration of appointment Such appointment and any subsequent extensions are subject to the terms of the STLs mandate andor the availability of funds The Special Tribunal for Lebanon is an international intergovernmental organization with its own independent legal identity and not a UN organization However, STL follows the UN common system for salaries, benefits and entitlements to its staff members UN staff members may also serve on loan from their parent departmentoffice, if selected Appointment against this post is on a local basis",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284886904?url=https%3A%2F%2Fapps%2Estl-tsl%2Eorg%2FPHFOnline%2FviewVacancy%2Easpx%3FQry%3Drxzh0SaxgqrSMKvzKhSEog%3D%3D&urlHash=D2cP&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administrative-assistant-g-5-das-02-december-202c0-at-special-tribunal-for-lebanon-2284886904?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=e0mzPKTCs21dj1nCZ7Pfkg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
7,production manager,LinkedIn,2329411520,Vacature Logistiek administratief medewerker,Ur5IMdOnh+EQXQ24hyVSyQ==,Staffplanning BV,"sHertogenbosch, North Brabant, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']","Vacature Logistiek Administratief medewerker, Suns in Vught  een internationaal opererend bedrijf dat gespecialiseerd is in de ontwikkeling, productie en verkoop van buitenmeubelen Suns behoort binnen de tuinmeubelbranche tot een van de toonaangevende bedrijven De wereld van Suns is een internationale wereld vol dynamiek, creativiteit en zelfredzaamheid Omdat Suns sterk aan het groeien is, is ze op zoek naar versterking Bij Suns draait het om beleving, , Voor het magazijn in sHertogenbosch zijn we op zoek naar een fulltime, , , , , , , , Suns is goed voor zijn werknemers Naast een goed en passend salaris vinden zij persoonlijke ontwikkeling en ambitie erg belangrijk en investeren daar graag in Dit is niet in een opsomming te zetten In een persoonlijk gesprek horen ze graag wat jij belangrijk vindt en vertellen ze wat daarin bij Suns mogelijk is Werktijden zijn van 700 tot 1600 uur, , Ben jij de nieuwe logistiek administratief medewerker die Suns zoekt, solliciteer dan op deze functie en stuur je CV en motivatiebrief aan Staffplanning, op het volgende mailadres click apply of bel met click apply",Full-time,https://www.linkedin.com/jobs/view/externalApply/2329411520?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F552859089430542857%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=n9o3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacature-logistiek-administratief-medewerker-at-staffplanning-b-v-2329411520?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=Ur5IMdOnh%2BEQXQ24hyVSyQ%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
8,production manager,LinkedIn,2326819137,Production Coordinator - 's Hertogenbosch,BhJTXAa6aS4aq5MaOwCo9Q==,Super Micro Computer,"sHertogenbosch, North Brabant, Netherlands","['Logistics and Supply Chain', 'Wholesale', 'Warehousing']","Job Summary, , The Production Coordinator is responsible to ensure customer orders are processed into the system, translated into optimized production plans and execution, which meets customers requirements and expectations This position will be located in the EMEA headquarters in sHertogenbosch, the Netherlands, , , , , , , , The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326819137?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D34e83d00c004%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcddcaadbcdd8cddd8adcaddggddgaaddfddg3degcdccfec3ddcg3e&urlHash=VevU&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-coordinator-s-hertogenbosch-at-super-micro-computer-2326819137?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=BhJTXAa6aS4aq5MaOwCo9Q%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
9,production manager,LinkedIn,2327837983,Administratief Medewerker,h0kdT7A2RVKQuXMxSxScAw==,Multicraft Uitzendbureau,"Zaanstad, North Holland, Netherlands",None,"Multicraft is op zoek naar een parttime Administratief Medewerker voor een opdrachtgever in regio Amsterdam Het gaat om een glaszettersbedrijf dat gespecialiseerd is in 24uurs spoedservice De sfeer is er gezellig en de mensen zeggen waar het op staat In deze functie werk je voornamelijk aan de balie Je zorgt samen met je team dat alle administratie van het bedrijf soepel verloopt Je werkt met een speciaal ontwikkeld digitaal systeem Bijvoorbeeld een glaszetter meet de maten van een ruit op en stuurt die gegevens in het systeem door Nu kan jij vanuit datzelfde systeem gelijk de juiste ruit bestellen en de inkoop doen Vervolgens kunnen klanten dan ook inzien wat de status van de aanvraag is Taken die je verder uitvoert, zijn",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327837983?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fadministratief-medewerker%3A44449753%2F&urlHash=ycqY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-multicraft-uitzendbureau-2327837983?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=h0kdT7A2RVKQuXMxSxScAw%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
10,production manager,LinkedIn,2328309288,Administratief Medewerker Schadeafhandeling | Amsterdam | Projob,eHXtcsiwxLTD0XDglhiKsg==,Werkzoekennl,"Amsterdam, North Holland, Netherlands",['Accounting'],"Vacature van Projob, locatie Amsterdam, , Onze opdrachtgever verhaalt schades aan straatmeubilair voor Gemeenten en aannemers Zij verzorgen het gehele proces van schadeverhaal Dit proces bestaat onder andere uit toedrachtonderzoek, aansprakelijk stellen, schaderapportage, en het maken van financile rapportages, , , , Specialist in schadeafhandeling, , , , Als Administratief Medewerker Schadeafhandeling ben je verantwoordelijk voor het hele proces registreren van de schademelding, verzorgen van buurtonderzoek, contact met derden oa politie om de veroorzaker te achterhalen Je zorgt ervoor dat het dossier compleet is en het wettig en overtuigend bewijs klopt Daarna maak je de vordering open, dien je die in bij de verzekeraar of het Waarborgfonds Ook onderhoud je de contacten met de relatie, bespreek je jaarrapportages en signaleer je veranderingen in de markt, in het veld en in de literatuur De sfeer binnen het bedrijf is open, professioneel en informeel Er wordt gewerkt in een kantoortuin, Je komt te werken in een team met enthousiaste collegas, , , Je bent niet bang om mensen te bellen, werkt grondig, zelfstandig en beheerst het Nederlands in woord en geschrift goed Je bent initiatiefrijk en doelgericht, , , , , Ben je enthousiast geworden door bovenstaande informatie en herken je jezelf in het gevraagde profiel Reageer via de sollicitatiebutton en voeg je CV en korte motivatie toe Voor meer informatie bel 0205738300, We zien jouw sollicitatie graag tegemoet, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328309288?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1178_cv-deal%2Fvacatures%2F5018037_administratief-medewerker-schadeafhandeling%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dadministration%252bcat_financ&urlHash=bQDF&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-medewerker-schadeafhandeling-amsterdam-projob-at-werkzoeken-nl-2328309288?refId=2e36c036-888a-4db7-8389-3dace0d33d7d&trackingId=eHXtcsiwxLTD0XDglhiKsg%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,02/12/2020
