Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,psychologist,LinkedIn,2316422505,senior beleidsmedewerker,jQx+ENwFQVmwK4hvGFTMWg==,LVVP  Landelijke Vereniging van Vrijgevestigde Psychologen  Psychotherapeuten,"Utrecht, Utrecht, Netherlands",['Mental Health Care'],"De Landelijke Vereniging van Vrijgevestigde Psychologen en Psychotherapeuten, LVVP, is een groeiende vereniging van vrijgevestigde eerstelijnsgzpsychologen, psychotherapeuten en klinisch neuro psychologen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316422505?url=https%3A%2F%2Fwww%2Eleeuwendaal%2Enl%2Fvacatures%2Finformatie%2F%3Fvacature%3D965&urlHash=_5BO&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-beleidsmedewerker-at-lvvp-landelijke-vereniging-van-vrijgevestigde-psychologen-psychotherapeuten-2316422505?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
2,psychologist,LinkedIn,2322044057,GZ psycholoog,CKDS/+VMQRKzYy7AfwgWTA==,Nederland Vacature Groep,"Amsterdam, North Holland, Netherlands",['Human Resources'],"GZpsycholoog, bij een organisatie die een expert is binnen een nichemarkt voor doven en slechthorenden, is de baan die jij ambieert Wij bieden een mooie kans voor GZpsychologen die zich graag breed ontwikkelen en actief mee wil bouwen aan de innovaties en verbeteringen van GGMD en de zorg Hier hou je je niet alleen bezig met ziektebeelden, maar vooral met vragen zoals hoe lever ik individueel maatwerk vanuit behandelprotocollen of zorgprogrammas en Hoe kan ik systeemgericht werken en het netwerk rondom de clint inzetten om goede kwaliteit van zorg te leveren Hou jij je bezig met deze vragen, heb jij affiniteit met de doelgroep Doven en Slechthorenden en heb je een onderzoekende en nieuwsgierige houding Dan moet je vooral verder lezen, , , Je komt te werken in regio Noordwest Deze regio omvat de locaties Amsterdam, Alkmaar, Almere en Utrecht Je standplaats is locatie Amsterdam Wij vragen je echter ook om flexibel te zijn Binnen deze regio werk je in een hecht team samen met de psychiater, GZ psycholoog, gespecialiseerde woonbegeleiding, SPV en maatschappelijk werkers Samen leveren we uitmuntende zorg volledig afgestemd op het individu en de behoefte vanuit het systeem, , , , , , max  5439,00 bruto per maand op fulltime basis,, , Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature of laat jouw gegevens achter, we bellen je graag om vragen te beantwoorden, , , Solliciteer direct, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322044057?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fgz-psycholoog-in-amsterdam%2F253285%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D42639&urlHash=X0C7&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-at-nederland-vacature-groep-2322044057?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
3,psychologist,LinkedIn,2321558883,Solliciteer nu: GZ Psycholoog West Nederland,AepYTL7xTUO1uBUEbQgeHg==,Templer,"Amsterdam, North Holland, Netherlands",['Religious Institutions'],"Solliciteer nu, , In mentale weerbaarheid ligt jouw passie En een flexibele agenda is jouw wens, , Jij, als BIG geregistreerde GZ Psycholoog, weet als geen ander dat elk mens verschillend is en dat vraagt om een bijzondere aanpak Je krijgt de vrijheid in tijd en ruimte om mensen met psychische of emotionele problemen te begeleiden, te adviseren en te behandelen Je hebt de vakinhoudelijke kennis en Mindler biedt jou een bijzondere werkomgeving waarin jij bepaalt, , De patint boekt via de Mindler App jouw vrije intake moment De vervolgafspraken plan je zelf samen met de patint Afhankelijk van jouw fulltime of parttime beschikbaarheid bepaal je zelf waar en wanneer overdag, s avonds of in het weekend je behandelt De behandelingen verlopen via online sessies Hiervoor is alleen een rustige werkomgeving en een stabiele internetverbinding vereist, , Wil je meer weten over deze vacature neem dan contact op met Sebastiaan Vaz op telof per mail , , Functieeisen, , , , Bedrijfsomschrijving, , Mindler is een Zweeds bedrijf dat sinds eind 2019 ook in Nederland zorg levert in de BGGZ en SGGZ De visie is om de beste werkgever te zijn voor de behandelaar, door de psycholoog zoveel mogelijk vrijheid te geven Het innovatieve Mindler model gaat uit van online video sessies, gecombineerd met iCBT en chat Het geheel moet ervoor zorgen dat de clint de best mogelijk zorg krijgt op het moment dat hijzij deze ook daadwerkelijk nodig heeft Psychologen uit verschillende landen staan met elkaar in contact om elkaar zo goed mogelijk te helpen en de zorg door te ontwikkelen, , Kortom Mindler gaat terug naar de kern Hulp bieden zoals deze oorspronkelijk bedoeld is voor jou en de patint Geen wachtlijsten en veel vrijheid voor jou, , Arbeidsvoorwaarden, , Templer verzorgt de Werving  Selectie voor Mindler Templer is een sociale bemiddelingsorganisatie waarbij de mens voorop staan De match tussen persoon en bedrijf is waar het om draait Bij gebleken geschiktheid zal je rechtstreeks een contract van Mindler aangeboden krijgen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321558883?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F15f402cd-2511-4691-b971-05620139a6bc%3Fjid%3D7d3a144e88dc642d3652035ae0b542852baef6cf40e8abd517ab1892e2663333%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=1KX-&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/solliciteer-nu-gz-psycholoog-west-nederland-at-templer-2321558883?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
4,psychologist,LinkedIn,2285801840,AIOS Ziekenhuispsychiatrie,k7vwXPcdSlKJdJHn04Xl8w==,OLVG,"Amsterdam, North Holland, Netherlands",None,"Over de functie Bij OLVG zijn er keuzestageplaatsen ziekenhuispsychiatrie, aandachtsgebied volwassen enof ouderen, voor AIOSpsychiatrie reeds in opleiding bij een erkende Aopleidingsinstelling Er zijn verschillende soorten stages onder andere een stage complexe klinische ziekenhuispsychiatrie op de MPU, stages consultatieve ziekenhuispsychiatrie op de PCD  polikliniek, een ECTstage, een PediatrieObstetriePsychiatrie POP stage, een supervisiestage en een wetenschappelijke stage In een individueel gesprek wordt een opleidingsplan op maat gemaakt De stageduur is 6 tot 12 maanden, , , , , Werkomgeving De unit Psychiatrie en Medische Psychologie van Stichting OLVG is een multidisciplinaire afdeling Ziekenhuispsychiaters, AIOS psychiatrie en huisartsgeneeskunde, consultatief psychiatrisch verpleegkundigen CPV, MPUverpleegkundigen, psychologen, maatschappelijk werkers en seksuologen werken nauw samen met overige medisch specialisten en zorgprofessionals tbv gentegreerde zorg voor patinten met comorbiditeit Jaarlijks worden 9  10 fte AIOS opgeleid in de ziekenhuispsychiatrie Bij OLVG wordt een zeer diverse patintenpopulatie behandeld OLVG heeft meerdere locaties Werken bij OLVG kan dan ook werken op meerdere locaties betekenen Functieeisen Enthousiaste AIOS psychiatrie, reeds in opleiding bij een erkende Aopleidingsinstelling, die zich actief willen verdiepen in het aandachtsgebied van de ziekenhuispsychiatrie in het kader van de opleiding tot volwassenen of ouderenpsychiater, , Wij bieden Het betreft een functie voor bepaalde tijd voor de duur van een zes maanden tot een jaar Werken bij OLVG betekent werken in ht stadsziekenhuis van Amsterdam Een werkomgeving waar jij je optimaal kunt ontwikkelen Want jouw wensen en ideen doen ertoe Zo doen we dat bij OLVG Daarom bieden we jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285801840?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Faios-ziekenhuispsychiatrie%3A43881589%2F&urlHash=3B0p&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/aios-ziekenhuispsychiatrie-at-olvg-2285801840?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
5,psychologist,LinkedIn,2316393029,Junior onderzoeker | Epidemiologie van het gehoor,dxV4xiHMRgG8/LgXSypaQw==,Amsterdam UMC,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Research', 'Biotechnology']","Wat ga je doen Wij zijn op zoek naar een junior onderzoeker die bijdraagt aan de nieuwe meetronde van de Nederlandse Longitudinale Studie naar Horen NLSH, ook wel Hooronderzoek genoemd De NLSH is een grootschalige, langlopende cohort studie naar de gevolgen van slechthorendheid bij volwassenen wwwhooronderzoeknl waarin drie terreinen centraal staan psychosociale gevolgen, werk en zorgbehoefte De NLSH onderzoekt de relaties tussen de uitkomst van de Nationale Hoortest en een groot aantal variabelen die met online vragenlijsten worden gemeten De NLSH is in 2006 gestart Er zijn rond de 2000 actieve deelnemers Nieuwe deelnemers kunnen zich nog steeds aanmelden De 5jaar en 10jaar followup metingen zijn uitgevoerd Onlangs is een tussentijdse Covid19 meetronde uitgevoerd en in het najaar van 2021 staat de start van de 15jaar followup meting gepland Als junior onderzoeker help jij bij de voorbereidingen voor de 15 jaar followup metingen, voer je de lopende metingen uit, analyseer je de verzamelde Covid19 data en help je mee met publiceren van de resultaten in wetenschappelijke tijdschriften Als junior onderzoeker zijn dit je voornaamste taken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316393029?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fjunior-onderzoeker-epidemiologie-van-het-gehoor%3A44308986%2F&urlHash=4sAi&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-onderzoeker-epidemiologie-van-het-gehoor-at-amsterdam-umc-2316393029?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
6,psychologist,LinkedIn,2315217419,Opleider GZ-psychologen | Amsterdam | Matchpartner b.v.,xFnNaWbjTVagwqs+ZyH9pw==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Consumer Services', 'Environmental Services', 'Consumer Services']","Vacature van Matchpartner bv, locatie Amsterdam, , Wij zoeken een GZpsycholoog met minimaal 3 jaar werkervaring, maar liefst 5 jaar, die verantwoordelijk wordt voor de scholing van psychologen, naast behandeltaken en verantwoordelijkheden op het gebied van beleidsvorming, , De organisatie waar wij voor zoeken is werkzaam in het kader van de Basis en Generalistische GGZ en houdt zich bezig met mensen die zijn vastgelopen in hun dagelijkse functioneren door ongezond gedrag en ongezonde gewoontes Veel aanmeldingen vinden plaats vanuit de 1e Lijn, met name huisartsen, , , , , , , De GZ Psycholoog die wij zoeken voor deze vacature beschikt minimaal over, , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315217419?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F4466_matchpartner-bv%2Fvacatures%2F4967209_opleider-gz-psychologen%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Damsterdam&urlHash=UmqJ&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/opleider-gz-psychologen-amsterdam-matchpartner-b-v-at-werkzoeken-nl-2315217419?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
7,psychologist,LinkedIn,2321607338,GZ psycholoog,YHDK54VASC6Oo8EjiHiWNQ==,GGMD,"Amsterdam, North Holland, Netherlands",None,"GZpsycholoog, bij een organisatie die een expert is binnen een nichemarkt voor doven en slechthorenden, is de baan die jij ambieert Wij bieden een mooie kans voor GZpsychologen die zich graag breed ontwikkelen en actief mee wil bouwen aan de innovaties en verbeteringen van GGMD en de zorg Hier hou je je niet alleen bezig met ziektebeelden, maar vooral met vragen zoals hoe lever ik individueel maatwerk vanuit behandelprotocollen of zorgprogrammas en Hoe kan ik systeemgericht werken en het netwerk rondom de clint inzetten om goede kwaliteit van zorg te leveren Hou jij je bezig met deze vragen, heb jij affiniteit met de doelgroep Doven en Slechthorenden en heb je een onderzoekende en nieuwsgierige houding Dan moet je vooral verder lezen Waar ga je werken Je komt te werken in regio Noordwest Deze regio omvat de locaties Amsterdam, Alkmaar, Almere en Utrecht Je standplaats is locatie Amsterdam Wij vragen je echter ook om flexibel te zijn Binnen deze regio werk je in een hecht team samen met de psychiater, GZ psycholoog, gespecialiseerde woonbegeleiding, SPV en maatschappelijk werkers Samen leveren we uitmuntende zorg volledig afgestemd op het individu en de behoefte vanuit het systeem Wat ga je doen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321607338?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fgz-psycholoog%3A44368004%2F&urlHash=uLKS&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-at-ggmd-2321607338?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
8,psychologist,LinkedIn,2326343016,ANIOS Arbodienst Amsterdam,X3vaaoZ3TUekOEsbk2xseQ==,TMI,"Amsterdam, North Holland, Netherlands",None,"Wil jij werken bij een vooraanstaande en professionele dienstverlener, die zich richt op het verbeteren van de duurzame inzetbaarheid van werknemers, waardoor het verzuim binnen bedrijven en instellingen wordt verlaagd Dan zijn wij op zoek naar jou Wij zijn voor een organisatie in regio Amsterdam op zoek naar een ANIOS arbodienst voor 32 uur per week Jouw werkzaamheden als ANIOS arbodienst Je combineert jouw werk in de spreekkamer met extern overleg met onze opdrachtgevers Je adviseert werkgevers en werknemers over werk en vitaliteit en verwijst werknemers en werkgevers door naar een collegaprofessional of een externe provider, , Het team Je komt te werken in een multidisciplinair team Onder supervisie van een bedrijfsarts werk je samen met bedrijfsmaatschappelijke werkers, arbeidsdeskundigen, reintegratie en preventieadviseurs en psychologen Samen zijn jullie verantwoordelijk voor de uitvoering van de integrale dienstverlening en de klanttevredenheid Jouw profiel",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326343016?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fanios-arbodienst-amsterdam%3A44427119%2F&urlHash=dOli&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/anios-arbodienst-amsterdam-at-tmi-2326343016?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
9,psychologist,LinkedIn,1879766387,GZ Psycholoog (16-40 uur),wXKxrXhjRrK5o7k3ISx7iA==,Samenwerkende Psychologen Alphen aan den Rijn,"Alphen aan den Rijn, South Holland, Netherlands",['Mental Health Care'],"Samenwerkende Psychologen Alphen aan den Rijn SPA is een kleinschalige praktijk voor zowel Basis als Gespecialiseerde GGZ Ons behandelaanbod is voornamelijk gericht op volwassenen met angst, depressieve, somatoforme en persoonlijkheidsproblematiek Naast individuele behandelingen bieden wij ook groepstherapie aan Om ons team te versterken zijn wij op zoek naar een enthousiaste collega gezondheidszorgpsycholoog",Full-time,,https://nl.linkedin.com/jobs/view/gz-psycholoog-16-40-uur-at-samenwerkende-psychologen-alphen-aan-den-rijn-1879766387?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
10,psychologist,LinkedIn,2324273745,GZ psycholoog,0VMQA8KUT9GGGznZWHie1w==,LanghenkelTalenter,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Introductie, , GZ psycholoog  Kind  Jeugd  Volwassenpsychiatrie  Ouderenpsychiatrie  Basis ggz  Specialistische ggz  Forensische zorg  Verslavingszorg  Gehandicaptenzorg, , , , Ben jij GZ psycholoog en ben jij toe aan een nieuwe functie of opdracht Of zit je eigenlijk nog wel goed op je plek, maar vind je een orinterend gesprek fijn Dan kom ik graag met je in contact om jouw wensen en interesses in kaart te brengen Vanuit daar kunnen wij kijken naar een fijne organisatie en een passende functie of opdracht, , , , Je kunt als GZ psycholoog aan de slag binnen diverse werkvelden, zoals de basis of specialistische ggz, de verslavings enof forensische zorg en de gehandicaptenzorg Onze focus ligt op Kind  Jeugd, volwassenen en ouderenpsychiatrie, , Afhankelijk van de organisatie of instelling waar je aan de slag gaat zul je je oa bezighouden met het, , Als GZ psycholoog kun je bij ons vast in dienst komen, wij gaan dan op zoek naar de best passende opdrachten Hierdoor kun je kijkjes nemen bij verschillende organisaties en met verschillende doelgroepen werken Daarnaast kun je op projectbasis bij ons werken Wij zoeken dan een passende opdracht voor jou van bijvoorbeeld een jaar In die tijd kunnen jij en de organisatie kijken of er een match is voor langere periode of dat je interesses en passies misschien toch wel bij een andere doelgroep of organisatie ligt Tevens kun je je als zelfstandige bij ons aansluiten Op basis van jouw wensen en eisen zoeken wij een opdracht voor 8 uur of meer in de week, , , , Als GZ psycholoog beschik je uiteraard over een afgeronde GZ opleiding Ben je nog bezig met de GZ opleiding en ben je benieuwd naar wat je mogelijkheden zijn na het afronden van de opleiding Neem dan vooral contact met mij op Ik ga graag met je in gesprek Verder beschik je als GZ psycholoog over een BIG registratie, , , , Kies je voor LanghenkelTalenter dan kies je voor een organisatie op een betrokken, persoonlijke en ontwikkelingsgerichte manier werkt met n voor jou Onze organisatie staat net als jouw carrire nooit stil We zijn constant op zoek naar nieuwe kansen en mogelijkheden, voor en door onze medewerkers Wij richten ons op duurzame relaties en continuteit Zo zijn wij van betekenis, voor de samenleving, het Nederland van morgen en voor jou als collega, , , , , , Aandacht voor onze collegas staat bij ons hoog in het vaandel Wij snappen dat een nieuwe baan veel met zich meebrengt en om nieuwe collegas te ontlasten Daarom richten wij ons op het aanbieden van vaste contracten, zoeken we samen naar de juiste werkprivbalans en staan wij altijd voor je klaar Dankzij ons grote netwerk hebben wij ook veel opdrachten, waardoor jij nooit stil hoeft te zitten Wij zorgen ervoor dat je van betekenis kan zijn voor Nederland, LanghenkelTalenter maar ook jezelf, , , Deel de vacature",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324273745?url=https%3A%2F%2Flanghenkel-talenter%2Enl%2Fvacatures%2Fgz-psycholoog-9%2F&urlHash=YydI&refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-at-langhenkel-talenter-2324273745?refId=c88f85b3-c5d0-48ab-a8fb-6ecd76e1d1aa&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
