Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,psychologist,LinkedIn,2319704808,Online Psychologist (The Netherlands),9s3EFAZFjID8MKSwrPOlXw==,Mindler,"Amsterdam, North Holland, Netherlands","['Mental Health Care', 'Information Technology and Services']","Mindler is per direct opzoek naar nieuwe online basispsychologen, Wil jij als basispsycholoog de vrijheid van een zelfstandige en tegelijkertijd de zekerheid van een vast dienstverband Werken waar en wanneer je wilt en daarnaast zelf je uren bepalen, Als online basispsycholoog bij Mindler WTZiinstelling heb jij de regie  ook over je eigen agenda Je bepaalt dus zelf vanaf welke plek, wanneer en hoeveel clinten je behandelt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319704808?url=https%3A%2F%2Fmindler%2Eteamtailor%2Ecom%2Fjobs%2F972948-online-basispsychologen-gezocht&urlHash=L_sY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/online-psychologist-the-netherlands-at-mindler-2319704808?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=9s3EFAZFjID8MKSwrPOlXw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
2,psychologist,LinkedIn,2311448696,Psycholoog,RLl8utuHHMoZeHXCsXAnrA==,Praktijk Rood,"AmsterdamNoord, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care', 'Professional Training & Coaching']","Praktijk Rood zoekt een nieuwe collega, , Behandelaar  diagnosticus Jeugdzorg in de regio van Amsterdam, Wij zijn een groeiende psychologenpraktijk voor kinderen en jongeren en doen zowel psychodiagnostiek als behandeling Met name in ADHD zijn we gespecialiseerd Vanwege deze groei zijn we op zoek naar een behandelaardiagnosticus OrthopedagoogPsycholoog Dyslexie en Jeugdzorg in Amsterdam voor 1636 uur per week",Part-time,https://www.linkedin.com/jobs/view/externalApply/2311448696?url=https%3A%2F%2Fwww%2Epraktijkrood%2Enl%2Fkinderpsycholoog-amsterdam-noord%2Fvacatures-praktijk-rood%2Fpsycholoog-orthopedagoog&urlHash=lOwA&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/psycholoog-at-praktijk-rood-2311448696?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=RLl8utuHHMoZeHXCsXAnrA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
3,psychologist,LinkedIn,2280180600,Psychologist Cybersecurity,dxH7I7hp0w5F4NWdOSbOgw==,Secura,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer & Network Security', 'Security and Investigations']","Who are you, Inducing behavioral change is what challenges you People and their motivations are what intrigues you Ownership, vision and creativity are what define you You are a sociable, reliable and positive gogetter, doing what you say and saying what you do Independent but asking for help when necessary You are a team player with a critical view, open for feedback, continuously trying to improve your work, our services and our team",Full-time,,https://nl.linkedin.com/jobs/view/psychologist-cybersecurity-at-secura-2280180600?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=dxH7I7hp0w5F4NWdOSbOgw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
4,psychologist,LinkedIn,2231295160,Psycholoog Jongeren,xzvs3IUjVaH91qUucdLwWA==,s Heeren Loo,"Soest, Utrecht, Netherlands",['Hospital & Health Care'],"Kan jij zien wat er achter mijn boosheid en agressie zit Ik heb tijd nodig om je te leren kennen en vertrouwen Zoek jij samen met mij uit wat ik nodig heb om mij te ontwikkelen Ik wil graag beter nee leren zeggen, , Waar ga je werken",Part-time,,https://nl.linkedin.com/jobs/view/psycholoog-jongeren-at-s-heeren-loo-2231295160?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=xzvs3IUjVaH91qUucdLwWA%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
5,psychologist,LinkedIn,2305629293,Psycholoog,wlTuUmsZhc9ffgevcrvBUw==,Corparis,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],Ben jij een ervaren Psycholoog op zoek naar een nieuwe uitdaging Dan hebben wiju202feen leuke en leerzame baanu202fvoor jou Voor diverse opdrachtgevers in NoordHolland en ZuidHolland zoeken wij een ervaren psycholoog Het aantal uur en de contractvorm is in overleg ,Full-time,,https://nl.linkedin.com/jobs/view/psycholoog-at-corparis-2305629293?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=wlTuUmsZhc9ffgevcrvBUw%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
6,psychologist,LinkedIn,2327365023,Klinisch Psycholoog Rintveld,S3MYRPUveSOP1c3ufaRkOg==,Altrecht,"Utrecht, Utrecht, Netherlands","['Construction', 'Architecture & Planning', 'Mining & Metals']","Wat ga je doen, , Als Klinisch Psycholoog houd je je bezig met complexe zorgvragen van onze patinten, waarbij het zowel kan gaan om diagnostiek als psychologische behandeling Als hoofdbehandelaar in een multidisciplinair team neem je initiatieven die bijdragen aan herstel ondersteunende zorg Naast de contacten met patinten, hun naasten en je directe collegas, werk je ook samen met collegas buiten jouw team en netwerkpartners Je kijkt dan ook overstijgend naar zorgvragen en redeneert vanuit het hele verhaal van de patint We bieden zorg aan zowel jeugdige als volwassen patinten en gaan graag met jou in gesprek met welke doelgroep jij zou willen werken, Als Klinisch Psycholoog heb je een coachende en motiverende rol richting jouw collegas Je durft leiding te nemen en streeft ernaar de zorg steeds weer naar een hoger niveau te brengen Jouw mening over beleidsmatige onderwerpen en verbeteringen in behandelprocessen wordt dan ook erg gewaardeerd, Vanuit de functie van Klinisch Psycholoog lever je dus een belangrijke bijdrage aan het vinden, ontwarren en versterken van de gezonde lijn in het verhaal van onze patinten",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327365023?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dff63edab8bc5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadacadaedda8dddbadb9adcaadfgadeadd8fade3aedcdcbfec3ddcg3e&urlHash=8u9o&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klinisch-psycholoog-rintveld-at-altrecht-2327365023?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=S3MYRPUveSOP1c3ufaRkOg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
7,psychologist,LinkedIn,2319211591,gz-psycholoog - Amsterdam,kfyuQqbeh0XHUZt6h164gw==,Cordaan,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Omschrijving, , De behandeldienst van Cordaan zoekt per direct een enthousiaste en zelfstandige GZPsycholoog met hart voor de ouderenzorg voor locatie De Die Amsterdam Noord en Het Spaarnhout Amsterdam West, Houthaven, , , , , , , , We bieden je een uitdagende positie binnen een organisatie die de ambitie heeft de beste zorgverlener en zorgwerkgever van Amsterdam te zijn, , , Voor deze functie in Cordaan staan de volgende functieeisen centraal, , , , , Cordaan biedt behandeling en begeleiding, gericht op gezondheid en welbevinden van individuele clinten die aangewezen zijn op psychogeriatrische, somatische, psychiatrische of revalidatie verpleeghuiszorg De GZpsychologen binnen Cordaan zijn onderdeel van het multidisciplinaire team dat werkt vanuit een omgevings en clintgerichte visie waarbij de leefstijl van de clint richtinggevend is voor de keuze en uitvoering van de behandeling De multidisciplinaire behandelteams bestaan uit specialisten ouderengeneeskunde, GZpsychologen, paramedici, geestelijke verzorging en een aantal ondersteunende medewerkers De behandeling en begeleiding worden zoveel mogelijk afgestemd op de leefgewoonten en hulpvragen van de clint Respect en waardering voor de eigenheid van de clint wordt getoond door zijn achtergrond, leefgewoonten, wensen en zorgbehoeften zorgvuldig in kaart te brengen en telkens mee te laten wegen in het aanbod de vorm en aard van de voorgestelde behandeling enof begeleiding en de alternatieven, Cordaan heeft als een van de grootste zorgaanbieders in de regio Amsterdam veel locaties Jij zal gaan werken op De Die in Amsterdam Noord en op onze nieuwe, kleinschalige woonvoorziening in de Houthaven Het Spaarnhout in Amsterdam West Tevens maak je deel uit van de vakgroep GZpsychologen binnen Cordaan Verder is Cordaan aangesloten bij de PgD, een professioneel landelijk samenwerkingsverband van psychologen werkzaam in de verpleeghuiszorg, , , Als GZpsycholoog ben je werkzaam in een actieve en enthousiaste vakgroep van 16 GZpsychologen Je verricht de volgende werkzaamheden, , , Ben jij na het lezen van deze vacature enthousiast geraakt en voldoe jij aan bovenstaande functieeisen Dan nodigen wij je graag uit om te solliciteren Heb je naar aanleiding van de vacature nog vragen, bel dan voor meer informatie Jaap Kamphuis manager behandelaren via 0652717479, , Solliciteren kan tot en met 27 november 2021",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319211591?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4dba38213bdb%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadceade8adfbddd9dd8addegddfadddfade3aeccacefec3ddcg3e&urlHash=STA9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-amsterdam-at-cordaan-2319211591?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=kfyuQqbeh0XHUZt6h164gw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
8,psychologist,LinkedIn,2289678636,GZ psycholoog ouderen parttime,4FgFYEvXmYhk/dYyuMtfUw==,Uitzendbureaunl,"Amsterdam, North Holland, Netherlands","['Internet', 'Machinery', 'Staffing and Recruiting']","Ben jij GZ psycholoog met passie voor de ouderenzorg en ben je toe aan meer ontwikkeling Wil je werken in een prettige organisatie met kleine teams, waar aandacht is voor ieders professie en verantwoordelijkheid Samen maken jullie het verschil in het leveren van de beste zorg op liefdevolle en respectvolle wijze, , , , , Een uitdagende baan in een fijne werksfeer, waarin je de vrijheid hebt om je vak goed uit te voeren Met jouw passie draag je bij aan de kernwaarden van de organisatie liefdevolle zorg, respect en ruimte voor eigenheid Binnen deze functie kun je meedenken aan toekomstige ontwikkelingen Daarnaast is er ook ruimte voor onderzoek, , De fuctie is zowel partime vanaf 24 uur per week als fulltime 36 uur per week in te vullen Je komt direct in dienst bij de opdrachtgever Je start met een tijdelijk contract voor de duur van een jaar, met uitzicht op vast dienstverband, , Uiteraard biedt de organisatie een marktconform arbeidspakket volgens de CAO Verpleeg en Verzorgingshuizen Daarnaast bieden zij mooie extras, zoals aandacht voor combinatie werk en mantelzorg thuis, een fiets en sportplan, een eindejaarsuitkering en leuke personeelskortingen op verzekeringen, theater en concerten, , Kom jij deze unieke organisatie versterken Of wil je graag meer weten We bieden je graag de mogelijkheid tot een vrijblijvende meeloop dag binnen de organisatie, zodat je de werksfeer zelf kunt ervaren, Neem contact op met Stephanie van Soelen, Senior Consultant Start People Arts en Specialist via click apply of click apply Direct solliciteren via de button kan ook, , Vaardigheden, , Wat neem jij mee, , , Opleiding, , WO, , Over de werkgever, , Deze organisatie binnen de ouderenzorg met locaties in Amsterdam eo is niet alleen zelf in ontwikkeling, ze bieden jou ook volop mogelijkheden tot ontwikkeling Je werkt in kleine, zelforganiserende teams waarin je de vrijheid hebt om samen naar oplossingen te zoeken en initiatieven te nemen De ouderzorg is complex, daarom is de organisatie steeds in beweging Dit biedt jou kansen om mee te denken, deel te nemen aan projecten en trainingen te volgen op het gebied van de nieuwste kennis en vaardigheden",Part-time,https://www.linkedin.com/jobs/view/externalApply/2289678636?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-2126154849976434846%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=rzFY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-ouderen-parttime-at-uitzendbureau-nl-2289678636?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=4FgFYEvXmYhk%2FdYyuMtfUw%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
9,psychologist,LinkedIn,2259559944,GZ-Psycholoog GGz Hulp Online (20-36 uur),D6GvQVGdMR7BprHhz260Gw==,GGz Centraal,"Almere, Flevoland, Netherlands",['Mental Health Care'],"Toonaangevend en grensverleggend zijn in online behandelen Jij zorgt ervoor, Informatie, Voor wie Volwassenen met psychologische problemen en stoornissen GGz Hulp Online is de volledig online zorg, 247 bereikbaar, , , , Onze clinten werken meerdere keren per week, met verschillende disciplines, vanuit verschillende invalshoeken aan hun herstel Dit vereist samenspel, planning en timing De benadering is persoonlijk De behandeling past in het leven van de clint We betrekken de thuissituatie en de leefstijl in de behandeling, , , Jouw nieuwe collegas van GGz Hulp Online, onderdeel GGz Centraal, wachten al op je Met jou als gzpsycholoog zijn we ng sterker in wat we doen Namelijk, het bieden van gespecialiseerde online geestelijke gezondheidszorg aan volwassenen met psychologische problemen of stoornissen Hierbij hebben we een duidelijk focus op de eindigheid van de behandeling, zonder onze clinten het gevoel te geven dat we hem abrupt laten vallen Nazorg op maat Dit is wat de eerste clinten ons allemaal teruggeven Hier zijn we enorm trots op, Hoe je ons team het beste kunt omschrijven Als startend label, sinds juni 2020, zijn wij opzoek naar pioniers, ondernemende, moderne, innovatieve professionals Nieuwe collegas die van aanpakken weten en het als hun taak zien verwachtingen te overtreffen, Maar belangrijkste we hebben plezier in wat we doen We werken hard, mt ons hart, , , , , Jij bent een ondernemende, zelfstandige, innovatieve professional Daarmee wil je grenzen verleggen op het gebied van online behandelen Uiteraard heb je ook een actieve, inspirerende en motiverende basishouding Je past binnen GGz Hulp Online als je net als wij de clint altijd voorop stelt, meegaat in veranderingen en jezelf altijd wilt verbeteren, , , , Mogelijkheden binnen GGz Centraal zijn er genoeg Omdat we een grote organisatie zijn met verschillende werklocaties kunnen we inspelen op ontwikkelwensen, functieinhoud, type behandelprogramma en woonwerkafstand Samen kijken we naar wat jij nodig hebt in je werk Op professioneel n persoonlijk vlak we zien wie je bent Betere zorg begint bij jou en daar ondersteunen en faciliteren we je graag in Ook kun je als gzpsycholoog bij rekenen op, , , Een referentiecheck is onderdeel van ons aannamebeleid Bij indiensttreding vragen we je om een actuele Verklaring Omtrent Gedrag VOG Wij vragen deze voor je aan en vergoeden de kosten, , Zet jouw talenten in als gzpsycholoog op de plek waar het er cht toe doet versterk GGz Centraal bij GGz hulp online, Hebben we onze match nog niet gevonden Dan zoeken we nog wat langer door, Wil je meer informatie over de vacature Bel of app dan met Yvette Kilian klinisch psycholoog, teamleider via click apply Voor vragen over de sollicitatieprocedure kun je terecht bij Recruitment via click apply of via click apply, , Het nieuwste label van GGz Centraal, GGz Hulp Online   biedt specialistische geestelijke gezondheidzorg zonder barrires door deskundige therapeuten, voor iedereen, direct beschikbaar, op elk tijdstip van de dag, vanaf elke plek in de wereld, thuis, op het werk of op reis Online behandelen heeft de toekomst",Full-time,https://www.linkedin.com/jobs/view/externalApply/2259559944?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F324686557767396590%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=nyeE&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-ggz-hulp-online-20-36-uur-at-ggz-centraal-2259559944?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=D6GvQVGdMR7BprHhz260Gw%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
10,psychologist,LinkedIn,2287288254,GZ psycholoog ouderen parttime,/NunOzK8Zi5zbpnz3qwUrQ==,"Relationship Marketing, Inc RMi","Amsterdam, North Holland, Netherlands","['Health, Wellness and Fitness']","Bedrijfsomschrijving, , Deze organisatie binnen de ouderenzorg met locaties in Amsterdam eo is niet alleen zelf in ontwikkeling, ze bieden jou ook volop mogelijkheden tot ontwikkeling Je werkt in kleine, zelforganiserende teams waarin je de vrijheid hebt om samen naar oplossingen te zoeken en initiatieven te nemen De ouderzorg is complex, daarom is de organisatie steeds in beweging Dit biedt jou kansen om mee te denken, deel te nemen aan projecten en trainingen te volgen op het gebied van de nieuwste kennis en vaardigheden, , , , Ben jij GZ psycholoog met passie voor de ouderenzorg en ben je toe aan meer ontwikkeling Wil je werken in een prettige organisatie met kleine teams, waar aandacht is voor ieders professie en verantwoordelijkheid Samen maken jullie het verschil in het leveren van de beste zorg op liefdevolle en respectvolle wijze, , , , , , , Wat neem jij mee, , , , , Een uitdagende baan in een fijne werksfeer, waarin je de vrijheid hebt om je vak goed uit te voeren Met jouw passie draag je bij aan de kernwaarden van de organisatie liefdevolle zorg, respect en ruimte voor eigenheid Binnen deze functie kun je meedenken aan toekomstige ontwikkelingen Daarnaast is er ook ruimte voor onderzoek, , De fuctie is zowel partime vanaf 24 uur per week als fulltime 36 uur per week in te vullen Je komt direct in dienst bij de opdrachtgever Je start met een tijdelijk contract voor de duur van een jaar, met uitzicht op vast dienstverband, , Uiteraard biedt de organisatie een marktconform arbeidspakket volgens de CAO Verpleeg en Verzorgingshuizen Daarnaast bieden zij mooie extras, zoals aandacht voor combinatie werk en mantelzorg thuis, een fiets en sportplan, een eindejaarsuitkering en leuke personeelskortingen op verzekeringen, theater en concerten, , Kom jij deze unieke organisatie versterken Of wil je graag meer weten We bieden je graag de mogelijkheid tot een vrijblijvende meeloop dag binnen de organisatie, zodat je de werksfeer zelf kunt ervaren, Neem contact op met Karin van Vlierden, Senior Consultant bij Start People Arts en Specialist 0641644121 Direct solliciteren via de button kan ook",Part-time,https://www.linkedin.com/jobs/view/externalApply/2287288254?url=https%3A%2F%2Feasyapply%2Ejobs%2Fr%2F17NM2l12TzPZ51OYKnG&urlHash=uRM8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-ouderen-parttime-at-relationship-marketing-inc-rmi-2287288254?refId=0d1c50ec-7fca-4f79-bc1e-a505b2cafed2&trackingId=%2FNunOzK8Zi5zbpnz3qwUrQ%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
