Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,public administration,LinkedIn,2315315030,Senior functioneel beheerder,trqpEUckQ7qGIVLxAGeKBw==,UWV,"Amsterdam, North Holland, Netherlands","['Government Administration', 'Civic & Social Organization']","Wat je gaat doen, Voor onze afdeling informatievoorziening binnen de divisie Klant en Service zijn wij op zoek naar een senior functioneel beheerder De afdeling voert beleid en beheer uit en werkt aan het ontwikkelen en realiseren van innovaties voor Klantencontact Daarnaast is de afdeling verantwoordelijk voor de ondersteuning van de ontwikkeling van de digitale dienstverlening van de klantcontactcentra KCC We geven een nieuwe impuls aan omnichannel klantinteractie en in de nieuwe producten en processen komt het streven om servicegerichte dienstverlening mogelijk te maken nadrukkelijk tot uiting Hiermee levert de afdeling een bijdrage aan effectieve klantinteractie in een digitaal groeiend UWV Dit doen we op een Agile werkwijze",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315315030?url=https%3A%2F%2Fwww%2Euwv%2Enl%2Fwerkenbijuwv%2Fvacatures%2Fv%2Fvacature%2Easpx%3Fid%3D140101&urlHash=WyO6&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-functioneel-beheerder-at-uwv-2315315030?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
2,public administration,LinkedIn,2323450876,Administratief Ondersteuner,L3bt3b28SlKiep10aHwcJw==,Yource,"Utrecht, Utrecht, Netherlands",None,"Wat ga jij doen, , Denk Hierbij Aan De Volgende Taken, , Heb jij een pro actieve houding, bancaire ervaring of ervaring met het werken van klantgegevens Dan is de functie Administratief Ondersteuner bij Rabobank in Houten wellicht iets voor jou Een Administratief Ondersteuner kan aan de slag gaan tussen de 3236 uur per week en verdien jij een salaris tussen de  13,00 tot  18,57 bruto per uur afhankelijke van je relevante werkervaring Als Administratief Ondersteuner zal jij voornamelijk werkzaamheden gaan verrichten rondom het afwikkelen van hypotheekdossiers en andere administratieve taken die vallen onder wonen, , , , Jij gaat aan de slag binnen de afdeling Service Centrum Wonen SCW die administratieve taken verrichten voor klanten en lokale banken Door het bundelen van expertise vergroten zij de commercile slagkracht, kwaliteit en efficiency van bank zodat de lokale banken zich volledig kunnen richten op het optimaal adviseren en bedienen van klanten",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323450876?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D9f04ec718578%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cadacddgbddc8adbbaddadd9gddfadd8fddb3de9cdc8fec3ddcg3e&urlHash=LkeS&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-ondersteuner-at-yource-2323450876?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
3,public administration,LinkedIn,2271164707,Senior Financieel Administrateur / Verslaglegging,vaw1vgRYRK66KHWUuZlu2A==,Walters People,"Amsterdam, North Holland, Netherlands","['Accounting', 'Financial Services']",Sta je open voor een nieuwe uitdaging binnen de finance en heb je minimaal 4 jaar werkervaring in een financile functie bij een financiele instelling of bij een accountantskantoor Minimaal een Hbo studie afgerond Ben je bekend met geconsolideerde  statutaire jaarrekeningen Wil je meer leren over het opstellen van de periodieke toezichtrapportages ten behoeve van De Nederlandsche Bank of heb je deze kennis al Dan ben ik zoekende naar jou,Full-time,https://www.linkedin.com/jobs/view/externalApply/2271164707?url=https%3A%2F%2Fwww%2Eaplitrak%2Ecom%2F%3Fadid%3DV09VREFXLjc1OTczLjE1NTBAd2FsdGVyc3Blb3BsZW5sLmFwbGl0cmFrLmNvbQ&urlHash=beWh&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-financieel-administrateur-verslaglegging-at-walters-people-2271164707?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
4,public administration,LinkedIn,2260030891,Senior Functioneel Beheerder,7FHQfo1xSm2Cch/EKGOdHQ==,CNV Connectief,"Utrecht, Netherlands",['Civic & Social Organization'],"CNV Connectief is op zoek naar een enthousiaste en ervaren, senior FUNCTIONEEL BEHEERDER, , VOOR 32  36 UUR PER WEEK",Full-time,,https://nl.linkedin.com/jobs/view/senior-functioneel-beheerder-at-cnv-connectief-2260030891?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
5,public administration,LinkedIn,2283889421,Administratief- financieel,jC03GXaIQsGp088nVvwREg==,Uitzendbureau 65plus BV,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Bent u de kundige administratieffinancieel medewerker in Amsterdam die wij zoeken, Dankzij uw inzet als administratieffinancieel medewerker lopen de financieeladministratieve processen op rolletjes Door uw uitgebreide kennis en ervaring van deze processen is dat voor u geen probleem Bent u AOWgerechtigd, wilt u betaald bezig blijven en herkent u zich in deze omschrijving Dan komen wij graag in contact met u, , , , , , , Bent u het helemaal met Johnny Jordaan eens en vindt u Amsterdam mooier dan Parijs Heeft u het dan wel eens aan gedacht om aan de slag te gaan in onze hoofdstad Via Uitzendbureau 65plus kunt u als AOWgerechtigde onderdeel uitmaken van de hardst groeiende economie van Nederland De stad zit namelijk vol met diverse opdrachtgevers waarvoor wij enthousiaste medewerkers zoeken De grote diversiteit aan bedrijvigheden is al eeuwenlang de drijvende kracht achter de sterke economie van Amsterdam Denk bijvoorbeeld aan de diversiteit aan dienstverlenende bedrijven op de Zuidas, het grote bedrijventerrein SchipholRijk en de vele kantoren in het centrum Voor een mooie opdrachtgever zijn wij momenteel dan ook op zoek naar een enthousiaste administratieffinancieel medewerker die aan de slag wil in Amsterdam, , , Voldoet u aan het functieprofiel en wilt u graag aan de slag in deze uitdagende functie van administratieffinancieel medewerker in Amsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2283889421?url=http%3A%2F%2Fwww%2E65plus%2Enl%2Ffacilitair%2Fwebcore%2Fvacancy%2Fredirect%2F202008-5400&urlHash=-nle&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-financieel-at-uitzendbureau-65plus-bv-2283889421?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
6,public administration,LinkedIn,2311713427,Senior Materieel Beheerder,bA6izDuVTFKqfKGAQ7oTsw==,Ministerie van Defensie,"Ter Heijde, South Holland, Netherlands","['Logistics and Supply Chain', 'Transportation/', 'Trucking/', 'Railroad', 'Warehousing']","Wat ga je doen, , Werken bij het ministerie van Defensie maar niet als militair, , Word Senior Materieel Beheerder, Kies je voor een baan bij Defensie, dan kies je voor maatschappelijk relevant werk Je draagt echt iets bij aan een veilig Nederland, Naast 40000 beroepsmilitairen werken er ook nog zon 18000 burgers bij Defensie Wil jij in je eigen vakgebied bijdragen aan een professionele defensieorganisatie en daarmee aan vrede en veiligheid in binnen en buitenland, , Als Senior Materieel Beheerder draag jij zorg voor de materieelvoorziening van Defensie, , , , , , In deze veelzijdige functie werk je als een meewerkend voorman op het Logistiek Centrum Door het materieel beheer te cordineren en in stand te houden draag jij zorg voor het Defensie materiaal binnen JIVC Jouw werkzaamheden bestaan oa, , , , , , Je hebt MBO werk en denkniveau aangevuld met meerdere jaren ervaring in de logistiek Je hebt affiniteit met materiaalbeheer en kennis van Office en logistieke informatiesystemen bijvoorbeeld SAP Je hebt geen 95 mentaliteit en bent in het bezit van rijbewijs B Verder heb je een VCA certificaat en bezit je de drive om processen te willen verbeteren, , Als Senior Materieel Beheerder is het van belang dat je de behoeften en belangen van de klant herkent en hier snel op in weet te spelen Daarnaast is het belangrijk zorgvuldig te werk te gaan en goed samen te kunnen werken met anderen Als Senior Materieel Beheerder zal je namelijk intensief samenwerken met een Materieel Beheerder en een andere Senior Materieel Beheerder Flexibiliteit en gevoel voor plannen en organiseren kunnen er aan bijdragen dat je het overzicht zal kunnen bewaren, , Twijfel je of deze functie wat voor jou is of heb je vragen Schroom dan niet om contact op te nemen met de Unit Manager of Recruitment Adviseur Wij helpen je graag een zo duidelijk mogelijk beeld te krijgen van deze functie, , , , schaal 7, 2300 bruto per maand, 3200 bruto per maand, Tijdelijke aanstelling  Arbeidsovereenkomst voor bepaalde tijd, Deze functie is voor een maximale periode van 3 jaar, 38, Huis ter Heide  Camp New Amsterdam, Utrecht, , , , Defensie hecht sterk aan persoonlijke groei en kent goede studiefaciliteiten, hierdoor sta je nooit stil Je krijgt alle ruimte om jezelf te ontwikkelen en door te groeien, , Buiten het salaris en vakantiegeld kun je rekenen op een eindejaarsuitkering van 8,3, de zogeheten dertiende maand Daarnaast ontvangen burgermedewerkers maandelijks een bruto tegemoetkoming voor de ziektekostenverzekering Naast een pensioenregeling bij het ABP ontvang je maandelijks een vergoeding woonwerkverkeer of kun je onder gunstige voorwaarden kiezen voor een OVabonnement met onbeperkt reizen door heel Nederland, , Hoe leuk het werken bij Defensie ook is, wij vinden het ook belangrijk dat je dit met jouw privleven kunt combineren Diverse verlofregelingen bijvoorbeeld 75 betaald ouderschapsverlof en flexibele werktijden dragen bij aan een goede balans En als dat niet genoeg is, dan is het ook nog mogelijk je werktijd tijdelijk enkele uren per week te verkorten en extra verlofuren enof ADVuren op te bouwen, , , , Defensie zet zich in voor de belangen, welvaart en vrijheid van Nederland We zijn dagelijks actief in binnen en buitenland Onze wereldwijde inzet versterkt de internationale samenwerking en zorgt ervoor dat mensen zich in vrijheid kunnen ontplooien Nu en in de toekomst, , Bij het ministerie van Defensie werken ongeveer 58000 mensen direct en indirect aan vrede en veiligheid Het ministerie bestaat uit de Bestuursstaf het departement, de Koninklijke Marine, de Koninklijke Landmacht, de Koninklijke Luchtmacht, de Koninklijke Marechaussee, het Defensie Ondersteuningscommando DOSCO en de Defensie Materieel Organisatie DMO, , Defensie is een van de grootste werkgevers van Nederland en vertoont overeenkomsten met een groot bedrijf De operationele commandos zee, land en luchtstrijdkrachten, de Marechaussee, het DOSCO en de DMO lijken op werkmaatschappijen, , , De DMO ondersteunt de verschillende krijgsmachtonderdelen bij de aan en verkoop van materiaal, instandhouding, logistiek en ITdienstverlening Denk daarbij aan aanschaf en instandhouding van onderzeeboten, vliegtuigen en landvoertuigen, maar ook het aanleveren van brandstof, munitie en kleding, , , , , , Het Joint IV Commando JIVC is een professionele Informatievoorziening IV ICTorganisatie die van cruciaal belang is binnen Defensie JIVC helpt de Defensieonderdelen en andere klanten binnen de overheid in het effectief en doelmatig kunnen blijven uitvoeren van hun taken en levert betrouwbare en beveiligde IVICTdiensten die marktconform zijn wat betreft techniek en prijs, , JIVC is verantwoordelijk voor het leveren van alle IVICTproducten binnen de afgesproken termijn, voor het afgesproken bedrag en volgens de afgesproken kwaliteit, , Als Senior Materieel Beheerder ga je aan de slag in het Logistiek Centrum binnen de sectie Werkplekken welke is ondergebracht in het JIVC Jouw takenpakket omvat het beheer van allerlei artikelen en materieel die voor de uitvoering van de taken van JIVC van belang zijn",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311713427?url=https%3A%2F%2Fwerkenbijdefensie%2Enl%2Fvacatures%2Fniet-militaire-vacatures%2Fsenior-materieel-beheerder-4443&urlHash=pjUu&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-materieel-beheerder-at-ministerie-van-defensie-2311713427?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
7,public administration,LinkedIn,2273039088,Senior Functioneel beheerder,+7uPHWSZSAe/JNqwmS6MlA==,DICTU,"Assen, Drenthe, Netherlands",['Government Administration'],"Functiexadomschrijving, , Bij de Toegangsverleningservice TVS stap je binnen in een bijzondere beheeromgeving die volop in ontwikkeling is Ben jij hiervoor de verbindende schakel tussen onze klanten en de ICT, , De TVS maakt het voor overheidsorganisaties eenvoudig om via inlogmiddelen zoals eHerkenning en DigiD hun digitale dienstverlening te ontsluiten voor ondernemers en burgers Deze inlogmiddelen worden beschikbaar gesteld door publieke dan wel private partijen De TVS fungeert als toegangspoort voor dienstverleners Daardoor is het niet langer nodig dat overheidsorganisaties zelf aansluitingen ontwikkelen en beheren voor deze inlogmiddelen TVS neemt daarmee overheidsorganisaties een zorg uit handen, , DICTU is samen met VWS een programma gestart waardoor zorgverleners ziekenhuizen, artsen, apothekers, enz hun digitale diensten op een hoog beveiligde wijze kunnen aanbieden Hierbij zullen zij ook gebruik gaan maken van de TVS, , Hierdoor zal het beheer en aansluitteam van TVS de komende tijd flink uitbreiden Wij zoeken nieuwe collegas die met ons in deze spannende tijd willen samenwerken, , , , , Functieeisen, , , , Naast jouw kennis en ervaring neem jij als senior functioneel beheerder de volgende competenties mee",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273039088?url=https%3A%2F%2Fwww%2Ewerkenvoornederland%2Enl%2Fvacatures%2Fsenior-functioneel-beheerder-DICT-2020-0127%3Futm_source%3DLinkedIn%26utm_medium%3Djobboard%26utm_campaign%3Djobslots%26utm_term%3DDICT-2020-0127&urlHash=YmQw&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-functioneel-beheerder-at-dictu-2273039088?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
8,public administration,LinkedIn,2272615279,Senior Functioneel Beheerder,mS4LqmaITDav3yayLYLbPQ==,MN,"Den Haag, South Holland, Netherlands",['Financial Services'],"Durf jij het aan om samen met jouw enthousiaste collegas de gebruikersorganisatie van MN nog beter van dienst te zijn door de processen nog beter in te gaan richten in de applicaties en wellicht zelfs andere applicaties te gaan selecterenJouw adviezen zijn erg belangrijk voor HR om succesvol te kunnen opereren Daarom word je bij vele projecten direct betrokken Reageer dan op de functie voor Functioneel Beheerder bij MN, , , , , , Als Functioneel Beheerder bij MN ben jij verantwoordelijk voor de continuteit, optimalisatie en kwaliteit van de informatiesystemen Je bent een intermediair tussen interne klanten, IT en externe leveranciers Naast het beheren van het huidige applicatielandschap, ben je nauw betrokken bij de selectie van nieuwe systemen jouw kennis, ervaring en adviserende rol is daarbij van groot belang Specifiek in de rol van Functioneel Beheerder is de verantwoordelijkheid over AFAS binnen MN Nog geen kennis van AFAS Geen probleem Je krijgt alle mogelijkheid jezelf te verdiepen in het AFASsysteem zodat jij uiteindelijk als aanspreekpunt en sparringpartner kan worden ingezet richting de business, , Jij pakt verantwoordelijkheid en toont eigenaarschap over de systemen waarmee je werkt In je vorige baan heb je al de nodige ervaring op mogen doen als Functioneel applicatie Beheerder of een soortgelijke functie Je typeert jezelf als een vak professional die zichzelf dienstverlenend opstelt naar de interne klanten en kritisch sparringpartner is voor externe leveranciers Het is mooi meegenomen als jij al ervaring hebt met AFAS maar het is nog belangrijker dat je enthousiast wordt van optimalisatie vraagstukken Jij weet hoe belangrijk het is om alle mogelijkheden van systemen goed te benutten en snapt hoe je dit moet vertalen naar de business Wij bieden een specialisatie en partnership oa met de afdeling HR jouw adviezen zijn erg belangrijk voor HR om succesvol te kunnen opereren Daarom word je bij vele projecten direct betrokken, , , , , , , Als Functioneel Beheerder is het mooi meegenomen dat jij al ervaring hebt met werken in een complexe omgeving n voor meerdere teams Daarnaast helpt het zeker als jij werkervaring hebt op mogen doen binnen een commercieel consultancy bedrijf, , Jij maakt deel uit van het FDSIV team en werkt samen met 16 collegas Je rapporteert aan de IT Teammanager Jouw werkplek bevindt zich op de 13de verdieping met een uitzicht over Den Haag en de zee Verder maak je deel uit van een team specialisten die naast hard werken ook van de nodige ontspanning houden Kortom, een inspirerend kantoor met collegas die een groot aandeel kunnen hebben in je eigen succes, , , Jij werkt vanuit ons kantoor in hartje Den Haag Hier maken zon 990 MNers zich sterk voor het pensioeninkomen van ongeveer 2 miljoen deelnemers We beheren een vermogen van circa  175 miljard MNers zijn resultaatgericht, creatief, tonen verantwoordelijkheid en werken graag samen Dat verwachten we dus ook van jou, , , MN volgt de RIVM maatregelen, daarom werken wij nu volledig vanuit huis Alle medewerkers ontvangen de juiste faciliteiten om dat mogelijk te maken Op termijn voorzien wij een nieuwe balans in thuiswerken en virtueel samenwerken, , Werk je in de toekomst toch een dagje op kantoor Dan kun je gebruik maken van faciliteiten zoals een inhouse sportschool, bedrijfsrestaurant en ook nu organiseert de personeelsvereniging veel activiteiten online, , , Solliciteer via de button en upload je cv en motivatiebrief Zien we voldoende raakvlakken, dan nodigen we je graag uit voor een nadere kennismaking Heb je eerst nog vragen over deze functie of de sollicitatieprocedure Mail ze naar Euredice Fabri via euredicefabrimnnl 196",Full-time,https://www.linkedin.com/jobs/view/externalApply/2272615279?url=https%3A%2F%2Fwww%2Ewerkenbijmn%2Enl%2Fvacature%2F196%2Fsenior-functioneel-beheerder-1%3Futm_source%3DLinkedin%26utm_medium%3DCPP%26utm_campaign%3DLinkedIn_Jobslot&urlHash=hL6Y&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-functioneel-beheerder-at-mn-2272615279?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
9,public administration,LinkedIn,2324862581,Administratief teamondersteuner Pools UWV Amsterdam,8tv+LeK+QjizUiwwSM8AFg==,Manpower Nederland,"Amsterdam, North Holland, Netherlands","['Internet', 'Staffing and Recruiting', 'Retail']","Dit ga je doen, , Beschik jij over minimaal n jaar werkervaring als bijvoorbeeld backoffice medewerker, administratief medewerker of in een vergelijkbare functie en ben jij in het bezit van een mbo4 diploma Beheers jij ook n of meerdere vreemde talen bij voorkeur Pools Mooi, want deze competenties komen goed van pas in deze functie als teamondersteuner In ruil voor jouw inzet kun je onder andere rekenen op een brutosalaris tot  2750 per maand Wil je meer weten over deze functie Lees dan snel verder, , , , In jouw rol als teamondersteuner ga jij diverse werkzaamheden voor je rekening nemen ten behoeve van de uitvoering binnen de teams van Bijzondere Zaken Zo ben je het ene moment druk bezig met het voorwerk van een nieuwe aanvraag en rond je het ander moment een dossier met hoge prioriteit af Een stuk financin Geen enkel probleem, door jouw multitaskvaardigheden boek je de facturen vliegensvlug weg, , Verder kun je denken aan, , , , , , , , Hier ga je werken, , Jij gaat aan de slag bij UWV in Amsterdam hun standplaats is Delflandlaan 35 Vanuit hier gaan jij en jouw team een speciale groep klanten bedienen Jij houdt je specifiek bezig met ZWArboklanten die woonachtig zijn in het buitenland Deze klanten hebben mogelijk een arbeidsverleden in Nederland en mogelijk ook over de grens, , , In deze functie werk je parttime of fulltime van maandag tot en met vrijdag tijdens reguliere kantoortijden Als je parttime aan de slag gaat bij UWV zal in goed overleg bepaald worden wat je vrije dagen zullen zijn, , Dit neem je mee, , , , , , , , , , , , Over Manpower, , Bijna niets in het leven is voor mensen z essentieel als het vinden en behouden van zinvol werk Wat dit betekent, is voor iedereen anders Manpower biedt tijdelijke, flexibele en vaste banen Onder meer binnen de financile en zakelijke dienstverlening, overheid, klant contact centra, logistiek en productie Het is onze passie om mensen verder te helpen Dat doen we met een enorme gedrevenheid We helpen je om succesvol te zijn bij een sollicitatie en dagen je uit om je te blijven ontwikkelen Eerlijkheid vinden we belangrijk we zijn transparant, staan open voor feedback en we doen wat we beloven",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324862581?url=https%3A%2F%2Fwww%2Emanpower%2Enl%2F1624%2Fdefault%2Easpx%3FshowObject%3D45528542%26utm_source%3Dlinkedin%2Enl%26utm_medium%3Dorganic%26%26utm_term%3DNoord-Holland%26utm_content%3DAdministratief&urlHash=5tcw&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administratief-teamondersteuner-pools-uwv-amsterdam-at-manpower-nederland-2324862581?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
10,public administration,LinkedIn,2265973107,senior beheerder Microsoft,pvrCKyDgTqejBu4LJ0iY5Q==,Politie Nederland,"DriebergenRijsenburg, Utrecht, Netherlands","['Law Enforcement', 'Public Safety', 'Security and Investigations']","Bij Team Hosting zijn wij op zoek naar senior beheerders Microsoft die het werk ondersteunen van de politiecollegas met een 247 dienstverlening, Wat ga je doen, Als senior beheerder Microsoft ben je verantwoordelijk voor de uitvoering van het technische productbeheer enof productontwikkeling van ICTcomponenten en los je aangereikte problemen op door toepassing van gestandaardiseerde specialistische methoden en technieken Je bent verantwoordelijk voor het productbeheer van de ICTcomponenten en je beheert de microsoft server omgeving Ook neem je de verantwoordelijkheid voor bepaalde resultaten van changewijzigingsbeheer Je participeert in projecten, stelt procedures en documentatie van de ICTcomponenten op en houdt deze uptodate Je signaleert, analyseert en verhelpt storingenincidenten van de specialistische ICTcomponenten Daarnaast zie je toe op handhaving van infrastructurele standaarden en pas je deze toe Je lost eerste en tweedelijns vraagstukken op Aan de hand van de door architecten opgestelde ontwerpen richt je systemen in Je beheert samen met collegas de ICTcomponenten en richt deze in, , Je gaat aan de slag binnen Team Hosting, bij de Productlijn Microsoft Server, onderdeel van het infrabedrijf Het infrabedrijf is verantwoordelijk voor de continuteit en regie van de dienstlevering aan de politie, meldkamers en ketenpartners Daarnaast staat zij voor het leveren van hoogwaardige ICTdiensten met de daarbij horende service en continue ondersteuning in normale en bijzondere omstandigheden Onze omgeving kenmerkt zich door een hoge mate van complexiteit, veroorzaakt door de benodigde dataintegriteit en hoge eisen op het gebied van kwaliteit, beschikbaarheid, betrouwbaarheid en beveiliging, , Hosting heeft zes productlijnen voor het in stand houden van de ontwikkeling en innovatie van de technische basisvoorzieningen ICT infrastructuur, werkplekken en platformdienstenvoor het leveren van ICTdiensten conform een IaaS, PaaS en SaaSmodel, , Als senior beheerder Microsoft neem je een coachende rol in en stimuleer en motiveer je je collegas om hun vakbekwaamheid op een hoger niveau te brengen en zich zo verder te ontwikkelen Je hebt een klantgerichte instelling, bent alert op en verdiept je in relevante maatschappelijke of vakinhoudelijke ontwikkelingen en je vertaalt deze naar je eigen werkzaamheden Daarnaast onderhoud je graag relaties buiten de eigen organisatie Je beschikt over een stevige impact en overtuigingskracht en bent in staat om complexe vraagstukken op te lossen Ook werk je planmatig en gestructureerd, , Verder heb je, , , De standplaats is Driebergen Er is ruimte voor 3 fte Het betreft een functie voor 36 uur per week, , Omdat goede mensen belangrijk zijn binnen de politie investeren we in jouw toekomst We bieden uitgebreide ontwikkelingsmogelijkheden Het betreft een tijdelijke functie voor de duur van maximaal 1 jaar met een optie tot verlenging, , Verder kun je het volgende van ons verwachten, , , De formele functie binnen het functiegebouw van de politie is medewerker techniek C , werkterrein informatie en communicatietechnologie, , Bel of mail met Katja Damming, Recruiter ICT 06  53 29 83 17, katjadammingpolitienl als je meer informatie wilt hebben, , Solliciteer uiterlijk 9 december 2020 via de sollicitatiebutton",Full-time,https://www.linkedin.com/jobs/view/externalApply/2265973107?url=https%3A%2F%2Fkombijde%2Epolitie%2Enl%2Fvacatures%2Fsenior-beheerder-microsoft-_2536773%2Ehtml&urlHash=kV94&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-beheerder-microsoft-at-politie-nederland-2265973107?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
