Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,rent,LinkedIn,2320603855,Rondrijden en lekker verdienen,mS8q0q1RR7DNO/XyyH1sFw==,Algemeen,"Amsterdam, North Holland, Netherlands","['Restaurants', 'Staffing and Recruiting', 'Hospitality']","Bedrijfsprofiel, , XL Studenten Uitzendbureau is voor haar opdrachtgever op zoek naar, , Rondrijden en lekker verdienen  Tijdelijk parttime  fulltime  Heel Nederland, , Zoek jij per direct een goedbetaalde bijbaan Lees snel verder, , Vacature informatie, , Voor onze opdrachtgever zoeken wij enthousiaste medewerkers die houden van autorijden en een beetje handig zijn Het bedrijf waar je voor gaat werken is gespecialiseerd in slimme oplossingen voor IDverificatie, , Jij gaat voor deze opdrachtgever langs verschillende klanten rijden door heel Nederland, startend vanaf Amsterdam, om een speciale IDscanner te installeren op locatie Je krijgt hier uiteraard een korte training voor Verder is het natuurlijk handig als jij een beetje technisch bent, , Je kan hier al per direct starten, en de komende twee  drie weken tot wel vijf dagen in de week aan de slag van 0900u tot 1700u Je verdient hier wel E12,98 per uur Het is een voordeel als jij beschikt over eigen vervoer, zodat je lekker in je eigen wagen kan rondcrossen, , Werkzaamheden, , , , Wij zoeken, , , , Wij bieden, , , , Deel deze vacature met je vrienden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320603855?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F3397834306253384914%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=B3Op&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rondrijden-en-lekker-verdienen-at-algemeen-2320603855?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=mS8q0q1RR7DNO%2FXyyH1sFw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
2,rent,LinkedIn,2320608295,Rondrijden en lekker verdienen,Pp46ceK0FsdNk+G3txzqTA==,Algemeen,"Schiphol, North Holland, Netherlands","['Restaurants', 'Staffing and Recruiting', 'Hospitality']","Bedrijfsprofiel, , XL Studenten Uitzendbureau is voor haar opdrachtgever op zoek naar, , Rondrijden en lekker verdienen  Tijdelijk parttime  fulltime  Heel Nederland, , Zoek jij per direct een goedbetaalde bijbaan Lees snel verder, , Vacature informatie, , Voor onze opdrachtgever zoeken wij enthousiaste medewerkers die houden van autorijden en een beetje handig zijn Het bedrijf waar je voor gaat werken is gespecialiseerd in slimme oplossingen voor IDverificatie, , Jij gaat voor deze opdrachtgever langs verschillende klanten rijden door heel Nederland, startend vanaf Amsterdam, om een speciale IDscanner te installeren op locatie Je krijgt hier uiteraard een korte training voor Verder is het natuurlijk handig als jij een beetje technisch bent, , Je kan hier al per direct starten, en de komende twee  drie weken tot wel vijf dagen in de week aan de slag van 0900u tot 1700u Je verdient hier wel E12,98 per uur Het is een voordeel als jij beschikt over eigen vervoer, zodat je lekker in je eigen wagen kan rondcrossen, , Werkzaamheden, , , , Wij zoeken, , , , Wij bieden, , , , Deel deze vacature met je vrienden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320608295?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F6346951465087217861%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=h3u2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rondrijden-en-lekker-verdienen-at-algemeen-2320608295?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=Pp46ceK0FsdNk%2BG3txzqTA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
3,rent,LinkedIn,2308364779,Supervisor callcenter,i0rh2McrS/AkDsJDrwiT+Q==,ARTO RECRUITMENT,"Amsterdam, North Holland, Netherlands","['Renewables & Environment', 'Construction']","WAT GA JE DOEN, Voor onze opdrachtgever die gespecialiseerd is in duurzame energie zijn we op zoek naar een Supervisor Klantcontact Jouw nieuwe werkgever heeft de hele huurderswerving voor het installeren van zonnepanelen van woningcorporaties overgenomen Dit houdt in dat jij samen met jouw teamleden contact opneemt met sociale huurders om ze te enthousiasmeren voor de installatie f het rent van zonnepanelen Hierbij garandeert jouw werkgever besparing op de energiekosten",Full-time,,https://nl.linkedin.com/jobs/view/supervisor-callcenter-at-arto-recruitment-2308364779?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=i0rh2McrS%2FAkDsJDrwiT%2BQ%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
4,rent,LinkedIn,2293380332,Schoonmaker - Huishoudelijke hulp 3 tot 24 uur per week te Amsterdam,njxfUSODNhHDfvgDkamF6Q==,Bring at Work,"Amsterdam, North Holland, Netherlands",['Hospitality'],"Wil jij aan de slag als schoonmaker bij mensen thuis Ben je op zoek naar een baan voor langere tijd en ben je goed in schoonmaken Wij zoeken schoonmakers tussen de 3 en 24 uur per week bij de functie van Huishoudelijke Hulp in Amsterdam, , Als schoonmaker Huishoudelijke hulp ben je verantwoordelijk voor de wekelijkse schoonmaak bij mensen thuis Je plant jezelf in bij mensen bij jou in de buurt Je wordt ingedeeld in je eigen wijk buurt en kan zelf aangegeven wanneer je wil werken Jouw belangrijkste taken zijn stoffen, stofzuigen en schoonmaken van sanitair en keuken, maar ook was en strijkwerk, , Een dienst duurt ongeveer 2 a 3 uurtjes en je maakt gemiddeld bij 2 mensen per dag schoon, soms 3, , Je eerste dienst is om 0900 en je kan ingedeeld worden in de ochtend, middag of namiddag Je bent maximaal 1700 uur klaar met werken, , Als jij alleen ochtenden of middagen kan werken in dit ook in te delen, omdat je zelf aangeeft wanneer je wil werken, , Je vind het leuk om schoon te maken of bent hier gewoon goed in Je hebt daarnaast een luisterend oor en vind het leuk om met de mensen waar je over de vloer komt in contact te komen, , Tussen de diensten door ga je op de fiets naar je volgende client, , Functieeisen, , , , Bedrijfsomschrijving, , Je gaat aan de slag in je eigen wijk of buurt en hoeft dus met de fiets niet ver te reizen Je maakt bij mensen thuis schoon en hebt soms de zelfde clienten maar ook vaak nieuwe, , Arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2293380332?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc146488d-0429-4773-bfcd-d11a537c5cd0%3Fjid%3Db66b56d1fcc9ab2f3dc2c487299d2f7e43d20c36cf5dda78970fb9d5a6466712%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=S6rd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/schoonmaker-huishoudelijke-hulp-3-tot-24-uur-per-week-te-amsterdam-at-bring-at-work-2293380332?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=njxfUSODNhHDfvgDkamF6Q%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
5,rent,LinkedIn,2281518079,Open sollicitatie,DylQM6ik6nqQckSnlMTp0g==,Savills,"Amsterdam, North Holland, Netherlands",['Real Estate'],"Open sollicitatie, Afdeling Agency, , FULLTIME, AMSTERDAM, , Is er op dit moment geen passende vacature voor jou, maar wil je wel graag werken in het Agency team van Savills Stuur dan een open sollicitatie Wij staan altijd open voor nieuw talent, , , Stuur je cv en een korte motivatie, waarin je uitlegt naar wat voor functie je op zoek bent en waarom je wilt werken bij Savills, , , De afdeling Agency helpt opdrachtgevers bij het verrent van commercieel vastgoed De afdeling is gevestigd in Amsterdam en Utrecht en bestaat uit Leasing, Tenant Representation, Midcap en, , , Begin je net met werken of heb je al enige jaren ervaring Waar je ook staat in je carriere, met het trainingsaanbod en de opleidingsmogelijkheden van Savills staat jouw ontwikkeling nooit stil, , , In een internationale werkomgeving waar eigen inbreng wordt gehoord en samenwerking, kwaliteit, persoonlijke ontwikkeling en humor centraal staan, , , , Ben je benieuwd wat Savills te bieden heeft of wil je meer informatie over de afdeling Neem dan contact op met Annejet Remmelzwaal via, , , , , Savills is een wereldwijde vastgoeddienstverlener met 600 kantoren en 39000 werknemers, in meer dan 70 landen Ons internationale netwerk en onze expertise is echter niet hetgeen ons onderscheidt Wij geloven dat het uiteindelijk mensen zijn die het verschil maken en zorgen voor een langdurige en optimale samenwerking, , Savills, Property starts with people",Full-time,https://www.linkedin.com/jobs/view/externalApply/2281518079?url=https%3A%2F%2Fcarriere%2Esavills%2Enl%2Fopen-sollicitatie-4%2Fnl&urlHash=EfGR&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/open-sollicitatie-at-savills-2281518079?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=DylQM6ik6nqQckSnlMTp0g%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
6,rent,LinkedIn,2320605602,Rondrijden en lekker verdienen,UTUTSbm9Wn+HZperp2sCtg==,Algemeen,"Zaanstad, North Holland, Netherlands","['Restaurants', 'Staffing and Recruiting', 'Hospitality']","Bedrijfsprofiel, , XL Studenten Uitzendbureau is voor haar opdrachtgever op zoek naar, , Rondrijden en lekker verdienen  Tijdelijk parttime  fulltime  Heel Nederland, , Zoek jij per direct een goedbetaalde bijbaan Lees snel verder, , Vacature informatie, , Voor onze opdrachtgever zoeken wij enthousiaste medewerkers die houden van autorijden en een beetje handig zijn Het bedrijf waar je voor gaat werken is gespecialiseerd in slimme oplossingen voor IDverificatie, , Jij gaat voor deze opdrachtgever langs verschillende klanten rijden door heel Nederland, startend vanaf Amsterdam, om een speciale IDscanner te installeren op locatie Je krijgt hier uiteraard een korte training voor Verder is het natuurlijk handig als jij een beetje technisch bent, , Je kan hier al per direct starten, en de komende twee  drie weken tot wel vijf dagen in de week aan de slag van 0900u tot 1700u Je verdient hier wel E12,98 per uur Het is een voordeel als jij beschikt over eigen vervoer, zodat je lekker in je eigen wagen kan rondcrossen, , Werkzaamheden, , , , Wij zoeken, , , , Wij bieden, , , , Deel deze vacature met je vrienden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320605602?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-5700524215861335168%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=DRa5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rondrijden-en-lekker-verdienen-at-algemeen-2320605602?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=UTUTSbm9Wn%2BHZperp2sCtg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
7,rent,LinkedIn,2316342058,Supervisor Klantcontact,iDGGn2Shlq6r9cgZocmRzw==,ARTORecruitment,"Amsterdam, North Holland, Netherlands",None,"Algemene omschrijving, , Bedrijfsomschrijving, Als er n vakgebied in een stroomversnelling zit, is het wel die van hernieuwbare duurzame energie Wind, water zon Ze helpen om de fossiele brandstoffen binnen afzienbare tijd overbodig te maken Onze opdrachtgever is dagelijks bezig met vernieuwingen op het gebied van zogenaamde solaire systemen Een snelle manier voor bedrijven, overheidsinstellingen en particulieren om bij te dragen aan die nieuwe wereld Aandacht en focus ligt met name op de woningcorporaties Voor de woningcorporaties in een straal van 5075 kilometer rondom Amsterdam worden veel zonnepanelen , Naast inhoudelijke kennis, wordt sterk ingezet op persoonlijke groei Om een omgeving te creren waar mensen op hun plek vallen, hun talenten optimaal kunnen inzetten en laten groeien, , Voor onze opdrachtgever die gespecialiseerd is in duurzame energie zijn we op zoek naar een Supervisor Klantcontact Jouw nieuwe werkgever heeft de hele huurderswerving voor het installeren van zonnepanelen van woningcorporaties overgenomen Dit houdt in dat jij samen met jouw teamleden contact opneemt met sociale huurders om ze te enthousiasmeren voor de installatie f het rent van zonnepanelen Hierbij garandeert jouw werkgever besparing op de , Jij stimuleert en motiveert dagelijks jouw medewerkers zodat zij met alle enthousiasme de klanten te woord staan Samen met jouw team stel je een doel voor de dagavond, waarna jullie zoveel mogelijk huurders gaan enthousiasmeren voor deze mooie projecten Jij rapporteert het aantal handtekeningen die binnen zijn gehaald aan het einde van de dag aan jouw leidinggevende en bent tevens verantwoordelijk voor de werkverdeling Daarbij zorg je ervoor dat je de statussen van de handtekening nauwkeurig bijhoudt en bijstuurt waar nodig Wat jou werk uitdagend maakt is het feit dat je mee mag denken met de acties in overleg met de campagne manager Zo gaan jullie met een eigen Zonnebus naar de huurders toe om uitleg te geven over het rent van zonnepanelen, , Met jouw leidinggevende kwaliteiten zorg je ervoor dat het team op een dienstverlenende maar een overtuigende manier het aantal huurders voor zonnepanelen verhoogt Daarnaast bezit je over de volgende kwaliteiten, , , , , Gestelde eisen, , Voor de volledige vacature klik op de sollicitatiebutton Je wordt doorgestuurd naar een externe website",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316342058?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-2235727901484718634%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=14JF&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supervisor-klantcontact-at-artorecruitment-2316342058?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=iDGGn2Shlq6r9cgZocmRzw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
8,rent,LinkedIn,2307150961,Waarnemend Fysiotherapeut IJburg,JynJhegl9WAElSOx4ANVjQ==,Ons Tweede Thuis,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Wat ga je doen, , Als fysiotherapeut ben je verantwoordelijk voor het opstellen, invullen en uitvoeren van het fysiotherapeutisch behandelplan Je werkt nauw samen met andere disciplines Daarnaast heeft de fysiotherapeut een adviserende en begeleidende rol naar het personeel, , Waar kom je te werken als Waarnemend Fysiotherapeut IJburg, , Je komt te werken op de locaties de Meijboom en De Veste Beiden liggen in de woonwijk IJburg Op de Meijboom wonen 25 clinten die 24uurs zorg krijgen, inpandig is een oefenzaal aanwezig Op de Veste wonen 19 clinten met een ernstige lichamelijke beperking Zij rent een woning van de woningcorporatie Het zorgteam van De Veste is 24 uur per dag beschikbaar vanuit het zorgsteunpunt in het gebouw om de zorg en begeleiding te bieden Bij het woonblok is ook een paramedisch centrum, , levert in Amsterdam op 7 verschillende locaties zorg aan zelfstandig wonende clinten met een complexe lichamelijke handicap enof NAH Niet Aangeboren Hersenletsel, , Wie ben jij, , , , Wat wij bieden, , De functie is ingedeeld in schaal 55 van de CAO Gehandicaptenzorg en bedraagt maximaal 4082, bij een volledig dienstverband van 36 uur per week Het betreft een tijdelijk contract voor minimaal 6 weken voor 2436 uur per week",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307150961?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fdc3b996c-5a03-41f5-8f41-29691ad56fdf%3Fjid%3De8f5404f735614c88cf16b79777d3f71130c86543031a3b26cda31c7bbad2706%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=zilE&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/waarnemend-fysiotherapeut-ijburg-at-ons-tweede-thuis-2307150961?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=JynJhegl9WAElSOx4ANVjQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
9,rent,LinkedIn,2289666082,Medewerker huuradministratie pt,0/+x62uGjg6qiUAqs4F1ng==,Uitzendbureaunl,"Beverwijk, North Holland, Netherlands","['Internet', 'Machinery', 'Staffing and Recruiting']","Het dagelijks verwerken van de contractmutaties in de verhuuradministratie, Het maandelijks indexeren, prolongeren en factureren van de rent, Het verzorgen van de huurincassos, , Verantwoordelijkheden, , , Een vaste, parttime positie bij een dynamische organisatie in het vastgoed Eerst een jaarcontract met kans op verlenging, Ze bieden oa reiskosten vergoeding en 25 vakantiedagen Opleidingsmogelijkheden in overleg, , Vaardigheden, , Opleidingervaring, , , , Opleiding, , MBO, , Over de werkgever, , Bedrijf in vastgoed in omgeving van Amsterdam, Schiphol, Leiden, Haarlem, , Dit van oorsprong familiebedrijft ontwikkelt en beheert sinds de jaren 50 commercieel vastgoed voor de eigen portefeuille De nadruk ligt hierbij op het ontwikkelen van supermarktlocaties of complete winkelgebieden Door de achtergrond in de supermarktbranche hebben zij een sterk netwerk binnen de retail sector en zijn zij ervaren met het creren van een optimale winkelomgeving Zij zijn op dit moment bezig met het moderniseren van hun organisatie en zoeken iemand die goed met deze veranderingen mee kan bewegen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2289666082?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F3846474402414755448%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=46gH&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-huuradministratie-pt-at-uitzendbureau-nl-2289666082?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=0%2F%2Bx62uGjg6qiUAqs4F1ng%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
10,rent,LinkedIn,2296671933,Service Adviseur Premium – Amsterdam,ZUv5obDp//mHb8QA8JawxA==,24People,"Amsterdam, North Holland, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Transportation/', 'Trucking/', 'Railroad']","Geplaatst op 1659h in Automotive, Groot Amsterdam, NoordHolland, Techniek door wise, , Functie Omschrijving, , Wij ijn op zoek naar een segment Ben jij maar tegelijkertijd ook  Dan zijn wij op zoek naar jou, , In de functie van Service Adviseur Premium ben jij de spil binnen dit mooie bedrijf Op de werkplaats receptie ben jij een commercile GASTHEER of GASTVROUW en zorg je ervoor dat het werkplaatsbezoek een uitstekende indruk achter laat Je informeert de klant over de voortgang van het onderhoud, pleegt overleg over de uit te voeren werkzaamheden en adviseert over de technische aspecten Daarnaast heb je gedurende het onderhoudsproces contact met de werkplaats en het magazijn over alle mogelijke zaken rondom de reparatie en het onderhoud Door je servicegerichtheid weet je een langdurige relatie met de klant op te bouwen en te behouden, , Functie eisen, , , , , , , , , , , , Bedrijfsprofiel, , De belangrijkste drijfveer van jouw nieuwe werkgever is dat de , met zijn  haar auto maar vooral ook met hen als partner in mobiliteit Het aanbod is veelzijdig, je kunt terecht voor kopen, leasen, rent, aanpassingen aan autos, onderhoud en reparaties Of u nu een nieuwe of gebruikte koopt, least of huurt, de producten zijn altijd van de beste kwaliteit en passend bij het Premium merk De service is op maat gesneden, , Bedrijfscultuur, , , , , Arbeidsvoorwaarden, , Whats in it for me Je werkt voor een van de mooiste sportieve automerken ter wereld  Je wordt onderdeel van een financieel zeer stabiele organisatie en daarmee een zeer zekere werkgever voor je, , , , , , Locatie, , Amsterdam, , Solliciteer vandaag nog, , Stuur mij Ronald Knuit van 24Peoplenl jouw CV en we gaan direct met je aan de slag Solliciteer via de button of stuur een mail naar ronaldknuit24peoplenl Voor meer informatie kun je me altijd bellen mijn telefoonmummer is 06  218 211 32",Full-time,https://www.linkedin.com/jobs/view/externalApply/2296671933?url=https%3A%2F%2F24people%2Enl%2Fservice-adviseur-premium-amsterdam%2F&urlHash=kahy&refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-adviseur-premium-%E2%80%93-amsterdam-at-24people-uitzenden-werving-selectie-detacheren-payroll-2296671933?refId=a15d4651-3605-48f1-96b9-ad110bcd7223&trackingId=ZUv5obDp%2F%2FmHb8QA8JawxA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,24/11/2020,30/11/2020
