Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date
serving,Indeed,pj_55d523fb131ba780,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0DcTI8f5Sh9pt3KWe6NtL1KztrnQurLeuJV1moNYirrFi3pcO6oAhYLtwvfd2Ca5h8hgSzd7sv5O5mDOE8LYc7LKLlMRSv4O79bhVzayOcraU8VMK1aeSiNfIe_oPuslt_6XoTXVh1SNE1jGxbScUf7PTD8aDqmnynarM0CHfguceb4i9GYdNQhDFXf3F0NfA600zUz_xFwMgOk6w27alF0ql5FamPK_6V_8KA8vBSObjcx8FKF0dVf9iaTGeuGygePMKQlPNa2PUcaX6EMs7l9Q7a03vp6fwP3s6nGv7Gpm0V4E4pe9OJmK7mvbtrGVr6eUufg9MCzhxtjR4fVghA_lPjL-7Bt7AvTGxqO_tfLS4-lzokUzOrDgHH9RR_mh0qariWM6eZ7ZjmwhA54Jl0thzRYezMHWLma_1sbBNWGOrb_Qbcj3w9pH000feRmmwobifzz50QlXQ==&p=0&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,pj_aba76a1f63bba6ba,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0DLPWfemW965-5YLJvh-FMZcBlhCO84jrEWM9F6EQqpS-cEGS8iY-9zzZXKkj5cZFE7uhyNVxJDzQAqsPUu9S1gk9zsskTEV9n_O3QpsuyxSfzn9llnTprj0aTIChobyAGVLlpFsfRA6sj7LBI-TmOQI1o5WRAujv1XS1cUEli7t4TMmY9z3Sbk8uaw73KFxAfBHeCuVa5kBaafGrOdK1smBqFi_SGV-RRQn_HsQZo3ZED6OkkgTmx3U8J5KCSMO_t_Vcz8AgrSML7xuG1TlgIHYD5EdM127g50PSt_AyBAjnBPQaympHyNembl8m8g0kx1K02bA_6EhHXzfQMioeLgwK_Q21_32veDcW8HHmZhGHwfWPXgAOCATVdfcdu5r4tq3B7rI6MjAf-RfpPs1jtBKoloIAgfG4dr9Xd8nETOi1CC_iegI7mP36NyFLU7bZ7J6km6VfDGC8VAhigL6vOjTjihvqh6x_Uhtqbh6mBVXq6Lr-ux9KJl2yLYEFyHEc2jsfgjy1MVOOZaEpMjhwim8X8f-VGYJpe3HDD5LM-Dz-PzMZpApg3OOMapp8__QDfdrMwDdn3OsDEEd3AWaER62H69U-KQSQtA-yxw-UepPw==&p=1&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,pj_04ec7362e16ff34f,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0AIvxgfZlZPhMMof6OESzYg65rUk49dxrmsodbKew5kKQmOFWjcBkasuNtMlEETpxn9teJHrNdJlOBpznWsv4_VI3cSQyJHC4B9p5E-9QiPtbPIvjmEcgOg4EWSksR-_WmWFcJGiqfQL7unYtMz0sa1A37LEg7ZCkG7u2n2VBo1oQPKJrS6Gb31ptKfu2aZ8NRH4oNRQglRrWU2UmC4vxSSsOA0IsTDRQNa3hj_vw_gHMvM3Xjs9DXcUj3I3sGkMRClbqS5udXE2Hrn0Lptg2eRUz58_Le_isd39KBOb9VGi6MSUNcr10qcJM9DULNXzvfAZ1jb1vTwa7OdckmOOblp7s3_Gm2S4qloqvZH6YgDKQNllF6qtTxBZPUvust-us7wN1Cyzfx26WFRNtlWxJw6Q01l7UyBjuM07_1DfnjsfEiylcTTzXOrHRGs7hKUcc37dP6o2Mfch6eMAHNBUeRhrQpHAn4ZZbeuhU-lJXXwAVMl-IYCF7cr8y-rcgldV1aPwoXe-IOzHG0vw5QQo1_Tap0VJkdmfn9HJ0p2oZAvKLEaKuNK0a0HTjGRWg8_Azsic3lUj5TAbAoyRIcFiJMaAlBw0S4LBPrhT4iPM6P_jsvKEUEzAqGR_VcGD8IaC4f8XI8bzESn-6eXCj0fjJDRR5n6FPm3Ud3m5H9X7e0ESx_BCWuTy49mn6b97ReROz9VgyOLWwcRbURGjt9mHCzulZ401e1GH3ccu0-AF25bJ96K-yBGQkQ1_OGvghdPA9g7cLBNeTeFX6dkUIQ4NIkJ05h8X0xRtg0Y1x1Ehs8SKw==&p=2&fvj=0&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,pj_73178394327eb48f,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BzgOo0nUfFRcQfodzFsaiYKZcr3KtrBwa-KyFb0A5l-2AhoZgZREHVmrmSllzy1jcAJduTTVPCQFE8HKCNggn6qiTvhACefRveonMNR2rIVIqV-F6QM4FoUeU-dmD1t72v1gCXVYRkKss4m4ac7PZLm_N0HIFsAWrDEuSrVe6K5kkFb07clBCYg4z0-sR4OWI_B4Jr4jK0F9wU40ZescX5GNf9N5MNEl6IKvwv704Doa5bKRbgpCZTRPK1qsGWl1J7ySOSg3_5GU_GFmVKYaIvkn68sERfrVQBsca6A8wsoGseuDZVpb4BSrhBNGAaVgvD01uhP0CYcz_UPLwhchr4PYy9T80WD7z3eXUsLBO_RApzQbWzD2926nW8WwOJMPIvn7mV6dz1pclU1p9_wRIIzL2OwbCyirw8OUghUVP8eA1mwnUBk8Vic5dU7m7GS7mlFav-zVoAckYT9q7SuCytgZTQe2o12-IyNKC0ILCGVBeYduVNNsrnIujT8ulVIWKUljRqJTZkrZKsTcIKu0ecfC1HuHSCV7phnDb5VzEt7xd6e-JtYioVsHl6HWJnAmwlaixVULsko4aZBqIbwabC_rbouJ4UfIYBq1uY6UuFGXWevbk597QWrQ31OxWaOS_NGInPSz9j0PLHVufe3WR5SfIIZEYGBpfAJArVJ_1Zho5Vrhc0OSMIAwO5PUNbITaHzmPC3m73Am8ySOquRKX4Ezyg2T8N1hfr7-n7jx_wl03VOHaArXtdRrgC5i6i2jVPLKc9_pfJNpgHtmoYuFf0AHJ5rtG2YZTvXK_Wyu7l9uuJ-kR52ULgOO7LSkh12HQDbVMnenI92r0m_po1aFL1CELA6Qw0COn_QutmWjeDkdgeTXJ3H0RzuhiBLW7UuNgvd9OEZcvnmAgBlUNQqBKn27ke7dqq04vhXnGyt-KbQaCub7zhDEyU&p=3&fvj=0&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,p_a2d1f1b10e1ede95,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=a2d1f1b10e1ede95&fccid=3ae4d86cb4dda397&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,p_0842febc22728057,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=0842febc22728057&fccid=8bb0034d10cf5e3c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,p_c5a674f00565f187,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=c5a674f00565f187&fccid=5c439b65a0bd045b&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,p_ff7ca04a5fde43c4,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=ff7ca04a5fde43c4&fccid=4cf8445e58c2295b&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,p_26e43283dbd06b5a,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=26e43283dbd06b5a&fccid=be293f1def77a963&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
serving,Indeed,p_afdeb746f1432924,Assembly Technician,Optics11 Life BV, Amsterdam Zuid,"Do you want to be part of a dynamic fast developing company, where you will be working on manufacturing fiber based probes for our Life Science department?About the company: Optics11 was founded in 2011 as a university spin-off. With a promising unique technology based on optical fiber sensing, a first product was built in 2012: an extremely sensitive measurement device that could break new ground in the field of tissue engineering and regenerative medicine. After this product, many more unique sensing products were developed and put in the market. The company now has two business units serving different markets with different products: Optics11 Life and Optics11 Industrial Sensing. Over the last years the company has grown rapidly and employs over 50 professionals, with an installed base of successful products all over the world.About the position: You will be making the highly sensitive optical fiber probes for our life science products.These are made of very small components, and assembled using a microscope, and using high tech tools such as a laser ablation system, and various optical fiber tools.Other parts of the job include calibrating the probes, administration and quality control.The ideal candidate: Has secondary vocational education (MBO) level of working and thinking;Has very good fine mechanical skills (is able to work with very small parts);Experienced in working under a microscope;Is precise and can work in a structured way (including documentation);Has a good command of the English language in speech and writing;Good administrative and organizational skills;Experience with optical fiber optic systems is a plus.Are you: Willing to learn on the job;Excited to work in a constantly changing environment ;Not easily frustrated when things are not going according to plan;Fulltime available;Looking for a long-term commitment.What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to develop yourself.Do you think that you are a good match for Optics11 Life? Let’s get in touch!Please send in your resume and motivation letter via the email address on our website or apply via IndeedContractduur 12 maandenJob Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=afdeb746f1432924&fccid=8bb0034d10cf5e3c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-05-02
