Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,social worker,LinkedIn,2282674245,Sociaal Maatschappelijk Werker (Frans sprekend),ms7p8r/BRGu55g1GicfkzA==,Accord,"Laren, North Holland, Netherlands",['Hospital & Health Care'],"IntroductieHeb jij een sociaal maatschappelijk achtergrond en ben jij op zoek naar een flexibele baan voor 4 a 8 uur met uitzicht op meer, waarin je zelf de tijden kan indelen En spreek je naast Nederlands ook Frans Dan hebben wij de perfecte baan voor jou",Part-time,,https://nl.linkedin.com/jobs/view/sociaal-maatschappelijk-werker-frans-sprekend-at-accord-2282674245?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
2,social worker,LinkedIn,2305878182,social worker Doelgroep 0-100 jaar,UC0Yb++kRAad0rnn7D8uuw==,MEE NL,"Diemen, North Holland, Netherlands",None,"Wat ga je doenAls social worker in de rol van onafhankelijke clintondersteuner ga je aan de slag met diverse hulpvragen binnen de doelgroep 0100 jaar, die via clint, netwerk enof samenwerkingspartners bij ons binnen komen Hierop volgt een huisbezoek bij de clintoudersmantelzorgers, waarbij de hulpvraag van de clint centraal staat In een samenwerkingsplan worden doelen geformuleerd waarbij de clint zelf keuzes maakt Je geeft advies, informatie en ondersteuning op maat Je kijkt wat iemand zelf kan en welke vragen er liggen met als doel de zelfredzaamheid te bevorderen Je zet de clint in zijn kracht Zowel de clint als de problematiek is elke keer verschillend, wat jouw werk zeer afwisselend en echt maatwerk maaktBinnen MEE zijn wij altijd op zoek naar goede clintondersteuners, binnen de gemeente Amsterdam of randgemeenten rondom Amsterdam Interesse Lees dan snel verderAls onafhankelijk clintondersteuner beschik jij over sterke en tactische communicatieve vaardigheden, je bent betrokken en beschikt over een grote mate van inlevingsvermogen Daarnaast krijg je veel vrijheid en ben je de baas over je eigen agenda Dat betekent ook dat je zelfstandig kan werken en goed kan schakelen binnen de verschillende aspecten van het werkMEE investeert in zijn mensen Training  ontwikkeling is een vast gegeven Onder andere 3 keer per jaar organiseren wij MEEdagen waarbij inhoud, training en kennis delen centraal staat Daarnaast krijg je bij MEE ook echt de kans om nieuwe ideen te ontwikkelen en te ontplooien Hierin krijg je ruimte en support om jezelf te ontwikkelenMEE maakt meedoen mogelijk Ons ideaal is een samenleving waarin iedereen meedoet MEE ondersteunt mensen met een beperking, bijvoorbeeld een lichamelijke, psychische, chronische ziekte of een vorm van autisme MEE heeft jarenlange ervaring in het versterken van de eigen kracht van mensen en hun netwerkIedereen in Nederland heeft wettelijk recht op onafhankelijke clintondersteuning MEE vindt het daarin belangrijk om echt naast de clintoudersmantelzorgers te staan Een persoonlijke en praktische aanpak staat hierin centraalJe vindt ons in sociale wijkteams, loketten of de sociale basis binnen gemeentes Onze professionals hebben afhankelijk van hun specialisme een ondersteunings, hulpverlenings of regisseursfunctieAls werkgever biedt MEE de mogelijkheid om vanuit eigen inzicht en vrijheid te werken MEE staat voor deskundigheid, creativiteit, onafhankelijkheid en ondernemerschap Wij investeren in kennis, hebben jaren lang ervaring en stellen de mens centraal Daarin richten we ons niet alleen op de kwetsbare medemens maar ook op jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305878182?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D11ead7d21985%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddfgadb9adf7adc9dd9badcgddeaddffdd73de8cdcbfec3ddcg3e&urlHash=_uoz&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-werker-doelgroep-0-100-jaar-at-mee-nl-2305878182?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
3,social worker,LinkedIn,2278295747,Sociaal Pedagogisch Werker,7qzHv24bTTmXUYu5enkXFw==,Kenter Jeugdhulp,"Haarlem, North Holland, Netherlands",['Legal Services'],"Kenter Jeugdhulp zoekt een Sociaal Pedagogisch Werker te Haarlem HBO geplaatst opSociaal Pedagogisch Werker invalIn Spaarnezicht zijn wij per direct opzoek naar een collega, die niet voor een kleintje vervaard is en die het fantastisch vindt om met de jongeren in Spaarnezicht op te trekken, hen te ondersteunen en te motiveren in hun trajectSociaal Jongerenpension Spaarnezicht biedt 24 uurs opvang voor en begeleiding aan maximaal 22 dak en thuisloze jongeren, in de leeftijd van 18 tm 22 jaar, die te maken hebben met complexe meervoudige problematiek Zij zijn afkomstig uit de regio Midden en ZuidKennemerland en de Haarlemmermeer Het verblijf in Spaarnezicht bestaat uit Bed, Brood, Bad en Begeleiding De begeleiding bestaat uit het samen met de jongeren kijken naar wat zij nodig denken te hebben om de regie enigszins over het eigen leven terug te krijgen Daarbij wordt nauw samengewerkt met het CJG en een ieder die van betekenis kan zijn zoals het FACTJeugdteam, de Brijder, het RMC etc Tijdens het verblijf wordt gezamenlijk gekeken naar passende vervolghuisvestingHet betreft de functie Sociaal Pedagogisch Werker inval voor 16 uur per week, gericht op de woonbegeleiding Je hebt onregelmatige diensten Je komt te werken in dynamisch leuk teamDe functieJe biedt woonbegeleiding en bent verantwoordelijk voor een optimaal leefklimaat en kunt daarin de gedrags en huisregels met souplesse en humor toepassen De individuele trajectbegeleider zet hulpvragen om in een begeleidingsplan, jij bent ondersteunend aan de uitvoering van dit begeleidingsplanWij vragenJe hebt een HBO denk en werkniveau Je vindt het een uitdaging om op te trekken met 22 jongeren met verschillende complexe problematiek Je stelt je grenzen, maar je kunt je ook goed inleven Een open houding is een vereiste Je bent ondernemend en initiatiefrijk Je kunt buiten de geigende paden denken Goede mondelinge en schriftelijke uitdrukkingsvaardigheid, zelfstandigheid, enthousiasme en gevoel voor humor zijn belangrijkOns aanbodWij bieden een collegiale en ondersteunende werksfeer met veel mogelijkheden voor het bevorderen van je eigen deskundigheid Arbeidsvoorwaarden conform CAO Welzijn schaal 6 min  2291,  en max  3297, bruto per maand op fulltime basis Dit betreft een dienstverband voor de duur van 1 jaar Voor indiensttreding vragen wij een Verklaring Omtrent GedragVoor meer informatie kun je contact opnemen met Ingrid Lunter teamleider, telInteresse in de functie van Sociaal Pedagogisch Werker bij Kenter Jeugdhulp regio HaarlemReageer nu met je CV en motivatie via de solliciteer buttonAcquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278295747?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F25807dc5-2fab-4ec9-8675-d61571538f7a%3Fjid%3De0b51547b62aae5714b98b81acb0661d90f102ff99673bad086339ce07d0dc86%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D404&urlHash=vNNQ&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-pedagogisch-werker-at-kenter-jeugdhulp-2278295747?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
4,social worker,LinkedIn,2299858122,Sociaal Pedagogisch Werker,+fSuA3L5Qk6cY2WBrTkChA==,Parnassia Groep,"Den Haag, South Holland, Netherlands","['Mental Health Care', 'Health, Wellness and Fitness', 'Hospital & Health Care']","Sociaal Pedagogisch WerkerOok in coronatijd werven we door Parnassia in Den Haag zoekt voor de afdeling Langdurig Intensieve Behandeling een sociaal pedagogisch werkerBen jij een gedreven sociaal pedagogisch werker op zoek naar een veelzijdige werkplekVoor de afdeling Langdurig Intensieve Behandeling LIB van Parnassia, zijn wij op zoek naar een gedreven sociaal pedagogisch medewerker die een uitdaging ziet in het werken binnen een hecht en multidisciplinair team, dat volop in ontwikkeling is in het kader van Herstel Gericht Organiseren, ART en Rijk LevenWij bieden 24uurs begeleiding van patinten binnen een gesloten setting, die zeer intensieve zorg en begeleiding nodig hebben op verschillende levensgebieden zoals persoonlijke verzorging, sociale redzaamheid, dagbesteding en maatschappelijke zaken Het betreft een bijzondere doelgroep met een complexe zorgvraag Afdeling LIB heeft ook plaats voor 3 crisisbeddenOnze missie is het verbeteren van de kwaliteit van leven voor patinten, die langdurig klinische zorg nodig hebben en het bieden van een veilig gastvrij leefklimaat binnen een gesloten afdeling Wij willen dit mede bereiken door een open en transparante houding We zijn een dynamisch, gemleerd team, dat door nauwe samenwerking graag vooruit kijkt en dat de patint centraal steltDe afdeling bevindt zich op een terrein aan de rand van Den Haag Het gebouw bestaat uit vier afdelingen, twee gesloten, n besloten en n open afdeling Er is parkeergelegenheid, een fietsenhok en bus 31 stopt voor de deurOm in aanmerking te komen voor deze functie is een positieve Verklaring Omtrent Gedrag VOG vereist Het natrekken van referenties, integriteitscontrole via het Waarschuwingsregister Zorg  Welzijn en het controleren van diplomas maken onderdeel uit van de sollicitatieprocedureWij bieden onze collegas gevarieerd en zinvol werk in een professionele en prettige werkomgeving Daarbij hoort natuurlijk een goed pakket aan arbeidsvoorwaarden conform cao GGZ Klik voor meer informatie over onze arbeidsvoorwaardenHet betreft de functieBegeleider 4voor 2436 uurJe krijgt een contract voor onbepaalde tijd Het salaris bedraagt minimaal  2357, en maximaal  3326, FWG 45 bruto per maand op basis van een werkweek van 36 uuris gevestigd in de regios Haaglanden en NoordHolland Wij behandelen en begeleiden volwassenen met ernstige psychiatrische aandoeningen EPA en ouderen met psychiatrische problemen of dementieis onderdeel van , een werkgever in de geestelijke gezondheidszorg die streeft naar een inclusieve cultuur met gelijke kansen voor iedereen We maken geen onderscheid op gebied van geslacht, geloof, sociale achtergrond, geaardheid of etniciteit Wij vinden het belangrijk om van en mt elkaar te leren, dat iedereen zichzelf kan zijn en een ieder zich gewaardeerd voelt Bij ons kun je bijdragen aan tal van specialisaties, wetenschappelijke onderzoeken en via onze eigen Parnassia Groep Academie gebruik maken van geaccrediteerde opleidingsmogelijkheden Alleen in een werkomgeving waarin we openstaan voor verschillen, halen we het beste uit onszelf, kunnen we creatieve en innovatieve oplossingen bieden voor onze patinten en succesvol zijnBen je enthousiast geworden door bovenstaande en vraag je je af hoe een dag op de afdeling eruit ziet, dan kan je altijd een dagdeel meelopenHeb je vragen of wil je meer informatie over deze vacature Neem dan contact op met Juno van Bruggen, begeleider, via 0624713348pdfSolliciteer direct",Contract,https://www.linkedin.com/jobs/view/externalApply/2299858122?url=https%3A%2F%2Fwww%2Eparnassiagroep%2Enl%2Fwerken-en-leren%2Fvacatures%2F-%2Fvid-94503-sociaal-pedagogisch-werker&urlHash=P-Il&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-pedagogisch-werker-at-parnassia-groep-2299858122?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
5,social worker,LinkedIn,2303475071,Sociaal Maatschappelijke Werker (Frans sprekend) | Laren (NH) | Accord,K5RU+W1FSU6QCN3BIp+Jtw==,Werkzoekennl,"Laren, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Accord, locatie Laren NHVoor een persoon uit Laren zijn wij op zoek naar iemand met een sociaal maatschappelijke achtergrond die Frans kan spreken Deze persoon heeft persoonlijke begeleiding nodig bij dagelijkse activiteiten voor ongeveer 4 a 8 uur per week Echter bestaat de kans dat dit in de toekomst wordt gentensiveerd Deze uren die je wilt werken zijn vrij in te delen van maandag tm vrijdag tussen 0800 en 1800 Financile en administratieve ondersteuning Boodschappen doen Leren plannen Ondersteunen bij ingrijpende gebeurtenissen Oefenen van vaardigheden bijvoorbeeld koken of schoonmaken Persoonlijke hygine en veiligheid Sociaal maatschappelijke achtergrond Frans en Nederlands sprekend Woonachtig in de omgeving Laren Tenminste 8 uur beschikbaar van maandag tm vrijdag tussen 0800 en 1800,5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303475071?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F7791_accord%2Fvacatures%2F4926529_sociaal-maatschappelijke-werker-frans-sprekend%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%2Blaren%2B%2528nh%2529&urlHash=NJT-&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-maatschappelijke-werker-frans-sprekend-laren-nh-accord-at-werkzoeken-nl-2303475071?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
6,social worker,LinkedIn,2307610792,social worker,Ch1+WeFjSGm4N7uydh2Iug==,Perspectief Zutphen,"Groningen, Netherlands",['Nonprofit Organization Management']," Perspectief Zutphen is er voor alle inwoners van de gemeente Zutphen die tijdelijk ondersteuning nodig hebben Ons streven is dat alle mensen zich van betekenis, krachtig en veilig voelen Met onze ondersteuning dragen wij hier graag aan bij Onze aanpak is erop gericht dat inwoners, samen met hun netwerk, zo snel mogelijk op eigen kracht verder kunnen We werken vanuit drie sociale wijkteams met social workers, sociaal makelaars en sociaal beheerders",Part-time,https://www.linkedin.com/jobs/view/externalApply/2307610792?url=https%3A%2F%2Fltpx%2Enl%2FWYQ3k9p&urlHash=wH9B&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-werker-at-perspectief-zutphen-2307610792?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
7,social worker,LinkedIn,2293848415,social worker,rXPgvYkvRN233Vpmpl8dCg==,WijZijn Traverse Groep,Germany,['Religious Institutions'],"Werken bij WijZijn  WijZijn social workerssocial workerMaatschappelijke opvangOrganisatieWijZijn Traverse Groep werkt aan maatschappelijk welzijn in 7 gemeenten in WestBrabant en Tholen We zijn er voor alle inwoners, ongeacht hun leeftijd, achtergrond of beperking Op het gebied van financin, relaties, gezondheid, wonen, rouw en verlies geven we informatie, advies en ondersteuning Alles wat we doen is gericht op het weer zelfredzaam maken van mensen Daarnaast stimuleren we hen om zelf ook iets bij te dragen aan de samenleving Samen krijgen we meer voor elkaarMaatschappelijke opvangDe maatschappelijke opvang staat voor een belangrijke transformatie In samenwerking met de centrumgemeente Bergen op Zoom, woningcorporaties en zorgaanbieders is een plan van aanpak opgesteld met daarin extra maatregelen om dak en thuisloosheid in deze regio terug te dringen Hierin zijn de landelijke doelstellin",Full-time,https://www.linkedin.com/jobs/view/externalApply/2293848415?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc563408e-0c13-4d8f-9cff-c6c79ce87fbc%3Fjid%3Deef6d647dbe00f9d45bca0af82137f5dd98f0d51963db7f4a41e4ae126fd0df2%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D595&urlHash=JIh_&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-werker-at-wijzijn-traverse-groep-2293848415?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
8,social worker,LinkedIn,2294175789,social worker | 20 uur,DitpkIFLRA+76SaL1dEVHg==,Nederland Vacature Groep,"Drachten, Friesland, Netherlands",['Human Resources'],"De Maatschappelijke Onderneming Smallingerland de MOS is een brede welzijnsorganisatie We leveren een blijvende bijdrage aan een betrokken en actieve samenleving waarin iedereen mee kn en mg doen Dat doen we door het bieden van opvoedingsondersteuning en door invulling te geven aan wijkwerk, groepswerk en individueel werk Zo verbinden we mensen en organisaties aan elkaar, en geven er samen met vele vrijwilligers en inwoners zelf inhoud aanVoor de afdeling Welzijn zijn wij op zoek naar een enthousiaste, veelzijdige collega die het team Individueel Werk versterkt, die praktische en psychosociale ondersteuning biedt dmv coaching en presentie Kijkt samen met de burger naar wat voor hemhaar belangrijk is en wat wl kan en zich richt op het versterken van de eigen krachtJouw profielAanbodWil je meer informatie dan kun je contact opnemen met Wietske de Koe, manager Welzijn ai tel 0646157138 of wdekoemoswebnlJe reactie en CV kun je tm 19 november 2020 mailen via de sollicitatiebutton onder vermelding van vacature social workerDe gesprekken vinden plaats op 24 november 2020Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacatureSolliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294175789?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fsociaal-werker-20-uur-in-drachten%2F251815%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D19302&urlHash=LojJ&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-werker-20-uur-at-nederland-vacature-groep-2294175789?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
9,social worker,LinkedIn,2306125242,VOORWelzijn 540: social worker t.b.v. Opbouwwerk - The Hague,JoNHHa2KS4ysY/jim4OGGw==,XTRa AG,"The Hague, South Holland, Netherlands",['Information Technology and Services'],"Je bagageJe bent in het bezit van een HBO of WO diploma gericht op de welzijnsdienstverleningJe beschikt over aantoonbare werkervaring in het coachen van groepen en individuenWij bieden een uitdagende en afwisselende baan in een dynamische omgeving waarin het mogelijk is met elkaar successen te behalen Daarnaast biedt Voor welzijn arbeidsvoorwaarden waarbij aandacht is voor opleiding en ontplooiingsmogelijkheden en het beleid gericht is op duurzame inzetbaarheid De arbeidsvoorwaarden zijn conform CAO Sociaal Werk Je krijgt een arbeidsovereenkomst voor n jaar, met een mogelijkheid tot verlenging Salariring en rechtspositieregeling volgens CAO Sociaal Werk, schaal 8, maximaal  3742,00 bruto, op basis van een 36urige werkweek, afhankelijk van leeftijd, ervaring en opleiding Opname in het PFZWpensioenfonds is verplicht Nieuwe medewerkers dienen een verklaring omtrent gedrag VOG te overleggenGezien de bezetting van het team is het niet ondenkbaar dat je werkdagen in ieder geval de woensdag en vrijdag zijnVoor inhoudelijke vragen over de functie kun je contact opnemen met Sonnie Yildiz op telefoonnummer 0639812004 Meer informatie over Xtra en Voor welzijn is te vinden op httpswwwxtranloverxtrawerkmaatschappijenvoorwelzijnJe sollicitatiebrief met CV kun je onder vermelding van het vacaturenummer 540 tot en met 25 november 2020 per mail verzenden naar  Plaats in je brief ook via welk sociale media je ons hebt gevonden Brieven die na de sluitingsdatum worden ontvangen kunnen helaas niet meer in behandeling genomen wordenDe sollicitatiegesprekken staan gepland op 4 december 2020Deze functie wordt gelijktijdig intern en extern opengesteld Bij gelijke geschiktheid hebben interne kandidaten voorrang Ben je een interne kandidaat op dit moment in loondienst bij JongLeren, MEE ZHNVTV, Mooi Welzijn, Voor Welzijn, Xtra, Xtraplus, of Zebra Welzijn vermeld dan INTERN achter het vacaturenummerAcquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306125242?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D7b2c3b9aa54f%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cadegdde9add7ddd9adebdd7gadfaadffddb3deccacafec3ddcg3e&urlHash=-mwb&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/voorwelzijn-540-sociaal-werker-t-b-v-opbouwwerk-the-hague-at-xtra-ag-2306125242?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
10,social worker,LinkedIn,2279651160,social worker,SiX7O2/AQReIiUUN3lLmCw==,Maandag,"Maastricht, Limburg, Netherlands",['Staffing and Recruiting'],"Over de functieEen te brede opleiding Weinig baankansen Ik dacht het niet De vraag naar social workers op de arbeidsmarkt stijgt Er ontstaan steeds meer mogelijkheden binnen verschillende sectoren van de zorg Denk hierbij bijvoorbeeld aan projecten binnen de GGZ, jeugdzorg en de gehandicaptenzorg Vind je meerdere sectoren interessant Ook dan ben je bij Maandag aan het juiste adresBij maandag luisteren wij naar jou Je wensen, je dromen, je visie We willen het allemaal weten Samen gaan wij op zoek naar een project dat hierop aansluit Kies je bewust voor afwisseling, ontwikkeling en flexibiliteit Dan kunnen we ook nog kijken naar de mogelijkheid van een vast dienstverband binnen maandagWerken in de zorg is leuk en waardevol Maar zeker ook zwaar Je moet het maar kunnen Dat weten wij bij maandag Daarom zetten we er dan ook graag het een en ander tegenover Wat dacht je van een mooi salaris, goede arbeidsvoorwaarden en reiskostenvergoeding of zelfs een leaseauto Daarnaast ontvang je persoonlijke projectbegeleiding van je accountmanager en een luisterend oor van je recruiter Ook bieden wij verschillende trainings en opleidingsmogelijkheden aan Dit alles zodat jij jezelf kunt blijven ontplooien Want ook dt vinden wij belangrijkNieuwsgierig geworden Ik wel naar jou Voel je vrij om contact met mij op te nemen, ik vertel je met veel plezier meer over jouw mogelijkheden en over onze dienstverleningMaandag detacheert interim professionals in de publieke sector Dit doen we binnen de overheid, het onderwijs, de gezondheidszorg en bij woningcorporaties Onze professionals weten van aanpakken en bruisen van energie Dat soort interim professionals vind je bij MaandagSolliciterenHerken jij jezelf in dit profiel En lijkt werken bij Maandag je een mooie stap Solliciteer dan meteen Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279651160?url=https%3A%2F%2Fwww%2Emaandag%2Enl%2Fapplyjob%2F100037495%3Futm_campaign%3Djobslot%25257Cdo%25257Ca%25257Cao%26utm_content%3DZorg%26utm_source%3Dlinkedin%26utm_medium%3Djobboard-cpt%26utm_term%3D&urlHash=epWq&refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociaal-werker-at-maandag%C2%AE-2279651160?refId=33c0e3b6-e92b-4846-83ba-cb4d4e532e67&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,16/11/2020,20/11/2020
