Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,social work,LinkedIn,2325420131,Contentstrateeg - The Hague,Tzmabs0WQcS15ws/060kIg==,Ministerie van Economische Zaken en Klimaat,"The Hague, South Holland, Netherlands",None,"Functiexadomschrijving, , Het beeld dat mensen hebben van het ministerie van Sociale Zaken en Werkgelegenheid bepaalt hun houding richting ons beleid Dit benvloedt de manier waarop wij ons werk kunnen doen Een sterke reputatie geeft ons een licencetooperate Als contentstrateeg begrijp je als geen ander de kracht van communicatie bij het realiseren van een ijzersterke reputatie, , De contentstrategie ontwikkelen, zorgen voor het beheer en de doorontwikkeling van alle kanalen en hiervoor draagvlak creren Dat zijn jouw uitdagingen als contentstrateeg bij het ministerie van Sociale Zaken en Werkgelegenheid in Den Haag Wat jouw rol extra glans geeft Dit is een nieuwe functie bij het ministerie, , De visie van het departement is leidend bij jouw werkzaamheden Je zorgt voor afstemming van de geproduceerde content voor de kanalen social media, online magazine en print En je bewaakt de voortgang en continuteit Raakt de content van de newsroom de online communicatie Dan verzorg jij de eindredactie Continue afstemming met bewindspersonen, de ambtelijke top en woordvoerders is hierbij superbelangrijk Want de berichtgeving vanuit de newsroom kan de publieke opinie benvloeden, , Directeuren en de bestuursraad zoeken verbinding met de buitenwereld en online kanalen zijn hiervoor voor de hand liggende instrumenten Als contentstrateeg vertaal je het organisatiebelang op een creatieve en inspirerende manier naar kwalitatief hoogwaardige adviezen Met een goed ontwikkeld gevoel voor beleid en politiek creer je hiervoor draagvlak bij de ambtelijke top, , , , , , , , Naast het salaris ontvang je een individueel keuzebudget IKB Het IKB bestaat uit geld 16,37 van je brutojaarsalaris en tijd Met het IKB maak jij de keuzes die bij jou passen en kun je een deel van je arbeidsvoorwaarden zelf samenstellen Je kunt er bijvoorbeeld voor kiezen om een deel van je maandinkomen te laten uitbetalen wanneer jij dat wenst Ook kun je dit budget omzetten in verlof en andersom of besteden aan fiscaalvriendelijke doelen De Rijksoverheid hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden Tot de secundaire arbeidsvoorwaarden behoren onder meer verschillende studiefaciliteiten, bedrijfsfitness, volledige vergoeding van je ovreiskosten woonwerkverkeer en gedeeltelijk betaald ouderschapsverlof",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325420131?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D5023b9e81b19%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcddgcddebddd8adebdd7aadbgdd8addffade3defcdc7fec3ddcg3e&urlHash=P5wY&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/contentstrateeg-the-hague-at-ministerie-van-economische-zaken-en-klimaat-2325420131?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
2,social work,LinkedIn,2277265154,Projectadviseur duurzaamheid,hykAbaoJTJ+zyv3iPIjf5w==,Atriensis,"Amstelveen, North Holland, Netherlands",['Renewables & Environment'],"Projectadviseur, Atriensis projecten is een adviesbureau dat woningcorporaties ondersteunt bij het verduurzamen van de sociale woningvoorraad Atriensis projecten is innovatief, streeft hoge kwaliteit na en is ambitieus Tevreden opdrachtgevers en een groeiend marktaandeel zijn de resultaten Atriensis projecten zoekt een ",Full-time,,https://nl.linkedin.com/jobs/view/projectadviseur-duurzaamheid-at-atriensis-2277265154?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
3,social work,LinkedIn,2320580675,Medewerker Onderwijsontwikkeling,X8NZU2X8TfSnE4bv5n73sA==,Leiden University,"Leiden, South Holland, Netherlands","['Education Management', 'Higher Education', 'Research']","Het Personal Development Centre van de Faculteit Sociale Wetenschappen zoekt kandidaten voor een functie van, , Medewerker Onderwijsontwikkeling, , , , , , De Faculteit Sociale Wetenschappen zoekt versterking voor het docententeam van haar Personal Development Centre Momenteel worden meerdere Nederlandstalige en Engelstalige trajecten uitgevoerd volgens de blended methodiek binnen diverse Bachelors en Master specialisaties van de Universiteit Leiden, zowel in Leiden als de Campus Den Haag Daarnaast is sprake van uitbreiding van werkzaamheden van de methodologie naar andere universiteiten en hogescholen, , De uitvoering van de taken vindt plaats in nauw overleg met cordinatoren van verschillende organisatieonderdelen op universitair, facultair, opleidings, en cursusniveau, , , , , De Faculteit Sociale Wetenschappen is n van de zeven faculteiten van de Universiteit Leiden Geworteld in de academische traditie werken onze studenten en onderzoekers samen met nationale en internationale partners aan nieuwe inzichten en oplossingen voor hedendaagse vraagstukken, , De Faculteit Sociale Wetenschappen bestaat uit vijf instituten Pedagogische wetenschappen, Politieke Wetenschap, Psychologie, Culturele Antropologie  Ontwikkelingssociologie en het Centre for Science and Technology Studies De faculteit heeft ongeveer 5000 studenten en 600 medewerkers Er wordt onderwijs verzorgd over en onderzoek verricht naar uiteenlopende onderwerpen die variren van adoptie tot politiek gedrag Zie voor meer informatie de website van de Faculteit van Sociale wetenschappen, , Het Personal Development Centre PDC is onderdeel van de Faculteit der Sociale Wetenschappen en ondersteunt individuen op het gebied van persoonlijke en professionele ontwikkeling binnen en buiten de Universiteit Leiden Het onderwijs van het PDC zet in op het longitudinaal ondersteunen op het gebied van zelfreflectie en monitoring, motivatiebevordering, besluitvaardigheid en commitment Dit met behulp van systemen waarbij online preparatie, 360graden feedback, en online en on campus coaching en seminars elkaar gestructureerd afwisselen, , , Aanstelling vindt plaats conform de cao Nederlandse Universiteiten, in eerste instantie voor de duur van twee jaar Een verlenging behoort tot de mogelijkheden, afhankelijk van behoefte, gebleken geschiktheid en beschikbare middelen Het salaris bedraagt, afhankelijk van opleiding en werkervaring, minimaal  3746, en maximaal  5127, bruto per maand bij een fulltime aanstelling schaal 11, , Daarnaast kent de Universiteit Leiden goede arbeidsvoorwaarden Zo is er sprake van een eindejaarsuitkering 8,3, vakantietoeslag 8, uitstekende opleidingsfaciliteiten, betaald ouderschapsverlof, sabbatical leave en de mogelijkheid om via een keuzemodel arbeidsvoorwaarden op maat te kiezen Alle informatie hierover kun je nalezen op de website, , , De Universiteit Leiden hecht groot belang aan diversiteit en verwelkomt daarom graag sollicitaties van mensen die nu in haar instelling ondervertegenwoordigd zijn, , , Voor meer informatie over de inhoud van deze functie kun je contact opnemen met Marc Cleiren, email cleirenfswleidenunivnl, , , Je kunt uitsluitend solliciteren via ons online sollicitatiesysteem Gebruik hiervoor de bovenaan deze pagina Sollicitaties vergezeld van een motivatiebrief en cv, kunnen ingezonden worden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320580675?url=https%3A%2F%2Fwww%2Euniversiteitleiden%2Enl%2Fvacatures%2F2020%2Fq4%2F20-525-7951-medewerker-onderwijsontwikkeling&urlHash=qk2D&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-onderwijsontwikkeling-at-universiteit-leiden-2320580675?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
4,social work,LinkedIn,2271137742,Medewerker Adreskwaliteit,GTokOUIdTHGG2tyeftyt8A==,Gemeente Zaanstad,"Zaanstad, North Holland, Netherlands",['Public Policy'],"De functie, Als Medewerker Adreskwaliteit verricht je administratief onderzoek naar inschrijvingen van inwoners Op deze manier zorg je er samen met je collegas voor dat de gemeente Zaanstad garant kan staan voor een kwalitatief juiste n volledige Basisregistratie Personen BRP, volgens de daarvoor geldende regelgeving Je fungeert als vraagbaak en aanspreekpunt voor directe collegas en externe partijen over inhoudelijke dossiers Je herkent fraudesignalen en ontwikkelingen die daarop duiden en handelt proactief richting de specialist adreskwaliteit Je denkt ook actief mee en doet voorstellen tav de werkprocessen Een uitdagende en veelzijdige functie dus, , Daarnaast houd jij je bezig met, , , Jij staat stevig in je schoenen, je bent goed in staat om beslissingen te onderbouwen en de knoop door te hakken Je durft je eigen standpunten tegenover anderen te handhaven en te verdedigen Met jouw resultaatgerichtheid en overtuigingskracht weet jij het verschil te maken Als geen ander denk je vanuit het perspectief wat kunnen we wl doen Zowel in teamverband als in de organisatie ben jij een echte verbinder Samenwerken is voor jou vanzelfsprekend Je vindt het prettig om actief mee te denken en samen naar oplossingen te zoeken, , , , , , , Gemeente Zaanstad is een fijne werkgever Je gaat werken met gedreven, enthousiaste collegas, je hebt inhoudelijk zeer uitdagende en verantwoordelijke werkzaamheden n een geweldige werkplek, , Verder bieden wij, , , , , Meer weten over onze arbeidsvoorwaarden Bekijk het overzicht op, wwwwerkenbijzaanstadnlvacaturesarbeidsvoorwaarden, Als je werkt bij Zaanstad draag je bij aan het maatschappelijk belang Jouw werk doet er dus toe Zaanstad ligt niet alleen centraal Op maar 12 treinminuten van Amsterdam CS, maar Zaanstad staat ook centraal Bij alles wat we doen  Wij zetten ons optimaal in voor onze stad, de inwoners, ondernemingen, instanties en bezoekers De Zaanse opgaven staan daarbij altijd centraal Je doet zinvol werk en levert daarmee een belangrijke bijdrage aan de kwaliteit van het woon leef of werkklimaat van onze gemeente, , , Het Klantcontactcentrum is binnen Zaanstad d ingang voor alle burgers en bedrijven en instellingen, die contact zoeken met de gemeente Of het nu om een paspoort of een vergunning gaat, of om een telefonische vraag of een email, , Het team Adreskwaliteit kenmerkt zich door een grote mate van zelfstandigheid en collegialiteit Er wordt intensief samengewerkt Samen met drie andere Medewerkers Adreskwaliteit, n specialist en twee toezichthouders vorm je een team van zelfstandige professionals die voor elkaar klaar staan, , , Woon en adresfraude is een probleem waar Zaanstad mee te maken heeft Die fraude heeft een negatieve invloed op de leefomgeving Dat pakken we aan in Zaanstad  We zetten daarom stevig in op de bestuurlijke aanpak van woon en adresfraude  Een mooi aspect wat erbij komt kijken is dat de uitkomst ook kan zijn dat de burger, die recht heeft op zorg, dit ook kan krijgen Die aanpak doen we soms alleen vanuit burgerzaken, maar ook vaak samen met in en externe partners, , Zie jij jezelf al werken als Medewerker Adreskwaliteit bij Gemeente Zaanstad Dan zijn wij heel nieuwsgierig naar jou Als je wilt solliciteren, dan kun je je sollicitatiebrief en CV uploaden via de sollicitatiebutton Wij lezen graag in jouw motivatiebrief waarom jij voor ons de geschikte kandidaat bent Wil je eerst meer weten over deze uitdagende functie Dan kun je voor inhoudelijke vragen bellen met Tycho Krom Specialist Adreskwaliteit via 0756816496  Bel of app met vragen over de procedure met Rbin Kramer Corporate Recruiter via 0646275924, , De uiterste reactiedatum voor deze vacature is Zondag 29 november 2020, , De planning voor de procedure is als volgt, Eerste gespreksronde 7,8 en 9 december 2020, Arbeidsvoorwaardengesprek 16 december 2020, , Fijn als je daar alvast rekening mee kunt houden in je agenda",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271137742?url=https%3A%2F%2Fwerkenbij%2Ezaanstad%2Enl%2Fvacature%2F64861-medewerker-adreskwaliteit&urlHash=66gm&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-adreskwaliteit-at-gemeente-zaanstad-2271137742?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
5,social work,LinkedIn,2317162951,Contentstrateeg,4nN2N3zKTai6PReN0kuh9A==,Ministerie van Sociale Zaken en Werkgelegenheid,"The Hague, South Holland, Netherlands",['Government Administration'],"Functiexadomschrijving, , Het beeld dat mensen hebben van het ministerie van Sociale Zaken en Werkgelegenheid bepaalt hun houding richting ons beleid Dit benvloedt de manier waarop wij ons werk kunnen doen Een sterke reputatie geeft ons een licencetooperate Als contentstrateeg begrijp je als geen ander de kracht van communicatie bij het realiseren van een ijzersterke reputatie, , De contentstrategie ontwikkelen, zorgen voor het beheer en de doorontwikkeling van alle kanalen en hiervoor draagvlak creren Dat zijn jouw uitdagingen als contentstrateeg bij het ministerie van Sociale Zaken en Werkgelegenheid in Den Haag Wat jouw rol extra glans geeft Dit is een nieuwe functie bij het ministerie, , De visie van het departement is leidend bij jouw werkzaamheden Je zorgt voor afstemming van de geproduceerde content voor de kanalen social media, online magazine en print En je bewaakt de voortgang en continuteit Raakt de content van de newsroom de online communicatie Dan verzorg jij de eindredactie Continue afstemming met bewindspersonen, de ambtelijke top en woordvoerders is hierbij superbelangrijk Want de berichtgeving vanuit de newsroom kan de publieke opinie benvloeden, , Directeuren en de bestuursraad zoeken verbinding met de buitenwereld en online kanalen zijn hiervoor voor de hand liggende instrumenten Als contentstrateeg vertaal je het organisatiebelang op een creatieve en inspirerende manier naar kwalitatief hoogwaardige adviezen Met een goed ontwikkeld gevoel voor beleid en politiek creer je hiervoor draagvlak bij de ambtelijke top, , , , , Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317162951?url=https%3A%2F%2Fwww%2Ewerkenvoornederland%2Enl%2Fvacatures%2Fcontentstrateeg-SZW-2020-0244%3Futm_source%3DLinkedIn%26utm_medium%3Djobboard%26utm_campaign%3Djobslots%26utm_term%3DSZW-2020-0244&urlHash=gXgP&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/contentstrateeg-at-ministerie-van-sociale-zaken-en-werkgelegenheid-2317162951?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
6,social work,LinkedIn,2307269541,Senior Communicatieadviseur,GssjmjrTTcOPmgLGxzc0Iw==,Belastingdienst,"Utrecht, Utrecht, Netherlands",['Government Administration'],"Functieomschrijving, ,  Ik werk graag aan complexe communicatievraagstukken in een organisatie die ertoe doet Dat is bij de Belastingdienst absoluut het geval In multidisciplinaire teams werken we aan communicatiestrategien waarmee we mensen helpen bij het juist en op tijd insturen van hun belastingaangifte Petra Boon, cordinerend communicatieadviseur bij de Belastingdienst, , Functieomschrijving, Namens het team dienstonderdelen en projecten van de corporate dienst communicatie help je de directie particulieren bij projecten die grote impact hebben op bijna alle Nederlanders Denk aan de keuze om post per brief of digitaal te ontvangen, de jaarlijkse aangiftecampagne en ondersteuning bij lifeevents als scheiden en een eigen woning Als communicatieadviseur ben je een sparringpartner voor het managementteam en de programma en projectmanagers als het gaat om de belangrijkste dossiers Je analyseert een of enkele complexe, maar helder afgebakende vraagstukken met een hoog afbreukrisico en vertaalt deze naar een heldere communicatiestrategie, aanpak en implementatie, , Je richt je vooral op de externe communicatie, waarbij je de interne communicatie niet uit het oog verliest Je onderkent afbreukrisicos voor de directie, de organisatie en de politiek, adviseert over oplossingen en voert regie over de uitvoering hiervan Voor een of meerdere dossiers maak je een overkoepelende communicatiestrategie Ook ontwikkel je binnen tijd en budget effectieve en kwalitatief hoogwaardige communicatiemiddelen en activiteiten Jouw communicatieadvies is gebaseerd op analyse of het verrichten enof beoordelen van onderzoek en rapportages en afgestemd op andere aandachtsgebieden en beleidsterreinen Verder neem je de rol van projectleider communicatie op je om op complexe dossiers het juiste communicatieresultaat te behalen Verantwoording over de effectiviteit van je communicatieadvies en uitvoering leg je af via een evaluatie en onderzoek, , Als senior communicatieadviseur onderhoud je contact met plaatsvervangend directeuren, programmamanagers en projectleiders van de strategische initiatieven die binnen de directie particulieren spelen Daarnaast schakel je met de woordvoerders van de directie communicatie van het ministerie van Financin Hiermee zorg je dat jouw strategisch communicatieadvies in samenhang is met belangen van andere betrokken disciplines binnen de Belastingdienst en draag je zorg voor afstemming met andere aandachtsgebieden en vakdisciplines Extern onderhoud je in voorkomende situaties contact met stakeholders van andere ministeries, zoals Sociale Zaken en Werkgelegenheid, Binnenlandse Zaken en Koninkrijksrelaties, en Economisch Zaken en Klimaat Ook schakel je met overige uitvoeringsorganisaties als Sociale Verzekeringsbank, DUO en UWV, en met belangen en koepelorganisaties waaronder de Ombudsman en VNG, , Zullen we zakendoen en word jij de nieuwe collega van Petra Of wil je liever eerst eens praten over jouw misschien wel toekomstige werkzaamheden Neem dan contact op met Jacqueline Roos, teamleider communicatie via 06  21 15 14 03",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307269541?url=https%3A%2F%2Fwerken%2Ebelastingdienst%2Enl%2Fvacatures%2Fsenior-communicatieadviseur-e1133420&urlHash=ral7&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-communicatieadviseur-at-belastingdienst-2307269541?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
7,social work,LinkedIn,2324504737,Campagne Adviseur Gemeente | Amsterdam | Matchd,H7MT4+2KSjWVcaLopA4+dA==,Werkzoekennl,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"Vacature van Matchd, locatie Amsterdam, , Startdatum 01012021, Einddatum 01072021, Optie op verlenging Ja, Aantal uur per week 3236, Sluitingsdatum 04122020 om 0800 uur, , De gemeente Amsterdam is op zoek naar Medior Campagne adviseur, , , Als medior campagneadviseur ontwikkel je impactvolle publiekscampagnes met heldere gedrags of kennisdoelstellingen Je geeft leiding aan de productie van deelcampagnes en middelen binnen een vastgestelde strategie Je bent verantwoordelijk voor ontwikkeling en inzet van bijvoorbeeld social en print campagnemiddelen, outdoor media inzet, activaties richting doelgroepen, onderzoek of evaluatie, , Je werkt binnen een dynamisch krachtenveld Je overtuigt, bent resultaatgericht en hebt een open en nieuwsgierige blik op de inbreng van anderen Je adviseert over doelgroep bereik en onderzoek, en draagt zo bij aan werkbare en op resultaat gerichte communicatiestrategien Je kunt ingezet worden op verschillende themas bijvoorbeeld in het sociale of ruimtelijke domein, of over veiligheid, dienstverlening of gezondheid Ook kun je worden ingezet op coronacampagnes Je werkt onder leiding van een senior campagneadviseur aan je eigen projecten Het campagneteam bestaat uit campagneadviseurs, gedragsdeskundigen, een creatief en een cordinator, , , , , , , Bij het Communicatiebureau werken alle communicatiemedewerkers van de gemeente Amsterdam Uitzonderingen zijn onder andere de voorlichters van de wethouders en woordvoerders van de stadsdelen Het bureau bestaat uit vier afdelingen Capaciteit en Onderzoek, Advies, Specialisten en Redacties Het Communicatiebureau zorgt voor alle communicatie binnen en buiten de gemeentelijke organisatie Iedere collegeperiode wordt vastgesteld wat de speerpunten en themas zijn en jaarlijks wordt met opdrachtgevers in de stad bepaald hoeveel communicatiecapaciteit waar nodig is Op grond daarvan kan het bureau communicatieprofessionals detacheren bij de verschillende organisatieonderdelen Het Communicatiebureau werkt volgens een aantal richtlijnen, zoals voor de gemeentelijke huisstijl Het bureau heeft zelf redacteuren en specialisten in huis, waaronder vormgevers, tekstschrijvers, campagne en online adviseurs, , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324504737?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1173_matchd%2Fvacatures%2F5005461_campagne-adviseur-gemeente%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dsales%2Bamsterdam&urlHash=Ljyk&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/campagne-adviseur-gemeente-amsterdam-matchd-at-werkzoeken-nl-2324504737?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
8,social work,LinkedIn,2298632416,Financieel Juridisch Medewerker,HGZ30RoHRDiY3Kgip5tVug==,Copernica Marketing Software,"Amsterdam, North Holland, Netherlands",['Computer Software'],"Per direct zijn wij op zoek naar een Financieel Juridisch Medewerker In deze rol zorg je voor het opstellen, verbeteren en analyseren van diverse bedrijfsdocumenten Ook voer je diverse administratieve werkzaamheden uit, zoals debiteurenbeheer en facturatie",Full-time,,https://nl.linkedin.com/jobs/view/financieel-juridisch-medewerker-at-copernica-marketing-software-2298632416?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
9,social work,LinkedIn,2301677233,"Lid cliëntenraad, locatie VUmc (8 uur)",2B/vOTCqQOWNZCEUBnEahw==,Amsterdam UMC,"AmsterdamZuid, North Holland, Netherlands",['Hospital & Health Care'],"De functie, , Als lid van de clintenraad zijn uw voornaamste taken en verantwoordelijkheden",Part-time,https://www.linkedin.com/jobs/view/externalApply/2301677233?url=https%3A%2F%2Fwww%2Ewerkenbijvumc%2Enl%2Fvacatures%2Flid-clientenraad-locatie-vumc%2F&urlHash=_y-Z&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lid-cli%C3%ABntenraad-locatie-vumc-8-uur-at-amsterdam-umc-2301677233?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
10,social work,LinkedIn,1988987848,Student-stagiair(e),47yGsYLGTv+DEsXzi00VTQ==,Clifford Chance,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Law Practice', 'Legal Services']","Studentstage bij Clifford Chance, , Zit jij in de laatste fase van je studie rechten en ben je benieuwd naar onze praktijk Dan is het lopen van een studentstage een uitgelezen kans om kennis te maken met Clifford Chance, , Met meer dan 33 kantoren in 23 landen is Clifford Chance n van de meest toonaangevende advocatenkantoren ter wereld Wat Clifford Chance anders maakt Een cht internationaal netwerk, een unieke sfeer en de beste opleiding via de Academy Je vindt Clifford Chance in een monumentaal pand in hartje Amsterdam, waar we je in drie jaar tijd klaarstomen tot een advocaat van wereldniveau Daartoe beschikken we in Amsterdam over de praktijkgroepen Finance  Capital Markets, Corporate Antitrust, Employment  Pensions, Litigation  Dispute Resolution, Tax en het Notariaat, , Clifford Chance biedt jou de mogelijkheid om gedurende twee maanden mee te lopen met een van onze praktijkgroepen Tijdens deze twee maanden word je vakkundig begeleid door een mentor en een buddy die je wegwijs maakt binnen kantoor Je draait volledig mee met de dagelijkse praktijk en werkt samen met advocaten van verschillende secties Je werkzaamheden kunnen onder andere bestaan uit het voorbereiden van notities, correspondentie en adviezen, het meegaan naar besprekingen en zittingen, het maken van vertalingen en het doen van onderzoek voor advocaten, , Ook bestaat er de mogelijkheid om deel te nemen aan onze interne opleidingsactiviteiten van de Clifford Chance Academy Daarnaast ben je natuurlijk uitgenodigd om deel te nemen aan de sociale activiteiten die ons kantoor organiseert Op deze manier krijg je niet alleen een goed beeld van de aard en inhoud van de werkzaamheden, maar ook een idee van de sfeer en de mensen die bij ons werken, , , , , Ben jij ambitieus en initiatiefrijk en wil jij graag werken binnen de top van de internationale advocatuur Zit je bovendien in de laatste fase van je studie Nederlands, notariel of fiscaal recht bachelor of master Dan zoeken wij jou, , Studentstagiaires ontvangen een vergoeding van 750 euro per maand Wij vergoeden bovendien je lunchkosten en je reiskosten op basis van openbaar vervoer, tweede klas, voor zover deze niet gedekt worden door een OVkaart, , , , Heb je interesse in een studentstage bij ons kantoor en studeer je Nederlands recht, , , , , , , , , , , , , , , , NetherlandsNorth HollandAmsterdam, , , , Amsterdam, , , , Work Experience, , , , Fulltime, , , , Day Job, , , , Fixed Term, , , , Apr 28, 2020, , , , Ongoing",Full-time,https://www.linkedin.com/jobs/view/externalApply/1988987848?url=https%3A%2F%2Fccllp%2Etaleo%2Enet%2Fcareersection%2Fex%2Fjobdetail%2Eftl%3Fjob%3DJR-1036%26lang%3Den%26src%3DJB-10240&urlHash=VSKb&refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/student-stagiair-e-at-clifford-chance-1988987848?refId=00bf2f1c-34d8-4dfc-afa9-da58a6dcf0b0&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,16/11/2020,29/11/2020
