Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,specialised services manager,LinkedIn,2321492973,EMEA Enablement Manager,JVnjaEDzQNWo22jZ7Xq7nA==,Lucid Motors,"Amsterdam, North Holland, Netherlands",None,"Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryThe successful candidate will be a key member of the EMEA leadership team and will be responsible for all aspects of organizational design required for implementation, and administration of Learning, Enablement and Communications programs in EMEA This role will be focused on the continued growth of Lucid Motors by providing strategic, organizational, and operational support for the companys initiatives and overall performance as we expand into EMEA This role requires experience and proven performance developing strategic partnerships with executive stakeholders, conducting needs assessments, changing and introducing new systems and process, partnering globally to ensure consistency and efficiency and leveraging data insights to drive decision making It will be your role to balance longterm strategy and organizational planning with the ability to create and implement sustainable, scalable, actionable and measurable solutions and programs which are supported by all stakeholders Your understanding of all aspects of the business will be essential as a thought leader on strategic solutions to attract, engage, develop, and retain employees while aligning them with the organizations culture, strategies, and vision",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321492973?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fceeef335-42ae-4a0e-91ed-9100261a4c08%3Fjid%3D52817dcf1063d3143df9217237b26e1bfaec1d82baefad537a56d167c43b0b4d%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=wxrZ&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-enablement-manager-at-lucid-motors-2321492973?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
2,specialised services manager,LinkedIn,2269450333,Manager projectbeheersing,0gjZbxEFTreegbN1x+ncBg==,Provincie NoordHolland,"Haarlem, North Holland, Netherlands",['Public Policy'],"32  36 uur , Haarlem, , Heb jij een passie voor natuur en infra Word je aangetrokken door de veelzijdigheid van grijs En ben je niets minder dan een kei in projectbeheersing Kom dan bij ons in Haarlem werken We zoeken 2 nieuwe managers projectbeheersing op verschillend niveau, , , Je takenpakket is breed en je verantwoordelijkheden zijn groot Je managet van a tot z Van financin en project control tot risicos en wijzigingen Zo zorg je onder meer voor een integrale projectbeheersing vanuit het IPMteam Daarnaast stuur je het team projectbeheersing aan en stem je de werkzaamheden af Je initieert, implementeert en beheert het informatiemanagement binnen het project en je verzorgt interne kwaliteitsborging Risicos, financin, planning en capaciteit afstemmen, gaan je probleemloos af Uiteraard heb je een scherp oog voor mogelijke vertragingen, overschrijdingen en risicos en kun je daar razendsnel op acteren Een verbetervoorstel of aanpassing laat nooit lang op zich wachten, , Je verbetert en standaardiseert het vakgebied projectbeheersing, stuurt op kwaliteitsborging en deelt vakkennis en ervaring actief binnen de provincie Ook ben je inhoudelijk een vraagbaak en coach binnen het team projectbeheersing, , , , , En dat is nog niet alles Lees op wwwnoordhollandnlwerkenbij waar je als collega bij NoordHolland verder op kunt rekenen, , , Bij de provincie NoordHolland werk je aan de toekomst Elke dag opnieuw zet je je samen met 1400 collegas in voor een mooie, plezierige en veilige woon en werkomgeving voor ruim 2,8 miljoen NoordHollanders Daarbij gaat het er innovatief aan toe We stimuleren en faciliteren smart mobility, de energietransitie, grootschalige natuurontwikkeling en de nieuwste technologien zoals slimme apps En ook juw toekomst staat bij ons centraal Je krijgt alle ruimte om te kiezen welke kant je op wilt en om je ambities waar te maken Wij ondersteunen je hierbij Bijvoorbeeld met een ruim opleidingsbudget en de mogelijkheid om, in overleg, tijdelijk in een ander project te duiken of een initiatief te starten, , Als manager projectbeheersing ga je werken bij de sector Realisatie infrastructuur Bij de sector Realisatie infrastructuur beheren, onderhouden en vernieuwen jij en je collegas de infra in heel NoordHolland Hier werken zon 100 in en externe professionals Samen zijn we verantwoordelijk voor ruim 600 kilometer wegen, 250 kilometer vaarwegen, 50 kilometer ovbanen, 400 kilometer fietspaden, 10 sluizen en ruim 550 bruggen De nieuwe Cruquiusbrug is een van onze bijzondere projecten Deze wordt energieneutraal, circulair en onderhoudsarm gebouwd, , , , , Verder heb je, , , , Stuur voor 9 december 2020 je motivatie en cv naar solliciterennoordhollandnl onder vermelding van vacaturenummer BUINFRA64116412 Wil je eerst meer informatie over de functie Bel of app dan met Kees van der Plas sectormanager Infra via 06  3168 8245 Voor vragen over de procedure kun je terecht bij Servicedesk Info Personeel, tel 0235145606",Full-time,https://www.linkedin.com/jobs/view/externalApply/2269450333?url=http%3A%2F%2Fwww%2Etangram-tis%2Enl%2F07080%2FVacatures%2F07080%252D02S00010QP%2FVacature-Manager-projectbeheersing&urlHash=8Q-1&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-projectbeheersing-at-provincie-noord-holland-2269450333?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
3,specialised services manager,LinkedIn,2295961887,NL-Manager,1PST/uA7S8yWK3Srce13sg==,Apple,"Amsterdam, North Holland, Netherlands","['Hospitality', 'Retail', 'Apparel & Fashion']","Overzicht, , Om een Apple Store te laten floreren, is een scala aan leidinggevende vaardigheden nodig Als Manager beheers je die allemaal tot in de puntjes In de snelle en dynamische omgeving van de Store straal jij rust uit, waarbij je bovendien leert van elke nieuwe ervaring Je stelt uitstekend functionerende teams samen uit unieke mensen die klanten op een positieve manier van dienst zijn als deze langskomen om iets te leren, iets te kopen of iets te vragen Maar het allerbelangrijkste is je vermogen om de visie van Apple over te brengen op je medewerkers n klanten, , , , , Aantoonbaar in staat om met zelf samengestelde en gecoachte teams klanten uitstekend te helpen, wat zich uit in de bedrijfsresultaten, , Ervaring met diplomatiek laveren tussen botsende belangen van klanten, medewerkers en de bedrijfsvoering, , In staat om te allen tijde kalm te blijven en je aan te passen aan de voortdurend veranderende retailomgeving, , , , , Als Manager moet je je team zodanig inspireren dat iedereen op de winkelvloer gericht is op de daadwerkelijke verkoop aan klanten Daarnaast begeleid je de talenten die trainingen geven en technische ondersteuning verlenen en werk je nauw samen met het Business Team Achter de schermen houd je bovendien zaken als de voorraad en de winkelinrichting in het oog Je werkt actief aan de opbouw van je teams door op alle terreinen de juiste mensen aan te nemen en op te leiden De eenvoud van Apple uitdragen is een gecompliceerde baan, die er door jouw invulling toch heel simpel uitziet, , , , ,  Je hebt aantoonbare leidinggevende kwaliteiten en ervaring met het werken in een verkoopomgeving met direct klantcontact, ,  Ervaring in andere bedrijfstakken is welkom, ,  Je wilt graag alles weten over de technologie en de producten van Apple, ,  Je beheerst het Engels in woord en geschrift en de lokale taal uitstekend Beheersing van meerdere talen is een pr, ,  Je bent flexibel wat betreft je werktijden Die zijn afhankelijk van de werkzaamheden binnen de Store",Full-time,https://www.linkedin.com/jobs/view/externalApply/2295961887?url=https%3A%2F%2Fjobs%2Eapple%2Ecom%2Fnl-nl%2Fdetails%2F114438116%3Fboard_id%3D17682%26cid%3Dscrape_re_nl_linkedin_nationwide_retail&urlHash=--CO&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nl-manager-at-apple-2295961887?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
4,specialised services manager,LinkedIn,2321604461,Teammanager BMW,8ydAVeeeRvKLEwel+YBUoQ==,Webhelp,"Rijswijk, North Brabant, Netherlands","['Marketing and Advertising', 'Management Consulting', 'Retail']","Standplaats, , Rijswijk Over de functie Als ervaren teammanager start je jouw dag met goede kop koffie en een gezellig team van hechte klantadviseurs op locatie bij BMW te Rijswijk of op dit moment ook vanuit huis Jij bent verantwoordelijk voor aansturing van het team en daarnaast ben jij het belangrijkste aanspreekpunt voor je medewerkers Je biedt hen ondersteuning en begeleiding in hun dagelijkse werkzaamheden en motiveert hen om te groeien in hun deskundigheid als klantadviseur Dit doe je door hun zelfinzicht en kennis te vergroten Jij als teammanager bent in staat de doelstellingen van het klantenteam te realiseren en te optimaliseren Je bewaakt de kwaliteit en kwantiteit van de werkzaamheden, signaleert en rapporteert knelpunten in de uitvoering en draagt oplossingen aan Je legt snel en makkelijk verbanden en kan goed vooruit kijken Door te onderzoeken wat de wensen en behoeften zijn van de klant anticipeer je en geef je hoge prioriteit aan de servicebereidheid en klanttevredenheid In jouw rol als teammanager is zelfredzaamheid een must en daarom is ervaring als teammanager binnen de klantcontactbranche een must Je houdt van zelfstandigheid, maar uiteraard schakel je ook met andere collegas, , Functie eisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321604461?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fteammanager-bmw%3A44371767%2F&urlHash=r-Qh&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teammanager-bmw-at-webhelp-2321604461?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
5,specialised services manager,LinkedIn,2321607458,Teammanager BMW,F9/waS5JRYe/zgyZgLqLgA==,Webhelp,"Rijswijk, North Brabant, Netherlands","['Marketing and Advertising', 'Management Consulting', 'Retail']","Als ervaren teammanager start je jouw dag met goede kop koffie en een gezellig team van hechte klantadviseurs op locatie bij BMW te Rijswijk of op dit moment ook vanuit huis Jij bent verantwoordelijk voor aansturing van het team en daarnaast ben jij het belangrijkste aanspreekpunt voor je medewerkers Je biedt hen ondersteuning en begeleiding in hun dagelijkse werkzaamheden en motiveert hen om te groeien in hun deskundigheid als klantadviseur Dit doe je door hun zelfinzicht en kennis te vergrotenJij als teammanager bent in staat de doelstellingen van het klantenteam te realiseren en te optimaliseren Je bewaakt de kwaliteit en kwantiteit van de werkzaamheden, signaleert en rapporteert knelpunten in de uitvoering en draagt oplossingen aan Je legt snel en makkelijk verbanden en kan goed vooruit kijken Door te onderzoeken wat de wensen en behoeften zijn van de klant anticipeer je en geef je hoge prioriteit aan de servicebereidheid en klanttevredenheidIn jouw rol als teammanager is zelfredzaamheid een must en daarom is ervaring als teammanager binnen de klantcontactbranche een must Je houdt van zelfstandigheid, maar uiteraard schakel je ook met andere collegasJe ontvangt een contract vanuit WebhelpEen uitdagende functie met een mooi team waar jij leiding aan mag geven en waar volop ruimte is voor eigen initiatiefEen prettige werksfeer in een initiatiefrijke omgeving waar kennis wordt gedeeld, er wordt resultaatgericht gewerkt en daarnaast zijn we enorm toegankelijkDe mogelijkheid om vanuit huis te werkenEen laptop en een mobiele telefoon van de zaakEen functie voor 32 uurNiet geheel onbelangrijk een passend salaris wat aansluit bij jouw werkervaring en de functieEn zoek jij verder ook nog dit in een baanEen fijne werkplek in het mooie Rijswijk met een goede bereikbaarheid22 Vakantiedagen om even bij te komen bij een fulltime contractTegemoetkoming in de reiskosten Openbaar vervoer wordt volledig vergoedToegang tot onze online leeromgeving met meer dan 100 online of klassikale trainingenSupport voor je gezondheid fruit op kantoor, een collectieve zorgverzekering en korting op de sportschoolEn ben je een kwartaal niet ziek geweest Dan krijg je van ons een extra vrije dag Spreekt dit je aanBen jij de teammanager die ik zoek Reageer dan via de sollicitatie button Stuur ons in elk geval je CV met je motivatie en inspireer ons op jouw manier Graag maken wij dan kennis met je onder genot van een digitale kop koffie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321607458?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fteammanager-bmw%3A44365073%2F&urlHash=k_1F&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teammanager-bmw-at-webhelp-2321607458?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
6,specialised services manager,LinkedIn,2215763678,EMEA Enablement Manager.,ccRLGj9YRqyqjW5EpLlcaA==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","Leading the future of luxury mobility, , Lucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industry, , The successful candidate will be a key member of the EMEA leadership team and will be responsible for all aspects of organizational design required for implementation, and administration of Learning, Enablement and Communications programs in EMEA This role will be focused on the continued growth of Lucid Motors by providing strategic, organizational, and operational support for the companys initiatives and overall performance as we expand into EMEA, , This role requires experience and proven performance developing strategic partnerships with executive stakeholders, conducting needs assessments, changing and introducing new systems and process, partnering globally to ensure consistency and efficiency and leveraging data insights to drive decision making, , It will be your role to balance longterm strategy and organizational planning with the ability to create and implement sustainable, scalable, actionable and measurable solutions and programs which are supported by all stakeholders Your understanding of all aspects of the business will be essential as a thought leader on strategic solutions to attract, engage, develop, and retain employees while aligning them with the organizations culture, strategies, and vision, , , , , , , , Be part of something amazing, , Come work alongside some of the most accomplished minds in the industry Beyond providing competitive salaries, were providing a community for innovators who want to make an immediate and significant impact If you are driven to create a better, more sustainable future, then this is the right place for you, , At Lucid, we dont just welcome diversity  we celebrate it Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations",Full-time,https://www.linkedin.com/jobs/view/externalApply/2215763678?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Flucidmotors%2F65c362fd-8c8a-4f18-ad7e-70e862dd90f3%3Flever-origin%3Dapplied%26lever-source%25255B%25255D%3DLinkedIn%26lever-source%3DLinkedInJobs&urlHash=l03-&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-enablement-manager-at-lucid-motors-2215763678?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
7,specialised services manager,LinkedIn,2321496336,EMEA Senior Operations Manager,k5/Lm4GDS1uUCDYVsIRsdg==,Lucid Motors,"Amsterdam, North Holland, Netherlands",['Mining & Metals'],"Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryLucid is looking to hire a Senior Operations Manager for the launch and scaling of Lucid in EMEA This role will lead physical operations planning that allow us to bring the first cars to our customers in EMEA and ensure the service organization is created and optimized to support A successful candidate will be able to create partnerships with crossfunctional teams to influence decisions made whilst relentlessly delivering a world class operations, logistics and service organization, , The Role, , , , You Bring",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321496336?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F932774f1-24a4-43cd-a7d2-67193142e57f%3Fjid%3D559017875a64081ec7a1daa17c1b093f39302279fb7c4161a8b192a1016dd38f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=QiZE&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-senior-operations-manager-at-lucid-motors-2321496336?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
8,specialised services manager,LinkedIn,2325479906,Teammanager - Amsterdam,QaEaZhIqSKW6WQ3co6yGow==,ZorgLoont,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Functieomschrijving, , , Ben jij een ervaren teammanager en ben je beschikbaar voor een nieuwe rol Weet je altijd goed het overzicht te houden Sta jij sterk en zelfverzekerd in je schoenen Lees dan snel verder, , , , Bij onze opdrachtgever zal je werkzaam zijn in een prettige en collegiale werkomgeving, waarbij er speciale aandacht uitgaat naar jouw persoonlijke en professionele ontwikkeling Je krijgt de tijd en ruimte om voldoende aandacht aan je clinten te geven, maar ook om te zorgen voor een goede balans tussen werk en priv, , Zorg vacature welzijn teammanager management ouderenzorg leidinggeven Amsterdam NoordHolland VVT, , , , , , ZorgLoont is een gespecialiseerd adviesbureau in de bemiddeling van vast, tijdelijk en interim personeel in de gezondheidszorg Wij bemiddelen voor functies op MBO, HBO en Academisch niveau",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325479906?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D95219e17653b%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddb8ddefddf9dd7aadbaddfgdd9addafddb3dedcacefec3ddcg3e&urlHash=mlab&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teammanager-amsterdam-at-zorgloont-2325479906?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
9,specialised services manager,LinkedIn,2301927004,KAM Manager,YQM9N6T+T6CGCHPh3FWWJA==,VDL Translift bv,"Dronten, Flevoland, Netherlands","['Automotive', 'Mechanical or Industrial Engineering']","VDL Translift zoekt een KAM Manager Weet jij alles op het gebied van kwaliteit, arbo en milieu en vind jij een technische omgeving helemaal geweldig, reageer dan snel, , KAM Manager",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301927004?url=https%3A%2F%2Fwww%2Ewerkenbijvdl%2Enl%2Fvacature%2F5077%2Fkam-manager-23&urlHash=Bk7I&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/kam-manager-at-vdl-translift-bv-2301927004?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
10,specialised services manager,LinkedIn,2303319786,Manager Strategie & Communicatie,hUfOlhwmTrK96TCX+YqWUQ==,Pantar Amsterdam,"Diemen, North Holland, Netherlands","['Civic & Social Organization', 'Nonprofit Organization Management']",Ben jij een strateeg met ondernemingsgeest en weet jij Pantar goed te positioneren binnen het netwerk in Amsterdam Dan is de functie van Manager Strategie  Communicatie wellicht iets voor jou Bij Pantar krijg je namelijk waar voor je werk je werkt bij ons voor mr dan alleen een beloning aan het einde van de maand Jouw werk is van menselijke en maatschappelijke waarde ,Full-time,https://www.linkedin.com/jobs/view/externalApply/2303319786?url=https%3A%2F%2Fpantar%2Ehomerun%2Eco%2Fmanager-strategie-communicatie%2Fnl%2Fapply%3F%26step%3D1&urlHash=JjXP&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-strategie-communicatie-at-pantar-2303319786?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
