Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,application developer,LinkedIn,2321554431,Application Developer - Flexible Office Homeoffice Remote,AGVhpAPXAVu8vx4FiKtqrA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Computer Software'],"We are looking for a qualified Application Developer to design and code functional programs and applicationsYou will work as part of a team and individually with little supervisionA great Application Developer has excellent knowledge of at least one programming languageThey must be familiar with a variety of operating systems and platformsThe ideal candidate will also have an analytical mindset and a keen eye for detailThe goal is to write clean and flawless code to produce fully functional software applications according to requirementsResponsibilitiesPerform unit and integration testing before launchDevelop technical documents and handbooks to accurately represent application design and codeUnderstand client requirements and how they translate in application featuresEvaluate existing applications to reprogram, update and add new featuresConduct functional and nonfunctional testingRequirementsA team player with excellent communication skillsExcellent understanding of software design and programming principlesProven experience as application developerGreat attention to detail and timemanagement skillsExperience in designing and building applications",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321554431?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F3f5e13ab-fb4b-47be-9ca1-51e67101a037%3Fjid%3Dc0f29ebe0ec5a62bb728ca25f5fb8c5624e5291afd1e87e482a23b25b79f4e01%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=qZee&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-flexible-office-homeoffice-remote-at-talent-2321554431?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=AGVhpAPXAVu8vx4FiKtqrA%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
2,application developer,LinkedIn,2286387039,Application Developer,uEMaultkhtHMcxqOn6YwvA==,LeasePlan Nederland,"Almere, Flevoland, Netherlands",['Automotive'],"Wil jij het beste uit jezelf halen binnen een dynamische werkomgeving Ben je klaar om jezelf en onze applicaties verder te ontwikkelen Ga dan met ons deze uitdaging aan, , Gezocht Application Developer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2286387039?url=https%3A%2F%2Fwerkenbijleaseplan%2Enl%2Fo%2Fapplication-developer-i&urlHash=IUio&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-at-leaseplan-nederland-2286387039?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=uEMaultkhtHMcxqOn6YwvA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
3,application developer,LinkedIn,2322195657,Application Developer - Delft,Pgm7anDFbXpaBCcyPJ8gEg==,ParaPy,"Delft, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Do you want to combine your expertise in webtechnology stacks with programming in Python Want to work in a vibrant scaleup company Then Parapy is looking for you Your role We are looking for an allround champion in both engineering design and software development to join our talented team of application developers On the one hand you love to solve challenging engineering problems and get to know all ins and outs of a good design On the other hand, you are eager to develop custom applications in close collaboration with our customers You will have a large impact on the success of our customers and ParaPy You enjoy helping our customers to become a star in ParaPy too and provide valuable feedback to our development team to improve our platform Your profile Master of Science in Mechanical Engineering, Aerospace or equivalent 2 years of professional working experience Fluent in Python and preferably another language Able to translate user needs into working solutions Excited about engineering master pieces and technology What we offer A good salary and the opportunity to grow with the company Work in a highly talented team and in an open learning environment Energizing atmosphere in the inspiring tech incubator of YesDelft Biweekly demos and presentations followed by Friday afternoon drinks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322195657?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D22c45cf94726%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecddeeadd8ddcbddb9addaadagdd7addcfdd93deecdcafec3ddcg3e&urlHash=xpQP&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-delft-at-parapy-2322195657?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=Pgm7anDFbXpaBCcyPJ8gEg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
4,application developer,LinkedIn,2296800235,Application Developer I,bdCmv9VB8J8gVziky7NVew==,LeasePlan,"Almere, Flevoland, Netherlands",None,"Omschrijving Wil jij het beste uit jezelf halen binnen een dynamische werkomgeving Ben je klaar om jezelf en onze applicaties verder te ontwikkelen Ga dan met ons deze uitdaging aan   Gezocht Application Developer   Wat ga jij doen LeasePlan Nederland is de grootste leasemaatschappij in Nederland De tevredenheid van de klanten en berijders van onze autos staat hoog in het vaandel Dat bereiken we met gedreven en betrokken medewerkers Ondersteuning vanuit de systemen en applicaties is hierin cruciaal De lease wereld is continue in beweging Traditionele brandstoffen worden steeds sneller vervangen door elektriciteit en waterstof Dit merken we in ons wagenpark maar ook in de maatregelen die de overheid neemt Klanten en berijders willen steeds meer online zaken doen Dat alles vraagt continue aanpassing en verbeteringen van onze applicaties Die applicaties hebben we in eigen beheer en de ontwikkeling doen we zelf Op de afdeling Application Development werken ontwikkelaars met verschillende skills in multidisciplinaire scrumteams Software leveren we op in 2 wekelijkse sprints Op termijn zullen we overgaan naar een nieuw systeem maar de komende jaren zullen we onze huidige applicaties nog moeten door ontwikkelen Daarbij kunnen we versterking gebruiken We zijn op zoek naar ontwikkelaars met kennis van Java en Java script frameworks, , Vereisten Om de functie van Application Developer goed uit te kunnen voeren zijn wij opzoek naar een ontwikkelaar die minimaal 3 tot 5 jaar ervaring heeft met het ontwikkelen van applicatie en hierbij bekend is met de volgende programmeertalen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2296800235?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fapplication-developer-i%3A44165989%2F&urlHash=br0F&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-i-at-leaseplan-2296800235?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=bdCmv9VB8J8gVziky7NVew%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
5,application developer,LinkedIn,2326320293,"Application Developer, Delft",jne49LxsmQa8axENiUwSPA==,ParaPy,"Delft, South Holland, Netherlands",['Computer Software'],"Do you want to combine your expertise in webtechnology stacks with programming in Python Want to work in a vibrant scaleup company Then Parapy is looking for you Your roleWe are looking for an allround champion in both engineering design and software development to join our talented team of application developers On the one hand you love to solve challenging engineering problems and get to know all ins and outs of a good design On the other hand, you are eager to develop custom applications in close collaboration with our customers You will have a large impact on the success of our customers and ParaPy You enjoy helping our customers to become a star in ParaPy too and provide valuable feedback to our development team to improve our platformYour profile Master of Science in Mechanical Engineering, Aerospace or equivalent 2 years of professional working experience Fluent in Python and preferably another language Able to translate user needs into working solutions Excited about engineering master pieces and technology What we offer A good salary and the opportunity to grow with the company Work in a highly talented team and in an open learning environment Energizing atmosphere in the inspiring tech incubator of YesDelft Biweekly demos and presentations followed by Friday afternoon drinks 7a2dfd2c690183676d8f6ced6c87dbf7",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326320293?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMzUyMTIyNWItZjU5ZS00MTgxLTkxZmQtODZhYTlhYTBjMjY2In0%2EGmw5NIfijaHIYLHS8YfaySYB4xGMzPGrqJ_fsYWp0v8%26jid%3D6734c87afbaf8013231a10e660cdf735d6e8c465e4cb81853b8c281340a8260e%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D621&urlHash=Jf2A&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-delft-at-parapy-2326320293?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=jne49LxsmQa8axENiUwSPA%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
6,application developer,LinkedIn,2305861607,Application Developer - Amsterdam,Ji0gNLPoeeBjxSCnUIfTAw==,IT recruitment company,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","Functie, , Application Developer, , Aanvraagnummer, , 93987, , Expertise, , C, SQL, ASPNET, JavaScript, , Regio, , Amsterdam, , Startdatum, , ASAP, , Duur, , Vast dienstverband, , Werkzaamheden, , The Application Developer takes care of the development and maintenance of Business applications within the organisation Problems or incidents regarding the applications are taken up and solved effectively by the Application Developer, , Main responsibilities, , Software Development Maintain smooth operation of applications and design, develop and implement new applications and new application functions to improve efficiency and effectiveness of operations and to gain competitive advantage Software Incident  Problem management Deliver effective and efficient support to users having incidents or problems regarding applications Ensure the participation of 2nd or 3rd line support if needed Keep Clientele related documentation uptodate Continuous improvement Signal and take action upon malfunctions in processes and procedures and propose improvements, , Job requirements, , Degree in Computer science or Information Systems or related field Experience in customer contact applications and technology Minimum of 5 years experience working in application development Deep understanding and experience with JavaScript required Good understanding of advanced JavaScript libraries and frameworks such as AngularJS  ReactJS Experience in frontend technologies such as HTML5 and CSS3 General knowledge of or experience in EGlue, SQL, DLL, SOAP, XML, WSDL, C, ASPNET Experience with software development methodologies A good working knowledge of current commodity ICT applications and systems Good communication skills in English written and spoken, , Competencies, , Building  maintaining relationships Planning  organising Analysis  problem solving Communication skills Cross functional awareness Initiative Persuasiveness Drive  execution",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305861607?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0a38a951dfe7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadfeddd8dd8badf9dd7addbgddfaadcfada3aebcdc9fec3ddcg3e&urlHash=P85l&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-amsterdam-at-it-recruitment-company-2305861607?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=Ji0gNLPoeeBjxSCnUIfTAw%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
7,application developer,LinkedIn,1959086170,Back-End Development Lead,a+QZAAuyjhurRD7mwJzuZg==,Everon,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","At Everon, we make expansion into EV charging easy and profitable, now and in the future With a focus on the larger movers and forces in the industry, Everon is the worlds premier cloudnative and multitenant PlatformasaService Built from the ground up to be global, future proof, APIfirst and highly scalable and secure",Full-time,https://www.linkedin.com/jobs/view/externalApply/1959086170?url=https%3A%2F%2Feveron%2Eio%2Fteam%2F%3Fgh_jid%3D4179698003&urlHash=vCBe&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/back-end-development-lead-at-everon-1959086170?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=a%2BQZAAuyjhurRD7mwJzuZg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
8,application developer,LinkedIn,2326811107,Application Developer - Office Homeoffice Remote Flexible - Amsterdam Metropolitan Area,9Tw21+W571ek5bE11OrI3Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for a qualified Application Developer to design and code functional programs and applicationsYou will work as part of a team and individually with little supervisionA great Application Developer has excellent knowledge of at least one programming languageThey must be familiar with a variety of operating systems and platformsThe ideal candidate will also have an analytical mindset and a keen eye for detailThe goal is to write clean and flawless code to produce fully functional software applications according to requirementsResponsibilitiesPerform unit and integration testing before launchDevelop technical documents and handbooks to accurately represent application design and codeUnderstand client requirements and how they translate in application featuresEvaluate existing applications to reprogram, update and add new featuresConduct functional and nonfunctional testingRequirementsA team player with excellent communication skillsExcellent understanding of software design and programming principlesProven experience as application developerGreat attention to detail and timemanagement skillsExperience in designing and building applications",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326811107?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0b2b4ed36606%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadeedde8adebddc9adbaadcgdddaddafdda3degcdcafec3ddcg3e&urlHash=fAfn&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-office-homeoffice-remote-flexible-amsterdam-metropolitan-area-at-talent-2326811107?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=9Tw21%2BW571ek5bE11OrI3Q%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
9,application developer,LinkedIn,2025048673,Application Developer,nb9tTaXIABi4J3RtBujGGQ==,Selfcare BV,"Breda, North Brabant, Netherlands","['Health, Wellness and Fitness']","We need your skills and ambition to bring our Personal Health Record to the next level Contact us when you, Work at midsenior level in NET at least 3 year experience working in Healthcare or safety service, Basic knowledge of web technologies such as HTML5, Angular 8, CSS and NET Rest APIs",Contract,,https://nl.linkedin.com/jobs/view/application-developer-at-selfcare-bv-2025048673?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=nb9tTaXIABi4J3RtBujGGQ%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
10,application developer,LinkedIn,2176245305,Applicatie Programmeur,d9mZq5Akkxlijhaezq9djw==,Vialis,"Houten, Utrecht, Netherlands",['Information Technology and Services'],"Binnen de verschillende stedelijke verkeersprojecten ben jij verantwoordelijk voor de programmering van programmas voor verkeersregelautomaten VRA die verkeerslichten aansturen Het eindproduct is een VRA die verkeersdoorstroming in goede en veilige banen leidt Daarnaast zorg je ervoor dat data beschikbaar komt die gebruikt wordt om kruispunten met elkaar te laten communiceren Deze data wordt gebruikt door app en autofabrikanten om snellere routes van A naar B te creren Naast verkeersregelautomaten werk je ook aan parkeer en route informatiesystemen, , , Nieuwe technieken, een veranderende digitaliserende markt met de opkomst van slimme en autonome voertuigen wordt jouw werkomgeving Je werkt samen met je collegas aan verschillende projecten tegelijkertijd In hoofdlijnen ga jij je bezighouden met, , , , , Als applicatieprogrammeur moet je veel kunnen schakelen Je bent daarom flexibel, communicatief sterk en weet overzicht over je werkzaamheden te houden in een dynamische omgeving Je laat je niet snel uit het veld slaan en denkt in oplossingen Denk jij dat zaken makkelijker of beter kunnen dan horen we dat graag Bovendien heb je in ieder geval, , , , , Bij Vialis werken we door heel Nederland aan mooie toonaangevende projecten Dat doe jij vanuit een van onze vestigingen in Houten of Elst Als teamspeler zoek je actief de samenwerking met collegas op Wat mag je van ons verwachten, , , , , Maak een vliegende start en solliciteer direct via het sollicitatieformulier onderaan de pagina, , Voor vragen over de sollicitatieprocedure kun je contact opnemen met onze HRafdeling via 030 6943500 of per mail naar vacaturevialisnl  Voor meer informatie over werken bij Vialis, ga dan naar wwwwerkenbijvialisnl , , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld, wij hebben de intentie om deze functie zonder tussenkomst van een bureau in te vullen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2176245305?url=https%3A%2F%2Fwww%2Evolkerwessels%2Ecom%2Fnl%2Fwerken-bij%2Fvacatures%2Fapplicatie-programmeur&urlHash=qX8k&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/applicatie-programmeur-at-vialis-2176245305?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=d9mZq5Akkxlijhaezq9djw%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
