,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,2,transport,LinkedIn,2325472681,Transport Planner,ByBPXaU1TGqUvKG2WcHPEQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Management,"Job Context  Duties, , Study traffic flow, , Apply statistical analysis techniques, , Possess visual literacy, , Analyse transport business networks, , Conduct environmental surveys, , , , Excellent time management and organisational skills, , Accuracy and attention to details, , Ability to work independently, , Good communication, cooperation and team working skills, , Ability to work effectively in an international or multicultural environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325472681?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D8e341f2f638e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cadb8dddfddc9ddfaadaaddegadaaddafddd3de8cacbfec3ddcg3e&urlHash=UA-7&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/transport-planner-at-talent-2325472681?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,4,transport,LinkedIn,2311780533,Transport Planning Officer M/F,c+XYC9TcQXWvxT/vXowQmA==,GEFCO,"Waalwijk, North Brabant, Netherlands",['Logistics and Supply Chain'],Supply Chain,"Contexte, , With operations in 47 countries, GEFCO Group is a global leader in industrial supply chain solutions and the European 1 in automotive logistics We are proud of our 70 years of heritage and the expertise of our 15,000 employees around the world, , , , , , , , , , , , , ,  , , , , , ,  , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Mission, , , , , , , , , , , , , , , Profil",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311780533?url=https%3A%2F%2Fwww%2Egefco-careers%2Enet%2F%3F_4x1F8B08000000000000006D8FBD0E83200084DF86D1F0A34807062BD03837CE4685365805829AD4B7AF697473BEEFBEDC051F2ACD21F0519BC811E8DB7134715DADE6984296DF306B30638412461B54A7A481680FC0FC31DBC338B1B94B2E3B311F172EE4B30497CABCC1354A0F3644DF9B79AE1633F1B0F7DA31197C17FCBC58F74E06842188BED56E9DBA7DEA950A1F26EBEC52D795B8BE704EFBF6DCBF5E265AFD7FC3252652A97B41B0A21466B94C0B2864AA72951512B2F207727C367D2B010000%26offerid%3D15655&urlHash=5m-P&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/transport-planning-officer-m-f-at-gefco-2311780533?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,5,transport,LinkedIn,2325414612,Freight Transport Dispatcher,ntyo+LruRY63wcyA24fu/g==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Customer Service,"Job Context  Duties, , Monitor vehicle fleet operations, , Keep task records, , Communicate verbal instructions, , Make independent operating decisions, , Conduct analysis of ship data, , , , Openness and interest in learning and further development, , Good communication, cooperation and team working skills, , Accuracy and attention to details, , Experience of having worked in a similar role, , Ability to work effectively in an international or multicultural environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325414612?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4b8e55fc5142%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccade8dd8fadb9ddbaddbaadagaddaddbfddf3deccdcefec3ddcg3e&urlHash=gQ4D&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/freight-transport-dispatcher-at-talent-2325414612?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,8,transport,LinkedIn,2320598375,"Carrier Manager, Amsterdam",7DFv1JSqTJadeEmaNjuUgg==,IC Resources,"Amsterdam, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Semiconductors', 'Telecommunications']",Information Technology,"As a Carrier Manager you mainly lead the transport tender activities within one of the top players in the market The role, Purchase of transport, Build and maintain relationships with customers,, Negotiate rates with carriers and guarantee service quality",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320598375?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fcarrier-manager-amsterdam%3A44353984%2F&urlHash=I4IY&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/carrier-manager-amsterdam-at-ic-resources-2320598375?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,10,transport,LinkedIn,2297599547,Carrier Manager,XfVvuj4kSaa4vVPDVlFHVQ==,IC Resources,"North Holland, Netherlands","['Package/', 'Freight Delivery', 'Logistics and Supply Chain']",Purchasing,"Carrier Procurement Manager, As a Carrier Manager you mainly lead the transport tender activities within one of the top players in the market,   The role",Full-time,,https://nl.linkedin.com/jobs/view/carrier-manager-at-ic-resources-2297599547?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,14,transport,LinkedIn,2273088185,Regional Transport Manager,HOofaJ6bSV2B801HFiii2g==,VIA Logistics Professionals,"sHertogenbosch, North Brabant, Netherlands","['Transportation/', 'Trucking/', 'Railroad', 'Logistics and Supply Chain', 'Warehousing']",Distribution,"Our client is a logistics service provider in region Den Bosch, , Function description, In your job as a Regional Transport Manager you will be part of the wider operational leadership team You supporting Business Units across Europe with multimodal primary transport and global forwarding solutions The objective of this role is to manage transport and freight forwarding operations in your respective region",Full-time,,https://nl.linkedin.com/jobs/view/regional-transport-manager-at-via-logistics-professionals-2273088185?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,15,transport,LinkedIn,2325428402,Road Transport Maintenance Scheduler,kguatn9kSt2yv728EE9tjA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Other,"Job Context  Duties, , Maintain vehicle spare parts, , Comply with schedule, , Programme work according to incoming orders, , Manage backlogs, , Read standard blueprints, , , , Experience of having worked in a similar role, , Good interpersonal and communication skills, with customer service orientation, , The ability to deal with a range of tasks at the same time, , The ability to carry out work efficiently and accurately, even under pressure, , Ability to work autonomously",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325428402?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6c0a5c76ca89%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadd8ddgfadf9ddbaaddadd9gddaaaddfadf3de8cdc7fec3ddcg3e&urlHash=xrVM&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/road-transport-maintenance-scheduler-at-talent-2325428402?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,16,transport,LinkedIn,2321563157,Carrier Manager,bXB1LpIdSKyujXzcw0NfCw==,Technojobs,"Amsterdam, North Holland, Netherlands",['Mining & Metals'],Information Technology,"As a Carrier Manager you mainly lead the transport tender activities within one of the top players in the market, , The role, , , Contact Name Niall Fearon, Reference TJ801V168461",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321563157?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb4ec4eb3-15f0-43e8-9553-870ca5241e2d%3Fjid%3Dc59bde5ab8cee2bbfc54449e7b0b2dae7b6cf2140b95b1f09024bf36220ba319%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=2Gqu&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/carrier-manager-at-technojobs-2321563157?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,18,transport,LinkedIn,2325419666,Transport Engineer,bBlZcelETdOcxR+jMUygFg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Engineering,"Job Context  DutiesApprove engineering designExecute analytical mathematical calculationsDesign transportation systemsAdjust engineering designsEnsure compliance with safety legislationQualifications and experience requiredThe ability to carry out work efficiently and accurately, even under pressureSense of proactive initiative and team spiritStrong motivation and open and positive attitudeAbility to work autonomouslyThe ability to carry out work efficiently and accurately, even under pressure",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325419666?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D62ff1eb3cf36%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacdde8adafada9ddfaadbaadegdddaaddfada3dedcdcafec3ddcg3e&urlHash=8jwO&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/transport-engineer-at-talent-2325419666?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,19,transport,LinkedIn,2278365890,Transport Compliance Officer,Aui/O4vgRDuISeei+Hu7SA==,Mammoet,"Utrecht, Utrecht, Netherlands",['Mechanical or Industrial Engineering'],Finance,"Job Description, , Mammoet is looking for task oriented and enthusiastic individual to join our SHEQ team in Edmonton, AB To ensure full compliance of commercial vehicle driver requirements in accordance with corresponding Provincial Federal  State Department of Transportation legislations, further ensuring all involved and required are in order and correct to complete the job according to all Mammoet SHEQ, business and quality standards, policies and procedures, , Responsibilities including but not limited to, , , Reports to, , , Key skills, , , , , Education and Training, , , Languages, , , , , , , , Mammoet helps clients improve construction efficiency and optimize the uptime of plants and installations For that purpose, we provide solutions for lifting, transporting, installing and decommissioning large and heavy structures, , Our services are focused on the petrochemical and mining industries, civil engineering, power generation and offshore projects The logistic challenges in these industries are growing daily Factors such as remote locations, harsh climates and a strong emphasis on the environment are constantly driving us towards smarter and safer solutions, , We provide the following services, , , For over two hundred years, weve been known for the unique capability of our stateoftheart equipment But its the trust of our clients that has brought us where we are today Their confidence inspires 5,000 Mammoet professionals to give it their all each day and truly make a difference in projects all over the world, , , , About our region, , Salary will be commensurate based upon education and experience Mammoet offers competitive wages, health benefits and RRSP contributions In addition to this, we offer an engaging environment in which a variety of career development and growth opportunities exist to our employees both locally and internationally Mammoet is an existing benefactor for variety of local and national charity organizations and also provides support for our own employees extracurricular activities To view our Human Capital Values, please visit our careers website at ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278365890?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fde2cf78c-c188-48ff-8179-e923afe505cd%3Fjid%3D6f595b9125b49754da75cb05e122bfdcd90005e5ecd3ddffc1e6c1ec6a8b9d8f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=AxWP&refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/transport-compliance-officer-at-mammoet-2278365890?refId=89df2fa0-45f7-4ca8-a850-1d910e9a6b03&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
