Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,sale,LinkedIn,2326022970,Commercieel Medewerker Verkoop Binnendienst,lG/ukPLcRE+ggRJRV5rVMA==,Bouwmaterialen Recruitment Nederland,"AmsterdamNoord, North Holland, Netherlands",['Food & Beverages'],"Vanuit de verkoop binnendienst ben je een zeer belangrijk aanspreekpunt voor klanten Je adviseert en ondersteunt klanten over het uitgebreide assortiment en de diverse toepassingsmogelijkheden Je staat klanten professioneel te woord en verkoopt het totale assortiment Je maakt zelfstandig offertes, volgt deze op en zorgt ervoor dat orders op tijd kunnen worden uitgeleverd Eventuele klachten los je snel en vakkundig op Naast deze activiteiten help en adviseer je ook de klanten aan de balie Door jouw commercile instelling en klantgericht handelen weet jij klanten voor de lange termijn aan je te binden Je werkt op de verkoop binnendienst intensief samen met jouw overige collegas, , Functieeisen, , , , Bedrijfsomschrijving, , Voor Bouwcenter Gruter zijn wij exclusief op zoek naar een Commercieel Medewerker Verkoop Binnendienst Onze klant is een gerenommeerde professionele aanbieder van bouwmaterialen en hout en plaatmateriaal Klanttevredenheid en service staan bij BouwCenter Gruter hoog in het vaandel Vanuit de vestiging in NoordAmsterdam worden zowel de kleine, middelgrote als grotere aannemerij efficint beleverd Het salesteam bestaat uit een hecht aantal collegas waarbij collegialiteit en teamspirit erg belangrijk worden gevonden Bij Bouwcenter Gruter heerst een informele werksfeer en een nononsens mentaliteit, , Arbeidsvoorwaarden, , Bouwcenter Gruter biedt uitstekende arbeidsvoorwaarden, waaronder een uitstekend salaris, 8 vakantiegeld, vakantiedagen, een mooi pensioen Bovenal een leuk team en een mooie uitdaging Van toepassing is de HIBIN CAO",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326022970?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F605b41e3-fd29-4d9b-9b92-82f3b8a3c92c%3Fjid%3De760e3ce5f9c3b7e7b680b67f42f70a81bd8fda11de422f91fe1ca899dc31ef4%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=i5g2&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/commercieel-medewerker-verkoop-binnendienst-at-bouwmaterialen-recruitment-nederland-2326022970?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
2,sale,LinkedIn,2317393108,Teamleider Verkoop,TaikHHg4QU+en15BsS1B9w==,Kruidvat,"Amsterdam, North Holland, Netherlands","['Logistics and Supply Chain', 'Internet', 'Retail']","Dit ga je doen, , Ben jij een geboren leider en klaar voor een volgende stap in je retailcarrire Dan is Kruidvat d plek waar jij jouw ondernemerschap, commercieel inzicht en aanpakkersmentaliteit kunt inzetten en ontwikkelen In een Kruidvatwinkel is altijd iets te doen Gelukkig maar, want als teamleider krijg je van die veelzijdigheid aan taken en werkzaamheden juist veel energie Die energie weet je over te brengen op je medewerkers Samen met hen maak je jouw Kruidvatwinkel tot een succes Je stuurt jouw mensen aan tijdens verschillende dagen in de week of in het weekend Omdat je ze motiveert en stimuleert, verschijnen ze vol energie op het werk, Als teamleider werk je zelf actief mee met alle voorkomende zaken op de winkelvloer, waardoor je een band opbouwt met je collegas En natuurlijk denk je met de assistent filiaalmanager mee over hoe je de winkelervaring van jouw klanten nog verder kunt verbeteren Jullie gaan voor de hoogste dagomzet en willen een glimlach zien op het gezicht van iedere klant die met een goedgevulde tas de winkel uit loopt Een dag geknald en superlekker gedraaid Dat voelt goed Waar wacht je nog op Kom bij de Kruidvatclub, , , , , , , , , , , Reisafstand naar je nieuwe baan, , Wil je weten hoe ver je moet lopen, fietsen of rijden naar je werk Bereken hieronder je reistijd",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317393108?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-5587389616801766045%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Ph0V&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-verkoop-at-kruidvat-2317393108?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
3,sale,LinkedIn,2298626506,Verkoop- en marketingspecialist,SQBVKI6DRV+ulL4DhV2r3w==,Grenzelooswerk,"Amsterdam, North Holland, Netherlands",['Internet'],Ben jij toe aan een nieuwe stap in je carrire en lijkt het je gaaf om jouw marketing n sales skills in te zetten voor de grootste zoekmachine ter wereld Zoek jij meer uitdaging n wil je graag eens ontdekken hoe het is om in het buitenland te werken Start dan als sales expert in Portugal,Full-time,https://www.linkedin.com/jobs/view/externalApply/2298626506?url=https%3A%2F%2Fwww%2Egrenzelooswerk%2Enl%2Fvacatures-buitenland%2Fwerken-in-lissabon-marketing-sales-expert%3Futm_source%3DLinkedIn%26utm_medium%3Dvacature%26utm_campaign%3DGoogle-Sales&urlHash=c57F&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/verkoop-en-marketingspecialist-at-grenzelooswerk-2298626506?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
4,sale,LinkedIn,2218871522,Verkoop Binnendienst Medewerker,lDhukLjVRkOtKFaeOlVlkQ==,Koopman International BV,"Zaandam, North Holland, Netherlands",['Wholesale'],"Ben je administratief goed onderlegd en wil je binnen een internationale organisatie werken Dan zijn we op zoek naar jou, Koopman International is een internationaal opererende import en export onderneming en gespecialiseerd in non food artikelen Wij zijn n van de grootste importeurs van Europa en wij leveren consumenten producten aan bedrijven binnen de detailhandel, zoals supermarkten, bouwmarkten, tuincentra, warenhuizen en internationale bedrijven Het hart van Koopman International ligt in Amsterdam Ons hoofdkantoor en de showrooms zijn gevestigd in Amsterdam We hebben ook kantoren en showrooms in meer dan 24 landen in Europa en tevens in het MiddenOosten, Afrika en Noord en ZuidAmerika Ons distributiecentrum is volledig geautomatiseerd en gevestigd in Emmeloord",Full-time,,https://nl.linkedin.com/jobs/view/verkoop-binnendienst-medewerker-at-koopman-international-b-v-2218871522?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
5,sale,LinkedIn,2301185757,Sales Manager Europe,ABprqniVTbWXMvjL09yvGA==,Arch  Hook,"Amsterdam, North Holland, Netherlands",['Retail'],"SALES MANAGER EUROPE, The Sales Manager Europe is an international management role, , What We Stand For, There are sustainable alternatives to source hangers, both from an environmental and a cost standpoint  A sustainable future requires ambition, leadership and commitment Arch  Hook aims to be the most forwardthinking hanger company, by shifting the world to sustainable hangers",Full-time,,https://nl.linkedin.com/jobs/view/sales-manager-europe-at-arch-hook-2301185757?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
6,sale,LinkedIn,2198777521,Manager internationale verkoop,LWOrIzhhSR2eUXiY36Bh+g==,Renewi Nederland,"Moerdijk, North Brabant, Netherlands","['Renewables & Environment', 'Chemicals', 'Environmental Services']",Heb jij ruime kennis van grond en de thermische reiniging hiervan en wil je deze kennis inzetten in een uitdagende commercile functie Geniet jij van verkopen en onderhandelen en heb je een groot netwerk in deze sector met kennis van chemische processen En wil jij  last but not least  jouw kennis inzetten bij een bedrijf dat midden in de circulaire economie staat Dan zijn wij op zoek naar jou,Full-time,,https://nl.linkedin.com/jobs/view/manager-internationale-verkoop-at-renewi-nederland-2198777521?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
7,sale,LinkedIn,2318489778,Medewerker verkoop binnendienst,f/j6msbrT/Oay66lDGa4nQ==,auto aoreana,"Amsterdam, North Holland, Netherlands","['Construction', 'Information Technology and Services', 'Oil & Energy']","Algemene omschrijving, , Functieomschrijving In deze rol adviseer jij de beste producten aan de klanten Als jij vooraf al weet dat de combinatie van de verschillende componenten die de klant wil niet gaat werken ben jij hier eerlijk in Natuurlijk adviseer jij ze dan zeker wat wel werkt Maar jouw taken pakket is nog uitgebreider denk hier bij aan Samen met de accountmanagers de grote accounts bedienen Samen met de Marketingafdeling verschillende acties bedenken Je draagt zorg voor de juiste registratie en indien nodig zet je het door naar de regionale accountmanager Dit alles doe je natuurlijk niet alleen Je werkt samen binnen een leuk team van allerlei verschillende achtergronden Draag jij binnenkort ook jouw steentje bij aan het succes Solliciteer direct Het sollicitatieproces is als volgt Een intake bij ons op de vestiging Een vragenlijst vanuit jouw nieuwe werkgever Een video interview met jouw nieuwe werkgever Door naar de volgende rond Dan ga je op gesprek met jouw nieuwe collegas Functieeisen Mbo 4 of hbo opleiding afgerond met voorkeur richting commercieel Ervaring met IT gerelateerde producten is een must Je spreekt en schrijft vloeiend Nederlands  Engels, daarnaast is kennis van de Duitse taal op b1 niveau een must Je beschikt al over enige ervaring in de verkoop ook als junior komen we graag met je in contact Je bent vooruitstrevend en je bent niet bang om het initiatief te nemen Bedrijfsomschrijving Jouw nieuwe werkgever is een van de grootste speler op het gebied van IT materiaal Je komt ze dan ook niet tegen in een grote elektronica zaak, want wat zij produceren is echt iets op maat en naar de wensen van de klant Je vindt ze niet alleen in productie ruimtes overal ter wereld maar ook nog eens in het heelal Stijg jij boven je zelf uit en ga jij als een raket Dan ben jij onze match Locatie Oosterhout Arbeidsvoorwaarden Een fulltime functie Direct op contract bij het bedrijf Een goed bruto maandsalaris dat start vanaf 2500 Een internationaal top bedrijf, , Gestelde eisen, , Voor de volledige vacature klik op de sollicitatiebutton Je wordt doorgestuurd naar een externe website",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318489778?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F2015909997162133272%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=w35S&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-verkoop-binnendienst-at-auto-a%C3%A7oreana-2318489778?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
8,sale,LinkedIn,2289675987,Teamleider Verkoop Binnendienst,d33u4EvoSA6vJTMQ36WyvA==,Uitzendbureaunl,"Zaanstad, North Holland, Netherlands","['Automotive', 'Machinery', 'Staffing and Recruiting']","In deze full time functie krijg je gelijk een contract bij de opdrachtgever en ben je verantwoordelijk voor de afdeling verkoop binnendienst dat bestaat uit vier medewerkers Je bent onder andere verantwoordelijk voor het aansturen, het helpen en begeleiden van jouw teamleden hbetreft de dagelijkse opvolging van het orderproces De afdeling is het eerste aanspreekpunt voor de klanten en draagt zorg voor een correcte afhandeling van de bestellingen, , , , We bieden een salaris en secundaire voorwaarden in overeenstemming met de functie en je ervaring, , Vaardigheden, , , Opleiding, , HBO, , Over de werkgever, , Een snel groeiende medische groothandel in Zaandam, We zijn professioneel en hechten veel waarde aan een ondernemende instelling, zelfreflectie en kritische houding",Contract,https://www.linkedin.com/jobs/view/externalApply/2289675987?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-3012697093263586173%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Iz7r&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-verkoop-binnendienst-at-uitzendbureau-nl-2289675987?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
9,sale,LinkedIn,2298516561,Assistent verkoop (Franstalig),HNj8XsH5RaaM5/jsQPgmuw==,Select,"Amsterdam, North Holland, Netherlands","['Mechanical or Industrial Engineering', 'Staffing and Recruiting', 'Pharmaceuticals']","Functieomschrijving Je komt te werken als Assistent Verkoop voor diverse landen binnen en buiten Europa Je bent de rechterhand van onze Belgische vertegenwoordiger Hij is regelmatig aanwezig op het hoofdkantoor in Amsterdam en samen zorg je voor de dagelijkse werkzaamheden en werk je nauw samen met elkaar Waar anderen gauw in de stress schieten, ben jij iemand die prioriteren een must vindt Het is een zelfstandige functie waarbij je een flinke portie verantwoordelijkheid krijgt Je bent een onmisbare schakel binnen het team, , In deze uitvoerende en cordinerende rol ben je de spil binnen de order afhandeling, van de offerte tot aan de facturatie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298516561?url=https%3A%2F%2Fwww%2Eselect-jobs%2Enl%2FItems%2Fnl-NL%2FJobs%2FSales%2Fassistent-verkoop-franstalig&urlHash=ilCp&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/assistent-verkoop-franstalig-at-select-2298516561?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
10,sale,LinkedIn,2311525950,Bijbaan Verkoop Keukenafdeling,E0I4KTGHSWatxKj6JQ8K4A==,IKEA,"Haarlem, North Holland, Netherlands",['Retail'],"WIE JE BENT, Wat een glimlach al niet met je kan doen Jij weet er alles van Je voelt je helemaal in je commercile element als je klanten vakkundig kan helpen Je wilt ons fantastische IKEA assortiment graag leren kennen en je bent helemaal uptodate wat betreft de laatste woontrends Luisteren, meedenken en advies geven geeft je energie Samenwerken met al jouw collegas om zo onze klanten de perfecte klantwervaring te laten beleven zie je helemaal zitten, , Naast dat je jezelf herkent in onze warden, een passie hebt voor woninginrichting en staat te trappelen om jezelf en IKEA verder te ontwikkelen, voldoe je aan de volgende voorwaarden, Je hebt ervaring of affiniteit met een commercile, horeca enof retail omgeving, Snel schakelen kun je als de beste, met altijd het belang van de klant voor ogen, Flexibel zijn is onderdeel van je DNA je bent bereid en in staat om op avonden, weekenden, feestdagen en vakanties te werken, , , Als verkoopmedewerker keukens adviseer je onze klanten op een deskundige en eerlijke manier en help je hen bij het realiseren van een droomkeuken, , Hoe je dag er uit kan zien je start je werkdag met een kort overleg waarin de bijzonderheden van deze dag worden doorgenomen De eerste klant loopt over de afdeling en je helpt hem met het uitzoeken en samenstellen van de keuken Met jouw kennis van het keukensysteem maak jij een tekening in het keukenplanprogramma Door de juiste vragen te stellen, help je de klant bij het maken van de juiste keuze in stijl, indeling en budget Je volgende klant is een planservice, deze klant heeft een afspraak gemaakt om een keukentekening te laten maken Dit gebeurt via videocall op afstand, omdat de klant liever vanuit huis geholpen wil worden Terwijl jij aan het eind van de dag opruimt in de keukenaccessoires shop help je nog een laatste kant bij het uitzoeken van een kraan, , , We zijn wereldleider op het gebied van woninginrichting en zijn trots op onze waarden en Zweedse cultuur Samen werken we elke dag aan onze visie om een beter dagelijks bestaan te creren voor zoveel mogelijk mensen Dit doen we door een uniek assortiment woningsproducten aan te bieden die voor veel mensen betaalbaar zijn, , Elke IKEA winkel is een organisatie op zich Bij IKEA Haarlem werken 450 enthousiaste medewerkers die elke dag samen hard werken om onze klanten te verrassen en te inspireren Met al onze kennis en ervaring in de woninginrichting is dit de organisatie om aan jou loopbaan te bouwen, , , , , ,  Een informele en open werksfeer waar jouw ontwikkeling telt,  Als je 21 jaar of ouder bent, verdien je 1118 pu Op doordeweekse avonden na 19 uur verdien je 13,98 Op de zaterdag avond na 19 uur en de gehele zondag verdien je zelfs 22,36 Deze bedragen zijn bruto per uur,  Een rooster via de app vier weken van te voren en de leukste collegas, , Om te ontdekken wat de collegas van IKEA drijft klik op de link UPPDRAG bovenaan de pagina naast het IKEA logo, , Ben je enthousiast geworden en zie jij jezelf in deze rol Fantastisch Upload je CV en geef in jouw motivatiebrief je motivatiebrief voeg je toe in het uploadveld onder Deel wat meer op de sollicitatiepagina in ieder geval antwoord op de volgende 3 vragen,  Waarom past een baan van 12 uur bij jou,  Wat spreekt jou aan in deze vacature bij Sales,  Waarom ben jij het commercieel talent wat wij zoeken, , Een integriteitcontrole via het waarschuwingsregister van de Stichting Fraude Aanpak Detailhandel is onderdeel van de sollicitatie procedure, , Wij kijken uit naar je sollicitatie",Part-time,https://www.linkedin.com/jobs/view/externalApply/2311525950?url=https%3A%2F%2Fikea%2Eavature%2Enet%2FExternal%2FJobDetail%2F67031%3Fsource%3DLinkedIn&urlHash=5muY&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/bijbaan-verkoop-keukenafdeling-at-ikea-2311525950?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30
