Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,selling real estate,LinkedIn,2326071015,PROJECTMANAGER ONROEREND GOED,sH1AgXcHVxaA6Xw8RMOkCg==,Van der Zwan Vastgoed BV,"Amsterdam, North Holland, Netherlands",None,"Voor verdere professionalisering en uitbreiding van onze organisatie zijn wij op zoek naar een enthousiaste, , PROJECT MANAGER ONROEREND GOED, , Fulltime, , Wat ga je doen, , In deze uitdagende functie cordineer je meerdere projecten en verbouwingen tegelijkertijd Per pr oject houd je mn de planning, voortgang en kwaliteit in de gaten Je onderhoudt contacten met alle betrokken partijen, zoals aannemers, archit ecten en gemeentelijke instanties , , Tevens stuur je een deel van de verhuurde vastgoedportefeuille aan door contact te hebben met de huurders, beheerders en VVEbeheerders Veelal heeft dit betrekking op onderhoudszaken die in een woning of aan een complex worden uitgevoerd, , Functie eisen, , , , Wat bieden wi j, , E en zeer zelfstandige, afwisselende baan in een plezierige, open werkomgeving, waarbij natuurlijk een passende beloning hoort, , Solliciteren, , Wil je ons team komen versterken en haal je voldoening uit het beheer en ontwikkelen van vastgoed op technisch vlak , stuur dan een schriftelijke reactie voorzien van CV aan Van der Zwan Vastgoed BV , Email click apply , , Voor vragen zijn we ook telefonisch bereikbaar  click apply , , Over de organisatie, , Van der Zwan Vastgoed BV, gevestigd te Amsterdam, is een klein familie bedrijf dat zich al jaren bezighoudt met aankoop, ontwikkeling en verkoop van onroerend goed Van der Zwan Vastgoed BV heeft een vastgoedportefeuille die voornamelijk bestaat uit beleggingen in woningen, winkels en enkele vastgoedontwikkelingen Wij werken samen met makelaars, beheerders, aannemers en diverse gemeentelijke instanties",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326071015?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-2556907200178621386%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=eh-7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/projectmanager-onroerend-goed-at-van-der-zwan-vastgoed-b-v-2326071015?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=sH1AgXcHVxaA6Xw8RMOkCg%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
2,selling real estate,LinkedIn,2291625042,Makelaar KRMT,McwtDuJiQdFHx5n+5yCEXA==,1KLICK D RECRUITER IN HET VASTGOED,"Amsterdam, North Holland, Netherlands","['Commercial Real Estate', 'Real Estate']","Gezocht voor een vooraanstaande speler in centum Amsterdam een allround KRMT Makelaar in opleiding Als allround makelaar krijg je alle vrijheid je verder te ontplooien en je werkgebied en netwerk uit te bouwen Je kunt gaan aankopen voor klanten, panden in verkoop nemen, verkoopbezichtigingen uitvoeren, onderhandelen en alles wat binnen jouw certificering mag en kan volgens de richtlijnen De binnendienst van dit kantoor is goed ingericht en je collegas weten exact wat jij nodig hebt om te excelleren in je vak Clientele is voor 75 expats Werken voor deze werkgever betekent ook prima verdienen met een interessante commissieregeling Studeren en bijleren en je vak bijhouden zijn de standaard binnen deze organisatie, het professionele level ligt hoog",Full-time,,https://nl.linkedin.com/jobs/view/makelaar-krmt-at-1klick-d%C3%A9-recruiter-in-het-vastgoed-2291625042?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=McwtDuJiQdFHx5n%2B5yCEXA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
3,selling real estate,LinkedIn,2325528109,Ervaren Juridisch Medewerker Grondzaken - Hoorn,yBWl/zwFrIiNhyfx8eI5Eg==,Gemeente Hoorn,"Hoorn, North Holland, Netherlands",['Government Administration'],"Functiexadomschrijving, , Juridisch actief met grond en onroerend goed, Als adviseur ben je betrokken bij zowel grote als kleine ruimtelijke projecten waarbij jij de opsteller van de anterieure overeenkomsten bent Daarnaast behandel je de aan en verkoop van onroerend goed en neem je deel aan projectteams waarin je adviseert over je vakgebied, je gesprekspartner aan de onderhandelingstafel bent en overeenkomsten opstelt Je werkt nauw samen met enthousiaste collegas vier juridische collegas en twee planeconomen, , , , Je bent een ervaren en gedreven professional, nieuwsgierig en leergierig Je doorziet snel waar de schoen wringt, werkt nauwkeurig en je komt altijd met goede oplossingen Je bent prima in staat zelfstandig te werken, maar ook gericht op samenwerking Last but not least ben je je steeds bewust van de gevolgen van je handelen, , , , Je werkt bij het Team Ruimtelijke Ontwikkeling, Wonen en Economie met ruim 30 collegas Het cluster Grondzaken levert een bijdrage aan de gebiedsontwikkeling op het gebied van planeconomie, kostenverhaal, aan en verkoop van gronden, strategisch beheer van gronden en inzet van het juridisch instrumentarium, , Je hebt veel invloed op je eigen agenda Bij Hoorn heb je flexibele werktijden en kun je naast thuis, ook op andere plaatsen werken, , , , Reageer vr 20 december as met jouw motivatie en cv via onderstaand formulier, , werkeninnoordhollandnoordnl, , Meer weten Neem contact op met Tom Plat, teammanager 06 31028817 of tplathoornnl, , Of Ilse Smit, jurist grondzaken 06 46072289 of ilsmithoornnl, , Benieuwd naar Hoorn als werkgever Kijk op wwwwerkeninnoordhollandnoordnl, , De selectieprocedure bestaat uit twee gesprekken Het eerste gesprek is gepland op 6 januari as, , Acquisitie naar aanleiding van deze advertentie vinden wij ongewenst en vervelend, , , , Vakgebied Ruimtelijke ordeningmilieu,Grondzaken, Opleidingsniveau WO,HBO, , , , , , , , Salaris geen info beschikbaar, Schaal minimaal 10A",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325528109?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db64c224bcca1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecddaaddccaddcdde8ddeaddcgadeaaddfadd3aefcdcffec3ddcg3e&urlHash=WVqH&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ervaren-juridisch-medewerker-grondzaken-hoorn-at-gemeente-hoorn-2325528109?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=yBWl%2FzwFrIiNhyfx8eI5Eg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
4,selling real estate,LinkedIn,2327271143,Aankomend Bedrijfsmakelaar | 40 uur,DtsZ52NtvUQLvD8vO8ooMw==,Nederland Vacature Groep,"Middelburg, Zeeland, Netherlands",['Human Resources'],"Over ons Wij zijn een vooruitstrevend en slagvaardig makelaarskantoor gespecialiseerd in bedrijfsmatig vastgoed Ons kantoor is gelegen op een leuke en gezellige locatie in Middelburg Vanwege verdere groei van ons kantoor zijn wij per direct op zoek naar een nieuwe collega voor de functie van aankomend bedrijfsmakelaar, , , , Als aankomend bedrijfsmakelaar treed je op als adviseur en sparringpartner van de ondernemers in de regio met betrekking tot de verkoop, verhuur en waardering van hun onroerend goed In de veranderende vastgoedmarkt ben je dagelijks creatief op zoek naar de beste kansen in de markt voor ons als bedrijf en voor je klant Je draagt bij aan het acquireren en uitwerken van nieuwe opdrachten en weet als geen ander op de juiste manier te communiceren met onze opdrachtgevers Bezichtigingen, onderhandelingen en vastleggen van tot stand gekomen transacties behoren vanzelfsprekend tot de orde van de dag, , , , , , , , , Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , Voor meer informatie over de vacature kun je contact opnemen met Koos Schreuder via telefoonnummer 0651 33 98 98, , , Solliciteer direct, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327271143?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Faankomend-bedrijfsmakelaar-40-uur-in-middelburg%2F253672%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D40582&urlHash=q4dt&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/aankomend-bedrijfsmakelaar-40-uur-at-nederland-vacature-groep-2327271143?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=DtsZ52NtvUQLvD8vO8ooMw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
5,selling real estate,LinkedIn,2328637605,Accountmanager Onroerend Goed Beleggingen - Krommenie,WbVb0SPrllN8ZcaZ7EPZNQ==,LiefhebberHR,"Krommenie, North Holland, Netherlands",['Human Resources'],"Bedrijfsomschrijving, , Dit bedrijf is 6 jaar geledenopgebouwd door een jonge ondernemer die het verkoopvak zeer goedbeheerst en een voorliefde had ontwikkeld voor de financilewereld Inmiddels heeft hij samen met een compagnon het bedrijflaten groeien tot 20 fte Diverse afdelingen zijn hier dagelijksbezig om zo veel mogelijk beleggers kennis te laten maken met dezealternatieve vorm van investeren Een bedrijf waar diverse zaken deboventoon voeren zoals, , , Bedrijfscultuur, , Decultuur laat zich het beste omschrijven als informeel enprestatiegericht maar met ruimte voor ontspanning en een goeiegrap Richting de klant zijn zij professioneel en serieus maar welmet een mentaliteit die ze grenzen laat verleggen Alles is hiernamelijk mogelijk als je het maar goed onderbouwd en eringeloofd, , , , Bij dit bedrijf ben jij actief in de hectischefinancile wereld als verkoopadviseur van alternatieve beleggingenHet financile wereldje heeft jou altijd al interessant geleken Jevolgt het nieuws, je weet wat de AEX doet en je snapt hoe banken enandere vermogensbeheerders hun geld verdienen Om deze job tekunnen doen heb je naast een passie voor deze wereld ook een talentvoor verkoop nodig Jij benadert namelijk proactief nieuwe klantenen bouwt aan een goede relatie die uiteindelijk resulteert in hetopenen van een account Jouw gesprekspartners zijn succesvolleondernemers, managers, directeuren en andere beleggers Eeninteressante doelgroep dus waarbij elk gesprek zowel persoonlijkals zakelijk een ultieme uitdaging is waarbij jij maximaal je bestzal moeten doen Jij bent oa verantwoordelijk voor de verkoop vanrecreatief onroerend goed vakantiewoningen, , , , , , Dezejob blijkt niet zomaar een baan maar A Way Of Living duspassie voor finance en voor sales zijn noodzakelijk, , , , , , , Wanneer je hier komt te werken dan wordt jetoegelaten tot de Champions League de verkoop",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328637605?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0b9347cdb720%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadeadd7cdddcddc8dd9aaddgadcaadefdd93deecdcgfec3ddcg3e&urlHash=dcn-&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/accountmanager-onroerend-goed-beleggingen-krommenie-at-liefhebberhr-2328637605?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=WbVb0SPrllN8ZcaZ7EPZNQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
6,selling real estate,LinkedIn,2313788553,KRMT (i.o) | Amsterdam | 1KLICK Dé Recruiter in het Vastgoed,C1tQ+J3kcmDkXaphDcUvNA==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Consumer Services', 'Environmental Services', 'Consumer Services']","Vacature van 1KLICK D Recruiter in het Vastgoed, locatie Amsterdam, , Gezocht voor een vooraanstaand makelaarskantoor in centrum Amsterdam waarbij de clientle voor 75 uit expats bestaat een allround KRMT Makelaar Iemand die nog in opleiding is is bespreekbaar, , Als allround makelaar krijg je alle vrijheid je verder te ontplooien en je werkgebied en netwerk uit te bouwen Je kunt gaan aankopen voor klanten, panden in verkoop nemen, verkoopbezichtigingen uitvoeren, onderhandelen en alles wat binnen jouw certificering mag en kan volgens de richtlijnen De binnendienst van dit kantoor is goed ingericht en je collegas weten exact wat jij nodig hebt om te excelleren in je vak, , Werken voor deze werkgever betekent ook prima verdienen met een interessante commissieregeling Studeren en bijleren en je vak bijhouden zijn de standaard binnen deze organisatie, het professionele level ligt hoog, , , , Het betreft een uitdagende functie waar je als KRMT makelaar op aangename manier je vak kunt uitoefenen Indien je nog in opleiding bent tot KRMT maar wel al enige werkervaring hebt in de makelaardij eventueel als binnendienst medewerker bestaat er de mogelijkheid van training on the job om zo te worden ingewijd in het echte makelaarsvak, , Als KRMT makelaar kan jij zelfstandig het gehele proces rondom aan en verkoop uitvoeren Er is uiteraard voldoende ruimte om samen met jouw collegas te sparren over verkoopaankoop strategien en alles wat bij dit proces hoort Geen enkele dag is het zelfde er is altijd veel dynamiek, , , , , , Natuurlijk ben je commercieel ingesteld, spreek je vloeiend Nederlands en goed Engels en houd je van vastgoed en vind je het leuk om klanten te begeleiden bij belangrijke stappen in hun leven, , , , 1KLICK is verantwoordelijk voor de werving en pre selectie ten behoeve van deze functie als preferred supplier voor onze opdrachtgever 1KLICK is d marktleider inzake werving  selectie in de vastgoedsector Specialisatie is search  interim management, , Meer weten over deze functie Neem voor meer info contact op met Bart Mulleneers van 1KLICK via 06 33 68 27 09 of via de button Solliciteer nu op deze pagina Direct je CV uploaden kan ook Wij nemen dan contact met je op, , Bart Mulleneers, , 31633682709, , via de button Solliciteer nu op deze pagina, , 1KM00420, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313788553?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F8015_1klick-d-recruiter-in-het-vastgoed%2Fvacatures%2F4959902_krmt-io%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Damsterdam&urlHash=KdBD&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/krmt-i-o-amsterdam-1klick-d%C3%A9-recruiter-in-het-vastgoed-at-werkzoeken-nl-2313788553?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=C1tQ%2BJ3kcmDkXaphDcUvNA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
7,selling real estate,LinkedIn,2260787610,Makelaar BOG,/ntHckUvtvyg3k2AVuFkzQ==,2bconnected,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Human Resources']","Introduction, , Voor onze opdrachtgever in sHertogenbosch zijn wij op zoek naar een medior  Senior BOG Makelaar die het leuk vindt om langdurige relaties aan te gaan met klanten Je bent ZEER proactief en weet met jouw kennis en ervaring van de vastgoed markt het verschil te maken Je bent bekend met het aankopen en verkopen van commercieel vastgoed als wel het aan huren en verhuren van BOG panden, , Organization, , Het betreft een bedrijfsmakelaardij die actief is binnen het bedrijfsmatige vastgoed Op dit moment zijn zij op zoek naar een BOG makelaar KRMT of RT die graag onderdeel wil worden van een bloeiende organisatie, , Function, , , , , Offer, , Information, , Olof Raas, Managing Partner, , Tel 06 48474407  020  7640777, , Werving  Selectie  Hypotheekadviseurs  Makelaars www2bconnectedorg, , Application, , Solliciteer via onze sollicitatie button en stuur je CV op in WORD met een korte motivatietekst, , Wij zullen de kennismakingsgesprekken bij ons op kantoor in Amsterdam Naarden of Utrecht inplannen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2260787610?url=http%3A%2F%2F2bconnected%2Ecarerix%2Ecom%2Fcxportal%2Fjobdetails%2F1629%2F%27s-Hertogenbosch%2FMakelaar-BOG%2Ehtml&urlHash=nz-b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/makelaar-bog-at-2bconnected-2260787610?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=%2FntHckUvtvyg3k2AVuFkzQ%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
8,selling real estate,LinkedIn,2260384733,"Verkoopmakelaar (Freelancebasis / ZZP-er, géén loondienst)",vjpc1VDWIur+Yi/oE2WPvw==,BaanZeker,"Sittard, Limburg, Netherlands",['Human Resources'],"Voor het makelaars en hypotheekadviesbureau Vivre Adviesgroep, gevestigd in het centrum van Sittard verzorgt BaanZeker het wervings en selectietraject voor de functie van VERKOOPMAKELAAR FREELANCEBASISZZPER, GN LOONDIENST, , Bedrijfsinformatie Vivre Adviesgroep is onderscheidend door de unieke aanpak Ze kenmerken zich niet door een harde, commercile benadering maar door betrouwbaarheid en een persoonlijke kijk op makelaardij en wonen in de meest brede zin Vivre biedt u dienstverlening met oprechte persoonlijke betrokkenheid bij de verkoop en de verhuur van uw woning, bij de aankoop van een nieuwe woning en bij het afsluiten van een hypotheek Vanuit het kantoor in Sittard adviseert en begeleidt het team Vivre Adviesgroep klanten in Zuid en MiddenLimburg Ze werken met lokale makelaars uit de omgeving van Sittard, EchtSusteren, Heerlen en Maastricht Een klant kan bij Vivre terecht voor een uniek totaalconcept, waarbij alle diensten die te maken hebben met het verkopen of kopen van een woning onder n dak zijn ondergebracht Op deze wijze worden klanten volledig ontzorgd Doel van de functie Je treedt op als adviseurbemiddelaar bij de verkoop, huur of verhuur van onroerend goed waarbij de nadruk in deze functie zal liggen op het behartigen van de belangen van de particuliere verkoper bestaande bouw Taakomschrijving Als verkoopmakelaar behartig je de belangen van de verkoper van een woning en ben je onder meer verantwoordelijk voor",Full-time,https://www.linkedin.com/jobs/view/externalApply/2260384733?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fverkoopmakelaar-freelancebasis-zzp-er-geen-loondienst%3A44039909%2F&urlHash=-5Z5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/verkoopmakelaar-freelancebasis-zzp-er-g%C3%A9%C3%A9n-loondienst-at-baanzeker-2260384733?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=vjpc1VDWIur%2BYi%2FoE2WPvw%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
9,selling real estate,LinkedIn,2278375868,Kavelruilcoördinator,xiSt0S+VcwpHlZY5ZiArgg==,Matchd,"Leeuwarden, Friesland, Netherlands",['Staffing and Recruiting'],"Startdatum, , Einddatum, Optie op verlenging Ja, , Aantal uur per week 20, , Sluitingsdatumom 1700 uur, , De wegen en vaarwegen in Frysln worden steeds aangepast, om ruimte te geven aan een betere mobiliteit en grotere veiligheid Voor al deze projecten is het nodig om grondposities te verwerven of aan te passen In de afgelopen jaren heeft de provincie veel grote infra projecten uitgevoerd Grondverwerving is voor deze projecten een essentieel onderdeel geweest Met name voor de nieuwe weg De Centrale As zijn veel overeenkomsten gesloten en gronden verworven Daarnaast loopt op dit moment de tweede fase van de Gebiedsontwikkeling De Centrale As, , Voor een aantal gebiedsmaatregelen dient nog grond verworven te worden enof een grondruilproces opgezetafgerond te worden, , Al met al liggen er nog diverse vastgoedopgaven binnen het project De Centrale As Voor het aankopen, ruilen en verkopen van de resterende gronden is de provincie op zoek naar een uitvoeringsgerichte kavelruilcordinator met kennis van het gebied en haar grondeigenaren Kennis en gevoel van de ontwikkelingen van de agrarische sector zijn van groot belang, , Binnen team Vastgoed voer je je werkzaamheden uit in opdracht van de Cordinator Infrastructuur en Mobiliteit Vastgoed, , Verantwoordelijkheden, , , Standplaats voor deze functie is Leeuwarden en Burgum",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278375868?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F1d15cf3c-6788-463d-803f-b68f90cea468%3Fjid%3D955b93ed43ca590b90a517cf6e600c7be540e8b4355e9ea4edeea47191502002%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D379&urlHash=zmbo&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/kavelruilco%C3%B6rdinator-at-matchd-2278375868?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=xiSt0S%2BVcwpHlZY5ZiArgg%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
10,selling real estate,LinkedIn,2324810095,PROJECTMANAGER ONROEREND GOED,1Dyf2P8NA9Dm3V5kiBXDhQ==,Van der Zwan Vastgoed BV,"Amsterdam, North Holland, Netherlands",None,"Voor verdere professionalisering en uitbreiding van onze organisatie zijn wij op zoek naar een enthousiaste, , PROJECT MANAGER ONROEREND GOED, , Fulltime, , Wat ga je doen, , In deze uitdagende functie cordineer je meerdere projecten en verbouwingen tegelijkertijd Per pr oject houd je mn de planning, voortgang en kwaliteit in de gaten Je onderhoudt contacten met alle betrokken partijen, zoals aannemers, archit ecten en gemeentelijke instanties , , Tevens stuur je een deel van de verhuurde vastgoedportefeuille aan door contact te hebben met de huurders, beheerders en VVEbeheerders Veelal heeft dit betrekking op onderhoudszaken die in een woning of aan een complex worden uitgevoerd, , Functie eisen, , , , Wat bieden wi j, , E en zeer zelfstandige, afwisselende baan in een plezierige, open werkomgeving, waarbij natuurlijk een passende beloning hoort, , Solliciteren, , Wil je ons team komen versterken en haal je voldoening uit het beheer en ontwikkelen van vastgoed op technisch vlak , stuur dan een schriftelijke reactie voorzien van CV aan Van der Zwan Vastgoed BV , Email click apply , , Voor vragen zijn we ook telefonisch bereikbaar  click apply , , Over de organisatie, , Van der Zwan Vastgoed BV, gevestigd te Amsterdam, is een klein familie bedrijf dat zich al jaren bezighoudt met aankoop, ontwikkeling en verkoop van onroerend goed Van der Zwan Vastgoed BV heeft een vastgoedportefeuille die voornamelijk bestaat uit beleggingen in woningen, winkels en enkele vastgoedontwikkelingen Wij werken samen met makelaars, beheerders, aannemers en diverse gemeentelijke instanties",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324810095?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F6048974445280265147%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=NC2q&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/projectmanager-onroerend-goed-at-van-der-zwan-vastgoed-b-v-2324810095?refId=20002ffb-dc57-4af4-bc99-0253202a5576&trackingId=1Dyf2P8NA9Dm3V5kiBXDhQ%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-29,2020-12-02
