Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,water supply,LinkedIn,2326698817,"Technisch Inkoper, Manager interne processen | Zwaag | TeqJob Management",yPUWhlsicNve3uVQwFr9AQ==,Technicusnl,"Zwaag, North Holland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']","Vacature van TeqJob Management, locatie Zwaag, , Technisch Inkoper, Manager interne processen, Zwaag, , Zoek je een nieuwe baan op management niveau, hou je van veel afwisseling en heb je ervaring met strategische inkoop trajecten dan gaan wij graag met je in gesprek Voor de afdeling bedrijfsondersteuning zijn wij per direct opzoek naar een kandidaat die ervaring heeft met de inkoop van technische gereedschappen, materialen, software en ICT apparatuur Hiernaast is het belangrijk dat je ervaring hebt als manager 5050 Wij zijn een toonaangevend installatiebureau in NoordHolland met 180 medewerkers Wij vertegenwoordigen diverse disciplines in de installatietechniek zoals HVAC, Domotica, Elektrotechniek, Gas, water en sanitair, , Je bent voor de inkoop het aanspreekpunt van alle projectmanager en je zorgt voor een tijdige aanvoer en voorraad van materialen op onze projecten Extern ben je het aanspreekpunt voor onze leveranciers en ga je met hun in gesprek over de inkoopvoorwaarden waarbij niet alleen de prijs van belang is maar ook duurzaamheid, relatie, levertijden en flexibiliteit belangrijke ingredinten zijn In deze functie krijg je de vrijheid om de inkoop naar een hoger niveau te tillen en processen verder te automatiseren Wij werken met Acto software Aangaande strategische aspecten van deze functie ben je gesprekspartner van de directie, , , , Wij streven bij alle medewerkers naar een gezonde balans tussen priv en werk Samen met de cultuur van een familie bedrijf, goede primaire en secundaire arbeidsvoorwaarden zorgen wij samen voor een laag personeelsverloop In deze functie geef je leiding aan de logistiek, magazijn, werkplaats en de facilitaire dienst  ICT, het zwaartepunt zal liggen bij strategische inkoop Je cordineert interne bedrijfsprocessen en houdt rekening met de financile en commercile aspecten In deze functie ben je onderdeel van het MT Daarnaast ben je medeverantwoordelijk voor hr aangelegenheden en de bezetting, , , , De ideale kandidaat, , , Diversiteit binnen het team geniet de voorkeur dus bv leeftijd, geslacht mag geen drempel zijn om te reageren op deze vacature, , , , Je gaat aan de slag bij een vooruitstrevende werkgever die innovatie en duurzaamheid hoog in het vaandel heeft Je hebt hier veel vrijheid in het uitoefenen van je functie en er zijn diverse ontwikkeltrajecten mogelijk Je werkt samen met een goed functionerend team Je gaat rechtstreeks in dienst bij de werkgever, , Tagged as HBO, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326698817?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F2933_282420_technisch-inkoper-manager-interne-processen%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Daccount%2Bzwaag&urlHash=fVeL&refId=b6780e5c-6b64-419c-acef-b6c3bf36857f&trackingId=yPUWhlsicNve3uVQwFr9AQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technisch-inkoper-manager-interne-processen-zwaag-teqjob-management-at-technicus-nl-2326698817?refId=b6780e5c-6b64-419c-acef-b6c3bf36857f&trackingId=yPUWhlsicNve3uVQwFr9AQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-11-04,2020-12-05
2,water supply,LinkedIn,2330317093,Junior Verkoper Technische Groothandel in Soest,oru9PD0N4xDTPZmwS0FQnw==,Talent Sponsored,"Soest, Utrecht, Netherlands",['Apparel & Fashion'],"D vraagbaak voor klanten op gebied van onze productgroepen water, lucht en elektriciteit Kunnen wij dit aan jou overlaten Check dan de vacature voor Junior Verkoper Technische Groothandel bij Wildkamp in Soest, , Wat ga je doen, , Voornamelijk adviseer jij onze klanten over de productgroepen lucht, water en elektriciteit Denk daarbij aan buizen en slangen voor drainage, riolering of hemelwaterafvoer Maar ook aan sanitair, kranen, elektra en ledverlichting Wie jouw klanten zijn Dat is met name de zakelijke klant en varieert van een zzper tot installateur en van een agrarir tot hovenier Door met de klant een band op te bouwen en ze een goed advies te geven, zorg jij ervoor dat zij bij jou terugkomen, , Als Junior Verkoper Technische Groothandel help je klanten in de winkel en telefonisch Je luistert goed, stelt de juiste vragen en verkoopt het product voor de klus Ook valt het maken en opvolgen van offertes onder jouw verantwoordelijkheid Actuele klantinformatie is belangrijk Jij zorgt ervoor dat de klantgegevens uptodate zijn En er is meer Je verzorgt het voorraadbeheer, denkt mee over het vestigingsplan en bedenkt samen acties Jij en je team weten natuurlijk als geen ander wat de klanten graag kopen, , Jouw collegas, , Het team bestaat uit een vestigingsmanager, een assistent vestigingsmanager, drie verkopers en een zaterdaghulp Samen zijn jullie verantwoordelijk voor het succes van de vestiging in Soest Met specialistische vragen kun je altijd terecht bij het hoofdkantoor in Lutten waar onze technisch productspecialisten je graag helpen De werktijden in de winkel zijn van 0700 tot 1730 uur waarbij je veelal wisselt tussen een vroege of een late dienst Om de beurt werk je een zaterdagochtend In overleg met je collegas bepalen jullie het rooster Koopavonden, zondagen of feestdagen hoef je bij ons niet te werken, , Wie ben jij, , Als Junior Verkoper Technische Groothandel ben jij enthousiast, ambitieus en heb je een actieve houding ten opzichte van klanten Daarnaast kun je goed samenwerken binnen een klein team van collegas Heb je al relevante ervaring of juist niet Wij leren je graag de kneepjes van het vak, , Verder beschik jij over, , , , Wat bieden wij jou, , Een interessante startersfunctie binnen een klein gezellig team mt ondersteuning van een professionele organisatie Daarnaast bieden wij je volop mogelijkheden om je verder te ontwikkelen, , Verder bieden wij, , , , Direct solliciteren of meer informatie, , Ben je meteen enthousiast geworden na het lezen van vacature van Junior Verkoper Technisch Groothandel Solliciteer dan voor 11 november 2020 via de sollicitatiebutton Heb je nog vragen Bel dan gerust met Jos van Nimwegen, Vestigingsmanager, opof met de afdeling PO via Een email sturen naar mag ook, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld, , Wie zijn wij, , Wildkamp is een technische handelsonderneming, gespecialiseerd in de productgroepen water, lucht en elektra We hebben ruim 100000 artikelen op voorraad, van buizen en slangen tot elektrische pompen en van radiatoren tot sproei installaties Wij zijn een familiebedrijf dat 48 jaar geleden is opgericht en waar de volgende generaties ook al in het bedrijf werken Met 350 collegas en 45 vestigingen zorgen we dagelijks voor advies op maat Wil je meer weten over Wildkamp Bekijk dan onze website ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2330317093?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F108d4600-2330-415b-9891-3e4aaea21d87%3Fjid%3Dedd893c0b3c5f66544d0db01a9d878a76649d7542fec2277a694d0534753d376%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D101&urlHash=Yc1K&refId=b6780e5c-6b64-419c-acef-b6c3bf36857f&trackingId=oru9PD0N4xDTPZmwS0FQnw%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-verkoper-technische-groothandel-in-soest-at-talent-sponsored-2330317093?refId=b6780e5c-6b64-419c-acef-b6c3bf36857f&trackingId=oru9PD0N4xDTPZmwS0FQnw%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-11-04,2020-12-05
1,water supply,LinkedIn,2279149227,Junior Verkoper Technische Groothandel in Soest,8tLhl4P+IvzR/oMeft/c2g==,Talent Sponsored,"Soest, Utrecht, Netherlands",['Apparel & Fashion'],"D vraagbaak voor klanten op gebied van onze productgroepen water, lucht en elektriciteit Kunnen wij dit aan jou overlaten Check dan de vacature voor Junior Verkoper Technische Groothandel bij Wildkamp in Soest, , Wat ga je doen, , Voornamelijk adviseer jij onze klanten over de productgroepen lucht, water en elektriciteit Denk daarbij aan buizen en slangen voor drainage, riolering of hemelwaterafvoer Maar ook aan sanitair, kranen, elektra en ledverlichting Wie jouw klanten zijn Dat is met name de zakelijke klant en varieert van een zzper tot installateur en van een agrarir tot hovenier Door met de klant een band op te bouwen en ze een goed advies te geven, zorg jij ervoor dat zij bij jou terugkomen, , Als Junior Verkoper Technische Groothandel help je klanten in de winkel en telefonisch Je luistert goed, stelt de juiste vragen en verkoopt het product voor de klus Ook valt het maken en opvolgen van offertes onder jouw verantwoordelijkheid Actuele klantinformatie is belangrijk Jij zorgt ervoor dat de klantgegevens uptodate zijn En er is meer Je verzorgt het voorraadbeheer, denkt mee over het vestigingsplan en bedenkt samen acties Jij en je team weten natuurlijk als geen ander wat de klanten graag kopen, , Jouw collegas, , Het team bestaat uit een vestigingsmanager, een assistent vestigingsmanager, drie verkopers en een zaterdaghulp Samen zijn jullie verantwoordelijk voor het succes van de vestiging in Soest Met specialistische vragen kun je altijd terecht bij het hoofdkantoor in Lutten waar onze technisch productspecialisten je graag helpen De werktijden in de winkel zijn van 0700 tot 1730 uur waarbij je veelal wisselt tussen een vroege of een late dienst Om de beurt werk je een zaterdagochtend In overleg met je collegas bepalen jullie het rooster Koopavonden, zondagen of feestdagen hoef je bij ons niet te werken, , Wie ben jij, , Als Junior Verkoper Technische Groothandel ben jij enthousiast, ambitieus en heb je een actieve houding ten opzichte van klanten Daarnaast kun je goed samenwerken binnen een klein team van collegas Heb je al relevante ervaring of juist niet Wij leren je graag de kneepjes van het vak, , Verder beschik jij over, , , , Wat bieden wij jou, , Een interessante startersfunctie binnen een klein gezellig team mt ondersteuning van een professionele organisatie Daarnaast bieden wij je volop mogelijkheden om je verder te ontwikkelen, , Verder bieden wij, , , , Direct solliciteren of meer informatie, , Ben je meteen enthousiast geworden na het lezen van vacature van Junior Verkoper Technisch Groothandel Solliciteer dan voor 11 november 2020 via de sollicitatiebutton Heb je nog vragen Bel dan gerust met Jos van Nimwegen, Vestigingsmanager, opof met de afdeling PO via Een email sturen naar mag ook, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld, , Wie zijn wij, , Wildkamp is een technische handelsonderneming, gespecialiseerd in de productgroepen water, lucht en elektra We hebben ruim 100000 artikelen op voorraad, van buizen en slangen tot elektrische pompen en van radiatoren tot sproei installaties Wij zijn een familiebedrijf dat 48 jaar geleden is opgericht en waar de volgende generaties ook al in het bedrijf werken Met 350 collegas en 45 vestigingen zorgen we dagelijks voor advies op maat Wil je meer weten over Wildkamp Bekijk dan onze website ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279149227?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F108d4600-2330-415b-9891-3e4aaea21d87%3Fjid%3D9be499a637dff3b07eba191e8b089872133e1d62b8b3075c7eb2dcca2b0cb5bc%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D101&urlHash=qdAT&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=8tLhl4P%2BIvzR%2FoMeft%2Fc2g%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-verkoper-technische-groothandel-in-soest-at-talent-sponsored-2279149227?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=8tLhl4P%2BIvzR%2FoMeft%2Fc2g%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
3,water supply,LinkedIn,2324217453,Monteur W-Installaties,6BSZ+Clc4z5ocqqhCj3+Qg==,Dutch Cabin Group BV  Coevorden,"Coevorden, Drenthe, Netherlands",None,"Dutch Cabin Group BV  Coevorden zoekt een Monteur WInstallaties te MBO geplaatst op 27112020, Ben jij handig aangelegd en goed met leidingwerk Dan ben jij vast onze nieuwe monteur Winstallaties In deze functie ben je verantwoordelijk voor het aanleggen van WInstallaties Het betreft nieuwbouw en renovatie projecten van verplaatsbare bouwsystemen In onze eigen productiehal wordt de basis gelegd en het in bedrijf stellen vindt plaats op locatie, , Altijd al mee willen denken en werken aan de nieuwste manieren van modulair bouwen, dan zijn wij op zoek naar jou Sinds 1955 biedt Directbouw dagelijks passende oplossingen met betrekking tot semipermanente en permanente huisvestingen Onze organisatie bestaat uit 38 werknemers, stuk voor stuk vakmensen Ben jij ook een echte vak man of vrouw kijk dan snel wat Directbouw jou kan bieden, , Ter uitbreiding van ons team zijn we per direct op zoek naar een zorgvuldige en bekwame, , MONTEUR WINSTALLATIES MV, , , , , , , , , , , , , Interesse in de functie van Monteur WInstallaties bij Dutch Cabin Group BV  Coevorden regio , , Reageer nu met je CV en motivatie via de solliciteer button, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324217453?url=https%3A%2F%2Fwww%2Edebanensite%2Enl%2Fvacature%2Fmonteur-w-installaties-coevorden%2F239970%2F&urlHash=5n66&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=6BSZ%2BClc4z5ocqqhCj3%2BQg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/monteur-w-installaties-at-dutch-cabin-group-b-v-coevorden-2324217453?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=6BSZ%2BClc4z5ocqqhCj3%2BQg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
4,water supply,LinkedIn,2280186118,General Manager,liYWV46sOEqsyNsuJPbMsQ==,AV,"Amersfoort, Utrecht, Netherlands","['Packaging and Containers', 'Executive Office', 'International Trade and Development']","General manager, De Dozenhal  35 medewerkers is de afgelopen jaren sterk gegroeid Als general manager krijg je de verantwoordelijkheid en uitdaging om deze groei ook in de toekomst voort te zetten en in goede banen te leiden De markt verandert Dit vraagt creativiteit op commercieel vlak en een neus voor nieuwe kansen in de verkoop van gebruikte kartonnen dozen Een wereld waar nog veel kansen liggen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2280186118?url=https%3A%2F%2Fwww%2Eav%2Enl%2Fvacatures%2Fvacature-general-manager-ermelo-556779-11%2Ehtml%3Futm_source%3Dvacature%26utm_medium%3DLinkedIn%26utm_campaign%3DDozenhalGM&urlHash=tJu0&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=liYWV46sOEqsyNsuJPbMsQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/general-manager-at-av-2280186118?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=liYWV46sOEqsyNsuJPbMsQ%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
5,water supply,LinkedIn,2330081686,Monteur w-installaties | Coevorden | MF Uitzendbureau,spCXzPXgdvQ3SnkFnW+XkQ==,Technicusnl,"Coevorden, Drenthe, Netherlands",['Mechanical or Industrial Engineering'],"Vacature van MF Uitzendbureau, locatie Coevorden, , Als monteur winstallaties ben je verantwoordelijk voor het aanleggen van sanitair, water, riolering, gas en CV installaties in de productiehal Vervolgens installeer jij op locaties Een veelzijdige functie met veel verantwoordelijkheden Storingen los je zelfstandig op en je voert onderhoudswerkzaamheden uit aan installaties Daarnaast zorg jij samen met de afdelingen voor de voorraad van het magazijn en bestel jij materialen Belangrijk is dat jij goed inzicht hebt in technische aspecten en jij beschikt over klantgericht en zelfstandig werkvermogen, , , , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2330081686?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F2894_325875_monteur-w-installaties%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dwtb%2Bcoevorden&urlHash=GHzT&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=spCXzPXgdvQ3SnkFnW%2BXkQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/monteur-w-installaties-coevorden-mf-uitzendbureau-at-technicus-nl-2330081686?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=spCXzPXgdvQ3SnkFnW%2BXkQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
6,water supply,LinkedIn,2322646496,Medewerker Customer Service,yRCG2wNAlHtGlrXxcFdUMg==,Raaak Personeel,"Moerdijk, North Brabant, Netherlands",['Staffing and Recruiting'],"Wat ga je doen, , Ervaring als Medewerker Customer Service en Ordermanagement binnen een internationaal productiebedrijf Klaar voor de volgende stap Lees dan vooral verder Je verdient een salaris tot  3400, bruto per maand, , Door verschuivingen op de afdeling Customer Service is deze functie in eerste instantie tijdelijk van aard, tenminste 6 maanden Aangezien dat er een groei wordt verwacht is er een reele kans dat het voor langere tijd kan zijn, , Je komt te werken voor een jong en dynamisch bedrijf wat gevestigd is in Moerdijk De organisatie waarvoor je werkt verwerkt jaarlijks ongeveer 70000 ton staal, , Als Medewerker Customer Service ben je verantwoordelijk voor het beheer van enkele klanten Dagelijks overleg je zowel met de klanten als met collegas van Moerdijk maar ook met je collegas in oa Duitsland, , Voor jouw klanten regel jij de transporten weg en water, bewaak je de levertijd, check je de voorraad en zorg je voor een correcte facturatie Hierbij heb je een focus op het proactief signaleren van dreigende afwijkingen en wordt er van je verwacht deze zelfstandig dan wel met het team op te lossen, , Naast de dagelijkse werkzaamheden en alles wat daarbij hoort denk je ook mee over verbeteringen hoe zaken eventueel efficienter zouden gedaan kunnen worden en participeert in multidisciplinaire verbeterproject",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322646496?url=https%3A%2F%2Fwww%2Eraaakpersoneel%2Enl%2Fitems%2Fnl-nl%2Fvacatures%2Falgemeen%2Fmedewerker-customer-service-tijdelijk-moerdijk&urlHash=ngAw&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=yRCG2wNAlHtGlrXxcFdUMg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-raaak-personeel-2322646496?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=yRCG2wNAlHtGlrXxcFdUMg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
7,water supply,LinkedIn,2329489730,Magazijnmedewerker,GGiiXpISbXxQGvOZ/382Rg==,Logistic Force,"Gorinchem, South Holland, Netherlands","['Staffing and Recruiting', 'Consumer Services', 'Transportation/', 'Trucking/', 'Railroad']","Zin om je handen uit de mouwen te steken in de nieuwe vestiging van een groot zonweringsbedrijf Als magazijnmedewerker bij bij dit bedrijf zorg je ervoor dat de voorraden van het magazijn in Gorinchem goed gecordineerd worden, zodat jouw collegas hun werk aan de gevel goed kunnen uitvoeren WAT GA JE DOEN Als logistiek medewerker ben jij een vliegende keep in en rondom het magazijn Of het nu het laden of lossen is, picken van orders, voorraden tellen en controleren of het schoonmaken en bijhouden van het magazijn jij voelt je als een vis in het water Je taken bestaan uit",Full-time,https://www.linkedin.com/jobs/view/externalApply/2329489730?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fmagazijnmedewerker%3A44462738%2F&urlHash=CUiB&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=GGiiXpISbXxQGvOZ%2F382Rg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-logistic-force-2329489730?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=GGiiXpISbXxQGvOZ%2F382Rg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
8,water supply,LinkedIn,2322558654,Medewerker Customer Service | Moerdijk | Raaak personeel,QEmhk7w4a9Cnvu4ofBUMcg==,Werkzoekennl,"Moerdijk, North Brabant, Netherlands",['Consumer Services'],"Vacature van Raaak personeel, locatie Moerdijk, , Wat ga je doen, Ervaring als Medewerker Customer Service en Ordermanagement binnen een internationaal productiebedrijf Klaar voor de volgende stap Lees dan vooral verder Je verdient een salaris tot  3400, bruto per maand, , Door verschuivingen op de afdeling Customer Service is deze functie in eerste instantie tijdelijk van aard, tenminste 6 maanden Aangezien dat er een groei wordt verwacht is er een reele kans dat het voor langere tijd kan zijn, , Je komt te werken voor een jong en dynamisch bedrijf wat gevestigd is in Moerdijk De organisatie waarvoor je werkt verwerkt jaarlijks ongeveer 70000 ton staal, , Als Medewerker Customer Service ben je verantwoordelijk voor het beheer van enkele klanten Dagelijks overleg je zowel met de klanten als met collegas van Moerdijk maar ook met je collegas in oa Duitsland, , Voor jouw klanten regel jij de transporten weg en water, bewaak je de levertijd, check je de voorraad en zorg je voor een correcte facturatie Hierbij heb je een focus op het proactief signaleren van dreigende afwijkingen en wordt er van je verwacht deze zelfstandig dan wel met het team op te lossen, , Naast de dagelijkse werkzaamheden en alles wat daarbij hoort denk je ook mee over verbeteringen hoe zaken eventueel efficienter zouden gedaan kunnen worden en participeert in multidisciplinaire verbeterproject, , , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Temporary,https://www.linkedin.com/jobs/view/externalApply/2322558654?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F4600_raaak-personeel%2Fvacatures%2F4993244_medewerker-customer-service%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dsupport%2Bmoerdijk&urlHash=Jc4o&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=QEmhk7w4a9Cnvu4ofBUMcg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-customer-service-moerdijk-raaak-personeel-at-werkzoeken-nl-2322558654?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=QEmhk7w4a9Cnvu4ofBUMcg%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
9,water supply,LinkedIn,2333367894,"Technisch Inkoper, Manager interne processen | Zwaag | TeqJob Management",Q3gpaDC0oHXx9+KspbhWDQ==,Werkzoekennl,"Zwaag, North Holland, Netherlands","['Financial Services', 'Banking']","Vacature van TeqJob Management, locatie Zwaag, , Technisch Inkoper, Manager interne processen, Zwaag, , Zoek je een nieuwe baan op management niveau, hou je van veel afwisseling en heb je ervaring met strategische inkoop trajecten dan gaan wij graag met je in gesprek Voor de afdeling bedrijfsondersteuning zijn wij per direct opzoek naar een kandidaat die ervaring heeft met de inkoop van technische gereedschappen, materialen, software en ICT apparatuur Hiernaast is het belangrijk dat je ervaring hebt als manager 5050 Wij zijn een toonaangevend installatiebureau in NoordHolland met 180 medewerkers Wij vertegenwoordigen diverse disciplines in de installatietechniek zoals HVAC, Domotica, Elektrotechniek, Gas, water en sanitair, , Je bent voor de inkoop het aanspreekpunt van alle projectmanager en je zorgt voor een tijdige aanvoer en voorraad van materialen op onze projecten Extern ben je het aanspreekpunt voor onze leveranciers en ga je met hun in gesprek over de inkoopvoorwaarden waarbij niet alleen de prijs van belang is maar ook duurzaamheid, relatie, levertijden en flexibiliteit belangrijke ingredinten zijn In deze functie krijg je de vrijheid om de inkoop naar een hoger niveau te tillen en processen verder te automatiseren Wij werken met Acto software Aangaande strategische aspecten van deze functie ben je gesprekspartner van de directie, , , , Wij streven bij alle medewerkers naar een gezonde balans tussen priv en werk Samen met de cultuur van een familie bedrijf, goede primaire en secundaire arbeidsvoorwaarden zorgen wij samen voor een laag personeelsverloop In deze functie geef je leiding aan de logistiek, magazijn, werkplaats en de facilitaire dienst  ICT, het zwaartepunt zal liggen bij strategische inkoop Je cordineert interne bedrijfsprocessen en houdt rekening met de financile en commercile aspecten In deze functie ben je onderdeel van het MT Daarnaast ben je medeverantwoordelijk voor hr aangelegenheden en de bezetting, , , , De ideale kandidaat, , , Diversiteit binnen het team geniet de voorkeur dus bv leeftijd, geslacht mag geen drempel zijn om te reageren op deze vacature, , , , Je gaat aan de slag bij een vooruitstrevende werkgever die innovatie en duurzaamheid hoog in het vaandel heeft Je hebt hier veel vrijheid in het uitoefenen van je functie en er zijn diverse ontwikkeltrajecten mogelijk Je werkt samen met een goed functionerend team Je gaat rechtstreeks in dienst bij de werkgever, , Tagged as HBO, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2333367894?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F9777_teqjob-management%2Fvacatures%2F4745636_technisch-inkoper-manager-interne-processen%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dfinance%252bcat_management%2Bzw&urlHash=LGrf&refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=Q3gpaDC0oHXx9%2BKspbhWDQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technisch-inkoper-manager-interne-processen-zwaag-teqjob-management-at-werkzoeken-nl-2333367894?refId=63653b83-c92d-4481-8d73-a64c826e9af6&trackingId=Q3gpaDC0oHXx9%2BKspbhWDQ%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-12-05
