Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,accommodation,LinkedIn,2325487887,Hotel Front Desk Agent - Amsterdam Metropolitan Area,QVHb/rXwTpGuECdqBFtP1w==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for a Hotel Front Desk Agent to serve as our guests first point of contact and manage all aspects of their accommodation, , Hotel Front Desk Agent responsibilities include registering guests, managing reservations and providing information about rooms, rates and amenities, , If you have a knack for customer service and work experience in the hotel industry, wed like to meet you, , Ultimately, you will help create a pleasant and memorable stay for our guests, , , , Liaise with our housekeeping staff to ensure all rooms are clean, tidy and fullyfurnished to accommodate guests needs, , Inform customers about payment methods and verify their credit card data, , Maintain updated records of bookings and payments, , Upsell additional facilities and services, when appropriate, , Provide information about our hotel, available rooms, rates and amenities, , , , Work experience as a Hotel Front Desk Agent, Receptionist or similar role, , Experience with hotel reservations software, , Understanding of how travel planning websites operate, , Customer service attitude, , Excellent communication and organizational skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325487887?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D9954341e44df%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cdd7cddbbddc8dddbddcaddfgadbaddcfddc3aeccacafec3ddcg3e&urlHash=aCrj&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/hotel-front-desk-agent-amsterdam-metropolitan-area-at-talent-2325487887?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
2,accommodation,LinkedIn,2320009915,Customer Engagement Specialist,sqV5eA4mSfeMuo6X5cg3SQ==,Reverb,"Amsterdam, North Holland, Netherlands",['Music'],"Company Description, Reverb is the largest online marketplace dedicated to buying and selling new, used, and vintage musical instruments Since launching in 2013, Reverb has grown into a vibrant community of buyers and sellers all over the world By focusing on inspiring content, price transparency, musicianfocused eCommerce tools, a musicsavvy customer service team, and more, Reverb has created an online destination where the global music community can connect over the perfect piece of music gear",Full-time,,https://nl.linkedin.com/jobs/view/customer-engagement-specialist-at-reverb-2320009915?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
3,accommodation,LinkedIn,2310039762,"Industry Manager, Gaming, Large Customer Sales (English)",5Ny7bCBpT+6/M14zYkR8CA==,Google,"Amsterdam, North Holland, Netherlands","['Information Services', 'Internet']","Note By applying to this position your application is automatically submitted to the following locations Helsinki, Finland Copenhagen, Denmark Amsterdam, Netherlands Stockholm, Sweden, , Minimum qualifications, , , Preferred qualifications, , , , , Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing business grow Using your influencing and relationshipbuilding skills, you provide excellent customer service, research and market analysis You anticipate how decisions are made, persistently explore and uncover the business needs of Googles key customers and understand how our range of product offerings can grow their business Working with them, you set the vision and the strategy for how their advertising can reach thousands of users, , The Northern Europe Gaming and Apps team is focused on cultivating the growth of the gaming and apps developers in the region As an Industry Manager, you will help customers grow their business with the help of Googles advertising, analytics and technology platforms in close collaboration with account managers, specialists and product owners You will use your entrepreneurial focus to help shape Googles approach towards the gaming business in the region by connecting customer needs with Googles offerings, and developing educational programs in close collaboration with other Google teams, , Our Large Customer Sales teams partner closely with many of the worlds biggest advertisers and agencies to develop digital solutions that build businesses and brands We enjoy a birds eye view on the massive transformation occurring as advertising shifts to mobile and online platforms Were uniquely situated to help shape how companies grow their businesses in the digital age We advise clients on Googles broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences, , , , Google is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status We also consider qualified applicants regardless of criminal histories, consistent with legal requirements See also Googles EEO Policy and EEO is the Law If you have a disability or special need that requires accommodation, please let us know by completing this form ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2310039762?url=https%3A%2F%2Fcareers%2Egoogle%2Ecom%2Fjobs%2Fresults%2F139643823312511686-industry-manager%2F%3Fsrc%3DOnline%252FLinkedIn%252Flinkedin_us%26utm_source%3Dlinkedin%26utm_medium%3Djobposting%26utm_campaign%3Dcontract&urlHash=ESMf&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/industry-manager-gaming-large-customer-sales-english-at-google-2310039762?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
4,accommodation,LinkedIn,2308350520,Freelance Translator,GwXcMg/nQzyYODmKE/ZBJw==,Tripcom,Netherlands,"['Leisure, Travel & Tourism', 'Internet']","About Us, We are a part of the Tripcom Group, a NASDAQ listed company since 2003 NASDAQ TCOM with over 45,100 employees and over 400 million members, making it one of the leading online travel agencies in the world, With more than 14 million hotels in 200 countries and regions, weve built an extensive hotel network to give our customers a fantastic choice of accommodation Our farreaching flight network has over 2 million individual flight routes connecting more than 5,000 cities around the globe When you combine this with our 247 English customer service and various other travel products, you can trust us to take care of your next trip",Part-time,,https://nl.linkedin.com/jobs/view/freelance-translator-at-trip-com-2308350520?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
5,accommodation,LinkedIn,2320234573,Warehouse Employees/ Orderpickers | Woerden | 24People,NY0Vt5x/SPWhApE7C4ctzQ==,Werkzoekennl,"Woerden, Utrecht, Netherlands","['Logistics and Supply Chain', 'Transportation/', 'Trucking/', 'Railroad', 'Warehousing']","Vacature van 24People, locatie Woerden, , For our customer in Woerden we are looking for warehouse employee orderpicker, , The work will take place from Monday to Friday from 600 am till 300 pm, , , , , , , What does the employer expect from you, , , 5cd8a0b9cc68f9ffa4c9253553278a55",Temporary,https://www.linkedin.com/jobs/view/externalApply/2320234573?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F10347_24people-holding-bv%2Fvacatures%2F4982760_warehouse-employees-orderpickers%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dlogistics%2Bwoerden&urlHash=uUq1&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/warehouse-employees-orderpickers-woerden-24people-at-werkzoeken-nl-2320234573?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
6,accommodation,LinkedIn,2253827961,Copywriter Internship at MediaMonks (WFH),wsGO8GEpSgWbCtvMCzvEAw==,MediaMonks,"Hilversum, North Holland, Netherlands","['Marketing and Advertising', 'Computer Software', 'Internet']","Description, , We have an opportunity for creative writers who can craft solid English copy and are eager to get even better Were looking for students with meticulous writing and editing skills who are interested in learning more about creative production The internship should be considered as a work experience position for 4 to 7 months from February 2021, , , , , Being an intern at MediaMonks used to be nothing but awesome before corona made writing an even more solitary activity If youre ready to intern from home, wed love to welcome you to the fold daily team meetings and Slack banter included, , At MediaMonks, youll join a fastmoving company on a mission to become the best production partner in any field and marketoperating as one team across time zones with 2,000 Monks and counting Youll get to contribute to projects for Alist clients, and get to hear about the fantastic food we used to have every day at our former office If you stick around for long enough, you might even win an award or two hundred and join our parties and winter sportsnow more legendary than ever before With this prospect in mind, our ideal candidate is someone whos looking to kickoff their career with a head start",Internship,,https://nl.linkedin.com/jobs/view/copywriter-internship-at-mediamonks-wfh-at-mediamonks-2253827961?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
7,accommodation,LinkedIn,2261068877,"Operations Assistant G-5, 23 November 2020",zD+0VqsRSQuJFM1rcBNqjg==,Special Tribunal for Lebanon,"The Hague, South Holland, Netherlands",['Nonprofit Organization Management'],"Since 13 March 2020 to 31 December 2020, with possible extensions, the Tribunal has implemented measures for containing COVID19s spread that may cause some delays in recruitment and onboarding activities, , Depending on professional background, experience and family situation, a competitive compensation and benefits package will be offered The successful applicant will be offered a fixedterm or a temporary appointment in line with the Tribunals policies and practices on duration of appointment Such appointment and any subsequent extensions are subject to the terms of the STLs mandate andor the availability of funds The Special Tribunal for Lebanon is an international intergovernmental organization with its own independent legal identity and not a UN organization However, STL follows the UN common system for salaries, benefits and entitlements to its staff members UN staff members may also serve on loan from their parent departmentoffice, if selected Appointment against this post is on a local basis The successful candidate will be required to enter a confidentiality agreement with the Victims and Witnesses Unit",Full-time,https://www.linkedin.com/jobs/view/externalApply/2261068877?url=https%3A%2F%2Fapps%2Estl-tsl%2Eorg%2FPHFOnline%2FviewVacancy%2Easpx%3FQry%3Drxzh0SaxgqooHPIuH3OtYw%3D%3D&urlHash=D-B7&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-assistant-g-5-23-november-2020-at-special-tribunal-for-lebanon-2261068877?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
8,accommodation,LinkedIn,2310096137,Project Manager,xPTG+vUKTNu9DhHLHJgY9A==,AKQA,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']","At AKQA, our Project Management Office sets the approach and standard for project delivery and governance, ensuring that clients receive the greatest possible value from their investment Responsible for effective team performance, they provide team members with the right tools, support and training, , As a Project Manager at AKQA, you will work with and lead a multidisciplinary design team to deliver on a product whether its an MVP or part of a set roadmap You will work closely with the client to enable them to be a strong product champion and owner You will be adept at managing a wide array of stakeholders, internal and external, while consistently ensuring that the product delivered meets the set scope, time and budget requirements, , You will confidently address changes, manage a diversified project team and successfully navigate any other issues to and deliver worldclass outcomes With excellent attention to detail, an appreciation for product performance and forwardthinking mindset you ensure that both client and internal objectives are met, , Located on the Herengracht canal in central Amsterdam At AKQA you will have access to worldrenowned thought leadership from influential authors, athletes, artists and entrepreneurs You will work in an environment which fosters a meritocratic culture and encourages ownership, and you will be surrounded by some of the brightest minds in their fields, , ROLE REQUIREMENTS, , QUALITIES AND CHARACTERISTICS, , AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQAs ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment Your race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions If you have a disability or special need that requires accommodation, please let us know",Full-time,https://www.linkedin.com/jobs/view/externalApply/2310096137?url=https%3A%2F%2Fwww%2Eakqa%2Ecom%2Fcareers%2Fproject-manager-2440182%2F&urlHash=Okxc&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/project-manager-at-akqa-2310096137?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
9,accommodation,LinkedIn,1344888957,Volunteer: Food Shop Project in Vietnam,eavLNQaDQtyDzTpq+fRHkQ==,Global Nomadic,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Nonprofit Organization Management', 'Hospital & Health Care']","Location Ho Chi Minh City, Vietnam, , Duration Minimum 1 week, maximum 6 months commitment, , Cost 225 per week, , Fee Includes all food, accommodation, airport pickup, predeparture  incountry support, orientation and all project related activities, , Does not Include flights, travel insurance, personal spending, visas and vaccinations, , This opportunity is designed to give you the contacts and experience to help further your career You are not replacing any member of staff, but helping alongside them, whilst learning new skills, ,  Project is ongoing, and you can join at any time, depending upon availability, , , , A large number of Ho Chi Minhs population live in poverty and this project aims at providing support to those who cannot afford to support themselves, by cooking and serving them meals, , This food shop, run by an NGO together with local people, has been helping poor people by providing them affordable lunch for more than three years now The food shop is selffunded and relies on donations and local people who work to cook and serve the meals By joining the project, you will have an opportunity to prepare and serve cheap, highquality and hygienic meals to more than 500 people among which are students, children, old people, workers and disabled people Everyone who is in need is welcome and nobody is discriminated against, , Fill your heart and the plates of people in need, , Daily Life, , The daily schedule on the project starts with breakfast and continues at the food shop where you will assist in the preparation of the food including cooking, cleaning and serving After you have lunch you will head back to the accommodation and will enjoy your free time in the afternoon, , all information above is subject to change Please check the most up to date information on the Global Nomadic website when applying",Volunteer,https://www.linkedin.com/jobs/view/externalApply/1344888957?url=https%3A%2F%2Fglobalnomadic%2Ecom%2Fproject%2Ffood-shop-project-vietnam%2F%3Futm_source%3DLinkedin&urlHash=8spP&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/volunteer-food-shop-project-in-vietnam-at-global-nomadic-1344888957?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
10,accommodation,LinkedIn,2273001737,Workplace Experience Coordinator,dMwenUNwSoWKflVvfuuKVA==,JLL,"Amsterdam, North Holland, Netherlands",['Commercial Real Estate'],"Manage Guest Services Experience, , Workplace Experience Coordinator Responsibilities, ReceptionVisitor management, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Jones Lang LaSalle JLL, together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services We take our responsibility to protect the personal information provided to us seriously Generally the personal information we collect from you are for the purposes of processing in connection with JLLs recruitment process We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons We will then delete it safely and securely, , For more information about how JLL processes your personal data, please view our Candidate Privacy Statement , , For additional details please see our career site pages for each country, , For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here , , Jones Lang LaSalle JLL is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities If you need a reasonable accommodation because of a disability for any part of the employment process  including the online application andor overall selection process  you may email us at AccommodationRequesamjllcom  This email is only to request an accommodation Please direct any other general recruiting inquiries to our Contact Us page  I want to work for JLL",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273001737?url=https%3A%2F%2Fjll%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fjllcareers%2Fjob%2FAmsterdam-NLD%2FWorkplace-Experience-Coordinator_REQ121727-1%3Fsource%3DAPPLICANT_SOURCE-6-42&urlHash=iuDu&refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/workplace-experience-coordinator-at-jll-2273001737?refId=afb83719-bf41-4bcb-bb1a-c8b99322d67f&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
