Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,agriculture,LinkedIn,2313245514,Partnerships Associate,5DaQfU2m3zbhOvFq365Gug==,Apollo Agriculture,"Amsterdam, North Holland, Netherlands","['Financial Services', 'Farming']","About the role, Apollo Agriculture is seeking a Partnerships Associate to join us in our Amsterdam office office is currently remote due to COVID19 Our ideal candidate will be highly organized, detailoriented, and excited to join a growing, fastpaced company We are looking for an earlycareer professional with 24 years of work experience in communications, project management, grant writing, administration, or similar",Part-time,https://www.linkedin.com/jobs/view/externalApply/2313245514?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fapolloagriculture%2F05116f6c-0285-4507-b204-535de6a9d47f%3Flever-source%3DLinkedInJobs&urlHash=Ux3v&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/partnerships-associate-at-apollo-agriculture-2313245514?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=5DaQfU2m3zbhOvFq365Gug%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
2,agriculture,LinkedIn,2297535233,Urban Farmer,tX3jYesnBkL/MG6HXom1bA==,INFARM,"Amstelveen, North Holland, Netherlands","['Information Technology and Services', 'Internet', 'Staffing and Recruiting']","Passionate to eat better, Infarm was founded in Berlin in 2013 by Osnat Michaeli and the brothers Erez and Guy Galonska With the aim to share the goodness of owngrown produce with everyone, they developed a smart modular farming system, that allows distribution of farms throughout the urban environment, growing fresh produce in any available space and fulfilling any market demand, , Today, with cutting edge RD, patented technologies, and a leading multidisciplinary team, Infarm is growing a global farming network helping cities become selfsufficient in their food production while significantly improving the safety, quality, and environmental footprint of our food, , Be part of the Infarm revolution and help people to take back ownership of their food",Full-time,https://www.linkedin.com/jobs/view/externalApply/2297535233?url=https%3A%2F%2Finfarm%2Ejoin%2Ecom%2Fjobs%2F1600800-urban-farmer%3Fpid%3Dba0b6cbbadf5084fb6a3%26utm_source%3Dlinkedin%26utm_medium%3Dfree%26utm_campaign%3Dlinkedin%252Blimited%252Blisting%26utm_content%3Durban%252Bfarmer&urlHash=wNLb&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/urban-farmer-at-infarm-2297535233?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=tX3jYesnBkL%2FMG6HXom1bA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
3,agriculture,LinkedIn,2323141559,Digital Product Content Specialist [Agriculture],hAh/3RxF/+Z0LG1x9bm1+w==,Maykers,"Houten, Utrecht, Netherlands",['Farming'],"Weve built a platform that makes farmers lives easier and this role is an integral aspect of this, Were looking for someone who has an extensive knowledge of agricultural equipment  whether its been in a previous role or youve grown up around this equipment  to make the search and purchase decision making on the platform as instinctive and user friendly as possible Our product assortment is huge and our suppliers need a helping hand in product description from time to time",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323141559?url=https%3A%2F%2Fjobs%2Emaykers%2Ecom%2Fo%2Fdigital-product-content-specialist-agriculture&urlHash=zYXd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-product-content-specialist-agriculture-at-maykers-2323141559?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=hAh%2F3RxF%2F%2BZ0LG1x9bm1%2Bw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
4,agriculture,LinkedIn,2307299106,Head of Carbon,h88/Kb6NJ9aemtZ4wf/Muw==,Commonland,"Amsterdam, North Holland, Netherlands",None,"Commonland Foundation is an Amsterdambased, internationally operating organization working on largescale and longterm landscape restoration initiatives And were on a mission to transform 100 million ha of degraded landscapes before 2040 together with farmers, policymakers, companies, and investors To make this happen we have developed the 4 Returns framework A practical and holistic approach to transform degraded ecosystems into vibrant landscapes and communities by focusing on 4 key returns over the course of a single generation, or 20 years",Full-time,,https://nl.linkedin.com/jobs/view/head-of-carbon-at-commonland-2307299106?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=h88%2FKb6NJ9aemtZ4wf%2FMuw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
5,agriculture,LinkedIn,2254159286,Partnerships Associate,hjT4DIZtV38oXys6Byn76g==,Apollo Agriculture,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Financial Services']","About Apollo Agriculture, , Apollo Agriculture helps smallholder farmers maximize their profits We target the more than 50 million smallholders across subSaharan Africa that are too credit constrained to acquire high quality inputs, and therefore cannot increase their yields and incomes Apollo uses satellite data, machine learning, and mobile phones to deliver the tools smallholders need to increase incomes with radical efficiency and scale We are a team of software engineers, data scientists, economists, and operators with deep experience fromThe Climate Corporation,One Acre Fund, and ACRE We value evangelical pursuit of mission with a pragmatic approach, humility in the face of challenge, active discussion of disagreements, and considerate listening, , , , Apollo Agriculture is seeking a Partnerships Associate to join us in our Amsterdam office currently remote due to covid19 Our ideal candidate will be highly organized, detailoriented, and excited to join a growing, fastpaced company We are looking for an earlycareer professional with 24 years of work experience in communications, project management, grant writing, administration, or similar This role is on a parttime basis 2432 hoursweek  negotiable with potential to convert to fulltime",Part-time,https://www.linkedin.com/jobs/view/externalApply/2254159286?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fapolloagriculture%2F05116f6c-0285-4507-b204-535de6a9d47f%2Fapply%3Flever-source%3DLinkedIn&urlHash=KYaP&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/partnerships-associate-at-apollo-agriculture-2254159286?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=hjT4DIZtV38oXys6Byn76g%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
6,agriculture,LinkedIn,2289226089,Urban Farmer,COBpy+2aNCn39sYYHqpydA==,INFARM,"Amstelveen, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Passionate to eat better, Infarm was founded in Berlin in 2013 by Osnat Michaeli and the brothers Erez and Guy Galonska With the aim to share the goodness of owngrown produce with everyone, they developed a smart modular farming system, that allows distribution of farms throughout the urban environment, growing fresh produce in any available space and fulfilling any market demand, , Today, with cutting edge RD, patented technologies, and a leading multidisciplinary team, Infarm is growing a global farming network helping cities become selfsufficient in their food production while significantly improving the safety, quality, and environmental footprint of our food, , Be part of the Infarm revolution and help people to take back ownership of their food",Full-time,https://www.linkedin.com/jobs/view/externalApply/2289226089?url=https%3A%2F%2Fgrnh%2Ese%2F6f9d96792&urlHash=tQbt&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/urban-farmer-at-infarm-2289226089?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=COBpy%2B2aNCn39sYYHqpydA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
7,agriculture,LinkedIn,2301966373,Techncial Customer Support - Agriculture Testing Solutions,w21YrxLeLXUd4LW5TjtpMw==,Go Partnership,"Alkmaar, North Holland, Netherlands","['Logistics and Supply Chain', 'Electrical/', 'Electronic Manufacturing', 'Farming']","Opportunity with globally expanding manufacturer of portable, realtime Test Equipment for PH, Nutrient, conductivity, moisture and temperature for industrial and small scale growing operations, , With the disruption in global supply chains as a result of Covid, many countries are investing in new ways to meet their allyearround vegetable demands without having to rely on global transport systems There is an explosion of indoor and vertical growing enterprises springing up across the world, especially in Europe In addition to this diversification, with widespread lockdown and people selfisolating the uptake of home growing vegetables has been huge  ",Full-time,,https://nl.linkedin.com/jobs/view/techncial-customer-support-agriculture-testing-solutions-at-go-partnership-2301966373?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=w21YrxLeLXUd4LW5TjtpMw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
8,agriculture,LinkedIn,2326072550,Urban Farmer,7raBA4ZLhY7+nInnhO+L0A==,Infarm,"Amstelveen, North Holland, Netherlands","['Food & Beverages', 'Internet', 'Food Production']","Passionate to eat better, Infarm was founded in Berlin in 2013 by Osnat Michaeli and the brothers Erez and Guy Galonska With the aim to share the goodness of owngrown produce with everyone, they developed a smart modular farming system, that allows distribution of farms throughout the urban environment, growing fresh produce in any available space and fulfilling any market demand, , Today, with cutting edge RD, patented technologies, and a leading multidisciplinary team, Infarm is growing a global farming network helping cities become selfsufficient in their food production while significantly improving the safety, quality, and environmental footprint of our food, , Be part of the Infarm revolution and help people to take back ownership of their food, , Who You Are, , , , , , , , , What We Offer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326072550?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Feff84ae4-a03b-44eb-85cc-bf8cc7d859a7%3Fjid%3D2f46652c4a13990c3bd7047b71c0fcd480a554af2fb7145e1db22393cbee934f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=ZltA&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/urban-farmer-at-infarm-2326072550?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=7raBA4ZLhY7%2BnInnhO%2BL0A%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
9,agriculture,LinkedIn,2291637348,Accountmanager Smart Farming,kZtive1d/+RkWDBXi6R0ug==,Vantage Agrometius,"De Meern, Utrecht, Netherlands",['Farming'],Jij voelt je thuis in de agrarische sector en hebt passie voor commercie en techniek Die passie deel je graag met klanten zodat zij het verschil kunnen maken met onze innovatieve precisielandbouwtechnieken Kom jij ons team versterken in deze uitdagende functie met veel vrijheid en verantwoordelijkheid Agrometius is voor verschillende regios op zoek naar een,Full-time,https://www.linkedin.com/jobs/view/externalApply/2291637348?url=https%3A%2F%2Fwww%2Ewerkenbijroyalreesink%2Ecom%2Fnl%2Fvacancies%2F1525%2Fvantage-agrometius%2Faccountmanager-smart-farming&urlHash=Li0j&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/accountmanager-smart-farming-at-vantage-agrometius-2291637348?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=kZtive1d%2F%2BRkWDBXi6R0ug%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
10,agriculture,LinkedIn,2309410888,Discovery Scientist Cell Biology & Genetics,mHKTWb1JiYqejL4fdJkTKg==,Bayer,"Bergschenhoek, South Holland, Netherlands","['Chemicals', 'Pharmaceuticals', 'Biotechnology']","Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture Its products and services are designed to benefit people and improve their quality of life At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change, , , , , , The primary responsibility is to discover and implement novel technologies to enable the development of DH and other tissue culture technologies across diverse germplasm The role will identify novel components to overcome recalcitrance across genotypes It will be involved in initiatives to design and develop high throughput platforms for testing these components while using the principles of agile development, , , , , , , , , , Are you looking for a new challenge where you can show your passion for innovation Are you interested in working as part of a global team to improve peoples lives Then send us your online application including cover letter, CV and references",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309410888?url=https%3A%2F%2Fcareer%2Ebayer%2Enl%2Fnl%2Fjob%2Fdiscovery-scientist-cell-biology-genetics--SF303805&urlHash=CF4X&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/discovery-scientist-cell-biology-genetics-at-bayer-2309410888?refId=1663ded4-5f3e-4d5a-84ad-e67835e6ed3e&trackingId=mHKTWb1JiYqejL4fdJkTKg%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01
