Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,buying,LinkedIn,2315906006,Buying Operations Coordinator,T74M8XqRSrukvtRuzxMhKA==,PVH Corp,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Human Resources', 'Retail']","Department and Team, , Calvin Klein Jeans is the core division within the Calvin Klein brands, , Calvin Klein Jeans Kids is a relatively new and fast growing division, , Both the Calvin Klein Jeans and Calvin Klein Jeans Kids labels are designed and developed from Amsterdam Buying Operations is part of the Buying  Planning department, , Buying  Planning ensures an optimum seasonal planning from the range plan handover to the official purchase order creation and controls the production flow to ensure intime deliveries from the factories, , , , The Buying Operations Coordinator is responsible for managing the global purchase orders and Inbound for timely delivery This team works in close collaboration internally with the Buying and Planning teams, Product Development teams, Central Operations, and externally with the Forwarders, Vendors and buying offices, , The position reports into the Manager Buying  Planning The candidate should have an analytical mindset and eye for process alignment The position requires good communication and problem solving skills and attention to accuracy",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315906006?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR19720WDINTERNALENGLOBALEXTERNAL%2FBuying-Operations-Coordinator%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=6mlU&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/buying-operations-coordinator-at-pvh-corp-2315906006?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
2,buying,LinkedIn,2317667935,Buying Assistant Private Label,TxYHq2HDQxys/y+5SvXdAg==,wehkamp,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"Over wehkamp, , We willen de 1 worden in hoofden en harten van gezinnen in Nederland, , Dat is onze visie Onze missie is om het leven van gezinnen in Nederland mooier n makkelijker te maken Onze klanten vertellen ons dat geluk niet alleen in grote momenten zit, maar juist in de kleine dingen een spontaan kussengevecht, een complimentje of een knuffel Daarom bieden wij klanten elke dag ruimte voor verrassend mooie momenten Dat is onze purpose Zo willen wij het verschil maken, , Wij geloven dat deze verrassend mooie momenten kunnen ontstaan door het hebben van een verrassend mooi assortiment Een assortiment wat naast internationale merken, lokale merken, kleine merken en exclusieve merken bestaat uit een sterk Private Label assortiment, , Hoe maak jij het verschil, , Wij zoeken een Buying Assistant die gelooft in de kracht van Private Label en mee wil bouwen aan de groei van het aandeel Private Label Fashion binnen Wehkamp Je assisteert om een dynamisch en commercieel succesvol assortiment neer te zetten In deze functie werk je nauw samen met Buying, Merchandise planning, Styling, Quality en de Head of Buying, , De Buying Assistent ondersteunt in het leveren van de algemene inkoop en commercile plannen In samenwerking met de Buyers ben je verantwoordelijk voor alle administratieve taken binnen de category en heb je veelvuldig contact met de fabrieken over de voortgang In het kader van jouw eigen ontwikkeling zal je ook specifieke inkoopmeetings bijwonen, , Het aanleveren van de optimale productpropositie voor onze klant",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317667935?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F4c14af25-98f6-422a-99ca-839c20ad72e1%3Fjid%3Dd991e54bd231ac77f440ae96963ef2ff86bf3ca727cf4028a0fe0d943acae2a6%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=o3aG&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/buying-assistant-private-label-at-wehkamp-2317667935?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
3,buying,LinkedIn,2307299726,Manager Buying & Personalization Reebok eCom,kAnwde4BTEekPFdIl7SMhA==,Reebok,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Retail', 'Sporting Goods']",To drive preseason Buying within the market for the Brands owned eCommerce channel eCom Trading the business inseason to deliver highest possible return against category strategy Robust postseason analysis to ensure learnings are embedded into Buying processes,Full-time,https://www.linkedin.com/jobs/view/externalApply/2307299726?url=https%3A%2F%2Fjobs%2Eadidas-group%2Ecom%2FReebok%2Fjob%2FManager-Buying-%26-Personalization-Reebok-eCom%2F634640601%2F%3FfeedId%3D301201%26utm_source%3Dj2w&urlHash=d8IH&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-buying-personalization-reebok-ecom-at-reebok-2307299726?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
4,buying,LinkedIn,2288642523,Buying Assistant Private Label,wUPgnFCYRhKHRu0LXlLC4Q==,wehkamp,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Apparel & Fashion', 'Retail']","Hoe maak jij het verschil, , Wij zoeken een Buying Assistant die gelooft in de kracht van Private Label en mee wil bouwen aan de groei van het aandeel Private Label Fashion binnen Wehkamp Je assisteert om een dynamisch en commercieel succesvol assortiment neer te zetten In deze functie werk je nauw samen met Buying, Merchandise planning, Styling, Quality en de Head of Buying, , De Buying Assistent ondersteunt in het leveren van de algemene inkoop en commercile plannen In samenwerking met de Buyers ben je verantwoordelijk voor alle administratieve taken binnen de category en heb je veelvuldig contact met de fabrieken over de voortgang In het kader van jouw eigen ontwikkeling zal je ook specifieke inkoopmeetings bijwonen, , , , , , , , , , , , , , , , Je vult je dag niet met activiteiten, maar je bepaalt jouw bijdrage op basis van impact Eigenaarschap en ondernemerschap zijn belangrijke voorwaarden om met elkaar te winnen, , Alsof Wehkamp jouw eigen bedrijf is, neem jij de LEAD Met als gevolg meer verantwoordelijkheid en een hele steile leercurve, ongeacht wat je nu al meebrengt, , , , Iedereen bij Wehkamp heeft zijn of haar eigen discipline In vele van onze disciplines blinken we inmiddels uit, door onze jarenlange ervaring in ecommerce Als organisatie zijn we inmiddels een forse scaleup We houden een startup mentaliteit door te pionieren en te blijven leren Samen experimenteren we op grote schaal, en maken we samen het verschil voor de klant, , , Samen blijven we voorop lopen, jij haalt het beste uit jezelf In een digitale organisatie moet iedereen blijven leren, want de wereld om ons heen verandert razendsnel Persoonlijke ontwikkeling heeft bij ons prioriteit en gaat hand in hand met het leveren van prestaties, , Groei is een journey, en leren doen we elke dag, , , We geven om onze klanten en we geven om elkaar Onze connectie is authentiek, gebaseerd op transparantie en vertrouwen Het beste uit jezelf halen werkt het makkelijkst als je helemaal jezelf kunt en durft te zijn Eigenlijk moet je het beleven om het te voelen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288642523?url=https%3A%2F%2Fwerkenbij%2Ewehkamp%2Enl%2Fvacatures%2Fbuying-sales%2Fbuying-assistant-private-label%2F743999725000734%2F&urlHash=ft6n&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/buying-assistant-private-label-at-wehkamp-2288642523?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
5,buying,LinkedIn,2319730877,Director Buying & Planning,Pe5qZddbQEmn3cd9FCjStw==,ASICS EMEA,"Amsterdam, North Holland, Netherlands","['Sporting Goods', 'Apparel & Fashion', 'Retail']","ASICS was founded to lift the spirits of the world through sport Thats why were called ASICS Its an acronym from the Latin phrase Anima Sana In Corpore Sano or a Sound Mind in a Sound Body Right from the very start, our founder, Kihachiro Onitsuka saw that sport and movement had the power to lift spirits, project positivity and propel people and whole communities forward We still believe this Our goal is to support more people to experience the positive mental benefits that sport and movement brings And we believe every one of us can make a difference So, when you join ASICS, you join a team who is working together to bring about positive change through movement Together, we are moving minds",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319730877?url=https%3A%2F%2Fcareer5%2Esuccessfactors%2Eeu%2Fsfcareer%2Fjobreqcareer%3FjobId%3D45263%26company%3DS003910448P&urlHash=c1TB&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/director-buying-planning-at-asics-emea-2319730877?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
6,buying,LinkedIn,2000039736,UNIQLO Management Graduate Programme,lkjiTrMKS9CYhsIj79zuJQ==,UNIQLO EUROPE LTD,"Amsterdam, North Holland, Netherlands","['Retail', 'Apparel & Fashion']","UNIQLO is a brand of the Fast Retailing Group, the fastest growing in Europe amongst the top 3 apparel giants In the context of our success story, we are looking for graduates to be our future leaders, , We know how to grow people fast to expand their horizons",Full-time,https://www.linkedin.com/jobs/view/externalApply/2000039736?url=https%3A%2F%2Ffastretailing%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2Fgraduates_eu_Uniqlo%2Fjob%2FUNIQLO-KALVERSTRAATUENL%2FUNIQLO-Management-Graduate-Programme---Netherlands_R00000004080894%2Fapply%3Fsource%3DLinkedin&urlHash=lRGD&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/uniqlo-management-graduate-programme-at-uniqlo-europe-ltd-2000039736?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
7,buying,LinkedIn,2198783892,Buyer International Own Brand - Groceries,NhRmBnKtRZaAaOyl8Uct1w==,SPAR International,"Zaandam, North Holland, Netherlands",['Retail'],"SPAR is the worlds largest voluntary food retail chain with over 13,200 stores in 48 countries worldwide with global sales of 371 BN Euro,  SPAR International is the custodian of the brand is responsible for the development and growth of the SPAR internationally The international office is located in central Amsterdam, in the Netherlands, and the multinational team works closely with each of the SPAR country organizations and provides strategic and operational support to the country organizations to grow and prosper in the face of national and international competition A key function of SPAR International is to reap the international economies of scale of the group in product buying and sourcing",Full-time,,https://nl.linkedin.com/jobs/view/buyer-international-own-brand-groceries-at-spar-international-2198783892?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
8,buying,LinkedIn,2201538620,Associate Buyer,Z/uSJRIgRvmGABTkVOW5UQ==,SIDESTEP,"Vianen, North Brabant, Netherlands","['Marketing and Advertising', 'Apparel & Fashion', 'Retail']","Overview, , Our global houseofbrands inspires and empowers youth culture Relentlessly committed to fuel a shared passion for selfexpression, we create unrivaled experiences at the heart of the sport and sneaker communities through the power of our people If you want to be a part of something bigger than you can imagine, youve come to the right place To learn more about the incredible impact were making on both our local and global communities,, , The Associate Buyer is an entry position into the Buyer role The position is responsible for a category or departments under the coaching and supervision of the Buying Director They will be required to meet and where possible exceed the sales, gross margin and turn targets for their relevant category or departments, , The Associate Buyer is responsible for generating customer engagement by being ahead of the game with what our consumer wants, consumer data through omni channels, financialbusiness analysis in order to make informed, game changing decisions, , This is a key partnership role and strong collaboration with the vendors, planning, merchandising, marketing, eCommerce and Customer Experience  Sales teams are critical to develop short and long term strategies to deliver on the customer experience, maximize business opportunities and drive top line sales, , , , Under the guidance of the Senior Director Buying, the Associate Buyer is responsible for identifying key items that align with the future collections or story we want to tell our consumer that will drive product heat and sales based on past and predicted vendor performance  future fashion trends to help determine product strategy for coming seasons, , With the customer at the center of our vision and with our Customer Connected strategic framework, the Associate Buyer plays an important role in creating a deeper, more relevant connection to our customers, , , The Associate Buyer will have a key role in developing the Collections and Content component of the Customer Connected strategic framework by delivering the most compelling and unique assortments whilst engaging consumers with powerful storytelling, , One of the key Associate Buyer responsibilities is to establish effective working relationships with vendors to strengthen business and support company strategies Past and predicted vendor performance  fashion trends will help the Associate Buyer determine product strategy for the coming seasons, within which the Associate Buyer should identify key items that are expected to drive department sales throughout the current period, , To be a successful in this role Associate Buyer, you will need commercial awareness, creative flair and excellent analytical skills, , , , , , , , , , , , , , , , , , , , Candidates must be eligible to work in the European Union",Full-time,https://www.linkedin.com/jobs/view/externalApply/2201538620?url=https%3A%2F%2Fcareers%2Efootlocker%2Ecom%2Fus%2Fen%2Fjob%2FFLINUS29566ENUS%2F%3Fmode%3Djob%26iis%3DJob%252BBoard%26iisn%3DLinkedIn&urlHash=GBko&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/associate-buyer-at-sidestep-2201538620?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
9,buying,LinkedIn,2315160244,Purchase Manager,HMO1d+QxRIi3RHg0Q8Y/2w==,BYZZ,"Lelystad, Flevoland, Netherlands","['Pharmaceuticals', 'Hospital & Health Care', 'Medical Devices']","One of our clints is looking for, Purchase Manager  fulltime, What is your added value, You are, so to say, the face of our organization Suppliers will see your name as if it was the companys They know how to find you when products need to be offered, and also small talk or business views, as a matter of fact they trust you You are buying an trading, making it all possible Be aware that this job could stretch to a 247 flow, although we ofcourse let you enjoy your holidays and weekends Sounds like a cool job to you Then youre all set Please read further as wed like to know who you are and if you fit the profile",Full-time,,https://nl.linkedin.com/jobs/view/purchase-manager-at-byzz-2315160244?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
10,buying,LinkedIn,2198856947,Buyer Consumer Goods EMEA,17cYGKJMSgGqfb4k3XMgGA==,BrandLoyalty,"sHertogenbosch, North Brabant, Netherlands","['Marketing and Advertising', 'Internet', 'Consumer Goods']","Job Description, , You are the goto person when it comes to international buying and supplier selection You are part of our EMEA sourcing team, consisting 3 experienced sourcing managers, , , , As a buyer, you are responsible for excellent buying conditions and processes for our product category Cookware that is offered in our loyalty programs You make sure there is sufficient capacity available at the most optimal location You manage the supplier relationships and develop new ones and take care that all products and suppliers are compliant to International, local and BLs requirements, , , , , , , , , , , , , , , , , , , , , , Are you up for the challenge BrandLoyalty wants you to have fun in your work, contribute to our growth and share the successes with your teamcompany This is just a short list of what BrandLoyalty can offer you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2198856947?url=https%3A%2F%2Fbrandloyalty%2Erecruitee%2Ecom%2Fo%2Fbuyer-consumer-goods-emea-den-bosch&urlHash=Xm_6&refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/buyer-consumer-goods-emea-at-brandloyalty-2198856947?refId=f9638d1c-6e6d-4319-be6b-31ce121b55b9&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-28
