Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,financial institution,LinkedIn,1974026929,AML Analyst,Wq+PI/4vSaWBdD9HBpUgSw==,Adyen,"Amsterdam, North Holland, Netherlands",['Financial Services'],"This is Adyen, , We took an unobvious approach to starting a payments company, building a platform from scratch Today, were the payments platform of choice for the worlds brightest companies Speed is the foundation of our company We think fast We work fast We launch fast We are honest, direct, and try to have some fun too Were creating our own path, with a global team driving sustainable growth To maintain our momentum, we need people to join us in finding new ways of solving our unique challenges  people like you, , , , Knowing Your Customer is no longer just a process that happens up front, with new merchants, but rather a continuous process for all live merchants In order to build a sustainable business, we, as a financial institution, need to know at all times what our customers are up to and whether this is in line with rules, regulations and risk appetite And all this in a scalable way, , Within the Merchant Monitoring team we are looking for somebody who can stand up to this exciting opportunity in a growing and dynamic business You are somebody who takes ownership over this responsibility, tries to identify businesses in our portfolio that might pose an increased money laundering, terrorism financing or other compliance related risk to Adyen using our inhouse built and maintained tooling, and then collaborates with the merchants andor account manager to mitigate these risks accordingly Your drive is to build a sustainable business through sustainable relationships with our merchants You are somebody that can take full control over their own workflows, always looking to make the right ethical choice You are looking to innovate, and be critical to find new and better insights into our portfolio, , , , , , , , , , Adyen is the payments platform of choice for many of the worlds leading companies, providing a modern endtoend infrastructure connecting directly to Visa, Mastercard, and consumers globally preferred payment methods Adyen delivers frictionless payments across online, mobile, and instore channels With offices across the world, Adyen serves customers including Spotify, Birchbox, BlaBlacar, LeCab, Comptoir des Cotonniers, Etam, Vestiaire, Facebook, Uber, and LOreal, , , , If you are excited about this role, apply by clicking the below link We cant wait to meet you",Full-time,https://www.linkedin.com/jobs/view/externalApply/1974026929?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fadyen%2Fjobs%2F1681058%3Fgh_src%3D36f976a71%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=QnTq&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/aml-analyst-at-adyen-1974026929?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
2,financial institution,LinkedIn,2324787599,Trading Operations Analyst,q97c8lwhRnmT5b+O0Cltcw==,BAPAS,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Oil & Energy', 'Financial Services']","Accent Circonflexe Groupe Ltd is a proprietary trading firm headquartered in Amsterdam Established in 1992 as a floor trader on the Options Exchange in Amsterdam, Accent has grown into a modern trading group with access to global financial exchanges, , , Amsterdam  40 hours, , , , The Trading Operations Analyst role will sit on our Trade Support desk and be the first line of contact for our traders You will also be overseeing various projects and process improvements across the whole firm by connecting different teams and parts of the business, , , , , , The Trading Operations Analyst cooperates with the professionals of Risk, Compliance and Financial administration You will report to the Trading  Operations Manager, , , , , , , Please view for more information on Accent and the company culture, , Do you recognize the profile Then you will be interested for sure, Your motivation and resume are welcome at BAPAS Recruiters, the agency that supports Accent Circonflexe cs on recruitment and selection, , You can apply via the job application button, 13 November 2020, 20 December 2020",Part-time,https://www.linkedin.com/jobs/view/externalApply/2324787599?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F7037587194838185587%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=CQJk&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trading-operations-analyst-at-bapas-bureau-voor-arbeidspsychologisch-advies-selectie-2324787599?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
3,financial institution,LinkedIn,2294478279,Analyst - Intern,GzdhF0yxTCmlanUYyaqvwg==,Hines,"Amsterdam, North Holland, Netherlands","['Real Estate', 'Commercial Real Estate']","Overview, , When you join Hines, you will work alongside innovative leaders who set the standards responsible for our reputation as an industry leader today, and youll be a part of shaping our future in the years to come",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294478279?url=https%3A%2F%2Fwww%2Eclick2apply%2Enet%2Fb77ReaSV8bl5Fja7hewY5&urlHash=Tqz5&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/analyst-intern-at-hines-2294478279?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
4,financial institution,LinkedIn,2191732328,"Consultant Financial Risk Management, Financial Sector",tJ7+DZOKQuarsC47jkokPg==,PwC Nederland,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Management Consulting', 'Financial Services']","Job Description  Summary, , Would you like to work on challenging problems that require both quantitative and presentation skills Do you enjoy working in a team on a variety of topics for different clients Are you passionate about the financial industry and are you ready for a challenge Apply now for the function of Risk Consultant in the financial sector, , , , , , , As a Risk Consultant you will be working on projects for leading Dutch and international financial institutions mostly banks In order to optimally support the client, you will predominantly work from the clients office in an experienced team with different backgrounds You will provide advice on quantitative and regulatory components within financial risk management This includes support on the development of models using advanced techniques that also comply with recent regulatory trends Examples include models used for capital calculations or stress testing for market risk, credit risk, interest rate risk IRRBB or liquidity risk You will also be working on broader subjects such as ICAAP, ILAAP, Recovery  Resolution Planning and TRIM, that will allow you to look into to the entire organisation of the firm including all risk types In addition to work for clients, you will also contribute to the business development of PwC in your area of expertise You will develop and apply new techniques in the field of risk management, including machine learning, robotics, Artificial Intelligence and Blockchain Hence, you continuously develop your skills in order to grow professionally, , , , , , At Pwc you have the opportunity to work in a professional environment with much attention for your personal development, including a great worklife balance, , , , , Are you interested, do you recognize yourself in our purpose and values and do you fit in with the profile, , , , , We will be in touch within two weeks to report on your applications progress Do you still have questions in the meantime Then switch with Gabrilla Bruss, our recruiter via  088 792 23 55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2191732328?url=https%3A%2F%2Fwww%2Epwc%2Enl%2Fen%2Fcareers%2Fstudents-graduates%2Fjob-search%2Fdescription%2Ehtml%3Fwdjobreqid%3D38025WD%26wdcountry%3DNLD%26wdjobsite%3DGlobal_Campus_Careers%26wdprog%3D%26wdisu%3D&urlHash=WWoz&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/consultant-financial-risk-management-financial-sector-at-pwc-nederland-2191732328?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
5,financial institution,LinkedIn,2318504556,Trading Operations Analyst,qwvYRuh2Tq+Rjl2WFVi9Sw==,Accent Circonflexe Groupe BV,"Amsterdam, North Holland, Netherlands","['Capital Markets', 'Staffing and Recruiting', 'Financial Services']","Functieomschrijving, , Accent Circonflexe Groupe Ltd is a proprietary trading firm headquartered in Amsterdam Established in 1992 as a floor trader on the Options Exchange in Amsterdam, Accent has grown into a modern trading group with access to global financial exchanges, , , Amsterdam  40 hours, , , , The Trading Operations Analyst role will sit on our Trade Support desk and be the first line of contact for our traders You will also be overseeing various projects and process improvements across the whole firm by connecting different teams and parts of the business, , Functieeisen, , , , The Trading Operations Analyst cooperates with the professionals of Risk, Compliance and Financial administration You will report to the Trading  Operations Manager, , , , Aanbod, , , Please view for more information on Accent and the company culture, , Do you recognize the profile Then you will be interested for sure, Your motivation and resume are welcome at BAPAS Recruiters, the agency that supports Accent Circonflexe cs on recruitment and selection, , You can apply via the job application button, 13 November 2020, 20 December 2020",Part-time,https://www.linkedin.com/jobs/view/externalApply/2318504556?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F8459869262632300571%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=sNIp&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trading-operations-analyst-at-accent-circonflexe-groupe-bv-2318504556?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
6,financial institution,LinkedIn,2322479395,Internship KYC/CDD banking ( students only),v5xk1G3PS6ax2WHg5kOp+w==,GarantiBank International NV,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Banking', 'Financial Services']","Would you like to put into practice what youve learned at university Do you want to experience handson what your dream job is actually like For our Business Support Department we are looking for a proactive, eager and ambitious intern who will operate as part of KYC CDD team and have opportunity to learn firsthand performing highquality customer assessment As a KYC intern you will learn asking, collecting, analyzing and recording information from business clients of the bank There is a pleasant working atmosphere where there is room for personal development and where initiative is valued, , , , , , GarantiBank International NV GBI is a midsized European bank established in Amsterdam, the Netherlands since 1990 and serves to corporate and institutional and retail clientele GBI is a whollyowned subsidiary of Turkiye Garanti Bankasi AS Garanti and has presence in Germany, Switzerland and Turkey Our ultimate parent is BBVA, , , , It is a fulltime internship for a period of minimum 36 months with a possibility to extend with financial remuneration, Starting date ASAP Please note you must be enrolled in a study program in order to qualify fro this position, , , Please apply via the link or send us your motivation letter and CV in English to click apply",Internship,https://www.linkedin.com/jobs/view/externalApply/2322479395?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F5984304021657242509%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=HPlc&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-kyc-cdd-banking-students-only-at-garantibank-international-nv-2322479395?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
7,financial institution,LinkedIn,2294703171,Employee Operational Risk Management,l5Jcfr7sThCjefWnR4dDww==,Credit Europe Bank NV,"Amsterdam, North Holland, Netherlands","['Banking', 'Financial Services']","Credit Europe Bank NV is an international bank headquartered in Amsterdam We have branches and subsidiaries in Germany, Malta, Switzerland, United Arab Emirates, Russia, Ukraine, Romania and Turkey, , Within our Operational Risk Management department at our headquarters in Amsterdam, we have a challenging opportunity for an ambitious professional We are looking for an experienced",Contract,,https://nl.linkedin.com/jobs/view/employee-operational-risk-management-%09-at-credit-europe-bank-n-v-2294703171?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
8,financial institution,LinkedIn,2309068339,Trading Operations Analyst,IQFhIPDHSqq0FYyfkT1Ojg==,Accent Circonflexe Groupe BV,"Amsterdam, North Holland, Netherlands",['Capital Markets'],"Functieomschrijving, , Accent Circonflexe Groupe Ltd is a proprietary trading firm headquartered in Amsterdam Established in 1992 as a floor trader on the Options Exchange in Amsterdam, Accent has grown into a modern trading group with access to global financial exchanges, , , Amsterdam  40 hours, , , , The Trading Operations Analyst role will sit on our Trade Support desk and be the first line of contact for our traders You will also be overseeing various projects and process improvements across the whole firm by connecting different teams and parts of the business, , Functieeisen, , , , The Trading Operations Analyst cooperates with the professionals of Risk, Compliance and Financial administration You will report to the Trading  Operations Manager, , , , Aanbod, , , Please view for more information on Accent and the company culture, , Do you recognize the profile Then you will be interested for sure, Your motivation and resume are welcome at BAPAS Recruiters, the agency that supports Accent Circonflexe cs on recruitment and selection, , You can apply via the job application button, 13 November 2020, 20 December 2020",Part-time,https://www.linkedin.com/jobs/view/externalApply/2309068339?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F6668729970438954278%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=xzjh&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trading-operations-analyst-at-accent-circonflexe-groupe-bv-2309068339?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
9,financial institution,LinkedIn,2230539575,Regulatory Reporting Specialist,iAilMnavQA6cnSrvXT8h+Q==,Gazelle Global,"North Holland, Netherlands","['Financial Services', 'Banking']","My Client is looking for an energetic and driven expert with strong analytical capabilities who uses stateoftheart methods and techniques for business analysis You have integral, domainexceeding knowledge of Finance, , Key skills",Full-time,,https://nl.linkedin.com/jobs/view/regulatory-reporting-specialist-at-gazelle-global-2230539575?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
10,financial institution,LinkedIn,2304683775,Business Analyst - Payments (SEPA),dhexb+RYRGO1+GZz/81gbg==,Huxley,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Banking']","For one of our clients, a financial institution we are looking for a business analyst with extensive Payments experience, , You will have endtoend responsibility for the development, management, harmonisation and phasing out of commercial products and services with a view to achieving an optimum customer experience, , , , Agileprinciples in selforganizing teams Within the Processing Area we are responsible for the core range of Payments products including Credit Transfers Domestic and SEPA, International Payments , Direct Debits Domestic and SEPA and Instant Payments, , You will work most of your time in a multidisciplinary business  IT squad to achieve the Area and teams purpose, , , , Start As soon as possible, , Duration 12 months  Fulltime position  3112 2021, , Location Amsterdam  Currently 100 remote, , Language English  Dutch is a pr",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304683775?url=https%3A%2F%2Fwww%2Ehuxley%2Ecom%2Fen-sg%2Fjob%2Fbusiness-analyst---payments-sepa%2FHA-33598307%3Futm_source%3Dlinkedin%26utm_medium%3Dwrapped_jobs&urlHash=7RUx&refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-analyst-payments-sepa-at-huxley-2304683775?refId=db199b5d-6d5a-49f4-b917-5ee05715e4b5&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-28
