Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,information,LinkedIn,2328643429,Knowledge Coordinator - Amsterdam,5aPKNUvoM0IEr59Ey4xNeQ==,Logic Locks,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Design', 'Computer Games']","About Us, , Logic Locks is an experienced design studio located in Amsterdam, the Netherlands We are creating Escape Rooms and Immersive Experience both physical and in the digital sphere We operate some escape games in Amsterdam and created many experiences for external clients The Logic Locks team is composed of people who are teamoriented, goaldriven, proactive, and highly motivated to create compelling reallife gaming experiences We require the same from all our team members, so they can fit in this environment we created, and contributes a lot to our success, , , , , , We constantly acquire knowledge about the way we work These learnings have to be organised to improve the processes in the company We are looking for a Knowledge Coordinator to join our team and help us find a way to gain the most from our experiences both individually, and as an organisation, , , , , , , , The internship will involve excellent English writing and speaking skills to be able to contribute to the work In general communication with Dutch organizations, authorities, and people, can be done in English All communication in the office is done in English as well If you feel your level of English needs improvement, please take care of that before applying, , But of course since we are located in the Netherlands along with English, any knowledge of the Dutch language is an advantage and will also help you with your social life If you have time till your internship begins, we recommend you to start a Dutch online course, and put real time and effort into the task If you will do so diligently, you will speak Dutch when you finish your internship, during which you will be contributing, learning, achieving, and enjoying much more, , , , Currently we are looking for a new intern to join us as soon as possible for a minimum of 3 months in Amsterdam, , The standard arrangement of the internship is unpaid, however sometimes it is possible that paid positions are available or that certain paid jobs within the company can be added next to your internship, , We work very flexible ourselves and we can always negotiate how long the internship should be and how many hours per day or days per week suits you best You can also work less days per week, which leaves you time to work on other projects or ideas you might have for your future, or have an income earning job on the side, , Due to Corona restrictions, it is possible to work remotely for this position Its also possible to work from our office Ferdinand Huyckstraat 62, 1061 HW Amsterdam You will get a key to the office and will work there in the hours we will set together as the most convenient and productive, in relation to your tasks and lifestyle, , , , Your work will often be on your own or in small teams You will have to be comfortable working independent, selfsupportive, proactive and outgoing, as well as being able to manage your own time in view of the goals to be achieved We will have team meetings at least once a week or two and accompany this with team activities every few weeks, , You need to be openminded to the different aspects of the company We require people to be able to jump in and help their colleagues in any task and be able to see their work as part of the whole and not to be only concentrated on their own part At the same time, you set your own goals as well, and what you would like to learn and achieve during your time with us We will match the skills you have with what needs to be done, as well as take in consideration what you like to do and what is easy for you But for sure you will face some new challenges We got to where we are by looking at the details, and making sure everything is just right We require you to provide the same high standard of work, , , , , , If this sounds appealing to you send us your CV and a cover letter to all documents must be in english Make sure to include Internship Application position MMYY  MMYY in the subject header with the position you are applying for and your dates of availability We look forward to hearing from you, , If you are applying from outside the EU and you do not have a working visa, please ensure that you sort out how you plan to arrange your stay in the Netherlands We do not offer any assistance regarding visas and permits",Internship,https://www.linkedin.com/jobs/view/externalApply/2328643429?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1001abc83d41%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddgaddgcddfcadf8adeaaddgdd8adddfadc3deccdcffec3ddcg3e&urlHash=4he-&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/knowledge-coordinator-amsterdam-at-logic-locks-2328643429?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=5aPKNUvoM0IEr59Ey4xNeQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
2,information,LinkedIn,2298659382,Junior Specialist,R1pWmOyco3PQF7OzU39jSQ==,Microsoft,"Schiphol, North Holland, Netherlands","['Computer Hardware', 'Computer Software', 'Information Technology and Services']","Microsoft is on a mission to empower every person and every organization on the planet to achieve more Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day In doing so, we create lifechanging innovations that impact billions of lives around the world You can help us to achieve our mission, , The focus of the Support Specialists role is to drive and close Microsoft Enterprise Support opportunities to ensure customers are supported throughout all stages of the product lifecycle, improving their health and enabling customer outcomes and consumption The Support Specialist leverages Microsofts unique expertise, including direct access to product teams, to help customers use their Microsoft investments as productively as possible, , , , , , The world is changing as never before Companies are transforming faster than ever before Helping organizations transform and get the best out of technology is at the core of what we do  do you want to be part of a team that drives digital transformation for our largest enterprise customers Do you want to work in the cutting edge of technology, make markets, and innovate for impact Do you want to join an organization where you come as you are and do what you love, , We are looking for a Support Sales Specialist to lead our Enterprise customers into maximizing the value of their digital transformation investments You will be selling different kinds of Support services to help our customers accelerate their consumption and deploy their technologies faster, , The customers that you will be serving are Intelligent Services and CrossIndustry organizations These organizations tend to be leading in the markets and require strong relationships with their partners like Microsoft, , The Support Sales Specialists are highly visible team players and require strong leadership skills to influence both customers and Microsofts crossfunctional colleagues to enable the best customer outcomes and drive Microsoft cloud usage, , , , The focus of the Support Sales Specialist is to identify, drive and close Support Services opportunities with existing as well as new customers The Support Sales Specialist leverages Microsoft Services unique expertise, including direct access to Microsoft product teams, to help customers use their Microsoft investments as productively as possible, , , , , , , , , Microsoft is an equal opportunity employer All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex including pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances, , Benefitsperks listed below may vary depending on the nature of your employment with Microsoft and the country where you work",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298659382?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F936446%2FJunior-Specialist%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=Ib9C&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-specialist-at-microsoft-2298659382?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=R1pWmOyco3PQF7OzU39jSQ%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
3,information,LinkedIn,2314351619,Office Assistant,nv5AaP/kXyhI2ynhnh8yrA==,Creative Clicks,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"Are you a highly stuctured, problem solving and practical Office Management talent, with great communication skills Someone who takes pride in creating a highly organized, neat and tidy office environment with a warm atmosphere Are you the typical invisible hero who just loves making other peoples lives easier  If so, we have the perfect job for you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314351619?url=https%3A%2F%2Fcreativeclicks%2Erecruitee%2Ecom%2Fo%2Foffice-assistant&urlHash=zBk2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/office-assistant-at-creative-clicks-2314351619?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=nv5AaP%2FkXyhI2ynhnh8yrA%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
4,information,LinkedIn,2328504473,KYC Analyst,ioDcTGCzxJRvc5ydKZ6T9A==,Robert Walters,"Amsterdam, North Holland, Netherlands","['Banking', 'Financial Services', 'Accounting']","For an international bank in Amsterdam we are looking for a KYC Analyst Candidates need to have 3 years of experience within KYC, AML Sanctions andor CDD Natve English and Japanese is required, , Responsibilities KYC Analyst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Intersted and available, please apply directly",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328504473?url=https%3A%2F%2Fwww%2Erobertwalters%2Enl%2Fbankingfinancialservices%2Fvacatures%2Fcompliance%2F1410985-kyc-analyst%2Ehtml%3Futm_source%3DLinkedIn%2520Limited%2520Listings%26utm_medium%3Dreferral&urlHash=fDDj&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/kyc-analyst-at-robert-walters-2328504473?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=ioDcTGCzxJRvc5ydKZ6T9A%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
5,information,LinkedIn,2322203776,Documentalist - The Hague,uviQ4wlsQFdMUaFL9vaWEA==,Octagon Professionals,"The Hague, South Holland, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Financial Services']","Are you a Document Controller Do you have a Bachelors degree and at least 2 years of experience, , We are looking for a Documentalist who will join the Octagon Professionals projects team at the European Space Agency in Noordwijk ESTEC Read more about this exciting opportunity and apply today, , , , You will cover the daily operation, maintenance, and change control for records in the Navigation Directorates Documentation and Configuration Management System",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322203776?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2d405934ad8a%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecadcaddccddgcddb8dd7adddgddcaadffadc3de8cacffec3ddcg3e&urlHash=OufO&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/documentalist-the-hague-at-octagon-professionals-2322203776?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=uviQ4wlsQFdMUaFL9vaWEA%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
6,information,LinkedIn,2313565232,"Administrative Assistant, Public Policy EMEA",UXOH+/XHHEKRJzqqW0VFmA==,Netflix,"Amsterdam, North Holland, Netherlands","['Entertainment', 'Internet', 'Motion Pictures and Film']","Netflixs business in EMEA is growing rapidly, and our teams are expanding across Europe, mainly focusing on public policy and government affairs With that, were seeking an Amsterdam based Administrative Assistant to support our team of directors This person will support up o 5 public policy directors and at times, supporting inhouse events and external meetings, , The successful candidate will be proactive, quickthinking, flexible, and able to juggle multiple and diverse responsibilities with unwavering attention to detail at all times Teams are growing quickly, so we need someone who can not only be great in their day to day work, but can identify opportunities to make the overall team more organized and efficient Someone who is curious, demonstrates significant initiative, and inherently exercises good judgement This is a team that is often spread across several countries and time zones, so a high level of organization is a must, , Previous experience with public policy executives is a huge plus, interest and curiosity in the entertainment industry and crossfunctional organization is a must, , Duties and Responsibilities But not limited to",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313565232?url=https%3A%2F%2Fjobs%2Enetflix%2Ecom%2Fjobs%2F45776369&urlHash=oqUr&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administrative-assistant-public-policy-emea-at-netflix-2313565232?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=UXOH%2B%2FXHHEKRJzqqW0VFmA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
7,information,LinkedIn,2317605957,Open Vacancy,I6fEWdRN93tTEJZnP82qYg==,Proactive Tech EU,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Dear JobSeeker,, , Would you like to join to our exclusive talent community and get update about the hottest roles before they find their way to the online boards Keep reading, , We as proactive are always looking for the TOP candidates in the domains of Big Data and new technologies, Cyber Security, Software development and in IT management, , If you are a highly skilled professional, who specialised in one of the roles that mentioned below, dont hesitate to apply The specialist in every area will contact to plan in an intake with you, share market information, and provide you tips and tricks regarding your jobhunting journey, , In case you are passively open for opportunities, joining our talent community would ensure you will be one of the first to know about new desirable roles that match your profile, , , , Artificial Intelligence Programmer, , Artificial Intelligence Developer, , Artificial Intelligence Engineer, , Business Intelligence developer, , Business Intelligence Consultant, , Business Intelligence Manager, , Data scientist, , Machine Learning engineer, , RPA developer, , Data analyst, , Data Engineer, , Data architect, , Data manager, , , , Security Analyst, , Security Architect, , Security software developer, , Security Engineer, , Security Administrator, , Cryptoanalyst, , Cryptographer, , Security Consultant, , Chief information Security officer, , Security specialist, , Chief Security Officer, , Ethical Hacker, , Penetration Tester, , IOT Security Officer, , Data Privacy Officer, , Governance compliance and risk manager, , Identity and Access Manager, , Security Auditor, , , , Front end developer, , Back end developer, , Full stack developer, , Web developer, , Software engineer, , Solution arcitect, , Devops engineer, , Java developer, , Python developer, , Javascript developer, , C developer, , PHP developer, , , , CIO, , CTO, , Delivery manager, , Digital transformation manager, , Incident manager, , IT director, , IT manager, , IT project manager, , Manager IT infrastructure, , Product owner, , Program manager, , Release manager, , Service delivery manager, , You can also send an email to amsterdamproactivetecheu and let us know what role you are interested in Hope to talk to you soon, if gte mso 9",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317605957?url=https%3A%2F%2Fwww%2Eproactive-tech%2Enl%2Findex%2Ephp%3Foption%3Dcom_recmgr%26view%3Djob%26jid%3D89%26Itemid%3D986&urlHash=V0-o&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/open-vacancy-at-proactive-tech-eu-2317605957?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=I6fEWdRN93tTEJZnP82qYg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
8,information,LinkedIn,2317610024,Open Vacancy,eyM1Sx9dN/QkDsuC66xISQ==,Proactive Technical Recruitment Europe,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","Dear JobSeeker,, , Would you like to join to our exclusive talent community and get update about the hottest roles before they find their way to the online boards Keep reading, , We as proactive are always looking for the TOP candidates in the domains of Big Data and new technologies, Cyber Security, Software development and in IT management, , If you are a highly skilled professional, who specialised in one of the roles that mentioned below, dont hesitate to apply The specialist in every area will contact to plan in an intake with you, share market information, and provide you tips and tricks regarding your jobhunting journey, , In case you are passively open for opportunities, joining our talent community would ensure you will be one of the first to know about new desirable roles that match your profile, , , , Artificial Intelligence Programmer, , Artificial Intelligence Developer, , Artificial Intelligence Engineer, , Business Intelligence developer, , Business Intelligence Consultant, , Business Intelligence Manager, , Data scientist, , Machine Learning engineer, , RPA developer, , Data analyst, , Data Engineer, , Data architect, , Data manager, , , , Security Analyst, , Security Architect, , Security software developer, , Security Engineer, , Security Administrator, , Cryptoanalyst, , Cryptographer, , Security Consultant, , Chief information Security officer, , Security specialist, , Chief Security Officer, , Ethical Hacker, , Penetration Tester, , IOT Security Officer, , Data Privacy Officer, , Governance compliance and risk manager, , Identity and Access Manager, , Security Auditor, , , , Front end developer, , Back end developer, , Full stack developer, , Web developer, , Software engineer, , Solution arcitect, , Devops engineer, , Java developer, , Python developer, , Javascript developer, , C developer, , PHP developer, , , , CIO, , CTO, , Delivery manager, , Digital transformation manager, , Incident manager, , IT director, , IT manager, , IT project manager, , Manager IT infrastructure, , Product owner, , Program manager, , Release manager, , Service delivery manager, , You can also send an email to amsterdamproactivetecheu and let us know what role you are interested in Hope to talk to you soon, if gte mso 9",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317610024?url=https%3A%2F%2Fwww%2Eproactive-tech%2Ede%2Findex%2Ephp%3Foption%3Dcom_recmgr%26view%3Djob%26jid%3D181%26Itemid%3D986&urlHash=Ak-i&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/open-vacancy-at-proactive-technical-recruitment-europe-2317610024?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=eyM1Sx9dN%2FQkDsuC66xISQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
9,information,LinkedIn,2273094396,Junior Project Manager - Amsterdam (English job description),18mQqpd54l7dAVbd7LNIuA==,Hollis,"Amsterdam, North Holland, Netherlands","['Construction', 'Staffing and Recruiting', 'Real Estate']","Hollis is a leading international, independent real estate consultancy We work with owners, occupiers, developers and funders, across both private and public sectors, to help them get more out of their real estate, at every stage of the property life cycle",Full-time,,https://nl.linkedin.com/jobs/view/junior-project-manager-amsterdam-english-job-description-at-hollis-2273094396?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=18mQqpd54l7dAVbd7LNIuA%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
10,information,LinkedIn,2323327083,People Administrative Support,Me1VipHhdUpAq1MSW2L85w==,Picnic Technologies,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Retail']","Do you want to be part of the supermarket revolution Picnic offers you the opportunity to work in an innovative startup culture where everything you do matters With a datadriven approach and an incredible service, Picnic strives to make grocery shopping simple, fun, and affordable for everyone Known for our justintime supplychain and a unique lastmile delivery strategy, we have become one of the fastestgrowing companies in Europe, , You are an organizational talent, a master at keeping a clear overview and you get excited about helping coworkers In the role of People Administrative Support, you are a first point of contact for all People Operations related topics and employees within our Amsterdam office You are a true team player constantly working with the rest of the People Operations team and other colleagues within the whole of Picnic, , You would join the People Operations team, working from the headquarters in Amsterdam Here you can enjoy a delicious lunch every day and fun Friday drinks  as soon as a COVID19 vaccine has been found  every week, , , , Picnic offers unique opportunities we give you incredible responsibilities in a flat organization We work in small, professional teams, and are focused on innovation, , Furthermore, we are super curious, extremely competitive, and value transparency We work hard, play hard, operate as one team and leave our egos at the door We care about people, growth, excellence and results Bottom line, we are looking for people who make the impossible happen every day, , Keywords administratief medewerker, human resources, administratie, personeel  organisatie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323327083?url=https%3A%2F%2Fjoin%2Epicnic%2Eapp%2Fjobs%2F2448369%3Fgh_jid%3D2448369&urlHash=O4p8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/people-administrative-support-at-picnic-technologies-2323327083?refId=0cc2db88-fc87-4523-8f6e-53863f7b9205&trackingId=Me1VipHhdUpAq1MSW2L85w%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-12-01
