Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,linguist,LinkedIn,2328656388,revalidatiearts - The Hague,wHT3vEZtK+AmYjnD6/KxyQ==,Basalt AG,"The Hague, South Holland, Netherlands",['Construction'],"Wat ga je doen, , bij Basalt, De reguliere werkzaamheden van de revalidatiearts hebben betrekking op poliklinische revalidatie voor volwassen CVApatinten Het takenpakket bestaat uit diagnostiek, behandeling en begeleiding van deze patintengroep Het kersverse behandelteam zal, naast jou, gaan bestaan uit een logopedist, maatschappelijk werker, GZpsycholoog, ergo en fysiotherapeuten, een klinisch lingust, een psychologisch medewerker, een planner en medisch secretaresse Je krijgt input vanuit de verschillende expertises en behandelt de patint vanuit holistisch perspectief, , , , We zoeken een revalidatiearts voor 0,5 fte, , , , Basalt is met tien locaties ht expertisecentrum voor complexe, medisch specialistische revalidatiezorg in ZuidHolland Circa 1200 medewerkers zorgen dat patinten die als gevolg van ziekte, ongeluk of aangeboren aandoening beperkt worden, weer in de samenleving kunnen participeren Daarvoor stimuleren wij patinten grenzen te verleggen, hun eigen kracht te vergroten en weer eigenaar te worden over hun leven Basalt gaat voor voortdurende innovatie en verbetering van de kwaliteit van onze zorg en werkt intensief samen met huisartsen en alle grote zorginstellingen in de regio, zoals ziekenhuizen en verpleeghuizen Er wordt veel aandacht besteed aan het goed laten verlopen van de ketenzorg Wij zijn een opleidingsziekenhuis voor revalidatieartsen en GZpsychologen en wij hebben een academiseringsovereenkomst met het LUMC, , , , Je bent als revalidatiearts ingeschreven in het specialistenregister, rondt binnen afzienbare tijd je specialistenopleiding tot revalidatiearts af of bent BIG geregistreerd basisarts met affiniteit voor deze doelgroep Je bent een enthousiaste persoonlijkheid met goede contactuele eigenschappen Je bent creatief en kunt plannen omzetten in acties Het krijgen en behouden van overzicht en gestructureerd werken kosten je geen moeite Je bent in staat feedback te geven en te ontvangen en je hebt affiniteit met het werken in een interdisciplinair team Kun je goed omgaan met online toepassingen en nieuwe zorgtechnologie Dat maakt jouw profiel nog interessanter, , , , Wij bieden een arbeidsovereenkomst in eerste instantie voor de periode van een jaar Je krijgt de unieke kans om dit initiatief te realiseren en hierin jouw steentje bij te dragen, , Basalt is een ambitieuze en dynamische organisatie met een prettige werksfeer en een persoonlijke benadering Wij bieden goede secundaire arbeidsvoorwaarden, zoals mogelijkheid voor een collectieve zorgkostenverzekering, bedrijfsfietsenregeling en een tabletregeling Salariring vindt plaats conform de AMSregeling",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328656388?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D72e0cf21c88c%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cddeaadbcddgcadd8adaaddegddfaaddfdd83de8cacdfec3ddcg3e&urlHash=nl9a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revalidatiearts-the-hague-at-basalt-ag-2328656388?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=wHT3vEZtK%2BAmYjnD6%2FKxyQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
2,linguist,LinkedIn,2312440288,Klinisch Linguïst,POOHCsHRKgtkrTV/wzrKDA==,Kentalis,"Eindhoven, North Brabant, Netherlands",None,"7 uur Een mooie wereld voor onze kinderen daar draag jij aan bij Wat maakt jouw werk bijzonder  Jij draagt als klinisch lingust bij aan de ontwikkeling, het zelfvertrouwen en het geluk van kinderen die een taalontwikkelingsstoornis hebben Jij hebt hart voor de kinderen en dat merken zij in alles wat je doet Jij hebt oog voor hun mogelijkheden en talenten Jij ziet wat ze nodig hebben, daagt ze uit en sluit aan op hun manier van communiceren Samen met jouw collegas bereid je de kinderen voor op de toekomst Met als doel dat zij straks zo goed mogelijk kunnen deelnemen aan de maatschappij Wat ga jij doen  Als klinisch lingust heb jij brede kennis van taal en spraakproblematiek Naast onderzoek naar taal en spraak, kijk jij ook naar de samenhang tussen de onderzoeken en de eventuele gevolgen voor de ontwikkeling en het welbevinden van het kind Verder zijn dit jouw werkzaamheden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312440288?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fklinisch-linguist%3A44259195%2F&urlHash=kNTN&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klinisch-lingu%C3%AFst-at-kentalis-2312440288?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=POOHCsHRKgtkrTV%2FwzrKDA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
3,linguist,LinkedIn,2312909339,Klinisch Linguïst,JVAWzS3i9M6Nr8Fpr3+e2A==,Koninklijke Kentalis,"Eindhoven, North Brabant, Netherlands",['Hospital & Health Care'],"Wat ga jij doen, , Als klinisch lingust heb jij brede kennis van taal en spraakproblematiek Naast onderzoek naar taal en spraak, kijk jij ook naar de samenhang tussen de onderzoeken en de eventuele gevolgen voor de ontwikkeling en het welbevinden van het kind, , , , , Het Spraak  Taal Ambulatorium is een gespecialiseerde afdeling voor kinderen en jongeren met ernstige problemen in communicatie, spraak en taal Zij worden in het ambulatorium kortdurend, intensief, specialistisch op basis van theoretisch wetenschappelijke kennis onderzocht en behandeld Deze trajecten duren 6 tot 8 weken Het ambulatorium is bedoeld voor kinderen die in de logopedische behandelingen of in het speciaal onderwijs geen of te weinig vorderingen maken Ook is het bedoeld voor kinderen bij wie de diagnose moeilijk kan worden gesteld, waardoor de juiste behandelingsaanpak onduidelijk is De ouders worden nauw betrokken bij de behandeling, , , Als landelijke expertise organisatie is Kentalis er voor mensen die een taalontwikkelingsstoornis of communicatief meervoudige beperking hebben of die slechthorend, doof of doofblind zijn Daarnaast kunnen zij andere beperkingen hebben Zij kunnen bij ons terecht voor onderzoek, diagnostiek, onderwijs en zorg Kentalis heeft scholen, zorglocaties en audiologische centra door heel Nederland, , , , Werken bij Kentalis is afwisselend, uitdagend en bijzonder",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312909339?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D85c3900ecd7e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cddbaaddcdddcdd78ddgaddggadbaaddfadc3de9cacbfec3ddcg3e&urlHash=8CQy&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klinisch-lingu%C3%AFst-at-koninklijke-kentalis-2312909339?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=JVAWzS3i9M6Nr8Fpr3%2Be2A%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
4,linguist,LinkedIn,2297500095,Freelance Translator,PJVTmIyXG8KhIxkok9c7Jg==,2 Drops,"North Brabant, Netherlands",['Translation and Localization'],"2 Drops is a professional translator platform that allows clients to find translators by their expertise and work with them securely, , Register as a translator with us, get approved and get found by quality clients",Part-time,https://www.linkedin.com/jobs/view/externalApply/2297500095?url=https%3A%2F%2Fwww%2E2drops%2Ecom%2Fwork%2Ftranslators&urlHash=smFv&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/freelance-translator-at-2-drops-2297500095?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=PJVTmIyXG8KhIxkok9c7Jg%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
5,linguist,LinkedIn,2291887588,Freelance English translator into French_Canada Language,TtaHdXByFYEN/MOnUTv5Cw==,TransPerfect,Netherlands,['Translation and Localization'],"Job description, As a fullyfledged freelance translator you are an important part of the translation team at iSPTransPerfect Translations Your exceptional language skills are vital to ensuring a high quality product is returned to the client,  ",Contract,,https://nl.linkedin.com/jobs/view/freelance-english-translator-into-french-canada-language-at-transperfect-2291887588?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=TtaHdXByFYEN%2FMOnUTv5Cw%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
6,linguist,LinkedIn,2302673208,Analytics Translator,vPS73NJomiTTgQCXHkerJg==,Axians NL,"Zaltbommel, Gelderland, Netherlands","['Information Technology and Services', 'Computer & Network Security', 'Staffing and Recruiting']","Het toffe van werken bij Axians is dat je je in een omgeving bevindt die snel gaat, razend snel We bevinden ons in de wereld van Digitalisering, groeien door acquisities, sponsoren gave projecten zoals het Solar team en PSV en we innoveren volop Axians combineert de voordelen van een internationale organisatie met het hechte team gevoel van kleinere business units, waarin ondernemerschap, teamspirit en vitaliteit centraal staan, , , , Met jouw passie voor Data en AI help je onze klanten hun business dromen en analyticsvraagstukken te vertalen naar praktische oplossingen Je doet dit bijvoorbeeld door middel van demos, workshops en adviezen, , Zowel in het voorbereiden als uitvoeren van projecten werk je nauw samen met onze Architecten, Data Specialisten en Project Managers om de vraagstukken van de klant om te zetten in oplossingen die toegevoegde waarde leveren Jij bent hierbij de verbinder tussen de klant, onze organisatie en het team die ook de passie heeft om ook mee te bouwen Onze klanten in diverse branches zoals Zorg, Industrie en Retail waarderen ons om onze concrete en praktische insteek en hoog kennis niveau Voor onze klanten ben jij een van de belangrijke aanspreekpunten waarin zij dit terugvinden Samen helpen wij de output van fabrieken te verhogen, magazijnprocessen te verbeteren en de zorg efficinter te maken, , Je neemt ons mee in de continue ontwikkelende wereld van Data, AI en ML Je neemt initiatieven, deelt kennis en ideen en bent samen met collegas bezig met het vooruit brengen van onze organisatie op deze gebieden Hierbij ben je deel van het team van data specialisten die samen de uitdagingen aangaat in onze dynamische omgeving, , Natuurlijke nieuwsgierigheid, het genieten van het oplossen van complexe problemen, klantvraagstukken kunnen vertalen naar praktische proposities zijn belangrijke eigenschappen die wij zoeken, , , , , , , , , , , , Ben jij de Analytics Translator waar wij naar op zoek zijn We nodigen je graag uit om te solliciteren Wil je graag meer informatie Neem dan contact op met onze HR Business Partner Frank Verhoog via frankverhoogaxianscom of 06  50 61 80 52, , Voor meer informatie over ons, check en volg onze LinkedIn pagina httpswwwlinkedincomcompanyaxiansbusinessanalytics",Full-time,https://www.linkedin.com/jobs/view/externalApply/2302673208?url=https%3A%2F%2Fwww%2Ewerkenbijaxians%2Enl%2Fvacatures%2Fvacature-analytics-translator&urlHash=vA5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/analytics-translator-at-axians-nl-2302673208?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=vPS73NJomiTTgQCXHkerJg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
7,linguist,LinkedIn,2314355706,Analytics Translator voor Zorgteams,tSvPuvjqZYbiVq88Y8f7Gg==,Leiden University Medical Center,"Leiden, South Holland, Netherlands",['Hospital & Health Care'],"Je functie, , Gaat jouw hart sneller kloppen als je denkt aan het verbeteren van de zorg, waarbij je uitgaat van het principe waardegedreven zorg en het inzetten van data Krijg je energie van het begeleiden van zorgteams en wil je hen helpen om data om te zetten voor waardevolle inzichten en oplossingen Wij zoeken een analytics translator die het als een uitdaging ziet om zowel analyses te doen als zorgteams te begeleiden in het datagedreven denken voor waardegedreven zorg, , , , , , , , Als analytics translator focus je je op het analyseren van de beschikbare data en informatie over bepaalde patintgroepen, in zorgteamspecifieke dashboards en datamarts Met analytics help je zorgteams om tot nieuwe inzichten te komen en begeleid je hen bij het optimaliseren van datagedreven zorg De zorgteams zijn multidiciplinair en bestaan onder meer uit artsen, verpleegkundigen en secretaresses Denk hierbij aan teams die zich richten op bepaalde aandoeningen, zoals diabetes en binnen de oncologie Aan jou de taak om jouw bevindingen zo te presenteren dat alle collegas binnen de teams worden betrokken Je doet dit onder meer door kritische vragen te stellen, data te analyseren, mee te denken en verbetervoorstellen te doen Door jouw proactieve en signalerende rol ontzorg je de zorgteams en help je ze bij het implementeren van datagedreven zorg Uiteraard sta je er niet alleen voor je werkt onder meer samen met adviseurs op het gebied van waardegedreven zorg, EPDontwikkelaars en BIspecialisten, maar jij bent de sturende kracht in het aanjagen van een continue verbetercyclus en het begeleiden van de zorgteams, , , , De analytics translator die wij zoeken heeft een relevante opleiding op woniveau afgerond Bij voorkeur heb je een biomedischeepidemiologischetechnische achtergrond enof beschik je over ervaring binnen een complexe zorgorganisatie Je hebt aantoonbare domeinkennis en spreekt de taal van de zorgprofessional Je combineert je analytische vermogen graag met het meenemen van de klant Je bent bekend met het verbeterdenken zoals bijvoorbeeld LEANPDCA, hebt een helikopterview en kunt snel de kern halen uit grote hoeveelheden informatie Je bent proactief, communicatief vaardig, kritisch, empathisch en hebt een passie voor datagedreven zorg Tot slot beschik je over een open en oprechte houding, sta je stevig in je schoenen en durf je je verantwoordelijkheid te nemen Beschrijven we jou Dan maken we graag kennis met je, , , Barbara Schooneveldt, senior projectleider ITDI, , bcschooneveldtlumcnl, , , , max  4615,",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314355706?url=https%3A%2F%2Fwww%2Elumc%2Enl%2Fover-het-lumc%2Fwerken-bij%2Foverzicht%2FAnalytics-Translator-voor-Zorgteams%250A&urlHash=WOB8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/analytics-translator-voor-zorgteams-at-leiden-university-medical-center-2314355706?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=tSvPuvjqZYbiVq88Y8f7Gg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
8,linguist,LinkedIn,2276656259,Freelance English to Dutch Translator,b0ZdZw+pMCE+hoOFHNDpfQ==,Doist,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","At Doist, our mission is to inspire the workplace of the future by creating simple yet powerful productivity tools that promote a more fulfilling way to work and live, , Were a multidisciplinary, fully remote team thats passionate about creating products, like Todoist and Twist, that improve peoples lives We thrive on innovating new solutions to old productivity challenges and we seek to rethink how productivity tools are made, , Our Core Values, , They are few, but they are mighty From creating processes to decisionmaking and recruiting, we build our five core values into nearly every single thing we do, , Daytoday work, , Were looking for a native Dutch speaker who has a demonstrated passion and experience for translation In this parttime role, you will deliver excellent translation services, delighting our customers with a localized app, help center, and marketing content Youll collaborate closely with localization project managers to develop specific terminology for new features which will shape the Doist voice for your local marketregion You will also be responsible for identifying and addressing linguistic issues and maintaining language references such as a glossary and style guide, , Indicators this could be a good role for you, , , , , , , , , , , , , , Doist is a diverse, remotefirst team thats committed to building a sustainable company that will continue to grow for decades to come, , Some benefits include, , , All information collected through this application is stored in Workable, Doists Applicant Tracking System, where it will be used for recruitment purposes only For more information on how we handle candidate data at",Contract,,https://nl.linkedin.com/jobs/view/freelance-english-to-dutch-translator-at-doist-2276656259?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=b0ZdZw%2BpMCE%2BhoOFHNDpfQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
9,linguist,LinkedIn,2312365251,Klinisch Linguïst,Gj02ISWehitnHjlMfIAYfg==,Koninklijke Kentalis,"Eindhoven, North Brabant, Netherlands",['Religious Institutions'],"Wat ga jij doen, , Als klinisch lingust heb jij brede kennis van taal en spraakproblematiek Naast onderzoek naar taal en spraak, kijk jij ook naar de samenhang tussen de onderzoeken en de eventuele gevolgen voor de ontwikkeling en het welbevinden van het kind, , Verder zijn dit jouw werkzaamheden, , , , Kentalis in het kort, , Als landelijke expertise organisatie is Kentalis er voor mensen die een taalontwikkelingsstoornis of communicatief meervoudige beperking hebben of die slechthorend, doof of doofblind zijn Daarnaast kunnen zij andere beperkingen hebben Zij kunnen bij ons terecht voor onderzoek, diagnostiek, onderwijs en zorg Kentalis heeft scholen, zorglocaties en audiologische centra door heel Nederland, , Wij bieden jou, , Werken bij Kentalis is afwisselend, uitdagend en bijzonder, , , , Wie ben jij",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312365251?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F57e36aea-31b6-4375-94ea-0ab9b1a01019%3Fjid%3D7e3db380e1d83f72fe36090270866e510b1f693eadee9a06b5cf1c37f646bee7%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Nps7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klinisch-lingu%C3%AFst-at-koninklijke-kentalis-2312365251?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=Gj02ISWehitnHjlMfIAYfg%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
10,linguist,LinkedIn,2285267707,Dutch in-house translator/reviser,hPej8kclMEqptQJ3Ez5bsQ==,AMPLEXOR International,"Eindhoven, North Brabant, Netherlands",['Translation and Localization'],Is innovation your cup of tea Love the idea of working on international projects in a rewarding and dynamic environment What are you waiting for Embrace the future with us,Full-time,,https://nl.linkedin.com/jobs/view/dutch-in-house-translator-reviser-at-amplexor-international-2285267707?refId=f167db2f-dfce-4ecc-aa21-b15d4612e149&trackingId=hPej8kclMEqptQJ3Ez5bsQ%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-01
