Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,manager of healthcare institution,LinkedIn,2322996220,Operations support manager,i1NIJb1T2bsAUk47XiKDoQ==,247 Chauffeursdiensten,"De Meern, Utrecht, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Transportation/', 'Trucking/', 'Railroad']","Houd jij je hoofd koel in drukke tijden en ben jij een kei in overzicht bewaren en organiseren Dan zijn wij op zoek naar jou Dankzij jouw inzet lopen alle logistieke processen bij Hospital Logistics op rolletjes Waar kom je te werken Al meer dan 20 jaar streeft Hospital Logistics naar de optimalisatie van de logistieke processen binnen elke zorginstelling die haar het vertrouwen schenkt Ze bieden een logistieke oplossing op maat, zodat de zorginstellingen hun kostbare tijd kunnen investeren in de verzorging van hun patinten of bewoners Als dienstverlenend bedrijf willen ze voldoen aan drie belangrijke voorwaarden De service moet 1 beter, 2 goedkoper en 3 innovatiever zijn dan wanneer de zorginstelling het zelf zou doen Dagelijks worden er hierbij vanaf een viertal centrale magazijnen in Nederland Oss, Capelle, Apeldoorn en Heerenveen verschillende ziekenhuizen en zorgcentra bevoorraad Samen met onze partner Hospital Logistics zijn we op zoek naar een nieuwe collega Operations Support Vanuit deze functie heb je een belangrijke rol in bovenstaande proces Hierbij ben je de rechterhand van de Operations Manager en ondersteun je de site managers op de vier locaties in Nederland in hun dagelijkse operationele activiteiten Verder ben je verantwoordelijk voor de dagelijkse aansturing van 2 kleinere teams die inhouse vanuit de Gelre ziekenhuizen in Apeldoorn en Zutphen werkzaam zijn Je werkt dus niet vanuit n vaste standplaats, maar bevind je afwisselend op deze locaties Samen met de 1ste medewerkers en de logistieke medewerkers sta je in voor een optimale logistieke dienstverlening in de Gelre ziekenhuizen Zowel in de samenwerking met de sitemanagers als in de dagelijkse aansturing in het ziekenhuis komen jouw skills als peoplemanager goed van pas Met jouw talent om het overzicht te bewaren en te organiseren zorg je ervoor dat je samen met je collegas de gestelde doelen behaalt, en signaleer en anticipeer je tijdig om bij te sturen daar waar nodig Op financieeladministratief vlak ben je verantwoordelijk voor de analyse van de KPIs, efficintie en kostenbesparende acties Ook ben je actief betrokken bij verander en verbeterprojecten samen met de verschillende afdelingen binnen de organisatie, en ben je een boegbeeld als het gaat om het uitdragen van het veiligheidsbeleid Omdat je werkt met mensen, is het belangrijk dat jij helder communiceert Daarnaast zorg je ervoor dat de sfeer ontspannen is, want binnen de teams mag er zeker ook gelachen worden Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322996220?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Foperations-support-manager%3A44384649%2F&urlHash=HLET&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-manager-at-24-7-chauffeursdiensten-2322996220?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=i1NIJb1T2bsAUk47XiKDoQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
2,manager of healthcare institution,LinkedIn,2304704708,Manager Meet- & Regeltechniek,c1gZmiCq5R95WlQH90eujw==,Polanski  Partners,"Amersfoort, Utrecht, Netherlands",None,"Een salaris oplopend tot  5000 bruto per maand, Ruimte voor persoonlijke en professionele ontwikkeling, ook online, Goede secundaire arbeidsvoorwaarden waaronder een winstuitkering, Werken voor een organisatie met focus op duurzaamheid en innovaties",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304704708?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fmanager-meet-en-regeltechniek%3A44191879%2F&urlHash=D-wS&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-meet-regeltechniek-at-polanski-partners-2304704708?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=c1gZmiCq5R95WlQH90eujw%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
3,manager of healthcare institution,LinkedIn,2312285574,Operations support manager,WRT4L5FxQ+8JOUfVyb1O6A==,247 Chauffeursdiensten,"Utrecht, Utrecht, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Transportation/', 'Trucking/', 'Railroad']","Omschrijving, , Houd jij je hoofd koel in drukke tijden en ben jij een kei in overzicht bewaren en organiseren Dan zijn wij op zoek naar jou Dankzij jouw inzet lopen alle logistieke processen bij Hospital Logistics op rolletjes, , Waar kom je te werken, , Al meer dan 20 jaar streeft Hospital Logistics naar de optimalisatie van de logistieke processen binnen elke zorginstelling die haar het vertrouwen schenkt Ze bieden een logistieke oplossing op maat, zodat de zorginstellingen hun kostbare tijd kunnen investeren in de verzorging van hun patinten of bewoners, , Als dienstverlenend bedrijf willen ze voldoen aan drie belangrijke voorwaarden De service moet 1 beter, 2 goedkoper en 3 innovatiever zijn dan wanneer de zorginstelling het zelf zou doen, , Dagelijks worden er hierbij vanaf een viertal centrale magazijnen in Nederland Oss, Capelle, Apeldoorn en Heerenveen verschillende ziekenhuizen en zorgcentra bevoorraad, , Werkzaamheden, , Samen met onze partner Hospital Logistics zijn we op zoek naar een nieuwe collega Operations Support Vanuit deze functie heb je een belangrijke rol in bovenstaande proces Hierbij ben je de rechterhand van de Operations Manager en ondersteun je de site managers op de vier locaties in Nederland in hun dagelijkse operationele activiteiten Verder ben je verantwoordelijk voor de dagelijkse aansturing van 2 kleinere teams die inhouse vanuit de Gelre ziekenhuizen in Apeldoorn en Zutphen werkzaam zijn Je werkt dus niet vanuit n vaste standplaats, maar bevind je afwisselend op deze locaties, , Samen met de 1ste medewerkers en de logistieke medewerkers sta je in voor een optimale logistieke dienstverlening in de Gelre ziekenhuizen Zowel in de samenwerking met de sitemanagers als in de dagelijkse aansturing in het ziekenhuis komen jouw skills als peoplemanager goed van pas, , Met jouw talent om het overzicht te bewaren en te organiseren zorg je ervoor dat je samen met je collegas de gestelde doelen behaalt, en signaleer en anticipeer je tijdig om bij te sturen daar waar nodig, , Op financieeladministratief vlak ben je verantwoordelijk voor de analyse van de KPIs, efficintie en kostenbesparende acties Ook ben je actief betrokken bij verander en verbeterprojecten samen met de verschillende afdelingen binnen de organisatie, en ben je een boegbeeld als het gaat om het uitdragen van het veiligheidsbeleid, , Omdat je werkt met mensen, is het belangrijk dat jij helder communiceert Daarnaast zorg je ervoor dat de sfeer ontspannen is, want binnen de teams mag er zeker ook gelachen worden, , Functie eisen, , , , Voordelen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312285574?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F02070b24-0d11-4168-b972-c4b7e6ed97f0%3Fjid%3Dff7f66080a5c7871576b1714fbadd11f1b1ad2e75c4b51a555e904b64711388f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=gqj5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-manager-at-24-7-chauffeursdiensten-2312285574?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=WRT4L5FxQ%2B8JOUfVyb1O6A%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
4,manager of healthcare institution,LinkedIn,2307745491,Manager Meet- & Regeltechniek | Amersfoort | Polanski & Partners,SUYi/MqHMS0yMRxerQ2FPw==,Technicusnl,"Amersfoort, Utrecht, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']","Vacature van Polanski  Partners, locatie Amersfoort, , Functieomschrijving, , Als Manager Meet en Regeltechniek draag je, samen met je team, zorg voor de kwalitatieve en commercile inrichting van projecten binnen de meet en regeltechniek Het betreft grootschalige projecten binnen de utiliteit waarbij je kan denken aan kantoren, zorginstellingen en culturele gebouwen Uiteraard draag je zorg voor een tijdige oplevering van de werkzaamheden, , Ook zie je toe op correcte communicatie en cordinatie tussen verschillende disciplines binnen de organisatie Je weet draagvlak te creren voor beslissingen en bent de schakel tussen de klant en de organisatie Tevens ben je verantwoordelijk voor het opstellen van tussentijdse rapportages van de resultaten van de afdeling Zo is er altijd zicht op de voortgang van de projecten en de afdeling, , In deze functie geef je leiding aan een team van circa 16 collegas Je houdt toezicht op de toepassing van geldende richtlijnen en stelt kostprijsberekeningen op Ook fungeer je als ambassadeur van de organisatie en weet je bestaande relaties met klanten en stakeholders te onderhouden en uit te bouwen Als Manager Meet en Regeltechniek signaleer je tijdig commercile kansen en weet je deze te vertalen naar concrete projecten, , , , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307745491?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F2944_311994_manager-meet-regeltechniek%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Daccount%2Bamersfoort&urlHash=-T74&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-meet-regeltechniek-amersfoort-polanski-partners-at-technicus-nl-2307745491?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=SUYi%2FMqHMS0yMRxerQ2FPw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
5,manager of healthcare institution,LinkedIn,2327201205,Manager Meet- & Regeltechniek | Amersfoort | Polanski & Partners,54IYHYZvSoHTCX0J85+Pog==,Werkzoekennl,"Amersfoort, Utrecht, Netherlands",['Management Consulting'],"Vacature van Polanski  Partners, locatie Amersfoort, , Functieomschrijving, , Als Manager Meet en Regeltechniek draag je, samen met je team, zorg voor de kwalitatieve en commercile inrichting van projecten binnen de meet en regeltechniek Het betreft grootschalige projecten binnen de utiliteit waarbij je kan denken aan kantoren, zorginstellingen en culturele gebouwen Uiteraard draag je zorg voor een tijdige oplevering van de werkzaamheden, , Ook zie je toe op correcte communicatie en cordinatie tussen verschillende disciplines binnen de organisatie Je weet draagvlak te creren voor beslissingen en bent de schakel tussen de klant en de organisatie Tevens ben je verantwoordelijk voor het opstellen van tussentijdse rapportages van de resultaten van de afdeling Zo is er altijd zicht op de voortgang van de projecten en de afdeling, , In deze functie geef je leiding aan een team van circa 16 collegas Je houdt toezicht op de toepassing van geldende richtlijnen en stelt kostprijsberekeningen op Ook fungeer je als ambassadeur van de organisatie en weet je bestaande relaties met klanten en stakeholders te onderhouden en uit te bouwen Als Manager Meet en Regeltechniek signaleer je tijdig commercile kansen en weet je deze te vertalen naar concrete projecten, , , , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327201205?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1943_polanski-partners%2Fvacatures%2F4930333_manager-meet-regeltechniek%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dmanagement%252bcat_technical%2B&urlHash=Dvzh&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-meet-regeltechniek-amersfoort-polanski-partners-at-werkzoeken-nl-2327201205?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=54IYHYZvSoHTCX0J85%2BPog%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
6,manager of healthcare institution,LinkedIn,2312288368,Operations support manager,WC4Y5g7SlwbShEibxNqa/g==,247 Chauffeursdiensten,Germany,"['Transportation/', 'Trucking/', 'Railroad']","Houd jij je hoofd koel in drukke tijden en ben jij een kei in overzicht bewaren en organiseren Dan zijn wij op zoek naar jou Dankzij jouw inzet lopen alle logistieke processen bij Hospital Logistics op rolletjes, , Waar kom je te werken, , Al meer dan 20 jaar streeft Hospital Logistics naar de optimalisatie van de logistieke processen binnen elke zorginstelling die haar het vertrouwen schenkt Ze bieden een logistieke oplossing op maat, zodat de zorginstellingen hun kostbare tijd kunnen investeren in de verzorging van hun patinten of bewoners, , Als dienstverlenend bedrijf willen ze voldoen aan drie belangrijke voorwaarden De service moet 1 beter, 2 goedkoper en 3 innovatiever zijn dan wanneer de zorginstelling het zelf zou doen, , Dagelijks worden er hierbij vanaf een viertal centrale magazijnen in Nederland Oss, Capelle, Apeldoorn en Heerenveen verschillende ziekenhuizen en zorgcentra bevoorraad, Samen met onze partner Hospital Logistics zijn we op zoek naar een nieuwe collega Operations Support Vanuit deze functie heb je een belangrijke rol in bovenstaande proces Hierbij ben je de rechterhand van de Operations Manager en ondersteun je de site managers op de vier locaties in Nederland in hun dagelijkse operationele activiteiten Verder ben je verantwoordelijk voor de dagelijkse aansturing van 2 kleinere teams die inhouse vanuit de Gelre ziekenhuizen in Apeldoorn en Zutphen werkzaam zijn Je werkt dus niet vanuit n vaste standplaats, maar bevind je afwisselend op deze locaties, , Samen met de 1ste medewerkers en de logistieke medewerkers sta je in voor een optimale logistieke dienstverlening in de Gelre ziekenhuizen Zowel in de samenwerking met de sitemanagers als in de dagelijkse aansturing in het ziekenhuis komen jouw skills als peoplemanager goed van pas, , Met jouw talent om het overzicht te bewaren en te organiseren zorg je ervoor dat je samen met je collegas de gestelde doelen behaalt, en signaleer en anticipeer je tijdig om bij te sturen daar waar, , Houd jij je hoofd koel in drukke tijden en ben jij een kei in overzicht bewaren en organiseren Dan zijn wij op zoek naar jou Dankzij jouw inzet lopen alle logistieke processen bij Hospital Logistics op rolletjes, , Waar kom je te werken, , Al meer dan 20 jaar streeft Hospital Logistics naar de optimalisatie van de logistieke processen binnen elke zorginstelling die haar het vertrouwen schenkt Ze bieden een logistieke oplossing op maat, zodat de zorginstellingen hun kostbare tijd kunnen investeren in de verzorging van hun patinten of bewoners, , Als dienstverlenend bedrijf willen ze voldoen aan drie belangrijke voorwaarden De service moet 1 beter, 2 goedkoper en 3 innovatiever zijn dan wanneer de zorginstelling het zelf zou doen, , Dagelijks worden er hierbij vanaf een viertal centrale magazijnen in Nederland Oss, Capelle, Apeldoorn en Heerenveen verschillende ziekenhuizen en zorgcentra bevoorraad",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312288368?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F6a1b0341-defc-4d02-9bc2-e0d089596326%3Fjid%3Ddc93438db742d6183e6060416c71583acf057e77593dae5481b68d83d475a6d7%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D595&urlHash=GyLr&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-manager-at-24-7-chauffeursdiensten-2312288368?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=WC4Y5g7SlwbShEibxNqa%2Fg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
7,manager of healthcare institution,LinkedIn,2323565445,Operations support manager | Utrecht | 24/7 Chauffeursdiensten Apeldoorn,Xnp3sXbFebP5abXmV2kjXg==,Werkzoekennl,"Utrecht, Utrecht, Netherlands",['Management Consulting'],"Vacature van 247 Chauffeursdiensten Apeldoorn, locatie Utrecht, , Houd jij je hoofd koel in drukke tijden en ben jij een kei in overzicht bewaren en organiseren Dan zijn wij op zoek naar jou Dankzij jouw inzet lopen alle logistieke processen bij Hospital Logistics op rolletjes, , , , Al meer dan 20 jaar streeft Hospital Logistics naar de optimalisatie van de logistieke processen binnen elke zorginstelling die haar het vertrouwen schenkt Ze bieden een logistieke oplossing op maat, zodat de zorginstellingen hun kostbare tijd kunnen investeren in de verzorging van hun patinten of bewoners, , Als dienstverlenend bedrijf willen ze voldoen aan drie belangrijke voorwaarden De service moet 1 beter, 2 goedkoper en 3 innovatiever zijn dan wanneer de zorginstelling het zelf zou doen, , Dagelijks worden er hierbij vanaf een viertal centrale magazijnen in Nederland Oss, Capelle, Apeldoorn en Heerenveen verschillende ziekenhuizen en zorgcentra bevoorraad, , Samen met onze partner Hospital Logistics zijn we op zoek naar een nieuwe collega Operations Support Vanuit deze functie heb je een belangrijke rol in bovenstaande proces Hierbij ben je de rechterhand van de Operations Manager en ondersteun je de site managers op de vier locaties in Nederland in hun dagelijkse operationele activiteiten Verder ben je verantwoordelijk voor de dagelijkse aansturing van 2 kleinere teams die inhouse vanuit de Gelre ziekenhuizen in Apeldoorn en Zutphen werkzaam zijn Je werkt dus niet vanuit n vaste standplaats, maar bevind je afwisselend op deze locaties, , Samen met de 1ste medewerkers en de logistieke medewerkers sta je in voor een optimale logistieke dienstverlening in de Gelre ziekenhuizen Zowel in de samenwerking met de sitemanagers als in de dagelijkse aansturing in het ziekenhuis komen jouw skills als peoplemanager goed van pas, , Met jouw talent om het overzicht te bewaren en te organiseren zorg je ervoor dat je samen met je collegas de gestelde doelen behaalt, en signaleer en anticipeer je tijdig om bij te sturen daar waar nodig, , Op financieeladministratief vlak ben je verantwoordelijk voor de analyse van de KPIs, efficintie en kostenbesparende acties Ook ben je actief betrokken bij verander en verbeterprojecten samen met de verschillende afdelingen binnen de organisatie, en ben je een boegbeeld als het gaat om het uitdragen van het veiligheidsbeleid, , Omdat je werkt met mensen, is het belangrijk dat jij helder communiceert Daarnaast zorg je ervoor dat de sfeer ontspannen is, want binnen de teams mag er zeker ook gelachen worden, , , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323565445?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F3039_24-7-chauffeursdiensten%2Fvacatures%2F4997055_operations-support-manager%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dmanagement%2Butrecht&urlHash=bELV&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-manager-utrecht-24-7-chauffeursdiensten-apeldoorn-at-werkzoeken-nl-2323565445?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=Xnp3sXbFebP5abXmV2kjXg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
8,manager of healthcare institution,LinkedIn,2284871095,Business controller (junior en senior) MCL,Vr3QJZSY3Zbh6kNqYhrIWg==,Medisch Centrum Leeuwarden,"Leeuwarden, Friesland, Netherlands",['Medical Practice'],"Beschik jij over overtuigingskracht en heb je een proactieve houding Ben jij positief ingesteld en zie je een sterk veranderende omgeving als welkome uitdaging,  Ben jij een strategische financial met passie voor het verbeteren van de bedrijfsvoering Tijd om je te leren kennen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284871095?url=https%3A%2F%2Fwww%2Emcl%2Enl%2Fkom-jij-ons-team-versterken%2Fbusiness-controller-junior-en-senior-mcl&urlHash=uZst&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-controller-junior-en-senior-mcl-at-medisch-centrum-leeuwarden-2284871095?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=Vr3QJZSY3Zbh6kNqYhrIWg%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
9,manager of healthcare institution,LinkedIn,2279514141,Manager EAD,9AEpNO5ALJ84ouECcMf9oA==,ZorgvisieBanen,"Dirksland, South Holland, Netherlands",['Public Relations and Communications'],"Ben je financial in hart en nieren en op zoek naar een zeer uitdagende managementfunctie in een complexe zorgorganisatie Heb jij een duidelijke visie op bedrijfsvoering en zorgadministratie en weet je jouw teams hierin mee te nemen Vind je een uitdaging in het ondersteunen van management en bestuur van meerdere organisaties waarvoor je werkzaam bent Dan is dit wellicht de baan voor jou Lees snel verder, , Wat ga je doen, , Stabiliteit in de bedrijfsvoering is rand voorwaardelijk voor het leveren van goede zorg aan patinten en clinten De manager Economisch en Administratieve Dienst EAD levert een grote bijdrage aan deze stabiliteit De EAD levert diensten op het gebied van financile administratie, planning en control, personeels en salarisadministratie, business intelligence en expertise inzake zorgbekostiging De diensten worden vanuit een shared service gedachte geleverd aan verschillende zorginstellingen CuraMare, Sjaloom Zorg, Hospice Calando, het Spijkenisse Medisch Centrum en het Medisch Specialistisch Bedrijf Jij levert gevraagd en ongevraagd advies, met name inzake financile bedrijfsrisicos en als gelijkwaardige partners voorzie je het management en het bestuur van financile informatie en advies Je zorgt voor een goede afstemming van controlewerkzaamheden en het traject rondom de jaarrekening voor de verschillende stichtingen Ook neem jij deel aan enkele auditcommissies Op dit moment vindt de implementatie van AFAS zowel ERP als HRM plaats, waarmee we vanaf 1 januari 2021 gaan werken Door omstandigheden wordt momenteel een aantal leidinggevende posities binnen de EAD door nieuwe mensen ingevuld Dit geeft je de kans samen met deze afdelingshoofden te werken en bouwen aan een verdere professionalisering van deze belangrijke dienst voor de organisaties, , Jij, , , , Dan kijken we uit naar je reactie We ontvangen deze graag vr 26 oktober 2020, , CuraMare is een zorgorganisatie die ziekenhuiszorg, thuis en ouderenzorg biedt op de Zuid Hollandse Eilanden Vanuit onze waarden deskundigheid, gastvrijheid, compassie en vertrouwen, werken meer dan 2800 professionals dagelijks samen om onze clinten en patinten goede zorg te bieden, , Jij komt te werken bij de Stichting Ondersteunende Diensten SOD waar de EAD onder valt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279514141?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F10d99346-af83-4336-92b7-831af86c6792%3Fjid%3D291d4a557c6b485ee500f4e829c8c972dcea42c84b279644755da866f4f7d5c7%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=gOXV&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-ead-at-zorgvisiebanen-2279514141?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=9AEpNO5ALJ84ouECcMf9oA%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
10,manager of healthcare institution,LinkedIn,2327356388,Leidinggevende Snijkeuken,S/ivnLNeSo7LGO11LpyU8g==,Go,"Rhoon, South Holland, Netherlands",None,"Voor onze opdrachtgever zijn we op zoek naar een Leidinggevende Snijkeuken De organisatie waarin je komt te werken is sterk groeiend en daarom zijn ze op zoek naar een tweede leidinggevende In de snijkeuken zijn circa 12 man werkzaam, , Vaardigheden, , Ervaring met leiding geven aan een team in de food sector Kunnen werken met verschillende nationaliteiten Een natuurlijk leiderschap waarin de werknemers ieder op hun eigen manier dienen te worden gestuurd en gemotiveerd, , Over de werkgever, , De werkgever is een bedrijf in de AGF dat voornamelijk levert aan zorginstellingen en is in de regio n van de belangrijkste spelers IN de laatste jaren zijn ze sterk gegroeid en hebben inmiddels binnen de gehele organisatie 130 medewerkers Het bedrijf is een familiebedrijf met een platte organisatie, waarin een goede sfeer heerst en naar een optimaal resultaat wordt gestreefd",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327356388?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Deab765fe2b2b%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadbcadfaadecdd9cdda8ddbaadagadbaddefade3deecacefec3ddcg3e&urlHash=fo0U&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/leidinggevende-snijkeuken-at-go%21-2327356388?refId=48c7c4f0-0303-453e-aa98-8e5bd159554b&trackingId=S%2FivnLNeSo7LGO11LpyU8g%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,26/11/2020,01/12/2020
