Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,manager of healthcare institution,LinkedIn,2317620632,Clinical supervisor,uwsEjqo+Qe2qPL4hsj9VWg==,Syria Justice and Accountability Centre,"Rotterdam, South Holland, Netherlands",['Religious Institutions'],"The Justice for Missing Persons project provides psychological and social support for a team of workers in NE Syria who are exhuming mass graves SJACs psychosocial consultant provides the team with PSS group sessions to raise consciousness about selfcare skills, secondary trauma and occupational burnout and individual support sessions to support individual adaption skills, by utilizing cognitive behavioral therapy, , To ensure that the support cycle between beneficiaries and the PSS counselor is complete, SJAC is seeking a clinical supervisor, , Tasks and responsibilities, , Conducting periodic sessions with the psychosocial specialist, aiming to, , Discuss individual and group work plans, , Discuss work evaluation methods and determine points of strength and weakness, , Discuss pre and post tests to measure the level of achievement, , Discuss intractable individual cases, , Provide metrics of disorder as needed, , Hours will vary, but SJAC anticipates 12 hours of support will be needed every month, , , , 1 Degree in psychology or similar speciality, , 2 At least three years experience in providing intensive clinical supervision, , 3 Indepth understanding of the Syrian conflict, , 4 Ability to manage clinical therapy sessions remotely, , 5  Fluent spoken and written Arabic",Part-time,https://www.linkedin.com/jobs/view/externalApply/2317620632?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc484481c-634f-4c46-ae2f-ba736c1ede7d%3Fjid%3D085cb85cbb7ed3636cc5392ea17f2fe58ea11176dc46461ac2921fc4db55cd59%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=bIsP&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/clinical-supervisor-at-syria-justice-and-accountability-centre-2317620632?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
2,manager of healthcare institution,LinkedIn,2309413894,Revenue Care Manager,gyv0G52xQzGuVHQ4gnNzoA==,KuehneNagel,"Schiphol, North Holland, Netherlands","['Logistics and Supply Chain', 'Package/', 'Freight Delivery', 'Transportation/', 'Trucking/', 'Railroad']","Ben jij administratief gericht Hou jij van een dynamische werkomgeving En hou jij altijd goed het overzicht en werk jij graag met cijfers Solliciteer dan op onze Revenue care Manager positie, , Your Role, Kuehne  Nagel is marktleider in Nederland op het gebied van Luchtvracht Vanuit de afdeling Revenue Care zorgen wij ervoor dat onze klanten de financile en administratieve service van ons krijgen waar wij bekend voor staan Binnen deze afdeling zijn wij op zoek naar een Revenue Care Manager om onze business unit Air logistics te gaan ondersteunen Als Revenue Manager ben jij het hoofd van ons Revenue Care afdeling Je leidt het team van 5  10 medewerkers en bent verantwoordelijk voor het tijdig realiseren van de financile administratie voor onze stakeholders en klanten Tijdens de daily business ben je continue in contact met zowel het Customer Care team als het Operational Care team over hun vooruitgang en processen Vervolgens ondersteun je daar waar nodig, jouw directe medewerkers in het halen van deadlines en afhandelen van facturatie Je beschikt over een sterke persoonlijkheid die door sturing en cordinatie het beste uit jouw team haalt Je kan in een dynamische omgeving vlot het overzicht bewaren en hoge data kwaliteit  precisie zit in jouw DNA Je werkt nauwkeurig met cijfers en kan financile data goed overbrengen bij verschillende doelgroepen In deze functie maak je deel uit van het Management board, Your Responsibilities",Temporary,https://www.linkedin.com/jobs/view/externalApply/2309413894?url=https%3A%2F%2Fjobs%2Ekuehne-nagel%2Ecom%2Fglobal%2Fen%2Fjob%2Freq65723%3Futm_source%3Dlinkedin&urlHash=oy-w&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revenue-care-manager-at-kuehne%2Bnagel-2309413894?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
3,manager of healthcare institution,LinkedIn,2321597165,Zorgmanager,Dss1dlQ1RwSpgmdthYtSfw==,ZorgvisieBanen,"Haarlem, North Holland, Netherlands","['Research', 'Staffing and Recruiting', 'Hospital & Health Care']","Vacature Zorgmanager operationele zaken ZBC Mondziekten, Kaak en Aangezichtschirurgie, , Functie Zorgmanager, , Branche Zelfstandig behandel centrum ZBC, , Niveau HBOWO, , Ervaring Ervaren, , Dienstverband 32 uur, , , , Organisatorisch manager 32 uurweek, , MKA Kennemer  Meer is een zelfstandig behandelcentrum op het gebied van mondziekten, kaak en aangezichtschirurgie MKA Wij verlenen hoogwaardige, topreferente MKA zorg op een tweetal locaties in de regio Haarlem en Hoofddorp Wij bieden een veilige werkplek, een veilige studieplek en bovenal voor patinten een veilige behandelplek met optimale gastvrijheid We hebben een nauwe samenwerking met het Spaarne Gasthuis, locaties Haarlem en Hoofddorp Zo verlenen wij daar oa 24uurs zorg voor kaakchirurgische spoedgevallen Daarnaast wordt er gewerkt in het Rode Kruis Ziekenhuis in Beverwijk, , De kliniek MKA Kennemer  Meer In onze kliniek wordt meer gedaan dan alleen het verwijderen van verstandskiezen, plaatsen van implantaten of het behandelen van een wortelpuntontstekingen Wij behandelen het hele gebied van de mond, kaak en het aangezicht, zoals de cosmetiek, groeiafwijkingen, fracturen en speekselklieren In de locatie Haarlem hebben we een eigen sterilisatie afdeling, , Het team in Haarlem bestaat uit ongeveer 30 medewerkers Dit zijn naast 10 kaakchirurgen, dokters en tandartsassistentes en mondhyginistes Maar ook financieel administratief medewerkers en sterilisatie medewerkers Jouw werkplek betreft alle locaties van MKA Kennemer  Meer, , Verantwoordelijkheid, veiligheid en zorgvuldigheid staan bij ons hoog in het vaandel, , Wij zijn op zoek naar een zelfstandige, enthousiaste en organisatorisch sterke kandidaat die bijdraagt aan het runnen en helpen verder groeien van deze onderneming De aanstelling is voor 32 uur per week Salariring in overleg, marktconform",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321597165?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F1a405592-367f-4576-bbe0-0e03cfb25be2%3Fjid%3Dea45679c8fe7ddd9249649dde403b217f3f3b22e97d4bab05b2564171329e950%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=rQVS&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zorgmanager-at-zorgvisiebanen-2321597165?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
4,manager of healthcare institution,LinkedIn,2322652488,Zorgmanager regio Amsterdam | Florences,KK78mUFBQ1GICBUG2Z1dUw==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Florences, locatie Amsterdam, , Wat Ga Je Doen, , In de regio Amsterdam zijn we op zoek naar een inspirerende, ervaren maar vooral enthousiaste Zorgmanager die ervan overtuigd is dat de ouderenzorg in Nederland naar een hoger niveau getild kan worden Kan jij jouw ervaring omzetten in vraaggerichte zorg Weet jij jouw team te inspireren met jouw visie over zorg Lees dan verder, , , ,  Salaris tot max 5188, per maand,  CAO VVT, FWG 65,  Zeer gunstige secondaire arbeidsvoorwaarden pensioen, collectieve kortingen,  36 uur per week afhankelijk van opleiding en ervaring,  Een jaarcontract met uitzicht op een vast dienstverband,  Professioneel team waar ruimte is voor ontwikkeling, , , ,  Relevante diplomas op academisch niveau,  BIGgeregistreerd,  Je hebt affiniteit met ouderenzorg,  Ervaring met verandermanagement,  Je bent communicatief vaardig en enthousiast,  Innovatief, inspirerend en coachende vaardigheden,  Een assessment kan onderdeel zijn tijdens de sollicitatieprocedure, , , , Als Zorgmanager kom je te werken in een team van enthousiaste verpleegkundigen en verzorgers Deze verschillende locaties bieden professionele en belevingsgerichte zorg aan ouderen in de breedste zin van het woord Onze klant maakt het verschil door kleinschaligheid, huiselijke sfeer, persoonlijke aandacht en het hoge serviceniveau Bewoners moeten zich geborgen en veilig voelen, , , , Florences is een werving en selectiebureau met een specialisatie in de Zorgsector Florences richt zich op zorgprofessionals Van verpleegkundigen, artsen en paramedici tot aan assistenten, zorgmanagement en onderzoekers Klik op de knop solliciteren om direct te solliciteren Voor meer informatie over deze vacature en andere mogelijkheden kun je contact opnemen met ons via 31 020 2443172 of via deze website Ben je zelf niet genteresseerd maar ken je wel d persoon voor deze job Bij een succesvolle lead ontvang je een tegoedbon van E250,, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322652488?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F5753_florences%2Fvacatures%2F4822017_zorgmanager-regio-amsterdam%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%252bcat_management%2Bams&urlHash=tYDo&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zorgmanager-regio-amsterdam-florences-at-werkzoeken-nl-2322652488?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
5,manager of healthcare institution,LinkedIn,2322656178,Zorgmanager regio Leiden/Wassenaar | Florences,kH7Y6AN+RWOorJB9Yy7F8Q==,Werkzoekennl,"Leiden, South Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Florences, locatie Leiden, , Wat Ga Je Doen, , Voor een opdrachtgever in de buurt van LeidenWassenaar zijn we op zoek naar een krachtige, ervaren maar vooral enthousiaste en warme Zorgmanager die ervan overtuigd is dat de ouderenzorg in Nederland nders kan Ben jij een verpleegkundige met een groot hart voor ouderen Wil jij samen met een professioneel en enthousiast team van verpleegkunidgen en verzorgers 24 bewoners de tijd van hun leven geven Lees dan verder, , , ,  Salaris tot max 4335, per maand,  CAO VVT, FWG 60,  Zeer gunstige secondaire arbeidsvoorwaarden,  36 uur per week afhankelijk van opleiding en ervaring,  Een jaarcontract met uitzicht op een vast dienstverband, , , ,  Minimaal een afgeronde opleiding Verpleegkundige niv 5 is een must,  HBO werk en denkniveau,  BIGgeregistreerd,  Je hebt affiniteit met dementiezorg,  Je bent gastvrij, empathisch, hebt een flexibele werkhouding en bent in het bezit van een goede dosis relativeringsvermogen en humor,  Je hebt een positieve persoonlijkheid en bent iemand met ambitie,  Je bent communicatief vaardig en enthousiast, , , , Als Zorgmanager kom je te werken in een team van enthousiaste verpleegkundigen en verzorgers De zorgvillas bieden professionele en belevingsgerichte zorg aan mensen met dementie Onze klant maakt het verschil door kleinschaligheid, huiselijke sfeer, persoonlijke aandacht en het hoge serviceniveau Bewoners moeten zich geborgen en veilig voelen Een thuis waar naasten altijd welkom zijn op een kopje koffie te drinken, mee te doen met activiteiten of aan te schuiven aan het diner van de privekok, , , , Florences is een werving en selectiebureau met een specialisatie in de Zorgsector Florences richt zich op zorgprofessionals Van verpleegkundigen, artsen en paramedici tot aan assistenten, zorgmanagement en onderzoekers Klik op de knop solliciteren om direct te solliciteren Voor meer informatie over deze vacature en andere mogelijkheden kun je contact opnemen met ons via 31 020 2443172 of via deze website Ben je zelf niet genteresseerd maar ken je wel d persoon voor deze job Bij een succesvolle lead ontvang je een tegoedbon van E250,, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322656178?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F5753_florences%2Fvacatures%2F4821991_zorgmanager-regio-leiden-wassenaar%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%252bcat_management%2Blei&urlHash=0WyM&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zorgmanager-regio-leiden-wassenaar-florences-at-werkzoeken-nl-2322656178?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
6,manager of healthcare institution,LinkedIn,2271192303,Revenue Care Manager,1Z1blrUsTc+bGA+35fTNow==,Michael Page,"SchipholRijk, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","Revenue Care Manager, Oppportunity to manage a team and directly contribute to impact revenue growth, Dynamic, fast paced environment for an international company with 80k employees, , , , , , , , , , , A competitive salary package and priceless exposure to senior management There is room to grow and develop in your career at this company",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271192303?url=https%3A%2F%2Fwww%2Emichaelpage%2Enl%2Fen%2Fjob-apply%2Frevenue-care-manager%2Fref%2F196077%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobad&urlHash=dxzP&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revenue-care-manager-at-michael-page-nederland-2271192303?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
7,manager of healthcare institution,LinkedIn,2306082315,Zorgmanager regio Amsterdam,zm9C3OmiScCdd8lmYK2vYQ==,Florences,"Amsterdam, North Holland, Netherlands",None,"Functieomschrijving, , Wat Ga Je Doen, , In de regio Amsterdam zijn we op zoek naar een inspirerende, ervaren maar vooral enthousiaste Zorgmanager die ervan overtuigd is dat de ouderenzorg in Nederland naar een hoger niveau getild kan worden Kan jij jouw ervaring omzetten in vraaggerichte zorg Weet jij jouw team te inspireren met jouw visie over zorg Lees dan verder, , , ,  Salaris tot max 5188, per maand,  CAO VVT, FWG 65,  Zeer gunstige secondaire arbeidsvoorwaarden pensioen, collectieve kortingen,  36 uur per week afhankelijk van opleiding en ervaring,  Een jaarcontract met uitzicht op een vast dienstverband,  Professioneel team waar ruimte is voor ontwikkeling, , , ,  Relevante diplomas op academisch niveau,  BIGgeregistreerd,  Je hebt affiniteit met ouderenzorg,  Ervaring met verandermanagement,  Je bent communicatief vaardig en enthousiast,  Innovatief, inspirerend en coachende vaardigheden,  Een assessment kan onderdeel zijn tijdens de sollicitatieprocedure, , , , Als Zorgmanager kom je te werken in een team van enthousiaste verpleegkundigen en verzorgers Deze verschillende locaties bieden professionele en belevingsgerichte zorg aan ouderen in de breedste zin van het woord Onze klant maakt het verschil door kleinschaligheid, huiselijke sfeer, persoonlijke aandacht en het hoge serviceniveau Bewoners moeten zich geborgen en veilig voelen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306082315?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6c22cfd8b1e2%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacaddcddebdde8addbadaaadcgdd8aadefddf3aebcdcefec3ddcg3e&urlHash=tMVu&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zorgmanager-regio-amsterdam-at-florences-2306082315?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
8,manager of healthcare institution,LinkedIn,2322650979,Zorgmanager regio Utrecht | Florences,FfiqCza9Q0WE6RoQPUB9Dg==,Werkzoekennl,"Utrecht, Utrecht, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Florences, locatie Utrecht, , Wat Ga Je Doen, , In de regio Utrecht zijn we op zoek naar een inspirerende, ervaren maar vooral enthousiaste Zorgmanager die ervan overtuigd is dat de ouderenzorg in Nederland naar een hoger niveau getild kan worden Kan jij jouw ervaring omzetten in vraaggerichte zorg Weet jij jouw team te inspireren met jouw visie over zorg Lees dan verder, , , ,  Salaris tot max 5188, per maand,  CAO VVT, FWG 65,  Zeer gunstige secondaire arbeidsvoorwaarden pensioen, laptop, mobiel, collectieve kortingen etc,  36 uur per week afhankelijk van opleiding en ervaring,  Een jaarcontract met uitzicht op een vast dienstverband,  Professioneel team waar ruimte is voor ontwikkeling, , , ,  Relevante diplomas HBO,  BIGgeregistreerd,  Je hebt affiniteit met ouderenzorg,  Ervaring met verandermanagement,  Je bent communicatief vaardig in zowel woord als geschrift,  Innovatief, inspirerend en coachende vaardigheden,  Een assessment kan onderdeel zijn tijdens de sollicitatieprocedure, , , , Als Zorgmanager kom je te werken in een team van enthousiaste verpleegkundigen en verzorgers bij een grote organisatie met verschillende locaties in de buurt van Utrecht Deze verschillende locaties bieden professionele en belevingsgerichte zorg aan ouderen in de breedste zin van het woord Onze klant maakt het verschil door kleinschaligheid, huiselijke sfeer, persoonlijke aandacht en het hoge serviceniveau Bewoners moeten zich geborgen en veilig voelen, , , , Florences is een werving en selectiebureau met een specialisatie in de Zorgsector Florences richt zich op zorgprofessionals Van verpleegkundigen, artsen en paramedici tot aan assistenten, zorgmanagement en onderzoekers Klik op de knop solliciteren om direct te solliciteren Voor meer informatie over deze vacature en andere mogelijkheden kun je contact opnemen met ons via 31 020 2443172 of via deze website Ben je zelf niet genteresseerd maar ken je wel d persoon voor deze job Bij een succesvolle lead ontvang je een tegoedbon van E250,, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322650979?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F5753_florences%2Fvacatures%2F4822018_zorgmanager-regio-utrecht%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%252bcat_management%2Butr&urlHash=dnyC&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zorgmanager-regio-utrecht-florences-at-werkzoeken-nl-2322650979?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
9,manager of healthcare institution,LinkedIn,2322650975,Zorgmanager regio Utrecht | Amersfoort | Florences,MJGIJ0X5S5e8aFqdLloQUQ==,Werkzoekennl,"Amersfoort, Utrecht, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Florences, locatie Amersfoort, , Wat Ga Je Doen, , In de regio Utrecht zijn we op zoek naar een ervaren en ondernemende vestigingsmanager, die graag de handen uit de mouwen steekt De uitdaging van deze functie is om de ingezette groei, ontwikkeling en professionalisering krachtig voort te zetten Jij ziet kansen in de markt en weet deze te vertalen in concrete actiepunten voor jouw vestiging Daarnaast ben je als manager verantwoordelijk voor de dagelijkse aansturing, organiseer je de zorg, bouw je mee en ben je het aanspreekpunt voor zowel inhoudelijke gesprekspartners, contactpartijen en interne stakeholders Interessant lees dan verder, , , ,  Salaris tot max 4407, per maand,  CAO VVT, FWG 60,  Zeer gunstige secondaire arbeidsvoorwaarden,  36 uur per week afhankelijk van opleiding en ervaring,  Een jaarcontract met uitzicht op een vast dienstverband,  Professioneel team waar ruimte is voor ontwikkeling, , , ,  Relevante diplomas HBO,  BIGgeregistreerd,  Je hebt affiniteit met ouderenzorg,  Ervaring met verandermanagement,  Je bent communicatief vaardig in zowel woord als geschrift,  Innovatief, inspirerend en coachende vaardigheden,  Een assessment kan onderdeel zijn tijdens de sollicitatieprocedure, , , , Als Vestigingsmanager ga je werken voor een grote landelijke thuiszorgorganisatie met tientallen steunpunten en inmiddels meer dan 5000 clinten Je komt te werken in een dynamische omgeving die gekenmerkt wordt door ondernemingszin en waar jouw visie over zorg zeer gewaardeerd wordt Daarnaast is er veel ruimte voor persoonlijke ontwikkeling, , , , Florences is een werving en selectiebureau met een specialisatie in de Zorgsector Florences richt zich op zorgprofessionals Van verpleegkundigen, artsen en paramedici tot aan assistenten, zorgmanagement en onderzoekers Klik op de knop solliciteren om direct te solliciteren Voor meer informatie over deze vacature en andere mogelijkheden kun je contact opnemen met ons via 31 020 2443172 of via deze website Ben je zelf niet genteresseerd maar ken je wel d persoon voor deze job Bij een succesvolle lead ontvang je een tegoedbon van E250,, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322650975?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F5753_florences%2Fvacatures%2F4822039_zorgmanager-regio-utrecht%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%252bcat_management%2Bame&urlHash=8wHh&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/zorgmanager-regio-utrecht-amersfoort-florences-at-werkzoeken-nl-2322650975?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
10,manager of healthcare institution,LinkedIn,2278314443,Revenue Care Manager,mDPMrAivR7K3+bvzyryWPg==,KUEHNE  NAGEL,"The Hague, South Holland, Netherlands",['Public Relations and Communications'],"Ben jij administratief gericht Hou jij van een dynamische werkomgeving En hou jij altijd goed het overzicht en werk jij graag met cijfers Solliciteer dan op onze Revenue care Manager positie Your Role Kuehne  Nagel is marktleider in Nederland op het gebied van Luchtvracht Vanuit de afdeling Revenue Care zorgen wij ervoor dat onze klanten de financile en administratieve service van ons krijgen waar wij bekend voor staan Binnen deze afdeling zijn wij op zoek naar een Revenue Care Manager om onze business unit Air logistics te gaan ondersteunen, Als Revenue Manager ben jij het hoofd van ons Revenue Care afdeling Je leidt het team van 5  10 medewerkers en bent verantwoordelijk voor het tijdig realiseren van de financile administratie voor onze stakeholders en klanten Tijdens de daily business ben je continue in contact met zowel het Customer Care team als het Operational Care team over hun vooruitgang en processen Vervolgens ondersteun je daar waar nodig, jouw directe medewerkers in het halen van deadlines en afhandelen van facturatie, Je beschikt over een sterke persoonlijkheid die door sturing en cordinatie het beste uit jouw team haalt Je kan in een dynamische omgeving vlot het overzicht bewaren en hoge data kwaliteit  precisie zit in jouw DNA, Je werkt nauwkeurig met cijfers en kan financile data goed overbrengen bij verschillende doelgroepen, In deze functie maak je deel uit van het Management board Your Responsibilities Juist en secuur uitvoeren van administratieve takenZorg dragen voor een effcinte en effectieve uitvoering van de financile transacties, zoals met de klanten overeengekomenCoaching van je werknemers op gebied van administratie, productiviteit en data kwaliteitOntwerp van werkprocesverbeteringen met als doel efficintere dossierafhandeling en verhoging van klantgerichte aanpakElke dag hou je het overzicht van de gestelde deadlines en zorg je ervoor dat in teamverband alle facturaties op tijd bij de klant aankomenBijdragen aan continue verbetering van processen en controles voor gestroomlijnde en kostenefficiente operatieOptimaliseren van procedures om de ontwikkeling van Profitspecefieke KPIs te verzekeren Your Skills and Experiences Je hebt een afgeronde HBOBachelor of Masteropleiding behaald binnen een financile richtingJe bezit over minimaal 10 jaar ervaring in de financiele dienstverlening, waarvan 5 jaar recente en succesvolle leidinggevende werkervaring in een soortgelijke werkomgevingJe beschikt over een stevige persoonlijkheid met sterke communicatieve vaardigheden en een analystische instellingJe hebt een hands on mindset met een oog voor detail en ga je initatiefrijk te werkJe gaat secuur te werk, kwaliteit staat bij jouw hoog in het vaandel Je houdt ervan om data te verwerken en bij te houden Job SummaryJob number req65723Date posted Profession Finance  ControllingEmployment type Fixed term",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278314443?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMjcwYjE4YWEtZWZmNS00NWU0LWJjZGEtZjhjMGJiODU4MjBiIn0%2EexFdSE7461oVqCKHTtMEZBi4bPebzA335IfFgvN8Aug%26jid%3D403f14629d8c901d7baa54c5f5f465c579bb1a765f5b6061e7c6a2c4fc49a73e%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D390&urlHash=qSXL&refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/revenue-care-manager-at-kuehne-%2B-nagel-2278314443?refId=6ac02fe3-2a1c-4eec-953b-3a36baad8344&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-29
