Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,psychologist,LinkedIn,2319704808,Online Psychologist (The Netherlands),UZbI8n5GS826oM29MX92RA==,Mindler,"Amsterdam, North Holland, Netherlands","['Mental Health Care', 'Information Technology and Services']","Mindler is per direct opzoek naar nieuwe online basispsychologen, Wil jij als basispsycholoog de vrijheid van een zelfstandige en tegelijkertijd de zekerheid van een vast dienstverband Werken waar en wanneer je wilt en daarnaast zelf je uren bepalen, Als online basispsycholoog bij Mindler WTZiinstelling heb jij de regie  ook over je eigen agenda Je bepaalt dus zelf vanaf welke plek, wanneer en hoeveel clinten je behandelt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319704808?url=https%3A%2F%2Fmindler%2Eteamtailor%2Ecom%2Fjobs%2F972948-online-basispsychologen-gezocht&urlHash=L_sY&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/online-psychologist-the-netherlands-at-mindler-2319704808?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
2,psychologist,LinkedIn,2321551738,Educational Psychologist,NvqFVvyeQUGx4Vh0Dww+KA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Religious Institutions'],"Job Context  Duties, , Interpret psychological tests, Test for behavioural patterns, , Communicate with youth, , Diagnose education problems, , , , , Ability to adapt and cope with working in different teams, , , An awareness of the need to handle confidential issues sensitively, , Strong motivation and open and positive attitude, , Openness and interest in learning and further development",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321551738?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ff0de69af-5ae6-4224-a13f-54641f074fe1%3Fjid%3D57e32806b87746179ea302bb8ce63b4749739da6895b1a6e05c5a1a979b7e552%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=1_t2&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/educational-psychologist-at-talent-2321551738?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
3,psychologist,LinkedIn,2280180600,Psychologist Cybersecurity,xbdcUU22RSa1jK/22NiIaA==,Secura,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer & Network Security', 'Security and Investigations']","Who are you, Inducing behavioral change is what challenges you People and their motivations are what intrigues you Ownership, vision and creativity are what define you You are a sociable, reliable and positive gogetter, doing what you say and saying what you do Independent but asking for help when necessary You are a team player with a critical view, open for feedback, continuously trying to improve your work, our services and our team",Full-time,,https://nl.linkedin.com/jobs/view/psychologist-cybersecurity-at-secura-2280180600?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
4,psychologist,LinkedIn,2317168135,Psycholoog,QQnodNekQRSzf2BukjvMtg==,Ministerie van Justitie en Veiligheid,"Veenhuizen, North Holland, Netherlands",['Government Administration'],"Functiexadomschrijving, , Ben jij psycholoog en wil je werken in een boeiende omgeving en met een uitdagende doelgroep Kom dan de afdeling Zorg van de penitentiaire inrichting Veenhuizen versterken Hier bied je geestelijke gezondheidszorg aan de gedetineerden Je levert zo efficint mogelijk noodzakelijke en professionele zorg die niet tot na de detentie uitgesteld kan worden In deze interessante en maatschappelijke functie draag je bij aan de veiligheid van Nederland, , Als psycholoog bij de medische dienst werk je samen met onder meer psychiaters, justitieel verpleegkundigen, administratief medewerkers en sociaalpsychiatrisch verpleegkundigen Samen met andere disciplines binnen het psychomedisch overleg bied je geestelijke gezondheidszorg aan gedetineerden Je behandelt stoornissen en vermindert de kans op recidive Ook geef je gedragskundige adviezen over het traject van een gedetineerde Hoewel de zorg gelijkwaardig is aan die in de vrije maatschappij, houd je nadrukkelijk rekening met de beperkingen van de detentie, , Verder adviseer je het Nederlands Instituut voor Forensische Psychiatrie en Psychologie bij het afgeven van een indicatiestelling voor de behandeling van gedetineerden De uitvoerende medewerkers van de penitentiaire inrichting adviseer je over de omgang met de gedetineerden en over hun individuele kenmerken Daarnaast probeer je zo veel mogelijk diagnostiek uit te voeren tijdens het verblijf van iemand in de gevangenis, , Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317168135?url=https%3A%2F%2Fwww%2Ewerkenvoornederland%2Enl%2Fvacatures%2Fpsycholoog-DJI-2020-0746%3Futm_source%3DLinkedIn%26utm_medium%3Djobboard%26utm_campaign%3Djobslots%26utm_term%3DDJI-2020-0746&urlHash=3hbA&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/psycholoog-at-ministerie-van-justitie-en-veiligheid-2317168135?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
5,psychologist,LinkedIn,2323793902,GZ-psycholoog Ziekenhuispsychiatrie Almere (24-36 uur),XAUfA4ytRp2nD6j9UrcLyw==,GGz Centraal,"Almere, Flevoland, Netherlands",['Mental Health Care'],"Een professionele bijdrage leveren aan het behandelklimaat en werken aan het benutten van de eigen kracht van de patinten richting herstel Jij zorgt ervoor, Informatie, Voor wie jij er bent Patinten met een breed scala aan psychische problemen angst en stemmingsproblematiek, persoonlijkheidsproblematiek, trauma, schizofreniespectrum en comorbide problematiek, Vanuit de afdeling Ziekenhuispsychiatrie van het Flevoziekenhuis geven wij deze groep patinten poliklinische zorg en behandeling Je hebt een gevarieerd takenpakket en bent onderdeel van het behandelteam, , , , , Met 5 andere professionals vorm je het team ziekenhuispsychiatrie Met jou als gzpsycholoog zijn we ng sterker in wat we doen Namelijk, het leveren van poliklinische zorg en behandeling De afdeling ziekenhuispsychiatrie van het Flevoziekenhuis is een onderdeel van GGz Centraal regio Flevoland Wij richten ons primair op somatische comorbiditeit bij psychiatrische patinten en psychiatrische comorbiditeitgedragsproblemen bij somatische aandoeningen inclusief neuropsychiatrie en angst en stemmingsstoornissen In contact met patinten wordt gestreefd naar het vergroten van de eigen regie van patinten in samenspraak met het systeem van de patint en eventuele andere zorgaanbieders interne collegas enof netwerkpartners Er wordt gewerkt vanuit de gedachte herstelondersteunende zorg, Hoe je ons team het beste kunt omschrijven Dynamisch, betrokken en vanuit een sterk gevoel van behandelen doe je samen en vooral ons richten op versterken van het autonomie van de patint En het belangrijkste we hebben plezier in wat we doen We werken hard, mt ons hart, , , , , Jij bent ambitieus bent en gaat daarmee mee in de positieve energie van ons team Daarbij ben je ondernemend en daarmee kun je buiten de gebaande paden denken Je past binnen GGz Centraal als je net als wij vanuit jouw expertise wilt bijdragen aan de allerbeste zorg, , , , , , , Mogelijkheden binnen GGz Centraal zijn er genoeg Omdat we een grote organisatie zijn met verschillende werklocaties kunnen we inspelen op ontwikkelwensen, functieinhoud, type behandelprogramma en woonwerkafstand Samen kijken we naar wat jij nodig hebt in je werk, , , Verder bieden wij je een gedegen inwerkprogramma en supervisie binnen je eigen leerwerkproces onder begeleiding van een klinisch psycholoog Je werkt volgens een vast rooster tijdens kantoortijden, Een referentiecheck is onderdeel van ons aannamebeleid Bij indiensttreding vragen we je om een actuele Verklaring Omtrent Gedrag VOG Wij vragen deze voor je aan en vergoeden de kosten, , , Zet jouw talenten in als gzpsycholoog op de plek waar het er cht toe doet versterk GGz Centraal in Almere, Wil je meer informatie over de vacature Bel of app dan met Mirjam Verhoef hoofd behandelzaken via click apply of met Marcel Knijn hoofd bedrijfsvoering via click apply Voor vragen over de sollicitatieprocedure kun je terecht bij Recruitment via click apply of via click apply, , Als we d geschikte kandidaat hebben gevonden, sluiten we de vacature eerder Hebben we onze match nog niet gevonden Dan zoeken we nog wat langer door, , Bij GGz Centraal rekenen elk jaar zon 25000 patinten op ons als de specialist in geestelijke gezondheidszorg Samen met bijna 3000 collegas willen we elke dag het verschil maken voor onze patinten Dit doen we door strategisch te verbinden, te blijven innoveren en als collegas op elkaar te bouwen Zo werken we samen aan de ggz van nu n van morgen Meer weten over onze strategische koers Je leest het hier , Onze locaties vind je in het midden van het land Ons werkgebied strekt zich uit over Eemland, Flevoland, Gooi  Vechtstreek en Veluwe  Veluwe Vallei Jouw nieuwe werkplek Het Flevoziekenhuis in het centrum van Almere, waar de ziekenhuispsychiatrie afdeling van GGz Centraal de verbinding vormt tussen de geestelijke gezondheid en de lichamelijke somatische gezondheidszorg De ziekenhuispsychiatrie is aanvullend op de somatische zorg van het ziekenhuis, De regio Flevoland ontfermt zich over een breed werkgebied, verdeeld over zes gemeenten Vanuit onze locaties in Almere, Lelystad, Emmeloord en Dronten werken wij samen met ruim 325 collegas Flevoland is in beweging, stilstand is achteruitgang Herstelgerichte patintenzorg, waarbij er zo maximaal mogelijk ambulant wordt gewerkt, kenmerkt de visie en aanpak binnen de regio Evenals ons motto behandelen doen wij samen, waarbij de patint en zijn naasten centraal staan en intensief wordt samengewerkt met lokale netwerkpartners Focus op eigen regie en autonomie, ruimte om te pionieren en multidisciplinaire samenwerking vind je terug in de visie op patintenzorg n werkgeverschap",Contract,https://www.linkedin.com/jobs/view/externalApply/2323793902?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-7920594094495857586%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=RGee&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-ziekenhuispsychiatrie-almere-24-36-uur-at-ggz-centraal-2323793902?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
6,psychologist,LinkedIn,2305629293,Psycholoog,7LM0g8T0Rca4ehW0JbtAOQ==,Corparis,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],Ben jij een ervaren Psycholoog op zoek naar een nieuwe uitdaging Dan hebben wiju202feen leuke en leerzame baanu202fvoor jou Voor diverse opdrachtgevers in NoordHolland en ZuidHolland zoeken wij een ervaren psycholoog Het aantal uur en de contractvorm is in overleg ,Full-time,,https://nl.linkedin.com/jobs/view/psycholoog-at-corparis-2305629293?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
7,psychologist,LinkedIn,2299852860,Klinisch Psycholoog,LQaDMwvxRmKe2B9xZLPX0A==,Parnassia Groep,"Zaanstad, North Holland, Netherlands","['Mental Health Care', 'Health, Wellness and Fitness', 'Hospital & Health Care']","Klinisch Psycholoog, , Ook nu in coronatijd werven wij door Parnassia zoekt voor het Autismeteam in Zaandam een klinisch psycholoog, , , van Parnassia biedt jou als klinisch psycholoog een uitdagende werkplek waar je jouw behandelvaardigheden en diagnostische expertise optimaal kunt inzetten bij volwassenen met een autismespectrumstoornis Bij ons kun je actief, met het team, richting geven aan de inhoudelijke doorontwikkeling van het specialistische Autismeteam, , Wij zijn een jong en ambitieus team, dat zich in de afgelopen jaren sterk heeft uitgebreid In onze visie staat de vraag van de clint en diens systeem centraal Met ons behandelaanbod sluiten we aan bij de wensen, competenties en mogelijkheden van de clint en zijn omgeving We bieden een breed aanbod, van diagnostiek tot behandelingen met een uitgebreid groepsaanbod oa psychoeducatiegroepen, opvoedenouderschap en ASS, mindfulness Daarnaast bieden wij ondersteuning en begeleiding in het dagelijkse functioneren, contacten met schoolwerk en binnen het sociale netwerk van clinten, , , , , , , , , Je bezit de vaardigheid om goed overzicht te houden in een dynamische werkomgeving Daarnaast ben je in staat zorg te dragen voor inhoudelijk leiderschap, Om in aanmerking te komen voor deze functie is een positieve Verklaring Omtrent Gedrag VOG vereist, Het natrekken van referenties, integriteitscontrole via het Waarschuwingsregister Zorg  Welzijn en het controleren van diplomas maken onderdeel uit van de sollicitatieprocedure, , , Wij bieden onze collegas gevarieerd en zinvol werk in een professionele en prettige werkomgeving Daarbij hoort natuurlijk een goed pakket aan arbeidsvoorwaarden conform cao GGZ Klik voor meer informatie over onze arbeidsvoorwaarden, , Het betreft de functie klinisch psycholoog voor minimaal 8 uur per week Je krijgt een jaarcontract met uitzicht op een vast dienstverband Het salaris bedraagt minimaal  5575, en maximaal  7934, FWG 75 bruto per maand op basis van een werkweek van 36 uur, , , is gevestigd in de regios Haaglanden en NoordHolland Wij behandelen en begeleiden volwassenen met ernstige psychiatrische aandoeningen EPA en ouderen met psychiatrische problemen of dementie, , is onderdeel van , een werkgever in de geestelijke gezondheidszorg die streeft naar een inclusieve cultuur met gelijke kansen voor iedereen We maken geen onderscheid op gebied van geslacht, geloof, sociale achtergrond, geaardheid of etniciteit Wij vinden het belangrijk om van en mt elkaar te leren, dat iedereen zichzelf kan zijn en een ieder zich gewaardeerd voelt Bij ons kun je bijdragen aan tal van specialisaties, wetenschappelijke onderzoeken en via onze eigen Parnassia Groep Academie gebruik maken van geaccrediteerde opleidingsmogelijkheden Alleen in een werkomgeving waarin we openstaan voor verschillen, halen we het beste uit onszelf, kunnen we creatieve en innovatieve oplossingen bieden voor onze patinten en succesvol zijn, , , Wil je meer weten Neem dan contact op met Floor Oosterwijk, psychiater of Ingeborg Meester, GZ psycholoog, via 0883580500 of met Marijke Andringa, leidinggevende bedrijfsvoering, via 0657060819, , pdf, , Solliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2299852860?url=https%3A%2F%2Fwww%2Eparnassiagroep%2Enl%2Fwerken-en-leren%2Fvacatures%2F-%2Fvid-94901-klinisch-psycholoog&urlHash=YE08&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klinisch-psycholoog-at-parnassia-groep-2299852860?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
8,psychologist,LinkedIn,2264972073,Klinisch Psycholoog (23/10/2020),0YrAbuj1Rbi9fwfCERQeTQ==,Altrecht,"Nieuwegein, Utrecht, Netherlands",['Mental Health Care'],"Wat ga je doen, Voor een nieuw GITPD team in Nieuwegein zijn we op zoek naar een klinisch psycholoog 2436 uur Vanwege de oplopende wachtlijsten hebben we besloten hier te gaan uitbreiden Het nieuwe team wordt gehuisvest op dezelfde locatie als het andere GITPD en het AMBIT team in Nieuwegein Dit betekent dat er altijd collegas met ervaring met de methodiek en de doelgroep in de buurt zijn, , Als Klinisch Psycholoog houd je je bezig met complexe zorgvragen van onze patinten, waarbij het zowel kan gaan om diagnostiek als psychologische behandeling Als hoofdbehandelaar in een multidisciplinair team neem je initiatieven die bijdragen aan herstel ondersteunende zorg Naast de contacten met patinten, hun naasten en je directe collegas, werk je ook samen met collegas buiten jouw team en netwerkpartners Je kijkt dan ook overstijgend naar zorgvragen en redeneert vanuit het hele verhaal van de patint, , Als Klinisch Psycholoog heb je een coachende en motiverende rol richting jouw collegas Je durft leiding te nemen en streeft ernaar de zorg steeds weer naar een hoger niveau te brengen Jouw mening over beleidsmatige onderwerpen en verbeteringen in behandelprocessen wordt dan ook erg gewaardeerd, Vanuit de functie van Klinisch Psycholoog lever je dus een belangrijke bijdrage aan het vinden, ontwarren en versterken van de gezonde lijn in het verhaal van onze patinten, , , , , , , , Het inwinnen van referenties kan onderdeel zijn van de procedure, , , Voor meer informatie over deze functie kun je contact opnemen met Geert Jan Bongers Leidinggevende Geert Jan is telefonisch bereikbaar op click apply of per mail via click apply , , Twijfel je of deze baan iets voor jou is Neem ook dan gerust contact op je bent van harte welkom om kennis te maken of een dagdeel mee te lopen, zodat we je kunnen vertellen hoe we werken, , , Interne en externe sollicitaties worden tegelijk in behandeling genomen Omdat we interne mobiliteit belangrijk vinden, heeft de interne kandidaat we bij gelijke geschiktheid voorrang, , Mensen met een ernstige persoonlijkheidsstoornis kunnen voor specialistische hulpverlening terecht bij Altrecht persoonlijkheidsstoornissen Het doel van de hulpverlening is mensen te helpen hun rol in de samenleving te herpakken De zorgeenheid persoonlijkheidsstoornissen is verdeeld over de locaties Utrecht, Nieuwegein, Zeist en Woerden, De Zorgeenheid Persoonlijkheidsstoornissen is een dynamische, vooruitstrevende eenheid waar gespecialiseerde GGZ behandeling wordt geboden aan patinten met complexe persoonlijkheidsproblematiek Het behandelaanbod wordt vormgegeven op psychotherapeutische grondslag in diverse settings ambulant, deeltijd, klinisch, Altrecht Persoonlijkheidsstoornissen streeft ernaar zoveel mogelijk patinten een passende behandeling te geven Dit doet de zorgeenheid onder andere door GITPD GuidelineInformed Treatment for Personality Disorders zoveel mogelijk als eerste behandeling in te zetten GITPD is een relatief nieuwe methode die ondersteund wordt door het Kenniscentrum Persoonlijkheidsstoornissen Nederland en die bewezen werkzame elementen van verschillende psychotherapeutische methodieken combineert Hierbij wordt zorg op maat geboden Altrecht Persoonlijkheidsstoornissen hoort, als het om de toepassing gaat, hierin bij de koplopers in Nederland Het is de bedoeling deze vorm van hulpverlening verder door te ontwikkelen Hierin wordt samengewerkt met het Kenniscentrum Persoonlijkheidsstoornissen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2264972073?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-474924343841170199%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=IUGX&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klinisch-psycholoog-23-10-2020-at-altrecht-2264972073?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
9,psychologist,LinkedIn,2323304753,GZ-psycholoog Ziekenhuispsychiatrie | 24 tot 36 uur,bscwo8xeRJCTjsPQUUbsmg==,Nederland Vacature Groep,"Noord, North Brabant, Netherlands",['Human Resources'],"Wat ga je doen, Voor wie jij er bent Patinten met een breed scala aan psychische problemen angst en stemmingsproblematiek, persoonlijkheidsproblematiek, trauma, schizofreniespectrum en comorbide problematiek, Vanuit de afdeling Ziekenhuispsychiatrie van het Flevoziekenhuis geven wij deze groep patinten poliklinische zorg en behandeling Je hebt een gevarieerd takenpakket en bent onderdeel van het behandelteam, , , Met 5 andere professionals vorm je het team ziekenhuispsychiatrie Met jou als gzpsycholoog zijn we ng sterker in wat we doen Namelijk, het leveren van poliklinische zorg en behandeling De afdeling ziekenhuispsychiatrie van het Flevoziekenhuis is een onderdeel van GGz Centraal regio Flevoland Wij richten ons primair op somatische comorbiditeit bij psychiatrische patinten en psychiatrische comorbiditeitgedragsproblemen bij somatische aandoeningen inclusief neuropsychiatrie en angst en stemmingsstoornissen In contact met patinten wordt gestreefd naar het vergroten van de eigen regie van patinten in samenspraak met het systeem van de patint en eventuele andere zorgaanbieders interne collegas enof netwerkpartners Er wordt gewerkt vanuit de gedachte herstelondersteunende zorg, Hoe je ons team het beste kunt omschrijven Dynamisch, betrokken en vanuit een sterk gevoel van behandelen doe je samen en vooral ons richten op versterken van het autonomie van de patint En het belangrijkste we hebben plezier in wat we doen We werken hard, mt ons hart, , Waar ga je werken, Bij GGz Centraal rekenen elk jaar zon 25000 patinten op ons als de specialist in geestelijke gezondheidszorg Samen met bijna 3000 collegas willen we elke dag het verschil maken voor onze patinten Dit doen we door strategisch te verbinden, te blijven innoveren en als collegas op elkaar te bouwen Zo werken we samen aan de ggz van nu n van morgen Meer weten over onze strategische koers Je leest het hier, , Onze locaties vind je in het midden van het land Ons werkgebied strekt zich uit over Eemland, Flevoland, Gooi  Vechtstreek en Veluwe  Veluwe Vallei Jouw nieuwe werkplek Het Flevoziekenhuis in het centrum van Almere, waar de ziekenhuispsychiatrie afdeling van GGz Centraal de verbinding vormt tussen de geestelijke gezondheid en de lichamelijke somatische gezondheidszorg De ziekenhuispsychiatrie is aanvullend op de somatische zorg van het ziekenhuis, De regio Flevoland ontfermt zich over een breed werkgebied, verdeeld over zes gemeenten Vanuit onze locaties in Almere, Lelystad, Emmeloord en Dronten werken wij samen met ruim 325 collegas Flevoland is in beweging, stilstand is achteruitgang Herstelgerichte patintenzorg, waarbij er zo maximaal mogelijk ambulant wordt gewerkt, kenmerkt de visie en aanpak binnen de regio Evenals ons motto behandelen doen wij samen, waarbij de patint en zijn naasten centraal staan en intensief wordt samengewerkt met lokale netwerkpartners Focus op eigen regie en autonomie, ruimte om te pionieren en multidisciplinaire samenwerking vind je terug in de visie op patintenzorg n werkgeverschap, Wat heb je nodig, , , , Jij bent ambitieus bent en gaat daarmee mee in de positieve energie van ons team Daarbij ben je ondernemend en daarmee kun je buiten de gebaande paden denken Je past binnen GGz Centraal als je net als wij vanuit jouw expertise wilt bijdragen aan de allerbeste zorg, , Wat mag je verwachten, , , , Mogelijkheden binnen GGz Centraal zijn er genoeg Omdat we een grote organisatie zijn met verschillende werklocaties kunnen we inspelen op ontwikkelwensen, functieinhoud, type behandelprogramma en woonwerkafstand Samen kijken we naar wat jij nodig hebt in je werk, Verder bieden wij je een gedegen inwerkprogramma en supervisie binnen je eigen leerwerkproces onder begeleiding van een klinisch psycholoog Je werkt volgens een vast rooster tijdens kantoortijden, Een referentiecheck is onderdeel van ons aannamebeleid Bij indiensttreding vragen we je om een actuele Verklaring Omtrent Gedrag VOG Wij vragen deze voor je aan en vergoeden de kosten, Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , , Solliciteer direct, , ",Contract,https://www.linkedin.com/jobs/view/externalApply/2323304753?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fgz-psycholoog-ziekenhuispsychiatrie-24-tot-36-uur-in-almere%2F253442%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D22882&urlHash=eOaC&refId=d2226552-d879-49a6-8c2c-47677843e6a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gz-psycholoog-ziekenhuispsychiatrie-24-tot-36-uur-at-nederland-vacature-groep-2323304753?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
10,psychologist,LinkedIn,1866265124,GZ psycholoog Psycho-oncologie,qOO4tWArTt6swlYV5K0ZsA==,Ingeborg Douwes Centrum,"Amsterdam, North Holland, Netherlands",['Mental Health Care'],"GZpsychologen psychooncologie, , Wij zijn op zoek naar, Twee gedreven GZpsychologen, 16 uur en 24 uur",Part-time,,https://nl.linkedin.com/jobs/view/gz-psycholoog-psycho-oncologie-at-ingeborg-douwes-centrum-1866265124?refId=d2226552-d879-49a6-8c2c-47677843e6a2&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-23,2020-11-27
