Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,public administration,LinkedIn,2321533083,Admin and Operations Coordinator - The Hague,pzMfZarxTb6mVfRysUgcLw==,ReliefWeb,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Education Management', 'Hospital & Health Care']","Location The Hague, The Netherlands, PositionStatus 4 days a week, 80 FTE, 6 months initially with view to permanent, Salary circa 30,000 a year pro rated to part time, Reporting to Mercy Corps Netherlands Director, Travel Minimal, , Candidates must have the right to work in The Netherlands at the time of appointment, , , , , Mercy Corps is a leading global organisation powered by the belief that a better world is possible In conflict, in disaster, in hardship, in more than 40 countries around the world, we partner to put bold solutions into action  helping people triumph over adversity and build stronger communities from within Now, and for the future Mercy Corps Netherlands MCNL was established in December 2017 It operates in collaboration with its sister organisations, Mercy Corps Global MCG and Mercy Corps Europe MCE as one global organisation All three entities share the same mission, vision, core values and charitable objectives, as well as operational resources for the support and implementation of programme activities MCNL is operating from The Hague Humanity Hub as a member of a dynamic community of innovators in the humanitarian space The breadth and impact of our programmes makes Mercy Corps a unique and truly rewarding place to work Our teams are proud of what we achieve in the field and we are always looking for talented individuals who share our passion and commitment, , The Role The Admin and Operations Coordinator will be responsible for the efficient running of support services for the MCNL team and ensure compliance with administrative requirements related to MCNLs internal policies and applicable Dutch government regulations The responsibilities will include office space and asset management mail and shipping procurement travel coordination event scheduling and coordination of services oversight of health and safety policies and standards, and GDPR related processes, , To support the growth and development of MCNL, the Admin and Operations Coordinator will be expected to be well organised, motivated, quick to learn, able to adapt and prioritise, and comfortable working in a flexible, unconventional work environment, , Office Management, , , , Travel, , , , , , , , , , Accountability to Participants and Stakeholders, , Mercy Corps team members are expected to support all efforts toward accountability, specifically to our program participants, community partners, other stakeholders, and to international standards guiding international relief and development work We are committed to actively engaging communities as equal partners in the design, monitoring and evaluation of our field projects, , Supervisory Responsibility None, Reports To MCNL Director, Works With MCNL HR and Finance, Europe IT support, travel and operations teams, , Knowledge and Experience, , , Success Factors, , , , Living Conditions  Environmental Conditions, , Ongoing Learning, , In support of our belief that learning organizations are more effective, efficient and relevant to the communities we serve, we empower all team members to dedicate 5 of their time to learning activities that further their personal andor professional growth and development, , Diversity, Equity  Inclusion, , Achieving our mission begins with how we build our team and work together Through our commitment to enriching our organization with people of different origins, beliefs, backgrounds, and ways of thinking, we are better able to leverage the collective power of our teams and solve the worlds most complex challenges We strive for a culture of trust and respect, where everyone contributes their perspectives and authentic selves, reaches their potential as individuals and teams, and collaborates to do the best work of their lives, , We recognize that diversity and inclusion is a journey, and we are committed to learning, listening and evolving to become more diverse, equitable and inclusive than we are today, , Equal Employment Opportunity, , Mercy Corps is an equal opportunity employer that does not tolerate discrimination on any basis We actively seek out diverse backgrounds, perspectives, and skills so that we can be collectively stronger and have sustained global impact, , We are committed to providing an environment of respect and psychological safety where equal employment opportunities are available to all We do not engage in or tolerate discrimination on the basis of race, color, gender identity, gender expression, religion, age, sexual orientation, national or ethnic origin, disability including HIVAIDS status, marital status, military veteran status or any other protected group in the locations where we work, , Safeguarding  Ethics, , Mercy Corps is committed to ensuring that all individuals we come into contact with through our work, whether team members, community members, program participants or others, are treated with respect and dignity We are committed to the core principles regarding prevention of sexual exploitation and abuse laid out by the UN Secretary General and IASC We will not tolerate child abuse, sexual exploitation, abuse, or harassment by or of our team members As part of our commitment to a safe and inclusive work environment, team members are expected to conduct themselves in a professional manner, respect local laws and customs, and to adhere to and values at all times Team members are required to complete mandatory Code of Conduct elearning courses upon hire and on an annual basis",Part-time,https://www.linkedin.com/jobs/view/externalApply/2321533083?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fd2b68666-5374-49e7-90f6-d69aafcc6654%3Fjid%3D8d0427da6474c3d4a75d6da340569ce47ad1b5ef7b9eb395b80fa18875f75cbe%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=-dCX&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/admin-and-operations-coordinator-the-hague-at-reliefweb-2321533083?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
2,public administration,LinkedIn,2324879418,Admin and Operations Coordinator - The Hague,u+19zCeJRJim/KgSzvOVRw==,Mercy Corps,"The Hague, South Holland, Netherlands","['International Affairs', 'Nonprofit Organization Management', 'Program Development']","Location The Hague, The Netherlands, Position Status 4 days a week, 80 FTE, 6 months initially with view to permanent, Salary circa 30,000 a year pro rated to part time, Reporting to Mercy Corps Netherlands Director, Minimal, , , , , , , , Mercy Corps is a leading global organisation powered by the belief that a better world is possible In conflict, in disaster, in hardship, in more than 40 countries around the world, we partner to put bold solutions into action  helping people triumph over adversity and build stronger communities from within Now, and for the future, , Mercy Corps Netherlands MCNL was established in December 2017 It operates in collaboration with its sister organisations, Mercy Corps Global MCG and Mercy Corps Europe MCE as one global organisation All three entities share the same mission, vision, core values and charitable objectives, as well as operational resources for the support and implementation of programme activities MCNL is operating from The Hague Humanity Hub as a member of a dynamic community of innovators in the humanitarian space, , The breadth and impact of our programmes makes Mercy Corps a unique and truly rewarding place to work Our teams are proud of what we achieve in the field and we are always looking for talented individuals who share our passion and commitment, , , The Admin and Operations Coordinator will be responsible for the efficient running of support services for the MCNL team and ensure compliance with administrative requirements related to MCNLs internal policies and applicable Dutch government regulations The responsibilities will include office space and asset management mail and shipping procurement travel coordination event scheduling and coordination of services oversight of health and safety policies and standards, and GDPR related processes, , To support the growth and development of MCNL, the Admin and Operations Coordinator will be expected to be well organised, motivated, quick to learn, able to adapt and prioritise, and comfortable working in a flexible, unconventional work environment",Part-time,https://www.linkedin.com/jobs/view/externalApply/2324879418?url=https%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fk%3DApply%26j%3DoFx2dfwb%26s%3DLinkedInLimited&urlHash=90q6&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/admin-and-operations-coordinator-the-hague-at-mercy-corps-2324879418?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
3,public administration,LinkedIn,2291800483,Internship Risk & Control,5Zp+vcBGRkGyr9tYSvR9gw==,PwC Nederland,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Management Consulting', 'Financial Services']","Job Description  Summary, , Do you want to write your Master thesis at an organization that can guide you in helping businesses and organizations in achieving their strategy and objectives in a controlled manner Come and graduate at PwC and get introduced with our Risk  Control practice Within Internal Audit Services we have professionals working who specialize in different types of market sectors and manage risks in an increasingly challenging environment, , In many cases, a successful internship is a great opportunity for a career within PwC It offers you the opportunity to gain valuable and relevant experience It offers you the opportunity to gain valuable and relevant practical experience You work every day on innovative solutions that help our clients in successfully achieving their strategy and objectives, , , , , , , Your main focus will be on writing your thesis or graduation assignment By writing your thesis in our office, youll get all the opportunities to know PwC Naturally you can continue to follow all your obligations during your internship, , During your thesis internship we will offer you both professional support and practical experience In addition, it is also possible to come along to client assignments, where we deal with organizational issues in the field of internal audits, controls, governance and IT Our clients vary from local players to large multinationals in different market sectors, which includes FMCG, banks, government agencies and energy companies, , We are more than willing to discuss your ideas about a subject, because there are many possibilities, , , , Your career is what it is yours You decide We offer you the opportunities for a challenging job that matters To get the maximum out of yourself To build trust in the society and contribute to solving important problems Besides this all, you will be coached intensively and there is space for your own ambition and personal choices We offer access to a worldwide network in which you can exchange knowledge, ideas and questions with experienced professionals in your own area and other disciplines Our terms of employment focus on your growth and worklife balance, , , , , , , Are you interested in this vacancy and do you meet the requirements View our application process here or apply directly by clicking the button, , We will respond to your application within two weeks at the latest If you have any questions relating to this vacancy, do not hesitate to call me or send me an email Send an email to daniellemenkenpwccom or call 31 6 83090120, , Please do not approach us regarding this vacancy if you represent an agency",Internship,https://www.linkedin.com/jobs/view/externalApply/2291800483?url=https%3A%2F%2Fwww%2Epwc%2Enl%2Fen%2Fcareers%2Fstudents-graduates%2Fjob-search%2Fdescription%2Ehtml%3Fwdjobreqid%3D132354WD%26wdcountry%3DNLD%26wdjobsite%3DGlobal_Campus_Careers%26wdprog%3D%26wdisu%3D&urlHash=e4Ck&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-risk-control-at-pwc-nederland-2291800483?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
4,public administration,LinkedIn,2320963904,Project Manager LDE Centre Governance of Migration and Diversity,VFZQfgaoTzeZGvXmKuPFrg==,Erasmus University Rotterdam,"Arnhem, Gelderland, Netherlands","['Higher Education', 'Education Management', 'Research']","LDE is a cooperation between Leiden University, Delft University and Erasmus University Rotterdam The LDE program Governance of Migration and Diversity GMD has been running a highly successful over the last five years This program has received funding from the three LDE partners and is expanding into an  Therefore, the LDE Research Center GMD is looking for a Junior Executive Manager Project Manager, which will be mainly based at Erasmus University Rotterdam However, the Junior Executive Manager will work for all partners within the LDE Center GMD This position is an exciting opportunity to work towards a program of research, teaching and impact activities in collaboration with senior academic staff members of the LDE Center and its constituent departments at Leiden, Delft and Erasmus University The Project Manager will mainly be responsible for all management tasks in supporting an interdisciplinary and interuniversity research center This implies that the primary tasks are related to the everyday management, organization, communication and administration of the center, as well as for coordination of the  The Project Manager will support activities related to the organisation of working groups, staff exchanges, joint teaching and training opportunities, managing the process of educational accreditation, working conferences and a varied portfolio of public meetings that will make the activities of the center visible While the Project Manager will mainly be active in the support and organizing activities to build up the LDE Center, there are many opportunities for selfinitiated activities to boost the impact of the center In that regard, the Project Manager will cooperate with many LDE colleagues and in close contact with the Senior Executive Manager, , Specificaties max 32 uur per week 27904402 per maand Rotterdam, , Erasmus Universiteit Rotterdam EUR, , Functieeisen, , The successful candidate for this position has An international profile with work expertise in the field of diversity, migration, governance and inequality A Master degree in social sciences, such a geography, sociology, history, planning, public administration, policy studies or other relevant disciplines, with an eye for international migration processes and their consequences A clear motivation for and track record in developing and designing staff training programs, education and teaching courses Strong operational and management skills in the development and design of education and research Experience in organizing public, professional and academic research meetings Strong networking and communicative skills, both in speech and in writing A preparedness to master the Dutch language The ability to start at 01022021, , Arbeidsvoorwaarden, , Internationallyoriented and varied work within an enthusiastic team, with attractive fringe benefits in accordance with the Collective Labour Agreement for Dutch Universities CAONU Your initial employment term will be 01022021 to 01022022 Your remuneration will depend on the position, your specific knowledge and experience It will be calculated on the basis of fulltime salary ranging between EUR 2790 and 4402 gross per month salary scale 10, CAO NU  Erasmus University Rotterdam offers attractive terms of employment, including a holiday allowance of 8, a yearend payment of 83 and 41 annual leave days in case of a full work week In addition, EUR takes part in the ABP pension scheme, and we also offer partially paid parental leave For international spouses we have set up a dual career programme Moreover, EUR staff members are allowed to make use of the EUR facilities, including the Erasmus sports centre and the University Library, , Werkgever, , Erasmus University Rotterdam, , The EUR, named after Rotterdamborn humanist and theologian Erasmus, is a research university with a strong international orientation and a pronounced social focus, both in its education and research activities On the lively, modern campus, more than 28000 students and scholars of more than 100 nationalities are constantly encouraged to develop their talents and meet their ambition Our more than 2700 scientists and employees work together with all our students to solve challenges faced by global society, drawing their inspiration from the consistently dynamic and cosmopolitan city of Rotterdam The academic education offered at our faculties is intensive, engaging and strongly focused on practical application We increasingly perform our research in multidisciplinary teams, which are closely interwoven with international networks In terms of research impact and the quality of its degree programmes, EUR can compete with the foremost universities in Europe, which is reflected in its consistent top100 position in most major universities rankings Erasmus University Rotterdams key values are daring, curiosity, social involvement, breaking new ground and striving for success, , Afdeling, , Erasmus School of Social and Behavioural Sciences, , The Erasmus School of Social and Behavioural Sciences ESSB is home to a vast diversity of scientific disciplines public administration, pedagogical sciences, psychology and sociology In addition, the Erasmus University College, IHS, and two research institutes RISBO and DRIFT are linked to the faculty This also reflects in the content of the international bachelors and masters programs and in research Our activities are always focused on people and society At the ESSB fundamental, internationally oriented research is of paramount importance In addition, social research for professionals, policy makers, and the society is part of our research activities ESSB offers a stimulating research environment where major national and international research grants are received Appealing guest researchers and ambitious PhD candidates come along to conduct their research Our education is smallscale and works with innovative forms of education such as ProblemBased Learning PBL Both the Dutch and English programs are highly ranked by students and alumni ESSB is home to over 4000 students and more than 400 staffmembers The different disciplines are supported by the Faculty Office for more information, please visit wwweurnlessb, , Department of Public Administration and Sociology, , DPAS covers the disciplines of Public Administration and Sociology Two related scientific fields with different profiles Public Administration studies governance capacity and policy interventions It focuses on the institutional power to organize and intervene in the relations between different social, political and economic actors Public Administration in Rotterdam goes well beyond the public realm itself and pays attention to publicprivate cooperation and networks of organizations Sociology investigates the social structure of societies and the way it evolves Sociologists in Rotterdam focus among other things on processes of globalization and individualization and on the effects of these processes on international social relations, the labor market or family relations Related social problems that are studied are migration, flexibilization and solidarity The perspectives of Public Administration and Sociology complement each other Together they guarantee a highly relevant and scientific approach to topical administrative and social issues The bachelor and masterprogrammes of DPAS are build on this profile and educate students to become scientifically schooled professionals",Internship,https://www.linkedin.com/jobs/view/externalApply/2320963904?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0a802507fb30%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadf8dd8fddg9ddeaddbaddggdd9aadafade3dedcdcgfec3ddcg3e&urlHash=j6qS&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/project-manager-lde-centre-governance-of-migration-and-diversity-at-erasmus-universiteit-rotterdam-2320963904?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
5,public administration,LinkedIn,2309715936,PhD candidate in Public Administration / Public Governance - Amsterdam,reLCBqWxRbya6fjfgRvkgw==,Tilburg University,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Education Management', 'Research']","PhD candidate in Public Administration  Public Governance, , Tilburg Law School of Tilburg University is looking for a PhD candidate Public Administration  Public Governance, This job opportunity is for a PhD candidate in Public AdministrationPublic Governance, in the department of Public Law and Governance PLG PLG is a large, diverse and interdisciplinary department, home to nearly 100 fulltime academic staff and a range of legal and social disciplines Your purpose is to study the regulatory and policy frameworks for largescale energy storage, as part of a team of ambitious scholars at both Tilburg University and Delft University of Technology, committed to not only better understand but also to shape the transformations and innovations needed in public governance for a just energy transition, , , , As PhD candidate, you conduct research as a member of the joint Tilburg UniversityDelft University of Technology team of the RELEASE project, , Your PhD research contributes to accelerating development and implementation of technological solutions by designing as well as analyzing the social innovations needed for largescale energy storage, in particular regulatory and policy frameworks, , Your research focuses on the identification of both barriers to and enablers for largescale storage It investigates what can be done by a variety of actors at various levels of governance to overcome barriers and strengthen enablers to contribute to a just energy transition, , You will do so through zooming in on these questions as they appear in real time in field labs and in concrete cases That means not only interviewing and observing actors involved, and gathering various types of data, but also developing, testing and implementing new regulatory and policy frameworks, in close collaboration with the field, , As PhD candidate, you participate in the courses of the Netherlands Institute of Governance, the Tilburg Graduate School, and other relevant research training programs, , In the course of your research, you collaborate with researchers within the project team both at Tilburg University and Delft University of Technology, and partners in the broader RELEASE project, as well as with researchers across the department and school You participate in and contribute to a network affiliated with the department, the Tilburg Center for Regional Law and Governance TiREG, , Principally, you contribute to teaching in the department of the Public Governance PLG, with focus largely on the bachelor Public Administration  Public Governance in Dutch and master Public Governance in English at Tilburg University These specific degree programs include courses in the field of politics, public administration and governance, as well as in research methodology qualitative and quantitative, , The ratio between PhD research and teaching is 8020, , , , , Tilburg University believes that academic excellence is achieved through the combination of outstanding research and education, in which social impact is made by sharing knowledge In doing so, we recognize that excellence is not only achieved through individual performance, but mostly through team effort in which each team member acts as a leader connecting people, , Tilburg University offers excellent terms of employment We believe flexibility, development, and good employee benefits are very important We make clear agreements on career paths and offer all kinds of facilities and schemes to maintain an optimum balance between work and private life Tilburg University fosters diversity and inclusion that is why we pursue an active policy for inclusive teams where diverse talents can flourish, , The starting gross salary is  2,395 per month full time based on scale P0 of the Collective Labor Agreement Dutch Universities Employees recruited from abroad may be eligible for the 30 tax facility  this means that 30 of your salary will be paid as a taxfree reimbursement, , Tilburg University offers you an employment agreement which will initially be for a fixed period of 16 months with a statutory probationary period of two months After 12 months, an evaluation will take place If the performance evaluation is positive, your employment agreement will be extended for the remaining period of 32 months, , You are entitled to a holiday allowance amounting to 8 and a yearend bonus of 83 of your gross yearly income If you work 40 hours per week, you receive 41 days of paid recreational leave per year, , Please visit Working at Tilburg University for more information on our employment conditions, , , , Under the motto of Understanding society, Tilburg Universitys more than 1,500 employees develop knowledge, transfer it to others, and bring people from various disciplines and organizations together In this way, we want to contribute to solving complex social issues Our focus areas are economics, business and entrepreneurship, social and behavioral sciences, law and public administration, the humanities and digital sciences, and theology Tilburg University is internationally known for its high standards in education and scientific research, as well as its good support facilities The Tilburg University campus offers both quietness and connectivity as it is located in a wooded park, ten minutes away from the city center, main highways, and railways A midsized city of 200,000 inhabitants in the South of the Netherlands, and in proximity to cities like Amsterdam, Brussels, Paris, and London, Tilburg is situated at the very heart of Western Europe, , Tilburg Law School offers highly ranked national and international education and research in law and public administration Currently, almost 4,000 students are enrolled at Tilburg Law School Students in Tilburg can choose from five Bachelors programs, one of which is taught in English Bachelor Global Law and ten Masters programs, eight of which are taught in English The international orientation of Tilburg Law School is reflected in these Bachelors and Masters programs The research conducted within Tilburg Law School is aimed at social relevance and provides students with the tools and skills to study and deal with current issues at an academic level The research within Tilburg Law School is organized into five crossdepartmental research programs 1 Global Law and Governance 2 New Modes of Lawmaking and Governance in a Multilayered Order 3 Law and Security 4 Sustainable Business Law and Taxation and 5 Law and Technology, , , The Department of Public Law  Governance is a unique collaboration of researchers in the field of Public Law and Public Administration, in which various disciplines work together International Law, European law, Constitutional Law, Administrative Law, Environmental Law, Public Administration, Legal Philosophy, Political Science, Legal History and Jurisprudence The collaboration within the department is very much inspired by a joint research interest Whereas many scholars in the field of Public Law and Public Administration primarily focus on their internal dynamics, the Tilburg scholars are driven by a primary focus on both their context and foundations They work together by the joint inspiration to rethink publicness in a globalized, multilayered, and hypercomplex world, from the local to the global, , The Tilburg Center for Regional Law and Governance TiREG conducts interdisciplinary research on transformations and innovations in regional law and governance aimed at understanding as well as shaping society Whereas the nature of complex challenges and societal issues, such as climate change, population aging, congested transportation networks, and social inequality, are increasingly transboundary, effective and legitimate solutions to such problems, in the Netherlands and elsewhere, appear to be more and more found at the local and, in particular, at the regional level TiREG focuses on exploring, explaining and evaluating the novel interactions between government, businesses, citizens and knowledge institutions that develop in response to these complex challenges and societal issues, including the energy transition, , , , RELEASE project, In 2020, the Dutch Research Council NWO awarded over  10 million for research on largescale energy storage to be carried out by the interdisciplinary consortium RELEASE Reversible Largescale Energy Storage, , The objective of RELEASE is to create fundamental scientific insights and to develop, implement and demonstrate technological solutions for largescale storage of energy, as well as market, regulatory, policy and ethical frameworks, , RELEASE includes universities, institutes of technology, businesses, field laboratories and government agencies in an unprecedented alliance that covers everything from the lab environment to fullscale implementation Over 40 researchers from 7 universities and 25 partners, together with their teams, conduct interdisciplinary research that aims to bring social and scientific breakthroughs a step closer, , As part of the broader project, a joint Tilburg UniversityDelft University of Technology team of researchers seeks to address in a comprehensive, valuesensitive manner, questions of regulation, policy and ethics to contribute to a just energy transition",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309715936?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1b7cb597c7cf%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcade8dd9fadd9adeaddbadd7gdd9aaddfdd93aedcacafec3ddcg3e&urlHash=X9Vz&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/phd-candidate-in-public-administration-public-governance-amsterdam-at-tilburg-university-2309715936?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
6,public administration,LinkedIn,2201829313,Sustainable investment consultant/Project manager,ZvoJs/5fQjqGh4q+lo/2Kg==, projective,"Amsterdam, North Holland, Netherlands",['Financial Services'],"Our mission, should you choose to accept it , Are you ready to change the world Are you looking for a job with impact Do you believe in financial inclusion and do you have experience with multilateral agencies, Development Financial Institutions DFIs, NGOs, donor organizations or other institutions supporting sustainable investment practices Are you a strong communicator who is used to be customer facing in an international environment If all of the above is a big YES, then you need to read further",Full-time,https://www.linkedin.com/jobs/view/externalApply/2201829313?url=https%3A%2F%2Fprojective%2Erecruitee%2Ecom%2Fo%2Fconsultant-nl&urlHash=bRn7&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sustainable-investment-consultant-project-manager-at-projective-2201829313?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
7,public administration,LinkedIn,2324775257,"Internship - Office of the Director, Division of Judicial Services",kv+aWMYpRK2D+QeM4m/F+g==,International Criminal Court,"Den Haag, South Holland, Netherlands","['Nonprofit Organization Management', 'Legal Services', 'Government Administration']","Please note that you will need to have the following information ready in order to complete your application, A completed Duties and Responsibilities Form refer to step 1 on your eRecruitment Profile page, , , , , , , , , , , , , , , , , Interns providing services in the Office of the Director, Division of Judicial Services would be required to perform the following duties",Internship,https://www.linkedin.com/jobs/view/externalApply/2324775257?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F419832665006306256%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=CJcS&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-office-of-the-director-division-of-judicial-services-at-international-criminal-court-2324775257?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
8,public administration,LinkedIn,2308186493,PhD candidate in Public Administration / Public Governance - Utrecht,e9PM1ZIwSzqlcQPhRPD4fw==,AcademicTransfer,"Utrecht, Utrecht, Netherlands","['Information Technology and Services', 'Research', 'Hospital & Health Care']","As PhD candidate, you conduct research as a member of the joint Tilburg UniversityDelft University of Technology team of the RELEASE project, , Your PhD research contributes to accelerating development and implementation of technological solutions by designing as well as analyzing the social innovations needed for largescale energy storage, in particular regulatory and policy frameworks, , Your research focuses on the identification of both barriers to and enablers for largescale storage It investigates what can be done by a variety of actors at various levels of governance to overcome barriers and strengthen enablers to contribute to a just energy transition, , You will do so through zooming in on these questions as they appear in real time in field labs and in concrete cases That means not only interviewing and observing actors involved, and gathering various types of data, but also developing, testing and implementing new regulatory and policy frameworks, in close collaboration with the field, , As PhD candidate, you participate in the courses of the Netherlands Institute of Governance, the Tilburg Graduate School, and other relevant research training programs, , In the course of your research, you collaborate with researchers within the project team both at Tilburg University and Delft University of Technology, and partners in the broader RELEASE project, as well as with researchers across the department and school You participate in and contribute to a network affiliated with the department, the Tilburg Center for Regional Law and Governance TiREG, , Principally, you contribute to teaching in the department of the Public Governance PLG, with focus largely on the bachelor Public Administration  Public Governance in Dutch and master Public Governance in English at Tilburg University These specific degree programs include courses in the field of politics, public administration and governance, as well as in research methodology qualitative and quantitative, , The ratio between PhD research and teaching is 8020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308186493?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Da603189ffa55%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcdda8ddgfddd9ddfadd8add7gadaaadafadf3debcdcbfec3ddcg3e&urlHash=4eVm&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/phd-candidate-in-public-administration-public-governance-utrecht-at-academictransfer-2308186493?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
9,public administration,LinkedIn,2319766435,Lid Raad van Toezicht,3M0bGLX0QQGKjiOXBgkq4A==,Aardoom  de Jong,"Velsen, North Holland, Netherlands",['Staffing and Recruiting'],"Drie Leden Raad van Toezicht 1 profiel openbaar bestuur en 2 auditcommissie financinbedrijfsvoering, , Functieomschrijving, Voor Kenter Jeugdhulp is Aardoom  de Jong op zoek naar drie enthousiaste Leden van de Raad van Toezicht RvT met een groot hart voor de jeugdzorg We zoeken ervaren ambitieuze toezichthouders Heb jij brede maatschappelijke belangstelling en affiniteit met de waarde van goede jeugdzorg Dan zijn wij op zoek naar jou",Part-time,https://www.linkedin.com/jobs/view/externalApply/2319766435?url=https%3A%2F%2Fltpx%2Enl%2FciGRXcR&urlHash=169W&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lid-raad-van-toezicht-at-aardoom-de-jong-2319766435?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
10,public administration,LinkedIn,2260029233,Raadsadviseur,QtiMsNKNSom6foHVH9WgRg==,Gemeente Koggenland,"De Goorn, North Holland, Netherlands","['Legal Services', 'Public Policy', 'Political Organization']","Vacature, , Voel jij je thuis is in het politiekbestuurlijk krachtenveld en functioneer jij optimaal op het moment dat je naast advies geven ook de ruimte om te sparren, deadlines te bewaken en alle informatie te stroomlijnen Dan is de raadsgriffie van Koggenland naar jou op zoek",Part-time,https://www.linkedin.com/jobs/view/externalApply/2260029233?url=https%3A%2F%2Fwww%2Egemeentebanen%2Enl%2Fvacatures%2F18281%2Fgemeente-koggenland%2Fraadsadviseur%3Futm_source%3Dlinkedin%26utm_medium%3Djob-post%26utm_campaign%3Draadsadviseur&urlHash=k716&refId=a4e3030f-208a-48ff-8604-9b538e6d3913&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/raadsadviseur-at-gemeente-koggenland-2260029233?refId=a4e3030f-208a-48ff-8604-9b538e6d3913&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-23,2020-11-30
