Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,selling real estate,LinkedIn,2327361522,EMEA Real Estate Manager - Amsterdam,McaHJWJyjnrMMv7shki26A==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Automotive', 'Retail']","Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryLucid Motors is building our Global Retail Development team in Amsterdam We are currently seeking a Real Estate Manager to join our collaborative team to oversee the sourcing of Lucid Motors showrooms and service centers throughout the EMEA region",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327361522?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dfb81003e2afd%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadacadeadd8cddfcddg8ddgadddgadbaddefadf3aeacaccfec3ddcg3e&urlHash=Onmq&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-real-estate-manager-amsterdam-at-lucid-motors-2327361522?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=McaHJWJyjnrMMv7shki26A%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
2,selling real estate,LinkedIn,2314383489,Real Estate Specialist - New Markets,eVnm7S4GGldWnu5q/daVyw==,Tesla,"Amsterdam, North Holland, Netherlands","['Automotive', 'Renewables & Environment', 'Utilities']","The Role, , The Real Estate Specialist is responsible for the acquisition of new retail and service properties This person will negotiate the lease as well present the terms to executive management We are seeking someone who has an analytical and strategic realestate background in help develop a profitable portfolio of properties within each respective CountryGeo The individual will also be responsible for the renewal, relocation and expansion of existing locations Ideally we are seeking experience of someone who has worked for a premium retailautomotive brand or brokerage firm and understands the dynamics of the entire development cycle as the Real Estate Specialist works closely with our Construction and Design team to open locations on time and under budget",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314383489?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Freal-estate-specialist-new-markets-70171&urlHash=sbue&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/real-estate-specialist-new-markets-at-tesla-2314383489?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=eVnm7S4GGldWnu5q%2FdaVyw%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
3,selling real estate,LinkedIn,2311929734,REAL ESTATE PORTFOLIO MANAGER,7sxooBZ3n3WgOGNSF/E29Q==,Rituals,"Amsterdam, North Holland, Netherlands","['Internet', 'Retail', 'Financial Services']","MAIN PURPOSE, , To manage, rationalise and harmonise our extensive international real estate portfolio By empowering real estate coordinators in countries where we have a presence By optimizing and innovating real estate software solutions And by proactively identifying and mitigating high risk contracts yourself Your overall ambitions are 1 to reduce rent levels to reflect future market conditions, 2 increase flexibility and agility across the portfolio, and 3 to align all leases Additionally, you will develop, promote, and implement a unified way of working for all countries we operate in, , , , As Real Estate Portfolio Manager you are a welcome member of the CHO Real Estate Team This team plots Rituals overall real estate strategy and proactively assists country teams in executing plans on a local level It is up to you  often working in tandem with the Director Real Estate  Expansion  to ensure the real estate portfolio optimally facilitates the broader retail strategy, both from short and longterm perspectives We are also eager to prioritise portfolio flexibility to improve our preparedness for black swans, such as the current pandemic, that necessitate a sudden and profound rethink And we want you to zoom in on the numbers to identify potential portfolio cost savings Two important topics are mitigating high over portfolio risks, and further developing and digitizing robust real estate processes, , Analysing data and metrics is a large part of the job, as you manage and improve complex portfolio management processes Translate analytical data into actionable insights that help stakeholders optimise store hiring and opening processes In everything you do, aim for efficiency Structure processes and developpromote a unified way of working  including setting up lines of communication and feedback loops with local teams You define the playing field, and the rules our teams play by to achieve renegotiation outcomes And while a harmonised approach is the ideal, you also strive to accommodate cultural idiosyncrasies and always comply with local laws and regulations Our location renewal and closure targets are best met with a think globally, act locally approach, , As Real Estate Portfolio Manager you are the linking pin between CHO and the local teams you inspire and commit Eg by offering them support, and by organizing training sessions You also oversee the financial management of rental obligations to improve Rituals market position You primarily interact with 3rd party service providers eg Visual Lease, CHO departments including Legal, Format  Design, Retail, Finance and Control, and our Real Estate Coordinators and Real Estate Managers You report to the Director of Real Estate  Expansion, , , , , , , , Raymond Cloosterman, CEO Rituals, , We are a global brand, established in Amsterdam, the Netherlands, in 2000 Our ambition is to grow sustainably and become  and remain  the number one global luxury brand in cosmetics Today, Rituals has over 730 stores, across 29 countries throughout Europe, Asia, the Middle East and North and South America with the aim to open 1,000 new locations by the end of 2020, , By joining Rituals, youll get to experience a strong culture and entrepreneurial spirit which empowers you to create your meaningful career We care about the wellbeing of our staff, as much as we value the wellbeing of the planet By passionately looking after both, we believe we can pave the way to a more sustainable world and take appropriate action to limit our footprint on Mother Earth Youll have a strong sense of purpose at Rituals Our mission is to make people feel good and touch as many lives as possible Independent of your role, you will create a positive impact on our daily business, , , , If its you were looking for, please dont hesitate and send in your application Well be in touch soon",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311929734?url=https%3A%2F%2Fcareers%2Erituals%2Ecom%2Fen-nl%2Fjobs%2Freal-estate-portfolio-manager-amsterdam-5%2F&urlHash=xyNu&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/real-estate-portfolio-manager-at-rituals-2311929734?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=7sxooBZ3n3WgOGNSF%2FE29Q%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
4,selling real estate,LinkedIn,2224715298,EMEA Real Estate Manager.,Imo61rCLRJXaEsEaoFs23A==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","Leading the future of luxury mobility, , Lucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industry, , Lucid Motors is building our Global Retail Development team in Amsterdam We are currently seeking a Real Estate Manager to join our collaborative team to oversee the sourcing of Lucid Motors showrooms and service centers throughout the EMEA region, , , , , , , , Be part of something amazing, , Come work alongside some of the most accomplished minds in the industry Beyond providing competitive salaries, were providing a community for innovators who want to make an immediate and significant impact If you are driven to create a better, more sustainable future, then this is the right place for you, , At Lucid, we dont just welcome diversity  we celebrate it Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations",Contract,https://www.linkedin.com/jobs/view/externalApply/2224715298?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Flucidmotors%2F82bf5a31-622d-4f62-94fe-2edc84f3f2e0%3Flever-origin%3Dapplied%26lever-source%25255B%25255D%3DLinkedIn%26lever-source%3DLinkedInJobs&urlHash=7MHm&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-real-estate-manager-at-lucid-motors-2224715298?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=Imo61rCLRJXaEsEaoFs23A%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
5,selling real estate,LinkedIn,2325349831,Senior Real Estate Development Manager,qn91vQu9zuOJQiv+dkX1yQ==,Picnic Technologies,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Retail']","Interested in this topic Join our Real Estate webinar on December 10th, sign up here, , Picnic is expanding its business beyond Germany and the Netherlands We are developing an international portfolio of strategic Real Estate, essential for the future growth of our business The Senior Real Estate Development Manager plays a pivotal role in shaping and delivering Picnics international expansion, , Picnic is developing a real estate portfolio that includes hundreds of strategic locations ranging from large scale robotic fulfilment centers to small last mile delivery hubs in Germany, the Netherlands, and new countries that we are targeting Your role is to develop new locations, from acquiring plots of land to developing buildings for our robotic fulfilment centers and innovative last mile hubs In addition, it includes the management of an ever growing portfolio of existing buildings we rent This is a unique opportunity to drive the growth of our business and use your expertise in a fast moving ecommerce environment, , Your base location will be the Picnic headquarters in Amsterdam, but you will be required to travel frequently, , , , , , , The Perks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325349831?url=https%3A%2F%2Fgrnh%2Ese%2Fe4080a991us&urlHash=jO4v&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-real-estate-development-manager-at-picnic-technologies-2325349831?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=qn91vQu9zuOJQiv%2BdkX1yQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
6,selling real estate,LinkedIn,2253883704,Senior Project Manager - Real Estate,7HqSzGUSLZ0SlnsVL4EBbA==,Turner  Townsend,"Amsterdam, North Holland, Netherlands","['Construction', 'Civil Engineering', 'Management Consulting']","Company Description, , At Turner  Townsend were passionate about making the difference That means delivering better outcomes for our clients, helping our people to realize their potential, and doing our part to create a prosperous society Every day we help our major global clients deliver ambitious and highly technical project in over 110 offices worldwide, , , , , , , , , , Additional Information",Full-time,,https://nl.linkedin.com/jobs/view/senior-project-manager-real-estate-at-turner-townsend-2253883704?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=7HqSzGUSLZ0SlnsVL4EBbA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
7,selling real estate,LinkedIn,2306158190,International Real Estate,ieGDIjx5sAfpAQ4DG+4K0g==,Stageplazanl,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Internet']","Taakomschrijving, , We offer an internship, where you can control what you want to take away from it, contact us and get to know what we do, , , , , , , , , , , , , Wil je graag meer zien Log in of schrijf je in, Nu solliciteren",Internship,https://www.linkedin.com/jobs/view/externalApply/2306158190?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D950225944427%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddbaddgcddecdde8ddbadd7gddcaddcfddc3deecdc9fec3ddcg3e&urlHash=Af-B&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/international-real-estate-at-stageplaza-nl-2306158190?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=ieGDIjx5sAfpAQ4DG%2B4K0g%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
8,selling real estate,LinkedIn,2314340240,Real Estate Support,QrZ91j0PLv7sFXOBwWBpxA==,Action,"ZwaagdijkOost, North Holland, Netherlands",['Retail'],"Real Estate Support Medewerker, Fulltime, 38 uur, Heb je interesse of ervaring in een internationale Real Estate omgeving En vind jij het leuk om een internationaal netwerk te beheren en verbeteringen aan te brengen Ben je opzoek naar een diverse werkomgeving en houd jij van een uitdaging",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314340240?url=https%3A%2F%2Fnl%2Eaction%2Ejobs%2Fvacatures%2Fempty-template-e72250&urlHash=1enW&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/real-estate-support-at-action-2314340240?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=QrZ91j0PLv7sFXOBwWBpxA%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
9,selling real estate,LinkedIn,2315906006,Buying Operations Coordinator,mwykgDd88Lz5uyl3K0yehQ==,PVH Corp,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Human Resources', 'Retail']","Department and Team, , Calvin Klein Jeans is the core division within the Calvin Klein brands, , Calvin Klein Jeans Kids is a relatively new and fast growing division, , Both the Calvin Klein Jeans and Calvin Klein Jeans Kids labels are designed and developed from Amsterdam Buying Operations is part of the Buying  Planning department, , Buying  Planning ensures an optimum seasonal planning from the range plan handover to the official purchase order creation and controls the production flow to ensure intime deliveries from the factories, , , , The Buying Operations Coordinator is responsible for managing the global purchase orders and Inbound for timely delivery This team works in close collaboration internally with the Buying and Planning teams, Product Development teams, Central Operations, and externally with the Forwarders, Vendors and buying offices, , The position reports into the Manager Buying  Planning The candidate should have an analytical mindset and eye for process alignment The position requires good communication and problem solving skills and attention to accuracy",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315906006?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR19720WDINTERNALENGLOBALEXTERNAL%2FBuying-Operations-Coordinator%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=6mlU&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/buying-operations-coordinator-at-pvh-corp-2315906006?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=mwykgDd88Lz5uyl3K0yehQ%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
10,selling real estate,LinkedIn,2192236166,CEO,yyQ9n3VeZFPDxGHjEsTkWA==,Kienbaum,"Eindhoven, North Brabant, Netherlands","['Facilities Services', 'Real Estate']","Entrepreneurial and international company providing property management and security solutions for the real estate, construction industry and related, PL responsible for roughly 200 employees across Europe",Full-time,https://www.linkedin.com/jobs/view/externalApply/2192236166?url=https%3A%2F%2Fjobs%2Ekienbaum%2Enl%2FJobDescriptionMultiple%2Easp%3FWebJobPostingsID%3D610&urlHash=y86m&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ceo-at-kienbaum-2192236166?refId=5e2cbc04-8832-4c87-b2f9-55b11db4faa9&trackingId=yyQ9n3VeZFPDxGHjEsTkWA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-30,2020-12-02
