Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,service,LinkedIn,2321553450,Service Manager,8mJQ0QmYQPa31sCopSO4aA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Develop business plans, Supervise the management of an establishment, , Create solutions to problems, , Supervise work, , , , Ability to work autonomously, , , Sense of proactive initiative and team spirit, , Commitment to providing high quality support to colleagues and to meeting deadlines, , Strong motivation and open and positive attitude",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321553450?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F5fae3d03-02f8-4100-a01a-7e4cdc8a2773%3Fjid%3Dc727876a6dc49fc271ad8e0f593ba709df39ce55118956d1d97dee1cdbf4389b%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=xl2u&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-manager-at-talent-2321553450?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
2,service,LinkedIn,2320945397,Customer Service Representative,x66K/YahTZyRv6J8TFoMwQ==,SCS NZ,"Amsterdam, North Holland, Netherlands",None,"Do you love creating and maintaining customer satisfaction, working to resolve issues and contributing to the overall success of the business If so, keep reading to find out about this unique opportunity, , SCS NZ Supply Chain Solutions is a successful B2C company based in Australia and New Zealand for nearly twenty years with an aggressive growth plan We established operations in Canada and the US earlier this year and now we are moving into Europe, starting with The Netherlands",Full-time,,https://nl.linkedin.com/jobs/view/customer-service-representative-at-scs-nz-2320945397?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
3,service,LinkedIn,2321550801,Customer Service Manager - Flexible Office Homeoffice Remote,e1ecE92zRNiTSOO/7uJa1g==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for an experienced Customer Service Manager to provide excellent customer service and to promote this idea throughout the organisation, , The goal is to keep the department running in an efficient and profitable manner, to increase customer satisfaction, loyalty and retention and to meet their expectations, , , , , Keep ahead of industrys developments and apply best practices to areas of improvement, , Recruit, mentor and develop customer service agents and nurture an environment where they can excel through encouragement and empowerment, , Improve customer service experience, create engaged customers and facilitate organic growth, , , , , Advanced troubleshooting and multitasking skills, , , Experience in providing customer service support, , Customer service orientation, , Ability to think strategically and to lead",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321550801?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fa7b2556a-076f-4e8a-93a7-2ee7854ac538%3Fjid%3Db7790a1830968828c01adc66ce99962ea2681b37d7d0a420ad80262bee5360d2%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=iKE4&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-manager-flexible-office-homeoffice-remote-at-talent-2321550801?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
4,service,LinkedIn,2323801527,Operational support officer,obGSVWt0TLKf2Z9B+/PzdA==,Cobase,"Amsterdam, North Holland, Netherlands",['Financial Services'],For an open position at Cobase we are looking for an Operational support officer Cobase was founded in 2017 and by now has significant traction The role is critical to help us be successful in the scaleup phase of the company and deliver the benefits of our platform products and services to medium and large size corporates and Financial Institutions This position reports to the Chief Operating Officer and is based in Amsterdam,Full-time,,https://nl.linkedin.com/jobs/view/operational-support-officer-at-cobase-2323801527?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
5,service,LinkedIn,2325518194,Customer Service Manager - Office Homeoffice Remote Flexible - Amsterdam Metropolitan Area,ZY41HAwJQq2HqyoguLgD4A==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for an experienced Customer Service Manager to provide excellent customer service and to promote this idea throughout the organisation, , The goal is to keep the department running in an efficient and profitable manner, to increase customer satisfaction, loyalty and retention and to meet their expectations, , , , Control resources and utilise assets to achieve qualitative and quantitative targets, , Keep ahead of industrys developments and apply best practices to areas of improvement, , Recruit, mentor and develop customer service agents and nurture an environment where they can excel through encouragement and empowerment, , Improve customer service experience, create engaged customers and facilitate organic growth, , Take ownership of customers issues and follow problems through to resolution, , , , Advanced troubleshooting and multitasking skills, , Awareness of industrys latest technology trends and applications, , Experience in providing customer service support, , Customer service orientation, , Ability to think strategically and to lead",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325518194?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db2eee7aea1e5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdde8adbfadb9adbadd9aadfgadbaadffddf3aebcdcbfec3ddcg3e&urlHash=NC4K&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-manager-office-homeoffice-remote-flexible-amsterdam-metropolitan-area-at-talent-2325518194?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
6,service,LinkedIn,2326080017,Teamleider Customer Service,E/2ASA2qQEeXACcuWW44Fw==,IQ Select Nieuwegein,"Woerden, Utrecht, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Transportation/', 'Trucking/', 'Railroad']","Functieomschrijving, , Wie is de opdrachtgever, , Een moderne logistieke dienstverlener in de omgeving van Utrecht, die opslag en warehousing verzorgt en gespecialiseerd is in de 24uursdistributie van gepalletiseerde en buitenmaatse goederen in de Benelux Kenmerkend voor de dienstverlening is een hoge mate van nauwkeurigheid en flexibiliteit Vanwege uitbreiding van de werkzaamheden is er plaats voor een nieuwe teamleider voor de afdeling customerservice, , Wat ga jij doen, , Als teamleider customerservice ben jij het aanspreekpunt voor de klanten en medewerkers van de afdeling customerservice, waar alle vragen en klachten binnenkomen Je stuurt de medewerkers aan en werkt nieuwe medewerkers in en samen met je team streef je naar maximale klanttevredenheid Je werkt nauw samen met andere afdelingen, zoals transportplanning en warehouse, , Je hebt uitstekende communicatieve vaardigheden en ervaring als leidinggevende Daarnaast is het belangrijk dat je kennis en ervaring hebt met geautomatiseerde systemen De werkdagen zijn van maandag tot en met vrijdag en je werkt van 800 tot 1700 of van 900 tot 1800 uur, , Ben jij de ervaren teamleider die wij zoeken, , Neem dan snel contact met ons op via click apply of mail je cv naar click apply, , Arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326080017?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-5104588503550853637%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=_nVR&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-customer-service-at-iq-select-nieuwegein-2326080017?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
7,service,LinkedIn,2325435352,Virtual Assistant - Office Homeoffice Remote Flexible,9cqPphtxSjSx5QLT0n1uPw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for a Virtual Assistant to provide administrative support to our team, , As a Virtual Assistant, you will perform various administrative tasks, including answering emails, scheduling meetings and making travel arrangements, , For this role, a strong Internet connection is required, along with experience using communication tools, , Ultimately, you should be able to handle administrative projects and deliver highquality work under minimum supervision, , , , Book travel and accommodations, , Provide customer service as first point of contact, , Organize managers calendars, , Address employees administrative queries, , Perform market research, , , , Knowledge of online calendars and scheduling, , Familiarity with current technologies, like desktop sharing, cloud services and VoIP, , Solid organizational skills, , Excellent time management skills, , Excellent phone, email and instant messaging communication skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325435352?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D752fde9f954e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cddb8ddefada9adcaadbadd7gadaadd7fddb3deccacbfec3ddcg3e&urlHash=V1Ys&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/virtual-assistant-office-homeoffice-remote-flexible-at-talent-2325435352?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
8,service,LinkedIn,2301960260,Service Manager,pjSuEXiFQISDcZ63pbF5pw==,Avion Group,"NieuwVennep, North Holland, Netherlands","['Airlines/', 'Aviation', 'Aviation & Aerospace']","Avion Group is a Dutch company focusing on Full Flight Simulator design, manufacturing, and operation The simulators are qualified at the highest level and we have an EASA Approved Training Organization ATO and operate Flight Training Centers in Malta and London Gatwick",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301960260?url=https%3A%2F%2Fwww%2Eaviongroup%2Eaero%2F%3Fpageid%3D56&urlHash=fuOP&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-manager-at-avion-group-2301960260?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
9,service,LinkedIn,2325432247,Customer Experience Manager,pasLUwXVRAuWrnDOeu4mmA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Analyse business objectives, , Develop strategies for accessibility, , Identify stress points of customer interaction, , Manage the customer experience, , Maintain customer service, , , , Sense of proactive initiative and team spirit, , Strong serviceoriented attitude and flexibility, , Accuracy and attention to details, , Excellent analytical capabilities and problemsolving skills, , Ability to work under pressure and meet deadlines on multiple tasks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325432247?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6d4f429e707e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadc8ddcfada9ddcaddeadd7gadbadd9fddg3de9cacbfec3ddcg3e&urlHash=YMIV&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-talent-2325432247?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
10,service,LinkedIn,2312439380,Customer Service Manager,S3TDFtptRUOFlVjwOnebdw==,Solvinity,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']","Job description Nice, je zoekt een baan waar de klant centraal staat en je hebt deze vacature gevonden Wacht nog even met door scrollen naar de functieomschrijving, dit eerste gedeelte is veel belangrijker Deze stap is misschien wel de het eerst of tweede kennismaken met het bedrijfsleven Spannend en leerzaam, maar vooral ontzettend leuk Jouw leerproces staat bij ons voorop Daarom word je goed begeleid en zoeken we samen naar de taken en opdrachten die het beste passen bij jou en jouw ontwikkeling Want eerlijk is eerlijk, als jij het naar je zin hebt, dan leidt dat voor ons ook tot het beste resultaat De Functie We zijn opzoek naar een Customer Service Manager om ons sales team te versterken Je werkt nauw samen met de Customer Engineering Teams en externe leveranciers om structurele verbeteringen in de kwaliteit van dienstverlening aan te brengen Je gaat aan de slag met de klanten en stemt periodiek af met de klant over uitvoering, afspraken en procedures met als doel een duurzame klantrelatie te ontwikkelen en te behouden Je begrijpt de context waarin organisaties werken en stemt samen met de accountmanager af waar kansen buiten de bestaande scope van dienstverlening liggen Wat ga je doen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312439380?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fcustomer-service-manager%3A44260446%2F&urlHash=9P9S&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-manager-at-solvinity-2312439380?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
