Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,service activity,LinkedIn,2324283852,Service Medewerker a.s.r. Vitality,NVaol5+jSuuIH7X48O3Q9g==,asr,"Utrecht, Utrecht, Netherlands","['Financial Services', 'Insurance']","Ben jij een klantgerichte Service Medewerker die weet wat er wordt verstaan onder een optimale klantervaring en wil bijdragen aan een uniek gezondheidsprogramma waarbij je wordt beloond voor het maken van gezonde keuzes Dan zijn wij bij asr Vitality op zoek naar jou, , Als Service Medewerker voor het unieke vitaliteitsproduct asr Vitality zet jij als eerste aanspreekpunt de toon voor de complete klantbeleving Inkomende WhatsAppberichten, live chats en telefoontjes jij helpt klanten met het gebruik van de Vitality app en activity trackers Hiervoor heb je niet alleen sterke communicatie skills zodat de klant weet hoe het ervoor staat, maar ben je ook erg handig met app gebruik , , Ben jij een echte teamspeler die naast samenwerken ook op zoek is naar zelfstandigheid en verantwoordelijkheid in je functie En wil je je kennis en vaardigheden blijven ontwikkelen en zo verder groeien Dan is de vacature van Service Medewerker bij asr Vitality de baan die je zoekt, , , , , , , , , , , , Dit alles doe je binnen een jong en dynamisch team Wij hebben een unieke kans om een bijdrage te leveren aan een nieuw programma dat meerdere business lines raakt binnen asr Wij zijn als team dan ook heel gedreven om dit tot een succes te maken Open communicatie, samenwerken en vitaliteit zijn erg belangrijk binnen ons team Daarnaast gaan wij uit van een grote mate van zelfstandigheid en verantwoordelijkheid, wat tijd en plaatsonafhankelijk werken mogelijk maakt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324283852?url=https%3A%2F%2Fwww%2Ewerkenbijasr%2Enl%2Fvacatures%2F2000005V%2FService-Medewerker-asr-Vitality%2F%3Futm_source%3Dlinkedin%26utm_medium%3Dcareersite%26utm_campaign%3Djobwrapping&urlHash=g7bB&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-medewerker-a-s-r-vitality-at-a-s-r-verzekeringen-2324283852?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
2,service activity,LinkedIn,2307127270,Customer Service Manager,UYc7b9zBQQ2PyN4YIWJuOQ==,Lyreco,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Internet', 'Consumer Goods']","Job Description, , What does your day look like, , The Customer Service Manager is responsible for organizing the customer service based on the customer care policy He ensures a high level of quality for the customers, , Main responsibilities, , , Teams Management, , , Reports, , , Continuous Improvement, , , Who do we look for, , , What do we offer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307127270?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc118f5e0-7947-429e-a327-9efecd0ed951%3Fjid%3Dffcaac9c25e76b15f54e0b2db2193ec0972254f2310bccb100388686cb494d14%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=5GZN&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-manager-at-lyreco-2307127270?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
3,service activity,LinkedIn,2311813984,Customer Service Technician I,XRwu+Qk1Q3+JE/5qqK+DWg==,CAE,"Hoofddorp, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']","Role And Responsibilities, , In this role, the Customer Service Technician I will be responsible to provide technical service and support to customers and CAE sales and education teams both over the phone and inhouse The incumbent will troubleshoot and repair equipment over the phone, via email and inhouse Customer Service Technician I may make occasionally onsite repair visits, , , , , , , , Regular, CAE thanks all applicants for their interest However, only those whose background and experience match the requirements of the role will be contacted, , , , At CAE, everyone is welcome to contribute to our success With no exception, , As captured in our overarching value One CAE, were proud to work as one passionate, boundaryless and inclusive team, , At CAE, all employees are welcome regardless of race, nationality, colour, religion, sex, gender identity or expression, sexual orientation, disability or age, , The masculine form may be used in this job description solely for ease of reading, but refers to men, women and the gender diverse",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311813984?url=https%3A%2F%2Fcae%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2Fcareer%2Fjob%2FHoofddorp-Netherlands%2FCustomer-Service-Technician-I_71401%3Fsource%3DLinkedin&urlHash=ypbW&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-technician-i-at-cae-2311813984?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
4,service activity,LinkedIn,2285260099,Learning & Development Specialist - Senior,paoMT+j6SPWgietSIlp89w==,FedEx,"Hoofddorp, North Holland, Netherlands","['Package/', 'Freight Delivery']","Experienced elearning designer with at least 5 years of experience in Articulate, LMS management and other learning technologies A good knowledge of instructional design and adult learning theories is essential, with an academic background preferable Multimedia experience is an advantage The successful candidate should have strong relevant external knowledge to enable us to drive our online evolution of Sales Education, , FedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for all, , Our Company, , FedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstanding, , Our Philosophy, , The PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the company, , Our Culture, , Our culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285260099?url=https%3A%2F%2Fcareers%2Efedex%2Ecom%2Fexpress%2Fjobs%2FPOSTING-3-296711%3Flang%3Den-us%26codes%3DLISP&urlHash=A4Tc&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/learning-development-specialist-senior-at-fedex-2285260099?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
5,service activity,LinkedIn,2323553267,Servicedesk employee,esMDiITNR8e/QSfzC5gV/Q==,Van Oord,"Rotterdam, South Holland, Netherlands","['Oil & Energy', 'Civil Engineering', 'Renewables & Environment']","The position, You are the binding factor between IT and the Van Oord organisation As first point of contact you solve incidents, manage problems, handle requests and keep your colleagues uptodate about any progress Challenges youll have to deal with are satellite connections on a vessel, servers onpremise or in the cloud, office workstations or remote support to project locations around the world or even physical support on a project location like The Afsluitdijk, , , As a service desk employee at Van Oord you never know where a question comes from From the head office in Rotterdam Gorinchem A Side stone dumping vessel in the Arabian or Baltic Sea In the end, that does not matter to you either, , , , You employ your analytical skills, communication skills and pro activity to deliver added value to the customer Through the combination of understanding the customer and a processbased attitude, you always know where to find the best solution If you have worked in an international enterprise environment before, this will help you Furthermore, you bring along, , , Working in an international, high demanding and dynamic organisation, with the possibility to truly have impact on our business, people and environment We offer a complete package with excellent secondary employment benefits The package includes among other things, , , , Van Oord is a leading global contractor in dredging, hydraulic engineering and offshore projects oil, gas and wind We are an innovative partner for our clients and have been contributing to the infrastructure of tomorrows world for over a hundred years Our people are committed, enterprising professionals with a passion for water and technology, , , Apply online for the job by using the button below If you have any further questions, please feel free to contact me for more information about the vacancy, , Do you like to know more about and want to stay informed of other vacancies within Van Oord Climb aboard and follow us on LinkedIn , Instagram , Vimeo and Facebook , , Acquisition for this vacancy is not appreciated, , , mikeruitervanoordcom, 31 88 8268857",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323553267?url=https%3A%2F%2Fwww%2Evanoord%2Ecom%2Fcareers%2Fservicedesk-employee&urlHash=jxIZ&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/servicedesk-employee-at-van-oord-2323553267?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
6,service activity,LinkedIn,2309446095,Technical call center specialist,1UMOfXyjTaqFTfahYEyFpg==,Technogym,"Capelle aan den IJssel, South Holland, Netherlands","['Health, Wellness and Fitness', 'Design', 'Sporting Goods']","Mission  description of the role, If you thrive to work in the service field and you are obsessed with scheduling while keeping an helicopter overview, this is the position for you Our after sales team is looking for an energetic and resultsdriven Technical Call Center Specialist who is responsible for the scheduling of our experienced service engineers",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309446095?url=https%3A%2F%2Fcareer5%2Esuccessfactors%2Eeu%2Fsfcareer%2Fjobreqcareer%3FjobId%3D13824%26company%3DtechnogymsP&urlHash=8FOb&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-call-center-specialist-at-technogym-2309446095?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
7,service activity,LinkedIn,2280197371,ICT Team Coordinator,q3GJcIltRM+Ne6s1A3HVpg==,LeasePlan,"Amsterdam, North Holland, Netherlands","['Automotive', 'Banking', 'Financial Services']","We are looking for , , For our ICT Team Coordinator vacancy we are looking for a new colleague at our Amsterdam based office The ICT Team Coordinator, reporting to the ICT  Facility Manager, will be responsible for coordinating and monitoring the daily operational activities of the CorpICT team, and to maintain and support the computing systems and the network infrastructure for LeasePlan Corporation While also upholding the security standards within LeasePlan using the security guidelines",Full-time,,https://nl.linkedin.com/jobs/view/ict-team-coordinator-at-leaseplan-2280197371?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
8,service activity,LinkedIn,2256424184,Supervisor EMEA Customer Service Operations Backoffice,BO3f9MOTTNamTqRDq5T+Cw==,Thermo Fisher Scientific,"Eindhoven, North Brabant, Netherlands","['Pharmaceuticals', 'Biotechnology']","Thermo Fisher Scientific Inc is the world leader in serving science, with annual revenue exceeding 25 billion Our Mission is to enable our customers to make the world healthier, cleaner and safer Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them Our global team of more than 75,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industryleading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services and Patheon For more information, please visit wwwthermofishercom, , Supervisor EMEA Customer Service Operations Backoffice, , In this role you are key member of the operational management team of the EMEA Sales  Service Operations Center 45 FTE reporting into the Senior Manager EMEA Sales  Service Operations, Direct team members are the team leads for Commercial Operations, Tender sales support  Customer Service Contracts and Customer Service Operations Call Handling, , The primary responsibility of this position is to manage the Customer Services back office team 8FTE responsible for Customer Service Call activity recording, Invoicing, and Indirect Channel Distributors, , Team has a focus on Direct Channel for the country legal entitiesbranch offices in Europe, as well as the Indirect Channel Business agentsdistributors mainly in Middle East  Africa and Central Eastern Europe, Main objective is to support the Customer Services team of our Life Science, Materials Science including Desktop SEM and Surface Analysis and SEMI business, Desktop SEM and Surface Analysis for Electron Microscopes and accountable for the Service Operations, together with the Service CS Ops supervisor and the Field Service Managers in the field",Full-time,https://www.linkedin.com/jobs/view/externalApply/2256424184?url=https%3A%2F%2Fthermofisher%2Econtacthr%2Ecom%2F78012268%3FrefId%3D34jd24&urlHash=1L4z&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supervisor-emea-customer-service-operations-backoffice-at-thermo-fisher-scientific-2256424184?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
9,service activity,LinkedIn,2205296357,"Manager, Customer Success - EMEA",H569t+XUQIC+F+S2qpnI6Q==,Infoblox,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Computer Networking', 'Computer & Network Security']","Description, , Infoblox is seeking a Manager, Customer Success  EMEA to lead our local CSM team to maintain high levels of satisfaction and engagement among our customer base In this new role, you will manage a team of CSMs and work with the newexisting business and enterprise customers to ensure that they are successful with and delighted by Infoblox Our highly skilled Success Managers work as an integrated extension of our clients organizations to deliver continuous transformation and uninterrupted operational excellence, , In this people management role, it is your responsibility to effectively onboard clients in EMEA onto our SaaS solutions and services You will encourage usage in the early and ongoing stages and build high customer satisfaction by providing customers guidance in their experience with Infoblox products You will work with your team to foster crossfunctional alignment with Account Executives, Systems Engineers, and Sales leadership to proactively drive SaaS usage and expansion, as well as acting as the voice of your customers internally at Infoblox You will be measured by your ability to fast track new accounts to SaaS usage, assist the customers in meeting their objectives using Infoblox products, improve customer retention, monitor and action improvements in customer health and promote the rate of upselling, , As a creative, energetic, and selfdriven professional, you will need to understand the customer and their business objectives while becoming a trusted advocate for our partners to allow our customers to grow with Infoblox, , , , , , , , , , , Its an exciting time to be at Infoblox We are the market leader in technology for network control Our success depends on bright, energetic, talented people who share a passion for excellence in building the next generation of networking technologiesand having fun along the way Infoblox offers a fastpaced, actionoriented environment We promote a culture that embraces innovation, change, teamwork, and strong partnerships Join the winning Infoblox teamour future looks bright, and so will yours To check out what its like to be a Bloxer, click here",Full-time,https://www.linkedin.com/jobs/view/externalApply/2205296357?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Finfoblox%2Fjob%2FoJYMafwn%3Fs%3DLinkedIn%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=mUZu&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-customer-success-emea-at-infoblox-2205296357?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
10,service activity,LinkedIn,2278602662,Internship | Sustainable Urban Mobility & Safety,hOoECJFUTLiHPVSVBCWiZA==,TNO,"Den Haag, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Research']","What will you be doing, The Sustainable Urban Mobility and Safety SUMS department investigates the impact of mobility on our society Our work and expertise covers both the technical domain, eg how existing traffic models can be adapted to account for new transport modes, as well as the policy domain, eg what governments should expect as a result of the rise of automated vehicles on the road, , Throughout the year we welcome students to apply for an internship position, either to carry out their master thesis research or for a standalone internship assignment in collaboration with TNO experts Due to the broad nature of our work domain we welcome a broad selection of research subjects, so feel free to propose your desired internship subject and we will assess how it can fit in our department If you have no concrete assignment in mind, do get in touch as well We often have internship assignments that can be tailored to match your interests, , Questions that have been treated in the past include, , , , , , , , SUMS consists of more or less 40 researchers, consultants and software developers all with a passion for mobility and an interest in improving societal wellbeing, Their diverse backgrounds and expertises create a multidisciplinary atmosphere where you can learn and develop yourself in a broad range of directions, , Furthermore we offer you, , , , You want to work on the precursor of your career, an internship provides you with the opportunity to take a good look at your prospective future employer TNO also goes a step further Its not just looking that interests us, you and your knowledge are essential to our innovation Thats why we attach a great deal of value to your personal and professional development You will, of course, be properly supervised during your internship, and be given the scope for you to exceed yourself and your expectations We also provide suitable compensation for internships Click here to find more info about internships at TNO, , , For our vacancies it is required that, before you can start the internship, the AIVD issues a security clearance after conducting a security screening This process may take up to 8 weeks If you have been abroad for more than 6 consecutive months in the past 5 years, or if you do not have the Dutch nationality, the process may take longer In most of these cases you can start after 34 months For more information, please visit the AIVD website  You will receive an appropriate internship fee, , , Then please feel free to apply on this vacancy For further questions dont hesitate to contact us, , Due to Covid19 and the consequent uncertainties and restrictions, students who are not residing in the Netherlands may currently not be able to start an internship or graduation project at TNO, , , Bachtijar Ashari, 31 06154 10646",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278602662?url=https%3A%2F%2Fwww%2Etno%2Enl%2Fen%2Fcareer%2Fvacancies%2Finternship-sustainable-urban-mobility-safety%2Fvacid-a0s0x000013eb9suag%2F&urlHash=vQXr&refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-sustainable-urban-mobility-safety-at-tno-2278602662?refId=92a2feb2-4e3e-46f2-931a-00728b38ae1a&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-27,2020-11-30
