Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,sociologist,LinkedIn,2316798431,Sociotherapeut - The Hague,zCd61obzR+WmY0V42DWVkA==,Zorgenwelzijnplein,"The Hague, South Holland, Netherlands",None,"Over deze vacature, , Functieomschrijving, , Ook in coronatijd werven wij door Youz, specialistische zorg voor jeugd en gezin, zoekt voor de afdeling De Inktvis van behandelcentrum Orthopsychiatrie in Den Haag ervaren sociotherapeuten, , , Kun jij met een frisse blik kijken naar complexe problematiek Weet jij als geen ander hoe je met kinderenjongeren van 10 tot 15 jaar om moet gaan Ga jij lastige situaties niet uit de weg en durf jij kritisch te kijken naar jezelf, , De Inktvis is een behandelafdeling voor kinderenjongeren vanaf 10 jaar met gedragsproblemen enof ontwikkelingsachterstand De jongeren die op De Inktvis behandeld worden lopen vast op school, in de relaties met ouders enof vrienden en kunnen door deze problemen tijdelijk niet meer thuis wonen De problematiek van jongeren is zeer divers, wat het werken leuk, leerzaam en uitdagend maakt, , Als ervaren sociotherapeut bied je structuur, continuteit, kwaliteit en veiligheid op jouw afdeling Samen met jong en actief team zorg je voor een therapeutisch woon en leefklimaat Het team is multidisciplinair met onder andere een psychiater, GZ psycholoog, ouderbegeleider en verschillende vaktherapeuten Je kan van iedereen wat leren, , Jouw doel is een omgeving te creren waarin de jongeren kunnen oefenen en ontwikkelen In je functie als sociotherapeut houd je je op de groep bezig met de dynamiek van de jongerengroep en draag je zorg voor een mentorschap, , Je werkt onregelmatige diensten, doordeweeks en in het weekend in de vorm van dag, late en nachtdiensten De locatie is bijna in de duinen en makkelijk bereikbaar, de tram stopt voor de deur, , , Gezien de samenstelling van het team nodigen we vooral kandidaten met een niet Nederlandse achtergrond uit om te solliciteren, , Om in aanmerking te komen voor deze functie is een positieve Verklaring Omtrent Gedrag VOG vereist, Het natrekken van referenties, integriteitscontrole via het Waarschuwingsregister Zorg  Welzijn en het controleren van diplomas maken onderdeel uit van de sollicitatieprocedure, , , Wij bieden onze collegas gevarieerd en zinvol werk in een professionele en prettige werkomgeving Daarbij hoort natuurlijk een goed pakket aan arbeidsvoorwaarden conform cao GGZ Klik voor meer informatie over onze arbeidsvoorwaarden, , Het betreft een functie voor 3236 uur per week Je krijgt een contract voor minimaal 6 maanden met uitzicht op verlenging Het salaris bedraagt minimaal  2218, en maximaal  3678, FWG 4950 bruto per maand op basis van een werkweek van 36 uur, , , Heb je nog vragen of wil je meer informatie over deze vacature Neem dan contact op met Allard Kamminga, leidinggevende, via 0681331287, , , is een instelling voor kinder, jeugd en jongvolwassenenpsychiatrie met locaties in bijna heel Nederland Wij bieden diagnostiek en behandeling van oa ADHD, autisme, infant mental health, transitiepsychiatrie en alle andere psychiatrische problematiek Via Leo Kannerhuis, ons behandel en kenniscentrum voor autisme, kan iedereen terecht waar eerdere specialistische behandeling niet heeft geholpen, , is onderdeel van , een werkgever in de geestelijke gezondheidszorg die streeft naar een inclusieve cultuur met gelijke kansen voor iedereen We maken geen onderscheid op gebied van geslacht, geloof, sociale achtergrond, geaardheid of etniciteit Wij vinden het belangrijk om van en mt elkaar te leren, dat iedereen zichzelf kan zijn en een ieder zich gewaardeerd voelt Bij ons kun je bijdragen aan tal van specialisaties, wetenschappelijke onderzoeken en via onze eigen Parnassia Groep Academie gebruik maken van geaccrediteerde opleidingsmogelijkheden Alleen in een werkomgeving waarin we openstaan voor verschillen, halen we het beste uit onszelf, kunnen we creatieve en innovatieve oplossingen bieden voor onze patinten en succesvol zijn",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316798431?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4a4bb8254906%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadfcddcbade8adebdd8addegddbaddcfdd73degcdcafec3ddcg3e&urlHash=iXsR&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-the-hague-at-zorgenwelzijnplein-2316798431?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
2,sociologist,LinkedIn,2196498539,Sociotherapeut,cIWuLO1KS/qq8aXbTOC4aw==,Ministerie van Justitie en Veiligheid,"Almere, Flevoland, Netherlands",['Government Administration'],"Functiexadomschrijving, , Ben jij als social worker of sociaalpedagogisch hulpverlener op zoek naar meer uitdaging en een baan met veel betekenis Dan moet je bij de Oostvaarderskliniek zijn Hier behandel je een interessante en complexe doelgroep tbspatinten of mensen met een verslaving die vaak ernstige delicten hebben gepleegd Bijzonder toch, dat jij als hun sociotherapeut en persoonlijke mentor bijdraagt aan hun resocialisatie, , Je werkt met een uitdagende doelgroep Maar bij de Oostvaarderskliniek zien wij onze patinten in de eerste plaats als mensen Mensen met bagage die in aanraking zijn gekomen met justitie Jij draagt bij aan het vergroten van hun kans om op een veilige manier terug te keren in de samenleving Hoe je dat doet Door de patinten op jouw afdeling  een groep tussen de 11 en 22 personen  dagstructuur te bieden en door ze goed te observeren en te begeleiden Of je nu samen met ze eet, wandelt of tv kijkt, je bent continu alert op wat je ziet Dit doe je tijdens dag, avond en weekenddiensten je draait in deze functie geen nachtdiensten, , Hoe is de interactie in de groep en wat is het effect van iemands gedrag En hoe passen de patinten toe wat ze tijdens hun therapien of de gesprekken met de psycholoog leren Jij observeert en toetst, en op basis van je bevindingen ga je het gesprek aan lopen de patinten ergens tegenaan in het contact met anderen en hoe zitten ze in hun vel Je bevindingen rapporteer je en stem je continu af met je collegas Je werkt nauw samen met de anderen in het behandelteam, onder wie het hoofd behandeling, de psychiater en maatschappelijk werker, en collegas van het dagprogramma werken, leren vrijetijd en dagbesteding, , Ook ben je de persoonlijke mentor van n of twee van de patinten van jouw afdeling Je bent d spil als het gaat om hun behandeling Zo heb je wekelijks gesprekken met ze, stel je mede de behandelplannen op en brief je je collegas over hun omgang met en behandeling van deze patinten Skills als relativeringsvermogen, zelfbewustzijn en flexibiliteit zijn hierbij geen overbodige luxe Er is continu beweging doordat de patinten elk moment anders kunnen reageren Zij reageren ook op jou en je behandeling, maar je bent je ervan bewust dat het niet ver jou gaat Nee, jij bent het instrument in het contact met jou kunnen de patinten leren en oefenen hoe mensen op een respectvolle manier met elkaar omgaan Binnen de Forensische Zorg groei je als persoon en als professional, , , , Bij de Oostvaarderskliniek staat samenwerken voorop, en juist dat maakt dit werk zo leuk Ik sta constant in contact met mijn collegas en we stemmen veel af om te blijven volgen wat er op de afdeling gebeurt Als je je hierin steeds belangstellend en nieuwsgierig opstelt  richting je collegas n de patinten  haal je veel relevante informatie boven water Geen dag is hier hetzelfde en er zijn ook verschillende uitdagingen Humor en zelfreflectie komen dan uitstekend van pas, , Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2196498539?url=https%3A%2F%2Fwww%2Ewerkenvoornederland%2Enl%2Fvacatures%2Fsociotherapeut-DJI-2019-0211%3Futm_source%3DLinkedIn%26utm_medium%3Djobboard%26utm_campaign%3Djobslots%26utm_term%3DDJI-2019-0211&urlHash=yjsx&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-at-ministerie-van-justitie-en-veiligheid-2196498539?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
3,sociologist,LinkedIn,2276320808,Sociotherapeut,m9/qxwocTD+EvY3IvSnkPg==,Parnassia Groep,"Den Haag, South Holland, Netherlands","['Mental Health Care', 'Health, Wellness and Fitness', 'Hospital & Health Care']","Psychiater, , Ook nu in coronatijd werven wij doorParnassia zoekt voor het team Centrum Autisme Haaglanden CAH een psychiater, , , Het team CAH van Parnassia BV is op zoek naar een psychiater, die ons team komt versterken, , De behandeling van mensen met een autismespectrumstoornis is volop in ontwikkeling Wij verwachten dat je genformeerd bent over de laatste ontwikkelingen op het gebied van diagnostiek en behandeling en hier ook binnen de afdeling, samen met je collegas, uitvoering aan geeft, , Als psychiater en tevens regiebehandelaar heb je een sturende rol in de behandeling van de veel voorkomende comorbiditeit Je komt te werken in een multidisciplinair team van circa 28 enthousiaste collegas, dat specialistische, ambulante zorg aan volwassenen met een autismespectrumstoornis biedt Wij zijn een ambitieus team met veel innovatiekracht, momenteel startend met behandelaanbod DGT en in de toekomst ACT We hebben de ambitie op termijn het predicaat TOP GGZ te verwerven, , , , , , Om in aanmerking te komen voor deze functie is een positieve Verklaring Omtrent Gedrag VOG vereist, Het natrekken van referenties en het controleren van diplomas maken onderdeel uit van de sollicitatie procedure, , , Wij bieden onze collegas gevarieerd en zinvol werk in een professionele en prettige werkomgeving Daarbij hoort natuurlijk een goed pakket aan arbeidsvoorwaarden conform cao GGZ Klik voor meer informatie over onze arbeidsvoorwaarden, , Het betreft een functie voor 1632 uur per week Je krijgt een contract voor onbepaalde tijd Het salaris bedraagt minimaal  5318, en maximaal  9294, FWG AMS bruto per maand op basis van een werkweek van 36 uur, , , is gevestigd in de regios Haaglanden en NoordHolland Wij behandelen en begeleiden, volwassenen met ernstige psychiatrische aandoeningen en ouderen met psychiatrische problemen of dementie, , is onderdeel van , een werkgever in de geestelijke gezondheidszorg die streeft naar een inclusieve cultuur met gelijke kansen voor iedereen We maken geen onderscheid op gebied van geslacht, geloof, sociale achtergrond, geaardheid of etniciteit Wij vinden het belangrijk om van en mt elkaar te leren, dat iedereen zichzelf kan zijn en een ieder zich gewaardeerd voelt Bij ons kun je bijdragen aan tal van specialisaties, wetenschappelijke onderzoeken en via onze eigen Parnassia Groep Academie gebruik maken van geaccrediteerde opleidingsmogelijkheden Alleen in een werkomgeving waarin we openstaan voor verschillen, halen we het beste uit onszelf, kunnen we creatieve en innovatieve oplossingen bieden voor onze patinten en succesvol zijn, , , Heb je nog vragen of wil je meer informatie over deze vacature Neem dan contact op met mevrouw T de Kwant, psychiater, via 0883588720, of mevrouw S Hoekstra, leidinggevende bedrijfsvoering, via 0620301977, , pdf, , Solliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2276320808?url=https%3A%2F%2Fwww%2Eparnassiagroep%2Enl%2Fwerken-en-leren%2Fvacatures%2F-%2Fvid-78541-sociotherapeut&urlHash=Qof1&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-at-parnassia-groep-2276320808?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
4,sociologist,LinkedIn,2322681547,Sociotherapeut | Halsteren | Start People Breda,+BBNeav0TbCYWgXKcLt7fg==,Werkzoekennl,"Halsteren, North Brabant, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Start People Breda, locatie Halsteren, , Binnen de afdeling Psychodynamische Psychotherapie PP worden clienten met een matig ernstige en ernstige persoonlijkheidsstoornissen behandeld Naast deeltijd en ambulante behandelingen is er een klinisch programma, genaamd Kortdurende Klinische Psychotherapie  Transactionele Analyse KKPTA met twee groepen clienten die ieder door een eigen team behandeld worden Je werklocatie vindt plaats in Halsteren, Als sociotherapeut werk je met groepen van maximaal 10 clienten Je zorgt voor een optimaal therapeutisch milieu, sterker nog je hebt daar als sociotherapeut een essentiele rol in, Voor deze funcktie doen wij een beroep op je persoonlijke kwaliteiten en bekwaamheden omdat een alerte respons in een adequate werkalliantie met de client vanuit een TAperspectief belangrijk is, , , , Wat vragen wij van jou als Sociotherapeut, , , 5cd8a0b9cc68f9ffa4c9253553278a55",Temporary,https://www.linkedin.com/jobs/view/externalApply/2322681547?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F7428_start-people%2Fvacatures%2F4692882_sociotherapeut%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%252bcat_management%2Bhal&urlHash=jL6x&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-halsteren-start-people-breda-at-werkzoeken-nl-2322681547?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
5,sociologist,LinkedIn,2251561407,Sociotherapeut autisme,EEYYIl52Sx2pXU7qZvRzzQ==,Yulius,"Rotterdam, South Holland, Netherlands",['Hospital & Health Care'],"Bevlogen team met passie voor Autisme zoekt een nieuw collega Word Sociotherapeut bij Yulius Deeltijdbehandeling Autisme, Word je ook enthousiast van het werken met pubers die extra uitdagingen ervaren vanuit het autisme Zoek niet verder en sluit je aan bij Yulius, , Wij zijn op zoek naar een enthousiaste sociotherapeut voor de vervanging van een zwangerschapsverlof in de periode van augustus 2020  jan 2021 voor 16 uur per week voor de Structuurklas Deeltijd Autisme, locatie Rotterdam, , , , Bij onze deeltijdbehandeling bieden we gedurende twee dagdelen per week behandeling aan ongeveer 32 jongeren in de leeftijd van 12 tm 18 jaar met een autismespectrumstoornis en mogelijk comorbide stoornissen De Structuurklas valt tevens onder de deeltijdbehandeling en we geven in een onderwijssetting zowel les als behandeling aan 12 jongvolwassenen met een autismespectrumstoornis, , Wij werken in een multidisciplinair team, bestaande uit sociotherapeuten, ouderbegeleiders, een verpleegkundig specialist en orthopedagogen In de Structuurklas is er een nauwe samenwerking met de overige docenten en projectleider Samen zetten we ons in om met de jongeren en de ouders te werken aan hun behandeldoelen, zoals bijvoorbeeld het beter leren omgaan met autisme en emoties, meer zelfvertrouwen krijgen en het verbeteren van onderlinge relaties Naast groepsbehandeling is er ook ruimte voor individuele behandelmomenten, , , , Als sociotherapeut van de Structuurklas werk je samen met een collega in een klas van 12 jongvolwassenen met een stoornis in het autistisch spectrum die de MBO opleiding ICT volgen in een gestructureerde onderwijssetting, , , Wekelijks zijn er vergaderingen waar je met een multidisciplinair team de behandellijnen uitzet Verder ben je als sociotherapeut aanwezig bij evaluatiegesprekken en verantwoordelijk voor het aanleveren van verslaglegging ten behoeve van deze evaluaties, , , , Word je enthousiast over onze deeltijdbehandeling en onze doelgroep Het team verwelkomt jou hartelijk Wat neem je mee, , , , , , , , Voor nadere informatie kun je contact opnemen met Sandy Wolfs teamleider, telefonisch via tel 0629168791, , , , Interesse We kijken uit naar jouw motivatiebrief en cv Je kunt direct solliciteren door op de knop Solliciteren te klikken, , , , Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2251561407?url=https%3A%2F%2Fwww%2Ewerkenbijyulius%2Enl%2Fvacaturebeschrijving%2Fsociotherapeut-autisme-rotterdam&urlHash=G78D&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-autisme-at-yulius-2251561407?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
6,sociologist,LinkedIn,2286364872,Sociotherapeut,Xm0n9+pGTx6rJs5pPH+DAA==,Maandag,"Arnhem, Gelderland, Netherlands",['Staffing and Recruiting'],"Over de functie, , Als sociotherapeut werk je op de groep met verschillende clinten binnen de forensische GGZ Je biedt structuur, duidelijkheid en veiligheid om de ideale behandelomgeving te creren Jij kunt goed je eigen grenzen aangeven en omgaan met weerstand Je werkt als sociotherapeut in een multidisciplinair team en overlegd hierin wat het beste is voor jouw clinten Je bent het eerste aanspreekpunt van de clint en regelt de dagelijkse gang van zaken op de afdeling Daarnaast observeer je als sociotherapeut clinten en intervenieer je waar nodig Rapporteren en het oppakken van verschillende behandelonderdelen behoren tot je takenpakket, , Je krijgt energie van de uitdaging die de doelgroep met zich mee brengt Als sociotherapeut in de forensische sector sta jij naast de clint, maar kun jij een goede afstand nabijheidrelatie hanteren, , , , , , , , Frisse moed en nieuwe kansen, dat is waar Maandag voor staat Net als jou vinden wij werken binnen de publieke sector het belangrijkste wat er is Jij als sociotherapeut draagt hier je steentje aan bij en daar staat natuurlijk wat tegenover Uiteraard ontvang je bij Maandag een marktconform salaris en horen vakantiedagen, vakantiegeld, reiskostenvergoeding en pensioenregeling tot de voorwaarden Maar misschien wel het allerbelangrijkste dat wij jou persoonlijk begeleiden en met jouw carrire meegroeien Naast fantastische projecten biedt Maandag cursussen en opleidingstrajecten om zo jouw loopbaan vorm te geven, , , , Solliciteren, , Herken jij jezelf in dit profiel En lijkt werken bij Maandag je een mooie stap Solliciteer dan meteen Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons",Full-time,https://www.linkedin.com/jobs/view/externalApply/2286364872?url=https%3A%2F%2Fwww%2Emaandag%2Enl%2Fapplyjob%2F108131507%3Futm_campaign%3Djobslot%25257Cdo%25257Ca%25257Cao%26utm_content%3DZorg%26utm_source%3Dlinkedin%26utm_medium%3Djobboard-cpt%26utm_term%3D&urlHash=bCGB&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-at-maandag%C2%AE-2286364872?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
7,sociologist,LinkedIn,2280179453,"Volunteer Historians, Sociologists, Economists to Help Create an Ethical and Sustainable Fashion World - VIRTUAL with Animana & Hecho por nosotros",JUs37rNQTBSpXnWSq81Rdg==,Ashoka,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Nonprofit Organization Management', 'Internet']","This is an opportunity to work with an Ashoka Fellow, , Ashoka Fellows are leading social entrepreneurs that have been taken through a rigorous selection process, testing the quality of their ideas and character, to become part of the Ashoka Fellowship and Network Ashoka Fellows take on the challenges of building innovative system change ideas to make and spread social impact in a world wrought with challenges They refuse to let the impossible stand in their way to creating a better world, , , , , , The textile industry involves all of society from local to global  from consumers to producers, MSMe, value chains, artisans, businesses, designers, communicators, on line sellers, marketing, among, big economic corporations, among others It builds dreams and profits, but is also responsible for modern slavery and the second most polluting industry in the world For this reason, its one of the most impactful spaces to work within to transform the contemporary world Adriana Marina, Ashoka Fellow and founder of Hecho por Nosotros Made By Us, and social enterprise animan, , Hecho x Nosotros is an NGO with consultative status to the United Nations and the World Trade Organization We work to promote sustainability in the world, with a strong focus on research and education projects Over the years we have worked with more than 80 organizations, including Ashoka, Globalizer, CA Foundation, Ikea Entrepreneurshio, Fabric of Change, UN, UNESCO, Ashoka, UNIDO, Unece, IDB Network, European Union, as well as with local governments in Argentina, Peru, Bolivia, Brazil and Mexico, and international organizations that advocate for a sustainable and ethical world, such as UNIDO, Unece, Ecotece Brazil, Universal Love France, Ethical Fashion Forum and Common Objective United Kingdom, as well as a network of professionals We are a platform that provides tools and opportunities that encourage companies to investigate the principles of sustainability local value chains, history of the raw materials, the process and impact of globalization, the role of consumers and that young professionals and students see their future as agents of change, , We have been working for years at the construction of a network of resources about principles of sustainability, ethical production and commercialisation in Latin America and beyond Hecho por Nosotros wants to serve as a reference and as a link between different actors entrepreneurs, academics, craftsmen, students, citizens, NGOs, INGOs, States, United Nations, etc We aim to join together all stakeholders, with each contributing information and analysis of the fashion industry from different perspectives In this way, we can begin to shift the paradigm of the fashion industry and work together for a more sustainable world The NGO Hecho por Nosotros works promoting sustainability in the world of fashion and encourages different actors to undertake sustainable and ethical practices With a strong regional focus, we work with local agents in the development of a sustainable value chains and promote the local natural fibers and communities This is crucial in order to collaborate and cocreate with local agents as companies, governments, and other NGOs Heres your chance to work with Animana  Hecho por nosotros For more information, please visit wwwhechoxnosotrosorg wwwanimanaonelinecomar, , For more information, please visit wwwhechoxnosotrosorg, , , , We are cocreating a Systemic Change in the world through the fashion industry Our approach is to work on new paradigms of work, social innovation and sustainable development goals That is why we invite professionals interested in history, economics and content creation to be part of this project If you are a historian, sociologist, economist and passionate about new paradigms, we invite you to join This is an unpaid position but an unparalleled opportunity to experience international development, connect with experts in the field of sustainability and develop leadership abilities coordinating our team of volunteers You will be working virtually with our central team in Argentina, or in Netherlands, New York, London and other parts of the world Please let us know today if you can help, , , , Estimated hours required per week 15, The estimated duration of the project is 36 months, This position is Virtual, , , , English Spanish a plus, , , , , Linkedin for Good Volunteering",Volunteer,https://www.linkedin.com/jobs/view/externalApply/2280179453?url=https%3A%2F%2Fwww%2Etfaforms%2Ecom%2F346867%3Ftfa_4%3Da1I1W00000KbUmkUAF&urlHash=qHnt&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/volunteer-historians-sociologists-economists-to-help-create-an-ethical-and-sustainable-fashion-world-virtual-with-animana-hecho-por-nosotros-at-ashoka-2280179453?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
8,sociologist,LinkedIn,1968911689,Groepsbegeleider (Sociotherapeut),C8OvmlvDRDmndcb77Ey5OA==,FPC de Rooyse Wissel,"Venray, Limburg, Netherlands","['Mental Health Care', 'Hospital & Health Care']","Wat ga je doen, Als Sociotherapeut  Sociotherapeutisch Medewerker ook wel bekend als Groepsbegeleider bij de Rooyse Wissel ben jij d stabiele basis van de patint Je werkt samen met je collegas aan de behandeling en begeleiding van patinten met een tbs maatregel, waarbij het uiteindelijke doel is een veilige terugkeer in de maatschappij, stap vr stap Je rapporteert over de voortgang, brengt adviezen uit en bent het eerste aanspreekpunt voor de patinten ",Full-time,,https://nl.linkedin.com/jobs/view/groepsbegeleider-sociotherapeut-at-fpc-de-rooyse-wissel-1968911689?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
9,sociologist,LinkedIn,2304433314,Sociotherapeut,xYJHBinZRQyu+UnEg+gvfg==,Personato,"Venray, Limburg, Netherlands",['Staffing and Recruiting'],"Stel je voor Je HBO opleiding Social Studies, Verpleegkunde of vergelijkbaars ligt achter je In je werkzaamheden laat je zien als echte teamspeler te zorgen voor duidelijkheid en structuur Jij staat stevig in je schoenen, bent alert en ziet erop toe dat regels nageleefd worden Dit doe je in het kader van de veiligheid voor patinten en medewerkers Daarnaast heb jij ook nog eens goede mondelinge en schriftelijke uitdrukkingsvaardigheden, Wat breng je mee, , , Wat ga je doen, , Je zorgt met je team voor de uitvoering van individuele dag en zorgprogrammas van tbspatinten met complexe psychiatrische enof ontwikkelingsstoornissen Jij waarborgt de veiligheid, handhaaft structuur en zorgt voor een fijn leefklimaat Je begeleidt patinten bij hun sociale, recreatieve en huishoudelijke activiteiten Dat betekent ook dat je toeziet op inname van medicatie en motiveert in zelfstandigheid van patinten, oa op het gebied van hygine Hierdoor zorg je ervoor dat een optimale behandeling, begeleiding en beveiliging mogelijk is Hierover rapporteer je uiteraard naar collegas en leidinggevenden Belangrijk item is de veiligheid De organisatie, maar vooral je collegas, verwachten dat je proactief handelt in dreigende crisissituaties Je leest het gedrag van patinten en handelt hier vervolgens naar Daarnaast handel je met integriteit en betrouwbaarheid, naar patinten toe, naar collegas toe en in de omgang met vertrouwelijke informatie, , Waar kom je te werken, , De opdrachtgever waar Personato voor werft begeleid en behandelt patinten binnen een forensische psychiatrische setting De organisatie heeft een groot werkgebied dat zich uitrekt van Limburg tot ZuidoostBrabant Er werken momenteel bijna 500 medewerkers en zit midden in het proces waarin uitbreidingen gerealiseerd worden, , De organisatie gelooft dat hun manier van behandelen en begeleiden van mensen met strafbaar gedrag, bijdraagt aan een veiligere samenleving Een doel is dan ook dat de interne behandelingen, begeleid wonen projecten en behandelingen vanuit huis resulteren in patinten die zich staande kunnen houden in de maatschappij, zonder strafbaar gedrag, , Jij werkt straks, bij voorkeur, op fulltime basis 36 uur binnen de CAO GGZ, FWGschaal 50 Daarnaast zijn er voldoende opleidingsmogelijkheden Zo investeert de organisatie in personeel, innovatie en uitbreiding Voldoende mogelijkheden tot groei dus, , Ben je HBOV gediplomeerd en uit het juiste hout gesneden Dan heb jij direct een vast contract te pakken Voor overige HBO opleidingen is een vast contract bespreekbaar, afhankelijk van je soort opleiding en ervaring, , Personeel ervaart een informele sfeer, met saamhorigheid en betrokkenheid als belangrijke elementen binnen de organisatie Daarnaast hecht de organisatie waarde aan een proactieve houding met aandacht voor elkaar Hierbij ben je niet bang bent om moeilijkheden te bespreken in een organisatie die gericht is op authenticiteit en openheid",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304433314?url=https%3A%2F%2Fpersonato%2Enl%2Fitems%2Fnl%2Fvacatures%2Fhealthcare%2Fsociotherapeut-venray-20036&urlHash=L-wV&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-at-personato-2304433314?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
10,sociologist,LinkedIn,2307284487,Sociotherapeut op de Jeugd Detox afdeling van Kliniek Vossenloo in Eelde,NOdu+KWAR+OzgkcYU5rPqg==,Verslavingszorg Noord Nederland VNN,"Groningen, Groningen, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Het team Jeugd Opname Detox van onze Kliniek Vossenloo in Eelde verwelkomt graag een nieuwe collega voor 24 uur per week, , Waar ga je werken, Kliniek Vossenloo in Eelde is een kliniek waar jongeren en volwassenen proberen te stoppen met hun verslaving Binnen de afdeling Jeugd verblijven jongeren vanaf 13 tm 23 jaar De afdeling bestaat uit een opnameunit en een behandelunit De opnameunit is gericht op observatie, diagnostiek en crisisopvangdetox De behandelunit richt zich op de behandeling van verslavingsproblemen en comorbide psychiatrische problemen zoals ADHD en PTSS en daarmee samenhangende problemen op andere levensgebieden, zoals problemen thuis, op school of op het werk Het systeem van de jongere wordt intensief betrokken bij de behandeling Binnen het leefmilieu wordt gebruik gemaakt van groepsdynamische processen De behandeling vindt voor een groot deel in de leefgroep plaats en bestaat uit diverse vormen van groepsbehandeling en individuele behandeling De behandelteams zijn multidisciplinair samengesteld De sfeer binnen de kliniek kan worden omschreven als informeel, gericht op samenwerken en een werkomgeving waarbinnen ruimte is voor eigen initiatief en ontplooiing",Part-time,https://www.linkedin.com/jobs/view/externalApply/2307284487?url=https%3A%2F%2Fwww%2Evnn%2Enl%2Fwerken-bij%2Fvacatures%2Fsociotherapeut&urlHash=2HW2&refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sociotherapeut-op-de-jeugd-detox-afdeling-van-kliniek-vossenloo-in-eelde-at-verslavingszorg-noord-nederland-vnn-2307284487?refId=de89973e-6aa9-4476-b1a2-ae34d1eccd62&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-26,2020-11-29
