Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,specialised nurse,LinkedIn,2325408109,Nurse Responsible For General Care,hTLbWt7Zg74tInvfgdwaOw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Apply context specific clinical competences, , Comply with legislation related to health care, , Promote inclusion, , Plan nursing care, , Participate in health personnel training, , , , Sense of proactive initiative and team spirit, , Good communication skills and well developed interpersonal skills, , Sense of confidentiality and high level of discretion, , Strong serviceoriented attitude and flexibility, , Excellent analytical capabilities and problemsolving skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325408109?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2ebebffd1174%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecadb8adefadb9adeaadaaadagadcaddffddf3de9cdccfec3ddcg3e&urlHash=AnMY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-responsible-for-general-care-at-talent-2325408109?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=hTLbWt7Zg74tInvfgdwaOw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
2,specialised nurse,LinkedIn,2321555221,Nurse,Z0poBVlXCUzzez9cjhHRCg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Hospital & Health Care'],"We are looking for a qualified Registered nurse to promote and restore patients health, , You will work with a variety of patients and you will provide direct nursing care along with physical or psychological support when required, , , , , Monitor and record patients condition and document provided care services, , Resolve or report on patients needs or problems, , , Administer workloads, , , , , Familiarity with professional and technical emerging knowledge, , Problem solving skills and ability to multitask, , , Excellent teamwork skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321555221?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F740e43a5-381a-46e4-b221-fc7091987c2a%3Fjid%3D51f80385dac296504fd113228d2fed7957b3d9cb9ba1bb4dfb497ee4ccc941ab%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=v2Pm&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-at-talent-2321555221?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=Z0poBVlXCUzzez9cjhHRCg%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
3,specialised nurse,LinkedIn,2325481082,Specialist Nurse,GTLuocWSfT400nlh34JPjw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Implement scientific decision making in healthcare, , Interact with healthcare users, , Evaluation in specialised nursing care, , Provide health education, , Refer healthcare users, , , , Ability to work effectively in an international or multicultural environment, , Good communication, cooperation and team working skills, , Experience of having worked in a similar role, , Accuracy and attention to details, , Ability to adapt and cope with working in different teams",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325481082?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D91025b668493%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddf8ddgfdde9ddbaadeaddagddaadd8fddc3de7cdcdfec3ddcg3e&urlHash=zDhu&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/specialist-nurse-at-talent-2325481082?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=GTLuocWSfT400nlh34JPjw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
4,specialised nurse,LinkedIn,2277712014,Nurse,sBVu2NUqQuW42NnxrZ9uqg==,Alio Health Services,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Alio Health Services is looking to hire a Registered Nurse, , Primary Responsibilities  Duties, The RNRPNLPN initiates and coordinates interprofessional team assessments and plans of care including the physical, spiritual and psychosocial needs of patients across the continuum of care, , , Basic Requirements, , , About Alio Health ServicesFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday, , , , Focused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277712014?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fecf59f6e-cb35-475d-aa78-ee545981612c%3Fjid%3Db0f5539eeec101552f86c47be681873679b7c811fae6cdcb4ed3a816cd416745%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=e8MY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-at-alio-health-services-2277712014?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=sBVu2NUqQuW42NnxrZ9uqg%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
5,specialised nurse,LinkedIn,2305913917,Nurse - Amsterdam,UEl69gR+iSpu/FQIO1J1OQ==,Alio Health Services,"Amsterdam, North Holland, Netherlands","['Health, Wellness and Fitness', 'Medical Practice', 'Hospital & Health Care']","Alio Health Services is looking to hire a Registered Nurse, , Primary Responsibilities  Duties, The RNRPNLPN initiates and coordinates interprofessional team assessments and plans of care including the physical, spiritual and psychosocial needs of patients across the continuum of care, , , , , , , , Focused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday, , , , Focused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305913917?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D232739fd0515%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecdddaddecdd9cddd8dd7aadagadcaddgfddb3defcdcbfec3ddcg3e&urlHash=OkTy&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-amsterdam-at-alio-health-services-2305913917?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=UEl69gR%2BiSpu%2FFQIO1J1OQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
6,specialised nurse,LinkedIn,2328667463,Nurse - Amsterdam,Y0KI4FO8BAF5lSwp1c/CIg==,Spijtenburg Onderwijs,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Health, Wellness and Fitness', 'Hospital & Health Care']","Netherlands Referentie SPH07235, , Nurse, , Who are we looking for, , Are you looking for a new challenge or a fresh start Are you a qualified assistant nurse We might just have a great opportunity for you in the Netherlands, , Many healthcare institutions are looking for assistant nurses with a passion for their job Are you the assistant nurse we are looking for, , We offer a job with a great remuneration package, including a good salary Somebody will be available at all times to help you with any and all professional, administrative and language challenges you may face, , , , We strongly believe that a happy employee is one that will deliver better results Where could this be more important than in health care Because we take this seriously, Spijtenburg is affiliated with the Dutch Collective Labour Agreement for Temporary Agency Workers, , , , , , , , In order to register as a nurse in the Netherlands you need to obtain a B1 level or higher Dutch Language Certificate intermediate level in the CEFR  Common European Framework of Reference Therefore, you will start a language course, which will take about three to six months depending on your current experience An exam will be taken at the end of the course If the results are sufficient, you will be registered in the Dutch BIG register The Dutch register in which all healthcare professionals that work directly with patients are entered This is when you can legitimately start your career as a nurse in The Netherlands, , As an assistant nurse is it not necessary to register yourself in the BIG register but youll need to obtain the Dutch language on a B1 level, , , Jolien Peters, 31639765277, jpetersspijtenburgnl, Solliciteer Naar het overzicht, , , , jpetersspijtenburgnl",Temporary,https://www.linkedin.com/jobs/view/externalApply/2328667463?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db837505a4013%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdd8adddcdd9cddb8ddgaddbgadfaddcfddg3defcdcdfec3ddcg3e&urlHash=Ymwm&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-amsterdam-at-spijtenburg-onderwijs-2328667463?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=Y0KI4FO8BAF5lSwp1c%2FCIg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
7,specialised nurse,LinkedIn,2317630199,Nurse care,H1DI9ZiLI/4CdHKHWpLixg==,Talent Sponsored,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Ben jij een Verpleegkundige en ligt jouw hart in de zorg Ben je op zoek naar een baan waarin jij jezelf zowel professioneel als op persoonlijk vlak kunt ontwikkelen Wil je ervaring op doen bij verschillende zorglocaties, maar wel de zekerheid van een contract Maak vandaag nog kennis met Aethon, HOE JOUW DAG ERUIT ZIET, Als Verpleegkundige ben je samen met de medewerkers in je team verantwoordelijk voor de kwaliteit van de zorg, het woon en leefklimaat en het welzijn van de clinten Je voert verzorgende handelingen uit, signaleert mogelijke gezondheidsproblemen bij clinten en helpt met de ADLzorg Je hebt geregeld te maken met comorbiditeit, waardoor je mee moet kunnen veren met de clint Probleemgedrag leer je herkennen en kan hierop inspelen, kortom je bent meer dan een verpleegkundige, WAAR JIJ AAN DE SLAG GAAT, Je krijgt de kans als zorgprofessional om binnen verschillende keukens te kijken om ervaring op te doen of juist een team te komen versterken met je kennis en kunde We hebben in Amsterdam onder andere mogelijkheden binnen de somatiek, revalidatie, jonge dementerende, Nietaangeboren Hersenletsel Eerstelijnsverblijf, psychogeriatrische zorg en thuiszorg Jij bepaalt wat het beste bij jou past en waarvan jij gelukkig wordt Er wordt gekeken naar jouw ontwikkeling en deze wordt gestimuleerd door onze persoonlijke benadering Jij maakt cht het verschil",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317630199?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiYzJmNGY2YWEtYmQyNS00MGMxLWIxOTktNjZmMjlhMTNjMDAxIn0%2EUbB4uqjEiAcn18bfZcei86aUhHgXc9pWMPyRUnuNwLw%26jid%3Dffdfacd3d52f48b26a5c2ec151d5681bc7323f08bbe1729d8bdf16947d9fcb2a%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D101&urlHash=ONfs&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-care-at-talent-sponsored-2317630199?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=H1DI9ZiLI%2F4CdHKHWpLixg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
8,specialised nurse,LinkedIn,2311735037,Nurse,kQsQpb5SpO7tk1OjpEVYAA==,UPENDO,"North Brabant, Netherlands",['Online Media'],"In het voorjaar starten wij een gespecialiseerde kliniek gericht op de behandeling en begeleiding van mensen met MS Een kliniek buiten de vaste structuren van het ziekenhuis, in een positieve stimulerende omgeving, waar zorg geleverd kan worden op de manier zoals het hoort te zijn vanuit het hart en vervuld van naastenliefde Wij geloven in echte zorg, oprechte zorg Wij geloven niet in productie, in controlebezoeken van 10 minuten, in onpersoonlijk contact Wij geloven in echte begeleiding, in het echt helpen van mensen om zoveel mogelijk hun leven te kunnen leiden dat zij graag willen leiden ondanks een ziekte als MS",Part-time,,https://nl.linkedin.com/jobs/view/nurse-at-upendo-2311735037?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=kQsQpb5SpO7tk1OjpEVYAA%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
9,specialised nurse,LinkedIn,2321452819,Talent Nurse,O4CeD9a/udMiq8f9y8aFuw==,Carinova,"Utrecht, Utrecht, Netherlands",['Hospital & Health Care'],"Werken als Talent Nurse , , Doe jij een zorgopleiding als verzorgende of verpleegkundige Dan kun je bij Carinova werken als Talent Nurse, , Als Talent Nurse werk je bij de Flexpool Matchpunt en kies je zelf uit wanneer en waar je werktJe hebt een bijbaan die beter betaalt dan je bijbaantje bij de supermarkt of in de horeca, , En heel fijn is dat je veel werkervaring krijgt in de zorg, waardoor je veel meer leert over je toekomstige vak, , Kijk ook naar het filmpje van",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321452819?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F85f29f31-dd21-48ea-a395-65b7d60ed3d2%3Fjid%3D593e227e6542e9c539b0dea32e6916b69097bbb92f14d1a299f280b4f555ec1c%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=MT2M&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/talent-nurse-at-carinova-2321452819?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=O4CeD9a%2FudMiq8f9y8aFuw%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
10,specialised nurse,LinkedIn,2326387387,Nurse - Parttime in Breda,Kbw2QSx9+wWcPtFPHAYIsQ==,Talent Sponsored,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Ben jij een Verzorgende IG en ligt jouw hart in de zorg Ben je op zoek naar een baan waarin jij jezelf zowel professioneel als op persoonlijk vlak kunt ontwikkelen Wil je per direct aan de slag en zelf bepalen onder welke voorwaarden Start vandaag, HOE JOUW DAG ERUIT ZIET, Als Verzorgende IG ben je samen met de medewerkers in je team verantwoordelijk voor de kwaliteit van de zorg, het woon en leefklimaat en het welzijn van de clinten Je voert verzorgende handelingen uit, signaleert mogelijke gezondheidsproblemen bij clinten en helpt met de ADLzorg Je hebt geregeld te maken met comorbiditeit, waardoor je mee moet kunnen veren met de clint Probleemgedrag leer je herkennen en kan hierop inspelen, kortom je bent meer dan een verpleegkundige, WAAR JIJ AAN DE SLAG GAAT, We hebben onder andere mogelijkheden binnen de somatiek, revalidatie, jonge dementerende, Nietaangeboren Hersenletsel Eerstelijnsverblijf, psychogeriatrische zorg en thuiszorg Jij bepaalt wat het beste bij jou past en waarvan jij gelukkig wordt Er wordt gekeken naar jouw ontwikkeling en deze wordt gestimuleerd door onze persoonlijke benadering Jij maakt cht het verschil",Part-time,https://www.linkedin.com/jobs/view/externalApply/2326387387?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMzA3MTFhZDItMmY0Yi00N2IzLTk2ZDktZWNkYWUyMmQ3OWYzIn0%2EnCB4pawFHQc26WW5TvEg3htyhoCFzxJri01bFTB0ExY%26jid%3D5b2bfa2eb8b9204e27567ee18a02a91189989c6d55d3ab871795fa6424b05ad6%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D101&urlHash=3HeD&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-parttime-in-breda-at-talent-sponsored-2326387387?refId=198daf84-6291-49de-83eb-71c474bc7b74&trackingId=Kbw2QSx9%2BwWcPtFPHAYIsQ%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-12-02
