Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,staff,LinkedIn,2321554384,Administrative Assistant - Flexible Office Homeoffice Remote,qKYluiWdTnWrJFIkE0eBNQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Public Relations and Communications'],"We are looking for a responsible Administrative Assistant to perform a variety of administrative and clerical tasks, , Duties of the Administrative Assistant include providing support to our managers and employees, assisting in daily office needs and managing our companys general administrative activities, , Administrative Assistant responsibilities include making travel and meeting arrangements, preparing reports and maintaining appropriate filing systems, , The ideal candidate should have excellent oral and written communication skills and be able to organize their work, , If you also have previous experience as a Secretary or Executive administrative assistant and familiarity within our industry, wed like to meet you, , Ultimately, a successful Admin Assistant should ensure the efficient and smooth daytoday operation of our office, , , , , Update and maintain office policies and procedures, , Submit and reconcile expense reports, , , Book travel arrangements, , , , , Working knowledge of office equipment, like printers and fax machines, , Excellent time management skills and the ability to prioritize work, , , Excellent written and verbal communication skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321554384?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F05e46f56-dbfe-441f-8a05-f8355b052e57%3Fjid%3D8dcba5bddb833ef9c6ca48b76104bc0a12c7895df465cdad3d82544d63c1d267%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Eiqs&refId=c1069451-b288-462a-8ad8-4d8f01bcb810&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administrative-assistant-flexible-office-homeoffice-remote-at-talent-2321554384?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
2,staff,LinkedIn,2319713504,Team Assistant,F/eJAVVZR4q815tL2kWAQg==,Una Collective,"Amsterdam, North Holland, Netherlands",['Civic & Social Organization'],"THE COMPANY, Una Collective is a social enterprise that advocates for gender equality and inclusivity in the Netherlands, , Una serves as a platform that fosters collaboration among women in business and culture Its a meeting point enabling disruptive dialogue among leaders and change makers, that grows womens social capital and lays a foundation for future generations to thrive",Part-time,,https://nl.linkedin.com/jobs/view/team-assistant-at-una-collective-2319713504?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
3,staff,LinkedIn,2316959628,Management Assistant,qF/3v3GrTLW+/w6N4HeCtg==,Walters People,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Banking', 'Financial Services']","Heb jij ervaring als Management Assistant of Directiesecretaresse Heb je affiniteit met kinderen en al eerder in het onderwijs gewerkt Bij een middelbare school in Amsterdam zijn wij per direct op zoek naar versterking, , Bij deze middelbare school in Amsterdam is verbondenheid belangrijk Als team help je de kinderen vooruit De huidige Directiesecretaresse vertrekt eind dit jaar, waardoor deze positie vrij komt Wij zoeken iemand die het vak beheerst en met weinig woorden uit de voeten kan, , , , , , , , , , , , , Solliciteer direct of bel mij bij vragen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316959628?url=https%3A%2F%2Fwww%2Ewalterspeople%2Enl%2Fallesecretari%25c3%25ableofficesupport%2Fvacatures%2Fpersonalassistant%2F1409520-management-assistant%2Ehtml%3Futm_source%3DLinkedIn%2520Limited%2520Listings%26utm_medium%3Dreferral&urlHash=CICs&refId=c1069451-b288-462a-8ad8-4d8f01bcb810&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/management-assistant-at-walters-people-2316959628?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
4,staff,LinkedIn,2303378807,"VFX Assistant, EMEA Originals",vux2EXe1Rl+yLOHUY5gB6w==,Netflix,"Amsterdam, North Holland, Netherlands","['Entertainment', 'Internet', 'Motion Pictures and Film']","The Role, , We are seeking an Administrative Assistant to support the EMEA Visual Effects team based out of Amsterdam This position will manage a very busy department, supporting an executive by handling incoming calls and emails, organizing meetings, managing complex agendas, and arranging travel, as well as providing departmentlevel and productionrelated support, , The successful candidate will be selfmotivated, quickthinking, and flexible They will be able to pivot when needed, and able to juggle multiple and diverse responsibilities with a strong emphasis on organization and with an unwavering attention to detail at all times This is a demanding and fastmoving position that requires someone who is a proactive and positive thinker, and able to exercise good judgment and initiative",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303378807?url=https%3A%2F%2Fjobs%2Enetflix%2Ecom%2Fjobs%2F31960455&urlHash=ASSG&refId=c1069451-b288-462a-8ad8-4d8f01bcb810&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vfx-assistant-emea-originals-at-netflix-2303378807?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
5,staff,LinkedIn,2198708298,Management Assistant,dcb3/HniT86VEwaAqUUY1Q==,FM Global,"Amsterdam, North Holland, Netherlands",['Insurance'],"Responsibilities, Analyzes complex data and prepares reports and summaries, Replies to inquiries, selecting relevant information from a variety of sources, Handles administrative details on behalf of the management uses considerable judgment and initiative to determine the approach or action to take in nonroutine situations",Full-time,,https://nl.linkedin.com/jobs/view/management-assistant-at-fm-global-2198708298?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
6,staff,LinkedIn,2324214262,Staff compilation,OYTVfZsxSLes5BhRgkQgZQ==,CROP accountants  adviseurs,"Hoofddorp, North Holland, Netherlands","['Accounting', 'Financial Services', 'Banking']","Functieomschrijving, Ons klantenpakket is divers zowel nationale als regionale klanten van diverse omvang uit de middenmarkt, actief binnen alle marktsegmenten Dit betekent dat er van jou als staff verwacht wordt dat je een brede interesse hebt en kunt inspelen op de behoeftes van verschillende type klanten Als staff verleen je administratieve diensten en stel je jaarrekeningen samen Je verricht assurance werkzaamheden, stelt belastingaangiften op en staat de junior staff bij Daarnaast verricht je ondersteunende werkzaamheden ten behoeve van de senior supervisor, , , Herken jij jezelf in bovenstaande functieomschrijving, dan maken we graag kennis met jou Daarnaast voldoe je aan de volgende voorwaarden, , , , CROP is een organisatie van registeraccountants , belastingadviseurs en pensioenadviseurs Daarnaast voorzien wij ondernemers van juridisch en HRM advies en begeleiden wij ondernemers bij verkoop of overname Wij hebben 5 vestigingen verspreid over het midden van het land Door onze organisatiestructuur combineren we de flexibiliteit van een klein kantoor met de kwaliteit en deskundigheid van een groot kantoor Onze cultuur is open, direct en informeel, Wat CROP zo anders maakt, is dat we van ondernemen en ondernemers houden Dat laatste zijn we zelf namelijk ook, inmiddels al ruim 50 jaar Onze clinten stellen onze persoonlijke aanpak, betrokkenheid en proactieve houding op prijs, , , Wij bieden jou prima marktconforme arbeidsvoorwaarden en een enthousiast team waarbinnen jij je snel thuis voelt bij CROP Herken je jezelf in het bovenstaande functieprofiel Laat het ons weten en solliciteer Wil je eerst nog meer informatie, neem dan contact op met recruiter Weijmie Roseboom recruitmentcropnl of via 033 4635727",Part-time,https://www.linkedin.com/jobs/view/externalApply/2324214262?url=https%3A%2F%2Fwww%2Ewerkenbijcrop%2Enl%2Fvacatures%2F111715-staff-compilation&urlHash=tdGl&refId=c1069451-b288-462a-8ad8-4d8f01bcb810&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/staff-compilation-at-crop-accountants-adviseurs-2324214262?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
7,staff,LinkedIn,2324322125,Business Office Assistant,s21Bk/uxSaG3bYXS92JOgA==,K3 Business Technologies,"Nootdorp, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","K3 Experience Applied, , K3 is a leading global supplier of integrated business systems to retailers, manufacturers and distributors We have over 25 years experience of delivering award winning solutions for more than 3,000 customers across 20 countries Our success is built upon world class software, tailored by our industry expertise and delivered by our world class service, , , , Due to the ongoing growth of our business and teams, the daily workload of our Business Office has been steadily increasing Business Office team in a small and international team and is a part of Project Management Office PMO, an independent quality assurance department for Service Delivery business division Daily activities of the Business Office include project administration, license management, archiving contract and project documentation and process related template creation and maintenance, and coordinating our invoicing and month end closing processes, , , , In order to deliver optimal support to the business, we are looking for a Business Office Assistant, to manage our daily administrative and inter team support needs Specific tasks and responsibilities include, , In short, you will find yourself in the heart of the operations of K3, supporting service delivery and contributing ultimately to an optimal service to our customers, , , , You must be able to work in a fast paced, dynamic environment assisting multiple people You are well organised and assertive when required You can plan and keep track of many tasks in parallel With a structured mind and capability to work independently, you look after the administrative tasks of the team, and are able to support them in their daily business, , , , , , , , , With colleagues and customers all over the world, weve created a highly dynamic and international work atmosphere The business that we are in is constantly evolving and because of this, there is always an opportunity to further your professional and personal growth, , As a K3 employee, you can count on, , At K3, we pride ourselves on offering equal opportunities regardless of race, nationality, cultural background, gender, age, marital status, maternitypregnancy status, sexual orientation, gender identity, disability, religious or political belief, , We care that our business creates a diverse and inclusive culture where everyone is respected and can be themselves We create a better and more sustainable business for our employees, our partners, the communities we work in and our customers through building nondiscriminatory procedures and practices At K3, every individual has an equal chance to apply and be selected for posts preemployment and an equal chance to be trained and promoted while employed with the organisation",Full-time,,https://nl.linkedin.com/jobs/view/business-office-assistant-at-k3-business-technologies-2324322125?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
8,staff,LinkedIn,2277288570,Tutors PPLE College,FkhfxCFLST662xekNF/N0Q==,University of Amsterdam,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Nonprofit Organization Management', 'Research']","PPLE College at the University of Amsterdam UvA offers an interdisciplinary, researchbased, English taught bachelor programme in Politics, Psychology, Law  Economics PPLE PPLE College is a collaborative effort by the Faculty of Social and Behavioural Sciences, the Faculty of Economics and Business and the Amsterdam Law School, , PPLE College offers students an academic programme focused on the challenges science and society face at the intersections of its four disciplines PPLE students learn to analyse complex societal and organizational challenges through the integration of theories and methods from Politics, Psychology, Law and Economics PPLE College is based on the following four principles, , PPLE is a selective honours programme Prospective students are selected to have a strong academic background, to be highly motivated and are from both the Netherlands and abroad The programme features an intensive tutoring system, inspiring educators and dedicated staff, , , , PPLE is looking for tutors who have an interdisciplinary background, can teach multiple classes within the first and possibly the second and third year in the relevant Majors, and are willing to contribute to the PPLE community, as well as be actively involved in our programmes extracurricular activities, , PPLE College follows the UvAs 884 schedule or block system In the 1st, 2nd, 4th and 5th block, students take two courses consecutively Per course they have 2x2 hours of lectures and 2x2 hours of tutorials per week During blocks 3 January and 6 June students take a 4 week course, , PPLE is a small scale and intensive programme Class sizes of the tutorials will not exceed 16 students and student attendance is mandatory By working together, students learn how to understand and apply course material as well as sharpen their writing, critical thinking and communication skills Tutorials therefore require the active involvement of each student PPLE College actively promotes the personal development of students and their academic competences, , In the first year, thematic courses are taught in period 1,2,4,5, the socalled Academic Core, these are flanked by research methods courses It is desirable that tutors of the academic core courses teach more than one course to ensure the coherence of the program A part of the group of tutors will also perform tasks in the area of student mentoring, , PPLE College uses a mentor system to help students with their academic progress and offer guidance throughout their degree As a core tutor, it is also a possibility to be a student mentor, , , , If you are the successful tutor, you, , , Further information, , For further information, please contact, , or, , More information and previous recommendation of the commission can be found at our website, , Our offer, , The successful tutor will be offered an initial employment contract for 6 months or one year, in principle ranging from 15,2 up to 26,6 hours per week 04  07 FTE Upon positive evaluation of the performance the contract may be extended by one or two more years Starting date is January or February 1 2021, , The gross fulltime monthly salary will be in accordance with the salary scales for Teacher 4 at Dutch universities, salary scale 10 ranging from 2,790 to 4,402 gross per month fulltime equivalent Secondary benefits at Dutch universities are attractive and include 8 holiday pay and an 83 endofyear Bonus, , The Collective Labour Agreement cao of Dutch Universities is applicable, , , , The Amsterdam Law School of the University of Amsterdam prides itself on its international orientation and strong social commitment This is reflected by both its research and educational activities The Amsterdam Law School offers three Bachelors programmes, including the interdisciplinary Englishlanguage Bachelor Politics, Psychology, Law and Economics PPLE in cooperation with two other Faculties, as well as a variety of Masters programmes, several of which are taught exclusively in English ie International and European Law, European Private Law, International Criminal Law, and Law  Finance The Amsterdam Law School prepares students for a wide variety of legal careers including law firms, government, business and industry, the national and international judiciary, public service, human rights advocacy, and academia With 5000 students and over 450 staff members, it is one of the largest law faculties in the Netherlands, , Job application, , , , If you recognize yourself in the profile and are interested in the position, we look forward to receiving your letter and CV, , You can use the link below to apply online, , The closing date is 29 November 2020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277288570?url=https%3A%2F%2Fwww%2Euva%2Enl%2Fshared-content%2Fuva%2Fen%2Fvacancies%2F2020%2F11%2F20-700-tutors-pple-college%2Ehtml%3Forigin%3DRrhWo%252FMXSgW7Uzvhwnl%252B%252Fg%26%253Futm_source%3Dlinkedin%26utm_medium%3Djobslot%26utm_campaign%3DLinkedin2015&urlHash=V9Le&refId=c1069451-b288-462a-8ad8-4d8f01bcb810&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/tutors-pple-college-at-universiteit-van-amsterdam-2277288570?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
9,staff,LinkedIn,2323308934,Office Assistant met HR en facility taken,JWqQiquMT8mMcUkVJ0iapQ==,Urban Arrow,"Amsterdam, North Holland, Netherlands",['Consumer Goods'],"Urban Arrow zoekt een, Office Assistant met HR en Facility taken, Amsterdam, 40 uur, , Zin in een uitdaging Altijd al gedroomd om de vliegende keep te worden bij de leukste producent van elektrische bakfietsen Dan Fasten your seatbelt and enjoy the ride ",Full-time,,https://nl.linkedin.com/jobs/view/office-assistant-met-hr-en-facility-taken-at-urban-arrow-2323308934?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
10,staff,LinkedIn,2257975984,Several positions for Assistant/Associate/Full professors of Operations Research/Operations Management,tqpuo9OiRDGmxGgJFJnVNg==,Vrije Universiteit Amsterdam VU Amsterdam,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Research']","Are you driven for research and teaching in datadriven operations research and operations management in a young, dynamic group Then Vrije Universiteit Amsterdam would like to get to know you Please apply at Vrije Universiteit Amsterdam, , AMSTERDAM, 08  1, , , , We seek new colleagues who can contribute to building and extending the departments reputation for excellence in research and teaching Our research aims at having impact, evidenced by publications in top international academic journals and collaborations with companies Our teaching portfolio involves a variety of quantitative courses at bachelor, master and PhD level and thesis supervision, , , , , , , , We are looking for candidates with, , , , What are we offering, We offer challenging positions in an international and ambitious research group, Depending on the candidates merits and career stage, the positions may be filled as tenured assistant professor, associate professor or full professor The initial employment contract for assistant professors will be for a period of 6 years, with the possibility of obtaining a permanent position tenure In case of excellent performance, earlier tenure decisions are possible For associate and full professors tailored contracts will be agreed upon, , Gross monthly salaries are based on qualifications and experience and are set in accordance with the Collective Labour Agreement of the Dutch Universities, Additionally, Vrije Universiteit Amsterdam offers excellent fringe benefits and various schemes and regulations to promote a good worklife balance, such as, , , , , , The ambition of Vrije Universiteit Amsterdam is clear to contribute to a better world through outstanding education and groundbreaking research We strive to be a university where personal development and commitment to society play a leading role A university where people from different disciplines and backgrounds collaborate to achieve innovations and to generate new knowledge Our teaching and research encompass the entire spectrum of academic endeavour  from the humanities, the social sciences and the natural sciences through to the life sciences and the medical sciences, , Vrije Universiteit Amsterdam is home to more than 26,000 students We employ over 4,600 individuals The VU campus is easily accessible and located in the heart of Amsterdams Zuidas district, a truly inspiring environment for teaching and research, , , We are an inclusive university community Diversity is one of our most important values We believe that engaging in international activities and welcoming students and staff from a wide variety of backgrounds enhances the quality of our education and research We are always looking for people who can enrich our world with their own unique perspectives and experiences, , , The School of Business and Economics SBE provides highquality education and excellent research in business administration and economics with a focus on contributing to the social, economic and ecological challenges of our time Whether it is the use of robots in society or big data, labour market participation or flexibility in the labour market, traffic jams or the housing market, flash crashes in the stock market or choice behaviour in gambling, leadership or change management we believe in goaloriented scientific research and understand that progress in academics, the business community and society is achieved through cooperation, openness and social responsibility, , At SBE, all of our highlymotivated colleagues work together closely in a stimulating, dynamic and international environment to achieve our collective goal of encouraging society to make informed choices Approximately 4,200 Bachelors and Masters students and 1,700 executive students are enrolled at the School, and employs roughly 500 people, , Application, Are you interested in this position Please apply via the application button and upload your your motivation letter, curriculum vitae, list of publications, and a research and teaching statement until, , , , , If you have any questions regarding this vacancy, you may contact, , Name Prof Dr Wout Dullaert, Position Head of departement of Operations Analytics, Email woutdullaertvunl, Telephone",Contract,https://www.linkedin.com/jobs/view/externalApply/2257975984?url=https%3A%2F%2Fwerkenbij%2Evu%2Enl%2Fad%2Fseveral-positions-for-assistant%2Fassociate%2Ffull-professors-of-operations-research%2Foperations-management%2Fphbcn0&urlHash=2dK5&refId=c1069451-b288-462a-8ad8-4d8f01bcb810&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/several-positions-for-assistant-associate-full-professors-of-operations-research-operations-management-at-vrije-universiteit-amsterdam-2257975984?refId=c1069451-b288-462a-8ad8-4d8f01bcb810&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
