Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,application developer,LinkedIn,2286387039,Application Developer,b7bGan52Ru2dkLGIfGmK7Q==,LeasePlan Nederland,"Almere, Flevoland, Netherlands",['Automotive'],Wil jij het beste uit jezelf halen binnen een dynamische werkomgeving Ben je klaar om jezelf en onze applicaties verder te ontwikkelen Ga dan met ons deze uitdaging aanGezocht Application Developer,Full-time,https://www.linkedin.com/jobs/view/externalApply/2286387039?url=https%3A%2F%2Fwerkenbijleaseplan%2Enl%2Fo%2Fapplication-developer-i&urlHash=IUio&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-at-leaseplan-nederland-2286387039?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
2,application developer,LinkedIn,2159886699,Developer,hGrv3ItGQF+ut1RK3++UKA==,Omniplan,"Amsterdam, North Holland, Netherlands","['Financial Services', 'Computer Software', 'Information Technology and Services']","Net Developer3240 uurTer uitbreiding van ons team zijn wij op zoek naar een NET Developer In deze rol ben je verantwoordelijk voor het ontwerpen, ontwikkelen en onderhouden van ons Personal Finance Platform Je neemt deel aan uitdagende projecten in agile teams waar je met een kritische blik en sterke probleemoplossende vermogen tot de beste oplossingen komt",Full-time,,https://nl.linkedin.com/jobs/view/developer-at-omniplan-2159886699?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
3,application developer,LinkedIn,2296800235,Application Developer I,tame0B86TcSvMZE3OVTzYA==,LeasePlan,"Almere, Flevoland, Netherlands",None,Omschrijving Wil jij het beste uit jezelf halen binnen een dynamische werkomgeving Ben je klaar om jezelf en onze applicaties verder te ontwikkelen Ga dan met ons deze uitdaging aan   Gezocht Application Developer   Wat ga jij doen LeasePlan Nederland is de grootste leasemaatschappij in Nederland De tevredenheid van de klanten en berijders van onze autos staat hoog in het vaandel Dat bereiken we met gedreven en betrokken medewerkers Ondersteuning vanuit de systemen en applicaties is hierin cruciaal De lease wereld is continue in beweging Traditionele brandstoffen worden steeds sneller vervangen door elektriciteit en waterstof Dit merken we in ons wagenpark maar ook in de maatregelen die de overheid neemt Klanten en berijders willen steeds meer online zaken doen Dat alles vraagt continue aanpassing en verbeteringen van onze applicaties Die applicaties hebben we in eigen beheer en de ontwikkeling doen we zelf Op de afdeling Application Development werken ontwikkelaars met verschillende skills in multidisciplinaire scrumteams Software leveren we op in 2 wekelijkse sprints Op termijn zullen we overgaan naar een nieuw systeem maar de komende jaren zullen we onze huidige applicaties nog moeten door ontwikkelen Daarbij kunnen we versterking gebruiken We zijn op zoek naar ontwikkelaars met kennis van Java en Java script frameworksVereisten Om de functie van Application Developer goed uit te kunnen voeren zijn wij opzoek naar een ontwikkelaar die minimaal 3 tot 5 jaar ervaring heeft met het ontwikkelen van applicatie en hierbij bekend is met de volgende programmeertalen,Full-time,https://www.linkedin.com/jobs/view/externalApply/2296800235?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fapplication-developer-i%3A44165989%2F&urlHash=br0F&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-i-at-leaseplan-2296800235?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
4,application developer,LinkedIn,2218841719,Application Developer,dc2iTuXUTUalugwHvyzNvQ==,Prometheus Group,"Dordrecht, South Holland, Netherlands",['Computer Software'],"Company OverviewWe are a funloving, hardworking group of people who enjoy winning as a team Are you an applications developer with experience in developing enterprise software Then we are looking for you Roser ConSys BV is a subsidiary of the American based Prometheus Group and offers a best in class software solution to manage factory stops Turnarounds in an efficient, highquality, and secure manner Our software is mainly used in the petrochemical industry We have a portfolio of applications that support different aspects of maintenance processes In the Netherlands we have two offices, your new job location will be in Kerkrade or in Dordrecht",Full-time,,https://nl.linkedin.com/jobs/view/application-developer-at-prometheus-group-2218841719?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
5,application developer,LinkedIn,2313711442,Senior Application Developer,oyZaMwj9TGSD3MpHWezMlw==,Internet Society,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Nonprofit Organization Management', 'Computer Software']","About The Internet SocietyThe Internet Society is a global nonprofit organization that works to protect the Internet as a place of opportunity We connect and empower communities to ensure the Internet remains trustworthyopen, globally connected, secure, and a resource for good in the world We believe the Internet is for everyone But its more than just a privilege its our responsibility to improve itWe mobilize technologist, end users, potential users, policymakers, government agencies and institutional and corporate partners to defend and promote the collaborative internetworking, technical standards, and protocols that grow and strengthen the InternetIf you believe in the power and possibility of the Internet, be part of our missionReporting to the Resource Director, the Senior Application Developer is part of the Internet Societys Subject Matter Expert Team focusing on project work to advance ISOCs goals and missionThe Senior Application Developer will work on web frontend development, database development and data transformation The successful applicant will contribute to projects that measure and analyze specific aspects of global Internet usage, protocol adoption, and routing security and will do so by developing and supporting the infrastructure of the internal and externally facing tools used by these projectsSee sample project httpsobservatorymanrsorgoverviewWe are looking for candidates that have experience in leading initiatives, such as planning, designing and implementing a complete system from scratch, or had ever had to take the initiative to redesign parts of an existing system Does this sound like youThis is a 2 year employment termCompensation and benefit package for this position will be competitively commensurate with the successful applicants qualifications Applications will be evaluated until the position has been filledThe list of applicants will not be posted publicly and will be reviewed in confidence by members of the evaluation committee",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313711442?url=https%3A%2F%2Fwww%2Eidealist%2Eorg%2Fen%2Fnonprofit-job%2F99dc40844e1f46388cf44ebda574ab59-senior-application-developer-internet-society-amsterdam&urlHash=49vv&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-application-developer-at-internet-society-2313711442?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
6,application developer,LinkedIn,2201809090,Senior Application Developer,kLPzTEZoRW+8fsCGkDuFhQ==,Liberty Global,"SchipholRijk, North Holland, Netherlands",['Telecommunications'],"Hello, WorldLiberty Global is one of the worlds leading converged video, broadband and communication companies, with headquarters in London, Amsterdam and Denver and operations in 6 European countries under the consumer brands Virgin Media, Telenet and UPCOur substantial scale and commitment to innovation enable us to develop marketleading products, delivered through nextgeneration networks that connect over 10 million customers subscribing to more than 25 million TV, broadband internet and telephony servicesWe have a strong customer focus along with a track record for delivery highquality solutions using the latest technologies, and as such, we are looking for a likeminded Senior Applications developer to join our teamYoull be primarily working with Dart  Flutter in this role and will be working on a new greenfield project, in which we are looking to build out a single crossplatform mobile application that is able to cover IOS, IPadOS, tvOS, watchOS, Android, Web, AndroidTV and othersWorking as part of an agile development team, youll be responsible for requirements review  improvement, software design, implementation, testing and debugging with typical feature areas including Linear TV, Video on Demand, TV guide, Download2Go content and OTT streaming linear, VOD, and recordings, all whilst working in close cooperation with the backend and video streaming dev teams, UXUI design and Product teamsHaving exposure to Dart  Flutter is a huge plus, however, it is our belief that good App Developers are able to pick up new languages and frameworks quickly With that in mind, we typically hire people who have",Full-time,https://www.linkedin.com/jobs/view/externalApply/2201809090?url=https%3A%2F%2Flibertyglobal%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FLiberty_Global_Careers%2Fjob%2FSCHIPHOL-RIJKBoeing-Avenue-53%2FFront-end-Development-Lead_REQ_00011493-1%3Fsource%3DLinkedin&urlHash=9I9_&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-application-developer-at-liberty-global-2201809090?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
7,application developer,LinkedIn,2272611842,developer opsporingsapplicaties,E2e528fNSi6c+hc/BxPXnA==,Politie Nederland,"Utrecht, Utrecht, Netherlands","['Law Enforcement', 'Public Safety', 'Security and Investigations']","Team Digitale Opsporing TDO Midden Nederland zoekt een ICTspecialist die voor de digitale opsporing applicaties ontwikkelt en programmeert Het TDO vormt de pijler en de basis van het digitaal specialisme, waar de eenheid in complexe rechercheonderzoeken een beroep op kan doen Ook ondersteunt het team de digitaal rechercheurs in de districten met specialistische kennis enof uitrusting Het team wordt gevormd door ICTers met verschillende specialisaties zoals automotive, video, internet, data analyse, mobile forensics, embedded systemen en minder courante besturingssystemen Wil je je als ICTer een bijdrage leveren aan een veiliger maatschappij Solliciteer dan op deze boeiende vacature en draag bij aan de opsporing van strafbare feitenAls ontwikkelaar pas je, zelfstandig of in teamverband, bestaande software aan, en ontwerp en realiseer je ook nieuwe applicaties Je begeleidt complexe ontwikkelingen voor technische informatiesystemen op het gebied van digitale opsporing Je komt te werken bij het Team Digitale Opsporing van de eenheid MiddenNederland In dit team werken, digitaal rechercheurs, data engineers en data scientistsAls lid van dit team zet jij je kennis en vaardigheden in om de wereld een stukje veiliger te maken Als ontwikkelaar ben jij een van de operationeel specialisten die het mogelijk maakt dat de onderzoeksteams hun werk zo veilig, efficint en betrouwbaar mogelijk kunnen uitvoerenHet is ook mogelijk dat je wordt ingezet in de operatie bijvoorbeeld wanneer de nieuwe softwareapplicatie die je hebt ontwikkeld, voor het eerst wordt ingezet Dan wel dat je gezamenlijk met je collegas ingezet wordt om in de operatie digitale sporen op een forensische juiste wijze veilig te stellenJouw werkzaamheden op een rijTDO maakt onderdeel uit van Dienst Regionale Recherche van de Eenheid Midden Nederland en ondersteunt alle operationele politieteams in de eenheid met specialistische kennis enof uitrusting Het team in Utrecht gaat bestaan uit ongeveer 30 fte en kent meerdere hoofdtaken forensisch, digitaal en internet onderzoek, de inzet van IT binnen speciale operaties en de aanpak van cybercrime Het team bestaat uit een mix van collegas met een recherche achtergrond en ITers Binnen het team zijn verschillende specialisaties aanwezig zoals automotive, internet, dataanalyse, mobile forensics, netwerken, blockchain, hardware hacking, embedded systems, telecom en IoT TDO maakt deel uit van een landelijk netwerk van specialisten op jouw vakgebied TDO Midden Nederland is aan het groeien en zal in juli 2020 in een volledig vernieuwde werkomgeving in Utrecht zijn intrek nemenJe beschikt over een flinke dosis analytische vaardigheden, kunt analyses omzetten in concrete oplossingen en handelt en communiceert tactvol Feiten kun je helder en gestructureerd vastleggen en presenteren Je signaleert kansen en bent alert op trends en ontwikkelingen Daarbij ben je creatief en in staat om outsidethebox te denken Ook kun je goed hoofd en bijzaken onderscheiden en breng je informatie uit diverse bronnen met elkaar in verband Je bent klantgericht, creatief, proactief en op de juiste momenten zeer nauwkeurig Je pakt zaken graag aan en geeft niet snel op Je kunt goed samenwerken met collegas uit verschillende disciplines en bent in staat om collegas te coachen en begeleiden Ten slotte vind je het geen probleem om piketdiensten te draaienDaarnaast beschik je overDe standplaats is Utrecht en er is ruimte voor 1 fteOm deze functie goed uit te kunnen voeren volg je aan de Politieacademie de opleiding voor specifieke inzetbaarheid met eventueel aansluitend een voor de functie benodigd aanvullend opleidingsprogrammaTijdens deze verkorte politieopleiding word je tijdelijk aangesteld als ambtenaar in opleiding Na het voltooien van de opleiding bieden we je een tijdelijke aanstelling aan, waarbij een proeftijd van n jaar van toepassing is Na deze proeftijd volgt zo snel mogelijk een vaste aanstellingVerder kun je het volgende van ons verwachtenDe formele functie binnen het functiegebouw van de politie is operationeel specialist B , werkterrein digitale expertiseBel of mail met Sander Kooy, 06  53 12 69 20, sanderkooypolitienl  als je meer informatie over de functie wilt hebbenVoor vragen over de sollicitatieprocedure bel of mail je met Paul Kraakman, ICT recruiter 06  10 46 38 68, paulkraakmanpolitienl Solliciteer uiterlijk 25 november 2020 via de sollicitatiebutton",Full-time,https://www.linkedin.com/jobs/view/externalApply/2272611842?url=https%3A%2F%2Fkombijde%2Epolitie%2Enl%2Fvacatures%2Fdeveloper-opsporingsapplicaties_2596869%2Ehtml&urlHash=bLDo&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/developer-opsporingsapplicaties-at-politie-nederland-2272611842?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
8,application developer,LinkedIn,2305861607,Application Developer - Amsterdam,9P+gPEetR7qSOejugjwNOw==,IT recruitment company,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","FunctieApplication DeveloperAanvraagnummer93987ExpertiseC, SQL, ASPNET, JavaScriptRegioAmsterdamStartdatumASAPDuurVast dienstverbandWerkzaamhedenThe Application Developer takes care of the development and maintenance of Business applications within the organisation Problems or incidents regarding the applications are taken up and solved effectively by the Application DeveloperMain responsibilitiesSoftware Development Maintain smooth operation of applications and design, develop and implement new applications and new application functions to improve efficiency and effectiveness of operations and to gain competitive advantage Software Incident  Problem management Deliver effective and efficient support to users having incidents or problems regarding applications Ensure the participation of 2nd or 3rd line support if needed Keep Clientele related documentation uptodate Continuous improvement Signal and take action upon malfunctions in processes and procedures and propose improvementsJob requirementsDegree in Computer science or Information Systems or related field Experience in customer contact applications and technology Minimum of 5 years experience working in application development Deep understanding and experience with JavaScript required Good understanding of advanced JavaScript libraries and frameworks such as AngularJS  ReactJS Experience in frontend technologies such as HTML5 and CSS3 General knowledge of or experience in EGlue, SQL, DLL, SOAP, XML, WSDL, C, ASPNET Experience with software development methodologies A good working knowledge of current commodity ICT applications and systems Good communication skills in English written and spokenCompetenciesBuilding  maintaining relationships Planning  organising Analysis  problem solving Communication skills Cross functional awareness Initiative Persuasiveness Drive  execution",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305861607?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0a38a951dfe7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadfadddedd8cadffdd7addbgddfaadcfada3aebcdc9fec3ddcg3e&urlHash=X_2Z&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-amsterdam-at-it-recruitment-company-2305861607?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
9,application developer,LinkedIn,2294495724,"Software Engineer, Platform",5O5y6ECpQUmxfBl01rJ8Qw==,GitHub,"Amsterdam, North Holland, Netherlands",['Computer Software'],"GitHub is looking for a talented Software Engineer to join our Platform Team in the Development Lifecycle organizationOur team is responsible for building and maintaining GitHubs runtime platform This platform enables developers to easily build, deploy and manage the hundreds of applications that make up the worlds largest code hosting platform On the Platform team, youll work with and learn from highly experienced engineers across the entire engineering organization Youll collaborate with product, design and more to deliver the best possible developer experience for all engineers here at GitHubThis team and its parent Development Lifecycle organization are highly distributed across the US  Europe, and span a variety of diverse backgrounds We recognize the value this diversity brings to our teams and our products, so creating and maintaining an environment where every individual feels safe to bring their unique perspective to the challenges were solving is important to usGitHub is the developer company We make it easier for developers to be developers to work together, to solve challenging problems, and to create the worlds most important technologies We foster a collaborative community that can come togetheras individuals and in teamsto create the future of software and make a difference in the worldCustomer Obsessed  Trust by Default  Ship to Learn  Own the Outcome  Growth Mindset  Global Product, Global Team  Anything is Possible  Practice KindnessAt GitHub, we constantly strive to create an environment that allows our employees Hubbers to do the best work of their lives Weve designed one of the coolest workspaces in San Francisco HQ, where many Hubbers work, snack, and create daily The rest of our Hubbers work remotely around the globe Check out an updated list of where we can hire here httpsgithubcomaboutcareersremoteWe are also committed to keeping Hubbers healthy, motivated, focused and creative Weve designed our topnotch benefits program with these goals in mind In a nutshell, weve built a place where we truly love working, we think you will tooGitHub is made up of people from a wide variety of backgrounds and lifestyles We embrace diversity and invite applications from people of all walks of life We dont discriminate against employees or applicants based on gender identity or expression, sexual orientation, race, religion, age, national origin, citizenship, disability, pregnancy status, veteran status, or any other differences Also, if you have a disability, please let us know if theres any way we can make the interview process better for you were happy to accommodatePlease note that benefits vary by country If you have any questions, please dont hesitate to ask your Talent Partner",Full-time,,https://nl.linkedin.com/jobs/view/software-engineer-platform-at-github-2294495724?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
10,application developer,LinkedIn,2255874461,Developer,4IZqBQYDRoeNXoEawFoTFw==,MYPO LIMITED,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","We are a growing startup in, in the pocess of developing a smart parcelbox and IoT PaaS, located close to the Amstelstation in Amsterdam We are looking for a self motivated and responsible developer who thrives on freedom and enjoys working in an agile startup environmentYou have a Masters Degree or equivalent and several years of experience in development using modern frameworks You have worked with ReactNative, React or Angular, Node and Rails and have experience with REST, protocols and integrating 3rd party APIs You are proficient with LinuxUnix environments You have excellent English communication skills and are based in the Netherlands, preferably around AmsterdamAs a full stack developer you will be joining our development team to build our IoT platform Youll collaborate with our CTO and backend and frontend developers, and work on various aspects of our code and infrastructure You will mostly work in the development of our FrontEnd apps, but you will also build microservices in Nodejs and Rails and continuously deploy to our infrastructure on Google CloudMYPO is a smart parcelbox that allows consumers to receive and return packages effortlessly  However, the company is not a parcelbox manufacturer, we leave that to our production partners Our company is a techstartup, the core of our business is the combination between our cloud platform that connects carriers and consumers, and our smartlock The lock can be used for all types of parcelboxes, for example builtin models in new buildings, or a steel box in the garden The MYPO app than sends the relevant tracking information to the smart lock, receives notifications when a package is delivered and lists all of your online ordersNo longer than a year and a half ago MYPO was just an idea, born out of our own personal frustration with receiving packages Additionally, we believe that MYPO can bring a revolutionary change to the delivery industry With a smart parcel box, it is possible to deliver packages at night, when cities are empty, and deliveries are more efficient and less pollutingSince we started in 2015, we have developed several prototypes and produced our first pilot series Everything has been developed inhouse from the PCB design and firmware to the cloud platform During the past six months we ran a pilot in Rotterdam for the first 25 users together with our partners DHL and KPN The results were positive and consequently MYPO received an investment of 500000 euro for bringing our technology to the market There is currently a lot of interest from corporates as well as municipalitiesIn 5 years, MYPO will be the number 1 supplier of Smart Parcel Lock solutions hardware, application and platform In addition to selling our own Parcelbox, we provide and integrate our technology with various construction companies house front models and parcelbox manufacturers All this while bearing in mind that we want to contribute to the creation of a delivery system which is easy to use for consumers and carriers and less damaging for environment The first step is to extend the team and develop a marketable platform, smart lock and customerfriendly app",Full-time,https://www.linkedin.com/jobs/view/externalApply/2255874461?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-6893197156528060503%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=hasf&refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/developer-at-mypo-limited-2255874461?refId=db233c52-c06c-47aa-82ee-c62d23b6e8f8&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
