Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,author,LinkedIn,2277185351,Technical Author,jnbOdhPvQOuoy6Iel66OzA==,ASML,"Veldhoven, North Brabant, Netherlands","['Mechanical or Industrial Engineering', 'Nanotechnology', 'Semiconductors']","IntroductionDo you know how to transform complex hightech information to small and understandable steps with clear illustrations Are you an expert at structuring texts and writing in accordance with standards Then you are the Technical Author we are looking forScope of the roleYou will create or edit all technical documentation Procedure, PCS, DDF, FCO, Newsflash, comments, etc for Equipment and Manufacturing Engineering and be the main interface for all authoring related issues, tooling and processesYou will be working in the department MSD DUV Industrialization, where you are responsible to create and maintain the technical communication needed to build and service our machines in the factory and field, based on the input of the manufacturing and equipment engineers Your support structurally improves the quality and usability of our proceduresMaster or bachelor degree, preferably in a technical areaThe goal of Manufacturing and Equipment Engineering is to industrialize ASML products while development is ongoing This means thinking about the manufacturing environment, the use and maintenance at the customer site, and to take into consideration lessons learned from the past If we focus on product industrialization early, we can prevent most of the manufacturing and quality problems in our factory as well as at the suppliers and even improve our delivery time The role of the Technical Author is to work as a team with DE, CS, Manufacturing, Sourcing to deliver on time and at the right level of qualityHigh quality people are a key asset to our company To recognize that, we offer highly competitive compensation and benefits packages to attract and retain the very best people and let them share in the success that they build Our rewards philosophy is to attract and retain specific professional knowledge and competencies within the company by offering a competitive package in local markets where ASML is activeThis position requires access to US controlled technology, as defined in the United States Export Administration Regulations Qualified candidates must be legally authorized to access such US controlled technology prior to beginning work Business demands may require ASML to proceed with applicants who are immediately eligible to access US controlled technology",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277185351?url=https%3A%2F%2Fwww%2Easml%2Ecom%2Fen%2Fcareers%2Ffind-your-job%2F2%2F0%2F1%2Ftechnical-author-req20185%3Fppc%3DJBP-181&urlHash=HnZ1&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-author-at-asml-2277185351?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
2,author,LinkedIn,2268738421,Technical Author,i87hRYh5SS+b4GXAsnD/zg==,Etteplan,"Soesterberg, Utrecht, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Information Technology and Services', 'Machinery']","Zoek jij veelzijdigheid en diversiteit in de volgende stap van je carriere En ben jij graag bezig met de nieuwste producten en technologische ontwikkelingen Kun jij jargon vertalen in begrijpelijke instructies Wij zijn op zoek naar jouVoor onze locatie in Soesterberg zijn we op zoek naar enthousiaste collegasElke handleiding bij Etteplan is anders Als Technical Author bij Etteplan  Triview schrijf je documentatie voor installatie, gebruik en onderhoud van producten in de breedste zin van het woord van een kinderwagen tot een vliegtuig Je zorgt ervoor dat technische kwesties duidelijk en begrijpelijk worden weergegevenEtteplan is specialist op het gebied van technische documentatie en je werkt veelal voor verschillende opdrachtgevers Je maakt deel uit van een team waarbij jij als Technical Author de rol van projectleider op je neemt Je cordineert de projecten van begin tot eindJe onderhoudt contact met klanten, verzamelt en bestudeert informatie over de te beschrijven producten, bereid illustraties voor, verzorgt de leveringen en je hebt een adviserende rol naar de klant toe Als projectleider informeer je de interne organisatie over de projectvoortgang en ben jij daarbij verantwoordelijk voor de bewaking van budgetten en deadlinesKortom, samen met gemotiveerde en leuke collegas vervul je een centrale rol in het creren van technische documentatie Dit kan zowel bij ons op kantoor als op locatie bij een van onze opdrachtgeversVind jij het leuk om een brug te slaan tussen taal en techniek Kun jij jargon vertalen in begrijpelijke instructies Wij zijn op zoek naar jouAanvullende eisenDe volgende persoonlijke kenmerken passen bij jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2268738421?url=https%3A%2F%2Fcandidate%2Ehr-manager%2Enet%2FApplicationInit%2Easpx%3Fcid%3D1522%26ProjectId%3D147369%26DepartmentId%3D18991%26MediaId%3D5&urlHash=BF_1&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-author-at-etteplan-2268738421?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
3,author,LinkedIn,2278403884,RFP Writer,rYxjv2SESS2JFdgoyyyp2Q==,NN,"The Hague, South Holland, Netherlands",['Writing and Editing'],"Your impact as a Junior RFP Writer at NN Investment PartnersWhen it comes to Asset Management, investment specialists and sales professionals are the colleagues appointed to discuss the chance of a deal You collect complex information and are then able to translate it into comprehensible text for customers You write clearly and precisely, but also with irrefutable authority and expertise You tell the customer exactly how the issues surrounding risk and compliance work This gives prospective clients the confidence to trust and work with NN IP Already somewhat of an expert in your field, you are constantly learning more by collaborating with writers and colleagues from other teamsYou will work with us toAs an RFP Writer, collaboration is critical If you do not involve the right colleagues, you will miss crucial information You are part of the RFP Services  Investment marketing team, which is part of the marketing department within NN Investment Partners Together you are responsible for the commercial positioning of our investment strategies and of different capabilities of NN IP as a whole You will deal with high quality Request for Proposals RFPs and Due Diligence Questionnaires DDQs from international prospects  clients, with the aim to contribute to the commercial success of the organization The team consists of 10 professionals six RFPDDQ writers, two Data analysts and two investment marketersWe also care about youJust as you as our RPF Writer indirectly care for our customers, we also take care of you With great development opportunities and a pleasant working environment, you will have good reason to find going to work every day a pleasureClear conditionsWe offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days You will receive your holiday allowance and 13th month with your salary every month, without restriction and readily available to you As a RFP Writer, you will work from our beautiful office located in The Hague, which offers an easy connection via the A12",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278403884?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fd7f10c83-1cec-4406-9a9b-7d3c5e5549b0%3Fjid%3D8fa3656daa665216c9aaf748774abdef7342c17ea53c3a7ff94bdfdbfbc1b362%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=ArJb&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rfp-writer-at-nn-2278403884?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
4,author,LinkedIn,2305901604,RFP Writer,vuXhovpaR7G7gpkR1AnEWQ==,Aegon Asset Management,"The Hague, South Holland, Netherlands","['Banking', 'Financial Services', 'Investment Management']","Are you seeking a career in an inspiring, international and entrepreneurial environment Aegon Asset Management should be your next employer We are looking for an RfP Writer to join our team in The HagueAs RfP Writer at Aegon Asset Management you will coordinate and prepare Requests for Proposal RfPs RfPs are comprehensive and complex lists of questions on the company and its investment products You will be part of our global RfP team that operates from our different office branches across Europe and the USAs RfP Writer you are an essential element of the sales process By working together with sales, client service, product specialists, compliance, legal and operations specialists across the firm, you will collect information and gather knowledge You will tailor it to fit the requirements of the requests you receive You will make sure the content is of the highest quality and is consistent with our corporate messaging You will also be the first point of contact for contentrelated support for our international sales teamsWe are looking to enhance our team and need someone who is analytical and creative You have proven affinity with and understanding of investment products You are aware of the information clients and prospects require and are able to present this information in a concise and commercially convincing mannerAegon Asset Management is a globally operating asset manager We employ 1200 professionals worldwide and manage 340 billion serving institutional, intermediary and retail clients in Europe, NorthAmerica and Asia We are part of Aegon, one of the worlds leading financial services organizations, providing insurance, pension and asset management servicesInterested in the position Apply directly by clicking the button belowFor further information regarding this position, please contact Dave Heilbron, Talent Acquisition Manager 3106 83254497 or daveheilbronaegoncomAn assessment, integrity test andor writing test could be part of the selection procedureAll responses will be treated confidentially",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305901604?url=https%3A%2F%2Fcareers%2Eaegon%2Ecom%2Fen%2Fvacancies%2Fthe-netherlands%2Fthe-hague%2Fasset-management%2Frfp-writer%2F&urlHash=btDD&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rfp-writer-at-aegon-asset-management-2305901604?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
5,author,LinkedIn,2222438475,Technical Writer (IntelliJ IDEA),MEeUXGMITXO4EBbbNH8GeA==,JetBrains,"Amsterdam, North Holland, Netherlands",['Computer Software'],"JetBrains delivers intelligent software solutions that make developers more productive by simplifying their challenging tasks, automating the routine, and helping them adopt the best development practicesResponsibilities",Full-time,https://www.linkedin.com/jobs/view/externalApply/2222438475?url=https%3A%2F%2Fwww%2Ejetbrains%2Ecom%2Fcareers%2Fjobs%2Ftechnical-writer-491%2F&urlHash=khJD&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-writer-intellij-idea-at-jetbrains-2222438475?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
6,author,LinkedIn,2289692831,Technical writer,WDSlPhcNTu60pdBY6uKImA==,Uitzendbureaunl,"Drachten, Friesland, Netherlands","['Automotive', 'Machinery', 'Staffing and Recruiting']","Technical writerAre you a multitasker who likes to work on several projects at the same timeDo you have good planning skills Do you stay in control and keep your cool under pressureIf the answer is Yes, this might be the job for youAs a technical writer, you are responsible for the creation of user manuals for different product categories within Philips Personal Health In this role, 80 of the communication is in English The two main aspects of user manual creation are content and planning Together with Innovation, Engineering, Product Research and Marketing, you convert the input provided into a clear English user manuals and other digital content Where possible, you use existing texts and pictures to create new media contentIn parallel you are cocreating online support pages by providing knowledge articles and other relevant post purchase user content For this task you will closely work together with the Consumer Care team DMEC teamAs a technical writer, you will be working on several projects at the same time Within the project team, it is your responsibility to ensure that the artwork of the user manual is delivered before the set deadline You are also responsible for uploading user manuals onto the Philips website In your workrelated contacts, you are businesslike and professionalCreating wellstructured and clear user contentWriting user manual texts on the basis of guidelines and a style guideEnsuring compliance with international legal standardsGiving instructions to and managing external contacts illustrators, translation agency and DTP agencyMonitoring deadlinesAdvise and support other departments within Philips to create accurate, compliant and userfriendly contentHBO bachelor level diploma, or MBO4 diploma with work experience in office or project managementGood planning and organization skills ability to keep an overviewFamiliarity with Authorit is an advantageExcellent command of English in writing and speechProactiveAccurate and consistentGood interpersonal skillsStress resistant able to handle several projects with short deadlines simultaneouslySalary indication 15 gross per hourWorking hours 3240 hours per weekWe offer a job in a dynamic and innovative work environment in Philips with plenty of development opportunitiesIf you are interested, apply for this job by clicking the application button We look forward to receiving your resume and motivationUiteraard staat deze vacature open voor iedereen die zich hierin herkentOpleidingMBO",Full-time,https://www.linkedin.com/jobs/view/externalApply/2289692831?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F830799007411632354%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Q5K9&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-writer-at-uitzendbureau-nl-2289692831?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
7,author,LinkedIn,2289626903,Technical Writer,hApbrO3mRfGWGj7odStTIw==,Nearfield Instruments BV,"Rotterdam, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Computer Software', 'Mechanical or Industrial Engineering']","Nearfield Instruments brings together the most creative minds in science and technology to develop a revolutionary high throughput atomic force microscopy AFM system, enabling atomscale resolution 3D metrology at industrylevel throughput We design, develop, integrate, market and service these advanced metrology machinesAs a Technical Writer you will be responsible for generating a large variety of technical documentation for NFI products users but also for NFI engineering teams This can be operations manuals, maintenance  service manuals, SW release updates, product catalogs to official governmental related acceptance documentation But also specific internal safety protocols to be followed by our engineering teams during integration and testing in our factory and work instructions used during installation and service at our customer sitesIt is required that the Technical Writer has good linguistic skills but also very much affinity with high tech products, preferably within the semiconductor industry As such, is familiar with the SEMI norms as well as the very strict safety regulations in the industry But also understand that user manuals, service manuals of this kind require very accurate description of the dos and dontsThe Technical Writer works with the MAIT engineers from the different subsystems, system integration and system function projects He or she collects, understands and translates the proper required technical information into the easier understanding of safe machine operationIt is really a must that the Technical Writer takes the responsibility to get the documentation written as complete and correct as possible by consulting the correct stakeholders and secure a proper review and acceptance of the written documentationThe technical author reports directly to the MAIT team lead and works within the project scope Furthermore, you need to recognize yourself in the profile as described belowBesides a technically challenging role where you can utilize the full extend of your professional knowledge, we value your worklive balance and the time for some relaxation Boost your energy by playing a match of table tennis or clear your mind during our weekly run with colleaguesWe rely on each others qualities, capabilities and we motivate one another to get the best out of ourselves and each other We are here to support one another, and colleagues are there to help you TEAM is very important, Together Everyone Achieves MoreWe look forward to hear from youIf the above mix of technical and personal challenges excites you, we encourage you to send us your details using the Apply now button If you have any questions before applying or would like to have a general conversation about Nearfield Instruments, you can contact our Recruiter, Harald van Klaveren on haraldvanklaverennearfieldinstrumentscom or 3106 1464 7117",Full-time,https://www.linkedin.com/jobs/view/externalApply/2289626903?url=https%3A%2F%2Fcareers%2Enearfieldinstruments%2Ecom%2Ftechnical-writer%2Fen&urlHash=HEBf&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-writer-at-nearfield-instruments-b-v-2289626903?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
8,author,LinkedIn,2254220267,Vacature Auteur Java,ssG4dJIKSberzl6XE/1yoQ==,NHA,"Panningen, Limburg, Netherlands",['Information Technology and Services'],Details van de functieAuteur JavaNHA is op zoek naar een enthousiaste auteur voor het ontwikkelen van lesmateriaal voor de cursus Java Taken Het ontwikkelen van een cursus Java We willen een studiewijzer ontwikkelen voor bij het boek Programmeren in Java met BlueJ Het nadien corrigeren van huiswerk is wenselijk maar geen verplichting Profiel U heeft  ruime ervaring met Java  ruime ervaring als docentauteur in het vakgebied  ervaring met het vormgeven en schrijven van lesmateriaal  bij voorkeur affiniteit met afstandsonderwijs  een goed inlevingsvermogen  uitstekende communicatieve en schriftelijke vaardigheden  het vermogen om flexibel en accuraat te werken Geboden   Een passende vergoeding voor het ontwikkelen van de cursus en een blijvende bijverdienste als u ook kiest om nadien het huiswerk na te kijken  Een flexibele freelance functie die prima te combineren is met een andere baan Herkent u zich in dit profiel en spreekt de taakomschrijving u aan Stuur dan uw motivatiebrief met cv naar stuur een email  Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteldGerelateerde opleidingencursussen aan de sectoren van deze vacature,Full-time,https://www.linkedin.com/jobs/view/externalApply/2254220267?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4725623635811818046%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=lkTJ&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacature-auteur-java-at-nha-2254220267?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
9,author,LinkedIn,2294900301,Software Engineering Writer,ItBuw9G/SMeZ1s6why4EJg==,Hire Digital,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","A technology client is seeking a Freelance Software Engineering Writer to generate engaging, original content on software topics You will research topics and develop content around trending software technologies that enterprises would be interested in You will have to bring an authoritative understanding of these topics, with the ability to explain things in a way that both a highly technical and entrylevel person will understand You should be creative, adaptable, and analytical with excellent writing skills and a unique voiceThis is a remote position We welcome candidates from any location Resumes are to be submitted in English We do not provide visa sponsorship at this momentHire Digital is a freelance network of top talents in digital marketing, web development, and design Our clients work with high performing teams as well as individual talents who have gone through a rigorous screening process Clients such as Shopify, Expedia, and Stripe have access to high performing talents ondemand, with guaranteed performancePowered by JazzHRIE6WzMbYu9",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294900301?url=http%3A%2F%2Fengagements%2Ehiredigital%2Ecom%2Fapply%2FIE6WzMbYu9%2FSoftware-Engineering-Writer%3Fsource%3DLILI%23IE6WzMbYu9&urlHash=ThSd&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-engineering-writer-at-hire-digital-2294900301?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
10,author,LinkedIn,2305857590,Auteurs voor Nectar,SbSbrZiJSY+kFEVTDtjBaw==,Noordhoff,"Groningen, Groningen, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Auteurs gezochtVindt u het leuk om actief en op een andere manier met uw vak bezig te zijn Om samen te werken met collegas van andere scholen in het land En om materiaal te ontwikkelen voor heel Nederland Dan is auteurswerk bij Nectar wellicht iets voor uNoordhoff Uitgevers zoekt enthousiaste, ervaren en beginnende docenten biologie die graag als auteur een bijdrage willen leveren aan goed online lesmateriaalBelangrijke eigenschappen voor potentile auteurs zijn creativiteit en nauwkeurigheid De ontwikkeling van het lesmateriaal vindt in een team plaats",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305857590?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D08d13de83abe%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd8eadccddfedddaadcbadbgdd8adddfadf3aeecacbfec3ddcg3e&urlHash=8yFO&refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/auteurs-voor-nectar-at-noordhoff-2305857590?refId=0f191a08-71d8-4de3-aea9-c89ba5a3841f&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-13,2020-11-18
