Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,doctor,LinkedIn,2278037648,Doctor,k4EwftsiT7Wsvj/jOfxPpg==,FCS,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"WV MEDICAL DIRECTOR OPPORTUNITY AVAILABLE NOWThe opioid epidemic in the US is growing at a very rapid pace, and West Virginia is no exception I have a client who is opening a new 48 bed topnotch treatment facility in an excellent area in West Virginia, near Maryland, and were seeking a Medical Director starting in August MonFriday, 40 hours per week Medical Director will lead, manage, and supervise the medical team to assure the highest quality of patient care WV license and full unrestricted DEA is required, with Suboxone certification a plusThe facility is conveniently located about an hour and a half from DC and Baltimore Enjoy a low cost of living and a beautiful area, while still being close to just about anything youd want or need Salary will be negotiable, based on experience and credentials, and an excellent benefits package This is YOUR opportunity to make a difference",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278037648?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fef08d739-d58f-4e75-91ef-37e54f80a939%3Fjid%3D1bef4d26c524ab05733d06def26b423c0f78c198d2a321fa425052b4c5055a8a%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=n95g&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/doctor-at-fcs-2278037648?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
2,doctor,LinkedIn,2315130129,Directeur Dr. Rijk Kramerschool,aYp1GahFQF6mgJN+AYrXjA==,Nederland Vacature Groep,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","BedrijfsprofielDe Dr Rijk Kramerschool is een basisschool met twee locaties, aan de rand van de Jordaan in de Hugo de Grootbuurt, waar eigentijdse opvattingen over onderwijs aan kinderen van vier tot twaalf jaar zo goed mogelijk in praktijk worden gebracht De kindgerichte werkwijze vraagt van de leerkrachten veel onderling overleg Wij geven onderwijs aan jonge leerlingen vanuit onze visie op ontwikkelingsgericht werken In de bovenbouw werken we meer programmagericht met zoveel mogelijk aspecten van adaptief onderwijs, waarbij we rekening houden met de verschillen tussen leerlingen Bij dit alles bevorderen wij vooral het zelfvertrouwen en het ervaren van eigen competentie van kinderen Door het onderwijs op onze school willen we bereiken dat alle leerlingen, aansluitend op hun mogelijkheden, optimale leerresultaten behalen Essentieel is ook de samenwerking met de ouders Deze draagt bij tot het saamhorigheidsgevoel dat kenmerkend is voor onze schoolgemeenschap Dankzij deze wederzijdse samenwerking kan naast kwalitatief goed onderwijs veel extras geboden worden in de vorm van projecten en andere schoolevenementenWerk je graag op een innovatieve, laagdrempelige school met een hechte gemeenschap Ben je op de hoogte van actuele ontwikkelingen in het onderwijs Is duurzaamheid voor jou een belangrijk thema De Dr Rijk Kramerschool in Amsterdam zoekt vanwege het met pensioen gaan van de huidige directeur een vrolijke en betrokkendie zich samen met het team wil inzetten voor vernieuwend onderwijs op een duurzame schoolDe Dr Rijk Kramerschool bestaat uit twee goed functionerende locaties in AmsterdamWest Samen met de huidige directeur van de Dr Rijk Kramerschool ga je het directieteam vormen Jullie worden beiden in formele zin lid van de directie en gezamenlijk verantwoordelijk voor de locaties, met de huidige directeur als voorzitter van het directieteam Jullie maken samen afspraken over de verdere werkverdeling in dit nieuwe directieteam Met oog op het pensioen van de huidige directeur ben jij ook beoogd voorzitterDe Dr Rijk Kramerschool is een eigentijdse oecumenische basisschool bestaande uit twee locaties aan de Nassaukade en de Van Oldenbarneveldtstraat in Amsterdam De school geeft onderwijs aan leerlingen vanuit haar visie op ontwikkelingsgericht werken In de bovenbouw werken we meer programmagericht met zoveel mogelijk aspecten van adaptief onderwijs, waarbij we rekening houden met de verschillen tussen leerlingen De focus ligt met name op het bevorderen van het zelfvertrouwen en het ervaren van eigen competentie van kinderen Het doel van de Dr Rijk Kramerschool is dat alle leerlingen, aansluitend op hun mogelijkheden, optimale leerresultaten behalen Samenwerking met elkaar en de ouders wordt als essentieel gezien Deze draagt bij aan het saamhorigheidsgevoel dat kenmerkend is voor de schoolgemeenschap de school wordt ervaren als een school waar je je thuis voelt en jezelf kunt zijn Dankzij de wederzijdse samenwerking met ouders kunnen naast kwalitatief goed onderwijs veel extras geboden worden in de vorm van projecten en andere schoolevenementen De school hecht veel waarde aan buitenschoolse kunst en culturele activiteiten en schoolreizenDaarnaast is duurzaamheid een belangrijk thema voor de Dr Rijk Kramerschool, dat enthousiast omarmd wordt door de leerlingen De school heeft in augustus 2018 een Groene Vlag gekregen en is daarmee de tweede Amsterdamse basisschool die dit internationale keurmerk voor duurzame scholen kreeg Dit is terug te zien aan de groene schoolpleinen waar leerlingen met veel enthousiasme gebruik van maken, de gescheiden afvalinzameling, de ruilkast, de zonnepanelen op het dak en het meenemen van drinkbekers naar schoolDe Dr Rijk Kramerschool is onderdeel van AMOS Amsterdamse Oecumenische Scholengroep AMOS heeft de ambitie om onze 7400 leerlingen het best mogelijke onderwijs te bieden dat toegesneden is op de behoefte van elk individueel kind Met ruim 765 collegas op 28 scholen 32 locaties in de stad Amsterdam wordt elke dag weer gewerkt aan het handen en voeten geven aan deze ambitie Ons stafbureau ondersteunt daarbijAMOS gelooft dat elk kind unieke talenten heeft, in het besef dat niet elk kind altijd gelijke kansen heeft om die talenten te ontdekken en te ontplooien De missie is om die gelijke kansen wel te bieden Niet alleen als fraai ogend motto, maar door een keiharde inzet in de praktijk van alledag Naast talentontwikkeling is ook gemeenschapsvorming een belangrijke pijler van AMOS Leerlingen en leerkrachten werken actief mee aan de gemeenschap van alle dag Zo leren ze bruggen te slaan tussen verschillende culturen en godsdiensten en zorg te dragen voor hun eigen leef en werkomgeving Ook al delen AMOSscholen dezelfde waarden, zij hebben ieder een eigen profiel Bovenal bestaat AMOS uit doeners nieuwsgierig, betrokken, gedreven en doelgerichtAls deze vacature je aanspreekt en je je in dit profiel herkent, horen wij graag van je We gaan ervan uit dat je als kandidaat over de competenties beschikt die voor deze functie met dit profiel passend zijnHet betreft een functie van 1,0 fte in schaal D12 conform de cao voor het primair onderwijsHet voorselectiegesprek vindt plaats op vrijdag 4 decemberDe eerste gespreksronde met de benoemingsadviescommissie is gepland op woensdag 9 decemberDe tweede selectieronde op is gepland op maandag 14 decemberEen assessment kan deel uitmaken van de procedureJe brief en cv kun je via vbentorg versturen, ter attentie van Carmen Piscopo, onder vermelding van vacaturenummer 2020393Voor meer informatie kun je terecht op onze website vbentorg of je kunt telefonisch contact opnemen met Carmen Piscopo, adviseur BT, via 0639 83 33 53 of 08820 51 600We zien jouw reactie graag uiterlijk 29 november 2020 tegemoetVoor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacatureSolliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315130129?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fdirecteur-dr-rijk-kramerschool-in-amsterdam%2F252835%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=PK8U&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-dr-rijk-kramerschool-at-nederland-vacature-groep-2315130129?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
3,doctor,LinkedIn,2312868678,Doctor - Amsterdam,wEb6ZFWBQ3qYCGKIGpMupw==,FCS,"Amsterdam, North Holland, Netherlands","['Mental Health Care', 'Medical Practice', 'Hospital & Health Care']","WV MEDICAL DIRECTOR OPPORTUNITY AVAILABLE NOWThe opioid epidemic in the US is growing at a very rapid pace, and West Virginia is no exception I have a client who is opening a new 48 bed topnotch treatment facility in an excellent area in West Virginia, near Maryland, and were seeking a Medical Director starting in August MonFriday, 40 hours per week Medical Director will lead, manage, and supervise the medical team to assure the highest quality of patient care WV license and full unrestricted DEA is required, with Suboxone certification a plusThe facility is conveniently located about an hour and a half from DC and Baltimore Enjoy a low cost of living and a beautiful area, while still being close to just about anything youd want or need Salary will be negotiable, based on experience and credentials, and an excellent benefits package This is YOUR opportunity to make a difference",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312868678?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1f92c50eef70%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcadagdd79dde7add9ddbbddggadbaadbfada3de9cdcgfec3ddcg3e&urlHash=9yQY&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/doctor-amsterdam-at-fcs-2312868678?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
4,doctor,LinkedIn,2266770453,Dentist - Amsterdam (m/f/d*),IE1zifKdQWS1d4wXHzASfg==,PlusDental,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Staffing and Recruiting']","PlusDental has made it its mission to democratize aesthetic dentistry Headquartered in Berlin, with several consulting centers and partner dentists throughout Germany, Switzerland, Austria, UK, Spain, France and the Netherlands, and over 250 satisfied employees, we work every day on our mission to give people the most beautiful smile possibleSince our launch in 2017, we have achieved outstanding things and want to continue to use our momentum as one of the fastest growing MedTechStartups in Europe With a strong foundation in the German startup scene and dynamic partners in dentistry, we meet the highest medical standards and thus open the doors to stateoftheart dental technology for our customersThe opportunity to play a significant role in our consulting centersYou can expect comprehensive training and a fair corporate culture To democratize aesthetic dentistry also means to make it different and better Your feedback will be heard You have the unique opportunity to be part of this development in dentistry You will gain invaluable insights into the development of digital practices and their business management aspects Through our generous appointments you can train your sales skills, have time to take detailed anamesis and train your skills during the treatment process",Full-time,https://www.linkedin.com/jobs/view/externalApply/2266770453?url=https%3A%2F%2Fgrnh%2Ese%2F8290567d2us&urlHash=ZE6h&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/dentist-amsterdam-m-f-d-at-plusdental-2266770453?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
5,doctor,LinkedIn,2279072493,Field medical/ MSM Innovative Medicines,sMeCNzPyRYuCCsvqxfyEBA==,Bristol Myers Squibb,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Human Resources', 'Financial Services']","At Bristol Myers Squibb, we are inspired by a single vision  transforming patients lives through science In oncology, hematology, immunology and cardiovascular disease  and one of the most diverse and promising pipelines in the industry  each of our passionate colleagues contribute to innovations that drive meaningful change We bring a human touch to every treatment we pioneer Join us and make a differenceMSMs embody our medical mission in becoming a trusted, agile partner who engages in relevant dialogue and delivers timely, high impact data and insights that advance the science or accelerate access, optimise medical practice and drive appropriate adoption of BMS medicines The MSM role is a fieldbased role It is anticipated that a MSM will spend a minimum of 70 of their time in the field with external customersThe primary role of MSMs is to develop and maintain contacts with Thought Leaders TL and Healthcare Providers HCP within their healthcare system The purpose of interactions is to ensure patients have access to BMS medicines, to ensure their safe and appropriate use through peer to peer discussions aligned with medical strategies and needs expressed by the stakeholders The scientific dialogue focuses on scientificclinical information around disease management and BMS products in a fair and balanced way and includes appropriate Health Economics and Outcomes Research HEOR dataAround the world, we are passionate about making an impact on the lives of patients with serious diseases Empowered to apply our individual talents and diverse perspectives in an inclusive culture, our shared values of passion, innovation, urgency, accountability, inclusion and integrity bring out the highest potential of each of our colleaguesBristol Myers Squibb recognizes the importance of balance and flexibility in our work environment We offer a wide variety of competitive benefits, services and programs that provide our employees with the resources to pursue their goals, both at work and in their personal lives",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279072493?url=https%3A%2F%2Fhttpslink%2Ecom%2FYjk85M%3Fjz%3D4tptp11829302DAADOAIAAABQ%26tracking-details%3DYmlkPTAuMDAmYmlkdHlwZT1vcmcmc3JjPUxpbmtlZEluX09yZ2FuaWMmaklkPTYwOGNkZmQxZjEwY2NmMGVkMzVhOTQyZWU2ZDUxYmRjJmVtZD0wLjAwJnBoSWQ9dHB0cCZlQmlkPTAuMA%26source%3DLinkedIn_Slots&urlHash=YJwN&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/field-medical-msm-innovative-medicines-at-bristol-myers-squibb-2279072493?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
6,doctor,LinkedIn,2315928148,Behavioral/Population Health Faculty - Sint Maarten,RHFR01eXStuUIMvG9HQW1A==,American University of the Caribbean,"Sint Maarten, North Holland, Netherlands","['Higher Education', 'Education Management', 'Hospital & Health Care']","Opportunity at a GlanceThe American University of the Caribbean AUC School of Medicine invites applications for a full time faculty member in the Department of Clinical Medical Sciences on its Medical Sciences Campus, located on Sint Maarten a 37squaremile Caribbean island located approximately 150 miles east of Puerto Rico Sint Maarten is a constituent country within the Kingdom of the Netherlands It shares the island with St Martin, a collectivity of France, and as a result, boasts a vibrant blend of cultures Though English is spoken everywhere and the US dollar is the accepted currency in Sint Maarten, the diversity of cultures, cuisines, and nationalities estimated at over 100 on the island make for an exciting environment for living and learningAUC is a member of Adtalem Global Education NYSE ATGE, a global education provider headquartered in the United States The mission of AUC School of Medicine is to train tomorrows physicians, whose service to their communities and their patients is enhanced by international learning experiences, a diverse learning community, and an emphasis on social accountability and engagement The AUC School of Medicine Medical Doctor degree is a fouryear program Our medical students are highly motivated and are mainly from the USA and Canada The overall curriculum is comprised of 10 semesters 5 semesters of Medical Sciences taught at the Medical Sciences Campus on Sint Maarten or on the campus of University of Central Lancashire in Preston, England, and 5 semesters of Clinical Sciences taught at US or United Kingdom hospitals affiliated with the university After passing all prerequisite examinations, AUC graduates are licensed to practice medicine in all 50 states of the US More than 7000 graduating physicians from 73 countries form our robust alumni networkThe Medical Sciences Campus academic year is divided into three semesters with a new class of students admitted each semester The Medical Sciences curriculum is transitioning to an organsystem model, with teams of faculty teaching integrated modules Small group activities, lectures, and other educational responsibilities continue throughout the year Research opportunities exist, primarily in the area of medical education The Sint Maarten campus is wellequipped and technologically advanced, including a fully equipped anatomy lab with both cadaveric and Sectra table dissection, an expansive simulation center, 5 large auditoriumsized classrooms, an applied research laboratory, and other learning tools geared toward integrating medical school classroom study with practical applications of medicine AUC has a formal partnership with the Sint Maarten Ministry of Health and works collaboratively with many community partners on projects that benefit island Sint Maarten and offer community engagement opportunities for studentsFaculty members in St Maarten are organized into two departments Clinical Medical Sciences CMS and Basic Medical Sciences BMS Faculty members with clinical degrees are members of the CMS Department The CMS Department includes a multidisciplinary faculty, including faculty members from the disciplines of Emergency Medicine, Internal Medicine, Family Medicine, Nursing, Obstetrics and Gynecology, Pathology, Psychiatry, Psychology, and Surgical Oncology Education is the primary focus of the faculty Effective teachers are sought, particularly individuals who are interested in improving medical education and who work well on a team CMS faculty report to the Chair, Clinical Medical SciencesAUC faculty members do not provide clinical care as part of their faculty responsibilities and licensure in St Maarten is not a requirement for a full time faculty positionCMS faculty colead andor participate in teaching in all curricular modules Most teaching uses a flipped classroom approach, with an emphasis on active learning methods and small groups Clinical skills education begins in the first semester and continues throughout the entire 5 medical sciences semesters, making use of an outstanding simulation center and objective structured clinical examinations OSCEs employing professional standardized patients The successful applicant should have excellent communication skills and a strong commitment to working closely with medical students to help them develop competency in clinical interviewing, physical examination, and casebased clinical reasoningEEOWe are proud to be an EEO employer MFDV At Adtalem, we welcome everyone and have a strong commitment towards diversity and inclusion We encourage our Colleagues to be their true authentic selves and support laws that prohibit discrimination everywhere we do business We also maintain a drugfree workplaceWho We AreAmerican University of the Caribbean School of Medicine AUC is an international medical school preparing physicians for careers in the United States, Canada, and worldwide We believe that todays complex healthcare landscape requires a different type of doctor, one who is globally minded and capable of working as part of a cohesive team to deliver empathetic, extraordinary care to diverse patient populations AUC employs a US model curriculum with two years of medical sciences taught at our St Maarten campus, followed by two years of clinical sciences taught at affiliated hospitals in the United States and the United Kingdom AUC is proud to have more than 7,000 alumni eligible for licensure in all 50 states and practicing medicine as chief residents, department chairs, program directors, researchers, entrepreneurs, and community advocatesAUCs mission is to train tomorrows physicians whose service to their communities and patients is enhanced by international learning experiences, a diverse learning community, and an emphasis on social accountability and engagement Learn more about AUC, part of Adtalem Global Education, at wwwaucmededu",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315928148?url=https%3A%2F%2Fcareers%2Eadtalem%2Ecom%2Fus%2Fen%2Fjob%2FADTAUS116527%2FBehavioral-Population-Health-Faculty-Sint-Maarten%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26mode%3Djob%26iis%3DLinkedin&urlHash=SvW_&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/behavioral-population-health-faculty-sint-maarten-at-american-university-of-the-caribbean-2315928148?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
7,doctor,LinkedIn,2246360729,Dentist,XYKuF1YPR7CGOip/laD6wA==,SmileDirectClub,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Retail']","Job TypeContractorConsultantOverviewWere SmileDirectClub, and we believe everyone deserves a smile theyll love We also believe that you deserve a job youll love Good thing you found us, and we found you At SmileDirectClub, were all about empowering transformation We want people to become more confident in how they look, how they feel, and how they think So were spreading smiles and positivity all over the countryIts no small task Thats why were looking for energetic, passionate, and confident team members who can help turn frowns, into lifechanging grins Are you up for itSmileDirectClub was founded on a simple belief everyone deserves a smile they love The Company is the first digital brand for straightening your smile, created after the realization that recent trends in 3D printing and telehealth could bring about disruptive change to the invisible aligner market by matching licensed professionals, a quality clearaligner product, and customers together By leveraging proprietary, cuttingedge technology, SmileDirectClub, LLCaffiliated dentists are providing greater access of care to consumers who couldnt otherwise afford orthodontic treatment to get a better smileApply ApplyShareRefer to a friend Refer a FriendSorry the Share function is not working properly at this moment Please refresh the page and try again laterShare on your newsfeedWe can recommend jobs specifically for you Click here to get started",Full-time,https://www.linkedin.com/jobs/view/externalApply/2246360729?url=https%3A%2F%2Fcareers-smiledirectclub%2Eicims%2Ecom%2Fjobs%2F10470%2Fjob%3Fmode%3Djob%26iis%3DJob%2BBoard%26iisn%3DLinkedIn&urlHash=fxI4&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/dentist-at-smiledirectclub-2246360729?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
8,doctor,LinkedIn,2253740452,Bike doctor | De Meern | Randstad,EC8AquSDQjuRR+Dhx9vaSw==,Werkzoekennl,"De Meern, Utrecht, Netherlands","['Consumer Services', 'Environmental Services', 'Consumer Services']","Vacature van Randstad, locatie De MeernFor an international innovative bike company we are looking for a specialised bike doctor with a passion for bikes This is an unique company that stands out for its own designed and produced bike partsThis company stands for quality and would like to bring their service to a next levelWe are looking for someone with a technical background who would love to work within the bike industryYou will work as a bike doctor in Utrecht, de Meern You will build ebikes by assembling different parts of the bike This requires technical skills You will work within a production environment within a team full of fund and enthusiastic colleaguesAre you the passionate bike lover we are looking for Would you like to combine this with your technical experience and skills Press the button below and we will contact you asapUiteraard staat deze vacature open voor iedereen die zich hierin herkent5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2253740452?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1238_randstad%2Fvacatures%2F4802075_bike-doctor%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dde%2Bmeern&urlHash=t5mR&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/bike-doctor-de-meern-randstad-at-werkzoeken-nl-2253740452?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
9,doctor,LinkedIn,2315376703,Dokters- of polikliniekassistent - Almere,MVwhelwbQX6DC13alg5/KQ==,Flevoziekenhuis,"Almere, Flevoland, Netherlands",['Hospital & Health Care'],"De functieAls dokters of polikliniekassistent op de poli oogheelkunde ben je de spil van de spreekuurondersteuning Je bent het eerste aanspreekpunt bent voor de patint Je leidt het proces rondom de patint van binnenkomst tot aan vertrek in goede banen Je zorgt voor een goed ontvangst van de patint, geeft patintenvoorlichting over de behandeling en nazorg, je informeert verwijzers en patinten over vervolgafspraken, beantwoordt telefonische vragen en bereid spreekuren voor Om alles in goede banen te leiden heb je ook veel contact dat met verschillende zorgverleners binnen de polikliniek en hou je het overzicht op de spreekuurplanning De collegas voelen zich door jou ondersteund en de patinten voelen zich op hun gemak en gastvrij ontvangenOp de polikliniek Oogheelkunde van het Flevoziekenhuis werken 5 oogartsen, 4 optometristen,4 orthoptisten, 4 technisch oogheelkundig assistenten TOAs, 2 physician assistants, 7 doktersassistenten en 3 polikliniekassistenten De oogartsen bieden uitstekende basis oogzorg en vormen samen met alle collegas een ambitieus team De collegas staan, vanuit verschillende functies, samen om de patint heenDe arbeidsvoorwaarden waaronder de salariring zijn volgens CAO ziekenhuizen, conform FWG 30 Inschaling vindt plaats op basis van werkervaring met een maximum van  2661, bruto per maand op fulltime basis Indien je in het bezit bent van een diploma doktersassistent vindt inschaling plaats op basis van werkervaring conform FWG 35 met een maximum van  2798, bruto per maand op fulltime basis Daarnaast biedt het Flevoziekenhuis een goed pakket aan secundaire arbeidsvoorwaarden Aanstelling vindt plaats voor de duur van een halfjaar",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315376703?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D63dcac87f253%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacdddgadc9add7adf9addbdd8gdd9aadafdde3debcdcdfec3ddcg3e&urlHash=g--D&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/dokters-of-polikliniekassistent-almere-at-flevoziekenhuis-2315376703?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
10,doctor,LinkedIn,2308176230,"Postdoctoral position in neuroimaging/ neurofeedback - Maastricht University – Faculty of Health, Medicine and Life Sciences, School of Mental Health and Neuroscience (MHeNs) - Utrecht",KBH0drE3Q/uvrSL+5SZpzw==,AcademicTransfer,"Utrecht, Utrecht, Netherlands","['Information Technology and Services', 'Research', 'Hospital & Health Care']","Our research instituteThe School of MHeNS httpsmhensmumcmaastrichtuniversitynl investigates the causes, mechanisms and treatments of mental disorders and disease of the nervous and sensory systems Our neuroimaging research is conducted in close collaboration with the Maastricht Brain Imaging Centre at the Faculty of Psychology and Neuroscience MBIC httpswwwmaastrichtuniversitynlresearchmbicmbicresearch and with several international imaging consortia The position is embedded in two of our thematic priority lines, neuroimaging and neuromodulation In our neuromodulation programme, clinicians and researchers from several departments neurosurgery, neurology, psychiatry, anaesthesiology, urology, otorhinolaryngology collaborate on the mechanistic understanding of neuromodulation for neurological, psychiatric and sensory disorders and on the development of new invasive and noninvasive neuromodulation therapiesThe project will be part of the JPND NEURIPIDES consortium, coordinated by Professor David Linden  The postholder will also work closely with Professor Rainer Goebel MBIC and Professor Yasin Temel head of the department of neurosurgery The aim of the project is to improve our mechanistic understanding of the therapeutic effects of deep brain stimulation for Parkinsons disease and, on this basis, develop new protocols for neurofeedback using realtime functional MRI data that will enable patients to selfregulate pathophysiological circuits The appointee will work in a stimulating and vibrant interfaculty research environment and get the opportunity of international exchange visits with our consortium partners Appropriate training and mentorship will be provided",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308176230?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D86fcea4c7b76%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cddagada9add7adb9adfbddcgaddadd9fade3de9cdcafec3ddcg3e&urlHash=WcqT&refId=8205be5e-68cd-4a90-b384-d31682993b5e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/postdoctoral-position-in-neuroimaging-neurofeedback-maastricht-university-%E2%80%93-faculty-of-health-medicine-and-life-sciences-school-of-mental-health-and-neuroscience-mhens-utrecht-at-academictransfer-2308176230?refId=8205be5e-68cd-4a90-b384-d31682993b5e&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-20
