Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,educationalist,LinkedIn,2315384546,Opleidingsmedewerker te Aalter (M/V/X) - Amsterdam,9V6IVNqfSlKUQyG4DlCFaA==,AGO Jobs  HR,"Amsterdam, North Holland, Netherlands","['Construction', 'Staffing and Recruiting', 'Human Resources']","FunctieomschrijvingVoor onze klant regio Aalter gaan wij op zoek naar een begeleider die in verschillende filialen samen met 8 andere collegas, nieuwe medewerkers de knepen van het vak aanlerenJe zorgt voor een correcte basisopleiding waarin vakkennis, hygine en een klantgerichte attitude centraal staanJe volgt de nieuwe medewerkers nauw op samen met de filiaalverantwoordelijke, zodat je kort op de bal kan spelenJe bent steeds bereid om een handje toe te steken in de filialenOok behoort een correcte administratieve opvolging tot je takenpakketVereistenTalenGewenste PC en softwarekennisInternet, WindowsAanbodWij bieden je een uitdagende job aan in een stabiel en sterk groeiend bedrijf Je krijgt begeleiding op maat Je komt terecht in een plezante werksfeer Ook krijg je de kans om door te groeien door je loopbaan zelf vorm te gevenRijbewijsBWenst u meer info over deze jobNeem dan contact op met n van deze kantoren",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315384546?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6ebf1fefa9a5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadb8ade7adaaddf7adabadbgadaaadffdd73aefcdcbfec3ddcg3e&urlHash=yZ_k&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/opleidingsmedewerker-te-aalter-m-v-x-amsterdam-at-ago-jobs-hr-2315384546?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
2,educationalist,LinkedIn,2249475221,Onderwijscoördinator | Huisartsopleiding (15-25 uur),w6+5ZAcjS1u1Tf6fkRgiYw==,Amsterdam UMC,"AmsterdamZuid, North Holland, Netherlands",['Hospital & Health Care'],"Draag bij aan het competentiegericht opleiden bij de huisartsopleiding van Amsterdam UMC, met focus op de medisch inhoudelijke invulling van het curriculumWat ga je doen",Part-time,https://www.linkedin.com/jobs/view/externalApply/2249475221?url=https%3A%2F%2Fwww%2Ewerkenbijvumc%2Enl%2Fvacatures%2Fonderwijscoordinator-huisartsopleiding%2F&urlHash=_d0G&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/onderwijsco%C3%B6rdinator-huisartsopleiding-15-25-uur-at-amsterdam-umc-2249475221?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
3,educationalist,LinkedIn,2282600300,Onderwijscoördinator Master Advanced Nursing Practice,r5oZGRe4RNm6qmu4BwzYHA==,HU University of Applied Sciences Utrecht Hogeschool Utrecht,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Higher Education', 'Education Management']","Ben jij die zelfstandige, pragmatische en resultaatgerichte persoonlijkheid, die optimaal organiseert en cordineert Dan zijn wij op zoek naar jouDe Master Advanced Nursing Practice, duale opleiding voor het beroep verpleegkundig specialist VS aan de Hogeschool Utrecht De MANP is onderdeel van het Instituut Verpleegkundige Studies IVSWij leiden verpleegkundig specialisten op die de brug slaan tussen cure en care in de Nederlandse gezondheidszorg Ze leveren een substantile bijdrage aan de kwaliteit en de continuteit van de medische en verpleegkundige zorg Na afstuderen zijn onze verpleegkundig specialisten bekwame, zelfstandig bevoegde, kritischanalytische en reflectieve beroepsbeoefenaren die in staat zijn om vanuit een wetenschappelijk achtergrond te functioneren in de beroepspraktijk Door het opleiden van verpleegkundig specialisten leveren wij een bijdrage aan goede hoogwaardige en innovatieve patintenzorg Als team nemen wij derhalve een voortrekkersrol in voor de ontwikkeling van dit vakgebied Wij leiden op in partnership met zon 60 verschillende praktijkinstellingen Verder leveren wij in tal van gremia nationaal en internationaal een bijdrage aan de ontwikkeling van Advanced Nursing Practice Zon 155 studenten volgen momenteel het programmaAchter de schermen wordt er veel gedaan om het onderwijs voor studenten en docenten in goed banen te leiden Als onderwijscordinator cordineer je onder verantwoordelijkheid van het instituutsmanagement de onderwijsprocessen van de MANP Denk hierbij aan de onderwijsjaarplanning, roostering, kwaliteitszorg, toetsing en studievoortgang, urenregistraties Je focus ligt op de roostercyclus in de keten van ACOXeduleSyllabus Je rol is divers van enerzijds zelf gegevens invoeren en controles daarop doen en anderzijds regie voeren op de hele keten Je stemt af met de ondersteunende logistieke diensten en monitort de voortgang van deadlines Je bent de verbindende schakel tussen HU diensten, het opleidingsmanagement en het docententeamBij de uitvoering van je werk heb je contact met studenten, docenten, de praktijkinstellingen, het management en de ondersteunende diensten Je adviseert en informeert het management over de voortgang, de kwaliteit en de resultaten van de processenJe komt te werken aan de Koningsbergerstraat 9 te Utrecht In de periode van corona zal er ook vanuit huis gewerkt wordenJe krijgt een arbeidsovereenkomst voor bepaalde tijd met uitzicht op vast met een omvang van 0,6 fte Enige flexibiliteit om in de toekomst wellicht meer te kunnen werken is een prDe startdatum is bij voorkeur zo spoedig mogelijk Verlenging en een vast dienstverband behoren daarna tot de mogelijkheden Het bruto maandsalaris bij een volledig dienstverband is minimaal  2598,89 en maximaal  3479,70 schaal 8 Daarboven ontvang je volgens de caohbo een vakantietoeslag van 8 en een gegarandeerde eindejaarsuitkering van 8,3 Daarnaast vinden wij persoonlijke en professionele ontwikkeling heel belangrijk en kunnen wij uitstekende studie en ontwikkelingsmogelijkheden bieden We begrijpen ook dat vandaag de dag flexibiliteit belangrijk is Vandaar dat we de keuze bieden voor een kortere werkweek of meer verlof bij langere een werkweek en er is flexibiliteit in werktijdenBen je enthousiast en denk je dat jij en de HU een goede match zijn en ben je enthousiast geworden Dan kun je tot en met 23 november uitsluitend online solliciteren Wil je meer informatie over deze functie Neem dan contact op met Riet van Dommelen, 0651541510 Meer informatie over werken bij Hogeschool Utrecht is te vinden op wwwwerkenbijhunlSolliciteren Afdrukken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282600300?url=https%3A%2F%2Fhogeschoolutrecht%2Eeasycruit%2Ecom%2Fvacancy%2F2597183%2F144631%3Fiso%3Dnl&urlHash=pwrx&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/onderwijsco%C3%B6rdinator-master-advanced-nursing-practice-at-hogeschool-utrecht-2282600300?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
4,educationalist,LinkedIn,2302034939,Examentrainer Natuurkunde - Erasmus Education,LW3fKeFEQFCrYtVGkMdgDw==,Nederland Vacature Groep,"Rotterdam, South Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","BedrijfsprofielDoor passende onderwijsbegeleiding halen we bij Erasmus Education het beste naar boven bij elke leerling voor een leven lang plezier in lerenErasmus Education biedt onderwijsondersteuning aan leerlingen van het basis en voortgezet onderwijs Daarnaast bieden we bijscholing op het gebied van rekenen We vinden het belangrijk dat elke leerling op het passende niveau zijn schoolcarrire doorloopt, daarbij stevig in zijn schoenen staat en plezier heeft in leren Leerlingen moeten inhoudelijke handvatten krijgen en succesmomenten beleven om vol zelfvertrouwen zelfstandig de leerstof eigen te maken De mensen die bij ons werken zijn deskundig op hun vakgebied en weten de leerling te motiveren om zelfstandig te kunnen slagenEen ideale extra baan waarbij je zelf bepaalt hoeveel en wanneer je werkt Je ontvangt een goed salaris en bouwt werkervaring op Werken in het onderwijs zonder rapportvergaderingen of oudergesprekken, maar enkel het verzorgen van de lessenBij Erasmus Education zijn wij op zoek naar bevoegd docenten en bevlogen studenten die hun kennis willen overdragen aan leerlingen van de middelbare school of aan pabostudenten dmv het geven van begeleiding Geef les in het vak waar jij goed in bent en help leerlingen verder in hun ontwikkelingBij de trainingen verzorgt de hoofddocent de klassikale instructie en is verantwoordelijk voor het leerproces van de leerlingen Bij 6 of meer leerlingen is er een assistentdocent aanwezig Na de klassikale uitleg begeleiden de assistentdocenten en de hoofddocent de leerlingen bij het maken van de opgaven Uiteraard op 1,5 meter afstandRotterdam, Schiedam, Capelle ad IJssel, Spijkennise, Wassenaar, Utrecht en SoestDe functie is flexibel in te delen Je bepaalt zelf voor welke momenten je je beschikbaar steltDe werkzaamheden worden uitgevoerd op basis van een freelancerovereenkomstBij het hebben van een lesbevoegdheid ligt de vergoeding tussen de  22 en  24,50 per uurVoor de school, eind en rekentrainingen die een hele dag duren worden de reiskosten volledig vergoedDan zijn we op zoek naar jouStuur je CV, een korte motivatiebrief en een kopie van je cijferlijst naar infoerasmuseducationnlVoor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacatureSolliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2302034939?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fexamentrainer-natuurkunde-erasmus-education-in-rotterdam%2F248952%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=0iHk&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/examentrainer-natuurkunde-erasmus-education-at-nederland-vacature-groep-2302034939?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
5,educationalist,LinkedIn,2251640911,Onderwijscoördinator | Huisartsopleiding,jWK/SmVkRPOzyjt/ScjMBw==,home,"Amsterdam, North Holland, Netherlands","['Research', 'Biotechnology', 'Hospital & Health Care']","Draag bij aan het competentiegericht opleiden bij de huisartsopleiding van Amsterdam UMC, met focus op de medisch inhoudelijke invulling van het curriculum1525 uurWat ga je doenIn deze rol maak je samen met je collega onderwijscordinatoren deel uit van het team onderwijscordinatie in totaal 20 fte Als team ben je verantwoordelijk voor het aiosonderwijs, de scholing van onze staf, het kwaliteitsbeleid, innovatie en onderzoek van onderwijsJij gaat een trekkersrol vervullen in het vormgeven van het aioscurriculum, zowel voor het instituutsonderwijs als het opleiden in de praktijk, en dan vooral wat betreft de huisartsgeneeskundige inhoud Je gaat een aantal leerlijnen aansturen, waarbij het huisartsgeneeskundig perspectief en innovatie in de zorg belangrijke aandachtspunten zijnWij willen toekomstbestendige huisartsen opleiden die zijn toegerust voor de praktijk van morgen Daartoe willen we aanhaken bij lopende innovatieprojecten, of zelf projecten initiren, in de regio Amsterdam en in overige regios van ons werkgebied NoordHolland, Flevoland en Twente Als onderwijscordinator met een achtergrond als huisarts ben je binnen het team onderwijscordinatie de eerstverantwoordelijke om de actuele inhoudelijke en organisatorische ontwikkelingen in de huisartsenzorg een plek in de opleiding te gevenEen uitgebreidere beschrijving van het functiegebied onderwijscordinatie wordt op aanvraag toegestuurdWat we van je verwachtenOnze huisartsopleiding vindt vooral plaats in de praktijk en is binnen duidelijke toetskaders in hoge mate vraaggestuurd De aiosgroepen met hun docenten maken eigen keuzes uit ons rijke aanbod onderijsmaterialen en expertise onderwijs Dit vraagt van een onderwijscordinator de uitdagende combinatie van flexibiliteit en vasthoudendheid Jij haalt energie uit het leiding geven en het beste uit onze deelnemers en de staf te halen en doet dit vol overgave en enthousiasme Bij de implementatie van het curriculum werk je nauw samen met de teamleiders onderwijs, waarbij uitstekende communicatieve vaardigheden onontbeerlijk zijnWaar ga je werkenDe huisartsopleiding locatie VUmc verzorgt de 3jarige vervolgopleiding tot huisarts De opleiding heeft een jaarlijkse instroom van 96 aios en telt ca 45 docenten huisartsen en gedragswetenschappers Het curriculum is competentiegericht Het onderwijs, zowel aan AIOS als aan opleiders, wordt vraaggestuurd vormgegeven De onderwijscordinator vervult een sleutelpositie in de organisatie Samen met de overige leden van het team onderwijscordinatie ben je verantwoordelijk voor het curriculum en de in te zetten onderwijsmiddelen Je maakt deel uit van het kader van de opleidingWat we je biedenSalarisschaal 13 5456 tot 6641 euro bruto bij een fulltime dienstverband afhankelijk van opleiding en ervaringVoor een praktiserend huisarts is een arbeidsmarkttoelage bespreekbaar tot maximaal schaal 158 7769 brutoNaast een goed basissalaris bieden we onder andere 8,3 eindejaarsuitkering en 8 vakantietoeslag Voor meer informatie over onze arbeidsvoorwaarden kijk op onze websiteVoor een praktiserend huisarts is een arbeidsmarkttoelage bespreekbaar tot maximaal schaal 158  brutoBijzonderhedenAfhankelijk van de mogelijkheden van de nieuwe collega varieert het taakpakket passend bij een aanstelling van 04 tot 07 fteBinnen Amsterdam UMC werken de beide huisartsopleidingen locatie VUmc en AMC in de komende jaren toe naar n gezamenlijke huisartsopleidingWij streven ernaar om gesprekken te voeren in week 4748Laten we kennismakenBel ons gerustVoor inhoudelijke informatie kun je contact opnemen met , via click apply  click applyVoor meer informatie over de sollicitatieprocedure kun je contact opnemen met , via click applyJe kunt uiterlijk tot en met 22 november 2020 solliciteren via de buttonAcquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2251640911?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F8359989806282230151%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=6M-0&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/onderwijsco%C3%B6rdinator-huisartsopleiding-at-home-2251640911?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
6,educationalist,LinkedIn,2306181453,Medical Education/Communications Writer,B6ccumZaTyqgtowPEhRZUQ==,PharmiWebJobs,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Biotechnology', 'Pharmaceuticals']","Our client an international Medcomms agency is seeking a Medical EducationCommunications Manager to develop, drive and deliver highquality, medical communication and education projects for healthcare professionals, focusing on delivering medically accurate and engaging content This is a 7 month contract",Contract,https://www.linkedin.com/jobs/view/externalApply/2306181453?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D850%26rx_jobId%3D1067701%26rx_url%3Dhttps%253A%252F%252Fwww%2Epharmiweb%2Ejobs%252Fjob%252F1067701%252Fmedical-education-communications-writer%252F%253FTrackID%253D10%2526utm_source%253Drecruitics%2526utm_medium%253Dprogrammatic%2526utm_campaign%253D2020-06%2526rx_c%253Dunited-kingdom%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253DLinkedIn%2526rx_ts%253D20201121T150003Z&urlHash=IlON&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medical-education-communications-writer-at-pharmiweb-jobs-2306181453?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
7,educationalist,LinkedIn,2304766990,Onderwijscoördinator | Huisartsopleiding,byvYx1QpTK2ULL7BrHn6NA==,Amsterdam UMC,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Research', 'Biotechnology']","Wat ga je doen In deze rol maak je samen met je collega onderwijscordinatoren deel uit van het team onderwijscordinatie in totaal 20 fte Als team ben je verantwoordelijk voor het aiosonderwijs, de scholing van onze staf, het kwaliteitsbeleid, innovatie en onderzoek van onderwijs Jij gaat een trekkersrol vervullen in het vormgeven van het aioscurriculum, zowel voor het instituutsonderwijs als het opleiden in de praktijk, en dan vooral wat betreft de huisartsgeneeskundige inhoud Je gaat een aantal leerlijnen aansturen, waarbij het huisartsgeneeskundig perspectief en innovatie in de zorg belangrijke aandachtspunten zijn Wij willen toekomstbestendige huisartsen opleiden die zijn toegerust voor de praktijk van morgen Daartoe willen we aanhaken bij lopende innovatieprojecten, of zelf projecten initiren, in de regio Amsterdam en in overige regios van ons werkgebied NoordHolland, Flevoland en Twente Als onderwijscordinator met een achtergrond als huisarts ben je binnen het team onderwijscordinatie de eerstverantwoordelijke om de actuele inhoudelijke en organisatorische ontwikkelingen in de huisartsenzorg een plek in de opleiding te geven Een uitgebreidere beschrijving van het functiegebied onderwijscordinatie wordt op aanvraag toegestuurdWat we je bieden Salarisschaal 13 5456 tot 6641 euro bruto bij een fulltime dienstverband afhankelijk van opleiding en ervaring Voor een praktiserend huisarts is een arbeidsmarkttoelage bespreekbaar tot maximaal schaal 158 7769 bruto Naast een goed basissalaris bieden we onder andere 8,3 eindejaarsuitkering en 8 vakantietoeslag Voor meer informatie over onze arbeidsvoorwaarden kijk op onze website Voor een praktiserend huisarts is een arbeidsmarkttoelage bespreekbaar tot maximaal schaal 158  bruto Bijzonderheden Afhankelijk van de mogelijkheden van de nieuwe collega varieert het taakpakket passend bij een aanstelling van 04 tot 07 fte Binnen Amsterdam UMC werken de beide huisartsopleidingen locatie VUmc en AMC in de komende jaren toe naar n gezamenlijke huisartsopleiding Wij streven ernaar om gesprekken te voeren in week 47",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304766990?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fonderwijscoordinator-huisartsopleiding%3A43980018%2F&urlHash=eNS3&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/onderwijsco%C3%B6rdinator-huisartsopleiding-at-amsterdam-umc-2304766990?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
8,educationalist,LinkedIn,2302038511,Examentrainer Biologie - Erasmus Education,7IGU49ruTfu5mIDaIGoG9w==,Nederland Vacature Groep,"Rotterdam, South Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","BedrijfsprofielDoor passende onderwijsbegeleiding halen we bij Erasmus Education het beste naar boven bij elke leerling voor een leven lang plezier in lerenErasmus Education biedt onderwijsondersteuning aan leerlingen van het basis en voortgezet onderwijs Daarnaast bieden we bijscholing op het gebied van rekenen We vinden het belangrijk dat elke leerling op het passende niveau zijn schoolcarrire doorloopt, daarbij stevig in zijn schoenen staat en plezier heeft in leren Leerlingen moeten inhoudelijke handvatten krijgen en succesmomenten beleven om vol zelfvertrouwen zelfstandig de leerstof eigen te maken De mensen die bij ons werken zijn deskundig op hun vakgebied en weten de leerling te motiveren om zelfstandig te kunnen slagenEen ideale extra baan waarbij je zelf bepaalt hoeveel en wanneer je werkt Je ontvangt een goed salaris en bouwt werkervaring op Werken in het onderwijs zonder rapportvergaderingen of oudergesprekken, maar enkel het verzorgen van de lessenBij Erasmus Education zijn wij op zoek naar bevoegd docenten en bevlogen studenten die hun kennis willen overdragen aan leerlingen van de middelbare school of aan pabostudenten dmv het geven van begeleiding Geef les in het vak waar jij goed in bent en help leerlingen verder in hun ontwikkelingBij de trainingen verzorgt de hoofddocent de klassikale instructie en is verantwoordelijk voor het leerproces van de leerlingen Bij 6 of meer leerlingen is er een assistentdocent aanwezig Na de klassikale uitleg begeleiden de assistentdocenten en de hoofddocent de leerlingen bij het maken van de opgaven Uiteraard op 1,5 meter afstandRotterdam, Schiedam, Capelle ad IJssel, Spijkenisse, Wassenaar, Utrecht en SoestDe functie is flexibel in te delen Je bepaalt zelf voor welke momenten je je beschikbaar steltDe werkzaamheden worden uitgevoerd op basis van een freelancerovereenkomstBij het hebben van een lesbevoegdheid ligt de vergoeding tussen de  22 en  24,50 per uurVoor de school, eind en rekentrainingen die een hele dag duren worden de reiskosten volledig vergoedDan zijn we op zoek naar jouStuur je CV, een korte motivatiebrief en een kopie van je cijferlijst naar infoerasmuseducationnlVoor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacatureSolliciteer direct",Full-time,https://www.linkedin.com/jobs/view/externalApply/2302038511?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fexamentrainer-biologie-erasmus-education-in-rotterdam%2F248655%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=B6R_&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/examentrainer-biologie-erasmus-education-at-nederland-vacature-groep-2302038511?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
9,educationalist,LinkedIn,2317463957,Inclusive Quality Education (IQE) Practice Lead,AkLO0I+sTNS/1yWhiA+F1w==,Plan International,"Rotterdam, South Holland, Netherlands",['Hospitality'],"Since adopting our global strategy, 100 Million Reasons, our global work to advance childrens rights and equality for girls has had unprecedented impact We have been transforming our operations at the Global Hub to be the best possible partner for the 8,000 staff who work in our country offices, and working to become a more agile, efficient and accountable organizationWe have improved our mechanisms for collaboration, transparency and datagathering The transformation has also increased the number of decisions to be taken close to the point of impact and distributed power more widely throughout the organisationTo bring about lasting change, we have to live our values We are committed not simply to telling the world we are the go to organisation on girls rights, but to embedding justice and equality in all that we doWill you join usThe purpose of the IQE specialist area known internally as a Collaboration Hub is to support the provision in all contexts, of inclusive, quality education at preprimary, primary and secondary levels, for the most vulnerable and excluded children and youth, especially girlsYou will lead Plan Internationals gender transformative practice work within the IQE Collaboration Hub, developing evidence based holistic programme and influencing models and cultivating new and existing donors and partners You will share expertise and knowledge, internally and externally, to embed gender transformative policy and practice across the organisation in order to tackle the root causes of discrimination against girls, exclusion and vulnerabilityThe IndividualWith experience in international work environments in varied contexts you will have experience of developing programme and influencing models on IQE in humanitarian and development settings, advancing childrens rights or gender equalityYou will bring knowledge and expertise in rights based and gender transformative programming and influencing, design, monitoring  evaluation, learning and knowledge managementStrong communication, representational and interpersonal skills, the ability to work to a high standard, managing stress effectively whilst prioritising multiple tasks and competing deadlines will be essential in this role",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317463957?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F0518a9fc-87e8-40ab-b083-bec394299193%3Fjid%3Daf208be065f3f8c0b525f478e96b0c439378dccefcbd5438dd8d1641c699b07f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=fWxR&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/inclusive-quality-education-iqe-practice-lead-at-plan-international-2317463957?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
10,educationalist,LinkedIn,2291400717,Medical Education/Communications Writer,GiLVGro3Q3GicdEz7c0HHg==,EF Medical,"Nederland, Overijssel, Netherlands","['Publishing', 'Biotechnology', 'Pharmaceuticals']","Our client an international Medcomms agency is seeking a Medical EducationCommunications Manager to develop, drive and deliver highquality, medical communication and education projects for healthcare professionals, focusing on delivering medically accurate and engaging content This is a 7 month contract",Contract,https://www.linkedin.com/jobs/view/externalApply/2291400717?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F123060771489602384%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Ws7y&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medical-education-communications-writer-at-ef-medical-2291400717?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22
