Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,ict manager,LinkedIn,2318044469,ICT Operations Manager - Amsterdam Metropolitan Area,kT2pJPE8QsmkQB4/yvPviA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  DutiesManage changes in ICT systemAttend to ICT systems qualityImprove business processesDesign processManage staffOpenness and interest in learning and further developmentExperience of having worked in a similar roleGood communication, cooperation and team working skillsAn awareness of the need to handle confidential issues sensitivelyAbility to adapt and cope with working in different teams",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318044469?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D94da671a7524%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddceadcaadfbddagdd9addfgadfadd9fddb3deecdccfec3ddcg3e&urlHash=1o06&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-operations-manager-amsterdam-metropolitan-area-at-talent-2318044469?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
2,ict manager,LinkedIn,2253779018,Operationeel Manager ICT | Vianen (UT) | HappyCustomers,Vg7VyMY6RXWKi0RQkQj/FQ==,Werkzoekennl,"Vianen, Utrecht, Netherlands","['Logistics and Supply Chain', 'Transportation/', 'Trucking/', 'Railroad', 'Warehousing']","Vacature van HappyCustomers, locatie Vianen UTVoor onze eindklant zijn wij per 1 april 2021 op zoek naar een Operationeel Manager Het doel van de functie, is het realiseren van een professionele aansturing, inrichting, organisatie, dienstverlening en beheer van de ICT afdeling qua operationele verantwoordelijkheidWij zoeken iemand met een5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2253779018?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F9595_happycustomers%2Fvacatures%2F4766264_operationeel-manager-ict%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dict%252bcat_logistics%2Bvianen%2B&urlHash=yBIR&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operationeel-manager-ict-vianen-ut-happycustomers-at-werkzoeken-nl-2253779018?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
3,ict manager,LinkedIn,2235769482,PMO / Projectmanagement ondersteuner ICT,PkO9v3p1SSCvTa3pVA29Lw==,AEB Amsterdam,"Amsterdam, North Holland, Netherlands","['Renewables & Environment', 'Mechanical or Industrial Engineering', 'Information Technology and Services']","Ben jij de projectmanagement ondersteuner die de ICT afdeling van AEB naar een hoger plan gaat tillen Met jouw liefde voor ICT en met behulp van jouw gestructureerde, administratieve en projectmatig aanpak ga jij hier je tanden inzetten Dan komen we graag met jou in contact",Part-time,https://www.linkedin.com/jobs/view/externalApply/2235769482?url=https%3A%2F%2Fwerkenbij%2Eaebamsterdam%2Enl%2Fvacaturebank%2Fproject-management-ondersteuner-ict&urlHash=0SLN&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/pmo-projectmanagement-ondersteuner-ict-at-aeb-amsterdam-2235769482?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
4,ict manager,LinkedIn,2234525319,"Procesmanager ICT (1,0 fte)",KvzemmWiRh6QEVUcOmAqow==,Provincie Flevoland,"Lelystad, Flevoland, Netherlands",['Public Policy'],"Ben jij op zoek naar een functie waarin je als procesmanager er voor zorgt dat onze ICT processen ITIL goed doorlopen worden En dat je er voor zorgt dat incidenten en problemen goed, snel en structureel opgelost worden Dan zoeken wij jouWaar kom je te werkenJe komt te werken binnen het cluster ICT van de afdeling Informatievoorziening IV De afdeling IV 29 fte zorgt voor goed en veilig functionerende ICTsystemen en voor de ondersteuning van de realisatie van het uitdagende ITportfolio van de provincie De afdeling is in 2016 gevormd en bestaat uit 3 clusters Beleid  architectuur BA, Informatiemanagement IM en Informatie en communicatietechnologie ICTDe afdeling is nog volop in ontwikkeling en beweging waaronder de transitie van ICTsystemen naar de hybrid cloud Er heerst een open en informele sfeer, gericht op het gezamenlijk oplossen van problemen en het uitvoeren van verbeteringenJouw toekomstige baanAls procesmanager binnen het cluster ICT ben jij, samen met jouw collegas, verantwoordelijk voor een soepele werking van de ITIL processen Met name incidenten en problemen hebben een grote invloed op de stabiliteit van de ICT voorziening, bedrijfsapplicaties en de kwaliteit van onze dienstverlening aan de eindgebruikers Als procesmanager ben jij de cordinator voor jouw collegas wat betreft de daadwerkelijke uitvoering op de werkvloer Daarom is jouw aanwezigheid op de werkvloer van essentieel belangJe zorgt er voor dat de ITIL processen het fundament vormen onder het ICT beheer, zodat de dienstverlening op ICTgebied voorspelbaar en transparant blijft Als procesmanager zorg je er voor dat verstoringen snel, goed en structureel opgelost worden Met minimale impact voor de operatie Je weet deze ITIL processen effectief en efficint toe te passen en waar mogelijk te optimaliseren Dit doe je oa in samenwerking met de senior ITIL procesmanager ICTAls incident manager ben je verantwoordelijk voor het goed functioneren van het incident management proces, zodat de verschillende incidenten tijdig binnen SLA worden afgehandeld Hier stuur je ook op Daarnaast ben je als incident manager de cordinator van grotere verstoringen, zoals oa de P1 incidentenWat worden jouw taken en verantwoordelijkhedenWat breng je meeWil jij je talenten graag inzetten bij provincie Flevoland Reageer dan vr maandag 30 november as via het sollicitatieformulier Wil je eerst meer weten over deze vacature, dan kun je contact opnemen met Andy Bramall, clustermanager ICT 0320265770 of met Jos Boomsma, adviseur recruitment 0320265316",Full-time,https://www.linkedin.com/jobs/view/externalApply/2234525319?url=https%3A%2F%2Fflevoland%2Eeasycruit%2Ecom%2Fvacancy%2F2574915%2F167173&urlHash=Zqji&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/procesmanager-ict-1-0-fte-at-provincie-flevoland-2234525319?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
5,ict manager,LinkedIn,2317410425,ICT Manager,6on5owN+TH2qvbb+BuE4UQ==,IT recruitment company,"Aalsmeer, North Holland, Netherlands",['Information Technology and Services'],"Functie ICT Manager Aanvraagnummer Expertise Leveranciers en Contractmanagement, Programmamanagement Regio Aalsmeer Startdatum ASAP Duur Vast dienstverband WerkzaamhedenOnze opdrachtgever in Aalsmeer is een van de grootste spelers op de internationale sierteeltmarkt Een toonaangevende groothandel in bloemen en plantenexport Als handelsplatform bedient de organisatie verschillende klantgroepen, waaronder bloemisten, groothandels, tuincentra en retailers uit heel Europa Ze geloven in de kracht van groen en onze missie is om bloemen en planten voor iedereen toegankelijk te makenWat ga je doenAls ICT manager zal geen dag voor jou hetzelfde zijn waarbij een echte handson mentaliteit in deze platte organisatie een absolute must is Je bent verantwoordelijk voor het optimaal functioneren van ITsystemen en infrastructuren binnen de gestelde kaders en rapporteert rechtstreeks aan de directie Werkgebieden die onder deze afdeling vallen zijn oa netwerkbeheer, helpdeskbeheer, applicatiebeheer, telefonie en securityJij weet als geen ander het overzicht te bewaren en het team systeem en applicatiebeheerders op een enthousiaste manier aan te sturen en te coachen met als resultaat verbetering en kwaliteit en doorloopsnelheidDaarnaast heb je regelmatig contact met onze outsource partners om zo de regie te behouden Jouw affiniteit op ICTgebied is groot en je bent dan ook altijd op de hoogte van de laatste trends en ontwikkelingen in het vakgebiedOnze ICTomgeving bevindt zich deels in de cloud en deels on premise, waarbij continuteit de sleutel is Een veilige ICTomgeving is voor jou een absolute must en je weet dan ook de juiste maatregelen te treffen om constant onze ICTomgeving zo veilig mogelijk te houdenMet jouw skills ben je in staat om de functionele wensen van de interne organisatie te vertalen naar een visie op ICT gebied, waarbij het uitgangspunt is een effectieve en efficinte bedrijfsvoering, hiermee maakt deze functie dan ook onderdeel van het te voeren programmanagement over de verdere ontwikkeling van de functionaliteiten binnen onze bedrijfsapplicaties Hierbij werk je samen met onze interne projectmanagers en de externe ontwikkelpartnersHierin herken jij jezelfWat bieden wij",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317410425?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F89404e21-e37f-4585-a222-c83a1dda9deb%3Fjid%3D2ae27f79fcd556b4bce2c829c7805de7840ee6eb7a7799c1a5bdf1bb88e6f6c8%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=hh-2&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-manager-at-it-recruitment-company-2317410425?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
6,ict manager,LinkedIn,2276775970,IT Service Delivery Manager,dm+OCNpLRVeCKnBaAoRyxQ==,Action,"ZwaagdijkOost, North Holland, Netherlands",['Retail'],Service Delivery Manager ITEr staat een grote uitdaging in IT Supply Chain open voor een senior Nederlandstalige manager met brede ervaring binnen Retail Action is op zoek naar een Service Delivery Manager SDM voor het domein Internationale Distributie Centra en Supply Chain IT De gekozen professional zal de Supply Chainunit in de BizTechafdeling van ons IHQ in NoordHolland versterken en leiden,Full-time,https://www.linkedin.com/jobs/view/externalApply/2276775970?url=https%3A%2F%2Fnl%2Eaction%2Ejobs%2Fvacatures%2Fservice-delivery-manager-it-e74071&urlHash=lewT&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-service-delivery-manager-at-action-2276775970?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
7,ict manager,LinkedIn,2305136692,ICT-manager,y5qIw+QlSiindC77PtSGpQ==,Werving op Maat,"Arnhem, Gelderland, Netherlands","['Accounting', 'Financial Services']",Ben jij een geboren leider en kun jij voor jouw team een prettige omgeving creren waarbij je rekening houdt met individuele behoeften en drijfveren en samenwerkt aan het realiseren van de teamdoelen Haal je voldoening uit het werken aan oplossingen met maximale klantwaarde en het verhogen van de automatiseringsgraad Deze vacature is bij Flynth in Arnhem We zoeken een ervaren Manager ICT daily operations,Full-time,,https://nl.linkedin.com/jobs/view/ict-manager-at-werving-op-maat-2305136692?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
8,ict manager,LinkedIn,2317933913,ICT Resilience Manager - Amsterdam Metropolitan Area,svWKtkqQQCqT6RYjVa5uiw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  DutiesManage disaster recovery plansLead disaster recovery exercisesAnalyse the context of an organisationIdentify ICT security risksImplement ICT recovery systemExperience of having worked in a similar roleAccuracy and attention to detailsStrong motivation and open and positive attitudeGood communication, cooperation and team working skillsOpenness and interest in learning and developing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317933913?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1b1e79dbb950%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcadeeddfaadbbdd9gdd7aadcgadeaadefdd73debcdcgfec3ddcg3e&urlHash=h3-5&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-resilience-manager-amsterdam-metropolitan-area-at-talent-2317933913?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
9,ict manager,LinkedIn,2245297380,Business Manager IT Detachering,oZ+6bawgRviys70QRytxFg==,GNius BV,"sHertogenbosch, North Brabant, Netherlands","['Information Services', 'Information Technology and Services']","Ben jij de business manager die nieuwe kansen om zet naar langdurige relaties Lees dan snel verderGNius zoekt een enthousiaste Business ManagerAls Business Manager ben je commercieel gedreven, ondernemend, energiek, verkoop en resultaatgericht Daarbij beschik je over een flinke dosis doorzettingsvermogen Je bent een verbinder, je genereert ideen en zoekt naar creatieve mogelijkheden om nieuwe opdrachtgevers aan GNius te binden Je werkt proactief aan een solide en langdurige samenwerking met zowel opdrachtgevers als met professionals",Full-time,,https://nl.linkedin.com/jobs/view/business-manager-it-detachering-at-g-nius-bv-2245297380?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
10,ict manager,LinkedIn,2318020815,ICT Project Manager,1t85bHgPR8iWqPfN2rYa8Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  DutiesManage project informationCreate project specificationsTrain employeesBuild business relationshipsEstimate duration of workThe ability to carry out work efficiently and accurately, even under pressureAbility to work autonomouslyExperience of having worked in a similar roleAn awareness of the need to handle confidential issues sensitivelySense of proactive initiative and team spirit",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318020815?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D77bea8b022db%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cdd9eadeaadbbadfgdd8aadegddgaddefdde3aeccacefec3ddcg3e&urlHash=aOnE&refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-project-manager-at-talent-2318020815?refId=4de607ca-a2a3-40a0-9f2f-b6c1b67a502f&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-21,2020-11-24
