Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,social worker,LinkedIn,2264253453,Corporate Case Manager,ihL71vumShavKBBGJF81hA==,ISEC International Security,"SchipholRijk, North Holland, Netherlands",['Aviation & Aerospace'],"Jouw baanHeb jij affiniteit met vitaliteit  gezondheid van werknemers, zie jij het belang van preventief werken om zo verzuim te voorkomen Ben jij in staat op een mensgerichte wijze medewerkers te begeleiden en ze te bewegen weer terug te keren naar werk",Full-time,,https://nl.linkedin.com/jobs/view/corporate-case-manager-at-i-sec-international-security-2264253453?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
2,social worker,LinkedIn,2314802757,Maatschappelijk werker,otySY77PQHy3YG61xnlL9g==,Kellerman Bureau in Actie,"Alkmaar, North Holland, Netherlands",['Marketing and Advertising'],"Voor een onderwijsinstelling zijn wij op zoek naar een maatschappelijk werkerJe werkzaamheden zijn verdeeld over de verschillende locaties van de school in Heerhugowaard, Haarlem en Leiden Je hebt zitting in zorgteams van deze locaties Het werk bestaat uit het verrichten van diagnostiek gezin, onderzoek naar het systeem en netwerk, ondersteuning in het kader van psychosociale hulpverlening, rapportage en toeleiding naar het wijkteamjeugdteamWMOOok functioneer je als vertrouwenspersoon en heb je de taak van aandachtsfunctionaris Kindermishandeling  Huiselijk geweld De instelling is op zoek naar een enthousiast, ondernemend, stabiel en inspirerende collega Denk aan iemand die zich flexibel opstelt en gewend is een professionele bijdrage te leveren aan een multidisciplinair teamJe werkt 16 uur per week en het salaris is conform de cao Primair Onderwijs",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314802757?url=https%3A%2F%2Fwww%2Eadzuna%2Enl%2Fdetails%2F1831316214%3Fv%3DDE3B447F97162DBBEC82D98B74EE67F57069FF23%26utm_source%3Dlinkedin2%26utm_medium%3Dorganic%26chnlid%3D880&urlHash=Y0i2&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werker-at-kellerman-bureau-in-actie-2314802757?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
3,social worker,LinkedIn,2282123717,Case Manager I,Hk3jPWD0QOOh4tZB949SwA==,"Palladia, Inc","Haarlem, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']","Palladia is a community of strength, help and hope, where individuals can heal, grow in ability and knowledge, gain steady employment, and stay sober and healthy Palladia assists New Yorkers struggling with homelessness, HIVAIDS, trauma, poverty, domestic violence, illness, parenting, the justice system and parole Palladia is about building a better future for men, women and children With 29 programs in 25 locations Palladia offers a variety of services that help struggling New Yorkers build safer, stronger and better livesThe Case Manager assesses clients needs, plans a course of action, links client to services and monitors progress She must assure clients receive appropriate information and referrals to obtain and maintain housing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282123717?url=https%3A%2F%2Fchu%2Etbe%2Etaleo%2Enet%2Fchu03%2Fats%2Fcareers%2Frequisition%2Ejsp%3Forg%3DPALLADIAINC%26cws%3D1%26rid%3D1174&urlHash=vJk0&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-i-at-palladia-inc-2282123717?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
4,social worker,LinkedIn,2304420537,CLINICAL CASE MANAGER: Wraparound Care Coordinator,lnUJRHrbSziUP6YEeWOyFA==,NFI North,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']","Wraparound FacilitatorCare Coordinators provide familydriven planning and facilitation, the family creates the plan of care We help the family identify strengths and needs of the child, youth and familyprimary caregiver, obtain support services that are specific to family needs, and monitor the provision and outcomes of the plan, so that the child or youth and family can be successful at home, at school and in the communityThis program emphasizes family and youth driven services To be effective, the Wraparound FacilitatorCare Coordinators work with childrenyouth in their homes and communities incorporate the entire family and their natural community supports in the planning process focus on the childs and familys strengths and demonstrate cultural and linguistic competenceNFI is committed to having our staff and employees mirror the communities in which we work We value diversity and inclusion and the importance of experience working with diverse populations NFI North is an equal opportunity employerWe offer an excellent benefit package with health and dental, generous time off package including paid vacation, sick and holidays, tuition reimbursement, life insurance, various vendor purchasing discounts, excellent training, career growth and supportive work environmentNFI North is a proud partner with Southern New Hampshire Universitys SNHU College for America, an accredited, nonprofit college designed to develop working adults through costeffective, competencybased higher education Not only do we offer our employees access at incredibly low and affordable rates but now you can also enroll your immediate family members SNHU offers accredited bachelor and associate degree programs completely online at your own pace for only 5,000 a year If you are a benefited employee 30 hours a week or more we offer up to 2,500 a year in tuition assistance",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304420537?url=http%3A%2F%2F9nl%2Ees%2FVUT7ot%3Fjz%3D4nmxk11195608AQANYAASAAAQAAAAAAJA%26tracking-details%3DYmlkPTAuMTgmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD00M2I1NWI0NWMzMmMyYWExOTYxYmM4ZDI3ZGE1ZjkwYyZlbWQ9MC4wMCZwaElkPW5teGsmZUJpZD0wLjE4&urlHash=6mCK&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/clinical-case-manager-wraparound-care-coordinator-at-nfi-north-2304420537?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
5,social worker,LinkedIn,2315331858,Maatschappelijk Werker Kliniek 24-uurs acuut Almere (32 uur) - GGz Centraal,OODx/f7OSImvcc9enG2+cA==,GGz Centraal,"Almere, Flevoland, Netherlands",['Mental Health Care'],"Het begeleiden en ondersteunen van mensen met psychiatrische problemen Jij zorgt ervoorInformatieVoor wie jij er bent Voor patinten die tijdelijk verblijven op onze afdeling High  Intensive Care HIC onderdeel van cluster 24 uurs acuut in Almere Je begeleidt patinten op maatschappelijk gebied, bijvoorbeeld op het gebied van financin, sociale contacten of huisvesting Je inventariseert de hulpbehoefte en gaat actief aan de slag met de hulpvraag van patintenMet jou als maatschappelijk werker zijn we ng sterker in wat we doen Namelijk, specialistische zorg bieden aan patinten die opgenomen zijn na een acute psychiatrische crisis De afdeling High  Intensive Care HIC is ongewoon en bovenal dynamisch Je treft hier een hoog complexe en onvoorspelbare doelgroep, waarbij meestal sprake is van dubbel of triple diagnose Jouw specialistische kennis en kunde komt in deze setting uitermate goed tot zijn recht en tot ontwikkeling Jij bent de spin in het web die de patint ondersteunt op maatschappelijk gebied tijdens de opnameJe werkt naast het behandelteam van de afdeling nauw samen met je collega maatschappelijk werkers van de klinische open afdeling en gebiedsteams er is regelmatige afstemming Je bent vanuit jouw rol namelijk kortdurend betrokken bij een patint Een goede zelfreflectie en lef zijn hierbij onontbeerlijk Juist die complexiteit maakt het werken in de acute psychiatrie zo boeiend en impactvolHoe je ons team het beste kunt omschrijven Enthousiast en betrokken En het belangrijkste we hebben plezier in wat we doen We werken hard, mt ons hartJij bent flexibel het werken op een High  Intensive Care afdeling als een uitdaging Daarbij sta je ook stevig in je schoenen, immers de doelgroep waarmee je werkt is dynamisch Je past binnen GGz Centraal als je net als wij vanuit jouw expertise wilt bijdragen aan de allerbeste zorg",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315331858?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2512005d0273%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecddbgddf9dde7ddg9ddgbddbgadcaddgfdde3de9cdcdfec3ddcg3e&urlHash=HMY3&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werker-kliniek-24-uurs-acuut-almere-32-uur-ggz-centraal-at-ggz-centraal-2315331858?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
6,social worker,LinkedIn,2274795666,Case Manager,9BZ8iESETFeaJmboTSxgCQ==,JP Gray,"Arnhem, Gelderland, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Financial Services']","Are you a driven Case Manager with a trackrecord in international companies  Would you like to work for one of the world leading organisation in chemicals You will be able to exert your communication skills to manage a large change trajectory at a large multinational organisation If you love to plan, work with people and processes, then please read onLocation ArnhemStart As soon as possibleContract Temporary 69 monthsSalary NegotiableFor a large multinational client of mine I am looking for a Register Case Manager It is a temporary project for 69 months with possibility for extensionYou will have the opportunity to work for one of the largest multinationals in their field which will provide you with experiences that are worthwhile for the rest of your career The international work environment in where people are supportive and involved in many out of work activities is something that is attractive to many of the employees currently working thereIf you are interested in this role we are looking forward in receiving your applicationmGRAY",Temporary,https://www.linkedin.com/jobs/view/externalApply/2274795666?url=https%3A%2F%2Fwww%2Ejpgray%2Enl%2Fen-NL%2Fjob%2Fcase-manager%2FMR-33598760%3Futm_source%3Dlinkedin%26utm_medium%3Dwrapped_jobs&urlHash=CIKR&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-at-jp-gray-2274795666?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
7,social worker,LinkedIn,2277159848,Maatschappelijk werker divisie Kinderen,rpgR0SQ8RnK33qyz+lMlIg==,UMC Utrecht,"Utrecht, Utrecht, Netherlands",['Hospital & Health Care'],"Als maatschappelijk werker bied je psychosociale en materile hulpverlening bij hulpvragen die voortkomen uit ziekte, opname, behandeling of na ontslag Je werkt methodisch en voert de behandelingen uit in overleg en samenwerking met het gezin Je werkt hierbij nauw samen met het multidisciplinair team waarin je werkt De ontwikkeling van het kind en het functioneren van het gezin staan hierbij centraal, waarbij het uitgangspunt is dat deze zo min mogelijk bedreigd wordt Het gaat om een vaste aanstelling, per 1 februari 2021, van 24 uur met een proeftijd van een jaarAfdelingJe komt te werken in een organisatie waar professionaliteit en het leveren van optimale zorg voorop staat De afdeling Medische Psychologie en Maatschappelijk Werk maakt deel uit van de divisie Kinderen De patintenzorg richt zich op poliklinische verwijzingen met betrekking tot ontwikkelingspsychosociale problemen die gerelateerd zijn aan de lichamelijke ziekte of aandoening van het kind De maatschappelijk werker begeleidt hierbij de ouders eventueel in samenwerking met een psycholoog die het kind behandelt De afdeling volgt ook diverse groepen kinderen in het kader van wetenschappelijk onderzoek Daarnaast zijn we werkzaam op de divisie vrouw en baby waar we aanstaande ouders begeleiden Het team bestaat uit elf enthousiaste maatschappelijk werkersProfielJe bent een ervaren maatschappelijk werker, die aantoonbaar affiniteit heeft met kinderen en ouders Je bent betrokken en gedreven, werkt proactief en je bent op de hoogte van relevante ontwikkelingen in je vakgebied Je beschikt over goede organisatorische en communicatieve vaardigheden Je bent geregistreerd bij het Kwaliteitsregister Jeugd  SKJ of je bent bereid je te registreren en de daartoe benodigde inspanningen, zoals bijscholing, te leveren Je hebt HBOMWD gevolgd of HBOSocial Work met het profiel JeugdHet salaris voor deze 24  24 uur functie bedraagt maximaal  4200,00 bruto per maand op basis van een fulltime dienstverband werkweek van 36 uurOnze arbeidsvoorwaarden zijn conform de Cao Universitair Medische Centra UMC Wij bieden onder andere een eindejaarsuitkering van 8,3, vakantietoeslag, een reiskostenvergoeding woonwerkverkeer en diverse opleidingsmogelijkheden Bekijk onze arbeidsvoorwaarden en diverse extrasMeer informatieVoor meer inhoudelijke informatie over deze vacature, neem contact op met de contactpersoon, Tineke de Waard, disciplinehoofd maatschappelijk werk, telefoonnummer 0887554112, email secclusterEumcutrechtnlAcquisitie nav deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277159848?url=https%3A%2F%2Fwww%2Ewerkenbijumcutrecht%2Enl%2Fvacatures%2FPaginas%2Fmaatschappelijk-werker-divisie-kinderen%2520%282020-0352%29%2Easpx&urlHash=W8K7&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werker-divisie-kinderen-at-umc-utrecht-2277159848?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
8,social worker,LinkedIn,2220795240,Case manager WABO,8z8rcb4cTki+Cp3S7o/vRQ==,Maandag,"Alkmaar, North Holland, Netherlands",['Staffing and Recruiting'],"Over de functieAls Case manager WABO ben jij verantwoordelijk voor de vergunningaanvragen en voer je de regie op het gehele proces De WABO vergunningen verleen je op basis van verschillende wet en regelgeving Daarnaast weeg je verschillende adviezen en stel je de uiteindelijke beschikking op, onderhoud je contact met de aanvragen over de voortgang en heb je een cordinerende rol bij bezwaar en beroepszaken die verband houden met je eigen dossierJij kunt goed omgaan met uiteenlopende klantvragen en verzoeken vanuit burgers, bestuurders en adviseurs Kwaliteit en verantwoordelijkheid staat voor jou hoog in het vaandel Daarnaast ben jij stressbestendig en laat je, je niet leiden door tegenslagenMet meer dan 3000 professionals is Maandag d detacheerder van de publieke sector Samen met hen zien wij de maandag als een fris en nieuw begin Het gevoel van ambitie en optimisme dragen we elke dag van de week uit Wil jij flexibele zekerheid met een vast dienstverband of ben jij een ZZPer die graag in verschillende keukens wil kijken om tegelijkertijd gebruik te kunnen maken van ons netwerk Ben jij toe aan een nieuwe stap in jouw carrire Ik bespreek graag de mogelijkheden met je om een zo goed mogelijke match te kunnen makenSolliciterenHerken jij jezelf in dit profiel En lijkt werken bij Maandag je een mooie stap Solliciteer dan meteen Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons",Full-time,https://www.linkedin.com/jobs/view/externalApply/2220795240?url=https%3A%2F%2Fwww%2Emaandag%2Enl%2Fapplyjob%2F108127879%3Futm_campaign%3Djobslot%25257Cdo%25257Ca%25257Cao%26utm_content%3DOverheid%26utm_source%3Dlinkedin%26utm_medium%3Djobboard-cpt%26utm_term%3D&urlHash=Ug1l&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-wabo-at-maandag%C2%AE-2220795240?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
9,social worker,LinkedIn,2282127178,Case Manager I,c5ArGE8KRxifs9mKVROI0g==,"Palladia, Inc","Haarlem, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']","Position OverviewThe Case Manager assesses clients needs, plans a course of action, links client to services and monitors progress She must assure clients receive appropriate information and referrals to obtain and maintain housing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282127178?url=https%3A%2F%2Fchu%2Etbe%2Etaleo%2Enet%2Fchu03%2Fats%2Fcareers%2Frequisition%2Ejsp%3Forg%3DPALLADIAINC%26cws%3D1%26rid%3D1452&urlHash=Vj0V&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-i-at-palladia-inc-2282127178?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
10,social worker,LinkedIn,2313783831,Maatschappelijk werker | Haarlem | Bureau Kooimeer,YtSYwa+RRyusuPJKmI41pw==,Werkzoekennl,"Haarlem, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Bureau Kooimeer, locatie HaarlemVoor een onderwijsinstelling zijn wij op zoek naar een maatschappelijk werkerJe werkzaamheden zijn verdeeld over de verschillende locaties van de school in Heerhugowaard, Haarlem en Leiden Je hebt zitting in zorgteams van deze locaties Het werk bestaat uit het verrichten van diagnostiek gezin, onderzoek naar het systeem en netwerk, ondersteuning in het kader van psychosociale hulpverlening, rapportage en toeleiding naar het wijkteamjeugdteamWMOOok functioneer je als vertrouwenspersoon en heb je de taak van aandachtsfunctionaris Kindermishandeling  Huiselijk geweld De instelling is op zoek naar een enthousiast, ondernemend, stabiel en inspirerende collega Denk aan iemand die zich flexibel opstelt en gewend is een professionele bijdrage te leveren aan een multidisciplinair teamJe werkt 16 uur per week en het salaris is conform de cao Primair Onderwijs5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313783831?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1408_bureau-kooimeer%2Fvacatures%2F4960778_maatschappelijk-werker%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%2Bhaarlem&urlHash=BdVW&refId=72ff2632-00ec-4e0b-80c6-3d3165395492&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/maatschappelijk-werker-haarlem-bureau-kooimeer-at-werkzoeken-nl-2313783831?refId=72ff2632-00ec-4e0b-80c6-3d3165395492&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-10,2020-11-20
