,Competence Features,BertForSequenceClassification SHAP Values
0,precision,8.530772894620895
1,Interface ,6.5770799815654755
2,SQL,6.15918330848217
3,execute ,6.0919027528725564
4,proficiency ,5.548603542149067
6,Confident ,4.746426001191139
7,Analyze ,4.736393287777901
9,Implement ,4.501132428646088
10,forefront ,4.432505450211465
12,Excel ,4.224624006077647
13,Knowledge ,4.16171091630434
14,masters ,4.104708630591631
15,fastest ,4.057205760367651
20,practical ,3.7303567910566926
25,Providing ,3.4605000989104155
26,collaborative,3.3988583013415337
28,Conduct ,3.3644885048270226
29,Extensive ,3.3315395857207477
30,languages ,3.3309325417503715
33,drive,3.211359436623752
35,initiatives ,3.1390670320640006
37,agile,3.1170339351228904
38,Performance ,3.0701176524162292
40,Develop ,3.0354292939882725
41,icative,2.991528734564781
42,versatile ,2.9746222044341266
44,designs ,2.932669677771628
45,comprehensive ,2.928631082526408
46,presentations ,2.9144252613186836
50,Serve ,2.8331921845674515
51,sales,2.798043042421341
53,flexibility ,2.7428560415282845
55,style ,2.7229343596845865
61,biggest ,2.6781436833553016
62,flu,2.670423498377204
68,command ,2.6045720470137894
72,defined ,2.547748405340826
74,Maintaining ,2.543191193137318
76,deliver ,2.527129114252748
77,effectiveness,2.523770911619067
78,Provide ,2.5177566485479472
80,yet ,2.5059808418154716
81,rapid ,2.494601635815343
83,strategic ,2.484268696551832
84,oversight ,2.4334984198212624
85,certification,2.429430245887488
86,Ability ,2.4022040963172913
87,solutions ,2.351009430729651
88,largest ,2.337685788701492
89,layered ,2.3347754888236523
92,paced ,2.307278989082988
94,abilities ,2.3045956334099174
96,ideas,2.3020374947227538
97,scala,2.293365931371227
102,execution ,2.270185991190374
104,Motivated ,2.2501841485500336
106,getting ,2.239793073385954
107,Power,2.234102619191011
109,Support ,2.2221069931983948
112,years ,2.2012787874167166
113,worldwide ,2.1976605281233788
116,feasibility ,2.1902423955034465
117,Understanding ,2.1804624672513455
119,experienced ,2.166002184509125
124,quality ,2.132630514795892
126,Discuss ,2.104084201157093
127,skill ,2.103279708928312
132,cycle ,2.07445605751127
133,retailers ,2.067435205448419
134,pricing ,2.058328330516815
135,Payroll ,2.0534252151846886
137,standards ,2.049318330362439
140,efficient ,2.026152982376516
143,English,2.0191940195315206
149,independently,1.9919469545711763
151,etc,1.9672795286169276
152,Prepare ,1.9659712726281444
154,formats,1.9386734552681446
155,responsible ,1.9286347839511475
158,minds,1.9156171176582575
161,energetic ,1.8977329991466831
163,specialised ,1.8764817891642451
164,Basic,1.8730950355529785
165,leading ,1.8717584308913502
168,expertise ,1.8596692930910246
169,ova,1.8485890930285678
175,pro,1.825655727996491
177,enhance ,1.821763382627978
180,skilled,1.8163931553511552
181,shape ,1.815912133664824
185,decisions ,1.8066714944290942
190,reliability ,1.7950948056428127
191,res,1.7889305156006434
192,reports,1.7775595146231353
197,Apple,1.7433490753173828
198,processes,1.7398361377418041
199,Ensures ,1.7343960590660572
200,scope,1.732393629848957
203,solve ,1.726277039386332
205,cooperation ,1.7141330037266016
206,risks,1.70716717466712
215,Substantive ,1.682820362970233
216,negotiate ,1.6774468277581036
218,operational,1.6755361268296838
222,executing ,1.6520336610265076
223,framework,1.6433929313097906
224,problem ,1.6384656523587182
226,content ,1.6357022925682638
227,hop,1.6303456267341971
231,potential,1.617018787190318
232,driving ,1.5997374350748335
233,Solid ,1.5994309149682522
234,Web,1.5977515767638881
236,Leads ,1.5962654696777463
237,Effective ,1.594152644276619
238,translating ,1.5940829657483846
241,challenging ,1.5821056038451693
248,machinery ,1.5711680836975574
250,Familiarity ,1.566162720322609
254,Program ,1.5479456540197134
255,ongoing ,1.5419371979660355
256,configuration,1.5394835525657982
263,orchestra,1.5208686615806073
264,debates,1.5138164086965844
265,excellent,1.5123529387637973
267,marketing ,1.5059447329677396
271,iti,1.4997752054235718
272,prior,1.4882583783549699
273,influence ,1.4802930250298232
274,Innovations ,1.4635181332196225
276,tests,1.4567438581938095
277,achieve,1.45652374625206
281,complex ,1.4407144911432017
283,portfolio,1.4306153056531912
289,sustainable ,1.4045458190143107
290,depth ,1.4027480534277856
293,API,1.3960665559085708
297,willingness ,1.3856100412085652
299,ambitious ,1.3844989634458518
300,improve,1.3819607198238373
304,direction ,1.3723126966506243
305,input ,1.3712768966215663
309,imi,1.364152776339786
310,technical ,1.360516535062925
311,Translate ,1.3566723121330142
312,financial ,1.3553051576018333
315,Games ,1.3519367646658793
318,venture ,1.3476041061803699
319,difficult ,1.3470078292302787
326,opt,1.327107799181249
329,Present ,1.3181662783026695
333,preparing ,1.3082485863318045
334,affairs ,1.3081484729191288
335,actions,1.3061276860535145
340,ecosystem ,1.296606588177383
344,results ,1.283364425837164
346,tools ,1.279267321115185
347,leaders ,1.2774192672222853
358,Oversee ,1.2533851340413094
359,Types,1.2497897073626518
360,level ,1.2497560419142246
361,value,1.2471363097429276
363,solving ,1.2417546278447844
364,modules ,1.2393737393431365
377,ili,1.2207416161638522
380,Monitor ,1.2190773487091064
381,withstand ,1.2182743123266846
383,supervision,1.215438456274569
386,methods ,1.211262053072763
388,integrity ,1.2040867917239666
392,distributed ,1.1908062424045056
394,Dutch,1.1848780699074268
402,logistics ,1.176626241474878
404,judgement ,1.1731466908822767
405,advertising ,1.172056645154953
408,success,1.1634469528216869
409,score,1.1625601332634687
411,codes ,1.1592699139977671
414,hands,1.157534567406401
417,reviews,1.1517234600614756
418,Development,1.1443451326340437
422,carry ,1.1404360476881266
423,sourced ,1.138050858862698
428,inspiring,1.1335295407334343
429,cutting,1.1329023717553355
439,virus,1.1077281832695007
440,billion,1.1056910458792117
441,v,1.1051996845635585
446,scale ,1.0985270803794265
448,require ,1.0936543643474579
449,track ,1.0933911137690302
454,learn ,1.0868790719105164
457,art,1.0808247397944797
458,operate ,1.0792195027849327
459,HBO ,1.079153472557664
461,terms ,1.0778321100515313
462,winning ,1.0775032387464307
463,explore ,1.074649703502655
465,Researching ,1.0686505362391472
466,significant ,1.0673297126260068
470,ation ,1.0576576394960284
474,awareness,1.055437445640564
475,functions ,1.05424276413396
479,product ,1.050099969474101
480,hosting ,1.050021261558868
482,Valid,1.0485027134418488
486,demonstrate ,1.0451665259380307
488,expansion ,1.0438790074549615
493,Holding ,1.0356245040893555
494,Cloud ,1.029784519225359
495,overall ,1.0288882102817298
496,Sensitivity ,1.0278985798358917
498,Outline ,1.025407388806343
501,control ,1.0205914572552068
502,eye ,1.016379184035486
503,Keeping ,1.0111159980297089
504,internationally ,1.0105638792738318
513,ate ,0.9972462952136993
521,essential ,0.9838422391524849
523,dec,0.979714997112751
528,ologies,0.9680919349193573
530,programming ,0.9671874494524673
536,practices ,0.9604748245328665
540,formula,0.9524977951077744
544,offices ,0.9411803263938054
545,confirm ,0.9407772382255644
546,Analytics ,0.9378640837967396
548,ial ,0.9369728358942666
549,experts,0.9297308029526903
550,visible ,0.9257778152823448
551,trained ,0.9255853891372681
555,ideal ,0.9157508602365851
556,molecules ,0.9144673289459508
558,studies ,0.912650388549082
563,smart,0.9085410266416147
565,patents,0.9075637608766556
566,digital ,0.9069917536621306
569,selling ,0.9023906290531158
571,run,0.8989720201934688
573,quickly ,0.8948157683674557
575,supervise ,0.8916896469891071
576,platforms ,0.8907496476408852
578,writing ,0.8887303971375028
579,alignment ,0.8870654815109447
580,offerings,0.8855385184288025
586,aspects ,0.8773658126592636
588,shipments,0.8770454712212086
591,Fortune ,0.8741907344665378
593,GDP,0.8697363299972494
594,tra,0.8687520580133423
597,trend,0.8629889036528766
600,integration,0.8602037287006775
602,countries,0.8559676793714365
606,ise ,0.8527513785132518
608,competitive ,0.8519066191336606
610,information,0.8511541113474919
612,merit ,0.8502667546272278
613,documents ,0.8497371164460977
616,iculate ,0.8466956645424943
619,goals,0.8397650459126453
621,inn,0.8380016335984691
622,Companies,0.8379998579621315
624,necessary ,0.8365605405997485
626,ahead ,0.8340270416811109
630,outstanding ,0.832223933790293
635,supported ,0.8272459078580141
636,effectively,0.8259930480271578
637,assessments,0.8248611776725738
638,top ,0.8244880158204718
639,aware ,0.8226402848958969
642,concept ,0.8148720590397716
645,growing ,0.8106257264864475
647,powered ,0.8089007973737483
652,expanding ,0.8051440625318459
654,individuals ,0.800393171608448
658,e,0.7969547434928025
659,Broad ,0.7964803501963615
660,behaviour ,0.7947123721241951
663,markets ,0.7912499563147625
667,protocols ,0.7872523609548807
670,Systems ,0.7848385140299797
671,Attention ,0.7840527594089508
673,established,0.7829720479203388
674,diversified ,0.7821487584151328
676,plans ,0.7803257866762578
679,documentation ,0.774981327354908
682,Computers ,0.7705038301646709
684,focuses ,0.769670797046274
685,lifestyle ,0.7690044436603785
686,related ,0.7681756079509796
688,asset ,0.7673536688089371
691,gis,0.764237352181226
708,Great ,0.7508094608783722
711,written,0.7474902135436423
712,fitting ,0.7473216094076633
717,diplomacy ,0.7426356909563765
719,reporting,0.7367620090643565
726,evolution ,0.7290611052885652
727,desirable,0.7281434335745871
728,Quarterly ,0.72798091173172
731,ism ,0.7233815174549818
733,video ,0.7218584548681974
735,loyalty ,0.7177632624904314
740,talents ,0.711547693858544
743,vendors,0.7060921608936042
748,capable ,0.7025732036466555
752,identifying ,0.7002435516591908
754,proto,0.6988901510291422
756,hacking ,0.6983743840828538
759,usa,0.6926179993897676
760,technically ,0.6921545464013305
764,General ,0.6854665279388428
767,ent ,0.6834683197046009
768,collaboration ,0.6819174688716885
771,Bridges,0.6789759397506714
778,producing ,0.6753107798091758
781,highest ,0.6734083855214218
783,least ,0.6694194801306973
785,recruit ,0.6691025965847075
789,major,0.6658182463919123
